Orthogroup	N_naja.pep	C_familiaris.pep
OG0005038	Nana11309-RA	ENSCAFG00000005385.4
OG0005039	Nana08230-RA	ENSCAFG00000005140.5
OG0005040	Nana38749-RA, Nana39048-RA	ENSCAFG00000008369.4
OG0005041	Nana31732-RA	ENSCAFG00000019894.5
OG0005042	Nana37527-RA, Nana37527-RB	ENSCAFG00000016771.4
OG0005043	Nana29844-RA, Nana29844-RB	ENSCAFG00000023234.3
OG0005044	Nana15700-RA, Nana15699-RA	ENSCAFG00000018939.4
OG0005045	Nana37523-RA	ENSCAFG00000016784.4
OG0005046	Nana37520-RA	ENSCAFG00000016797.4
OG0005047	Nana37517-RA	ENSCAFG00000019785.5
OG0005048	Nana33635-RA	ENSCAFG00000014113.5
OG0005049	Nana38805-RA	ENSCAFG00000017156.4
OG0005050	Nana24893-RA	ENSCAFG00000020222.4, ENSCAFG00000047768.1
OG0005051	Nana33590-RA	ENSCAFG00000013577.5
OG0005052	Nana05993-RA	ENSCAFG00000013430.5
OG0005053	Nana01993-RA	ENSCAFG00000017506.4, ENSCAFG00000001069.4
OG0005054	Nana00504-RA	ENSCAFG00000015542.4
OG0005055	Nana29845-RB, Nana29845-RA	ENSCAFG00000003376.3
OG0005056	Nana29754-RA	ENSCAFG00000003380.5
OG0005057	Nana29757-RA	ENSCAFG00000003384.4
OG0005058	Nana30793-RA	ENSCAFG00000023848.4
OG0005059	Nana06088-RA	ENSCAFG00000031251.2
OG0005060	Nana34743-RA	ENSCAFG00000011324.4
OG0005061	Nana35611-RA	ENSCAFG00000011357.4
OG0005062	Nana13091-RA	ENSCAFG00000009994.4
OG0005063	Nana34745-RA	ENSCAFG00000011379.4
OG0005064	Nana21893-RA, Nana21893-RB	ENSCAFG00000003017.5
OG0005065	Nana21890-RA	ENSCAFG00000003005.4
OG0005066	Nana21881-RA	ENSCAFG00000002995.5
OG0005067	Nana22223-RA	ENSCAFG00000014068.5
OG0005068	Nana36912-RA	ENSCAFG00000019869.5
OG0005069	Nana21867-RA	ENSCAFG00000002971.5
OG0005070	Nana21858-RA	ENSCAFG00000002966.4
OG0005071	Nana29440-RA, Nana23251-RA	ENSCAFG00000013248.4
OG0005073	Nana22256-RA	ENSCAFG00000005114.4
OG0005074	Nana32430-RA, Nana32430-RB	ENSCAFG00000017828.4
OG0005075	Nana36485-RA, Nana36485-RB	ENSCAFG00000030566.2
OG0005076	Nana29764-RB, Nana29764-RA	ENSCAFG00000003048.4
OG0005078	Nana34118-RA	ENSCAFG00000048796.1, ENSCAFG00000018865.4
OG0005079	Nana33599-RA	ENSCAFG00000013431.5
OG0005081	Nana22171-RA, Nana22169-RA	ENSCAFG00000006414.5
OG0005082	Nana13763-RA	ENSCAFG00000009291.5
OG0005083	Nana28498-RA	ENSCAFG00000024531.3
OG0005084	Nana34368-RB, Nana34368-RA	ENSCAFG00000016103.4
OG0005085	Nana10329-RB, Nana10329-RD, Nana10329-RC	ENSCAFG00000000259.6
OG0005086	Nana35927-RA	ENSCAFG00000013916.4
OG0005087	Nana13758-RA	ENSCAFG00000009319.4
OG0005088	Nana28493-RB, Nana28493-RA	ENSCAFG00000007788.4
OG0005089	Nana34364-RB	ENSCAFG00000016067.5
OG0005090	Nana33551-RA, Nana33551-RB	ENSCAFG00000017414.4
OG0005091	Nana34363-RA	ENSCAFG00000016052.3
OG0005092	Nana31762-RA, Nana31761-RA	ENSCAFG00000019884.6
OG0005093	Nana31764-RC, Nana31764-RB	ENSCAFG00000019881.3
OG0005094	Nana27998-RD, Nana28488-RA	ENSCAFG00000002944.3
OG0005095	Nana09970-RB, Nana09970-RA	ENSCAFG00000017365.1
OG0005096	Nana33564-RB, Nana33564-RA	ENSCAFG00000017463.4
OG0005098	Nana30864-RA	ENSCAFG00000005445.5
OG0005099	Nana30866-RA	ENSCAFG00000005469.5
OG0005100	Nana31770-RA	ENSCAFG00000019870.5
OG0005101	Nana15660-RA	ENSCAFG00000019028.5
OG0005102	Nana28473-RA	ENSCAFG00000031061.2
OG0005103	Nana28006-RA	ENSCAFG00000032746.2
OG0005104	Nana34421-RA	ENSCAFG00000016399.5
OG0005105	Nana36065-RA	ENSCAFG00000017248.4
OG0005106	Nana34413-RB	ENSCAFG00000016392.5
OG0005107	Nana27187-RA, Nana27187-RB	ENSCAFG00000004086.6
OG0005108	Nana34404-RA	ENSCAFG00000016284.4
OG0005109	Nana30551-RA	ENSCAFG00000004730.4
OG0005110	Nana12136-RA	ENSCAFG00000008821.3
OG0005111	Nana30562-RA	ENSCAFG00000004746.4
OG0005113	Nana31416-RA	ENSCAFG00000007606.6
OG0005114	Nana17460-RA, Nana17460-RB	ENSCAFG00000009067.4
OG0005115	Nana03114-RA	ENSCAFG00000013333.5
OG0005116	Nana30954-RA	ENSCAFG00000005948.4
OG0005117	Nana03115-RA	ENSCAFG00000013309.4
OG0005118	Nana30026-RA	ENSCAFG00000030375.2, ENSCAFG00000046351.1, ENSCAFG00000044911.1
OG0005119	Nana33318-RA	ENSCAFG00000011620.4
OG0005120	Nana03098-RA, Nana03098-RB	ENSCAFG00000013510.5
OG0005121	Nana36463-RA, Nana36463-RB	ENSCAFG00000003629.4
OG0005122	Nana03093-RA	ENSCAFG00000013559.3
OG0005123	Nana33237-RA	ENSCAFG00000013196.4
OG0005124	Nana03148-RA	ENSCAFG00000012872.5
OG0005125	Nana30948-RA, Nana30948-RB	ENSCAFG00000005338.4
OG0005126	Nana28109-RA	ENSCAFG00000006842.4
OG0005127	Nana35631-RA, Nana35631-RB	ENSCAFG00000014106.5
OG0005128	Nana03156-RA, Nana03155-RA	ENSCAFG00000012765.4
OG0005129	Nana03160-RA	ENSCAFG00000012644.5
OG0005130	Nana28848-RB, Nana28848-RA	ENSCAFG00000012079.4
OG0005131	Nana21080-RB, Nana21080-RC	ENSCAFG00000013038.6
OG0005132	Nana19141-RA	ENSCAFG00000013602.5
OG0005133	Nana05672-RA, Nana05674-RA	ENSCAFG00000017915.5
OG0005134	Nana05671-RA	ENSCAFG00000017906.4
OG0005135	Nana19278-RA	ENSCAFG00000030804.2
OG0005136	Nana34534-RA	ENSCAFG00000018274.4
OG0005138	Nana30011-RA	ENSCAFG00000046119.1, ENSCAFG00000003004.4
OG0005139	Nana19143-RB, Nana19143-RC	ENSCAFG00000013710.6
OG0005140	Nana32653-RA	ENSCAFG00000016850.5
OG0005141	Nana34535-RB	ENSCAFG00000018267.4
OG0005142	Nana37586-RB, Nana37586-RA	ENSCAFG00000019632.4
OG0005143	Nana19151-RD, Nana19151-RC	ENSCAFG00000013761.5
OG0005144	Nana15113-RA	ENSCAFG00000013410.4
OG0005145	Nana17828-RA	ENSCAFG00000010876.4
OG0005146	Nana33392-RB, Nana33392-RA	ENSCAFG00000028942.2
OG0005147	Nana19160-RA	ENSCAFG00000013827.4
OG0005148	Nana36719-RA	ENSCAFG00000019475.4
OG0005149	Nana33381-RA	ENSCAFG00000010617.4
OG0005150	Nana31792-RB, Nana31792-RA	ENSCAFG00000019846.4
OG0005151	Nana37021-RA	ENSCAFG00000020166.4
OG0005152	Nana08919-RA, Nana08919-RB	ENSCAFG00000001048.4
OG0005153	Nana27860-RA	ENSCAFG00000001531.4
OG0005154	Nana11431-RB, Nana11431-RA	ENSCAFG00000001786.5
OG0005155	Nana34599-RA, Nana34599-RB	ENSCAFG00000019565.4
OG0005156	Nana08916-RB, Nana08916-RA	ENSCAFG00000001058.4
OG0005157	Nana08915-RA	ENSCAFG00000032760.2
OG0005158	Nana06013-RA	ENSCAFG00000015648.4
OG0005159	Nana08908-RA	ENSCAFG00000001076.5
OG0005160	Nana31804-RA, Nana31804-RB	ENSCAFG00000019842.4
OG0005161	Nana31806-RA	ENSCAFG00000019840.4
OG0005162	Nana34213-RA	ENSCAFG00000017807.4
OG0005163	Nana15116-RA	ENSCAFG00000013314.5
OG0005164	Nana00276-RA	ENSCAFG00000017830.4
OG0005165	Nana02366-RA	ENSCAFG00000002482.5
OG0005166	Nana36383-RE, Nana36383-RD	ENSCAFG00000011742.4
OG0005167	Nana20736-RB, Nana20736-RA	ENSCAFG00000012862.6
OG0005168	Nana00447-RA	ENSCAFG00000012019.4
OG0005169	Nana36167-RA	ENSCAFG00000017433.5
OG0005170	Nana30069-RA, Nana30070-RA	ENSCAFG00000012804.3
OG0005171	Nana30887-RA	ENSCAFG00000005592.4
OG0005172	Nana11334-RA	ENSCAFG00000002727.4
OG0005173	Nana34264-RA	ENSCAFG00000015351.4
OG0005174	Nana02968-RA	ENSCAFG00000012030.4
OG0005175	Nana00583-RA	ENSCAFG00000017493.5
OG0005176	Nana12416-RA	ENSCAFG00000018637.5
OG0005177	Nana03453-RB, Nana03453-RA	ENSCAFG00000012028.4
OG0005178	Nana02965-RA	ENSCAFG00000011039.4
OG0005179	Nana25548-RA	ENSCAFG00000005698.5
OG0005180	Nana19110-RB, Nana19110-RA	ENSCAFG00000009707.4
OG0005181	Nana30904-RA	ENSCAFG00000004443.3
OG0005182	Nana33797-RA	ENSCAFG00000030772.2
OG0005183	Nana36128-RA	ENSCAFG00000012850.4
OG0005184	Nana33379-RA	ENSCAFG00000010594.5
OG0005185	Nana33301-RA	ENSCAFG00000030217.2
OG0005186	Nana30685-RA, Nana30684-RA	ENSCAFG00000004563.5
OG0005188	Nana33758-RA	ENSCAFG00000017690.4
OG0005189	Nana36432-RA	ENSCAFG00000019450.4
OG0005190	Nana33289-RB, Nana33289-RA	ENSCAFG00000013958.4
OG0005191	Nana12429-RA	ENSCAFG00000018711.5
OG0005192	Nana27941-RA	ENSCAFG00000019886.4
OG0005193	Nana24220-RA	ENSCAFG00000011159.4
OG0005194	Nana03444-RA	ENSCAFG00000012372.5
OG0005195	Nana12430-RA	ENSCAFG00000031830.2
OG0005196	Nana23551-RB, Nana23551-RA	ENSCAFG00000017300.4
OG0005197	Nana37355-RA	ENSCAFG00000019232.6
OG0005198	Nana36979-RA	ENSCAFG00000020196.4
OG0005199	Nana24223-RA, Nana24223-RB	ENSCAFG00000011191.4
OG0005200	Nana23573-RB, Nana23573-RA	ENSCAFG00000003867.5
OG0005201	Nana30696-RA, Nana30696-RB	ENSCAFG00000005026.6
OG0005202	Nana29167-RA	ENSCAFG00000030344.2
OG0005203	Nana12436-RC, Nana12436-RA, Nana12436-RB	ENSCAFG00000018752.4
OG0005204	Nana17806-RA, Nana17807-RA	ENSCAFG00000010676.5
OG0005205	Nana03440-RA	ENSCAFG00000012418.4
OG0005206	Nana36131-RA, Nana36131-RB	ENSCAFG00000016911.4
OG0005207	Nana10576-RA, Nana10573-RA, Nana10575-RA	ENSCAFG00000015744.5
OG0005208	Nana30705-RA	ENSCAFG00000032654.2
OG0005209	Nana23838-RB, Nana23838-RA	ENSCAFG00000016936.3
OG0005210	Nana30977-RA	ENSCAFG00000005006.5
OG0005211	Nana23834-RA	ENSCAFG00000016671.4
OG0005212	Nana18706-RA	ENSCAFG00000015345.4
OG0005213	Nana12442-RA	ENSCAFG00000018794.4
OG0005214	Nana14690-RA	ENSCAFG00000020429.5
OG0005216	Nana12448-RB, Nana12448-RA	ENSCAFG00000018816.5
OG0005217	Nana17794-RA	ENSCAFG00000010571.5
OG0005218	Nana39905-RA	ENSCAFG00000012975.5
OG0005220	Nana31994-RA, Nana31993-RA	ENSCAFG00000017223.4
OG0005221	Nana28070-RA	ENSCAFG00000003315.4
OG0005222	Nana17636-RA	ENSCAFG00000008881.5
OG0005223	Nana16849-RA	ENSCAFG00000000986.4
OG0005224	Nana06023-RA, Nana06024-RA	ENSCAFG00000014956.4
OG0005225	Nana23810-RA, Nana23811-RA	ENSCAFG00000019309.5
OG0005226	Nana23809-RA	ENSCAFG00000019312.5
OG0005227	Nana23609-RB, Nana23609-RA	ENSCAFG00000002605.4
OG0005228	Nana19715-RA	ENSCAFG00000010984.5
OG0005230	Nana33334-RA	ENSCAFG00000011510.4
OG0005231	Nana33336-RA	ENSCAFG00000011502.4
OG0005232	Nana31624-RA	ENSCAFG00000019977.4
OG0005233	Nana36302-RB, Nana36302-RA	ENSCAFG00000023501.4
OG0005234	Nana36920-RA	ENSCAFG00000019763.3
OG0005236	Nana23433-RA, Nana23434-RA	ENSCAFG00000004041.5
OG0005237	Nana23435-RA, Nana23435-RB	ENSCAFG00000004046.4
OG0005238	Nana23436-RA	ENSCAFG00000029541.2
OG0005239	Nana23439-RA, Nana23441-RA	ENSCAFG00000005493.5
OG0005240	Nana20886-RA	ENSCAFG00000012941.4
OG0005241	Nana32606-RA	ENSCAFG00000018864.4
OG0005242	Nana33532-RA	ENSCAFG00000017271.4
OG0005243	Nana33584-RA, Nana33584-RB	ENSCAFG00000017520.5
OG0005244	Nana36066-RA	ENSCAFG00000017266.4
OG0005245	Nana11031-RB, Nana11031-RA	ENSCAFG00000032031.2
OG0005246	Nana33428-RA	ENSCAFG00000017117.4
OG0005247	Nana11027-RA, Nana11027-RB	ENSCAFG00000010667.5
OG0005248	Nana33424-RD, Nana33424-RA	ENSCAFG00000031504.3
OG0005249	Nana33424-RB, Nana33424-RC	ENSCAFG00000032076.2
OG0005250	Nana11075-RA	ENSCAFG00000014412.4
OG0005251	Nana33422-RA	ENSCAFG00000017112.4
OG0005252	Nana11023-RB, Nana11023-RA	ENSCAFG00000017015.4
OG0005253	Nana11022-RA, Nana11021-RA	ENSCAFG00000015197.4
OG0005254	Nana11071-RA	ENSCAFG00000014091.4
OG0005255	Nana33413-RA	ENSCAFG00000011198.5
OG0005256	Nana11015-RB, Nana11015-RA	ENSCAFG00000011306.4
OG0005257	Nana11069-RA	ENSCAFG00000031666.2
OG0005258	Nana33406-RA	ENSCAFG00000010998.6
OG0005260	Nana00606-RA	ENSCAFG00000012949.4
OG0005261	Nana00605-RA	ENSCAFG00000012952.5
OG0005262	Nana00223-RA	ENSCAFG00000017745.5
OG0005263	Nana35755-RA	ENSCAFG00000002844.3
OG0005264	Nana11052-RB, Nana11052-RA	ENSCAFG00000009916.5
OG0005265	Nana21071-RA	ENSCAFG00000013172.5
OG0005266	Nana11051-RA, Nana11051-RB	ENSCAFG00000009886.5
OG0005267	Nana31030-RB, Nana31030-RA	ENSCAFG00000008384.3
OG0005268	Nana31048-RA	ENSCAFG00000007339.4
OG0005269	Nana32421-RA	ENSCAFG00000018372.3, ENSCAFG00000008954.3
OG0005270	Nana32419-RA, Nana32419-RB	ENSCAFG00000018378.5
OG0005271	Nana11339-RA	ENSCAFG00000002770.4
OG0005272	Nana11341-RA, Nana11342-RA	ENSCAFG00000024981.4
OG0005273	Nana34192-RA	ENSCAFG00000017924.5
OG0005274	Nana34193-RA	ENSCAFG00000017880.4
OG0005275	Nana11358-RA	ENSCAFG00000002792.4
OG0005276	Nana28958-RA, Nana28958-RB	ENSCAFG00000013511.4
OG0005277	Nana03345-RA	ENSCAFG00000024298.4
OG0005278	Nana23561-RB, Nana23561-RA	ENSCAFG00000003475.4
OG0005279	Nana37487-RA	ENSCAFG00000019708.4
OG0005280	Nana03348-RB, Nana03348-RA	ENSCAFG00000013801.4
OG0005281	Nana06421-RA, Nana06421-RB	ENSCAFG00000019123.5
OG0005282	Nana25452-RA	ENSCAFG00000004822.4
OG0005283	Nana10820-RA, Nana15003-RA	ENSCAFG00000011353.4
OG0005284	Nana29047-RA, Nana29044-RA	ENSCAFG00000012430.4
OG0005285	Nana25719-RA, Nana25721-RA	ENSCAFG00000004906.4
OG0005286	Nana19415-RB, Nana19415-RA	ENSCAFG00000008477.4
OG0005287	Nana29049-RC	ENSCAFG00000012442.4
OG0005288	Nana19409-RA	ENSCAFG00000008454.3, ENSCAFG00000042245.1
OG0005289	Nana06263-RB, Nana06263-RA	ENSCAFG00000014431.6
OG0005290	Nana10466-RA	ENSCAFG00000015270.5
OG0005291	Nana32988-RD	ENSCAFG00000017935.4
OG0005292	Nana32746-RA, Nana32746-RB	ENSCAFG00000015890.4
OG0005293	Nana19398-RA	ENSCAFG00000007467.5
OG0005294	Nana33714-RA	ENSCAFG00000019439.4
OG0005295	Nana28925-RA	ENSCAFG00000013890.5
OG0005296	Nana09824-RA, Nana09823-RA	ENSCAFG00000011236.5
OG0005297	Nana28924-RA	ENSCAFG00000013902.5
OG0005298	Nana33214-RB	ENSCAFG00000015230.4
OG0005299	Nana32982-RA	ENSCAFG00000017932.4
OG0005300	Nana09812-RA	ENSCAFG00000011108.4
OG0005301	Nana15949-RA	ENSCAFG00000031133.2
OG0005302	Nana09805-RA	ENSCAFG00000047872.1
OG0005303	Nana12771-RA	ENSCAFG00000001869.4
OG0005304	Nana31727-RA	ENSCAFG00000019904.4
OG0005305	Nana36955-RA	ENSCAFG00000019400.4
OG0005306	Nana12486-RA	ENSCAFG00000000093.4
OG0005307	Nana24052-RB	ENSCAFG00000048316.1, ENSCAFG00000013800.4
OG0005308	Nana12954-RA	ENSCAFG00000007116.4
OG0005309	Nana05904-RA	ENSCAFG00000014880.4
OG0005310	Nana18778-RA	ENSCAFG00000008810.4
OG0005311	Nana33201-RA	ENSCAFG00000014926.4
OG0005312	Nana20868-RA	ENSCAFG00000012730.5
OG0005314	Nana08029-RA	ENSCAFG00000006857.6
OG0005315	Nana21956-RB	ENSCAFG00000005764.4
OG0005316	Nana08026-RA, Nana08026-RB	ENSCAFG00000006867.4
OG0005317	Nana00319-RA	ENSCAFG00000018140.4
OG0005318	Nana08024-RA	ENSCAFG00000029431.2
OG0005319	Nana18663-RA, Nana18663-RB	ENSCAFG00000008861.5
OG0005320	Nana33193-RA	ENSCAFG00000014850.4
OG0005322	Nana12939-RA	ENSCAFG00000007219.5
OG0005323	Nana13012-RA, Nana13012-RB	ENSCAFG00000011930.5
OG0005325	Nana20863-RA	ENSCAFG00000010979.5
OG0005326	Nana33188-RA, Nana33188-RB	ENSCAFG00000014785.5
OG0005327	Nana24916-RA	ENSCAFG00000015316.5
OG0005328	Nana36845-RD, Nana36845-RC	ENSCAFG00000019975.4
OG0005329	Nana00294-RA	ENSCAFG00000017869.5
OG0005330	Nana00284-RA, Nana00283-RA	ENSCAFG00000017849.4
OG0005331	Nana34231-RA	ENSCAFG00000017728.4
OG0005332	Nana23955-RA, Nana23955-RB, Nana23955-RC	ENSCAFG00000012409.4
OG0005333	Nana30312-RA	ENSCAFG00000005428.5
OG0005334	Nana26097-RA, Nana26097-RB	ENSCAFG00000002193.4
OG0005335	Nana34225-RA	ENSCAFG00000017716.4
OG0005336	Nana23952-RA, Nana23952-RB, Nana23952-RC	ENSCAFG00000007959.4
OG0005337	Nana29831-RA, Nana29729-RA	ENSCAFG00000010513.5
OG0005338	Nana26094-RA	ENSCAFG00000002206.5
OG0005339	Nana34217-RA	ENSCAFG00000017749.4
OG0005340	Nana36558-RA, Nana36558-RB	ENSCAFG00000023618.3
OG0005341	Nana00329-RA	ENSCAFG00000018155.4
OG0005342	Nana30307-RA, Nana30307-RB	ENSCAFG00000002999.4
OG0005344	Nana33799-RA	ENSCAFG00000017666.4
OG0005345	Nana35914-RB, Nana35914-RA, Nana35914-RD	ENSCAFG00000025135.3
OG0005346	Nana12843-RA	ENSCAFG00000001995.4
OG0005347	Nana24113-RA	ENSCAFG00000047584.1, ENSCAFG00000011134.4
OG0005348	Nana24231-RA, Nana24231-RB	ENSCAFG00000011243.4
OG0005349	Nana33614-RA	ENSCAFG00000012013.4
OG0005350	Nana32289-RB	ENSCAFG00000029593.2
OG0005351	Nana32851-RA	ENSCAFG00000010391.5
OG0005352	Nana31007-RB, Nana31007-RC	ENSCAFG00000020149.4
OG0005353	Nana23941-RA, Nana23940-RA	ENSCAFG00000005383.4
OG0005354	Nana32289-RA	ENSCAFG00000017593.4
OG0005355	Nana28024-RA, Nana28024-RB	ENSCAFG00000032004.2
OG0005356	Nana29925-RB, Nana29925-RA	ENSCAFG00000002993.4
OG0005357	Nana00999-RA	ENSCAFG00000002627.4
OG0005359	Nana28054-RA, Nana28054-RB	ENSCAFG00000005517.4
OG0005360	Nana36862-RA	ENSCAFG00000019930.4
OG0005361	Nana28528-RA	ENSCAFG00000011138.6
OG0005362	Nana31004-RA, Nana31004-RB	ENSCAFG00000020153.5
OG0005363	Nana26688-RD, Nana26688-RC	ENSCAFG00000015056.5
OG0005365	Nana34246-RA	ENSCAFG00000015684.4
OG0005366	Nana34249-RA	ENSCAFG00000015665.5
OG0005367	Nana28513-RA, Nana28513-RB	ENSCAFG00000010996.5
OG0005368	Nana32275-RE	ENSCAFG00000017692.4
OG0005369	Nana24271-RA	ENSCAFG00000012191.4
OG0005370	Nana28046-RA	ENSCAFG00000028649.2
OG0005372	Nana32273-RC	ENSCAFG00000018770.5
OG0005374	Nana31319-RA	ENSCAFG00000020420.4
OG0005375	Nana20225-RA	ENSCAFG00000007661.5
OG0005376	Nana19850-RA	ENSCAFG00000009763.5
OG0005377	Nana06304-RB, Nana06304-RA	ENSCAFG00000019528.6
OG0005378	Nana28088-RA, Nana28088-RB	ENSCAFG00000003268.5
OG0005380	Nana29885-RC, Nana29885-RD	ENSCAFG00000010805.4
OG0005381	Nana32271-RA, Nana32272-RA	ENSCAFG00000018747.4
OG0005382	Nana20221-RA, Nana20221-RB	ENSCAFG00000029883.2
OG0005383	Nana19862-RA	ENSCAFG00000009833.5
OG0005384	Nana25590-RB, Nana25590-RA	ENSCAFG00000005895.4
OG0005385	Nana34261-RA	ENSCAFG00000015425.3
OG0005386	Nana20748-RD, Nana20748-RC	ENSCAFG00000012687.6
OG0005388	Nana32270-RB, Nana32270-RA	ENSCAFG00000018726.6
OG0005389	Nana01891-RA, Nana01891-RB	ENSCAFG00000000285.4
OG0005390	Nana20750-RA	ENSCAFG00000012608.4
OG0005392	Nana25592-RC, Nana25592-RB	ENSCAFG00000005945.5
OG0005393	Nana19894-RA, Nana19894-RB	ENSCAFG00000009904.4
OG0005394	Nana01816-RA	ENSCAFG00000032487.2
OG0005395	Nana15112-RA	ENSCAFG00000013448.4
OG0005397	Nana01906-RA	ENSCAFG00000000274.3
OG0005398	Nana01908-RA	ENSCAFG00000000272.5
OG0005400	Nana01814-RA	ENSCAFG00000000387.5
OG0005401	Nana01919-RB, Nana01919-RA	ENSCAFG00000000260.4
OG0005402	Nana34638-RA, Nana34638-RB	ENSCAFG00000019687.4
OG0005403	Nana01813-RA	ENSCAFG00000000390.4
OG0005404	Nana16111-RA	ENSCAFG00000018686.4
OG0005405	Nana20765-RB, Nana20765-RA	ENSCAFG00000012340.4
OG0005406	Nana01930-RA	ENSCAFG00000000247.4
OG0005407	Nana01796-RA	ENSCAFG00000000405.4
OG0005408	Nana34092-RA	ENSCAFG00000019495.4
OG0005409	Nana01935-RA	ENSCAFG00000000239.4
OG0005410	Nana01934-RA	ENSCAFG00000000244.6
OG0005411	Nana03393-RA	ENSCAFG00000013169.4
OG0005412	Nana36859-RA	ENSCAFG00000019938.5
OG0005413	Nana27840-RB, Nana27840-RC, Nana27840-RA	ENSCAFG00000001459.5
OG0005414	Nana19917-RA, Nana19917-RB	ENSCAFG00000010040.5
OG0005415	Nana04662-RB, Nana04662-RA	ENSCAFG00000010188.4
OG0005416	Nana36392-RA	ENSCAFG00000011820.4
OG0005417	Nana37568-RA	ENSCAFG00000019674.4
OG0005418	Nana03396-RA	ENSCAFG00000013158.4, ENSCAFG00000003970.4
OG0005419	Nana16107-RA	ENSCAFG00000025158.3, ENSCAFG00000018718.5
OG0005420	Nana01990-RA	ENSCAFG00000001074.3, ENSCAFG00000001072.4
OG0005421	Nana36331-RE	ENSCAFG00000011853.4
OG0005422	Nana29945-RA	ENSCAFG00000046486.1
OG0005423	Nana03404-RA	ENSCAFG00000013096.5
OG0005424	Nana01768-RA	ENSCAFG00000000445.5
OG0005425	Nana01950-RA	ENSCAFG00000000217.5
OG0005426	Nana01981-RA	ENSCAFG00000001114.4
OG0005427	Nana00832-RA	ENSCAFG00000002986.4
OG0005428	Nana00834-RA, Nana00833-RA	ENSCAFG00000002981.4
OG0005430	Nana06126-RA	ENSCAFG00000023249.4
OG0005431	Nana18295-RA	ENSCAFG00000007492.5
OG0005432	Nana16101-RA, Nana16099-RA	ENSCAFG00000018761.5
OG0005433	Nana17417-RA, Nana17418-RA, Nana17437-RA, Nana17434-RA, Nana17439-RA	ENSCAFG00000003431.4
OG0005434	Nana18288-RA	ENSCAFG00000007679.4
OG0005435	Nana18287-RA	ENSCAFG00000007681.4
OG0005436	Nana18285-RA	ENSCAFG00000007683.4
OG0005437	Nana01455-RA, Nana01455-RB	ENSCAFG00000005904.5
OG0005438	Nana32582-RA	ENSCAFG00000018944.3
OG0005439	Nana25731-RA	ENSCAFG00000005243.4
OG0005440	Nana06026-RB	ENSCAFG00000015009.6
OG0005441	Nana37357-RA	ENSCAFG00000019238.4
OG0005442	Nana20802-RA, Nana20802-RB	ENSCAFG00000012257.4
OG0005443	Nana03508-RB, Nana03508-RA	ENSCAFG00000010387.4
OG0005444	Nana19934-RB, Nana19934-RA	ENSCAFG00000009130.4
OG0005445	Nana03510-RA	ENSCAFG00000025002.4
OG0005446	Nana03856-RA	ENSCAFG00000014625.4
OG0005447	Nana16834-RA, Nana16833-RA	ENSCAFG00000000934.4
OG0005448	Nana30206-RC	ENSCAFG00000011677.5
OG0005449	Nana37557-RA	ENSCAFG00000016596.4
OG0005450	Nana33227-RA	ENSCAFG00000013142.4
OG0005451	Nana12764-RA	ENSCAFG00000045658.1, ENSCAFG00000017761.5
OG0005452	Nana20820-RA	ENSCAFG00000012695.4
OG0005453	Nana19928-RA	ENSCAFG00000009016.5
OG0005454	Nana06894-RA, Nana06894-RB	ENSCAFG00000000998.5
OG0005455	Nana30043-RB, Nana30043-RC	ENSCAFG00000012956.4
OG0005456	Nana30142-RA, Nana30141-RA	ENSCAFG00000012169.4
OG0005457	Nana20853-RA	ENSCAFG00000011118.4
OG0005458	Nana20856-RA	ENSCAFG00000028584.2
OG0005459	Nana30150-RA	ENSCAFG00000012095.4
OG0005460	Nana33669-RA	ENSCAFG00000012140.4
OG0005462	Nana33653-RA	ENSCAFG00000013412.4
OG0005463	Nana13569-RA	ENSCAFG00000011996.4
OG0005464	Nana13572-RA	ENSCAFG00000011946.4
OG0005465	Nana33650-RA	ENSCAFG00000013214.4
OG0005466	Nana13573-RB, Nana13573-RC	ENSCAFG00000011920.5
OG0005467	Nana13576-RA	ENSCAFG00000030763.2
OG0005468	Nana00068-RB	ENSCAFG00000019249.4
OG0005469	Nana00056-RA	ENSCAFG00000031626.2
OG0005470	Nana00055-RA	ENSCAFG00000019221.4
OG0005471	Nana00150-RA	ENSCAFG00000032628.2
OG0005472	Nana10351-RA, Nana10351-RB	ENSCAFG00000030112.2
OG0005473	Nana00154-RA	ENSCAFG00000018087.4
OG0005474	Nana10352-RB, Nana10352-RA	ENSCAFG00000000229.4
OG0005475	Nana10354-RA, Nana10354-RB	ENSCAFG00000043612.1, ENSCAFG00000028596.2
OG0005476	Nana10355-RA	ENSCAFG00000000223.4
OG0005477	Nana10359-RB, Nana10359-RA	ENSCAFG00000000215.5
OG0005478	Nana36828-RC, Nana36828-RB	ENSCAFG00000019984.4
OG0005479	Nana32803-RA, Nana32803-RB	ENSCAFG00000016978.4
OG0005480	Nana29033-RA	ENSCAFG00000012302.5
OG0005481	Nana30790-RA	ENSCAFG00000004357.5
OG0005483	Nana32687-RA, Nana32687-RB	ENSCAFG00000016508.4
OG0005484	Nana22204-RA, Nana22205-RA	ENSCAFG00000014030.4
OG0005485	Nana22195-RA	ENSCAFG00000018247.4
OG0005486	Nana10382-RC	ENSCAFG00000007105.4
OG0005487	Nana22182-RA, Nana22183-RA	ENSCAFG00000013815.3
OG0005488	Nana32220-RA	ENSCAFG00000019172.4
OG0005489	Nana22263-RB, Nana22263-RA	ENSCAFG00000004652.5
