Orthogroup	N_naja.pep	M_musculus.pep
OG0007179	Nana09608-RA	ENSMUSG00000025141.3
OG0007180	Nana03659-RA	ENSMUSG00000045382.6
OG0007181	Nana09615-RA, Nana09615-RB	ENSMUSG00000044034.11
OG0007182	Nana09621-RA	ENSMUSG00000025129.2
OG0007183	Nana09624-RA	ENSMUSG00000025127.15
OG0007184	Nana09206-RA	ENSMUSG00000020326.7
OG0007185	Nana39766-RA, Nana09204-RA	ENSMUSG00000020330.16
OG0007186	Nana09274-RA	ENSMUSG00000109061.1, ENSMUSG00000002948.19
OG0007187	Nana39622-RA	ENSMUSG00000020155.2
OG0007188	Nana09080-RA	ENSMUSG00000024578.3
OG0007189	Nana09079-RB, Nana09079-RA	ENSMUSG00000024579.7
OG0007190	Nana09077-RB, Nana09077-RA	ENSMUSG00000024580.8
OG0007191	Nana09059-RA, Nana09059-RB	ENSMUSG00000020272.8
OG0007192	Nana09053-RA, Nana09054-RA	ENSMUSG00000034413.14
OG0007193	Nana09044-RA	ENSMUSG00000024191.15
OG0007194	Nana03044-RA	ENSMUSG00000026196.7
OG0007195	Nana01315-RA	ENSMUSG00000029134.14
OG0007196	Nana08985-RA, Nana08986-RA	ENSMUSG00000024431.15
OG0007197	Nana08969-RA	ENSMUSG00000018238.6
OG0007198	Nana08964-RA	ENSMUSG00000018395.19
OG0007199	Nana08960-RA	ENSMUSG00000018899.16
OG0007200	Nana08954-RA	ENSMUSG00000020388.12
OG0007201	Nana03194-RB	ENSMUSG00000051223.14
OG0007202	Nana03017-RA, Nana03017-RB	ENSMUSG00000036206.12
OG0007203	Nana03004-RA	ENSMUSG00000034486.8
OG0007204	Nana03269-RA	ENSMUSG00000002881.14
OG0007205	Nana02842-RA	ENSMUSG00000001891.16
OG0007206	Nana33601-RA, Nana33601-RB	ENSMUSG00000030528.12
OG0007207	Nana02859-RA	ENSMUSG00000007739.10
OG0007208	Nana09014-RA	ENSMUSG00000024502.10
OG0007209	Nana02885-RA	ENSMUSG00000041859.10
OG0007210	Nana08816-RA, Nana08816-RB	ENSMUSG00000024603.8
OG0007211	Nana02987-RA	ENSMUSG00000001155.13
OG0007212	Nana08826-RA	ENSMUSG00000024610.15
OG0007213	Nana02995-RB, Nana02995-RA	ENSMUSG00000048126.16
OG0007214	Nana35908-RA, Nana02829-RA	ENSMUSG00000020152.7
OG0007215	Nana08840-RC, Nana08840-RB	ENSMUSG00000024622.8
OG0007216	Nana02808-RB	ENSMUSG00000044966.4
OG0007217	Nana02805-RA	ENSMUSG00000027420.13
OG0007218	Nana08846-RA	ENSMUSG00000020376.17
OG0007219	Nana08848-RA	ENSMUSG00000015837.15
OG0007220	Nana08849-RA	ENSMUSG00000036620.14
OG0007221	Nana02780-RA	ENSMUSG00000045624.15
OG0007222	Nana08850-RC, Nana08850-RB	ENSMUSG00000050567.16
OG0007223	Nana02782-RA, Nana02782-RB	ENSMUSG00000027384.6
OG0007224	Nana08872-RA	ENSMUSG00000020359.13
OG0007225	Nana08877-RA, Nana08877-RC, Nana08877-RB	ENSMUSG00000014503.15
OG0007226	Nana02707-RA	ENSMUSG00000024359.10
OG0007227	Nana00989-RA	ENSMUSG00000037104.9
OG0007228	Nana02689-RA	ENSMUSG00000042997.13
OG0007229	Nana02678-RA, Nana02678-RB	ENSMUSG00000031480.15
OG0007230	Nana00974-RB, Nana00974-RA	ENSMUSG00000002767.13
OG0007231	Nana00967-RA, Nana00966-RA	ENSMUSG00000063576.12
OG0007232	Nana00965-RA	ENSMUSG00000002768.8
OG0007233	Nana02760-RA, Nana02760-RB	ENSMUSG00000027273.13
OG0007234	Nana08705-RB, Nana08705-RA	ENSMUSG00000005320.9
OG0007235	Nana08700-RA	ENSMUSG00000021486.7
OG0007236	Nana08699-RD, Nana08699-RE	ENSMUSG00000021485.14
OG0007237	Nana02972-RA, Nana02972-RB	ENSMUSG00000022105.6
OG0007238	Nana08697-RG, Nana08697-RA, Nana08697-RB	ENSMUSG00000035711.5
OG0007239	Nana08695-RA	ENSMUSG00000021493.15
OG0007240	Nana02976-RA	ENSMUSG00000033405.4
OG0007241	Nana02977-RA	ENSMUSG00000022109.6
OG0007242	Nana02980-RA	ENSMUSG00000049717.9
OG0007243	Nana08683-RA	ENSMUSG00000052087.14
OG0007244	Nana08678-RA	ENSMUSG00000021504.14
OG0007245	Nana08676-RA	ENSMUSG00000001053.15
OG0007246	Nana08675-RC, Nana08675-RB, Nana08675-RA	ENSMUSG00000001054.9
OG0007247	Nana02956-RB, Nana02956-RA	ENSMUSG00000071350.12
OG0007248	Nana02955-RA	ENSMUSG00000091649.3, ENSMUSG00000044703.5, ENSMUSG00000091144.2, ENSMUSG00000068245.14
OG0007249	Nana02954-RA, Nana02954-RB	ENSMUSG00000035469.17
OG0007250	Nana08650-RA	ENSMUSG00000032607.12
OG0007251	Nana08649-RB	ENSMUSG00000032606.7
OG0007252	Nana02952-RA, Nana02952-RB	ENSMUSG00000021930.14
OG0007253	Nana02951-RA	ENSMUSG00000035235.13
OG0007254	Nana08641-RA	ENSMUSG00000034023.16
OG0007255	Nana02946-RB, Nana02946-RA	ENSMUSG00000030045.10
OG0007256	Nana02940-RA	ENSMUSG00000042256.5
OG0007257	Nana02934-RA, Nana02935-RA	ENSMUSG00000061665.7
OG0007258	Nana02931-RA	ENSMUSG00000023915.5
OG0007259	Nana02928-RA	ENSMUSG00000056492.6
OG0007260	Nana02909-RA, Nana02908-RA	ENSMUSG00000038954.14
OG0007261	Nana08629-RA, Nana08628-RA	ENSMUSG00000032582.14
OG0007262	Nana08611-RB, Nana08611-RA	ENSMUSG00000032590.14
OG0007263	Nana08609-RA	ENSMUSG00000032591.15
OG0007264	Nana08608-RA, Nana08608-RB	ENSMUSG00000010048.10
OG0007265	Nana02593-RA	ENSMUSG00000037169.15, ENSMUSG00000044597.4
OG0007266	Nana02588-RB, Nana02588-RA	ENSMUSG00000037149.10
OG0007267	Nana08603-RA, Nana08603-RB	ENSMUSG00000010047.12
OG0007268	Nana08597-RB, Nana08597-RA	ENSMUSG00000010045.2
OG0007269	Nana08587-RA, Nana08585-RA	ENSMUSG00000037977.6
OG0007270	Nana08580-RA, Nana08580-RB	ENSMUSG00000032578.7
OG0007271	Nana02569-RA, Nana02569-RB	ENSMUSG00000057469.8
OG0007272	Nana08561-RB, Nana08561-RA	ENSMUSG00000040661.6
OG0007273	Nana02561-RA	ENSMUSG00000020566.19
OG0007274	Nana02547-RC, Nana02547-RB	ENSMUSG00000020653.12
OG0007275	Nana08545-RB, Nana08545-RA	ENSMUSG00000042073.15
OG0007276	Nana02540-RA	ENSMUSG00000062054.7
OG0007277	Nana02536-RA, Nana02536-RB	ENSMUSG00000052632.16
OG0007278	Nana02412-RA	ENSMUSG00000032349.13
OG0007279	Nana02414-RA	ENSMUSG00000001366.14
OG0007280	Nana02421-RB, Nana02421-RA	ENSMUSG00000025933.15
OG0007281	Nana02426-RA	ENSMUSG00000039842.15
OG0007282	Nana02618-RA	ENSMUSG00000048387.8
OG0007283	Nana02626-RA	ENSMUSG00000020592.14
OG0007284	Nana02636-RA, Nana02637-RA	ENSMUSG00000037669.15
OG0007285	Nana08481-RB, Nana08481-RA	ENSMUSG00000025646.9
OG0007286	Nana08478-RA, Nana08478-RB	ENSMUSG00000021385.10
OG0007287	Nana02443-RA	ENSMUSG00000031461.4
OG0007288	Nana02455-RA	ENSMUSG00000051978.9
OG0007289	Nana02460-RA	ENSMUSG00000036136.9
OG0007290	Nana02389-RA, Nana02389-RB	ENSMUSG00000026131.20
OG0007291	Nana02377-RA	ENSMUSG00000042215.8
OG0007292	Nana08398-RA	ENSMUSG00000021962.9
OG0007293	Nana08384-RA, Nana27055-RA	ENSMUSG00000045776.3
OG0007294	Nana02336-RB, Nana02336-RA	ENSMUSG00000026153.15
OG0007295	Nana02329-RA	ENSMUSG00000024654.8
OG0007296	Nana08363-RA	ENSMUSG00000040760.11
OG0007297	Nana02172-RA, Nana02174-RA	ENSMUSG00000040455.17
OG0007298	Nana08361-RA	ENSMUSG00000043702.9, ENSMUSG00000116251.1
OG0007299	Nana02191-RA	ENSMUSG00000045751.16
OG0007300	Nana08359-RA	ENSMUSG00000116230.1, ENSMUSG00000040818.10
OG0007301	Nana08357-RA	ENSMUSG00000021870.17
OG0007302	Nana02222-RA	ENSMUSG00000028282.12
OG0007303	Nana02245-RA	ENSMUSG00000040044.11
OG0007304	Nana02246-RB, Nana02246-RA	ENSMUSG00000028292.14
OG0007305	Nana08350-RA	ENSMUSG00000106672.3, ENSMUSG00000032599.12
OG0007306	Nana02249-RB, Nana02249-RA	ENSMUSG00000028295.14
OG0007307	Nana39783-RA, Nana02258-RA	ENSMUSG00000032420.8
OG0007308	Nana01998-RB, Nana01998-RA	ENSMUSG00000019792.8
OG0007309	Nana02036-RA, Nana02038-RA	ENSMUSG00000058298.10
OG0007310	Nana02041-RA	ENSMUSG00000038602.7
OG0007311	Nana02044-RC, Nana02044-RB	ENSMUSG00000019861.15
OG0007312	Nana08315-RA	ENSMUSG00000030079.15
OG0007313	Nana02049-RA	ENSMUSG00000019905.8
OG0007314	Nana02051-RA	ENSMUSG00000039531.8
OG0007315	Nana02060-RA	ENSMUSG00000019782.10
OG0007316	Nana02061-RA	ENSMUSG00000071340.2
OG0007317	Nana08306-RA	ENSMUSG00000033152.13
OG0007318	Nana02062-RA	ENSMUSG00000046031.7
OG0007319	Nana02063-RA	ENSMUSG00000039497.8
OG0007320	Nana02132-RA	ENSMUSG00000038160.7
OG0007321	Nana02129-RA	ENSMUSG00000019863.7
OG0007322	Nana08273-RA, Nana08273-RB	ENSMUSG00000030095.10
OG0007323	Nana02117-RA	ENSMUSG00000019803.11
OG0007324	Nana08261-RA	ENSMUSG00000034083.16
OG0007325	Nana02103-RA, Nana02103-RB	ENSMUSG00000019826.11
OG0007326	Nana02102-RA	ENSMUSG00000091415.5
OG0007327	Nana08251-RB, Nana08251-RA	ENSMUSG00000014550.14
OG0007328	Nana02091-RA	ENSMUSG00000075232.6, ENSMUSG00000063953.3
OG0007329	Nana02090-RA	ENSMUSG00000019837.8
OG0007330	Nana02089-RA	ENSMUSG00000038510.12
OG0007331	Nana08163-RA	ENSMUSG00000034639.7
OG0007332	Nana39497-RA, Nana08157-RA	ENSMUSG00000005362.14
OG0007333	Nana02079-RA	ENSMUSG00000019845.8
OG0007334	Nana22079-RA	ENSMUSG00000037949.8
OG0007335	Nana08143-RA, Nana08144-RA	ENSMUSG00000030077.11
OG0007336	Nana22055-RA	ENSMUSG00000032435.9
OG0007337	Nana22044-RA, Nana22044-RB	ENSMUSG00000032437.10
OG0007338	Nana08112-RA	ENSMUSG00000035378.17
OG0007339	Nana08096-RA	ENSMUSG00000030068.4, ENSMUSG00000093661.1
OG0007340	Nana08089-RA	ENSMUSG00000030067.17
OG0007341	Nana22002-RA, Nana22001-RA	ENSMUSG00000042567.20
OG0007342	Nana08064-RA	ENSMUSG00000061838.7
OG0007343	Nana08053-RA	ENSMUSG00000045100.11
OG0007344	Nana02279-RA	ENSMUSG00000035274.13
OG0007345	Nana30126-RA, Nana30126-RC	ENSMUSG00000037583.2
OG0007346	Nana07982-RA, Nana07982-RB	ENSMUSG00000032601.13
OG0007347	Nana07973-RA, Nana07973-RB	ENSMUSG00000070283.4
OG0007348	Nana02313-RB, Nana02313-RA	ENSMUSG00000032328.12
OG0007349	Nana01857-RA, Nana01856-RA	ENSMUSG00000019806.13
OG0007350	Nana16127-RA	ENSMUSG00000091636.2
OG0007351	Nana01969-RA	ENSMUSG00000037370.13
OG0007352	Nana07837-RB, Nana07837-RA	ENSMUSG00000020372.15
OG0007353	Nana07903-RA	ENSMUSG00000025645.8
OG0007354	Nana10600-RA	ENSMUSG00000057762.6, ENSMUSG00000031146.6
OG0007355	Nana01845-RA	ENSMUSG00000078348.4
OG0007356	Nana07922-RA	ENSMUSG00000048930.12
OG0007357	Nana01834-RA	ENSMUSG00000047648.13
OG0007358	Nana00500-RA	ENSMUSG00000040599.13
OG0007359	Nana01692-RA	ENSMUSG00000062078.15
OG0007360	Nana01700-RA	ENSMUSG00000059481.5
OG0007361	Nana07829-RA	ENSMUSG00000020346.16
OG0007362	Nana01710-RA	ENSMUSG00000068039.13
OG0007363	Nana01714-RA	ENSMUSG00000006818.5
OG0007364	Nana01717-RA	ENSMUSG00000033450.8, ENSMUSG00000052031.8
OG0007365	Nana01730-RA	ENSMUSG00000004945.15
OG0007366	Nana01749-RA	ENSMUSG00000046201.9
OG0007368	Nana01762-RA	ENSMUSG00000019774.8
OG0007369	Nana01521-RA	ENSMUSG00000039748.11
OG0007370	Nana01540-RA	ENSMUSG00000046159.16
OG0007371	Nana01562-RB, Nana01562-RA	ENSMUSG00000050244.9
OG0007372	Nana01568-RC, Nana01568-RB	ENSMUSG00000021306.11
OG0007373	Nana01576-RA	ENSMUSG00000039242.10
OG0007374	Nana01578-RA	ENSMUSG00000021302.10
OG0007375	Nana01582-RA, Nana01582-RB	ENSMUSG00000093904.2
OG0007376	Nana01584-RB, Nana01584-RA	ENSMUSG00000051495.7
OG0007377	Nana01589-RA	ENSMUSG00000057060.8
OG0007378	Nana01611-RA	ENSMUSG00000039960.5
OG0007379	Nana01623-RA	ENSMUSG00000089704.9, ENSMUSG00000092329.1
OG0007380	Nana01636-RA	ENSMUSG00000031985.9
OG0007381	Nana01642-RA	ENSMUSG00000014763.8
OG0007382	Nana01643-RA	ENSMUSG00000014773.13
OG0007383	Nana01646-RA	ENSMUSG00000079707.10, ENSMUSG00000079710.10, ENSMUSG00000116780.1
OG0007384	Nana12288-RA, Nana12289-RA	ENSMUSG00000021720.11
OG0007385	Nana12283-RA	ENSMUSG00000021715.12
OG0007386	Nana01379-RA, Nana01379-RB	ENSMUSG00000023942.15
OG0007387	Nana01376-RB, Nana01376-RA	ENSMUSG00000037089.11
OG0007388	Nana01412-RC, Nana01412-RB	ENSMUSG00000032842.13
OG0007389	Nana01415-RC, Nana01415-RB	ENSMUSG00000002017.10
OG0007390	Nana01417-RA	ENSMUSG00000071042.12
OG0007391	Nana01422-RA	ENSMUSG00000024078.7
OG0007392	Nana01438-RA	ENSMUSG00000053916.4
OG0007393	Nana01456-RA	ENSMUSG00000024074.8
OG0007394	Nana01485-RA	ENSMUSG00000038936.13
OG0007395	Nana01059-RA, Nana01059-RB	ENSMUSG00000036568.7
OG0007396	Nana01067-RA	ENSMUSG00000016181.9
OG0007397	Nana01083-RA	ENSMUSG00000037395.15, ENSMUSG00000111452.1
OG0007398	Nana01084-RA	ENSMUSG00000026637.13, ENSMUSG00000111385.1
OG0007399	Nana01087-RA	ENSMUSG00000111723.1, ENSMUSG00000049353.17
OG0007400	Nana01090-RA	ENSMUSG00000110850.1, ENSMUSG00000037434.7
OG0007401	Nana01098-RA	ENSMUSG00000026623.16
OG0007402	Nana01110-RB, Nana01110-RA	ENSMUSG00000026628.13
OG0007403	Nana01113-RB, Nana01113-RA	ENSMUSG00000026632.17
OG0007404	Nana01115-RB, Nana01115-RA	ENSMUSG00000037568.12
OG0007405	Nana01131-RA, Nana01130-RA	ENSMUSG00000026605.14
OG0007406	Nana01136-RA, Nana01136-RB	ENSMUSG00000026608.13
OG0007407	Nana01148-RA, Nana01150-RA	ENSMUSG00000026611.17
OG0007408	Nana01174-RA	ENSMUSG00000039246.8
OG0007409	Nana01178-RA, Nana01178-RB	ENSMUSG00000026615.14
OG0007410	Nana01179-RA	ENSMUSG00000026617.16
OG0007411	Nana01180-RB, Nana01180-RA	ENSMUSG00000026618.11
OG0007412	Nana01185-RB, Nana01185-RA	ENSMUSG00000026620.11
OG0007413	Nana01196-RB, Nana01196-RA	ENSMUSG00000039377.7
OG0007414	Nana01211-RA	ENSMUSG00000053461.9
OG0007415	Nana01212-RA	ENSMUSG00000072258.10
OG0007416	Nana01216-RA	ENSMUSG00000042901.10
OG0007417	Nana03455-RA	ENSMUSG00000005233.16
OG0007418	Nana01310-RA	ENSMUSG00000041057.10
OG0007419	Nana01274-RA	ENSMUSG00000026496.11
OG0007420	Nana00935-RA	ENSMUSG00000027374.12
OG0007421	Nana00927-RA	ENSMUSG00000024246.9
OG0007422	Nana00923-RA, Nana00923-RB	ENSMUSG00000054901.7
OG0007423	Nana00918-RA	ENSMUSG00000035473.10
OG0007424	Nana00910-RA	ENSMUSG00000033068.16
OG0007425	Nana00899-RB, Nana00899-RA	ENSMUSG00000005371.15
OG0007426	Nana00893-RA, Nana00895-RA	ENSMUSG00000034709.8
OG0007427	Nana00855-RA, Nana00855-RB	ENSMUSG00000020462.14
OG0007428	Nana00852-RA	ENSMUSG00000020464.15
OG0007429	Nana00876-RA, Nana00876-RB	ENSMUSG00000020311.17
OG0007432	Nana10447-RA	ENSMUSG00000113951.1, ENSMUSG00000113489.1
OG0007433	Nana36899-RB, Nana36899-RA, Nana37844-RA	ENSMUSG00000026803.17
OG0007435	Nana00636-RA	ENSMUSG00000020801.8
OG0007436	Nana00080-RA	ENSMUSG00000001100.10
OG0007437	Nana36040-RC, Nana36040-RD, Nana36040-RA, Nana36040-RB	ENSMUSG00000027954.9
OG0007438	Nana00376-RA	ENSMUSG00000037278.9
OG0007439	Nana14215-RA	ENSMUSG00000024220.14
OG0007440	Nana34482-RA	ENSMUSG00000029546.12
OG0007441	Nana36143-RA	ENSMUSG00000032657.15
OG0007443	Nana36466-RA, Nana36466-RB	ENSMUSG00000026879.14
OG0007445	Nana35495-RA, Nana35495-RB	ENSMUSG00000020454.17
OG0007447	Nana06076-RA	ENSMUSG00000110900.1, ENSMUSG00000031848.15
OG0007448	Nana36924-RA	ENSMUSG00000014852.16
OG0007449	Nana36918-RB, Nana36918-RC	ENSMUSG00000015790.16
OG0007450	Nana36916-RC	ENSMUSG00000036160.13
OG0007452	Nana31100-RA	ENSMUSG00000031955.10
OG0007453	Nana24345-RA	ENSMUSG00000070394.10
OG0007454	Nana37635-RJ, Nana37635-RG, Nana37635-RK, Nana37635-RB	ENSMUSG00000028756.12
OG0007455	Nana04536-RA, Nana04537-RA, Nana04535-RA	ENSMUSG00000030790.15
OG0007457	Nana34962-RA, Nana34962-RC, Nana34962-RB, Nana34962-RD	ENSMUSG00000020419.11
OG0007458	Nana34955-RA, Nana34955-RB, Nana34955-RC	ENSMUSG00000034354.17
OG0007461	Nana36844-RA, Nana36844-RB	ENSMUSG00000026851.9
OG0007463	Nana37589-RB, Nana37589-RC, Nana37589-RA	ENSMUSG00000028952.12
OG0007465	Nana35685-RA	ENSMUSG00000008604.11
OG0007472	Nana06634-RA	ENSMUSG00000002393.14
OG0007474	Nana00035-RA	ENSMUSG00000020849.13
OG0007475	Nana39182-RA	ENSMUSG00000075593.10
OG0007477	Nana00563-RB	ENSMUSG00000025532.13
OG0007479	Nana39634-RB, Nana39634-RA, Nana38730-RA	ENSMUSG00000018923.13
OG0007480	Nana15394-RA, Nana15395-RA	ENSMUSG00000024442.6
OG0007481	Nana06607-RA, Nana06607-RB	ENSMUSG00000042099.16
OG0007484	Nana32849-RA	ENSMUSG00000030519.14
OG0007486	Nana28218-RA, Nana28217-RA	ENSMUSG00000022085.4
OG0007487	Nana06545-RA	ENSMUSG00000040028.10
OG0007491	Nana34676-RA, Nana34676-RC, Nana34676-RB	ENSMUSG00000043510.12
OG0007492	Nana25206-RA, Nana25204-RA	ENSMUSG00000025899.14
OG0007493	Nana01321-RA	ENSMUSG00000106918.3
OG0007495	Nana32398-RC, Nana32398-RB, Nana32398-RA	ENSMUSG00000016534.15
OG0007497	Nana27396-RB	ENSMUSG00000020059.9, ENSMUSG00000031125.2
OG0007500	Nana28007-RC, Nana28007-RB, Nana28007-RA	ENSMUSG00000046679.16
OG0007502	Nana34707-RC, Nana34707-RB, Nana34707-RE	ENSMUSG00000051339.10
OG0007503	Nana18015-RA	ENSMUSG00000035151.12
OG0007505	Nana35326-RA, Nana35332-RA	ENSMUSG00000044017.16
OG0007508	Nana16671-RA	ENSMUSG00000014313.15
OG0007509	Nana28019-RA	ENSMUSG00000055850.12, ENSMUSG00000102720.5
OG0007510	Nana00144-RA	ENSMUSG00000005951.13
OG0007511	Nana13159-RA	ENSMUSG00000001403.13
OG0007513	Nana00586-RA	ENSMUSG00000020485.14
OG0007514	Nana34887-RA, Nana34887-RB	ENSMUSG00000032690.16, ENSMUSG00000032661.9
OG0007515	Nana29878-RA	ENSMUSG00000000409.14
OG0007516	Nana22691-RA	ENSMUSG00000028416.12
OG0007518	Nana35744-RA	ENSMUSG00000024841.8
OG0007520	Nana36160-RA, Nana36160-RB, Nana36160-RC	ENSMUSG00000001016.12
OG0007521	Nana34731-RB, Nana34731-RA	ENSMUSG00000044339.12
OG0007523	Nana32971-RA, Nana32967-RA	ENSMUSG00000037716.15
OG0007525	Nana12460-RB, Nana12460-RA, Nana12458-RA	ENSMUSG00000022206.7
OG0007527	Nana17816-RA	ENSMUSG00000028167.15
OG0007528	Nana23535-RE	ENSMUSG00000036892.12
OG0007529	Nana35553-RA, Nana35553-RC, Nana35553-RB	ENSMUSG00000041617.10
OG0007531	Nana30173-RA, Nana13514-RA, Nana30176-RA	ENSMUSG00000066043.13
OG0007532	Nana06034-RB, Nana06034-RC	ENSMUSG00000110906.1, ENSMUSG00000002910.11
OG0007533	Nana06025-RB	ENSMUSG00000111826.1, ENSMUSG00000031834.15
OG0007534	Nana30854-RC	ENSMUSG00000042831.13, ENSMUSG00000019737.14
OG0007536	Nana20117-RA	ENSMUSG00000035048.13
OG0007537	Nana20124-RB, Nana20124-RA	ENSMUSG00000032553.14
OG0007538	Nana35867-RF, Nana35867-RH, Nana35867-RG	ENSMUSG00000079478.9, ENSMUSG00000118125.1
OG0007539	Nana35242-RA	ENSMUSG00000098615.4, ENSMUSG00000000325.16
OG0007541	Nana33395-RA, Nana06254-RA, Nana12088-RA	ENSMUSG00000079033.10
OG0007542	Nana37620-RA	ENSMUSG00000028637.16
OG0007546	Nana35705-RA	ENSMUSG00000074489.9, ENSMUSG00000074483.2, ENSMUSG00000074486.2
OG0007581	Nana19628-RA	ENSMUSG00000057858.8
OG0007582	Nana19631-RA	ENSMUSG00000040022.14
OG0007583	Nana19645-RA	ENSMUSG00000040901.8
OG0007584	Nana19659-RA	ENSMUSG00000041362.17
OG0007585	Nana14760-RA	ENSMUSG00000039047.17
OG0007586	Nana19660-RA	ENSMUSG00000048029.10
OG0007587	Nana03358-RA	ENSMUSG00000027099.9
OG0007588	Nana19667-RA	ENSMUSG00000025092.7
OG0007589	Nana32056-RA, Nana32055-RA	ENSMUSG00000050332.7
OG0007590	Nana03365-RA	ENSMUSG00000050368.4
OG0007591	Nana17307-RA	ENSMUSG00000047013.15
OG0007592	Nana03366-RA	ENSMUSG00000042499.13
OG0007593	Nana05898-RA	ENSMUSG00000055128.15
OG0007594	Nana03372-RA	ENSMUSG00000009207.15
OG0007595	Nana37642-RA	ENSMUSG00000116181.1, ENSMUSG00000051435.11
OG0007597	Nana39917-RA	ENSMUSG00000042672.15
OG0007598	Nana19674-RA	ENSMUSG00000025089.15
OG0007599	Nana32092-RA	ENSMUSG00000031283.16
OG0007601	Nana36500-RA	ENSMUSG00000035403.10
OG0007602	Nana30973-RA	ENSMUSG00000002980.14
OG0007603	Nana29027-RA	ENSMUSG00000035382.9
OG0007604	Nana19689-RA	ENSMUSG00000025085.16
OG0007605	Nana00382-RA	ENSMUSG00000000282.12
OG0007606	Nana31107-RA	ENSMUSG00000040631.8
OG0007607	Nana15777-RA	ENSMUSG00000059288.14
OG0007608	Nana13255-RA	ENSMUSG00000027469.16
OG0007609	Nana33372-RA	ENSMUSG00000030513.14
OG0007610	Nana33763-RA	ENSMUSG00000030871.11
OG0007611	Nana33439-RA	ENSMUSG00000032816.15
OG0007612	Nana15799-RA	ENSMUSG00000054889.10
OG0007613	Nana32069-RB	ENSMUSG00000035045.17
OG0007614	Nana27911-RA	ENSMUSG00000032478.14
OG0007615	Nana32066-RA	ENSMUSG00000035062.13
OG0007616	Nana33510-RA	ENSMUSG00000033629.6
OG0007617	Nana15801-RA	ENSMUSG00000039004.6
OG0007618	Nana13144-RA	ENSMUSG00000039873.4
OG0007619	Nana10762-RA	ENSMUSG00000003299.10
OG0007620	Nana24085-RA, Nana39737-RA	ENSMUSG00000049532.11
OG0007621	Nana36567-RA	ENSMUSG00000059013.12
OG0007622	Nana15803-RA	ENSMUSG00000038982.10
OG0007623	Nana32907-RA	ENSMUSG00000032911.6
OG0007624	Nana32924-RA	ENSMUSG00000049556.5
OG0007625	Nana05942-RA	ENSMUSG00000034761.15
OG0007626	Nana06078-RA	ENSMUSG00000056204.8
OG0007628	Nana05913-RA	ENSMUSG00000021806.4
OG0007629	Nana15812-RA	ENSMUSG00000021359.16
OG0007631	Nana36734-RB	ENSMUSG00000015087.14
OG0007632	Nana32928-RA	ENSMUSG00000074305.9
OG0007633	Nana26129-RA	ENSMUSG00000079588.3
OG0007634	Nana18852-RA	ENSMUSG00000048701.13
OG0007635	Nana15815-RA	ENSMUSG00000021363.14
OG0007636	Nana26127-RA	ENSMUSG00000041945.12
OG0007637	Nana26125-RA	ENSMUSG00000026062.12
OG0007638	Nana15816-RA	ENSMUSG00000021362.7
OG0007639	Nana32932-RA	ENSMUSG00000032322.14
OG0007640	Nana15817-RA	ENSMUSG00000038651.15
OG0007641	Nana26122-RA	ENSMUSG00000026070.15
OG0007642	Nana15818-RA	ENSMUSG00000021364.16
OG0007643	Nana05944-RA	ENSMUSG00000054894.6
OG0007644	Nana15821-RA	ENSMUSG00000021365.15
OG0007645	Nana18857-RA	ENSMUSG00000037747.9
OG0007646	Nana15823-RA	ENSMUSG00000087370.3
OG0007647	Nana13263-RA	ENSMUSG00000000359.3
OG0007648	Nana18861-RA	ENSMUSG00000014329.14
OG0007649	Nana32721-RA	ENSMUSG00000047230.6
OG0007650	Nana05947-RA	ENSMUSG00000034801.13
OG0007651	Nana08239-RA	ENSMUSG00000030123.15
OG0007652	Nana15828-RA	ENSMUSG00000021367.8
OG0007653	Nana00373-RA	ENSMUSG00000020826.9
OG0007654	Nana26113-RA	ENSMUSG00000026074.15
OG0007655	Nana03224-RB	ENSMUSG00000041303.7
OG0007656	Nana34183-RA	ENSMUSG00000066197.5
OG0007657	Nana11299-RA	ENSMUSG00000031491.10
OG0007658	Nana11301-RA	ENSMUSG00000031492.13
OG0007659	Nana08235-RA	ENSMUSG00000030321.15
OG0007660	Nana04515-RA	ENSMUSG00000079502.8
OG0007662	Nana11311-RA	ENSMUSG00000046152.16
OG0007663	Nana08232-RA	ENSMUSG00000030298.10
OG0007664	Nana29881-RA	ENSMUSG00000047945.6
OG0007665	Nana36335-RA	ENSMUSG00000028072.6
OG0007666	Nana08229-RA	ENSMUSG00000033933.13
OG0007667	Nana15703-RA	ENSMUSG00000047259.3
OG0007668	Nana08223-RA	ENSMUSG00000030257.16
OG0007669	Nana15701-RA	ENSMUSG00000022195.7
OG0007670	Nana29875-RA	ENSMUSG00000028798.16
OG0007671	Nana36336-RC, Nana36336-RB	ENSMUSG00000028073.15
OG0007672	Nana36775-RA	ENSMUSG00000026885.13
OG0007673	Nana17510-RA	ENSMUSG00000034930.16
OG0007674	Nana37525-RA	ENSMUSG00000028975.16
OG0007675	Nana39915-RA	ENSMUSG00000027316.15
OG0007676	Nana35912-RA	ENSMUSG00000024927.8
OG0007677	Nana12872-RA	ENSMUSG00000078716.10
OG0007679	Nana29843-RA	ENSMUSG00000040795.12
OG0007680	Nana08221-RA	ENSMUSG00000030254.16
OG0007681	Nana29842-RA	ENSMUSG00000028795.15
OG0007682	Nana08219-RA	ENSMUSG00000049112.9
OG0007683	Nana29841-RA	ENSMUSG00000053841.15
OG0007684	Nana37047-RA	ENSMUSG00000036186.5
