Orthogroup	N_naja.pep	G_gallus.pep
OG0004409	Nana22984-RA	ENSGALG00000042796.3
OG0004410	Nana26930-RA	ENSGALG00000041783.2
OG0004411	Nana26932-RC, Nana26932-RB, Nana26932-RA	ENSGALG00000010190.6
OG0004412	Nana14504-RA, Nana14504-RB	ENSGALG00000010555.8
OG0004413	Nana26947-RA	ENSGALG00000010208.6
OG0004414	Nana23006-RA, Nana23006-RB	ENSGALG00000030899.3
OG0004415	Nana19242-RA	ENSGALG00000004319.6
OG0004416	Nana14509-RD, Nana14509-RB, Nana14509-RC	ENSGALG00000010613.6
OG0004417	Nana19494-RB, Nana19494-RA	ENSGALG00000009823.6
OG0004418	Nana17649-RA, Nana17649-RB	ENSGALG00000023199.5
OG0004420	Nana17667-RC, Nana17667-RB, Nana17667-RA	ENSGALG00000011208.5
OG0004421	Nana14534-RB, Nana14534-RA	ENSGALG00000031606.3
OG0004422	Nana23055-RA, Nana23056-RA	ENSGALG00000013495.7
OG0004423	Nana02724-RA	ENSGALG00000002152.6
OG0004424	Nana19570-RC, Nana19570-RA, Nana19570-RB	ENSGALG00000032289.2
OG0004425	Nana19545-RA	ENSGALG00000009684.5
OG0004426	Nana23069-RB, Nana23069-RC, Nana23069-RA	ENSGALG00000051645.1
OG0004427	Nana19531-RA	ENSGALG00000034013.2
OG0004428	Nana23087-RA, Nana23086-RA	ENSGALG00000003859.5
OG0004429	Nana14178-RC, Nana14178-RB, Nana14178-RA	ENSGALG00000034456.3
OG0004430	Nana23097-RA, Nana23098-RA	ENSGALG00000040050.2, ENSGALG00000034204.2, ENSGALG00000034054.3
OG0004431	Nana17727-RB, Nana17727-RA	ENSGALG00000010363.6
OG0004432	Nana19585-RA, Nana19585-RB	ENSGALG00000034548.2
OG0004433	Nana17729-RB, Nana17729-RC, Nana17729-RA	ENSGALG00000010371.6
OG0004434	Nana14187-RA	ENSGALG00000003474.6
OG0004435	Nana17763-RA, Nana17764-RA	ENSGALG00000012211.6
OG0004436	Nana14193-RA	ENSGALG00000003447.6
OG0004437	Nana19600-RB, Nana19600-RA	ENSGALG00000009455.7
OG0004438	Nana14205-RA	ENSGALG00000033497.2
OG0004439	Nana23128-RA	ENSGALG00000054531.1
OG0004440	Nana26800-RA	ENSGALG00000009856.5
OG0004441	Nana26849-RC, Nana26849-RB, Nana26849-RA	ENSGALG00000009743.6
OG0004442	Nana29506-RA	ENSGALG00000003212.7, ENSGALG00000014166.6
OG0004443	Nana14249-RB, Nana14249-RA	ENSGALG00000003247.6
OG0004444	Nana23177-RB, Nana23177-RA	ENSGALG00000036962.2
OG0004445	Nana14251-RB, Nana14251-RA, Nana14251-RC	ENSGALG00000000511.7
OG0004446	Nana14285-RA	ENSGALG00000002644.7
OG0004447	Nana23222-RA	ENSGALG00000001525.7
OG0004448	Nana23227-RA	ENSGALG00000001309.5
OG0004449	Nana14286-RB, Nana14286-RA	ENSGALG00000037744.2
OG0004450	Nana26480-RB, Nana26480-RA	ENSGALG00000016932.6
OG0004451	Nana23246-RB, Nana23246-RA	ENSGALG00000009944.5
OG0004452	Nana37861-RA, Nana23250-RA	ENSGALG00000040529.2
OG0004453	Nana26395-RA	ENSGALG00000048723.1
OG0004454	Nana14298-RA, Nana14298-RB	ENSGALG00000034630.3
OG0004455	Nana18308-RA, Nana18308-RB	ENSGALG00000006334.7
OG0004456	Nana23260-RA	ENSGALG00000041555.2
OG0004457	Nana26279-RD, Nana26279-RA	ENSGALG00000016886.6
OG0004458	Nana23264-RA	ENSGALG00000035580.2
OG0004459	Nana14038-RA	ENSGALG00000001405.6
OG0004460	Nana26282-RD, Nana26282-RC, Nana26282-RE	ENSGALG00000016883.6
OG0004461	Nana26283-RA	ENSGALG00000016880.7
OG0004462	Nana29620-RA	ENSGALG00000009023.6
OG0004464	Nana29618-RA, Nana29619-RA	ENSGALG00000009002.6
OG0004465	Nana26273-RA, Nana26272-RA	ENSGALG00000016858.5
OG0004466	Nana26242-RD, Nana26242-RC, Nana26242-RB	ENSGALG00000016845.6
OG0004467	Nana26241-RC, Nana26241-RB, Nana26241-RA	ENSGALG00000016847.6
OG0004468	Nana26236-RA, Nana26236-RB, Nana26236-RC	ENSGALG00000030125.3
OG0004469	Nana23332-RC, Nana23332-RA, Nana23332-RB	ENSGALG00000054125.1
OG0004470	Nana13957-RA	ENSGALG00000002147.6
OG0004471	Nana26196-RC, Nana26196-RB, Nana26196-RA	ENSGALG00000016824.6
OG0004473	Nana13922-RB, Nana13922-RA	ENSGALG00000000616.7
OG0004475	Nana26166-RB, Nana26166-RA	ENSGALG00000016806.7
OG0004476	Nana13885-RB, Nana13885-RA	ENSGALG00000000518.6
OG0004477	Nana26153-RA	ENSGALG00000016796.4
OG0004478	Nana13880-RA, Nana13880-RB	ENSGALG00000031175.2
OG0004479	Nana18443-RB, Nana18443-RA	ENSGALG00000015635.5
OG0004480	Nana18445-RA	ENSGALG00000015649.7
OG0004481	Nana18446-RC, Nana18446-RB, Nana18446-RA	ENSGALG00000015652.7
OG0004482	Nana26048-RA, Nana26047-RA	ENSGALG00000016740.7
OG0004483	Nana13859-RA	ENSGALG00000027416.3
OG0004484	Nana13854-RA, Nana13854-RB	ENSGALG00000001522.6
OG0004485	Nana13853-RB, Nana13853-RA, Nana13853-RC	ENSGALG00000025948.3
OG0004486	Nana26043-RC, Nana26043-RA, Nana26043-RB	ENSGALG00000016737.5
OG0004487	Nana26038-RA	ENSGALG00000016734.6
OG0004488	Nana26035-RA, Nana26035-RB	ENSGALG00000016727.6
OG0004489	Nana13835-RA, Nana13835-RB	ENSGALG00000003362.6
OG0004490	Nana26022-RA, Nana26022-RC, Nana26022-RB	ENSGALG00000016687.3
OG0004491	Nana26004-RA	ENSGALG00000042759.2
OG0004492	Nana29443-RA	ENSGALG00000040393.2
OG0004493	Nana29453-RB, Nana29453-RA	ENSGALG00000014551.6, ENSGALG00000048687.1
OG0004494	Nana29456-RA, Nana29456-RB	ENSGALG00000028840.3
OG0004495	Nana13801-RC	ENSGALG00000003045.5
OG0004496	Nana39700-RA, Nana13794-RA	ENSGALG00000033696.3
OG0004497	Nana29486-RB, Nana29486-RC, Nana29486-RA	ENSGALG00000019261.4
OG0004498	Nana13782-RA	ENSGALG00000001209.7
OG0004499	Nana29499-RA	ENSGALG00000014188.7
OG0004500	Nana25882-RA	ENSGALG00000016547.6
OG0004501	Nana29505-RA	ENSGALG00000014167.7
OG0004502	Nana29510-RB, Nana29510-RA	ENSGALG00000014159.6
OG0004503	Nana13721-RA, Nana13719-RA	ENSGALG00000044404.2, ENSGALG00000049420.1
OG0004504	Nana25861-RA	ENSGALG00000016430.6
OG0004505	Nana29162-RA	ENSGALG00000006576.6
OG0004506	Nana29191-RA, Nana29191-RB	ENSGALG00000035636.3
OG0004507	Nana25822-RA	ENSGALG00000016327.6
OG0004508	Nana25808-RA, Nana25809-RA	ENSGALG00000016312.6
OG0004509	Nana13653-RA	ENSGALG00000004469.6
OG0004510	Nana29227-RC, Nana29227-RB, Nana29227-RA	ENSGALG00000014106.6
OG0004511	Nana32241-RA, Nana25737-RA	ENSGALG00000027198.3
OG0004512	Nana29236-RA, Nana29237-RA	ENSGALG00000033974.2
OG0004513	Nana24404-RA, Nana24403-RA	ENSGALG00000016258.7
OG0004514	Nana24409-RA	ENSGALG00000036284.2
OG0004515	Nana24412-RC	ENSGALG00000041078.2
OG0004516	Nana24420-RB, Nana24420-RA	ENSGALG00000016245.6
OG0004517	Nana29361-RA	ENSGALG00000008312.7
OG0004518	Nana13513-RA	ENSGALG00000053561.1, ENSGALG00000045232.2
OG0004519	Nana29358-RA	ENSGALG00000008306.5
OG0004520	Nana29356-RA	ENSGALG00000008301.6
OG0004521	Nana29349-RA	ENSGALG00000008285.5
OG0004522	Nana13485-RA	ENSGALG00000005121.6
OG0004523	Nana24480-RA	ENSGALG00000016222.6
OG0004524	Nana29093-RA	ENSGALG00000008236.6
OG0004525	Nana24523-RB, Nana24523-RA	ENSGALG00000016205.7
OG0004526	Nana29342-RA, Nana29346-RA, Nana29345-RA	ENSGALG00000008193.7
OG0004527	Nana13471-RA	ENSGALG00000005338.7
OG0004528	Nana13455-RA, Nana13457-RA	ENSGALG00000005524.5
OG0004529	Nana13454-RA	ENSGALG00000005609.6
OG0004530	Nana29321-RA	ENSGALG00000008123.6
OG0004531	Nana29317-RA, Nana29317-RB	ENSGALG00000008115.5
OG0004532	Nana24552-RB	ENSGALG00000048672.1, ENSGALG00000052523.1
OG0004532	Nana24552-RA	ENSGALG00000016157.6
OG0004533	Nana13448-RA, Nana13448-RC, Nana13448-RB	ENSGALG00000005700.2
OG0004534	Nana29311-RA	ENSGALG00000008098.6
OG0004535	Nana13439-RA, Nana13439-RB	ENSGALG00000005745.7
OG0004536	Nana29308-RA, Nana29305-RC, Nana29305-RD	ENSGALG00000008081.6
OG0004537	Nana13414-RA	ENSGALG00000005822.6
OG0004538	Nana29288-RA	ENSGALG00000007959.5
OG0004539	Nana24385-RA, Nana24565-RA	ENSGALG00000016132.6
OG0004540	Nana13377-RA	ENSGALG00000005932.6
OG0004541	Nana24591-RC	ENSGALG00000016050.6
OG0004542	Nana29279-RA, Nana29277-RA	ENSGALG00000035940.2
OG0004543	Nana24607-RC, Nana24607-RB	ENSGALG00000016036.6
OG0004544	Nana29517-RA	ENSGALG00000040272.3
OG0004545	Nana24647-RA	ENSGALG00000038649.3
OG0004546	Nana18500-RB, Nana18500-RC	ENSGALG00000014321.6
OG0004547	Nana18270-RA	ENSGALG00000010769.6
OG0004548	Nana18277-RA	ENSGALG00000010744.6
OG0004549	Nana24664-RA	ENSGALG00000036833.2
OG0004550	Nana18471-RA	ENSGALG00000031415.2
OG0004551	Nana24688-RB, Nana24688-RA	ENSGALG00000015813.6
OG0004552	Nana18576-RA	ENSGALG00000035943.2
OG0004553	Nana24697-RA	ENSGALG00000015770.7
OG0004554	Nana24706-RA	ENSGALG00000015737.6
OG0004555	Nana18616-RA	ENSGALG00000013793.7
OG0004556	Nana24713-RA, Nana24713-RB	ENSGALG00000028290.4
OG0004557	Nana18621-RA, Nana18621-RB	ENSGALG00000013776.6
OG0004558	Nana18628-RA	ENSGALG00000013726.6
OG0004559	Nana18142-RA	ENSGALG00000013649.4
OG0004560	Nana31170-RA, Nana31169-RA	ENSGALG00000003169.7
OG0004561	Nana18149-RB, Nana18149-RA	ENSGALG00000013617.7
OG0004562	Nana24833-RA, Nana24831-RA	ENSGALG00000015412.6
OG0004563	Nana18185-RB, Nana18185-RA, Nana18185-RC	ENSGALG00000013427.7
OG0004564	Nana18186-RB, Nana18186-RA	ENSGALG00000013414.6
OG0004565	Nana18200-RB, Nana18200-RC, Nana18200-RA	ENSGALG00000010636.6
OG0004566	Nana18202-RB, Nana18202-RC, Nana18202-RA	ENSGALG00000010642.7
OG0004567	Nana24866-RB, Nana24866-RA	ENSGALG00000015355.7
OG0004568	Nana18256-RA	ENSGALG00000010839.5
OG0004569	Nana24871-RA	ENSGALG00000015348.6
OG0004570	Nana18260-RA	ENSGALG00000010822.4
OG0004571	Nana24887-RA	ENSGALG00000015339.7
OG0004572	Nana17992-RC, Nana17992-RB, Nana17992-RA	ENSGALG00000009968.6
OG0004573	Nana17993-RA	ENSGALG00000009961.7
OG0004574	Nana24892-RA	ENSGALG00000015328.6
OG0004575	Nana24894-RA, Nana24894-RB, Nana24894-RC	ENSGALG00000044642.2
OG0004576	Nana24914-RA, Nana24914-RB, Nana24914-RC	ENSGALG00000015240.7
OG0004577	Nana18009-RA, Nana18009-RB	ENSGALG00000009870.6
OG0004578	Nana18018-RA	ENSGALG00000009813.6
OG0004579	Nana24925-RA	ENSGALG00000015221.7
OG0004580	Nana18032-RA, Nana18032-RB	ENSGALG00000009758.6
OG0004581	Nana18762-RA, Nana18762-RC, Nana18762-RB	ENSGALG00000020249.5
OG0004582	Nana18752-RA	ENSGALG00000042411.2
OG0004583	Nana18672-RA	ENSGALG00000009278.7
OG0004584	Nana25026-RB, Nana25026-RA, Nana25026-RC	ENSGALG00000017075.6
OG0004585	Nana18646-RA	ENSGALG00000034722.3, ENSGALG00000009239.6
OG0004586	Nana25046-RA	ENSGALG00000017083.6
OG0004587	Nana17957-RA, Nana17956-RA	ENSGALG00000010035.6
OG0004588	Nana17984-RA, Nana17984-RB	ENSGALG00000009985.7
OG0004589	Nana18070-RA, Nana18070-RB	ENSGALG00000010201.7
OG0004590	Nana18072-RA	ENSGALG00000010195.6
OG0004591	Nana18075-RA	ENSGALG00000010170.6
OG0004592	Nana25153-RA	ENSGALG00000017129.6
OG0004593	Nana18102-RA, Nana18102-RC, Nana18102-RB	ENSGALG00000044716.2
OG0004594	Nana25137-RA	ENSGALG00000017117.6
OG0004595	Nana25223-RA	ENSGALG00000017173.6
OG0004596	Nana17876-RB, Nana17876-RC, Nana17876-RA	ENSGALG00000012155.6
OG0004597	Nana25299-RA	ENSGALG00000017210.6
OG0004598	Nana25300-RA	ENSGALG00000017211.6
OG0004599	Nana25306-RA	ENSGALG00000017218.4
OG0004600	Nana17627-RC, Nana17627-RA, Nana17627-RB	ENSGALG00000010886.6
OG0004601	Nana17606-RA	ENSGALG00000011457.6
OG0004602	Nana17588-RB, Nana17588-RA, Nana17590-RA	ENSGALG00000011499.6
OG0004603	Nana25380-RA, Nana25380-RB	ENSGALG00000039037.2
OG0004604	Nana25382-RA, Nana25381-RB	ENSGALG00000013247.7
OG0004605	Nana12361-RA	ENSGALG00000014908.5
OG0004606	Nana12300-RA	ENSGALG00000020569.6
OG0004607	Nana12311-RC, Nana12311-RA, Nana12311-RB	ENSGALG00000014732.6
OG0004608	Nana12266-RA, Nana12265-RA	ENSGALG00000014773.6
OG0004609	Nana12261-RC, Nana12261-RA, Nana12261-RB	ENSGALG00000014784.6
OG0004610	Nana12213-RA, Nana12213-RC, Nana12213-RB	ENSGALG00000014956.6
OG0004611	Nana12210-RB, Nana12210-RA	ENSGALG00000014948.7
OG0004612	Nana12198-RC, Nana12198-RA, Nana12198-RB	ENSGALG00000014939.5
OG0004613	Nana12160-RA, Nana12160-RB	ENSGALG00000038260.2
OG0004614	Nana12142-RA	ENSGALG00000015571.7
OG0004615	Nana12137-RA	ENSGALG00000050110.1, ENSGALG00000045074.2, ENSGALG00000015577.7
OG0004616	Nana12126-RA	ENSGALG00000015603.6
OG0004617	Nana12098-RB, Nana12098-RA, Nana12098-RC	ENSGALG00000017706.5
OG0004618	Nana12097-RA	ENSGALG00000015641.7
OG0004619	Nana12077-RA, Nana12077-RB	ENSGALG00000025915.3
OG0004620	Nana12037-RA	ENSGALG00000015288.7
OG0004621	Nana12025-RB, Nana12025-RA	ENSGALG00000014642.6, ENSGALG00000031327.2
OG0004623	Nana10775-RA, Nana10775-RB	ENSGALG00000048930.1
OG0004624	Nana10795-RA, Nana10795-RB	ENSGALG00000051187.1
OG0004625	Nana11685-RA	ENSGALG00000015180.6
OG0004626	Nana11655-RA	ENSGALG00000015150.7
OG0004627	Nana11634-RB, Nana11634-RA	ENSGALG00000015118.7
OG0004628	Nana11633-RA, Nana11633-RB	ENSGALG00000015115.6
OG0004629	Nana11579-RB, Nana11579-RC, Nana11579-RA	ENSGALG00000015027.6
OG0004631	Nana11566-RA, Nana11566-RC, Nana11566-RB	ENSGALG00000015052.6
OG0004632	Nana05255-RA, Nana05254-RA	ENSGALG00000034264.2
OG0004633	Nana11399-RA, Nana11398-RA, Nana39607-RA	ENSGALG00000023083.4
OG0004634	Nana11397-RC, Nana11397-RA, Nana11397-RB	ENSGALG00000020528.5
OG0004635	Nana11395-RA	ENSGALG00000027345.3
OG0004636	Nana11394-RA	ENSGALG00000015656.6
OG0004637	Nana11467-RA, Nana11464-RA	ENSGALG00000026137.4
OG0004638	Nana11468-RA	ENSGALG00000008174.6
OG0004639	Nana11477-RB, Nana11477-RA, Nana11477-RC	ENSGALG00000015071.6
OG0004640	Nana11488-RB, Nana11488-RA	ENSGALG00000015083.8
OG0004641	Nana11489-RA	ENSGALG00000015090.6
OG0004642	Nana11384-RA	ENSGALG00000015548.7
OG0004643	Nana05769-RA	ENSGALG00000040026.3
OG0004644	Nana05779-RA, Nana05784-RA, Nana05782-RA	ENSGALG00000011811.6
OG0004645	Nana05785-RA	ENSGALG00000041183.2
OG0004647	Nana05730-RA, Nana05730-RB	ENSGALG00000011548.6
OG0004648	Nana05727-RB, Nana05727-RA	ENSGALG00000011528.7
OG0004650	Nana10308-RA, Nana10308-RB, Nana10308-RC	ENSGALG00000050875.1
OG0004651	Nana05565-RA	ENSGALG00000010874.6
OG0004652	Nana05540-RA	ENSGALG00000010738.7
OG0004653	Nana10240-RA	ENSGALG00000039134.2
OG0004654	Nana11325-RB, Nana11325-RA, Nana39059-RA	ENSGALG00000015425.7
OG0004655	Nana15497-RA, Nana11327-RA	ENSGALG00000015428.6
OG0004656	Nana05471-RA, Nana05471-RC, Nana05471-RB	ENSGALG00000010593.6
OG0004657	Nana05438-RA, Nana05435-RA, Nana05437-RA	ENSGALG00000010562.5
OG0004658	Nana05345-RA	ENSGALG00000010314.6
OG0004659	Nana05342-RA, Nana05342-RB	ENSGALG00000010304.6
OG0004660	Nana05318-RA	ENSGALG00000020417.7
OG0004661	Nana27132-RA, Nana05306-RA, Nana05305-RA	ENSGALG00000033517.2
OG0004663	Nana05298-RA, Nana05298-RC, Nana05298-RB	ENSGALG00000010196.6
OG0004664	Nana05297-RA, Nana05297-RB	ENSGALG00000010193.7
OG0004665	Nana05122-RA	ENSGALG00000009725.7
OG0004666	Nana05109-RA	ENSGALG00000009633.6
OG0004667	Nana12639-RA	ENSGALG00000040136.3
OG0004668	Nana04990-RA, Nana04990-RB	ENSGALG00000009315.6
OG0004669	Nana04998-RA	ENSGALG00000009260.7
OG0004670	Nana05006-RA, Nana05006-RB	ENSGALG00000009111.5
OG0004671	Nana05008-RA, Nana05008-RB	ENSGALG00000009097.5
OG0004672	Nana05010-RC, Nana05010-RA, Nana05010-RB	ENSGALG00000009081.7
OG0004673	Nana05031-RB, Nana05031-RA	ENSGALG00000026846.4
OG0004674	Nana05045-RA, Nana05045-RB, Nana05042-RA	ENSGALG00000008624.6
OG0004675	Nana05056-RA	ENSGALG00000008587.7
OG0004676	Nana05061-RC, Nana05061-RB, Nana05061-RA	ENSGALG00000008553.6
OG0004677	Nana04877-RA	ENSGALG00000008347.6
OG0004678	Nana04878-RA	ENSGALG00000042357.2
OG0004679	Nana04887-RA, Nana04887-RB	ENSGALG00000008247.5
OG0004681	Nana10648-RA, Nana10648-RB, Nana10648-RC	ENSGALG00000033185.2
OG0004682	Nana04910-RA	ENSGALG00000008091.8
OG0004683	Nana10018-RA	ENSGALG00000042122.2
OG0004684	Nana04911-RA	ENSGALG00000008089.7
OG0004685	Nana39022-RA, Nana04913-RA	ENSGALG00000008080.6
OG0004686	Nana10032-RA	ENSGALG00000034025.2
OG0004687	Nana10063-RA, Nana10063-RB	ENSGALG00000042016.3
OG0004688	Nana04832-RA	ENSGALG00000037968.2
OG0004689	Nana04728-RB, Nana04728-RA, Nana04728-RC	ENSGALG00000004085.6
OG0004690	Nana10091-RA	ENSGALG00000035206.2
OG0004691	Nana04613-RA	ENSGALG00000012032.6
OG0004692	Nana04524-RA, Nana04524-RB	ENSGALG00000005807.6
OG0004693	Nana04454-RA, Nana04453-RA	ENSGALG00000032558.3
OG0004694	Nana04438-RB	ENSGALG00000006077.7
OG0004695	Nana04419-RA	ENSGALG00000006216.6
OG0004696	Nana04410-RA	ENSGALG00000006236.7
OG0004697	Nana04409-RA, Nana04409-RB	ENSGALG00000026111.3
OG0004698	Nana04407-RA	ENSGALG00000032502.2
OG0004699	Nana04384-RA	ENSGALG00000016062.5
OG0004700	Nana04382-RA	ENSGALG00000006427.7
OG0004701	Nana04379-RA, Nana04380-RA	ENSGALG00000032687.2
OG0004702	Nana09705-RA	ENSGALG00000034210.2
OG0004703	Nana04358-RA	ENSGALG00000006561.5
OG0004704	Nana09686-RA	ENSGALG00000007042.5
OG0004705	Nana09653-RA, Nana09653-RB	ENSGALG00000011822.5
OG0004706	Nana09633-RE, Nana09633-RA	ENSGALG00000000109.5
OG0004707	Nana04325-RA	ENSGALG00000006841.6
OG0004708	Nana04253-RA	ENSGALG00000045199.2, ENSGALG00000004239.5
OG0004709	Nana04211-RA, Nana04211-RB	ENSGALG00000032496.2
OG0004710	Nana03720-RB, Nana03720-RA	ENSGALG00000012082.7
OG0004712	Nana03759-RA	ENSGALG00000011708.7
OG0004713	Nana03819-RA	ENSGALG00000011577.6
OG0004714	Nana03865-RB, Nana03865-RA	ENSGALG00000011434.6
OG0004715	Nana09466-RC, Nana09466-RD, Nana09466-RB	ENSGALG00000001943.6
OG0004716	Nana04115-RA, Nana04115-RB	ENSGALG00000030153.2
OG0004717	Nana09469-RA, Nana09469-RB, Nana09469-RC	ENSGALG00000023541.4
OG0004718	Nana04109-RA	ENSGALG00000039190.2
OG0004719	Nana04098-RA	ENSGALG00000042641.2
OG0004720	Nana04089-RA	ENSGALG00000007287.7
OG0004721	Nana09487-RA	ENSGALG00000002159.4
OG0004722	Nana09487-RB, Nana09487-RC	ENSGALG00000002179.6
OG0004723	Nana09503-RC, Nana09503-RA, Nana09503-RB	ENSGALG00000002424.7
OG0004724	Nana09516-RD, Nana09516-RB, Nana09516-RC	ENSGALG00000008023.5
OG0004725	Nana04031-RA	ENSGALG00000036642.3
OG0004726	Nana09522-RC, Nana09522-RA, Nana09522-RB	ENSGALG00000007974.7
OG0004727	Nana09525-RA, Nana09525-RB	ENSGALG00000007961.7
OG0004728	Nana09535-RA	ENSGALG00000007791.7
OG0004729	Nana09558-RA	ENSGALG00000007673.7
OG0004731	Nana09573-RC, Nana09573-RB, Nana09573-RA	ENSGALG00000007522.6
OG0004732	Nana09576-RA	ENSGALG00000026189.3
OG0004732	Nana09574-RA	ENSGALG00000007389.5
OG0004733	Nana09586-RA	ENSGALG00000002985.7
OG0004734	Nana09589-RA, Nana09590-RA, Nana09590-RB	ENSGALG00000035675.2
OG0004735	Nana09595-RA, Nana09595-RB	ENSGALG00000034115.2
OG0004736	Nana09600-RA	ENSGALG00000002877.4
OG0004737	Nana09613-RB, Nana09613-RD, Nana09613-RA	ENSGALG00000007251.6
OG0004738	Nana09616-RB, Nana09616-RA	ENSGALG00000007237.7
OG0004739	Nana09144-RA	ENSGALG00000002105.4
OG0004740	Nana17528-RA	ENSGALG00000032172.2
OG0004740	Nana09130-RA	ENSGALG00000001409.7
OG0004741	Nana03083-RA	ENSGALG00000002789.6
OG0004742	Nana03080-RA, Nana03078-RA	ENSGALG00000041563.2
OG0004744	Nana01325-RB, Nana01325-RA	ENSGALG00000010048.6
OG0004745	Nana08974-RA, Nana08974-RB	ENSGALG00000040882.3
OG0004746	Nana03028-RA	ENSGALG00000003821.6
OG0004747	Nana08970-RB, Nana08970-RA	ENSGALG00000030147.2
OG0004748	Nana08946-RA, Nana08946-RC, Nana08946-RB	ENSGALG00000017462.6
OG0004749	Nana08943-RB, Nana08943-RA	ENSGALG00000029896.2
OG0004750	Nana03244-RA	ENSGALG00000007759.7
OG0004751	Nana03265-RA, Nana03265-RB	ENSGALG00000007651.7
OG0004752	Nana03015-RA	ENSGALG00000004116.6
OG0004753	Nana09021-RA	ENSGALG00000038848.3
OG0004754	Nana17578-RA	ENSGALG00000008931.7
OG0004755	Nana02877-RA	ENSGALG00000016680.6
OG0004756	Nana08812-RB, Nana08812-RA, Nana08812-RC	ENSGALG00000004357.6
OG0004757	Nana02986-RB, Nana02986-RA	ENSGALG00000006198.7
OG0004758	Nana02988-RA	ENSGALG00000039216.3
OG0004759	Nana08818-RA	ENSGALG00000053130.1
OG0004760	Nana08825-RA	ENSGALG00000004588.6
OG0004761	Nana19550-RA, Nana02835-RA	ENSGALG00000008828.7
OG0004762	Nana02814-RB, Nana02814-RA	ENSGALG00000008765.7
OG0004763	Nana02812-RB, Nana02812-RA, Nana02812-RC	ENSGALG00000009093.6
OG0004764	Nana02807-RB, Nana02807-RA	ENSGALG00000008745.6
OG0004765	Nana08847-RB, Nana08847-RA	ENSGALG00000005856.6
OG0004766	Nana02796-RA	ENSGALG00000026999.3
OG0004767	Nana02733-RA	ENSGALG00000009195.8
OG0004768	Nana02708-RA	ENSGALG00000002262.7
OG0004769	Nana08876-RB, Nana08876-RC, Nana08876-RA	ENSGALG00000041706.2
OG0004770	Nana00990-RA	ENSGALG00000012200.5
OG0004771	Nana00988-RA	ENSGALG00000010017.6
OG0004772	Nana02769-RA	ENSGALG00000009494.4
OG0004773	Nana02768-RA	ENSGALG00000009492.6
OG0004774	Nana02736-RA, Nana02735-RA, Nana02737-RA	ENSGALG00000008815.6
OG0004775	Nana02981-RB, Nana02981-RA	ENSGALG00000016853.6
OG0004776	Nana02982-RA	ENSGALG00000016852.5, ENSGALG00000052140.1, ENSGALG00000049342.1
OG0004777	Nana08674-RA	ENSGALG00000033666.2
OG0004778	Nana08656-RA, Nana08656-RB	ENSGALG00000054583.1
OG0004779	Nana08648-RB, Nana08648-RC, Nana08648-RA	ENSGALG00000002500.7
OG0004780	Nana02921-RA	ENSGALG00000016708.7
OG0004781	Nana08637-RA	ENSGALG00000028204.3
OG0004782	Nana08635-RB, Nana08635-RA	ENSGALG00000002908.7
OG0004783	Nana02906-RE, Nana02906-RD, Nana02906-RF	ENSGALG00000016697.5
OG0004784	Nana08568-RA, Nana39661-RA, Nana39661-RB	ENSGALG00000033301.2
OG0004785	Nana02565-RA, Nana02565-RB	ENSGALG00000016449.6
OG0004786	Nana08552-RB, Nana08552-RA, Nana08552-RC	ENSGALG00000043359.2
OG0004787	Nana02541-RB, Nana02541-RC, Nana02541-RA	ENSGALG00000016427.6
OG0004788	Nana08541-RB, Nana08541-RA	ENSGALG00000042984.3
OG0004789	Nana02537-RD, Nana02537-RC	ENSGALG00000016421.7
OG0004790	Nana08506-RC, Nana08506-RA, Nana08506-RB	ENSGALG00000037455.2
OG0004791	Nana08505-RC, Nana08505-RA, Nana08505-RB	ENSGALG00000001613.7
OG0004792	Nana08500-RA	ENSGALG00000041428.3
OG0004793	Nana02417-RA	ENSGALG00000016329.7
OG0004794	Nana08477-RA, Nana08472-RA	ENSGALG00000004687.6
OG0004795	Nana02447-RA	ENSGALG00000039606.3
OG0004796	Nana02458-RA	ENSGALG00000016359.7
OG0004797	Nana02463-RC, Nana02463-RA, Nana02463-RB	ENSGALG00000016362.7
OG0004798	Nana02473-RA	ENSGALG00000016367.5
OG0004799	Nana02475-RA, Nana02474-RA	ENSGALG00000016370.7
OG0004800	Nana02478-RA	ENSGALG00000016384.6
OG0004801	Nana08443-RB, Nana08443-RA	ENSGALG00000004981.4
OG0004802	Nana02488-RA, Nana02487-RA	ENSGALG00000016387.6
OG0004803	Nana02490-RA	ENSGALG00000025796.3
OG0004804	Nana02376-RA	ENSGALG00000016279.5
OG0004805	Nana02373-RA, Nana02374-RA	ENSGALG00000016278.7
OG0004806	Nana08400-RA, Nana08401-RB, Nana08401-RA	ENSGALG00000038752.2
OG0004807	Nana02340-RA	ENSGALG00000047605.1
OG0004807	Nana02341-RA	ENSGALG00000043584.3
OG0004808	Nana08392-RG, Nana08392-RE, Nana08392-RF	ENSGALG00000005385.7
OG0004809	Nana02169-RA, Nana02169-RB	ENSGALG00000015471.6
OG0004810	Nana02178-RA	ENSGALG00000015486.6
OG0004811	Nana02195-RA	ENSGALG00000019921.6
OG0004812	Nana02224-RA	ENSGALG00000015762.6
OG0004813	Nana02235-RA, Nana02237-RA	ENSGALG00000015787.6
OG0004814	Nana08348-RA, Nana08349-RA	ENSGALG00000005713.6
OG0004815	Nana08340-RA	ENSGALG00000026089.2
