Orthogroup	N_naja.pep	P_troglodytes.pep
OG0006325	Nana21706-RA	ENSPTRG00000028653.4, ENSPTRG00000045641.1
OG0006326	Nana21708-RA	ENSPTRG00000050898.1, ENSPTRG00000018950.4
OG0006327	Nana27485-RA	ENSPTRG00000052015.1, ENSPTRG00000004804.7
OG0006328	Nana15446-RA	ENSPTRG00000017328.7
OG0006329	Nana20466-RA	ENSPTRG00000023041.5
OG0006330	Nana20457-RA, Nana20455-RA	ENSPTRG00000022665.5
OG0006331	Nana21744-RA	ENSPTRG00000051620.1, ENSPTRG00000018964.5
OG0006332	Nana21747-RA	ENSPTRG00000052863.1, ENSPTRG00000018965.4
OG0006333	Nana15470-RA	ENSPTRG00000049455.1, ENSPTRG00000046901.1
OG0006334	Nana27505-RA	ENSPTRG00000047055.1, ENSPTRG00000004514.6
OG0006335	Nana20431-RB	ENSPTRG00000015554.5
OG0006336	Nana27506-RA	ENSPTRG00000004515.6
OG0006337	Nana15471-RA	ENSPTRG00000017321.4
OG0006338	Nana21754-RA	ENSPTRG00000018970.3
OG0006339	Nana27515-RA	ENSPTRG00000004523.5
OG0006340	Nana21766-RA	ENSPTRG00000050502.1, ENSPTRG00000018979.5
OG0006341	Nana21767-RA	ENSPTRG00000049189.1, ENSPTRG00000018980.5
OG0006342	Nana15478-RA	ENSPTRG00000047729.1
OG0006343	Nana21769-RA	ENSPTRG00000018981.4
OG0006344	Nana15486-RA, Nana15486-RB	ENSPTRG00000017311.5
OG0006345	Nana21778-RA	ENSPTRG00000018989.3, ENSPTRG00000045270.1
OG0006346	Nana21779-RA	ENSPTRG00000018990.4, ENSPTRG00000048634.1
OG0006347	Nana21781-RA	ENSPTRG00000047172.1, ENSPTRG00000018991.6
OG0006348	Nana20391-RB, Nana20391-RA	ENSPTRG00000039581.2
OG0006349	Nana15510-RA, Nana15510-RB	ENSPTRG00000015897.6
OG0006350	Nana20390-RB	ENSPTRG00000015528.6
OG0006351	Nana20387-RA	ENSPTRG00000015526.6
OG0006352	Nana20382-RA	ENSPTRG00000052129.1, ENSPTRG00000015521.5
OG0006353	Nana15513-RA	ENSPTRG00000013291.6
OG0006354	Nana15520-RA, Nana15518-RA	ENSPTRG00000013298.6
OG0006355	Nana20375-RA	ENSPTRG00000015517.5
OG0006356	Nana15522-RA	ENSPTRG00000013301.6
OG0006357	Nana21920-RA, Nana21919-RA	ENSPTRG00000014676.6
OG0006358	Nana21914-RA	ENSPTRG00000014675.6
OG0006359	Nana21910-RA	ENSPTRG00000014674.7
OG0006360	Nana20365-RA	ENSPTRG00000015503.6
OG0006361	Nana20347-RA	ENSPTRG00000015500.7
OG0006362	Nana27533-RB, Nana27533-RA	ENSPTRG00000014041.6
OG0006363	Nana15528-RA, Nana15528-RB	ENSPTRG00000013308.4
OG0006364	Nana15530-RB, Nana15530-RA	ENSPTRG00000013310.2
OG0006365	Nana20318-RA, Nana20318-RB	ENSPTRG00000015489.7
OG0006366	Nana21903-RA	ENSPTRG00000014667.6
OG0006367	Nana15539-RA	ENSPTRG00000044444.1, ENSPTRG00000016725.4
OG0006368	Nana15540-RA	ENSPTRG00000016724.4
OG0006369	Nana20315-RA	ENSPTRG00000015485.6
OG0006370	Nana21900-RA	ENSPTRG00000045032.1, ENSPTRG00000019036.6
OG0006371	Nana20312-RA, Nana20312-RB	ENSPTRG00000015482.6
OG0006372	Nana22100-RA	ENSPTRG00000041737.2
OG0006373	Nana20309-RA, Nana20308-RA	ENSPTRG00000052431.1
OG0006374	Nana15549-RA	ENSPTRG00000016716.4, ENSPTRG00000044472.1
OG0006375	Nana27412-RA	ENSPTRG00000045778.1, ENSPTRG00000019746.6
OG0006376	Nana27413-RA	ENSPTRG00000019743.6, ENSPTRG00000045077.1
OG0006377	Nana27416-RA	ENSPTRG00000019740.5
OG0006378	Nana20299-RA	ENSPTRG00000013004.6
OG0006379	Nana20291-RB, Nana20291-RA	ENSPTRG00000012995.6
OG0006380	Nana22132-RA	ENSPTRG00000015392.6
OG0006381	Nana22137-RA	ENSPTRG00000045519.1, ENSPTRG00000015396.4
OG0006382	Nana27433-RA	ENSPTRG00000044303.1, ENSPTRG00000019776.6
OG0006383	Nana27435-RA	ENSPTRG00000028383.4
OG0006384	Nana27439-RA	ENSPTRG00000019739.6
OG0006385	Nana27411-RA, Nana27410-RA	ENSPTRG00000019747.6
OG0006386	Nana22157-RA	ENSPTRG00000040799.2
OG0006387	Nana27399-RA	ENSPTRG00000047307.1, ENSPTRG00000005351.6, ENSPTRG00000047371.1
OG0006388	Nana14941-RA, Nana14941-RB	ENSPTRG00000001007.6
OG0006389	Nana14935-RA	ENSPTRG00000001000.5
OG0006390	Nana20260-RA	ENSPTRG00000012982.5
OG0006392	Nana20254-RA, Nana20255-RA	ENSPTRG00000012978.5
OG0006393	Nana22320-RA	ENSPTRG00000044307.1, ENSPTRG00000019050.4
OG0006394	Nana14928-RA	ENSPTRG00000000965.7
OG0006395	Nana22347-RA	ENSPTRG00000051385.1, ENSPTRG00000019058.6
OG0006396	Nana27382-RA	ENSPTRG00000042053.2, ENSPTRG00000052766.1
OG0006397	Nana20206-RA	ENSPTRG00000010563.6
OG0006398	Nana20204-RA	ENSPTRG00000015458.4
OG0006399	Nana20192-RA, Nana20192-RB	ENSPTRG00000015452.3
OG0006400	Nana27374-RA	ENSPTRG00000005380.3
OG0006402	Nana27371-RA, Nana27371-RB	ENSPTRG00000005383.6
OG0006403	Nana14915-RA	ENSPTRG00000000976.6
OG0006404	Nana27368-RA	ENSPTRG00000005386.6
OG0006405	Nana27365-RA	ENSPTRG00000005388.6
OG0006406	Nana14909-RA	ENSPTRG00000021657.5
OG0006407	Nana22461-RA	ENSPTRG00000019106.4, ENSPTRG00000042980.1
OG0006408	Nana22466-RA	ENSPTRG00000019112.6
OG0006409	Nana20160-RA, Nana20160-RB	ENSPTRG00000013115.7
OG0006410	Nana22467-RA	ENSPTRG00000019113.3
OG0006411	Nana22468-RA, Nana22472-RA	ENSPTRG00000019114.6
OG0006412	Nana20158-RA	ENSPTRG00000013117.6
OG0006413	Nana27360-RA	ENSPTRG00000005394.4
OG0006414	Nana03091-RA	ENSPTRG00000012865.5, ENSPTRG00000050048.1
OG0006415	Nana20156-RA	ENSPTRG00000013118.6
OG0006416	Nana27355-RA	ENSPTRG00000005399.5
OG0006417	Nana14900-RA	ENSPTRG00000000987.7
OG0006418	Nana14881-RA	ENSPTRG00000000992.6
OG0006419	Nana14875-RA, Nana14875-RB	ENSPTRG00000000995.5
OG0006420	Nana27346-RA	ENSPTRG00000046424.1, ENSPTRG00000014292.6
OG0006421	Nana14874-RB, Nana14874-RA	ENSPTRG00000000996.5
OG0006422	Nana06544-RA, Nana27341-RA	ENSPTRG00000014295.6
OG0006423	Nana14873-RA, Nana14873-RB	ENSPTRG00000000997.7
OG0006424	Nana27339-RC, Nana27339-RD	ENSPTRG00000014296.5
OG0006425	Nana22543-RA	ENSPTRG00000019195.6
OG0006426	Nana22564-RA	ENSPTRG00000048103.1
OG0006427	Nana20149-RB, Nana20149-RA	ENSPTRG00000013125.6
OG0006428	Nana14871-RA	ENSPTRG00000000963.6, ENSPTRG00000044022.1
OG0006429	Nana20144-RA	ENSPTRG00000013128.6
OG0006430	Nana14868-RA	ENSPTRG00000000960.4
OG0006431	Nana22582-RA	ENSPTRG00000048696.1, ENSPTRG00000019838.4
OG0006432	Nana22586-RA	ENSPTRG00000051429.1, ENSPTRG00000021684.7
OG0006433	Nana10382-RB, Nana10382-RA, Nana22628-RA	ENSPTRG00000019170.6
OG0006434	Nana14859-RA, Nana14859-RB	ENSPTRG00000043247.1
OG0006435	Nana22648-RA, Nana22647-RA	ENSPTRG00000019185.5
OG0006436	Nana14844-RA	ENSPTRG00000022980.5
OG0006437	Nana20122-RA	ENSPTRG00000015418.5
OG0006438	Nana27329-RA	ENSPTRG00000044105.1
OG0006439	Nana22658-RA, Nana22659-RA	ENSPTRG00000019192.6
OG0006440	Nana20116-RB, Nana20116-RA	ENSPTRG00000015424.6
OG0006441	Nana27328-RA, Nana27328-RB	ENSPTRG00000014313.6
OG0006442	Nana14836-RA	ENSPTRG00000000929.5
OG0006445	Nana20091-RB, Nana20091-RA	ENSPTRG00000015712.5
OG0006446	Nana27324-RA	ENSPTRG00000047843.1
OG0006447	Nana22667-RA, Nana22665-RA	ENSPTRG00000021189.6
OG0006448	Nana27319-RA, Nana39538-RA	ENSPTRG00000014327.5
OG0006449	Nana22677-RA	ENSPTRG00000021182.5
OG0006450	Nana27310-RB, Nana27310-RA	ENSPTRG00000014337.6
OG0006451	Nana22678-RA	ENSPTRG00000016689.6, ENSPTRG00000049196.1
OG0006452	Nana27308-RA, Nana27308-RB	ENSPTRG00000046860.1
OG0006453	Nana14829-RA	ENSPTRG00000000919.6
OG0006454	Nana14668-RA	ENSPTRG00000034314.3
OG0006455	Nana27275-RA	ENSPTRG00000014370.4
OG0006456	Nana14665-RA	ENSPTRG00000000827.6, ENSPTRG00000047963.1
OG0006457	Nana20064-RB, Nana20064-RA	ENSPTRG00000015701.6
OG0006458	Nana14660-RA, Nana14660-RB	ENSPTRG00000000824.6
OG0006459	Nana05998-RA	ENSPTRG00000014379.5
OG0006460	Nana22686-RA	ENSPTRG00000021237.7
OG0006461	Nana27259-RB	ENSPTRG00000014395.6
OG0006462	Nana14650-RA	ENSPTRG00000000815.6
OG0006463	Nana22699-RA	ENSPTRG00000009973.6
OG0006464	Nana27254-RB, Nana27254-RA	ENSPTRG00000014399.3
OG0006465	Nana27247-RA	ENSPTRG00000014404.5
OG0006466	Nana20039-RA	ENSPTRG00000013113.6
OG0006467	Nana22732-RA	ENSPTRG00000016117.5
OG0006468	Nana14612-RA	ENSPTRG00000000802.7
OG0006469	Nana22741-RA	ENSPTRG00000020207.4
OG0006470	Nana22760-RA	ENSPTRG00000020216.5
OG0006471	Nana20028-RA, Nana20028-RB	ENSPTRG00000013082.6
OG0006472	Nana27228-RA, Nana27228-RB	ENSPTRG00000014418.5
OG0006473	Nana20018-RB, Nana20018-RA	ENSPTRG00000028976.4
OG0006474	Nana22784-RB, Nana22784-RA	ENSPTRG00000012168.4
OG0006475	Nana27222-RA	ENSPTRG00000014425.5
OG0006476	Nana20008-RA	ENSPTRG00000013052.7
OG0006477	Nana27215-RA	ENSPTRG00000014433.4, ENSPTRG00000043420.1
OG0006478	Nana14552-RA	ENSPTRG00000046533.1, ENSPTRG00000041368.2
OG0006479	Nana27208-RA, Nana27207-RA	ENSPTRG00000039404.2
OG0006480	Nana14543-RA, Nana14543-RB	ENSPTRG00000000769.7
OG0006481	Nana39133-RA, Nana39329-RA	ENSPTRG00000034216.2
OG0006482	Nana14540-RA	ENSPTRG00000000764.5
OG0006483	Nana14306-RA	ENSPTRG00000044168.1
OG0006484	Nana14307-RB, Nana14307-RA, Nana14307-RC, Nana14307-RD	ENSPTRG00000001051.6
OG0006485	Nana27146-RA	ENSPTRG00000004724.2, ENSPTRG00000049647.1
OG0006486	Nana14312-RA	ENSPTRG00000001054.5
OG0006487	Nana27143-RA, Nana27143-RB	ENSPTRG00000004727.5
OG0006488	Nana22832-RA, Nana38351-RA	ENSPTRG00000009515.4
OG0006489	Nana19979-RA, Nana19978-RA	ENSPTRG00000012458.4
OG0006490	Nana27125-RA	ENSPTRG00000019727.7
OG0006491	Nana19975-RA, Nana19975-RB	ENSPTRG00000015670.6
OG0006492	Nana19970-RA	ENSPTRG00000002785.4
OG0006493	Nana27117-RA, Nana27117-RB	ENSPTRG00000005350.6
OG0006494	Nana27116-RA, Nana27116-RB	ENSPTRG00000005349.7
OG0006495	Nana19968-RA	ENSPTRG00000044976.1
OG0006496	Nana19963-RB, Nana19963-RA	ENSPTRG00000002836.6
OG0006497	Nana22852-RB, Nana22852-RA	ENSPTRG00000009209.6
OG0006498	Nana14326-RC, Nana14326-RA, Nana14326-RD	ENSPTRG00000023772.4
OG0006499	Nana19950-RB	ENSPTRG00000043046.1, ENSPTRG00000002825.7
OG0006500	Nana27104-RA	ENSPTRG00000005341.6
OG0006501	Nana19949-RA, Nana19949-RB	ENSPTRG00000002824.5
OG0006502	Nana22861-RB, Nana22861-RA	ENSPTRG00000009219.3
OG0006503	Nana14336-RA	ENSPTRG00000007166.3
OG0006504	Nana14338-RA	ENSPTRG00000000625.3
OG0006505	Nana14343-RA, Nana14343-RB	ENSPTRG00000000631.6
OG0006507	Nana14345-RA	ENSPTRG00000021078.4, ENSPTRG00000000634.6
OG0006508	Nana14346-RA	ENSPTRG00000000635.5
OG0006509	Nana19836-RA	ENSPTRG00000002855.5
OG0006510	Nana27082-RA	ENSPTRG00000005322.3
OG0006511	Nana19834-RA	ENSPTRG00000002893.5
OG0006512	Nana27081-RB, Nana27081-RA	ENSPTRG00000005321.5
OG0006513	Nana14350-RB, Nana14350-RA	ENSPTRG00000000640.7
OG0006514	Nana22897-RA	ENSPTRG00000009241.7
OG0006515	Nana19819-RA	ENSPTRG00000049387.1
OG0006516	Nana19818-RA	ENSPTRG00000002900.6
OG0006517	Nana22898-RA, Nana22898-RB	ENSPTRG00000009242.6
OG0006518	Nana19817-RB, Nana19817-RA	ENSPTRG00000002902.7
OG0006519	Nana27070-RD, Nana27070-RC	ENSPTRG00000005309.6
OG0006520	Nana22910-RB	ENSPTRG00000009306.6
OG0006521	Nana19803-RA	ENSPTRG00000002914.5
OG0006522	Nana19802-RA	ENSPTRG00000002915.4
OG0006523	Nana27069-RA, Nana27069-RB	ENSPTRG00000005306.5
OG0006524	Nana19790-RB, Nana19790-RC	ENSPTRG00000047766.1
OG0006525	Nana27068-RA	ENSPTRG00000005304.5
OG0006526	Nana14369-RB, Nana14369-RA	ENSPTRG00000000646.3
OG0006527	Nana27067-RA, Nana27066-RA	ENSPTRG00000005302.6
OG0006528	Nana27064-RA	ENSPTRG00000005300.4
OG0006529	Nana14371-RA	ENSPTRG00000000648.5
OG0006530	Nana19782-RA	ENSPTRG00000002922.6
OG0006531	Nana22928-RA	ENSPTRG00000009281.6
OG0006532	Nana02947-RC, Nana27058-RA	ENSPTRG00000005292.4, ENSPTRG00000033711.3
OG0006533	Nana27052-RA	ENSPTRG00000005288.4
OG0006534	Nana22934-RA	ENSPTRG00000009277.7
OG0006535	Nana27034-RA	ENSPTRG00000005281.7
OG0006536	Nana27031-RA, Nana39411-RA	ENSPTRG00000005280.5
OG0006538	Nana14402-RA	ENSPTRG00000024019.6
OG0006540	Nana27021-RA	ENSPTRG00000005274.5
OG0006541	Nana27014-RA, Nana27013-RA	ENSPTRG00000005271.6
OG0006542	Nana27002-RA	ENSPTRG00000005266.5, ENSPTRG00000048467.1
OG0006543	Nana22955-RA	ENSPTRG00000008991.6
OG0006544	Nana14424-RA	ENSPTRG00000000659.5
OG0006545	Nana19195-RA	ENSPTRG00000023469.3
OG0006546	Nana26989-RA	ENSPTRG00000005257.5
OG0006547	Nana14431-RB, Nana14431-RA	ENSPTRG00000000683.6
OG0006548	Nana26987-RA	ENSPTRG00000010970.5, ENSPTRG00000041276.2, ENSPTRG00000048713.1
OG0006549	Nana19185-RA, Nana19185-RB	ENSPTRG00000023687.5
OG0006550	Nana22973-RA	ENSPTRG00000009329.6
OG0006551	Nana14438-RB, Nana14438-RA	ENSPTRG00000000687.7
OG0006552	Nana14442-RA	ENSPTRG00000000689.5
OG0006553	Nana26924-RB, Nana26924-RA	ENSPTRG00000005219.6
OG0006555	Nana14444-RA, Nana14444-RB, Nana14444-RC	ENSPTRG00000000692.5
OG0006556	Nana14452-RA	ENSPTRG00000024252.4
OG0006557	Nana14496-RA	ENSPTRG00000000725.6
OG0006558	Nana22988-RB, Nana22988-RA	ENSPTRG00000023148.5
OG0006559	Nana14502-RA, Nana14502-RB	ENSPTRG00000000729.7
OG0006560	Nana19217-RA	ENSPTRG00000002586.6
OG0006561	Nana26935-RA	ENSPTRG00000005230.6
OG0006562	Nana23002-RA	ENSPTRG00000009180.6
OG0006563	Nana26950-RB, Nana26950-RA	ENSPTRG00000005238.5
OG0006564	Nana19231-RB, Nana19231-RA	ENSPTRG00000002613.7
OG0006565	Nana19234-RA	ENSPTRG00000002615.6
OG0006566	Nana23008-RB, Nana23008-RA	ENSPTRG00000009270.6
OG0006567	Nana19237-RA	ENSPTRG00000022948.5
OG0006568	Nana19240-RA	ENSPTRG00000002618.3
OG0006569	Nana23009-RA	ENSPTRG00000009271.5
OG0006570	Nana19508-RA, Nana19507-RA	ENSPTRG00000003047.6
OG0006571	Nana26959-RC, Nana26959-RB	ENSPTRG00000005243.6
OG0006572	Nana23021-RB, Nana23021-RC	ENSPTRG00000009085.7
OG0006573	Nana14512-RB, Nana14512-RA	ENSPTRG00000000740.7
OG0006575	Nana17652-RC, Nana17652-RB	ENSPTRG00000052717.1
OG0006576	Nana19461-RA	ENSPTRG00000051344.1, ENSPTRG00000003060.6
OG0006577	Nana23028-RC, Nana23028-RB	ENSPTRG00000009091.6
OG0006578	Nana23032-RA	ENSPTRG00000043080.1
OG0006579	Nana19443-RA, Nana19443-RB	ENSPTRG00000003067.3
OG0006580	Nana14523-RA	ENSPTRG00000000751.5
OG0006581	Nana23042-RA, Nana23042-RB	ENSPTRG00000009099.6
OG0006582	Nana17669-RA	ENSPTRG00000049208.1, ENSPTRG00000023645.5
OG0006583	Nana11615-RA, Nana14530-RA	ENSPTRG00000000755.3
OG0006584	Nana17668-RA	ENSPTRG00000016233.4, ENSPTRG00000047058.1
OG0006585	Nana14531-RA, Nana14532-RA, Nana14533-RA	ENSPTRG00000000756.3
OG0006586	Nana19439-RA	ENSPTRG00000003074.5
OG0006587	Nana19438-RA, Nana19437-RA	ENSPTRG00000003075.6
OG0006588	Nana19436-RA	ENSPTRG00000029653.4
OG0006589	Nana17686-RB, Nana17686-RA	ENSPTRG00000016243.6
OG0006590	Nana19576-RA	ENSPTRG00000003015.7
OG0006591	Nana23064-RA	ENSPTRG00000009114.6
OG0006592	Nana19551-RA	ENSPTRG00000044868.1
OG0006593	Nana14161-RA	ENSPTRG00000001887.5
OG0006594	Nana14172-RA	ENSPTRG00000043604.1
OG0006595	Nana17717-RA	ENSPTRG00000016267.5
OG0006596	Nana19510-RA, Nana19511-RA	ENSPTRG00000003046.7
OG0006597	Nana14182-RA	ENSPTRG00000001092.4, ENSPTRG00000001869.5
OG0006598	Nana19589-RA, Nana23106-RA	ENSPTRG00000003008.7
OG0006599	Nana14183-RA	ENSPTRG00000001095.6
OG0006600	Nana17760-RA, Nana17760-RB	ENSPTRG00000023126.5
OG0006601	Nana14189-RA	ENSPTRG00000018161.5, ENSPTRG00000043479.1
OG0006602	Nana19595-RB, Nana19595-RA	ENSPTRG00000003004.5
OG0006603	Nana14201-RA	ENSPTRG00000018157.7, ENSPTRG00000044465.1
OG0006604	Nana19602-RA	ENSPTRG00000002998.4
OG0006605	Nana19603-RB, Nana19603-RC	ENSPTRG00000002996.6
OG0006606	Nana26796-RA	ENSPTRG00000005177.6
OG0006607	Nana14208-RA	ENSPTRG00000018149.6
OG0006608	Nana23139-RB, Nana23139-RA	ENSPTRG00000009202.6
OG0006609	Nana23141-RA, Nana23142-RA	ENSPTRG00000040069.2
OG0006610	Nana26628-RA, Nana26628-RB	ENSPTRG00000005823.6
OG0006611	Nana26804-RA, Nana26804-RB	ENSPTRG00000005174.5
OG0006612	Nana04552-RA, Nana14222-RA	ENSPTRG00000018075.6
OG0006613	Nana14226-RA	ENSPTRG00000018068.5
OG0006614	Nana23148-RA	ENSPTRG00000009196.2
OG0006615	Nana26615-RA	ENSPTRG00000046880.1, ENSPTRG00000005906.6
OG0006616	Nana26610-RA	ENSPTRG00000005910.5
OG0006617	Nana26816-RA	ENSPTRG00000005164.6
OG0006618	Nana23154-RA, Nana23154-RB	ENSPTRG00000009207.6
OG0006619	Nana23156-RA	ENSPTRG00000042035.2
OG0006620	Nana23160-RA	ENSPTRG00000009071.4
OG0006621	Nana23165-RA	ENSPTRG00000009070.6
OG0006622	Nana26553-RA	ENSPTRG00000005920.6
OG0006623	Nana23171-RA	ENSPTRG00000051106.1
OG0006624	Nana26848-RA	ENSPTRG00000005156.3
OG0006625	Nana14246-RA	ENSPTRG00000045985.1, ENSPTRG00000018053.7
OG0006626	Nana14247-RA	ENSPTRG00000029679.3
OG0006627	Nana26359-RA, Nana26359-RB	ENSPTRG00000005967.6
OG0006628	Nana23180-RA	ENSPTRG00000009334.6
OG0006629	Nana26340-RA	ENSPTRG00000005971.5
OG0006630	Nana14258-RB, Nana14257-RA, Nana14258-RA	ENSPTRG00000024272.5
OG0006631	Nana18705-RA	ENSPTRG00000015927.5
OG0006632	Nana23194-RA	ENSPTRG00000009345.6, ENSPTRG00000047609.1
OG0006633	Nana23197-RA	ENSPTRG00000022631.5
OG0006634	Nana26326-RA, Nana26326-RB	ENSPTRG00000005977.6
OG0006635	Nana14281-RB, Nana14281-RA	ENSPTRG00000018484.3
OG0006636	Nana23210-RA	ENSPTRG00000009354.4
OG0006637	Nana23213-RA	ENSPTRG00000009357.6
OG0006638	Nana23215-RA	ENSPTRG00000009358.6
OG0006639	Nana26317-RA	ENSPTRG00000005944.6
OG0006640	Nana26898-RA	ENSPTRG00000004837.5
OG0006641	Nana26445-RA	ENSPTRG00000005940.4
OG0006642	Nana26455-RJ, Nana26455-RH, Nana26455-RK	ENSPTRG00000005935.7
OG0006643	Nana23233-RA	ENSPTRG00000050698.1, ENSPTRG00000009372.6
OG0006645	Nana23245-RA, Nana23245-RB	ENSPTRG00000009382.4
OG0006646	Nana14292-RA	ENSPTRG00000001042.6
OG0006647	Nana29705-RA	ENSPTRG00000019594.5
OG0006648	Nana18311-RA, Nana18311-RB	ENSPTRG00000015936.5
OG0006649	Nana25007-RA	ENSPTRG00000023473.6
OG0006650	Nana29691-RA, Nana29692-RA	ENSPTRG00000019607.4
OG0006651	Nana03783-RA, Nana26281-RA	ENSPTRG00000005990.6
OG0006652	Nana10596-RA, Nana29675-RA	ENSPTRG00000019609.6
OG0006653	Nana29661-RA	ENSPTRG00000023877.6
OG0006654	Nana23286-RA	ENSPTRG00000009522.7
OG0006655	Nana29648-RA, Nana29649-RA	ENSPTRG00000019618.4
OG0006656	Nana26288-RA	ENSPTRG00000005998.6
OG0006657	Nana14010-RA, Nana14010-RB	ENSPTRG00000001111.7
OG0006658	Nana26294-RA	ENSPTRG00000045133.1
OG0006659	Nana26295-RA	ENSPTRG00000006004.6
OG0006660	Nana00624-RA	ENSPTRG00000019270.6, ENSPTRG00000045357.1
OG0006661	Nana26303-RA	ENSPTRG00000006008.5
OG0006662	Nana13968-RA, Nana13968-RB	ENSPTRG00000001130.7
OG0006663	Nana29557-RA	ENSPTRG00000014530.4
OG0006664	Nana13962-RA, Nana13962-RB	ENSPTRG00000001133.5
OG0006665	Nana23333-RB, Nana23333-RA	ENSPTRG00000011270.5
OG0006666	Nana26207-RA	ENSPTRG00000048051.1, ENSPTRG00000006046.6
OG0006667	Nana13954-RA, Nana13953-RA	ENSPTRG00000001143.4
OG0006668	Nana13950-RA	ENSPTRG00000001145.6
OG0006669	Nana13948-RA, Nana13949-RA	ENSPTRG00000050090.1
OG0006670	Nana29593-RA, Nana29593-RB	ENSPTRG00000019640.4
OG0006671	Nana29594-RA	ENSPTRG00000019639.6
OG0006672	Nana04394-RA, Nana13943-RA, Nana13944-RA	ENSPTRG00000003429.6
OG0006673	Nana29597-RA, Nana29597-RB	ENSPTRG00000019638.6
OG0006674	Nana13942-RA	ENSPTRG00000001831.5
OG0006675	Nana29599-RA	ENSPTRG00000019636.6
OG0006676	Nana29602-RA	ENSPTRG00000019635.5
OG0006677	Nana23311-RA, Nana23309-RA, Nana23310-RA	ENSPTRG00000011314.5
OG0006679	Nana29613-RA, Nana29613-RB	ENSPTRG00000023614.3
OG0006680	Nana39419-RA, Nana23297-RA	ENSPTRG00000011306.6
OG0006681	Nana26189-RA	ENSPTRG00000006069.7
OG0006682	Nana29617-RB, Nana29617-RA	ENSPTRG00000019627.6
OG0006683	Nana13906-RA, Nana13906-RB	ENSPTRG00000001090.5
OG0006684	Nana18506-RA	ENSPTRG00000015991.6
OG0006685	Nana13902-RA	ENSPTRG00000001867.7
OG0006686	Nana18414-RA	ENSPTRG00000015956.4
OG0006687	Nana18356-RB	ENSPTRG00000050933.1, ENSPTRG00000015949.6
OG0006688	Nana18334-RB, Nana18334-RA	ENSPTRG00000015945.6
OG0006689	Nana26073-RA	ENSPTRG00000023576.6
OG0006690	Nana26071-RA	ENSPTRG00000012269.4
OG0006691	Nana26068-RB, Nana26068-RA	ENSPTRG00000012266.6
OG0006692	Nana13877-RA	ENSPTRG00000013434.5
OG0006693	Nana13876-RB, Nana13876-RA	ENSPTRG00000013435.6
OG0006694	Nana13873-RA	ENSPTRG00000013438.7
OG0006695	Nana18307-RA	ENSPTRG00000045116.1
OG0006696	Nana26061-RA	ENSPTRG00000044292.1
OG0006697	Nana13860-RA	ENSPTRG00000042881.1, ENSPTRG00000013447.6
OG0006698	Nana18449-RA, Nana18450-RA	ENSPTRG00000050026.1
OG0006699	Nana26044-RA	ENSPTRG00000051453.1
OG0006700	Nana26040-RA	ENSPTRG00000006817.5
OG0006701	Nana13841-RA, Nana13841-RB	ENSPTRG00000013468.5
OG0006702	Nana06064-RA, Nana06064-RB	ENSPTRG00000010657.6
OG0006703	Nana29401-RA, Nana29400-RA	ENSPTRG00000004566.7
OG0006704	Nana25952-RA	ENSPTRG00000045318.1
OG0006705	Nana29425-RA	ENSPTRG00000004794.7
OG0006706	Nana29427-RA, Nana39404-RA	ENSPTRG00000004793.5
OG0006707	Nana29442-RA	ENSPTRG00000004704.5
OG0006708	Nana29444-RA	ENSPTRG00000004702.6
OG0006709	Nana29447-RA	ENSPTRG00000004701.4
OG0006710	Nana25911-RA	ENSPTRG00000028318.3
OG0006711	Nana13829-RC, Nana13829-RB	ENSPTRG00000013430.6
OG0006712	Nana13820-RA, Nana13821-RA	ENSPTRG00000013512.6
OG0006713	Nana13807-RA	ENSPTRG00000049130.1, ENSPTRG00000013401.6
OG0006714	Nana13805-RA	ENSPTRG00000013402.7, ENSPTRG00000048154.1
OG0006715	Nana13800-RA	ENSPTRG00000013405.6, ENSPTRG00000049551.1
OG0006716	Nana13793-RA	ENSPTRG00000013412.6, ENSPTRG00000042999.1
OG0006717	Nana13790-RA, Nana13790-RB	ENSPTRG00000013415.6
OG0006718	Nana29495-RB	ENSPTRG00000014483.5, ENSPTRG00000050957.1
OG0006719	Nana13778-RA	ENSPTRG00000013460.6
OG0006720	Nana29496-RA	ENSPTRG00000014481.5, ENSPTRG00000044988.1
OG0006721	Nana29497-RA	ENSPTRG00000014477.6
OG0006722	Nana29507-RB, Nana29507-RA	ENSPTRG00000014468.6
OG0006723	Nana29511-RA	ENSPTRG00000051085.1
OG0006724	Nana13725-RA, Nana13725-RB	ENSPTRG00000013493.6
OG0006725	Nana25860-RB, Nana25860-RA	ENSPTRG00000022605.5
OG0006727	Nana29147-RA	ENSPTRG00000019357.6, ENSPTRG00000046936.1
OG0006728	Nana29165-RA	ENSPTRG00000022827.5
OG0006729	Nana25831-RA	ENSPTRG00000021738.5
OG0006730	Nana29188-RA, Nana29188-RB	ENSPTRG00000002304.6
OG0006731	Nana29186-RA	ENSPTRG00000002306.7
OG0006732	Nana13672-RA	ENSPTRG00000013524.6
OG0006733	Nana13668-RA	ENSPTRG00000013519.7
OG0006734	Nana13662-RA	ENSPTRG00000013514.4
OG0006735	Nana25811-RA	ENSPTRG00000021752.6
OG0006737	Nana04212-RA	ENSPTRG00000003106.6
OG0006738	Nana13648-RB, Nana13648-RA	ENSPTRG00000013590.6
OG0006739	Nana24397-RA	ENSPTRG00000045419.1
OG0006740	Nana24402-RA	ENSPTRG00000021793.6
