Orthogroup	N_naja.pep	P_Mucros.pep
OG0005490	"Nana32223-RB, Nana32223-RA"	XP_015677794.1
OG0005491	Nana32226-RA	"XP_015677792.1, XP_015677793.1"
OG0005492	Nana00587-RA	XP_015672674.1
OG0005493	Nana00590-RA	XP_015672681.1
OG0005494	Nana36272-RA	"XP_015685396.2, XP_015685413.1"
OG0005495	Nana17214-RA	XP_015679424.1
OG0005496	Nana20893-RA	"XP_015685459.1, XP_015686090.1"
OG0005498	"Nana02599-RA, Nana36278-RA"	XP_015677527.1
OG0005499	"Nana00365-RB, Nana00365-RA"	XP_015678986.1
OG0005500	Nana18420-RA	XP_015682621.1
OG0005501	Nana20334-RA	XP_015680148.1
OG0005502	"Nana00369-RA, Nana00369-RB"	XP_015681042.1
OG0005503	"Nana16913-RA, Nana16913-RB"	XP_015684737.1
OG0005504	"Nana37149-RA, Nana37147-RA"	XP_015678863.1
OG0005505	Nana35522-RA	XP_015678883.1
OG0005506	Nana31382-RA	XP_015677167.1
OG0005507	"Nana28404-RB, Nana28404-RA"	XP_015681590.1
OG0005508	"Nana31024-RC, Nana31024-RB, Nana31024-RA"	XP_015667667.1
OG0005509	"Nana15760-RB, Nana15760-RA"	XP_015669564.1
OG0005510	"Nana29054-RA, Nana29054-RB"	XP_029139353.1
OG0005511	"Nana15761-RA, Nana15761-RB"	XP_015669781.1
OG0005512	"Nana31384-RB, Nana31384-RA"	XP_015677170.1
OG0005513	Nana28396-RA	XP_015681595.1
OG0005514	Nana18693-RB	XP_015673142.1
OG0005515	"Nana05839-RA, Nana05839-RB"	XP_015676738.1
OG0005516	Nana18723-RA	XP_015680791.1
OG0005517	Nana37215-RA	"XP_015683708.1, XP_015685682.1"
OG0005518	"Nana18724-RD, Nana18724-RC"	XP_029141783.1
OG0005519	"Nana18725-RB, Nana18725-RA"	XP_015680788.1
OG0005520	Nana18726-RA	XP_015680787.1
OG0005521	Nana03420-RA	"XP_015667347.1, XP_015667348.1"
OG0005522	Nana05837-RA	"XP_015676737.1, XP_015676735.1"
OG0005523	Nana31391-RA	XP_015675558.1
OG0005524	Nana29061-RA	"XP_015668405.1, XP_015668404.1"
OG0005525	Nana31887-RA	"XP_015666941.1, XP_015666940.1"
OG0005526	Nana31885-RF	"XP_029139056.1, XP_029139055.1"
OG0005527	Nana31190-RA	XP_015680043.1
OG0005528	"Nana29066-RC, Nana29066-RA"	XP_029139357.1
OG0005529	Nana03426-RA	XP_015667354.1
OG0005530	Nana16926-RA	"XP_015676375.1, XP_015676398.2"
OG0005531	"Nana36001-RB, Nana36001-RA"	XP_015684042.1
OG0005532	Nana32108-RA	XP_015687910.2
OG0005533	Nana32110-RA	XP_029143214.1
OG0005534	Nana32107-RA	XP_015687921.1
OG0005535	"Nana02139-RD, Nana02139-RC"	XP_015667685.1
OG0005536	Nana36084-RA	"XP_015676988.1, XP_015685306.1"
OG0005537	"Nana28622-RA, Nana28622-RB"	XP_015676232.1
OG0005538	"Nana02136-RA, Nana02137-RA"	XP_015667696.1
OG0005539	Nana20700-RA	XP_029141211.1
OG0005540	"Nana16898-RC, Nana16898-RD"	XP_015667315.1
OG0005541	"Nana06121-RA, Nana06121-RD"	XP_029138812.1
OG0005542	"Nana34500-RC, Nana34500-RD"	XP_015673300.1
OG0005543	Nana20701-RA	XP_029141210.1
OG0005544	Nana34800-RA	XP_015670938.1
OG0005545	Nana16885-RA	XP_029142575.1
OG0005546	"Nana34793-RA, Nana34793-RB"	XP_015670897.1
OG0005547	"Nana14700-RB, Nana14700-RA"	XP_015678821.1
OG0005548	Nana34790-RA	XP_029139870.1
OG0005549	Nana16869-RA	"XP_015680674.1, XP_029141759.1"
OG0005550	Nana14720-RA	XP_015668692.1
OG0005551	Nana28587-RA	XP_015675621.1
OG0005552	Nana16863-RA	XP_015667203.1
OG0005553	Nana14741-RA	"XP_015668701.1, XP_015668700.1"
OG0005554	"Nana37560-RA, Nana37560-RB"	XP_029142024.1
OG0005555	Nana14746-RB	XP_015668704.1
OG0005556	"Nana34735-RB, Nana34735-RA"	"XP_015671245.1, XP_015671243.1"
OG0005557	Nana22938-RA	XP_015686944.1
OG0005559	Nana14484-RA	XP_015668024.1
OG0005560	Nana16859-RA	XP_015679951.1
OG0005561	Nana30185-RA	XP_029143181.1
OG0005562	"Nana15343-RA, Nana15345-RA"	XP_015677150.1
OG0005563	Nana16855-RA	XP_015679950.1
OG0005564	Nana14763-RA	"XP_015673701.1, XP_015673700.1"
OG0005565	Nana14480-RA	"XP_015668032.1, XP_015668033.1"
OG0005566	Nana30182-RA	XP_015687659.1
OG0005567	Nana16853-RA	XP_029141612.1
OG0005568	"Nana14469-RB, Nana14469-RA"	XP_015668034.1
OG0005569	Nana15721-RA	XP_015667007.1
OG0005570	"Nana03593-RA, Nana03593-RB"	XP_015677567.1
OG0005571	Nana31829-RA	"XP_029139078.1, XP_015666960.1"
OG0005572	Nana31833-RA	XP_015666961.1
OG0005573	Nana14772-RA	XP_015673684.1
OG0005574	Nana31548-RA	XP_015683583.2
OG0005575	Nana14798-RA	XP_015678707.1
OG0005576	Nana33591-RA	XP_015667412.1
OG0005578	Nana25203-RA	"XP_015668569.1, XP_015668577.1"
OG0005579	"Nana16767-RA, Nana16767-RB"	XP_015682758.1
OG0005580	"Nana36534-RB, Nana36534-RA"	XP_029141768.1
OG0005581	Nana16766-RA	"XP_015682757.1, XP_015685894.1"
OG0005582	"Nana25199-RA, Nana25199-RB"	XP_015668524.1
OG0005583	"Nana37509-RA, Nana37509-RB"	XP_015676904.1
OG0005584	Nana14802-RA	XP_015668909.1
OG0005585	Nana14805-RA	XP_015668899.1
OG0005586	Nana14807-RA	"XP_015668898.1, XP_015668908.1"
OG0005587	Nana16760-RA	XP_015675126.1
OG0005588	Nana31506-RA	"XP_015674467.2, XP_015674476.1"
OG0005589	"Nana34525-RC, Nana34525-RB"	XP_015673302.1
OG0005590	"Nana37638-RC, Nana37638-RB, Nana37638-RA"	XP_015675859.1
OG0005591	Nana17183-RA	XP_029141473.1
OG0005592	"Nana06299-RA, Nana06299-RC"	XP_029138921.1
OG0005593	Nana33181-RA	XP_015671707.1
OG0005594	Nana33182-RA	XP_015671713.1
OG0005595	Nana03315-RA	"XP_015684055.1, XP_015684054.1"
OG0005596	Nana34521-RA	XP_015673330.1
OG0005597	Nana14814-RA	XP_029139461.1
OG0005598	"Nana14816-RA, Nana14817-RA"	XP_029139459.1
OG0005599	"Nana00768-RB, Nana00768-RA"	XP_015668465.1
OG0005600	Nana16750-RA	XP_015683935.1
OG0005601	"Nana03577-RA, Nana03577-RB"	XP_015669858.1
OG0005602	Nana16748-RA	XP_015678214.2
OG0005603	Nana35568-RA	XP_015679934.1
OG0005604	"Nana30398-RC, Nana30398-RB, Nana30398-RA"	XP_015671575.1
OG0005605	"Nana14825-RA, Nana14826-RA"	XP_015674484.1
OG0005606	"Nana36895-RA, Nana36895-RB"	XP_029141111.1
OG0005607	Nana32845-RA	XP_015666483.1
OG0005608	"Nana34943-RC, Nana34943-RB"	XP_015672952.1
OG0005609	"Nana00780-RB, Nana00780-RA"	XP_029139371.1
OG0005610	Nana23230-RA	XP_029138875.1
OG0005612	Nana32844-RA	XP_015666464.1
OG0005613	"Nana00387-RA, Nana00387-RB"	XP_015679988.1
OG0005614	"Nana36906-RA, Nana36906-RC"	XP_029141917.1
OG0005616	Nana33367-RA	XP_015673799.2
OG0005617	Nana32838-RA	XP_015666487.1
OG0005618	Nana32621-RA	XP_029138763.1
OG0005619	Nana28888-RA	XP_015668069.1
OG0005620	Nana38537-RA	"XP_015665592.1, XP_015683188.2"
OG0005621	Nana16728-RA	XP_015677481.1
OG0005622	"Nana39524-RD, Nana39524-RC"	XP_015668058.1
OG0005623	Nana09232-RA	XP_015670829.1
OG0005624	Nana30089-RA	"XP_015680437.1, XP_015680447.1, XP_015680454.1"
OG0005625	Nana00193-RA	XP_015679967.1
OG0005626	Nana32620-RA	XP_029143211.1
OG0005627	Nana16726-RA	XP_015686296.1
OG0005628	Nana18893-RA	XP_029141720.1
OG0005629	"Nana27276-RB, Nana27276-RA"	XP_015672739.1
OG0005630	Nana16725-RA	XP_015682495.1
OG0005631	Nana14274-RA	XP_029141061.1
OG0005631	Nana14267-RA	XP_015668080.1
OG0005632	Nana37197-RA	XP_029141674.1
OG0005633	Nana16722-RA	XP_015671857.1
OG0005634	"Nana37200-RA, Nana37198-RA"	XP_015680221.1
OG0005635	"Nana32824-RA, Nana32824-RB"	XP_029138981.1
OG0005636	"Nana30096-RB, Nana30096-RA"	XP_015680499.1
OG0005638	Nana30097-RA	"XP_015680513.1, XP_015680509.1"
OG0005639	"Nana37613-RB, Nana37613-RA"	XP_015675846.1
OG0005640	"Nana34309-RB, Nana34309-RA"	XP_015676413.1
OG0005641	"Nana15736-RA, Nana15734-RA"	XP_015685053.1
OG0005642	"Nana11095-RA, Nana11095-RB"	"XP_015669496.1, XP_015669497.1"
OG0005643	Nana09978-RA	XP_015687371.1
OG0005644	"Nana33320-RD, Nana33320-RC"	XP_015670765.1
OG0005645	Nana34314-RA	XP_015676410.1
OG0005646	"Nana37606-RA, Nana37607-RA"	XP_029139328.1
OG0005647	"Nana30104-RB, Nana30104-RA"	XP_015680554.1
OG0005648	Nana37600-RA	XP_029139329.1
OG0005649	Nana01047-RA	"XP_015668595.1, XP_015668596.1"
OG0005650	"Nana33762-RB, Nana33762-RA"	XP_015687233.1
OG0005651	Nana30110-RA	XP_015678459.1
OG0005652	"Nana33761-RC, Nana33761-RB"	XP_029143088.1
OG0005653	"Nana33317-RA, Nana33317-RB"	XP_015670767.2
OG0005654	Nana34913-RA	XP_015669135.1
OG0005655	"Nana34911-RA, Nana34911-RB"	XP_015669118.1
OG0005656	Nana11083-RB	"XP_015669507.1, XP_015669506.1"
OG0005657	Nana28059-RA	XP_015666636.1
OG0005658	"Nana01028-RA, Nana01028-RB"	XP_015668567.1
OG0005659	Nana15748-RA	"XP_015669330.1, XP_015669253.1"
OG0005660	Nana03376-RA	"XP_015686089.1, XP_015686096.1"
OG0005661	Nana36810-RA	"XP_015681086.1, XP_015681087.1"
OG0005662	Nana28283-RA	XP_015681008.1
OG0005663	"Nana33265-RA, Nana33264-RB"	XP_029140733.1
OG0005664	Nana03380-RA	XP_015671380.1
OG0005665	Nana09687-RA	XP_015672926.1
OG0005666	Nana33267-RA	"XP_015679416.1, XP_015686164.1"
OG0005667	"Nana11079-RD, Nana11079-RE, Nana11079-RC"	XP_015669509.1
OG0005668	"Nana11418-RA, Nana11418-RB"	XP_029140565.1
OG0005669	"Nana34891-RC, Nana34891-RA, Nana34891-RB"	XP_015669133.1
OG0005670	"Nana32781-RB, Nana32781-RA"	XP_015666531.1
OG0005671	"Nana34473-RC, Nana34473-RB"	XP_015675029.1
OG0005672	Nana27205-RA	XP_015669015.1
OG0005673	Nana03386-RA	"XP_015685861.2, XP_015671382.1"
OG0005674	Nana00003-RA	"XP_015683875.1, XP_015683968.1"
OG0005675	Nana03387-RA	"XP_015671383.1, XP_015671384.1"
OG0005676	"Nana01019-RA, Nana01019-RB"	XP_015668570.1
OG0005677	"Nana06325-RA, Nana39711-RA"	XP_029138929.1
OG0005678	Nana36822-RA	XP_015681596.1
OG0005679	Nana06330-RA	"XP_015684841.1, XP_015666196.1"
OG0005680	Nana36820-RA	XP_015681597.1
OG0005681	Nana34884-RA	"XP_015669112.1, XP_015686043.1"
OG0005682	Nana24724-RA	XP_015669283.1
OG0005683	"Nana24723-RB, Nana24723-RA"	XP_015669284.1
OG0005684	Nana35411-RA	XP_015682326.1
OG0005685	Nana33801-RA	XP_029139429.1
OG0005686	"Nana00666-RB, Nana00666-RA"	XP_029139763.1
OG0005687	"Nana30648-RA, Nana30649-RA"	XP_029140431.1
OG0005688	Nana20922-RB	"XP_029140830.1, XP_029143007.1"
OG0005689	"Nana37680-RA, Nana37683-RA"	XP_015683030.2
OG0005690	Nana30919-RA	XP_015669342.2
OG0005691	Nana31814-RA	XP_029139065.1
OG0005692	Nana30918-RA	XP_015669341.1
OG0005693	"Nana20932-RA, Nana20932-RB"	XP_015676212.1
OG0005694	"Nana01685-RA, Nana24036-RA"	XP_029140351.1
OG0005695	Nana11218-RA	"XP_015682399.1, XP_029142178.1"
OG0005696	"Nana03303-RA, Nana03303-RB"	"XP_015681881.1, XP_015681880.1"
OG0005697	"Nana12819-RB, Nana12819-RC"	XP_015683304.1
OG0005698	Nana16968-RA	"XP_015682382.1, XP_029142852.1"
OG0005699	Nana35433-RA	XP_015683181.1
OG0005700	Nana03296-RA	XP_015680747.1
OG0005701	Nana16586-RA	"XP_015669473.1, XP_029139575.1"
OG0005703	Nana28145-RA	XP_029140080.1
OG0005704	Nana34103-RA	XP_015678599.1
OG0005705	"Nana17172-RB, Nana17172-RA"	XP_029142166.1
OG0005706	Nana16598-RA	"XP_015687078.1, XP_015687077.1"
OG0005707	"Nana28150-RA, Nana28150-RB"	XP_015672015.1
OG0005708	"Nana37615-RB, Nana37615-RA, Nana37615-RC"	XP_029140756.1
OG0005709	"Nana36737-RA, Nana36737-RB"	XP_029143077.1
OG0005710	Nana06889-RA	XP_029141687.1
OG0005711	Nana36581-RA	"XP_015681044.2, XP_015683789.1"
OG0005712	Nana10538-RA	XP_015684910.1
OG0005713	"Nana00017-RA, Nana00015-RA"	XP_029142645.1
OG0005714	"Nana30448-RC, Nana30448-RA, Nana30448-RB"	XP_015672829.1
OG0005715	"Nana33043-RA, Nana33043-RB"	XP_015678852.1
OG0005716	Nana16610-RA	XP_015677354.1
OG0005717	Nana11124-RA	XP_015674281.1
OG0005718	Nana32595-RB	XP_015687951.1
OG0005719	"Nana16613-RB, Nana16613-RA"	XP_015677345.1
OG0005720	Nana37393-RA	"XP_015671548.1, XP_015671547.1"
OG0005721	Nana36802-RA	"XP_015684179.1, XP_015684180.1"
OG0005722	"Nana32598-RA, Nana32598-RB"	XP_015687950.1
OG0005723	"Nana16615-RB, Nana16615-RA"	XP_015677351.1
OG0005724	Nana30470-RA	"XP_015678613.1, XP_015678612.1"
OG0005725	"Nana13590-RA, Nana13590-RB"	XP_029139890.1
OG0005726	"Nana33876-RA, Nana33876-RB"	XP_015677131.1
OG0005727	Nana37391-RA	XP_015671528.1
OG0005728	"Nana13594-RA, Nana13593-RA"	XP_015671036.1
OG0005729	Nana32602-RA	XP_015687912.2
OG0005730	Nana11123-RA	XP_015674282.1
OG0005731	"Nana08728-RB, Nana08728-RA"	XP_015677013.2
OG0005732	"Nana32603-RA, Nana32603-RB"	XP_015687945.1
OG0005733	"Nana08729-RA, Nana08729-RB"	XP_015677014.1
OG0005734	"Nana35540-RB, Nana35540-RA"	XP_015674110.1
OG0005735	"Nana28029-RB, Nana28029-RD, Nana28029-RE"	XP_015666623.1
OG0005736	"Nana11121-RB, Nana11121-RA"	XP_029140484.1
OG0005737	"Nana08731-RB, Nana08731-RA"	XP_015677017.1
OG0005738	Nana28121-RA	XP_015667015.1
OG0005739	"Nana13606-RA, Nana13604-RA"	XP_015669854.1
OG0005740	Nana32675-RA	XP_015687928.1
OG0005741	Nana08735-RA	"XP_015677024.1, XP_015685668.1"
OG0005742	Nana13609-RA	XP_015674775.1
OG0005743	Nana13611-RB	XP_015673619.1
OG0005744	Nana00264-RA	"XP_029141404.1, XP_029142901.1"
OG0005745	"Nana37205-RA, Nana37205-RB"	XP_029143064.1
OG0005746	"Nana16633-RB, Nana16633-RA"	XP_015675121.1
OG0005747	Nana00089-RA	"XP_015686101.1, XP_015685035.2"
OG0005748	Nana00082-RA	XP_029142014.1
OG0005749	"Nana00081-RB, Nana00081-RA"	XP_015681807.2
OG0005750	Nana29540-RA	"XP_015673549.1, XP_015673548.1"
OG0005751	Nana33859-RA	XP_015680002.1
OG0005752	"Nana28313-RA, Nana28313-RB"	"XP_015685954.1, XP_015677765.2"
OG0005753	Nana00078-RA	"XP_015681033.1, XP_015681809.1"
OG0005754	Nana29544-RB	XP_015673551.1
OG0005755	"Nana35440-RB, Nana35440-RA"	XP_015684856.1
OG0005756	Nana33684-RA	XP_015673741.1
OG0005757	"Nana35459-RA, Nana35459-RB"	XP_015678094.1
OG0005758	"Nana35468-RA, Nana35468-RB"	XP_015678522.2
OG0005759	"Nana34969-RB, Nana34969-RA"	XP_015672938.1
OG0005760	Nana34974-RA	"XP_015672959.1, XP_015672958.1"
OG0005761	"Nana02363-RA, Nana02363-RB"	XP_015671393.1
OG0005762	"Nana16545-RB, Nana16545-RA"	XP_015668583.1
OG0005763	Nana18504-RA	XP_029143134.1
OG0005764	"Nana26811-RB, Nana26811-RA"	XP_015677959.1
OG0005766	"Nana16532-RC, Nana16532-RD"	XP_029141449.1
OG0005767	"Nana16532-RA, Nana16532-RB"	XP_015679157.1
OG0005768	Nana18513-RA	"XP_015685380.2, XP_029142549.1"
OG0005769	"Nana35018-RB, Nana35018-RA"	XP_015683751.1
OG0005770	Nana35022-RA	"XP_015686140.2, XP_029142473.1"
OG0005771	"Nana16523-RB, Nana16523-RC"	XP_015687555.1
OG0005772	Nana28882-RA	XP_015668073.1
OG0005773	Nana18516-RA	"XP_015682323.1, XP_015683245.1"
OG0005774	Nana16523-RA	XP_015687554.1
OG0005775	Nana18517-RA	XP_015682324.1
OG0005776	"Nana06363-RC, Nana06363-RB"	XP_015683504.1
OG0005777	"Nana26717-RA, Nana26717-RB"	XP_015675932.1
OG0005778	"Nana00660-RB, Nana00660-RC, Nana00660-RA"	XP_015670291.1
OG0005779	"Nana28877-RB, Nana28877-RA"	XP_029139288.1
OG0005780	Nana35044-RA	"XP_015682553.1, XP_015684946.1"
OG0005781	Nana35762-RA	XP_015680315.1
OG0005782	Nana28870-RA	XP_015668066.1
OG0005783	"Nana28866-RB, Nana28866-RA"	XP_015668077.1
OG0005784	Nana26723-RA	XP_015675925.1
OG0005785	Nana26729-RA	"XP_015684984.1, XP_015675928.1"
OG0005786	"Nana26314-RB, Nana26314-RA"	XP_015679875.1
OG0005787	Nana33773-RA	XP_015684158.1
OG0005788	Nana26758-RA	XP_029141339.1
OG0005789	Nana16358-RA	XP_029139250.1
OG0005790	Nana23252-RA	XP_029138883.1
OG0005791	Nana26737-RA	"XP_029142650.1, XP_029140775.1"
OG0005792	Nana36928-RA	XP_015687454.1
OG0005793	"Nana26730-RB, Nana26730-RA"	XP_015675921.1
OG0005794	Nana12467-RA	XP_015672509.1
OG0005795	"Nana31324-RB, Nana31324-RA"	XP_015673036.2
OG0005796	"Nana12476-RA, Nana12475-RA"	XP_015675282.1
OG0005797	Nana12490-RA	XP_015675284.1
OG0005798	"Nana31332-RB, Nana31332-RA"	XP_015673033.1
OG0005799	"Nana31334-RB, Nana31334-RA"	XP_015673032.1
OG0005800	Nana16391-RA	XP_015687349.1
OG0005801	Nana31337-RA	XP_015673077.1
OG0005802	Nana32719-RA	XP_015687885.1
OG0005803	Nana05919-RA	XP_015673270.1
OG0005804	"Nana31338-RB, Nana31338-RA"	XP_015673076.1
OG0005805	Nana28950-RA	"XP_029139342.1, XP_015668412.1"
OG0005806	Nana16411-RA	XP_015673114.1
OG0005807	Nana17919-RA	XP_015670582.1
OG0005808	Nana16414-RA	"XP_015679892.1, XP_015679891.1"
OG0005809	"Nana27977-RB, Nana27977-RA"	XP_015681324.1
OG0005810	Nana36880-RA	XP_029140697.1
OG0005811	"Nana34132-RA, Nana34131-RA, Nana34648-RA"	XP_015681820.1
OG0005812	"Nana34130-RA, Nana34647-RA"	XP_015681979.1
OG0005813	"Nana05805-RA, Nana05805-RB"	XP_015675381.1
OG0005814	"Nana00022-RA, Nana00025-RA"	XP_015683214.1
OG0005815	"Nana15049-RA, Nana15049-RB"	XP_015674128.1
OG0005816	Nana05817-RA	XP_015679306.1
OG0005817	Nana16422-RA	XP_015682162.1
OG0005818	"Nana05819-RB, Nana05819-RA"	XP_015679300.1
OG0005819	Nana05820-RA	XP_015679308.1
OG0005820	"Nana35737-RA, Nana35737-RB"	XP_029140258.1
OG0005821	Nana12514-RA	XP_015681832.1
OG0005822	Nana28532-RA	"XP_029140720.1, XP_015675590.1, XP_015675588.1"
OG0005823	"Nana11285-RA, Nana11284-RA"	XP_015676725.1
OG0005824	"Nana31393-RA, Nana31393-RB"	XP_029140714.1
OG0005825	Nana28535-RA	"XP_015685265.1, XP_015675586.1"
OG0005826	Nana28536-RA	"XP_015675584.1, XP_029142835.1"
OG0005827	"Nana17517-RA, Nana17517-RB"	XP_029140994.1
OG0005828	Nana36266-RA	XP_015684571.1
OG0005829	Nana17483-RA	"XP_015686740.2, XP_015680685.1"
OG0005830	Nana11280-RA	"XP_015683533.1, XP_015676729.1"
OG0005831	"Nana38358-RA, Nana38355-RA"	XP_029142497.1
OG0005832	"Nana35335-RB, Nana35335-RA"	"XP_015680634.1, XP_015680633.1"
OG0005833	Nana31681-RA	XP_015682234.1
OG0005834	Nana06007-RA	XP_015665459.1
OG0005835	Nana16442-RA	"XP_015674601.1, XP_015674598.1"
OG0005836	Nana28557-RA	XP_015682886.1
OG0005837	"Nana35359-RA, Nana35361-RA"	XP_015679100.1
OG0005838	"Nana00696-RD, Nana00696-RF, Nana00696-RE"	XP_015670321.1
OG0005839	Nana19249-RA	XP_015673593.1
OG0005840	Nana19253-RA	XP_015674327.1
OG0005842	Nana35387-RA	"XP_015666194.1, XP_015666186.1"
OG0005843	Nana19254-RA	XP_015668745.1
OG0005844	"Nana19046-RB, Nana19046-RA"	XP_015681483.1
OG0005845	"Nana11261-RA, Nana11261-RB"	XP_015677747.1
OG0005846	Nana03953-RA	XP_015682536.1
OG0005847	"Nana11249-RA, Nana11250-RA"	XP_015675715.1
OG0005848	Nana35599-RA	"XP_029141713.1, XP_015686269.1"
OG0005850	"Nana35769-RB, Nana35769-RA"	XP_015680327.1
OG0005851	Nana11248-RA	XP_015675723.1
OG0005852	Nana16465-RA	XP_015672643.1
OG0005853	Nana18789-RA	"XP_015683466.1, XP_015680424.1"
OG0005854	Nana34883-RA	XP_015669150.1
OG0005856	Nana16475-RA	XP_015680143.1
OG0005857	Nana36113-RA	"XP_015686249.1, XP_015684853.1"
OG0005858	"Nana34570-RA, Nana34570-RB"	XP_015667494.1
OG0005859	Nana11234-RA	"XP_015672777.1, XP_015672784.1"
OG0005860	Nana18786-RA	XP_015680430.1
OG0005861	Nana11233-RA	XP_029140231.1
OG0005862	"Nana34573-RD, Nana34573-RE"	XP_029139179.1
OG0005863	"Nana34573-RG, Nana34573-RF"	XP_029139186.1
OG0005864	Nana31186-RA	XP_015680896.1
OG0005865	Nana36032-RA	"XP_015685605.1, XP_015673163.1"
OG0005866	Nana17782-RA	"XP_015672885.1, XP_015672886.1"
OG0005867	Nana31944-RA	XP_015668199.1
OG0005868	Nana16225-RA	XP_015674728.1
OG0005869	Nana06295-RA	XP_015666204.1
OG0005870	Nana16220-RA	XP_029140807.1
OG0005871	"Nana17785-RA, Nana17785-RB"	XP_015672889.1
OG0005872	Nana18814-RA	"XP_015685944.1, XP_015685517.1"
OG0005873	Nana34869-RA	XP_015669131.1
OG0005874	Nana36319-RA	XP_015680373.1
OG0005875	"Nana34868-RB, Nana34868-RA"	XP_015669151.1
OG0005876	Nana34669-RA	XP_015669152.1
OG0005877	"Nana33114-RD, Nana33114-RC"	XP_029142245.1
OG0005878	"Nana05850-RB, Nana05850-RA"	XP_029140430.1
OG0005879	Nana28180-RA	XP_015672007.1
OG0005880	Nana30292-RA	XP_015672076.1
OG0005881	Nana33110-RA	"XP_015673933.1, XP_029140420.1"
OG0005882	Nana34859-RA	"XP_015669144.1, XP_015669145.1"
OG0005883	Nana34857-RA	XP_029139496.1
OG0005884	Nana30295-RH	"XP_015672070.1, XP_015672069.1"
OG0005886	"Nana06104-RA, Nana06104-RB"	XP_029138802.1
OG0005887	Nana16203-RA	"XP_015685764.1, XP_029140787.1"
OG0005888	Nana19601-RA	XP_015672715.1
OG0005889	Nana34019-RA	"XP_015685300.2, XP_015674683.1"
OG0005890	"Nana28026-RA, Nana28026-RB"	XP_015666621.1
OG0005891	"Nana36329-RA, Nana36329-RB"	"XP_015686255.1, XP_015685501.1"
OG0005892	Nana17196-RA	XP_015684871.1
OG0005894	Nana35971-RA	XP_015681744.1
OG0005895	Nana00032-RA	"XP_015673827.1, XP_015673828.1"
OG0005896	Nana26646-RA	XP_015666570.1
OG0005897	Nana35620-RA	"XP_015681229.1, XP_029141703.1"
OG0005898	Nana32939-RA	"XP_029142909.1, XP_029142800.1"
OG0005899	Nana16200-RA	"XP_015676896.1, XP_029141036.1"
OG0005900	"Nana18925-RB, Nana18925-RA"	XP_015683540.1
OG0005901	Nana35983-RA	XP_029142002.1
OG0005902	"Nana28264-RB, Nana28264-RA"	XP_015674308.1
OG0005903	"Nana19695-RA, Nana19697-RA"	XP_029139944.1
OG0005904	Nana37192-RA	"XP_015687031.1, XP_015680223.1"
OG0005905	Nana28266-RA	XP_015674311.1
OG0005906	Nana35985-RA	"XP_015683913.1, XP_029142001.1"
OG0005907	Nana35817-RA	XP_015680814.1
OG0005908	Nana34839-RA	XP_015669138.1
OG0005909	Nana13526-RA	XP_015679454.1
OG0005910	Nana05955-RA	XP_015683096.1
OG0005911	Nana17494-RA	XP_015680680.1
OG0005912	"Nana30854-RB, Nana30854-RA"	XP_029140895.1
OG0005913	"Nana34837-RB, Nana34837-RA"	XP_015669119.1
OG0005914	"Nana16193-RA, Nana16193-RB"	XP_015676503.1
OG0005915	Nana36759-RA	XP_015682096.1
OG0005916	Nana21190-RA	"XP_015688029.1, XP_015688030.1"
OG0005917	Nana28812-RA	XP_015669052.1
OG0005918	Nana28800-RA	"XP_015685398.1, XP_015685951.1"
OG0005919	"Nana16171-RA, Nana16171-RB"	XP_015676142.1
OG0005920	"Nana00591-RA, Nana00591-RB"	XP_015672673.1
OG0005921	Nana34822-RA	XP_015670945.1
OG0005922	Nana18521-RA	"XP_029142458.1, XP_015684454.1"
OG0005923	Nana33824-RA	"XP_015685788.1, XP_015682813.1"
OG0005924	"Nana21188-RB, Nana21188-RA"	XP_015688041.1
OG0005925	Nana37028-RA	XP_015683321.1
OG0005926	"Nana21182-RA, Nana21182-RB"	XP_015688031.1
OG0005927	Nana15091-RA	XP_029139441.1
OG0005928	Nana33832-RA	"XP_015681468.1, XP_015684494.1"
OG0005929	Nana34728-RN	XP_015671271.1
OG0005930	Nana33835-RA	XP_015681462.1
OG0005931	Nana25674-RA	XP_015672782.1
OG0005932	"Nana33638-RB, Nana33638-RD"	XP_015674100.1
OG0005933	Nana05062-RA	"XP_015687298.1, XP_015685012.1"
OG0005934	Nana34826-RA	XP_015670905.1
OG0005935	Nana12940-RA	XP_015684598.1
OG0005936	Nana01398-RA	XP_015673482.1
OG0005937	"Nana21176-RA, Nana21176-RB"	XP_015688042.1
OG0005938	Nana03713-RA	"XP_015682451.2, XP_015685066.1, XP_015685065.1"
OG0005939	Nana24440-RA	XP_015670391.1
OG0005940	Nana36510-RA	"XP_015683656.1, XP_015686883.1"
OG0005941	"Nana05069-RB, Nana05069-RA"	"XP_015670015.1, XP_015670016.1"
OG0005942	Nana21171-RA	XP_015667903.1
OG0005943	"Nana30218-RB, Nana30218-RC"	XP_015669816.1
OG0005944	Nana36995-RA	"XP_015676405.1, XP_015685350.1"
OG0005945	"Nana03524-RA, Nana03522-RA"	XP_029139756.1
OG0005946	Nana05070-RA	XP_015670017.1
OG0005947	Nana35086-RA	"XP_015680229.1, XP_015680403.1"
OG0005948	"Nana28778-RB, Nana28778-RA"	XP_015669226.1
OG0005949	"Nana16161-RA, Nana16161-RB"	XP_015668957.1
OG0005950	"Nana34620-RA, Nana34620-RB"	XP_029139174.1
OG0005951	Nana15106-RA	XP_029140095.1
OG0005951	Nana15105-RA	XP_015685628.1
