Orthogroup	N_naja.pep	H_sapiens.pep
OG0006580	Nana14523-RA	ENSG00000157184.7
OG0006581	Nana23042-RA, Nana23042-RB	ENSG00000161395.14
OG0006582	Nana17669-RA	ENSG00000163322.14
OG0006583	Nana11615-RA, Nana14530-RA	ENSG00000143006.7
OG0006584	Nana17668-RA	ENSG00000163319.11
OG0006585	Nana14531-RA, Nana14532-RA, Nana14533-RA	ENSG00000174332.5
OG0006586	Nana19439-RA	ENSG00000165752.17
OG0006587	Nana19438-RA, Nana19437-RA	ENSG00000148814.18
OG0006588	Nana19436-RA	ENSG00000171813.14
OG0006589	Nana17686-RB, Nana17686-RA	ENSG00000138639.18
OG0006590	Nana19576-RA	ENSG00000138161.14, ENSG00000286088.1
OG0006591	Nana23064-RA	ENSG00000188895.12
OG0006592	Nana19551-RA	ENSG00000154473.18
OG0006593	Nana14161-RA	ENSG00000158615.9
OG0006594	Nana14172-RA	ENSG00000182004.13
OG0006595	Nana17717-RA	ENSG00000118762.8
OG0006596	Nana19510-RA, Nana19511-RA	ENSG00000148848.14
OG0006597	Nana14182-RA	ENSG00000064886.14, ENSG00000133048.13
OG0006598	Nana19589-RA, Nana23106-RA	ENSG00000138162.19
OG0006599	Nana14183-RA	ENSG00000173947.14
OG0006600	Nana17760-RA, Nana17760-RB	ENSG00000163104.17
OG0006601	Nana14189-RA	ENSG00000164663.14
OG0006602	Nana19595-RB, Nana19595-RA	ENSG00000120008.16
OG0006603	Nana14201-RA	ENSG00000112561.18
OG0006604	Nana19602-RA	ENSG00000151929.9
OG0006605	Nana19603-RB, Nana19603-RC	ENSG00000151923.17
OG0006606	Nana26796-RA	ENSG00000111490.14
OG0006607	Nana14208-RA	ENSG00000095970.17
OG0006608	Nana23139-RB, Nana23139-RA	ENSG00000033627.16
OG0006609	Nana23141-RA, Nana23142-RA	ENSG00000177469.13
OG0006610	Nana26628-RA, Nana26628-RB	ENSG00000102780.16
OG0006611	Nana26804-RA, Nana26804-RB	ENSG00000183735.10
OG0006612	Nana04552-RA, Nana14222-RA	ENSG00000064995.18
OG0006613	Nana14226-RA	ENSG00000196821.10
OG0006614	Nana23148-RA	ENSG00000161610.1
OG0006615	Nana26615-RA	ENSG00000165416.14
OG0006616	Nana26610-RA	ENSG00000102837.7
OG0006617	Nana26816-RA	ENSG00000061987.16
OG0006618	Nana23154-RA, Nana23154-RB	ENSG00000068120.15
OG0006619	Nana23156-RA	ENSG00000274768.2, ENSG00000277972.2
OG0006620	Nana23160-RA	ENSG00000277303.2, ENSG00000273604.2
OG0006621	Nana23165-RA	ENSG00000273608.4, ENSG00000277363.5
OG0006622	Nana26553-RA	ENSG00000280165.1, ENSG00000197991.11
OG0006623	Nana23171-RA	ENSG00000274211.6, ENSG00000274229.2
OG0006624	Nana26848-RA	ENSG00000166896.9, ENSG00000262145.5
OG0006625	Nana14246-RA	ENSG00000030110.13
OG0006626	Nana14247-RA	ENSG00000124701.5
OG0006627	Nana26359-RA, Nana26359-RB	ENSG00000088451.11
OG0006628	Nana23180-RA	ENSG00000198933.9
OG0006629	Nana26340-RA	ENSG00000125257.16
OG0006630	Nana14258-RB, Nana14257-RA, Nana14258-RA	ENSG00000198663.16
OG0006631	Nana18705-RA	ENSG00000118564.15
OG0006632	Nana23194-RA	ENSG00000108465.15
OG0006633	Nana23197-RA	ENSG00000082641.16
OG0006634	Nana26326-RA, Nana26326-RB	ENSG00000102595.20
OG0006635	Nana14281-RB, Nana14281-RA	ENSG00000135587.9
OG0006636	Nana23210-RA	ENSG00000182742.6
OG0006637	Nana23213-RA	ENSG00000260027.5
OG0006638	Nana23215-RA	ENSG00000170689.10
OG0006639	Nana26317-RA	ENSG00000136155.17
OG0006640	Nana26898-RA	ENSG00000015153.14
OG0006641	Nana26445-RA	ENSG00000283208.2, ENSG00000102805.15
OG0006642	Nana26455-RJ, Nana26455-RH, Nana26455-RK	ENSG00000136153.20
OG0006643	Nana23233-RA	ENSG00000173868.11
OG0006644	Nana26459-RA	ENSG00000118939.17
OG0006645	Nana23245-RA, Nana23245-RB	ENSG00000121104.8
OG0006646	Nana14292-RA	ENSG00000116299.17
OG0006647	Nana29705-RA	ENSG00000184903.10
OG0006648	Nana18311-RA, Nana18311-RB	ENSG00000151552.12
OG0006649	Nana25007-RA	ENSG00000077279.18
OG0006650	Nana29691-RA, Nana29692-RA	ENSG00000154415.8
OG0006651	Nana03783-RA, Nana26281-RA	ENSG00000088386.17
OG0006652	Nana10596-RA, Nana29675-RA	ENSG00000135272.10
OG0006653	Nana29661-RA	ENSG00000135269.18
OG0006654	Nana23286-RA	ENSG00000108588.14
OG0006655	Nana29648-RA, Nana29649-RA	ENSG00000154438.8
OG0006656	Nana26288-RA	ENSG00000125246.15
OG0006657	Nana14010-RA, Nana14010-RB	ENSG00000155363.18
OG0006658	Nana26294-RA	ENSG00000134864.10
OG0006659	Nana26295-RA	ENSG00000125247.15
OG0006660	Nana00624-RA	ENSG00000077800.13
OG0006661	Nana26303-RA	ENSG00000102466.15
OG0006662	Nana13968-RA, Nana13968-RB	ENSG00000163349.22
OG0006663	Nana29557-RA	ENSG00000170638.9
OG0006664	Nana13962-RA, Nana13962-RB	ENSG00000197323.12
OG0006665	Nana23333-RB, Nana23333-RA	ENSG00000183207.14
OG0006666	Nana26207-RA	ENSG00000126216.15
OG0006667	Nana13954-RA, Nana13953-RA	ENSG00000198765.12
OG0006668	Nana13950-RA	ENSG00000134198.10
OG0006669	Nana13948-RA, Nana13949-RA	ENSG00000134259.4
OG0006670	Nana29593-RA, Nana29593-RB	ENSG00000106299.8
OG0006671	Nana29594-RA	ENSG00000170807.12
OG0006672	Nana04394-RA, Nana13943-RA, Nana13944-RA	ENSG00000179057.13
OG0006673	Nana29597-RA, Nana29597-RB	ENSG00000146809.13
OG0006674	Nana13942-RA	ENSG00000081277.12
OG0006675	Nana29599-RA	ENSG00000164675.11
OG0006676	Nana29602-RA	ENSG00000081800.9
OG0006677	Nana23311-RA, Nana23309-RA, Nana23310-RA	ENSG00000126467.11
OG0006679	Nana29613-RA, Nana29613-RB	ENSG00000008311.15
OG0006680	Nana39419-RA, Nana23297-RA	ENSG00000126464.14
OG0006681	Nana26189-RA	ENSG00000185989.11, ENSG00000280477.2
OG0006682	Nana29617-RB, Nana29617-RA	ENSG00000002745.13
OG0006683	Nana13906-RA, Nana13906-RB	ENSG00000162777.17
OG0006684	Nana18506-RA	ENSG00000035928.16
OG0006685	Nana13902-RA	ENSG00000163485.17
OG0006686	Nana18414-RA	ENSG00000109610.6
OG0006687	Nana18356-RB	ENSG00000152990.14
OG0006688	Nana18334-RB, Nana18334-RA	ENSG00000163138.19
OG0006689	Nana26073-RA	ENSG00000196872.12
OG0006690	Nana26071-RA	ENSG00000071073.13
OG0006691	Nana26068-RB, Nana26068-RA	ENSG00000040933.15
OG0006692	Nana13877-RA	ENSG00000125966.10
OG0006693	Nana13876-RB, Nana13876-RA	ENSG00000242372.8
OG0006694	Nana13873-RA	ENSG00000101019.22
OG0006695	Nana18307-RA	ENSG00000118579.13
OG0006697	Nana13860-RA	ENSG00000244005.13
OG0006698	Nana18449-RA, Nana18450-RA	ENSG00000109501.14
OG0006699	Nana26044-RA	ENSG00000170113.16, ENSG00000288478.1
OG0006700	Nana26040-RA	ENSG00000276856.3, ENSG00000275835.5
OG0006701	Nana13841-RA, Nana13841-RB	ENSG00000101347.9
OG0006702	Nana06064-RA, Nana06064-RB	ENSG00000131351.15
OG0006703	Nana29401-RA, Nana29400-RA	ENSG00000110799.13
OG0006704	Nana25952-RA	ENSG00000146950.13
OG0006705	Nana29425-RA	ENSG00000087494.16
OG0006706	Nana29427-RA, Nana39404-RA	ENSG00000087448.11
OG0006707	Nana29442-RA	ENSG00000111266.9, ENSG00000280962.3
OG0006708	Nana29444-RA	ENSG00000281818.3, ENSG00000111261.14
OG0006709	Nana29447-RA	ENSG00000281324.3, ENSG00000070018.9
OG0006710	Nana25911-RA	ENSG00000196664.5
OG0006711	Nana13829-RC, Nana13829-RB	ENSG00000088298.13
OG0006712	Nana13820-RA, Nana13821-RA	ENSG00000124191.18
OG0006713	Nana13807-RA	ENSG00000078699.21
OG0006714	Nana13805-RA	ENSG00000125967.16
OG0006715	Nana13800-RA	ENSG00000101417.12
OG0006716	Nana13793-RA	ENSG00000125977.7
OG0006717	Nana13790-RA, Nana13790-RB	ENSG00000078747.15
OG0006718	Nana29495-RB	ENSG00000100347.15
OG0006719	Nana13778-RA	ENSG00000259399.1, ENSG00000101084.18
OG0006720	Nana29496-RA	ENSG00000100344.11
OG0006721	Nana29497-RA	ENSG00000130540.14
OG0006722	Nana29507-RB, Nana29507-RA	ENSG00000100294.13
OG0006723	Nana29511-RA	ENSG00000242247.11
OG0006724	Nana13725-RA, Nana13725-RB	ENSG00000101442.10
OG0006725	Nana25860-RB, Nana25860-RA	ENSG00000180815.14
OG0006727	Nana29147-RA	ENSG00000153993.13
OG0006728	Nana29165-RA	ENSG00000164659.15
OG0006729	Nana25831-RA	ENSG00000165186.12
OG0006730	Nana29188-RA, Nana29188-RB	ENSG00000165626.17
OG0006731	Nana29186-RA	ENSG00000165630.14, ENSG00000282246.1
OG0006732	Nana13672-RA	ENSG00000196839.13
OG0006733	Nana13668-RA	ENSG00000101076.16
OG0006734	Nana13662-RA	ENSG00000132823.11
OG0006735	Nana25811-RA	ENSG00000102230.14
OG0006737	Nana04212-RA	ENSG00000185627.18
OG0006738	Nana13648-RB, Nana13648-RA	ENSG00000101040.19
OG0006739	Nana24397-RA	ENSG00000130962.17
OG0006740	Nana24402-RA	ENSG00000165169.11
OG0006741	Nana13640-RA	ENSG00000124126.14
OG0006742	Nana24410-RA	ENSG00000036473.8
OG0006743	Nana24411-RA	ENSG00000250349.3
OG0006744	Nana24449-RA	ENSG00000147044.21
OG0006745	Nana11826-RA, Nana13619-RA	ENSG00000172216.6
OG0006746	Nana29353-RA	ENSG00000128606.13
OG0006747	Nana29089-RA, Nana29091-RA	ENSG00000105821.15
OG0006748	Nana24483-RA	ENSG00000183690.13
OG0006749	Nana13479-RA, Nana13479-RB	ENSG00000101181.17
OG0006750	Nana29347-RA	ENSG00000170615.15
OG0006751	Nana24533-RA	ENSG00000276076.4, ENSG00000160202.7
OG0006752	Nana24538-RA	ENSG00000160199.15
OG0006753	Nana29333-RB, Nana29335-RA	ENSG00000164815.11
OG0006754	Nana29328-RE, Nana29328-RF	ENSG00000005483.21
OG0006755	Nana29323-RA	ENSG00000091127.14
OG0006756	Nana29320-RA	ENSG00000185055.11
OG0006757	Nana24554-RB, Nana24554-RA	ENSG00000157617.17
OG0006758	Nana29296-RA	ENSG00000172209.6, ENSG00000283812.2
OG0006759	Nana29293-RA	ENSG00000283852.2, ENSG00000075790.10
OG0006760	Nana13349-RA, Nana13349-RB	ENSG00000101161.8
OG0006761	Nana29283-RB, Nana29283-RA	ENSG00000087502.18
OG0006762	Nana29282-RA, Nana29282-RB	ENSG00000188906.16
OG0006763	Nana24604-RA	ENSG00000159261.12
OG0006764	Nana29519-RB, Nana29519-RA	ENSG00000075218.19
OG0006765	Nana18502-RA	ENSG00000121897.15
OG0006766	Nana18501-RA	ENSG00000109814.12
OG0006767	Nana18271-RA	ENSG00000164118.13
OG0006768	Nana18272-RA	ENSG00000164117.14
OG0006769	Nana18487-RA	ENSG00000179299.17
OG0006770	Nana18482-RA	ENSG00000154277.13
OG0006771	Nana00096-RA	ENSG00000109111.15
OG0006772	Nana24670-RA, Nana24670-RC	ENSG00000142207.7
OG0006773	Nana18465-RA, Nana18465-RB	ENSG00000124406.16
OG0006774	Nana18456-RB, Nana18456-RA	ENSG00000151806.14
OG0006775	Nana24691-RA	ENSG00000156239.12
OG0006776	Nana24698-RA	ENSG00000154727.10
OG0006777	Nana24700-RB, Nana24700-RA	ENSG00000154721.15
OG0006778	Nana24701-RA	ENSG00000154719.13
OG0006779	Nana18615-RA, Nana18615-RB	ENSG00000134851.13
OG0006780	Nana18625-RA, Nana18625-RB	ENSG00000157426.14
OG0006781	Nana18626-RA	ENSG00000128059.8
OG0006782	Nana24763-RA, Nana24761-RA	ENSG00000175161.13
OG0006783	Nana18629-RA	ENSG00000285360.2, ENSG00000154359.13
OG0006784	Nana18631-RA	ENSG00000284872.1, ENSG00000250305.9
OG0006785	Nana18632-RA	ENSG00000285265.3, ENSG00000164741.15
OG0006786	Nana24768-RA	ENSG00000174827.14
OG0006787	Nana24769-RA	ENSG00000117262.19, ENSG00000188092.15
OG0006788	Nana24772-RA	ENSG00000162836.12
OG0006789	Nana18143-RA	ENSG00000155975.10
OG0006790	Nana24773-RE, Nana24773-RC	ENSG00000116128.11
OG0006791	Nana31153-RA	ENSG00000166558.10
OG0006792	Nana24777-RA, Nana24777-RB	ENSG00000144843.11
OG0006793	Nana31156-RA, Nana31156-RB	ENSG00000140943.17
OG0006794	Nana24785-RA, Nana24786-RA	ENSG00000134247.10
OG0006795	Nana24793-RA, Nana24791-RA	ENSG00000143195.13
OG0006796	Nana24794-RA	ENSG00000143194.13
OG0006797	Nana31166-RA	ENSG00000125149.12
OG0006798	Nana24799-RA	ENSG00000143162.9
OG0006799	Nana24800-RA, Nana24801-RA	ENSG00000198771.11
OG0006800	Nana24807-RA	ENSG00000170854.18
OG0006801	Nana18157-RA, Nana18157-RB	ENSG00000104763.19
OG0006802	Nana24834-RA	ENSG00000184500.16
OG0006803	Nana24848-RA	ENSG00000114529.12, ENSG00000285394.1
OG0006804	Nana18188-RA, Nana18188-RB	ENSG00000205129.8
OG0006805	Nana24861-RA	ENSG00000198574.6
OG0006806	Nana18189-RA	ENSG00000109775.11
OG0006807	Nana18209-RB, Nana18209-RA	ENSG00000168538.16
OG0006808	Nana18212-RA	ENSG00000168556.7
OG0006809	Nana18250-RA, Nana18250-RB	ENSG00000038002.9
OG0006810	Nana17985-RA	ENSG00000151612.18
OG0006811	Nana17989-RB, Nana17989-RA	ENSG00000151611.16
OG0006812	Nana24886-RA	ENSG00000182504.11
OG0006813	Nana24890-RA	ENSG00000066422.5
OG0006814	Nana24896-RA, Nana24897-RA	ENSG00000081148.12
OG0006815	Nana24901-RA	ENSG00000154175.17
OG0006816	Nana24902-RA	ENSG00000114354.14
OG0006817	Nana24906-RA	ENSG00000036054.13
OG0006818	Nana24907-RA	ENSG00000168386.18
OG0006819	Nana18003-RA, Nana18003-RB	ENSG00000109458.8
OG0006820	Nana24908-RA	ENSG00000184220.12
OG0006821	Nana18010-RA	ENSG00000109445.11
OG0006822	Nana18017-RA	ENSG00000153132.13
OG0006823	Nana24926-RA	ENSG00000117479.15
OG0006824	Nana18052-RA	ENSG00000138650.9
OG0006825	Nana24929-RB, Nana24929-RA	ENSG00000138459.9
OG0006826	Nana25191-RA	ENSG00000178105.11
OG0006827	Nana24932-RB, Nana24932-RA	ENSG00000163607.17
OG0006828	Nana18772-RA	ENSG00000198498.10
OG0006829	Nana24947-RA	ENSG00000163617.11
OG0006830	Nana18755-RB, Nana18755-RA	ENSG00000171503.12
OG0006831	Nana18753-RA	ENSG00000164124.11
OG0006832	Nana39058-RA	ENSG00000262635.5, ENSG00000151790.9
OG0006833	Nana18666-RA	ENSG00000262505.2, ENSG00000256394.3
OG0006834	Nana18668-RA, Nana18668-RB	ENSG00000061918.13
OG0006835	Nana17927-RA	ENSG00000121211.8
OG0006836	Nana25031-RA	ENSG00000120694.20
OG0006837	Nana02335-RA	ENSG00000154079.6
OG0006838	Nana17966-RA	ENSG00000151617.17
OG0006839	Nana25179-RA	ENSG00000137714.3
OG0006840	Nana17982-RA, Nana17980-RA	ENSG00000120519.14
OG0006841	Nana18066-RA, Nana18066-RB	ENSG00000077684.16
OG0006842	Nana25173-RA, Nana25173-RB	ENSG00000151849.15
OG0006844	Nana25161-RA, Nana25161-RB	ENSG00000032742.17
OG0006845	Nana36801-RA	ENSG00000160446.19
OG0006846	Nana25159-RB, Nana25159-RA	ENSG00000150456.11
OG0006847	Nana25158-RA, Nana25158-RB	ENSG00000132953.16
OG0006848	Nana18092-RA	ENSG00000170917.14
OG0006849	Nana25155-RA	ENSG00000150457.9
OG0006850	Nana25151-RA	ENSG00000173141.5
OG0006851	Nana25136-RA	ENSG00000273167.1, ENSG00000182957.16
OG0006852	Nana18110-RA, Nana18110-RB	ENSG00000164111.15
OG0006853	Nana25234-RA, Nana25235-RA	ENSG00000170962.13
OG0006854	Nana18122-RA	ENSG00000164109.14
OG0006855	Nana18128-RA	ENSG00000172399.5
OG0006856	Nana25245-RA	ENSG00000137674.4
OG0006857	Nana17924-RA	ENSG00000174607.11
OG0006858	Nana25247-RB, Nana25247-RA	ENSG00000152558.15
OG0006859	Nana25257-RA	ENSG00000137691.13
OG0006860	Nana25259-RA, Nana25259-RB	ENSG00000110318.15
OG0006861	Nana25264-RA, Nana25263-RA	ENSG00000082175.15
OG0006862	Nana17908-RA	ENSG00000138658.15
OG0006863	Nana17904-RA	ENSG00000145365.11
OG0006864	Nana25281-RA	ENSG00000149231.14
OG0006865	Nana25284-RA, Nana25287-RA	ENSG00000184384.14
OG0006866	Nana25289-RA	ENSG00000166037.11
OG0006867	Nana25290-RA, Nana25290-RB	ENSG00000077458.13
OG0006868	Nana25293-RA	ENSG00000149218.5
OG0006869	Nana25294-RA	ENSG00000150316.12
OG0006870	Nana17873-RA	ENSG00000109534.17
OG0006871	Nana25305-RA	ENSG00000214376.6
OG0006872	Nana25307-RA	ENSG00000182919.14
OG0006873	Nana17860-RA, Nana17860-RB	ENSG00000164089.9
OG0006874	Nana25308-RA	ENSG00000166012.17
OG0006875	Nana17612-RB, Nana17612-RA	ENSG00000169288.18
OG0006876	Nana25385-RE, Nana25385-RD, Nana25385-RA	ENSG00000137501.17
OG0006877	Nana25388-RB, Nana25388-RA	ENSG00000171202.7
OG0006878	Nana25407-RA	ENSG00000137500.9
OG0006879	Nana25408-RB, Nana25408-RA	ENSG00000137494.14
OG0006880	Nana25410-RB, Nana25410-RA	ENSG00000165494.11
OG0006881	Nana25416-RA	ENSG00000182103.5
OG0006882	Nana12585-RB	ENSG00000101670.12
OG0006883	Nana12589-RA	ENSG00000141627.13
OG0006884	Nana12594-RA	ENSG00000101665.9
OG0006885	Nana12602-RA	ENSG00000184828.10
OG0006886	Nana12330-RA	ENSG00000155545.19
OG0006887	Nana12339-RA	ENSG00000134352.20
OG0006888	Nana12342-RB, Nana12342-RA	ENSG00000177058.12
OG0006889	Nana12348-RA	ENSG00000164294.14
OG0006890	Nana12366-RA	ENSG00000213949.10
OG0006891	Nana12381-RA	ENSG00000112996.11
OG0006892	Nana12391-RA	ENSG00000112972.15
OG0006893	Nana12393-RA	ENSG00000172262.11
OG0006894	Nana12405-RA	ENSG00000112936.19
OG0006895	Nana12412-RB, Nana12412-RA	ENSG00000153071.15
OG0006896	Nana39753-RA, Nana12414-RA, Nana12413-RA	ENSG00000113600.11
OG0006897	Nana12308-RA	ENSG00000188725.8
OG0006898	Nana12309-RA	ENSG00000164182.11
OG0006899	Nana12272-RA	ENSG00000113595.15
OG0006900	Nana12269-RA, Nana12269-RB	ENSG00000197860.10
OG0006901	Nana12256-RA	ENSG00000145740.19
OG0006902	Nana12248-RA, Nana12247-RA	ENSG00000164309.15
OG0006903	Nana12246-RA, Nana12246-RB	ENSG00000164329.13
OG0006904	Nana12241-RA	ENSG00000145692.15
OG0006905	Nana12240-RA, Nana12240-RB	ENSG00000132837.15
OG0006906	Nana12223-RA	ENSG00000285000.1, ENSG00000164252.13
OG0006907	Nana12183-RA	ENSG00000145741.15
OG0006908	Nana12169-RA	ENSG00000164325.8
OG0006909	Nana12152-RA	ENSG00000164326.5
OG0006910	Nana12141-RA	ENSG00000277868.4, ENSG00000183323.13
OG0006911	Nana12134-RA	ENSG00000113318.11
OG0006912	Nana12115-RA, Nana12114-RA	ENSG00000152422.15
OG0006913	Nana12112-RA, Nana12113-RA	ENSG00000038427.16
OG0006914	Nana12089-RA, Nana12089-RB	ENSG00000081189.15
OG0006915	Nana12065-RA, Nana12066-RA	ENSG00000185261.14
OG0006916	Nana12060-RA	ENSG00000153347.10
OG0006917	Nana12059-RA, Nana12059-RB	ENSG00000198677.11
OG0006918	Nana12052-RA	ENSG00000173221.14
OG0006919	Nana10774-RB, Nana10774-RA	ENSG00000105397.14
OG0006920	Nana10797-RA	ENSG00000288360.1, ENSG00000132003.9
OG0006921	Nana11869-RA	ENSG00000113368.12
OG0006922	Nana11864-RA	ENSG00000164241.13
OG0006923	Nana11855-RA	ENSG00000066583.12
OG0006924	Nana11832-RA	ENSG00000165030.4
OG0006925	Nana11531-RB, Nana11531-RA	ENSG00000107186.16
OG0006926	Nana11502-RA	ENSG00000173068.18
OG0006927	Nana11817-RA	ENSG00000187742.15
OG0006928	Nana11790-RA	ENSG00000158122.12
OG0006929	Nana11740-RB, Nana11740-RA	ENSG00000196730.13
OG0006930	Nana11730-RA	ENSG00000083223.18
OG0006931	Nana11712-RA	ENSG00000165118.15
OG0006932	Nana11704-RA	ENSG00000172159.16
OG0006933	Nana11700-RB, Nana11700-RA	ENSG00000165105.10
OG0006934	Nana11679-RC, Nana11679-RB	ENSG00000197969.14
OG0006935	Nana11665-RB, Nana11665-RA	ENSG00000099139.14
OG0006936	Nana11659-RB, Nana11659-RA	ENSG00000156017.13
OG0006937	Nana11641-RA	ENSG00000155621.15
OG0006938	Nana11637-RA, Nana11636-RA	ENSG00000083067.22
OG0006939	Nana11629-RB, Nana11629-RA	ENSG00000107282.8
OG0006940	Nana11628-RA, Nana11628-RB	ENSG00000135063.19
OG0006941	Nana11627-RA	ENSG00000285130.2, ENSG00000119139.20
OG0006942	Nana11624-RA	ENSG00000165060.14
OG0006943	Nana11616-RA	ENSG00000107104.19
OG0006944	Nana11587-RA	ENSG00000107249.23
OG0006945	Nana11580-RC, Nana11580-RB, Nana11580-RA	ENSG00000120158.12
OG0006946	Nana11573-RA, Nana11574-RA	ENSG00000099219.14
OG0006947	Nana11570-RA, Nana11571-RA	ENSG00000183354.12
OG0006948	Nana11565-RA	ENSG00000178445.9
OG0006949	Nana05256-RA	ENSG00000100902.11
OG0006950	Nana05229-RA, Nana05232-RA	ENSG00000151320.11
OG0006951	Nana05220-RA, Nana05219-RA	ENSG00000129493.15
OG0006952	Nana05217-RA	ENSG00000100478.15
OG0006953	Nana05210-RA	ENSG00000092108.21
OG0006954	Nana11447-RA, Nana11448-RA	ENSG00000120156.21
OG0006955	Nana11453-RA	ENSG00000120159.13
OG0006956	Nana11476-RA, Nana11476-RB	ENSG00000188921.14
OG0006957	Nana11480-RA, Nana11482-RA	ENSG00000171843.16
OG0006958	Nana10216-RA, Nana10216-RB	ENSG00000134291.12
OG0006959	Nana10209-RA, Nana10209-RB	ENSG00000135452.10
OG0006960	Nana10197-RB, Nana10197-RA	ENSG00000123297.19
OG0006961	Nana05775-RA	ENSG00000100714.17
OG0006962	Nana10188-RA, Nana10188-RB	ENSG00000110925.7
OG0006963	Nana05778-RA, Nana05777-RA	ENSG00000140009.18
OG0006964	Nana10185-RB, Nana10185-RA	ENSG00000184271.17
OG0006965	Nana10184-RA	ENSG00000183283.16
OG0006966	Nana10183-RA	ENSG00000170545.17
OG0006967	Nana01070-RA, Nana05795-RA	ENSG00000139973.16
OG0006968	Nana05756-RB, Nana05756-RA	ENSG00000170779.11
OG0006969	Nana05753-RA	ENSG00000140104.14
OG0006970	Nana05743-RA	ENSG00000276342.4, ENSG00000258986.7
OG0006971	Nana05733-RA	ENSG00000166183.16
OG0006972	Nana10499-RD, Nana10499-RA, Nana10499-RB, Nana10499-RG	ENSG00000182872.16
OG0006973	Nana10494-RA, Nana10494-RB	ENSG00000136718.10
OG0006974	Nana05570-RA	ENSG00000119698.12, ENSG00000278326.4
OG0006975	Nana10487-RA, Nana10486-RA	ENSG00000141644.17
OG0006976	Nana05580-RA	ENSG00000165959.12
OG0006977	Nana05584-RB, Nana05584-RA	ENSG00000066739.12
OG0006978	Nana10318-RB, Nana10318-RC	ENSG00000135476.12
OG0006979	Nana05590-RA	ENSG00000100749.8
OG0006980	Nana05562-RA	ENSG00000278787.4, ENSG00000012963.15
OG0006982	Nana05556-RA	ENSG00000100600.15
OG0006983	Nana05555-RC	ENSG00000100599.16
OG0006985	Nana05546-RA	ENSG00000100815.12
OG0006986	Nana10275-RA	ENSG00000123415.15
OG0006987	Nana10263-RA	ENSG00000037965.6
OG0006988	Nana05525-RA	ENSG00000119714.11
OG0006989	Nana05508-RA, Nana05508-RB	ENSG00000119720.18
OG0006990	Nana05504-RA, Nana05504-RB	ENSG00000042088.14
OG0006991	Nana05441-RA	ENSG00000165417.12
OG0006992	Nana10812-RA	ENSG00000125656.11
OG0006993	Nana10807-RA, Nana10807-RB	ENSG00000104998.4, ENSG00000288185.1
OG0006994	Nana10804-RA	ENSG00000288453.1, ENSG00000132017.10
OG0006995	Nana05409-RA	ENSG00000100591.8
OG0006996	Nana05403-RA	ENSG00000100577.19
OG0006997	Nana05399-RB, Nana05399-RA	ENSG00000165548.11
OG0006998	Nana05359-RA, Nana05360-RA	ENSG00000119685.20
OG0006999	Nana05356-RA	ENSG00000156127.8
OG0007000	Nana10853-RA	ENSG00000179218.13
OG0007001	Nana05333-RA	ENSG00000119689.15
OG0007002	Nana05323-RA, Nana05323-RB, Nana05323-RC	ENSG00000119681.12
OG0007003	Nana05312-RA, Nana05313-RA, Nana05314-RA	ENSG00000183379.9
OG0007004	Nana10875-RA	ENSG00000130159.14
OG0007005	Nana10884-RA	ENSG00000130175.9
OG0007006	Nana05301-RA, Nana05301-RB	ENSG00000119636.16
OG0007007	Nana10895-RA	ENSG00000105518.14
OG0007008	Nana05294-RA, Nana05294-RB	ENSG00000165355.7
OG0007009	Nana05292-RA, Nana05292-RB	ENSG00000100941.9
OG0007010	Nana05291-RA, Nana05291-RB	ENSG00000182400.15
OG0007011	Nana05289-RA	ENSG00000120685.20
OG0007012	Nana05264-RA	ENSG00000151332.19
OG0007013	Nana05121-RA	ENSG00000282046.3, ENSG00000166923.12, ENSG00000276886.4
OG0007014	Nana05119-RA, Nana05118-RA	ENSG00000248905.10
OG0007015	Nana10939-RA	ENSG00000129351.17
OG0007016	Nana10947-RA	ENSG00000166532.16
OG0007017	Nana12609-RA, Nana12611-RA	ENSG00000167220.12
OG0007018	Nana12612-RA	ENSG00000167216.17
OG0007019	Nana12613-RA	ENSG00000078043.16
OG0007020	Nana12621-RA	ENSG00000167210.17
OG0007021	Nana12636-RA	ENSG00000152240.13
OG0007022	Nana12644-RA	ENSG00000141469.18
OG0007023	Nana12650-RA, Nana12654-RA	ENSG00000152217.19
OG0007024	Nana12682-RA	ENSG00000078142.13
OG0007025	Nana32033-RA	ENSG00000181704.12
OG0007026	Nana04973-RA	ENSG00000197555.9
OG0007027	Nana04987-RA	ENSG00000119707.14
OG0007028	Nana04988-RB, Nana04988-RA	ENSG00000080815.19
OG0007029	Nana04995-RA	ENSG00000119661.15
OG0007030	Nana10653-RB, Nana10654-RA	ENSG00000184343.11
OG0007031	Nana05002-RA	ENSG00000128881.17
OG0007032	Nana10665-RA, Nana10666-RA	ENSG00000185825.17
OG0007033	Nana05011-RB, Nana05011-RA	ENSG00000092529.25
OG0007034	Nana05013-RB, Nana05013-RA	ENSG00000103978.16
OG0007035	Nana10684-RB, Nana10684-RA, Nana10684-RC, Nana10684-RD	ENSG00000213397.10
OG0007036	Nana39830-RA, Nana05015-RA	ENSG00000168907.13
OG0007037	Nana10699-RA	ENSG00000126895.15
OG0007038	Nana10701-RA	ENSG00000182533.7
OG0007039	Nana10702-RA	ENSG00000284987.1, ENSG00000089820.15
OG0007040	Nana05037-RA, Nana05036-RA	ENSG00000174197.16
OG0007041	Nana05038-RA	ENSG00000092445.12
