Orthogroup	N_naja.pep	A_carolinensis.pep
OG0005274	Nana34193-RA	ENSACAG00000009803.3
OG0005275	Nana11358-RA	ENSACAG00000003607.3
OG0005276	Nana28958-RA, Nana28958-RB	ENSACAG00000011631.2
OG0005277	Nana03345-RA	ENSACAG00000017244.1
OG0005278	Nana23561-RB, Nana23561-RA	ENSACAG00000004956.3
OG0005279	Nana37487-RA	ENSACAG00000014149.3
OG0005280	Nana03348-RB, Nana03348-RA	ENSACAG00000017145.3
OG0005281	Nana06421-RA, Nana06421-RB	ENSACAG00000010661.2
OG0005282	Nana25452-RA	ENSACAG00000012469.3
OG0005283	Nana15003-RA	ENSACAG00000009544.3
OG0005284	Nana29047-RA, Nana29044-RA	ENSACAG00000017119.2
OG0005285	Nana25719-RA, Nana25721-RA	ENSACAG00000022958.2
OG0005286	Nana19415-RB, Nana19415-RA	ENSACAG00000006126.3
OG0005287	Nana29049-RC	ENSACAG00000017134.2
OG0005288	Nana19409-RA	ENSACAG00000006178.2
OG0005289	Nana06263-RB, Nana06263-RA	ENSACAG00000023758.1
OG0005290	Nana10466-RA	ENSACAG00000022647.1, ENSACAG00000005002.2
OG0005291	Nana32988-RD	ENSACAG00000025087.2, ENSACAG00000000460.2
OG0005292	Nana32746-RA, Nana32746-RB	ENSACAG00000006934.3
OG0005293	Nana19398-RA	ENSACAG00000006462.3
OG0005294	Nana33714-RA	ENSACAG00000017444.1
OG0005295	Nana28925-RA	ENSACAG00000008768.3
OG0005296	Nana09823-RA	ENSACAG00000001519.2
OG0005297	Nana28924-RA	ENSACAG00000008658.3
OG0005298	Nana33214-RB	ENSACAG00000003845.3
OG0005299	Nana32982-RA	ENSACAG00000015146.2
OG0005300	Nana09813-RA	ENSACAG00000001881.2
OG0005301	Nana15949-RA	ENSACAG00000022879.1
OG0005302	Nana09805-RA	ENSACAG00000013150.3
OG0005303	Nana12771-RA	ENSACAG00000012749.3, ENSACAG00000000983.2
OG0005304	Nana31727-RA	ENSACAG00000009796.3
OG0005305	Nana36955-RA	ENSACAG00000014937.3
OG0005306	Nana12486-RA	ENSACAG00000007721.3, ENSACAG00000005291.3
OG0005307	Nana24052-RB	ENSACAG00000017589.3
OG0005308	Nana12954-RA	ENSACAG00000017039.3
OG0005309	Nana05904-RA	ENSACAG00000017900.3
OG0005310	Nana18778-RA	ENSACAG00000005160.2, ENSACAG00000000684.3
OG0005311	Nana33201-RA	ENSACAG00000015878.3
OG0005312	Nana20868-RA	ENSACAG00000002685.3
OG0005313	Nana06084-RB, Nana06084-RA	ENSACAG00000010722.3
OG0005314	Nana08029-RA	ENSACAG00000001088.3
OG0005315	Nana21956-RB	ENSACAG00000011339.3
OG0005316	Nana08026-RA, Nana08026-RB	ENSACAG00000001152.3
OG0005317	Nana00319-RA	ENSACAG00000014400.3
OG0005318	Nana08024-RA	ENSACAG00000001205.3
OG0005319	Nana18663-RA, Nana18663-RB	ENSACAG00000000260.3
OG0005320	Nana33193-RA	ENSACAG00000015992.3
OG0005321	Nana13247-RC, Nana13247-RA	ENSACAG00000008601.2
OG0005322	Nana12939-RA	ENSACAG00000008592.3
OG0005323	Nana13012-RA, Nana13012-RB	ENSACAG00000001750.3
OG0005325	Nana20863-RA	ENSACAG00000002190.3
OG0005326	Nana33188-RA, Nana33188-RB	ENSACAG00000005920.3
OG0005327	Nana24916-RA	ENSACAG00000010751.3
OG0005328	Nana36845-RD, Nana36845-RC	ENSACAG00000009302.3
OG0005329	Nana00294-RA	ENSACAG00000002435.3
OG0005330	Nana00284-RA, Nana00283-RA	ENSACAG00000002573.3
OG0005331	Nana34231-RA	ENSACAG00000012633.3
OG0005332	Nana23955-RA, Nana23955-RB, Nana23955-RC	ENSACAG00000009105.3
OG0005333	Nana30312-RA	ENSACAG00000016801.3
OG0005334	Nana26097-RA, Nana26097-RB	ENSACAG00000007711.3
OG0005335	Nana34225-RA	ENSACAG00000012363.3
OG0005336	Nana23952-RA, Nana23952-RB, Nana23952-RC	ENSACAG00000009050.3
OG0005337	Nana29831-RA, Nana29729-RA	ENSACAG00000003378.3
OG0005338	Nana26094-RA	ENSACAG00000007732.3
OG0005339	Nana34217-RA	ENSACAG00000014024.3
OG0005340	Nana36558-RA, Nana36558-RB	ENSACAG00000010428.2
OG0005341	Nana00329-RA	ENSACAG00000005979.3
OG0005342	Nana30307-RA, Nana30307-RB	ENSACAG00000016937.3
OG0005344	Nana33799-RA	ENSACAG00000001805.2
OG0005345	Nana35914-RB, Nana35914-RA, Nana35914-RD	ENSACAG00000008835.3
OG0005346	Nana12843-RA	ENSACAG00000029190.1
OG0005347	Nana24113-RA	ENSACAG00000003078.2
OG0005348	Nana24231-RA, Nana24231-RB	ENSACAG00000001734.3
OG0005349	Nana33614-RA	ENSACAG00000000512.3
OG0005350	Nana32289-RB	ENSACAG00000007962.2
OG0005351	Nana32851-RA	ENSACAG00000000275.3
OG0005352	Nana31007-RB, Nana31007-RC	ENSACAG00000001978.3
OG0005353	Nana23941-RA, Nana23940-RA	ENSACAG00000008636.3
OG0005354	Nana32289-RA	ENSACAG00000007963.3
OG0005355	Nana28024-RA, Nana28024-RB	ENSACAG00000008168.1
OG0005356	Nana29925-RB, Nana29925-RA	ENSACAG00000014470.2
OG0005357	Nana00999-RA, Nana01000-RA	ENSACAG00000004034.3
OG0005359	Nana28054-RA, Nana28054-RB	ENSACAG00000001998.2
OG0005360	Nana36862-RA	ENSACAG00000016896.3
OG0005361	Nana28528-RA	ENSACAG00000000234.3
OG0005362	Nana31004-RA, Nana31004-RB	ENSACAG00000001650.3
OG0005363	Nana26688-RD, Nana26688-RC	ENSACAG00000010195.3
OG0005365	Nana34246-RA	ENSACAG00000013073.3
OG0005366	Nana34249-RA	ENSACAG00000013139.3
OG0005367	Nana28513-RA, Nana28513-RB	ENSACAG00000028857.1
OG0005368	Nana32275-RE	ENSACAG00000008537.3
OG0005369	Nana24271-RA	ENSACAG00000004170.3
OG0005370	Nana28046-RA	ENSACAG00000001804.3
OG0005372	Nana32273-RC	ENSACAG00000008819.3
OG0005374	Nana31319-RA	ENSACAG00000002850.3, ENSACAG00000000421.3
OG0005375	Nana20225-RA	ENSACAG00000013985.3
OG0005376	Nana19850-RA	ENSACAG00000011099.3, ENSACAG00000011135.3
OG0005377	Nana06304-RB, Nana06304-RA	ENSACAG00000005366.3
OG0005378	Nana28088-RA, Nana28088-RB	ENSACAG00000014460.2
OG0005380	Nana29885-RC, Nana29885-RD	ENSACAG00000011591.3
OG0005381	Nana32271-RA, Nana32272-RA	ENSACAG00000008867.3
OG0005382	Nana20221-RA, Nana20221-RB	ENSACAG00000013996.3
OG0005383	Nana19862-RA	ENSACAG00000011182.3
OG0005384	Nana25590-RB, Nana25590-RA	ENSACAG00000003506.3
OG0005385	Nana34261-RA	ENSACAG00000012378.2
OG0005386	Nana20748-RD, Nana20748-RC	ENSACAG00000002120.3
OG0005388	Nana32270-RB, Nana32270-RA	ENSACAG00000009024.3
OG0005389	Nana01891-RA, Nana01891-RB	ENSACAG00000004848.3
OG0005390	Nana20750-RA	ENSACAG00000001727.3
OG0005392	Nana25592-RC, Nana25592-RB	ENSACAG00000003089.3
OG0005393	Nana19894-RA, Nana19894-RB	ENSACAG00000029359.1
OG0005394	Nana01816-RA	ENSACAG00000006919.3, ENSACAG00000008322.2
OG0005395	Nana15112-RA	ENSACAG00000022298.2, ENSACAG00000015282.3
OG0005397	Nana01906-RA	ENSACAG00000016816.3
OG0005398	Nana01908-RA	ENSACAG00000016819.3
OG0005400	Nana01814-RA	ENSACAG00000006840.2
OG0005401	Nana01919-RB, Nana01919-RA	ENSACAG00000028065.2
OG0005402	Nana34638-RA, Nana34638-RB	ENSACAG00000012900.3
OG0005403	Nana01813-RA	ENSACAG00000006777.3
OG0005404	Nana16111-RA	ENSACAG00000003426.2
OG0005405	Nana20765-RB, Nana20765-RA	ENSACAG00000008976.3
OG0005406	Nana01930-RA	ENSACAG00000016994.3
OG0005407	Nana01796-RA	ENSACAG00000006603.3
OG0005408	Nana34092-RA	ENSACAG00000003716.3
OG0005409	Nana01935-RA	ENSACAG00000017035.3
OG0005410	Nana01934-RA	ENSACAG00000017033.2
OG0005411	Nana03393-RA	ENSACAG00000017061.3
OG0005412	Nana36859-RA	ENSACAG00000016905.2
OG0005413	Nana27840-RB, Nana27840-RC, Nana27840-RA	ENSACAG00000000932.3
OG0005414	Nana19917-RA, Nana19917-RB	ENSACAG00000012404.3
OG0005415	Nana04662-RB, Nana04662-RA	ENSACAG00000015802.3
OG0005416	Nana36392-RA	ENSACAG00000003176.3
OG0005417	Nana37568-RA	ENSACAG00000017386.2
OG0005418	Nana03396-RA	ENSACAG00000006323.3
OG0005419	Nana16107-RA	ENSACAG00000003599.3
OG0005420	Nana01990-RA	ENSACAG00000010499.3
OG0005421	Nana36331-RE	ENSACAG00000003131.3
OG0005422	Nana29945-RA	ENSACAG00000013450.1
OG0005423	Nana03404-RA	ENSACAG00000006250.3
OG0005424	Nana01768-RA	ENSACAG00000005645.3
OG0005425	Nana01950-RA	ENSACAG00000010226.3
OG0005426	Nana01981-RA	ENSACAG00000014109.3
OG0005427	Nana00832-RA	ENSACAG00000002947.3
OG0005428	Nana00834-RA, Nana00833-RA	ENSACAG00000003030.3
OG0005430	Nana06126-RA	ENSACAG00000013136.2
OG0005431	Nana18295-RA	ENSACAG00000015958.2
OG0005432	Nana16101-RA, Nana16099-RA	ENSACAG00000003782.3
OG0005433	Nana17417-RA, Nana17418-RA, Nana17437-RA, Nana17434-RA, Nana17439-RA	ENSACAG00000026614.2, ENSACAG00000026085.1
OG0005434	Nana18288-RA	ENSACAG00000015642.3
OG0005435	Nana18287-RA	ENSACAG00000015641.3
OG0005436	Nana18285-RA	ENSACAG00000015588.3
OG0005437	Nana01455-RA, Nana01455-RB	ENSACAG00000001601.2
OG0005438	Nana32582-RA	ENSACAG00000009400.2
OG0005439	Nana25731-RA	ENSACAG00000017102.3
OG0005440	Nana06026-RB	ENSACAG00000000187.3
OG0005441	Nana37357-RA	ENSACAG00000001969.3
OG0005442	Nana20802-RA, Nana20802-RB	ENSACAG00000010513.3
OG0005443	Nana03508-RB, Nana03508-RA	ENSACAG00000014120.3
OG0005444	Nana19934-RB, Nana19934-RA	ENSACAG00000001981.3
OG0005445	Nana03510-RA	ENSACAG00000014197.2
OG0005446	Nana03856-RA	ENSACAG00000011253.1, ENSACAG00000001349.3
OG0005447	Nana16834-RA, Nana16833-RA	ENSACAG00000009044.3
OG0005448	Nana30206-RC	ENSACAG00000003888.3
OG0005449	Nana37557-RA	ENSACAG00000016448.3
OG0005450	Nana33227-RA	ENSACAG00000004733.3
OG0005451	Nana12764-RA	ENSACAG00000012477.3
OG0005452	Nana20820-RA	ENSACAG00000011238.3
OG0005453	Nana19928-RA	ENSACAG00000002351.3
OG0005454	Nana06894-RA, Nana06894-RB	ENSACAG00000002597.3
OG0005455	Nana30043-RB, Nana30043-RC	ENSACAG00000017845.2
OG0005456	Nana30142-RA, Nana30141-RA	ENSACAG00000017840.3
OG0005457	Nana20853-RA	ENSACAG00000012044.2
OG0005458	Nana20856-RA	ENSACAG00000001114.3
OG0005459	Nana30150-RA	ENSACAG00000017829.2
OG0005460	Nana33669-RA	ENSACAG00000004206.3, ENSACAG00000006059.2
OG0005461	Nana13564-RA	ENSACAG00000016197.3
OG0005462	Nana33653-RA	ENSACAG00000004763.3
OG0005463	Nana13569-RA	ENSACAG00000016089.3
OG0005464	Nana13572-RA	ENSACAG00000016027.3
OG0005465	Nana33650-RA	ENSACAG00000004882.2
OG0005466	Nana13573-RB, Nana13573-RC	ENSACAG00000016020.2
OG0005467	Nana13576-RA	ENSACAG00000015965.2
OG0005468	Nana00068-RB	ENSACAG00000014490.3
OG0005469	Nana00056-RA	ENSACAG00000014776.2
OG0005470	Nana00055-RA	ENSACAG00000014784.3
OG0005471	Nana00150-RA	ENSACAG00000014876.3
OG0005472	Nana10351-RA, Nana10351-RB	ENSACAG00000006736.3
OG0005473	Nana00154-RA	ENSACAG00000014899.3
OG0005474	Nana10352-RB, Nana10352-RA	ENSACAG00000006698.3
OG0005475	Nana10354-RA, Nana10354-RB	ENSACAG00000006584.3
OG0005476	Nana10355-RA	ENSACAG00000006541.3
OG0005477	Nana10359-RB, Nana10359-RA	ENSACAG00000006388.3
OG0005478	Nana36828-RC, Nana36828-RB	ENSACAG00000008313.3
OG0005479	Nana32803-RA, Nana32803-RB	ENSACAG00000011788.3
OG0005480	Nana29033-RA	ENSACAG00000015612.2
OG0005481	Nana30790-RA	ENSACAG00000003696.3
OG0005482	Nana32696-RG, Nana32696-RD, Nana32696-RC, Nana32696-RB, Nana32696-RA, Nana32696-RE	ENSACAG00000006068.3
OG0005483	Nana32687-RA, Nana32687-RB	ENSACAG00000006389.3
OG0005484	Nana22204-RA, Nana22205-RA	ENSACAG00000014604.3
OG0005485	Nana22195-RA	ENSACAG00000006364.3
OG0005486	Nana10382-RC	ENSACAG00000009385.3
OG0005487	Nana22182-RA, Nana22183-RA	ENSACAG00000014112.2
OG0005488	Nana32220-RA	ENSACAG00000015812.3
OG0005489	Nana22263-RB, Nana22263-RA	ENSACAG00000013765.3
OG0005490	Nana32223-RB, Nana32223-RA	ENSACAG00000015766.2
OG0005491	Nana32226-RA	ENSACAG00000015753.3
OG0005492	Nana00587-RA	ENSACAG00000000579.3
OG0005493	Nana00590-RA	ENSACAG00000000662.2
OG0005494	Nana36272-RA	ENSACAG00000011745.3
OG0005495	Nana17214-RA	ENSACAG00000000541.3
OG0005496	Nana20893-RA	ENSACAG00000006962.3
OG0005497	Nana00358-RA, Nana00357-RA	ENSACAG00000008960.2
OG0005498	Nana02599-RA, Nana36278-RA	ENSACAG00000011542.2
OG0005499	Nana00365-RB, Nana00365-RA	ENSACAG00000009019.3
OG0005500	Nana18420-RA	ENSACAG00000013486.3
OG0005501	Nana20334-RA	ENSACAG00000006915.3
OG0005502	Nana00369-RA, Nana00369-RB	ENSACAG00000008179.3
OG0005503	Nana16913-RA, Nana16913-RB	ENSACAG00000010814.3
OG0005504	Nana37149-RA, Nana37147-RA	ENSACAG00000017430.2
OG0005505	Nana35522-RA	ENSACAG00000002259.1
OG0005506	Nana31382-RA	ENSACAG00000007189.3
OG0005507	Nana28404-RB, Nana28404-RA	ENSACAG00000000195.3
OG0005508	Nana31024-RC, Nana31024-RB, Nana31024-RA	ENSACAG00000010486.3
OG0005509	Nana15760-RB, Nana15760-RA	ENSACAG00000017693.3
OG0005510	Nana29054-RA, Nana29054-RB	ENSACAG00000006970.3
OG0005511	Nana15761-RA, Nana15761-RB	ENSACAG00000017692.2
OG0005512	Nana31384-RB, Nana31384-RA	ENSACAG00000007295.2
OG0005513	Nana28396-RA	ENSACAG00000000272.3
OG0005514	Nana18693-RB	ENSACAG00000010933.3
OG0005515	Nana05839-RA, Nana05839-RB	ENSACAG00000014637.3
OG0005516	Nana18723-RA	ENSACAG00000010935.2
OG0005517	Nana37215-RA	ENSACAG00000022922.1
OG0005518	Nana18724-RD, Nana18724-RC	ENSACAG00000010957.3
OG0005519	Nana18725-RB, Nana18725-RA	ENSACAG00000011009.3
OG0005520	Nana18726-RA	ENSACAG00000011038.3
OG0005521	Nana03420-RA	ENSACAG00000016194.3
OG0005522	Nana05837-RA	ENSACAG00000014715.3
OG0005523	Nana31391-RA	ENSACAG00000007506.1
OG0005524	Nana29061-RA	ENSACAG00000007112.3
OG0005525	Nana31887-RA	ENSACAG00000007547.3
OG0005526	Nana31885-RF	ENSACAG00000007555.3
OG0005527	Nana31190-RA	ENSACAG00000011302.2, ENSACAG00000007514.2
OG0005528	Nana29066-RC, Nana29066-RA	ENSACAG00000007296.2
OG0005529	Nana03426-RA	ENSACAG00000016530.3
OG0005530	Nana16926-RA	ENSACAG00000011700.3
OG0005531	Nana36001-RB, Nana36001-RA	ENSACAG00000027822.2
OG0005532	Nana32108-RA	ENSACAG00000011962.3
OG0005533	Nana32110-RA	ENSACAG00000011922.2
OG0005534	Nana32107-RA	ENSACAG00000012006.3
OG0005535	Nana02139-RD, Nana02139-RC	ENSACAG00000003910.2
OG0005536	Nana36084-RA	ENSACAG00000001005.2
OG0005537	Nana28622-RA, Nana28622-RB	ENSACAG00000017671.3
OG0005538	Nana02136-RA, Nana02137-RA	ENSACAG00000003768.2
OG0005539	Nana20700-RA	ENSACAG00000007761.3
OG0005540	Nana16898-RC, Nana16898-RD	ENSACAG00000010415.3
OG0005541	Nana06121-RA, Nana06121-RD	ENSACAG00000003070.3
OG0005542	Nana34500-RC, Nana34500-RD	ENSACAG00000004345.3
OG0005543	Nana20701-RA	ENSACAG00000024876.1
OG0005544	Nana34800-RA	ENSACAG00000000992.2
OG0005545	Nana16885-RA	ENSACAG00000010372.3
OG0005546	Nana34793-RA, Nana34793-RB	ENSACAG00000001545.3
OG0005547	Nana14700-RB, Nana14700-RA	ENSACAG00000004293.3
OG0005548	Nana34790-RA	ENSACAG00000001722.3
OG0005549	Nana16869-RA	ENSACAG00000010107.3
OG0005550	Nana14720-RA	ENSACAG00000027860.2
OG0005551	Nana28587-RA	ENSACAG00000016330.3
OG0005552	Nana16863-RA	ENSACAG00000009979.2
OG0005553	Nana14741-RA	ENSACAG00000011289.3
OG0005554	Nana37560-RA, Nana37560-RB	ENSACAG00000025801.2, ENSACAG00000002714.2
OG0005555	Nana14746-RB	ENSACAG00000011052.2
OG0005556	Nana34735-RB, Nana34735-RA	ENSACAG00000011320.3
OG0005557	Nana22938-RA	ENSACAG00000022759.1, ENSACAG00000012123.1
OG0005559	Nana14484-RA	ENSACAG00000028425.1
OG0005560	Nana16859-RA	ENSACAG00000009737.3
OG0005561	Nana30185-RA	ENSACAG00000004855.2
OG0005562	Nana15343-RA, Nana15345-RA	ENSACAG00000005707.3
OG0005563	Nana16855-RA	ENSACAG00000009711.3
OG0005564	Nana14763-RA	ENSACAG00000006005.3
OG0005565	Nana14480-RA	ENSACAG00000005693.3
OG0005566	Nana30182-RA	ENSACAG00000005034.2
OG0005567	Nana16853-RA	ENSACAG00000009618.3
OG0005568	Nana14469-RB, Nana14469-RA	ENSACAG00000005891.3
OG0005569	Nana15721-RA	ENSACAG00000012011.3
OG0005570	Nana03593-RA, Nana03593-RB	ENSACAG00000003345.3
OG0005571	Nana31829-RA	ENSACAG00000003209.3
OG0005572	Nana31833-RA	ENSACAG00000003476.3
OG0005573	Nana14772-RA	ENSACAG00000006527.3
OG0005574	Nana31548-RA	ENSACAG00000014399.2
OG0005575	Nana14798-RA	ENSACAG00000005860.3
OG0005576	Nana33591-RA	ENSACAG00000013661.3
OG0005578	Nana25203-RA	ENSACAG00000006298.3
OG0005579	Nana16767-RA, Nana16767-RB	ENSACAG00000002527.3
OG0005580	Nana36534-RB, Nana36534-RA	ENSACAG00000008564.2
OG0005581	Nana16766-RA	ENSACAG00000002489.3
OG0005582	Nana25199-RA, Nana25199-RB	ENSACAG00000006115.3
OG0005583	Nana37509-RA, Nana37509-RB	ENSACAG00000013206.2
OG0005584	Nana14802-RA	ENSACAG00000005753.2
OG0005585	Nana14805-RA	ENSACAG00000029579.1
OG0005586	Nana14807-RA	ENSACAG00000005676.3
OG0005587	Nana16760-RA	ENSACAG00000010310.3
OG0005588	Nana31506-RA	ENSACAG00000013803.3
OG0005589	Nana34525-RC, Nana34525-RB	ENSACAG00000009705.3
OG0005590	Nana37638-RC, Nana37638-RB, Nana37638-RA	ENSACAG00000015969.3
OG0005591	Nana17183-RA	ENSACAG00000022090.1
OG0005592	Nana06299-RA, Nana06299-RC	ENSACAG00000017655.3
OG0005593	Nana33181-RA	ENSACAG00000004898.3, ENSACAG00000028209.2
OG0005594	Nana33182-RA	ENSACAG00000005059.3
OG0005595	Nana03315-RA	ENSACAG00000008692.3
OG0005596	Nana34521-RA	ENSACAG00000023682.2, ENSACAG00000009893.3
OG0005597	Nana14814-RA	ENSACAG00000012969.1
OG0005598	Nana14816-RA, Nana14817-RA	ENSACAG00000013112.3
OG0005599	Nana00768-RB, Nana00768-RA	ENSACAG00000000619.3
OG0005600	Nana16750-RA	ENSACAG00000009983.3
OG0005601	Nana03577-RA, Nana03577-RB	ENSACAG00000012454.3
OG0005602	Nana16748-RA	ENSACAG00000009882.3
OG0005603	Nana35568-RA	ENSACAG00000008659.2
OG0005604	Nana30398-RC, Nana30398-RB, Nana30398-RA	ENSACAG00000023890.2
OG0005605	Nana14825-RA, Nana14826-RA	ENSACAG00000013213.3
OG0005606	Nana36895-RA, Nana36895-RB	ENSACAG00000014325.3
OG0005607	Nana32845-RA	ENSACAG00000002710.3
OG0005608	Nana34943-RC, Nana34943-RB	ENSACAG00000008803.3
OG0005609	Nana00780-RB, Nana00780-RA	ENSACAG00000010160.3
OG0005610	Nana23230-RA	ENSACAG00000011117.2, ENSACAG00000006165.3, ENSACAG00000005268.2
OG0005612	Nana32844-RA	ENSACAG00000002770.3
OG0005613	Nana00387-RA, Nana00387-RB	ENSACAG00000006706.3
OG0005614	Nana36906-RA, Nana36906-RC	ENSACAG00000004026.3
OG0005616	Nana33367-RA	ENSACAG00000007673.2
OG0005617	Nana32838-RA	ENSACAG00000003159.2
OG0005618	Nana32621-RA	ENSACAG00000009341.3
OG0005619	Nana28888-RA	ENSACAG00000015430.2
OG0005620	Nana38537-RA	ENSACAG00000008345.3
OG0005621	Nana16728-RA	ENSACAG00000009465.3
OG0005622	Nana39524-RD, Nana39524-RC	ENSACAG00000022510.2
OG0005623	Nana09232-RA	ENSACAG00000003260.3
OG0005624	Nana30089-RA	ENSACAG00000017813.3
OG0005625	Nana00193-RA	ENSACAG00000011403.2
OG0005626	Nana32620-RA	ENSACAG00000014721.2
OG0005627	Nana16726-RA	ENSACAG00000009420.3
OG0005628	Nana18893-RA	ENSACAG00000014748.3
OG0005629	Nana27276-RB, Nana27276-RA	ENSACAG00000008158.3
OG0005630	Nana16725-RA	ENSACAG00000009364.3
OG0005631	Nana14274-RA	ENSACAG00000017112.3
OG0005631	Nana14267-RA	ENSACAG00000016889.2
OG0005632	Nana37197-RA	ENSACAG00000008736.1
OG0005633	Nana16722-RA	ENSACAG00000009273.3
OG0005634	Nana37200-RA, Nana37198-RA	ENSACAG00000008741.3
OG0005635	Nana32824-RA, Nana32824-RB	ENSACAG00000022633.2
OG0005636	Nana30096-RB, Nana30096-RA	ENSACAG00000017791.3
OG0005638	Nana30097-RA	ENSACAG00000017790.3
OG0005639	Nana37613-RB, Nana37613-RA	ENSACAG00000008267.2
OG0005640	Nana34309-RB, Nana34309-RA	ENSACAG00000000726.2
OG0005641	Nana15736-RA, Nana15734-RA	ENSACAG00000024865.2
OG0005642	Nana11095-RA, Nana11095-RB	ENSACAG00000006014.3
OG0005643	Nana09978-RA	ENSACAG00000017410.3
OG0005644	Nana33320-RD, Nana33320-RC	ENSACAG00000000736.3
OG0005645	Nana34314-RA	ENSACAG00000001063.1
OG0005646	Nana37606-RA, Nana37607-RA	ENSACAG00000008150.3
OG0005647	Nana30104-RB, Nana30104-RA	ENSACAG00000017774.3
OG0005648	Nana37600-RA	ENSACAG00000008026.3
OG0005649	Nana01047-RA	ENSACAG00000014457.2
OG0005650	Nana33762-RB, Nana33762-RA	ENSACAG00000013569.2
OG0005651	Nana30110-RA	ENSACAG00000017764.3
OG0005652	Nana33761-RC, Nana33761-RB	ENSACAG00000000508.3
OG0005653	Nana33317-RA, Nana33317-RB	ENSACAG00000001190.3
OG0005654	Nana34913-RA	ENSACAG00000009723.3
OG0005655	Nana34911-RA, Nana34911-RB	ENSACAG00000009765.3
OG0005656	Nana11083-RB	ENSACAG00000005682.3
OG0005657	Nana28059-RA	ENSACAG00000007491.2
OG0005658	Nana01028-RA, Nana01028-RB	ENSACAG00000014758.3
OG0005659	Nana15748-RA	ENSACAG00000005445.3
OG0005660	Nana03376-RA	ENSACAG00000011326.3
OG0005661	Nana36810-RA	ENSACAG00000023109.1
OG0005662	Nana28283-RA	ENSACAG00000008943.3, ENSACAG00000024624.2
OG0005663	Nana33265-RA, Nana33264-RB	ENSACAG00000011259.3
OG0005664	Nana03380-RA	ENSACAG00000005293.3
OG0005665	Nana09687-RA	ENSACAG00000015793.2
OG0005666	Nana33267-RA	ENSACAG00000011399.3
OG0005667	Nana11079-RD, Nana11079-RE, Nana11079-RC	ENSACAG00000005441.3
OG0005668	Nana11418-RA, Nana11418-RB	ENSACAG00000013043.3
OG0005669	Nana34891-RC, Nana34891-RA, Nana34891-RB	ENSACAG00000010104.2
OG0005670	Nana32781-RB, Nana32781-RA	ENSACAG00000015045.3
OG0005671	Nana34473-RC, Nana34473-RB	ENSACAG00000011083.3
OG0005672	Nana27205-RA	ENSACAG00000004138.2, ENSACAG00000028787.1
OG0005673	Nana03386-RA	ENSACAG00000005474.3
OG0005674	Nana00003-RA	ENSACAG00000011526.1
OG0005675	Nana03387-RA	ENSACAG00000005518.3
OG0005676	Nana01019-RA, Nana01019-RB	ENSACAG00000015536.3
OG0005677	Nana06325-RA, Nana39711-RA	ENSACAG00000013968.3
OG0005678	Nana36822-RA	ENSACAG00000011425.3
OG0005679	Nana06330-RA	ENSACAG00000013986.3
OG0005680	Nana36820-RA	ENSACAG00000017227.3
OG0005681	Nana34884-RA	ENSACAG00000010305.3
OG0005682	Nana24724-RA	ENSACAG00000000386.3
OG0005683	Nana24723-RB, Nana24723-RA	ENSACAG00000000550.3
OG0005684	Nana35411-RA	ENSACAG00000023669.2
OG0005685	Nana33801-RA	ENSACAG00000024007.2
OG0005686	Nana00666-RB, Nana00666-RA	ENSACAG00000023340.1
OG0005687	Nana30648-RA, Nana30649-RA	ENSACAG00000007998.3
OG0005688	Nana20922-RB	ENSACAG00000004119.3
OG0005689	Nana37683-RA	ENSACAG00000008679.3
OG0005690	Nana30919-RA	ENSACAG00000027557.1
OG0005691	Nana31814-RA	ENSACAG00000009377.3, ENSACAG00000008124.3
OG0005692	Nana30918-RA	ENSACAG00000015512.2, ENSACAG00000014643.3
OG0005693	Nana20932-RA, Nana20932-RB	ENSACAG00000004325.2
OG0005694	Nana01685-RA, Nana24036-RA	ENSACAG00000003277.2
OG0005695	Nana11218-RA	ENSACAG00000001003.3
OG0005696	Nana03303-RA, Nana03303-RB	ENSACAG00000001082.3
OG0005697	Nana12819-RB, Nana12819-RC	ENSACAG00000006081.2
OG0005698	Nana16968-RA	ENSACAG00000012115.3
OG0005699	Nana35433-RA	ENSACAG00000010726.3
OG0005700	Nana03296-RA	ENSACAG00000015515.3
OG0005701	Nana16586-RA	ENSACAG00000003212.3
OG0005703	Nana28145-RA	ENSACAG00000012620.2
OG0005704	Nana34103-RA	ENSACAG00000023924.2
OG0005705	Nana17172-RB, Nana17172-RA	ENSACAG00000009746.3
OG0005706	Nana16598-RA	ENSACAG00000003437.3
OG0005707	Nana28150-RA, Nana28150-RB	ENSACAG00000012776.3
OG0005708	Nana37615-RB, Nana37615-RA, Nana37615-RC	ENSACAG00000004241.2
OG0005709	Nana36737-RA, Nana36737-RB	ENSACAG00000011229.3
OG0005710	Nana06889-RA	ENSACAG00000011285.2
OG0005711	Nana36581-RA	ENSACAG00000015041.2
OG0005712	Nana10538-RA	ENSACAG00000013751.3
OG0005713	Nana00017-RA, Nana00015-RA	ENSACAG00000026012.2
OG0005714	Nana30448-RC, Nana30448-RA, Nana30448-RB	ENSACAG00000010293.3
OG0005715	Nana33043-RA, Nana33043-RB	ENSACAG00000006920.3
OG0005716	Nana16610-RA	ENSACAG00000003671.3
OG0005717	Nana11124-RA	ENSACAG00000007222.3
OG0005718	Nana32595-RB	ENSACAG00000012693.3
OG0005719	Nana16613-RB, Nana16613-RA	ENSACAG00000003733.2
OG0005720	Nana37393-RA	ENSACAG00000009058.2
