Orthogroup	M_musculus.pep	P_Mucros.pep
OG0004778	ENSMUSG00000032595.10, ENSMUSG00000093456.7	XP_015673377.1, XP_015685690.1
OG0004779	ENSMUSG00000070284.10	XP_015672806.1
OG0004780	ENSMUSG00000023961.16	XP_015667792.1, XP_015667794.1, XP_015667795.1
OG0004781	ENSMUSG00000063856.7	XP_015672821.1, XP_015672823.1
OG0004782	ENSMUSG00000032586.9	XP_015678071.1, XP_015672822.1
OG0004783	ENSMUSG00000023921.9	XP_015676187.1
OG0004784	ENSMUSG00000040325.16	XP_015668074.1
OG0004785	ENSMUSG00000045679.14	XP_015679379.1, XP_015685684.1
OG0004786	ENSMUSG00000041506.15	XP_015675515.1
OG0004787	ENSMUSG00000052593.16	XP_015680628.1
OG0004788	ENSMUSG00000023262.13	XP_015675567.1
OG0004789	ENSMUSG00000062352.14	XP_029140008.1, XP_015671641.1
OG0004790	ENSMUSG00000042323.17	XP_029139950.1
OG0004791	ENSMUSG00000042354.7	XP_015671342.1, XP_015671343.1
OG0004792	ENSMUSG00000021918.10	XP_015671347.1
OG0004793	ENSMUSG00000031467.10	XP_015676713.1, XP_015676712.1
OG0004794	ENSMUSG00000021391.10	XP_029141170.1
OG0004795	ENSMUSG00000026317.7	XP_015676265.1
OG0004796	ENSMUSG00000038365.8	XP_015668142.1, XP_015668139.1, XP_015668140.1
OG0004797	ENSMUSG00000020669.15	XP_015668136.1
OG0004798	ENSMUSG00000020672.14	XP_015672359.1
OG0004799	ENSMUSG00000020673.14	XP_015672360.1
OG0004800	ENSMUSG00000061911.15	XP_015672356.1, XP_015672358.1, XP_029140146.1
OG0004801	ENSMUSG00000042389.13	XP_015680361.1, XP_015680356.1, XP_015680357.1
OG0004802	ENSMUSG00000020628.16	XP_015678783.1
OG0004803	ENSMUSG00000020629.12	XP_015678782.1
OG0004804	ENSMUSG00000004768.14	XP_015680302.1, XP_015680301.1, XP_029141696.1
OG0004805	ENSMUSG00000026134.11	XP_015672423.1, XP_015680297.1
OG0004806	ENSMUSG00000059900.14	XP_015680871.1
OG0004807	ENSMUSG00000026141.13	XP_029141322.1
OG0004808	ENSMUSG00000015971.5	XP_015671693.1
OG0004809	ENSMUSG00000028252.20	XP_015675646.1, XP_015675647.1
OG0004810	ENSMUSG00000028247.2	XP_015680865.1, XP_015686036.2, XP_015675653.2
OG0004811	ENSMUSG00000028261.13	XP_015686717.1
OG0004812	ENSMUSG00000045854.4	XP_015672869.1
OG0004813	ENSMUSG00000028274.17	XP_015685902.1, XP_015681605.1
OG0004814	ENSMUSG00000032598.8, ENSMUSG00000107055.1	XP_015680244.1
OG0004815	ENSMUSG00000023259.16, ENSMUSG00000107138.3	XP_029141694.1
OG0004816	ENSMUSG00000032422.17	XP_015668351.1
OG0004817	ENSMUSG00000000296.8	XP_015669643.1, XP_015669635.1, XP_029139600.1
OG0004818	ENSMUSG00000079477.9	XP_015677605.1, XP_015677597.1
OG0004819	ENSMUSG00000039480.14	XP_015686000.1, XP_015677058.1
OG0004820	ENSMUSG00000019846.11	XP_015671116.1
OG0004821	ENSMUSG00000019866.15	XP_015672383.1
OG0004822	ENSMUSG00000030089.15	XP_015676601.1, XP_015676602.1
OG0004823	ENSMUSG00000048794.14	XP_015678581.1
OG0004824	ENSMUSG00000038248.8	XP_015672384.1, XP_015672373.1
OG0004825	ENSMUSG00000038302.14	XP_015676604.1
OG0004826	ENSMUSG00000078451.5	XP_029142995.1, XP_015682991.1, XP_015682990.1
OG0004827	ENSMUSG00000034037.14	XP_015679580.1, XP_015673512.1
OG0004828	ENSMUSG00000038528.15, ENSMUSG00000096687.8, ENSMUSG00000038522.7	XP_015671120.2
OG0004829	ENSMUSG00000019841.15	XP_029139902.1, XP_029139903.1
OG0004830	ENSMUSG00000019842.6	XP_015671119.1
OG0004831	ENSMUSG00000038145.17	XP_015679673.1, XP_015678770.1
OG0004832	ENSMUSG00000035357.17	XP_015673658.1, XP_015673657.1, XP_015673656.1
OG0004833	ENSMUSG00000039163.10	XP_015667196.1, XP_015667195.1, XP_015667197.1
OG0004834	ENSMUSG00000056919.9	XP_015680701.1
OG0004835	ENSMUSG00000032872.16	XP_015680704.1
OG0004836	ENSMUSG00000032417.10	XP_015680099.1, XP_015680108.1, XP_015680115.1
OG0004837	ENSMUSG00000056131.13	XP_029141682.1, XP_015680126.1, XP_015680137.1
OG0004838	ENSMUSG00000030029.14	XP_029141603.1
OG0004839	ENSMUSG00000035941.15	XP_015687571.1
OG0004840	ENSMUSG00000021747.12	XP_029141399.1, XP_029141400.1
OG0004841	ENSMUSG00000021749.6	XP_015681411.1
OG0004842	ENSMUSG00000021750.16	XP_015681408.1, XP_015681410.1, XP_015681409.1
OG0004843	ENSMUSG00000021748.9	XP_015681402.1
OG0004844	ENSMUSG00000033885.15	XP_015681401.1, XP_015681400.1, XP_015681398.1, XP_015681397.1
OG0004845	ENSMUSG00000032258.15	XP_015672293.1
OG0004846	ENSMUSG00000032604.16	XP_029142941.1, XP_015677379.1
OG0004847	ENSMUSG00000006676.16	XP_015686449.1, XP_029142174.1
OG0004848	ENSMUSG00000019810.15	XP_015670795.1, XP_015670793.1
OG0004849	ENSMUSG00000039166.16	XP_015675295.2
OG0004850	ENSMUSG00000052911.9	XP_015682379.1
OG0004851	ENSMUSG00000031399.15	XP_015673576.1, XP_015673577.1
OG0004853	ENSMUSG00000025262.8	XP_015670423.1
OG0004855	ENSMUSG00000041831.16	XP_015672340.1
OG0004856	ENSMUSG00000034345.14	XP_015682183.1, XP_015682186.1, XP_015682184.1
OG0004857	ENSMUSG00000033739.8	XP_015683231.1
OG0004858	ENSMUSG00000039219.18	XP_015672408.2
OG0004859	ENSMUSG00000060212.13	XP_015675597.1, XP_029140798.1
OG0004860	ENSMUSG00000038697.15	XP_015679885.1
OG0004861	ENSMUSG00000037300.19	XP_015680390.1
OG0004862	ENSMUSG00000046991.12	XP_015682592.1, XP_015683193.2
OG0004863	ENSMUSG00000068036.16	XP_015673898.1, XP_029140396.1
OG0004864	ENSMUSG00000079722.2	XP_015686289.1, XP_015673739.1
OG0004865	ENSMUSG00000069135.11	XP_015673877.1, XP_015673869.1
OG0004866	ENSMUSG00000073468.12, ENSMUSG00000069899.3	XP_015673816.1, XP_015673824.1
OG0004867	ENSMUSG00000021716.14	XP_015668144.1, XP_015668145.1, XP_015668146.1
OG0004868	ENSMUSG00000067150.6	XP_015673526.1
OG0004869	ENSMUSG00000024079.4	XP_015671474.1
OG0004870	ENSMUSG00000058704.9	XP_015671992.1
OG0004871	ENSMUSG00000026491.13	XP_015687072.1
OG0004872	ENSMUSG00000023977.15	XP_015670262.1, XP_015670261.1
OG0004873	ENSMUSG00000034729.16, ENSMUSG00000116070.1	XP_015670266.1
OG0004874	ENSMUSG00000016262.14	XP_029139760.1
OG0004875	ENSMUSG00000037375.16	XP_015670274.1
OG0004876	ENSMUSG00000089872.10	XP_015671432.1
OG0004877	ENSMUSG00000026603.13	XP_015673504.1
OG0004878	ENSMUSG00000039210.16	XP_015677993.1, XP_015678009.1, XP_015678000.1
OG0004879	ENSMUSG00000039318.12	XP_015676866.1
OG0004880	ENSMUSG00000064120.14	XP_015675119.2
OG0004881	ENSMUSG00000043705.7	XP_015676435.1
OG0004882	ENSMUSG00000026490.18	XP_015682064.1, XP_029142124.1
OG0004883	ENSMUSG00000026511.7	XP_015686033.1
OG0004884	ENSMUSG00000038633.5	XP_015678366.1, XP_015677654.1, XP_015676935.1
OG0004885	ENSMUSG00000025580.15, ENSMUSG00000107906.1, ENSMUSG00000094973.2	XP_015667574.1
OG0004886	ENSMUSG00000068115.13	XP_015685908.1, XP_015667517.1
OG0004887	ENSMUSG00000020305.13	XP_015669172.1
OG0004888	ENSMUSG00000014980.14	XP_015672123.1
OG0004890	ENSMUSG00000047721.8	XP_015666024.1
OG0004892	ENSMUSG00000047875.6	XP_015676909.1, XP_015676907.1
OG0004893	ENSMUSG00000042682.9	XP_015671689.1, XP_015671690.1
OG0004894	ENSMUSG00000053536.7, ENSMUSG00000031256.11	XP_015676080.1
OG0004895	ENSMUSG00000052406.14	XP_015682321.1
OG0004896	ENSMUSG00000031255.14	XP_015676065.1
OG0004898	ENSMUSG00000024498.16	XP_015676519.1
OG0004899	ENSMUSG00000024497.4	XP_015676617.1
OG0004902	ENSMUSG00000053388.10	XP_015686212.1, XP_015670324.1
OG0004903	ENSMUSG00000062691.10	XP_015671980.1
OG0004907	ENSMUSG00000056310.14	XP_015672678.1
OG0004908	ENSMUSG00000025337.10	XP_015672679.1
OG0004909	ENSMUSG00000026582.6	XP_029143150.1
OG0004910	ENSMUSG00000036199.9	XP_015668951.1
OG0004912	ENSMUSG00000026819.15	XP_029141839.1, XP_015681045.1
OG0004914	ENSMUSG00000028979.17	XP_015680335.1, XP_015685858.1
OG0004915	ENSMUSG00000040123.17	XP_015672319.1, XP_015672318.1, XP_015672317.1, XP_015672320.1
OG0004918	ENSMUSG00000029446.14	XP_015672694.1, XP_015672693.1
OG0004920	ENSMUSG00000044155.11	XP_015669043.1
OG0004921	ENSMUSG00000030200.13	XP_015670110.1
OG0004922	ENSMUSG00000026641.13	XP_015680319.1
OG0004925	ENSMUSG00000073998.2, ENSMUSG00000073997.3	XP_015670966.1, XP_015670967.1
OG0004926	ENSMUSG00000064264.14	XP_015681727.1
OG0004929	ENSMUSG00000049076.12	XP_015676218.1
OG0004930	ENSMUSG00000049960.4	XP_029140494.1, XP_029140495.1, XP_015674338.2
OG0004931	ENSMUSG00000057497.8	XP_015666648.1
OG0004932	ENSMUSG00000072501.5	XP_015683240.1
OG0004934	ENSMUSG00000033209.17	XP_029139937.1
OG0004935	ENSMUSG00000053820.4, ENSMUSG00000100838.1, ENSMUSG00000102037.1, ENSMUSG00000099974.1, ENSMUSG00000089929.1	XP_015670779.1
OG0004936	ENSMUSG00000097351.2, ENSMUSG00000028584.3	XP_015675864.1
OG0004937	ENSMUSG00000042328.13	XP_015671256.1
OG0004939	ENSMUSG00000020680.15	XP_015674364.1, XP_015674363.1
OG0004940	ENSMUSG00000020052.9	XP_015678690.1, XP_015673729.1
OG0004941	ENSMUSG00000029923.4	XP_015679571.1, XP_015679570.1, XP_015679569.1
OG0004942	ENSMUSG00000072674.10, ENSMUSG00000095304.9, ENSMUSG00000094800.8	XP_015682614.1, XP_015682615.1
OG0004943	ENSMUSG00000003662.10	XP_015666888.1
OG0004944	ENSMUSG00000034820.4	XP_015671985.1
OG0004945	ENSMUSG00000032327.14	XP_015685653.2, XP_015685663.1
OG0004947	ENSMUSG00000001098.15	XP_015671278.1, XP_015671276.1, XP_015671277.1
OG0004948	ENSMUSG00000022243.10	XP_015672508.1
OG0004949	ENSMUSG00000060878.4, ENSMUSG00000067545.3, ENSMUSG00000060556.4, ENSMUSG00000048292.3	XP_015675211.1
OG0004952	ENSMUSG00000028165.9	XP_015683907.1, XP_015683898.1
OG0004954	ENSMUSG00000027300.10, ENSMUSG00000079043.3	XP_015683994.2
OG0004955	ENSMUSG00000063060.6	XP_015669255.1
OG0004956	ENSMUSG00000047417.18	XP_029138804.1
OG0004960	ENSMUSG00000030037.9	XP_015687551.1
OG0004961	ENSMUSG00000017943.15	XP_015685222.1, XP_015685203.1, XP_015685210.1, XP_015685214.1
OG0004966	ENSMUSG00000028971.4, ENSMUSG00000073705.10	XP_015676922.1
OG0004967	ENSMUSG00000026860.16	XP_015681083.1
OG0004985	ENSMUSG00000074746.3	XP_029139841.1
OG0004986	ENSMUSG00000033706.13	XP_015684117.1, XP_015681382.1
OG0004987	ENSMUSG00000047248.20	XP_015670972.1
OG0004988	ENSMUSG00000030008.9	XP_015684119.1, XP_015681380.1
OG0004989	ENSMUSG00000079277.9	XP_029139788.1, XP_015670470.1
OG0004990	ENSMUSG00000101174.8, ENSMUSG00000100642.1	XP_015670469.1
OG0004991	ENSMUSG00000034135.15	XP_029139340.1
OG0004992	ENSMUSG00000057637.13	XP_015675862.1
OG0004993	ENSMUSG00000047045.17	XP_015683894.1
OG0004994	ENSMUSG00000025090.9	XP_029139945.1
OG0004995	ENSMUSG00000044795.12	XP_015684451.1
OG0004996	ENSMUSG00000059278.9	XP_015685963.1, XP_015684452.1
OG0004997	ENSMUSG00000032078.17	XP_015668363.1
OG0004998	ENSMUSG00000033478.5	XP_015671303.1
OG0004999	ENSMUSG00000032077.5	XP_029139348.1
OG0005000	ENSMUSG00000038351.14	XP_029142301.1
OG0005001	ENSMUSG00000031782.15	XP_015671365.1
OG0005002	ENSMUSG00000035392.17	XP_029142029.1
OG0005003	ENSMUSG00000036596.6	XP_015684760.1
OG0005004	ENSMUSG00000005338.13	XP_015683338.1, XP_015685737.1
OG0005005	ENSMUSG00000110939.2, ENSMUSG00000029673.17	XP_015685121.1
OG0005006	ENSMUSG00000057421.12	XP_015675772.1
OG0005007	ENSMUSG00000031775.5	XP_015678421.1
OG0005008	ENSMUSG00000069601.14	XP_029140627.1
OG0005009	ENSMUSG00000048285.9	XP_015676185.1
OG0005010	ENSMUSG00000074384.4	XP_015666259.1, XP_029138939.1
OG0005011	ENSMUSG00000022750.18	XP_015679936.1
OG0005012	ENSMUSG00000021807.6	XP_015680522.1
OG0005013	ENSMUSG00000031774.8	XP_015678432.1
OG0005014	ENSMUSG00000022367.7	XP_015679566.1
OG0005015	ENSMUSG00000038991.17	XP_015666323.1
OG0005016	ENSMUSG00000032733.6	XP_015676245.1, XP_015676244.1
OG0005017	ENSMUSG00000001707.8	XP_015666321.1
OG0005018	ENSMUSG00000060679.14	XP_015670730.1, XP_015670731.1
OG0005019	ENSMUSG00000031343.13	XP_029138765.1
OG0005021	ENSMUSG00000032324.11	XP_015673472.1
OG0005022	ENSMUSG00000026068.11	XP_015672281.2
OG0005023	ENSMUSG00000020988.9	XP_015685130.1, XP_015681055.1
OG0005024	ENSMUSG00000030126.17	XP_015677026.1, XP_015677027.1
OG0005025	ENSMUSG00000033361.13	XP_029138766.1
OG0005026	ENSMUSG00000021366.8	XP_015666306.1
OG0005027	ENSMUSG00000034007.10	XP_015682949.1
OG0005028	ENSMUSG00000058690.14	XP_029142518.1, XP_029142517.1
OG0005029	ENSMUSG00000072944.11, ENSMUSG00000109511.1	XP_015687884.1
OG0005030	ENSMUSG00000026073.13	XP_015672277.1, XP_015670407.1
OG0005031	ENSMUSG00000030324.8	XP_015678958.1
OG0005032	ENSMUSG00000073678.4	XP_029139385.1, XP_029139384.1
OG0005033	ENSMUSG00000052861.13	XP_015681877.1, XP_015687637.1
OG0005034	ENSMUSG00000020978.10	XP_015683093.1, XP_015683095.1
OG0005035	ENSMUSG00000036820.12	XP_015676784.1
OG0005036	ENSMUSG00000037214.12	XP_015679598.1
OG0005037	ENSMUSG00000055239.10	XP_015673958.1
OG0005038	ENSMUSG00000015994.10	XP_015673957.1
OG0005039	ENSMUSG00000060477.14	XP_015682694.2, XP_015685712.2
OG0005040	ENSMUSG00000022033.9	XP_015675479.1
OG0005041	ENSMUSG00000025316.16	XP_015677506.1
OG0005042	ENSMUSG00000028977.17	XP_015676912.1
OG0005043	ENSMUSG00000078552.10	XP_015667126.1
OG0005044	ENSMUSG00000022191.16	XP_015666989.1
OG0005045	ENSMUSG00000028974.13	XP_015676913.1, XP_015686119.1
OG0005046	ENSMUSG00000028961.15	XP_015676923.1
OG0005047	ENSMUSG00000063077.15	XP_029140966.1, XP_015676924.1
OG0005048	ENSMUSG00000062270.14	XP_015674102.1
OG0005049	ENSMUSG00000042626.13	XP_015686638.1, XP_029141952.1
OG0005050	ENSMUSG00000031723.8	XP_015668782.1
OG0005051	ENSMUSG00000043424.10, ENSMUSG00000027236.8	XP_015667386.1
OG0005052	ENSMUSG00000025470.11	XP_029138796.1
OG0005053	ENSMUSG00000019883.11	XP_015671720.2
OG0005054	ENSMUSG00000018446.8	XP_015681753.1, XP_015681752.1
OG0005055	ENSMUSG00000028859.14	XP_029139107.1
OG0005056	ENSMUSG00000042616.8	XP_015667141.1, XP_029139116.1
OG0005057	ENSMUSG00000042608.15	XP_015667176.1, XP_015667175.1
OG0005058	ENSMUSG00000048481.15	XP_015676507.1
OG0005059	ENSMUSG00000074247.10	XP_015665481.1
OG0005060	ENSMUSG00000025825.12	XP_015671266.1
OG0005061	ENSMUSG00000106447.1, ENSMUSG00000028102.15	XP_015680856.1
OG0005062	ENSMUSG00000017652.16	XP_029142603.1
OG0005063	ENSMUSG00000053334.6	XP_015671265.1, XP_015686178.1
OG0005064	ENSMUSG00000052955.5	XP_015666086.1, XP_015666085.1
OG0005065	ENSMUSG00000053007.9	XP_015666053.1, XP_015666084.2
OG0005066	ENSMUSG00000004535.12	XP_015666081.1, XP_015666082.1
OG0005067	ENSMUSG00000054117.8, ENSMUSG00000025786.17	XP_015678373.1
OG0005068	ENSMUSG00000026821.16	XP_029142577.1
OG0005069	ENSMUSG00000005503.8	XP_015666110.1
OG0005070	ENSMUSG00000038210.10	XP_015666108.1
OG0005071	ENSMUSG00000032652.13	XP_015670926.1
OG0005072	ENSMUSG00000079560.13	XP_029138908.1, XP_015666103.1
OG0005073	ENSMUSG00000041794.13	XP_015678295.1
OG0005074	ENSMUSG00000042595.7	XP_015678085.1
OG0005075	ENSMUSG00000009030.14	XP_015677638.1
OG0005076	ENSMUSG00000028653.16	XP_029139112.1
OG0005077	ENSMUSG00000041423.16	XP_015685246.1
OG0005078	ENSMUSG00000005846.12	XP_015683393.1
OG0005079	ENSMUSG00000027242.14	XP_029139154.1
OG0005081	ENSMUSG00000042757.16	XP_015678904.2
OG0005082	ENSMUSG00000035576.13	XP_029140587.1
OG0005083	ENSMUSG00000056429.4	XP_015670041.1
OG0005084	ENSMUSG00000039623.13	XP_015675015.1
OG0005085	ENSMUSG00000040462.13	XP_029140212.1
OG0005086	ENSMUSG00000024807.18	XP_015685838.1, XP_015679092.1
OG0005087	ENSMUSG00000017858.12	XP_015674833.1, XP_015674832.1
OG0005088	ENSMUSG00000056737.14	XP_015670043.1
OG0005089	ENSMUSG00000029578.15	XP_015674987.1
OG0005090	ENSMUSG00000037257.8	XP_015667406.1
OG0005091	ENSMUSG00000050822.11	XP_015686553.1, XP_015675000.2
OG0005092	ENSMUSG00000017478.15	XP_029139071.1
OG0005093	ENSMUSG00000006519.11	XP_015666943.1
OG0005094	ENSMUSG00000041798.15	XP_015670055.1
OG0005095	ENSMUSG00000069763.3	XP_015687373.1
OG0005096	ENSMUSG00000032405.10	XP_015667381.1
OG0005097	ENSMUSG00000028648.13	XP_015667166.1, XP_015667165.1
OG0005098	ENSMUSG00000003438.17	XP_015686514.1
OG0005099	ENSMUSG00000003435.9	XP_015676526.1, XP_015676525.1, XP_015676506.1
OG0005100	ENSMUSG00000014444.17	XP_029139059.1, XP_029139060.1
OG0005101	ENSMUSG00000040452.9	XP_015666268.1, XP_015666269.1
OG0005102	ENSMUSG00000041164.15	XP_015670049.1, XP_029139722.1
OG0005103	ENSMUSG00000001156.9	XP_015666646.1
OG0005104	ENSMUSG00000029570.5	XP_015675019.1
OG0005105	ENSMUSG00000042520.16	XP_015668847.1
OG0005106	ENSMUSG00000036565.7	XP_029140617.1
OG0005107	ENSMUSG00000038538.17	XP_015669002.1
OG0005108	ENSMUSG00000036526.8	XP_029140615.1
OG0005109	ENSMUSG00000046223.10	XP_015684635.1, XP_015684538.1
OG0005110	ENSMUSG00000045034.12	XP_015674052.1
OG0005111	ENSMUSG00000051768.9	XP_015677866.1
OG0005112	ENSMUSG00000038037.5	XP_015667491.1
OG0005113	ENSMUSG00000030421.9	XP_015677335.1
OG0005114	ENSMUSG00000030016.14	XP_029142261.1
OG0005115	ENSMUSG00000025968.16	XP_015674840.1
OG0005116	ENSMUSG00000074227.12	XP_015669377.1, XP_015669378.1
OG0005117	ENSMUSG00000040865.15	XP_015673618.1
OG0005118	ENSMUSG00000028675.12	XP_015675146.1
OG0005119	ENSMUSG00000039187.16	XP_015670766.1
OG0005120	ENSMUSG00000025958.14	XP_029141722.1
OG0005121	ENSMUSG00000026878.17	XP_015680174.1
OG0005122	ENSMUSG00000051344.13	XP_015669948.1
OG0005123	ENSMUSG00000038623.9	XP_015687163.1, XP_015687164.1
OG0005124	ENSMUSG00000102412.7, ENSMUSG00000026012.2	XP_029140609.1
OG0005125	ENSMUSG00000040466.16	XP_015669372.1
OG0005126	ENSMUSG00000046338.4	XP_029139090.1
OG0005127	ENSMUSG00000024773.15, ENSMUSG00000106907.4	XP_029142482.1
OG0005128	ENSMUSG00000049439.13	XP_015675097.1
OG0005129	ENSMUSG00000073664.11	XP_015675092.1
OG0005130	ENSMUSG00000032135.15	XP_015669050.1
OG0005131	ENSMUSG00000032480.17	XP_029142413.1
OG0005132	ENSMUSG00000112129.1, ENSMUSG00000020072.15	XP_015672160.1
OG0005133	ENSMUSG00000040877.16	XP_015675926.1
OG0005134	ENSMUSG00000021266.16	XP_015675906.1, XP_015675914.1
OG0005135	ENSMUSG00000071573.14	XP_015668752.1, XP_015668751.1
OG0005136	ENSMUSG00000018599.5	XP_015673306.1
OG0005137	ENSMUSG00000054753.9, ENSMUSG00000107871.1, ENSMUSG00000031297.14	XP_015687934.1
OG0005138	ENSMUSG00000028657.14	XP_015686279.2
OG0005139	ENSMUSG00000036875.15	XP_029140102.1
OG0005140	ENSMUSG00000019359.14	XP_015687903.1
OG0005141	ENSMUSG00000002814.15	XP_015673334.2
OG0005142	ENSMUSG00000039768.16	XP_015668254.1
OG0005143	ENSMUSG00000020074.7	XP_015672149.1
OG0005144	ENSMUSG00000026482.13	XP_015683423.1
OG0005145	ENSMUSG00000040943.12	XP_015686929.1, XP_015675032.1
OG0005146	ENSMUSG00000043831.12	XP_015667331.1
OG0005147	ENSMUSG00000020078.16	XP_015678452.1
OG0005148	ENSMUSG00000006471.18, ENSMUSG00000115074.1	XP_015687130.1
OG0005149	ENSMUSG00000015134.15	XP_015667343.1, XP_015667344.1
OG0005150	ENSMUSG00000031962.6	XP_029139062.1
OG0005151	ENSMUSG00000004105.8	XP_015678346.1, XP_015686513.1
OG0005152	ENSMUSG00000021500.17	XP_015679781.1
OG0005153	ENSMUSG00000001761.7	XP_015681326.1
OG0005154	ENSMUSG00000028405.9	XP_015681773.1
OG0005155	ENSMUSG00000036636.10	XP_015667482.1
OG0005156	ENSMUSG00000021497.10	XP_015679803.1
OG0005157	ENSMUSG00000021496.12	XP_015676721.1, XP_029141619.1
OG0005158	ENSMUSG00000045248.6	XP_015665526.1
OG0005159	ENSMUSG00000015937.15	XP_015670412.1, XP_015670413.1
OG0005160	ENSMUSG00000000738.18	XP_015666887.1
OG0005161	ENSMUSG00000000740.12	XP_015666917.1
OG0005162	ENSMUSG00000030905.5	XP_015685371.1, XP_015676638.1
OG0005163	ENSMUSG00000026480.12	XP_015668605.1
OG0005164	ENSMUSG00000020526.12	XP_015679623.1
OG0005165	ENSMUSG00000050217.13	XP_015671394.1
OG0005166	ENSMUSG00000015745.9	XP_015674247.1
OG0005167	ENSMUSG00000006958.14	XP_015683276.1
OG0005168	ENSMUSG00000040731.13	XP_015686928.1
OG0005169	ENSMUSG00000042390.9	XP_015668885.1
OG0005170	ENSMUSG00000028826.14	XP_015677734.1
OG0005171	ENSMUSG00000084174.3	XP_015676166.2
OG0005172	ENSMUSG00000015243.4	XP_015670144.1
OG0005173	ENSMUSG00000038859.7	XP_015676246.1
OG0005174	ENSMUSG00000009114.17	XP_015667814.1
OG0005175	ENSMUSG00000034156.16	XP_029140222.1
OG0005176	ENSMUSG00000050310.9	XP_015672409.1, XP_015672400.1
OG0005177	ENSMUSG00000027068.6	XP_015677391.1
OG0005178	ENSMUSG00000000290.13, ENSMUSG00000000157.16	XP_015667812.1
OG0005179	ENSMUSG00000030653.17, ENSMUSG00000110195.1	XP_015670958.1
OG0005180	ENSMUSG00000036450.4	XP_015677592.1
OG0005181	ENSMUSG00000003545.3	XP_015676159.1, XP_029140810.1
OG0005182	ENSMUSG00000044702.13	XP_029139430.1
OG0005183	ENSMUSG00000013593.12	XP_015685771.1, XP_015684197.1
OG0005184	ENSMUSG00000015133.17	XP_029139142.1
OG0005185	ENSMUSG00000030545.9	XP_015670781.1, XP_015670782.1
OG0005186	ENSMUSG00000051403.9	XP_029142845.1
OG0005187	ENSMUSG00000030629.15	XP_015670771.1, XP_015670770.1, XP_015670769.1, XP_015670768.1
OG0005188	ENSMUSG00000000216.8	XP_015687235.1
OG0005189	ENSMUSG00000013465.19	XP_015686388.1, XP_015685044.1
OG0005190	ENSMUSG00000030630.16	XP_015670786.1
OG0005191	ENSMUSG00000110746.3, ENSMUSG00000048424.17	XP_029140161.1
OG0005192	ENSMUSG00000026807.8	XP_015673397.1, XP_015681334.1
OG0005193	ENSMUSG00000000959.7	XP_015679868.1, XP_015679867.1, XP_015679866.1
OG0005194	ENSMUSG00000042133.16	XP_015674660.1
OG0005195	ENSMUSG00000111527.2, ENSMUSG00000022253.15	XP_029142259.1
OG0005196	ENSMUSG00000030727.12	XP_015665775.1, XP_015681050.1
OG0005197	ENSMUSG00000029062.14	XP_029140628.1
OG0005198	ENSMUSG00000026864.13	XP_015681610.1
OG0005199	ENSMUSG00000010406.12	XP_015679871.1, XP_015679870.1
OG0005200	ENSMUSG00000003873.11	XP_015680293.1, XP_015665723.1
OG0005201	ENSMUSG00000040725.13	XP_029141638.1
OG0005202	ENSMUSG00000079659.5	XP_015680939.1
OG0005203	ENSMUSG00000003882.5	XP_029142258.1
OG0005204	ENSMUSG00000037922.13	XP_029142524.1
OG0005205	ENSMUSG00000068882.13	XP_015674654.1
OG0005206	ENSMUSG00000028057.14	XP_015684203.1
OG0005207	ENSMUSG00000031153.16	XP_015676597.1
OG0005208	ENSMUSG00000061286.7	XP_015686099.1, XP_029141636.1
OG0005209	ENSMUSG00000030780.15	XP_015684081.1, XP_029142754.1
OG0005210	ENSMUSG00000060376.7	XP_015680066.2
OG0005211	ENSMUSG00000057176.4	XP_015685109.2, XP_015685167.1
OG0005212	ENSMUSG00000039765.15	XP_029140345.1
OG0005213	ENSMUSG00000044224.16	XP_015681796.1, XP_015681797.1
OG0005214	ENSMUSG00000028175.15	XP_015683769.1
OG0005215	ENSMUSG00000037390.12	XP_015668658.1
OG0005216	ENSMUSG00000022246.14	XP_015681803.1
OG0005217	ENSMUSG00000028159.14	XP_015672899.1, XP_015684824.1
OG0005218	ENSMUSG00000032479.15	XP_015686794.1, XP_015684417.1
OG0005219	ENSMUSG00000033847.15	XP_029138830.1, XP_015665639.1
OG0005220	ENSMUSG00000033906.5	XP_015666263.1
OG0005221	ENSMUSG00000001157.13	XP_015666613.1
OG0005222	ENSMUSG00000035456.9	XP_029143203.1
OG0005223	ENSMUSG00000022364.14	XP_015679949.1, XP_015686093.1
OG0005224	ENSMUSG00000110777.2	XP_015665464.1
OG0005225	ENSMUSG00000023903.8	XP_029138899.1
OG0005226	ENSMUSG00000043782.9	XP_015680882.2, XP_015666042.1
OG0005227	ENSMUSG00000063802.5	XP_015665745.1
OG0005228	ENSMUSG00000024983.10	XP_015670085.1
OG0005229	ENSMUSG00000051051.7, ENSMUSG00000054498.6	XP_015671617.1, XP_015671611.2, XP_015671613.1
OG0005230	ENSMUSG00000030610.13	XP_015678330.1
OG0005231	ENSMUSG00000030611.10	XP_029142889.1, XP_015678328.1
OG0005232	ENSMUSG00000031844.8	XP_029140017.1, XP_015671739.1
OG0005233	ENSMUSG00000015697.14	XP_029141083.1
OG0005234	ENSMUSG00000014873.15	XP_015682320.1
OG0005237	ENSMUSG00000056394.17	XP_015668989.1
OG0005238	ENSMUSG00000038539.15	XP_015668988.1, XP_015682804.1
OG0005239	ENSMUSG00000049295.17	XP_015684116.1, XP_015668972.1
OG0005240	ENSMUSG00000022797.16	XP_029142288.1
