Orthogroup	M_musculus.pep	N_naja.pep
OG0007351	ENSMUSG00000037370.13	Nana01969-RA
OG0007352	ENSMUSG00000020372.15	Nana07837-RB, Nana07837-RA
OG0007353	ENSMUSG00000025645.8	Nana07903-RA
OG0007354	ENSMUSG00000057762.6, ENSMUSG00000031146.6	Nana10600-RA
OG0007355	ENSMUSG00000078348.4	Nana01845-RA
OG0007356	ENSMUSG00000048930.12	Nana07922-RA
OG0007357	ENSMUSG00000047648.13	Nana01834-RA
OG0007358	ENSMUSG00000040599.13	Nana00500-RA
OG0007359	ENSMUSG00000062078.15	Nana01692-RA
OG0007360	ENSMUSG00000059481.5	Nana01700-RA
OG0007361	ENSMUSG00000020346.16	Nana07829-RA
OG0007362	ENSMUSG00000068039.13	Nana01710-RA
OG0007363	ENSMUSG00000006818.5	Nana01714-RA
OG0007364	ENSMUSG00000033450.8, ENSMUSG00000052031.8	Nana01717-RA
OG0007365	ENSMUSG00000004945.15	Nana01730-RA
OG0007366	ENSMUSG00000046201.9	Nana01749-RA
OG0007368	ENSMUSG00000019774.8	Nana01762-RA
OG0007369	ENSMUSG00000039748.11	Nana01521-RA
OG0007370	ENSMUSG00000046159.16	Nana01540-RA
OG0007371	ENSMUSG00000050244.9	Nana01562-RB, Nana01562-RA
OG0007372	ENSMUSG00000021306.11	Nana01568-RC, Nana01568-RB
OG0007373	ENSMUSG00000039242.10	Nana01576-RA
OG0007374	ENSMUSG00000021302.10	Nana01578-RA
OG0007375	ENSMUSG00000093904.2	Nana01582-RA, Nana01582-RB
OG0007376	ENSMUSG00000051495.7	Nana01584-RB, Nana01584-RA
OG0007377	ENSMUSG00000057060.8	Nana01589-RA
OG0007378	ENSMUSG00000039960.5	Nana01611-RA
OG0007379	ENSMUSG00000089704.9, ENSMUSG00000092329.1	Nana01623-RA
OG0007380	ENSMUSG00000031985.9	Nana01636-RA
OG0007381	ENSMUSG00000014763.8	Nana01642-RA
OG0007382	ENSMUSG00000014773.13	Nana01643-RA
OG0007383	ENSMUSG00000079707.10, ENSMUSG00000079710.10, ENSMUSG00000116780.1	Nana01646-RA
OG0007384	ENSMUSG00000021720.11	Nana12288-RA, Nana12289-RA
OG0007385	ENSMUSG00000021715.12	Nana12283-RA
OG0007386	ENSMUSG00000023942.15	Nana01379-RA, Nana01379-RB
OG0007387	ENSMUSG00000037089.11	Nana01376-RB, Nana01376-RA
OG0007388	ENSMUSG00000032842.13	Nana01412-RC, Nana01412-RB
OG0007389	ENSMUSG00000002017.10	Nana01415-RC, Nana01415-RB
OG0007390	ENSMUSG00000071042.12	Nana01417-RA
OG0007391	ENSMUSG00000024078.7	Nana01422-RA
OG0007392	ENSMUSG00000053916.4	Nana01438-RA
OG0007393	ENSMUSG00000024074.8	Nana01456-RA
OG0007394	ENSMUSG00000038936.13	Nana01485-RA
OG0007395	ENSMUSG00000036568.7	Nana01059-RA, Nana01059-RB
OG0007396	ENSMUSG00000016181.9	Nana01067-RA
OG0007397	ENSMUSG00000037395.15, ENSMUSG00000111452.1	Nana01083-RA
OG0007398	ENSMUSG00000026637.13, ENSMUSG00000111385.1	Nana01084-RA
OG0007399	ENSMUSG00000111723.1, ENSMUSG00000049353.17	Nana01087-RA
OG0007400	ENSMUSG00000110850.1, ENSMUSG00000037434.7	Nana01090-RA
OG0007401	ENSMUSG00000026623.16	Nana01098-RA
OG0007402	ENSMUSG00000026628.13	Nana01110-RB, Nana01110-RA
OG0007403	ENSMUSG00000026632.17	Nana01113-RB, Nana01113-RA
OG0007404	ENSMUSG00000037568.12	Nana01115-RB, Nana01115-RA
OG0007405	ENSMUSG00000026605.14	Nana01131-RA, Nana01130-RA
OG0007406	ENSMUSG00000026608.13	Nana01136-RA, Nana01136-RB
OG0007407	ENSMUSG00000026611.17	Nana01148-RA, Nana01150-RA
OG0007408	ENSMUSG00000039246.8	Nana01174-RA
OG0007409	ENSMUSG00000026615.14	Nana01178-RA, Nana01178-RB
OG0007410	ENSMUSG00000026617.16	Nana01179-RA
OG0007411	ENSMUSG00000026618.11	Nana01180-RB, Nana01180-RA
OG0007412	ENSMUSG00000026620.11	Nana01185-RB, Nana01185-RA
OG0007413	ENSMUSG00000039377.7	Nana01196-RB, Nana01196-RA
OG0007414	ENSMUSG00000053461.9	Nana01211-RA
OG0007415	ENSMUSG00000072258.10	Nana01212-RA
OG0007416	ENSMUSG00000042901.10	Nana01216-RA
OG0007417	ENSMUSG00000005233.16	Nana03455-RA
OG0007418	ENSMUSG00000041057.10	Nana01310-RA
OG0007419	ENSMUSG00000026496.11	Nana01274-RA
OG0007420	ENSMUSG00000027374.12	Nana00935-RA
OG0007421	ENSMUSG00000024246.9	Nana00927-RA
OG0007422	ENSMUSG00000054901.7	Nana00923-RA, Nana00923-RB
OG0007423	ENSMUSG00000035473.10	Nana00918-RA
OG0007424	ENSMUSG00000033068.16	Nana00910-RA
OG0007425	ENSMUSG00000005371.15	Nana00899-RB, Nana00899-RA
OG0007426	ENSMUSG00000034709.8	Nana00893-RA, Nana00895-RA
OG0007427	ENSMUSG00000020462.14	Nana00855-RA, Nana00855-RB
OG0007428	ENSMUSG00000020464.15	Nana00852-RA
OG0007429	ENSMUSG00000020311.17	Nana00876-RA, Nana00876-RB
OG0007432	ENSMUSG00000113951.1, ENSMUSG00000113489.1	Nana10447-RA
OG0007433	ENSMUSG00000026803.17	Nana36899-RB, Nana36899-RA, Nana37844-RA
OG0007435	ENSMUSG00000020801.8	Nana00636-RA
OG0007436	ENSMUSG00000001100.10	Nana00080-RA
OG0007437	ENSMUSG00000027954.9	Nana36040-RC, Nana36040-RD, Nana36040-RA, Nana36040-RB
OG0007438	ENSMUSG00000037278.9	Nana00376-RA
OG0007439	ENSMUSG00000024220.14	Nana14215-RA
OG0007440	ENSMUSG00000029546.12	Nana34482-RA
OG0007441	ENSMUSG00000032657.15	Nana36143-RA
OG0007443	ENSMUSG00000026879.14	Nana36466-RA, Nana36466-RB
OG0007445	ENSMUSG00000020454.17	Nana35495-RA, Nana35495-RB
OG0007447	ENSMUSG00000110900.1, ENSMUSG00000031848.15	Nana06076-RA
OG0007448	ENSMUSG00000014852.16	Nana36924-RA
OG0007449	ENSMUSG00000015790.16	Nana36918-RB, Nana36918-RC
OG0007450	ENSMUSG00000036160.13	Nana36916-RC
OG0007452	ENSMUSG00000031955.10	Nana31100-RA
OG0007453	ENSMUSG00000070394.10	Nana24345-RA
OG0007454	ENSMUSG00000028756.12	Nana37635-RJ, Nana37635-RG, Nana37635-RK, Nana37635-RB
OG0007455	ENSMUSG00000030790.15	Nana04536-RA, Nana04537-RA, Nana04535-RA
OG0007457	ENSMUSG00000020419.11	Nana34962-RA, Nana34962-RC, Nana34962-RB, Nana34962-RD
OG0007458	ENSMUSG00000034354.17	Nana34955-RA, Nana34955-RB, Nana34955-RC
OG0007461	ENSMUSG00000026851.9	Nana36844-RA, Nana36844-RB
OG0007463	ENSMUSG00000028952.12	Nana37589-RB, Nana37589-RC, Nana37589-RA
OG0007465	ENSMUSG00000008604.11	Nana35685-RA
OG0007472	ENSMUSG00000002393.14	Nana06634-RA
OG0007474	ENSMUSG00000020849.13	Nana00035-RA
OG0007475	ENSMUSG00000075593.10	Nana39182-RA
OG0007477	ENSMUSG00000025532.13	Nana00563-RB
OG0007479	ENSMUSG00000018923.13	Nana39634-RB, Nana39634-RA, Nana38730-RA
OG0007480	ENSMUSG00000024442.6	Nana15394-RA, Nana15395-RA
OG0007481	ENSMUSG00000042099.16	Nana06607-RA, Nana06607-RB
OG0007484	ENSMUSG00000030519.14	Nana32849-RA
OG0007486	ENSMUSG00000022085.4	Nana28218-RA, Nana28217-RA
OG0007487	ENSMUSG00000040028.10	Nana06545-RA
OG0007491	ENSMUSG00000043510.12	Nana34676-RA, Nana34676-RC, Nana34676-RB
OG0007492	ENSMUSG00000025899.14	Nana25206-RA, Nana25204-RA
OG0007493	ENSMUSG00000106918.3	Nana01321-RA
OG0007495	ENSMUSG00000016534.15	Nana32398-RC, Nana32398-RB, Nana32398-RA
OG0007497	ENSMUSG00000020059.9, ENSMUSG00000031125.2	Nana27396-RB
OG0007500	ENSMUSG00000046679.16	Nana28007-RC, Nana28007-RB, Nana28007-RA
OG0007502	ENSMUSG00000051339.10	Nana34707-RC, Nana34707-RB, Nana34707-RE
OG0007503	ENSMUSG00000035151.12	Nana18015-RA
OG0007505	ENSMUSG00000044017.16	Nana35326-RA, Nana35332-RA
OG0007508	ENSMUSG00000014313.15	Nana16671-RA
OG0007509	ENSMUSG00000055850.12, ENSMUSG00000102720.5	Nana28019-RA
OG0007510	ENSMUSG00000005951.13	Nana00144-RA
OG0007511	ENSMUSG00000001403.13	Nana13159-RA
OG0007513	ENSMUSG00000020485.14	Nana00586-RA
OG0007514	ENSMUSG00000032690.16, ENSMUSG00000032661.9	Nana34887-RA, Nana34887-RB
OG0007515	ENSMUSG00000000409.14	Nana29878-RA
OG0007516	ENSMUSG00000028416.12	Nana22691-RA
OG0007518	ENSMUSG00000024841.8	Nana35744-RA
OG0007520	ENSMUSG00000001016.12	Nana36160-RA, Nana36160-RB, Nana36160-RC
OG0007521	ENSMUSG00000044339.12	Nana34731-RB, Nana34731-RA
OG0007523	ENSMUSG00000037716.15	Nana32971-RA, Nana32967-RA
OG0007525	ENSMUSG00000022206.7	Nana12460-RB, Nana12460-RA, Nana12458-RA
OG0007527	ENSMUSG00000028167.15	Nana17816-RA
OG0007528	ENSMUSG00000036892.12	Nana23535-RE
OG0007529	ENSMUSG00000041617.10	Nana35553-RA, Nana35553-RC, Nana35553-RB
OG0007531	ENSMUSG00000066043.13	Nana30173-RA, Nana13514-RA, Nana30176-RA
OG0007532	ENSMUSG00000110906.1, ENSMUSG00000002910.11	Nana06034-RB, Nana06034-RC
OG0007533	ENSMUSG00000111826.1, ENSMUSG00000031834.15	Nana06025-RB
OG0007534	ENSMUSG00000042831.13, ENSMUSG00000019737.14	Nana30854-RC
OG0007536	ENSMUSG00000035048.13	Nana20117-RA
OG0007537	ENSMUSG00000032553.14	Nana20124-RB, Nana20124-RA
OG0007538	ENSMUSG00000079478.9, ENSMUSG00000118125.1	Nana35867-RF, Nana35867-RH, Nana35867-RG
OG0007539	ENSMUSG00000098615.4, ENSMUSG00000000325.16	Nana35242-RA
OG0007541	ENSMUSG00000079033.10	Nana33395-RA, Nana06254-RA, Nana12088-RA
OG0007542	ENSMUSG00000028637.16	Nana37620-RA
OG0007546	ENSMUSG00000074489.9, ENSMUSG00000074483.2, ENSMUSG00000074486.2	Nana35705-RA
OG0007581	ENSMUSG00000057858.8	Nana19628-RA
OG0007582	ENSMUSG00000040022.14	Nana19631-RA
OG0007583	ENSMUSG00000040901.8	Nana19645-RA
OG0007584	ENSMUSG00000041362.17	Nana19659-RA
OG0007585	ENSMUSG00000039047.17	Nana14760-RA
OG0007586	ENSMUSG00000048029.10	Nana19660-RA
OG0007587	ENSMUSG00000027099.9	Nana03358-RA
OG0007588	ENSMUSG00000025092.7	Nana19667-RA
OG0007589	ENSMUSG00000050332.7	Nana32056-RA, Nana32055-RA
OG0007590	ENSMUSG00000050368.4	Nana03365-RA
OG0007591	ENSMUSG00000047013.15	Nana17307-RA
OG0007592	ENSMUSG00000042499.13	Nana03366-RA
OG0007593	ENSMUSG00000055128.15	Nana05898-RA
OG0007594	ENSMUSG00000009207.15	Nana03372-RA
OG0007595	ENSMUSG00000116181.1, ENSMUSG00000051435.11	Nana37642-RA
OG0007597	ENSMUSG00000042672.15	Nana39917-RA
OG0007598	ENSMUSG00000025089.15	Nana19674-RA
OG0007599	ENSMUSG00000031283.16	Nana32092-RA
OG0007601	ENSMUSG00000035403.10	Nana36500-RA
OG0007602	ENSMUSG00000002980.14	Nana30973-RA
OG0007603	ENSMUSG00000035382.9	Nana29027-RA
OG0007604	ENSMUSG00000025085.16	Nana19689-RA
OG0007605	ENSMUSG00000000282.12	Nana00382-RA
OG0007606	ENSMUSG00000040631.8	Nana31107-RA
OG0007607	ENSMUSG00000059288.14	Nana15777-RA
OG0007608	ENSMUSG00000027469.16	Nana13255-RA
OG0007609	ENSMUSG00000030513.14	Nana33372-RA
OG0007610	ENSMUSG00000030871.11	Nana33763-RA
OG0007611	ENSMUSG00000032816.15	Nana33439-RA
OG0007612	ENSMUSG00000054889.10	Nana15799-RA
OG0007613	ENSMUSG00000035045.17	Nana32069-RB
OG0007614	ENSMUSG00000032478.14	Nana27911-RA
OG0007615	ENSMUSG00000035062.13	Nana32066-RA
OG0007616	ENSMUSG00000033629.6	Nana33510-RA
OG0007617	ENSMUSG00000039004.6	Nana15801-RA
OG0007618	ENSMUSG00000039873.4	Nana13144-RA
OG0007619	ENSMUSG00000003299.10	Nana10762-RA
OG0007620	ENSMUSG00000049532.11	Nana24085-RA, Nana39737-RA
OG0007621	ENSMUSG00000059013.12	Nana36567-RA
OG0007622	ENSMUSG00000038982.10	Nana15803-RA
OG0007623	ENSMUSG00000032911.6	Nana32907-RA
OG0007624	ENSMUSG00000049556.5	Nana32924-RA
OG0007625	ENSMUSG00000034761.15	Nana05942-RA
OG0007626	ENSMUSG00000056204.8	Nana06078-RA
OG0007628	ENSMUSG00000021806.4	Nana05913-RA
OG0007629	ENSMUSG00000021359.16	Nana15812-RA
OG0007631	ENSMUSG00000015087.14	Nana36734-RB
OG0007632	ENSMUSG00000074305.9	Nana32928-RA
OG0007633	ENSMUSG00000079588.3	Nana26129-RA
OG0007634	ENSMUSG00000048701.13	Nana18852-RA
OG0007635	ENSMUSG00000021363.14	Nana15815-RA
OG0007636	ENSMUSG00000041945.12	Nana26127-RA
OG0007637	ENSMUSG00000026062.12	Nana26125-RA
OG0007638	ENSMUSG00000021362.7	Nana15816-RA
OG0007639	ENSMUSG00000032322.14	Nana32932-RA
OG0007640	ENSMUSG00000038651.15	Nana15817-RA
OG0007641	ENSMUSG00000026070.15	Nana26122-RA
OG0007642	ENSMUSG00000021364.16	Nana15818-RA
OG0007643	ENSMUSG00000054894.6	Nana05944-RA
OG0007644	ENSMUSG00000021365.15	Nana15821-RA
OG0007645	ENSMUSG00000037747.9	Nana18857-RA
OG0007646	ENSMUSG00000087370.3	Nana15823-RA
OG0007647	ENSMUSG00000000359.3	Nana13263-RA
OG0007648	ENSMUSG00000014329.14	Nana18861-RA
OG0007649	ENSMUSG00000047230.6	Nana32721-RA
OG0007650	ENSMUSG00000034801.13	Nana05947-RA
OG0007651	ENSMUSG00000030123.15	Nana08239-RA
OG0007652	ENSMUSG00000021367.8	Nana15828-RA
OG0007653	ENSMUSG00000020826.9	Nana00373-RA
OG0007654	ENSMUSG00000026074.15	Nana26113-RA
OG0007655	ENSMUSG00000041303.7	Nana03224-RB
OG0007656	ENSMUSG00000066197.5	Nana34183-RA
OG0007657	ENSMUSG00000031491.10	Nana11299-RA
OG0007658	ENSMUSG00000031492.13	Nana11301-RA
OG0007659	ENSMUSG00000030321.15	Nana08235-RA
OG0007660	ENSMUSG00000079502.8	Nana04515-RA
OG0007662	ENSMUSG00000046152.16	Nana11311-RA
OG0007663	ENSMUSG00000030298.10	Nana08232-RA
OG0007664	ENSMUSG00000047945.6	Nana29881-RA
OG0007665	ENSMUSG00000028072.6	Nana36335-RA
OG0007666	ENSMUSG00000033933.13	Nana08229-RA
OG0007667	ENSMUSG00000047259.3	Nana15703-RA
OG0007668	ENSMUSG00000030257.16	Nana08223-RA
OG0007669	ENSMUSG00000022195.7	Nana15701-RA
OG0007670	ENSMUSG00000028798.16	Nana29875-RA
OG0007671	ENSMUSG00000028073.15	Nana36336-RC, Nana36336-RB
OG0007672	ENSMUSG00000026885.13	Nana36775-RA
OG0007673	ENSMUSG00000034930.16	Nana17510-RA
OG0007674	ENSMUSG00000028975.16	Nana37525-RA
OG0007675	ENSMUSG00000027316.15	Nana39915-RA
OG0007676	ENSMUSG00000024927.8	Nana35912-RA
OG0007677	ENSMUSG00000078716.10	Nana12872-RA
OG0007679	ENSMUSG00000040795.12	Nana29843-RA
OG0007680	ENSMUSG00000030254.16	Nana08221-RA
OG0007681	ENSMUSG00000028795.15	Nana29842-RA
OG0007682	ENSMUSG00000049112.9	Nana08219-RA
OG0007683	ENSMUSG00000053841.15	Nana29841-RA
OG0007684	ENSMUSG00000036186.5	Nana37047-RA
OG0007685	ENSMUSG00000025650.13	Nana08337-RA, Nana02314-RA
OG0007686	ENSMUSG00000027309.18	Nana17322-RA
OG0007687	ENSMUSG00000032363.15	Nana33586-RA
OG0007688	ENSMUSG00000047824.13	Nana36058-RA, Nana36057-RA
OG0007689	ENSMUSG00000028990.13	Nana37511-RA
OG0007690	ENSMUSG00000032381.5	Nana33588-RA
OG0007691	ENSMUSG00000033396.13	Nana33589-RA
OG0007692	ENSMUSG00000025474.9	Nana05994-RA
OG0007693	ENSMUSG00000038876.12	Nana01994-RA
OG0007694	ENSMUSG00000038612.16	Nana36289-RA
OG0007695	ENSMUSG00000005774.12	Nana36287-RA, Nana36287-RB
OG0007696	ENSMUSG00000025978.14	Nana03214-RA
OG0007697	ENSMUSG00000050188.8	Nana29756-RA
OG0007698	ENSMUSG00000036030.9	Nana32754-RB
OG0007699	ENSMUSG00000022203.7	Nana15822-RA, Nana39470-RA
OG0007700	ENSMUSG00000054675.5	Nana34742-RA
OG0007701	ENSMUSG00000041025.15, ENSMUSG00000094439.1	Nana37214-RA
OG0007702	ENSMUSG00000010154.7	Nana31815-RA
OG0007703	ENSMUSG00000043496.7	Nana21891-RA
OG0007704	ENSMUSG00000015085.8	Nana36760-RA
OG0007705	ENSMUSG00000040220.10	Nana31821-RA
OG0007706	ENSMUSG00000063568.11	Nana21882-RA
OG0007707	ENSMUSG00000031214.13	Nana31917-RA
OG0007708	ENSMUSG00000072662.2	Nana29429-RA
OG0007709	ENSMUSG00000040112.9	Nana29431-RA
OG0007711	ENSMUSG00000044206.3	Nana31897-RA
OG0007712	ENSMUSG00000003031.14	Nana29438-RA
OG0007716	ENSMUSG00000059182.7	Nana21824-RA
OG0007717	ENSMUSG00000040936.15	Nana22240-RA
OG0007718	ENSMUSG00000032532.7	Nana22247-RA
OG0007719	ENSMUSG00000044791.16	Nana21101-RA
OG0007720	ENSMUSG00000042096.15	Nana34733-RA
OG0007721	ENSMUSG00000037364.12	Nana38905-RA, Nana38905-RB
OG0007722	ENSMUSG00000029994.17	Nana28072-RA
OG0007724	ENSMUSG00000047250.13	Nana36484-RA
OG0007725	ENSMUSG00000028654.13	Nana29762-RA
OG0007726	ENSMUSG00000027628.10	Nana13772-RA
OG0007727	ENSMUSG00000020131.14	Nana06539-RA
OG0007729	ENSMUSG00000041912.12	Nana36264-RA
OG0007730	ENSMUSG00000029175.17	Nana00722-RA, Nana00722-RB
OG0007731	ENSMUSG00000032400.18	Nana33540-RA
OG0007732	ENSMUSG00000028651.12	Nana29771-RA
OG0007733	ENSMUSG00000055799.13	Nana28497-RA
OG0007734	ENSMUSG00000033720.12	Nana17487-RA
OG0007735	ENSMUSG00000036867.7	Nana33544-RA
OG0007736	ENSMUSG00000017868.16	Nana13761-RA
OG0007737	ENSMUSG00000029108.14	Nana18546-RA
OG0007738	ENSMUSG00000017861.11	Nana13756-RA
OG0007739	ENSMUSG00000037801.13	Nana33554-RA
OG0007741	ENSMUSG00000020553.8	Nana09969-RA
OG0007742	ENSMUSG00000006517.5	Nana31765-RA
OG0007743	ENSMUSG00000028789.16	Nana29812-RA
OG0007744	ENSMUSG00000014470.4	Nana31768-RA
OG0007745	ENSMUSG00000032245.12	Nana33565-RA
OG0007746	ENSMUSG00000049482.16	Nana31769-RA
OG0007747	ENSMUSG00000032244.9	Nana33566-RA
OG0007750	ENSMUSG00000031858.16	Nana06241-RA
OG0007751	ENSMUSG00000074364.6	Nana30718-RA
OG0007752	ENSMUSG00000044465.19	Nana25621-RA
OG0007753	ENSMUSG00000015711.8	Nana36305-RA
OG0007756	ENSMUSG00000036639.12	Nana34433-RA
OG0007757	ENSMUSG00000030000.10	Nana28003-RA
OG0007760	ENSMUSG00000026805.14	Nana37121-RA
OG0007761	ENSMUSG00000054342.8	Nana30510-RB
OG0007762	ENSMUSG00000018040.9	Nana27196-RA
OG0007763	ENSMUSG00000020692.14	Nana00156-RA
OG0007764	ENSMUSG00000036306.13	Nana28465-RA
OG0007765	ENSMUSG00000041815.14	Nana27194-RA
OG0007766	ENSMUSG00000033965.10	Nana31974-RA
OG0007767	ENSMUSG00000040420.15	Nana15652-RA
OG0007768	ENSMUSG00000037326.10	Nana34010-RA
OG0007769	ENSMUSG00000046449.15	Nana31979-RA
OG0007770	ENSMUSG00000031578.5	Nana28458-RA
OG0007771	ENSMUSG00000030706.17	Nana25512-RA
OG0007772	ENSMUSG00000025963.5	Nana03102-RA
OG0007773	ENSMUSG00000025964.15	Nana03105-RA
OG0007775	ENSMUSG00000027520.15	Nana03108-RA
OG0007776	ENSMUSG00000037674.15	Nana32759-RA
OG0007777	ENSMUSG00000023571.4	Nana37429-RA
OG0007778	ENSMUSG00000021217.7	Nana31400-RA
OG0007779	ENSMUSG00000043456.17	Nana31411-RA
OG0007780	ENSMUSG00000037166.5	Nana30955-RA, Nana30955-RB
OG0007781	ENSMUSG00000002068.16	Nana31418-RA
OG0007782	ENSMUSG00000037139.15	Nana30031-RA
OG0007784	ENSMUSG00000062585.11	Nana30025-RA
OG0007785	ENSMUSG00000106685.3, ENSMUSG00000032946.16	Nana35849-RA
OG0007786	ENSMUSG00000042650.3	Nana34531-RD
OG0007787	ENSMUSG00000028673.10	Nana30023-RA
OG0007788	ENSMUSG00000048400.13	Nana31033-RD, Nana31033-RF, Nana31033-RE
OG0007790	ENSMUSG00000025969.15	Nana03123-RA
OG0007792	ENSMUSG00000025956.10	Nana03097-RA
OG0007793	ENSMUSG00000025105.10	Nana33241-RA
OG0007794	ENSMUSG00000052062.14	Nana03133-RA
OG0007795	ENSMUSG00000029005.4	Nana37138-RA
OG0007796	ENSMUSG00000020412.16	Nana34953-RA
OG0007797	ENSMUSG00000038323.3	Nana03200-RA
OG0007798	ENSMUSG00000042846.8	Nana19130-RA
OG0007799	ENSMUSG00000026014.15	Nana03151-RA
OG0007800	ENSMUSG00000026544.6	Nana35935-RA
OG0007801	ENSMUSG00000026782.15	Nana03153-RA
OG0007802	ENSMUSG00000024776.18	Nana19299-RA
OG0007803	ENSMUSG00000036764.12	Nana19136-RA
OG0007804	ENSMUSG00000053198.14	Nana30946-RA
OG0007805	ENSMUSG00000024868.8	Nana19266-RA
OG0007806	ENSMUSG00000029016.13	Nana37184-RA
OG0007807	ENSMUSG00000024774.16	Nana19298-RA
OG0007808	ENSMUSG00000034739.17	Nana28840-RA
OG0007809	ENSMUSG00000028668.5	Nana30017-RA
OG0007810	ENSMUSG00000043843.17	Nana30647-RB, Nana30647-RA
OG0007811	ENSMUSG00000052613.16	Nana19262-RA
OG0007812	ENSMUSG00000040867.13	Nana05673-RA
OG0007813	ENSMUSG00000038085.13	Nana03161-RA
OG0007814	ENSMUSG00000009670.11	Nana32660-RA
OG0007815	ENSMUSG00000026019.15	Nana03162-RA
OG0007816	ENSMUSG00000046321.8	Nana33751-RA
OG0007817	ENSMUSG00000048856.9	Nana05670-RA
OG0007818	ENSMUSG00000020070.18	Nana19143-RA
OG0007819	ENSMUSG00000041040.12	Nana03164-RA
OG0007820	ENSMUSG00000028030.12	Nana17838-RA
OG0007821	ENSMUSG00000067336.6	Nana03166-RA
OG0007822	ENSMUSG00000040998.18	Nana17834-RA
OG0007823	ENSMUSG00000028018.15	Nana17833-RA
OG0007824	ENSMUSG00000058070.14	Nana05658-RA
OG0007825	ENSMUSG00000071253.8	Nana19144-RA
OG0007826	ENSMUSG00000028016.9	Nana17831-RA
OG0007827	ENSMUSG00000026020.9	Nana03169-RA
OG0007828	ENSMUSG00000024896.9	Nana19272-RA
OG0007829	ENSMUSG00000040969.14	Nana17830-RA
OG0007830	ENSMUSG00000030554.16	Nana33507-RA
OG0007832	ENSMUSG00000030556.13	Nana33399-RA
OG0007833	ENSMUSG00000037541.21	Nana04766-RA
OG0007834	ENSMUSG00000044976.17	Nana32741-RA
OG0007835	ENSMUSG00000021260.8	Nana05635-RA
OG0007836	ENSMUSG00000036955.16	Nana19157-RA
OG0007837	ENSMUSG00000021258.10	Nana05630-RA
OG0007838	ENSMUSG00000020387.15	Nana08926-RA
OG0007839	ENSMUSG00000024132.6	Nana34605-RA
OG0007840	ENSMUSG00000027180.12	Nana04775-RA
OG0007841	ENSMUSG00000053091.16	Nana33384-RA
OG0007842	ENSMUSG00000032698.15	Nana04776-RA
OG0007843	ENSMUSG00000030509.17	Nana33383-RA
OG0007844	ENSMUSG00000040972.8	Nana37226-RA
OG0007845	ENSMUSG00000036391.16	Nana08923-RA
OG0007846	ENSMUSG00000017307.16	Nana13152-RA
OG0007847	ENSMUSG00000004054.9	Nana35863-RA, Nana35864-RB, Nana35864-RA
OG0007848	ENSMUSG00000068966.10	Nana37017-RA
OG0007849	ENSMUSG00000029998.14	Nana28010-RA
OG0007851	ENSMUSG00000021501.4	Nana08921-RA
OG0007852	ENSMUSG00000001039.12	Nana34546-RA
OG0007853	ENSMUSG00000026969.3	Nana36727-RA, Nana36727-RB
OG0007854	ENSMUSG00000001763.14	Nana27860-RB
OG0007855	ENSMUSG00000032295.15	Nana32952-RA
OG0007856	ENSMUSG00000035569.17	Nana31795-RA
OG0007857	ENSMUSG00000048904.5	Nana08905-RA
OG0007858	ENSMUSG00000021508.11	Nana08904-RA
OG0007859	ENSMUSG00000021509.5	Nana08902-RA
OG0007860	ENSMUSG00000035493.10	Nana08900-RA
OG0007863	ENSMUSG00000019278.5	Nana31810-RA
OG0007864	ENSMUSG00000010911.12	Nana04787-RA
OG0007865	ENSMUSG00000021018.8	Nana20733-RA
OG0007866	ENSMUSG00000037972.7	Nana34592-RA
OG0007867	ENSMUSG00000029711.13	Nana20734-RA
OG0007868	ENSMUSG00000042787.15	Nana21203-RA
OG0007869	ENSMUSG00000061393.14	Nana21204-RA
OG0007871	ENSMUSG00000028822.11	Nana30064-RB, Nana30064-RA
OG0007872	ENSMUSG00000039783.15	Nana02967-RA
OG0007873	ENSMUSG00000057506.5	Nana19117-RB
OG0007874	ENSMUSG00000034206.15	Nana11018-RA
OG0007876	ENSMUSG00000079550.9	Nana03179-RA
OG0007877	ENSMUSG00000037578.4	Nana19116-RA
OG0007878	ENSMUSG00000054263.12	Nana12418-RA
OG0007879	ENSMUSG00000038079.14	Nana03180-RA
OG0007880	ENSMUSG00000022816.11	Nana11011-RA
OG0007881	ENSMUSG00000042961.13	Nana12419-RA
OG0007882	ENSMUSG00000036961.5	Nana19113-RA
OG0007883	ENSMUSG00000027070.14	Nana03452-RA
OG0007884	ENSMUSG00000034158.9	Nana11009-RA
OG0007885	ENSMUSG00000025738.8	Nana33969-RA
OG0007886	ENSMUSG00000022034.10	Nana38750-RA
OG0007887	ENSMUSG00000046961.8	Nana11008-RA
OG0007888	ENSMUSG00000026028.12	Nana03185-RA
OG0007890	ENSMUSG00000039828.7	Nana12422-RA
OG0007891	ENSMUSG00000014453.4	Nana00799-RA
OG0007892	ENSMUSG00000040548.16	Nana09869-RA
OG0007893	ENSMUSG00000031139.15	Nana32552-RA
OG0007894	ENSMUSG00000022142.8	Nana12424-RA
OG0007895	ENSMUSG00000020715.9	Nana09870-RA
OG0007896	ENSMUSG00000031138.4	Nana32556-RA
OG0007897	ENSMUSG00000034807.9	Nana10467-RA
OG0007898	ENSMUSG00000066640.11	Nana34356-RA
OG0007899	ENSMUSG00000057667.7	Nana30680-RA
OG0007901	ENSMUSG00000039099.7	Nana33300-RB, Nana33300-RA
OG0007902	ENSMUSG00000039313.14	Nana33297-RA
OG0007903	ENSMUSG00000031169.13	Nana10557-RA
