Orthogroup	M_musculus.pep	A_carolinensis.pep
OG0005563	ENSMUSG00000116076.1, ENSMUSG00000022358.7	ENSACAG00000009711.3
OG0005564	ENSMUSG00000039068.16	ENSACAG00000006005.3
OG0005565	ENSMUSG00000028544.14	ENSACAG00000005693.3
OG0005566	ENSMUSG00000001604.14	ENSACAG00000005034.2
OG0005567	ENSMUSG00000022360.8, ENSMUSG00000116053.1	ENSACAG00000009618.3
OG0005568	ENSMUSG00000028719.8	ENSACAG00000005891.3
OG0005569	ENSMUSG00000001672.14	ENSACAG00000012011.3
OG0005570	ENSMUSG00000069495.12	ENSACAG00000003345.3
OG0005571	ENSMUSG00000041308.6	ENSACAG00000003209.3
OG0005572	ENSMUSG00000031917.12	ENSACAG00000003476.3
OG0005573	ENSMUSG00000028036.6	ENSACAG00000006527.3
OG0005574	ENSMUSG00000031665.7	ENSACAG00000014399.2
OG0005575	ENSMUSG00000036745.15	ENSACAG00000005860.3
OG0005576	ENSMUSG00000033411.16	ENSACAG00000013661.3
OG0005578	ENSMUSG00000041986.16	ENSACAG00000006298.3
OG0005579	ENSMUSG00000022340.15	ENSACAG00000002527.3
OG0005580	ENSMUSG00000019715.14	ENSACAG00000008564.2
OG0005581	ENSMUSG00000022339.9	ENSACAG00000002489.3
OG0005582	ENSMUSG00000032030.16	ENSACAG00000006115.3
OG0005583	ENSMUSG00000039953.13	ENSACAG00000013206.2
OG0005584	ENSMUSG00000028187.10	ENSACAG00000005753.2
OG0005585	ENSMUSG00000028188.13	ENSACAG00000029579.1
OG0005586	ENSMUSG00000028189.12	ENSACAG00000005676.3
OG0005587	ENSMUSG00000022337.7	ENSACAG00000010310.3
OG0005588	ENSMUSG00000045333.15	ENSACAG00000013803.3
OG0005589	ENSMUSG00000020537.9	ENSACAG00000009705.3
OG0005590	ENSMUSG00000028914.13	ENSACAG00000015969.3
OG0005591	ENSMUSG00000033837.5	ENSACAG00000022090.1
OG0005592	ENSMUSG00000034917.8	ENSACAG00000017655.3
OG0005593	ENSMUSG00000027202.12	ENSACAG00000004898.3, ENSACAG00000028209.2
OG0005594	ENSMUSG00000027203.15	ENSACAG00000005059.3
OG0005595	ENSMUSG00000026999.14	ENSACAG00000008692.3
OG0005596	ENSMUSG00000000538.18	ENSACAG00000023682.2, ENSACAG00000009893.3
OG0005597	ENSMUSG00000036853.5	ENSACAG00000012969.1
OG0005598	ENSMUSG00000036863.12	ENSACAG00000013112.3
OG0005599	ENSMUSG00000020647.10	ENSACAG00000000619.3
OG0005600	ENSMUSG00000042895.6	ENSACAG00000009983.3
OG0005601	ENSMUSG00000017412.15	ENSACAG00000012454.3
OG0005602	ENSMUSG00000022307.16	ENSACAG00000009882.3
OG0005603	ENSMUSG00000020196.10	ENSACAG00000008659.2
OG0005604	ENSMUSG00000078762.10	ENSACAG00000023890.2
OG0005605	ENSMUSG00000074182.8	ENSACAG00000013213.3
OG0005606	ENSMUSG00000043535.13	ENSACAG00000014325.3
OG0005607	ENSMUSG00000030522.14	ENSACAG00000002710.3
OG0005608	ENSMUSG00000030278.11	ENSACAG00000008803.3
OG0005609	ENSMUSG00000021972.14	ENSACAG00000010160.3
OG0005610	ENSMUSG00000013418.8	ENSACAG00000011117.2, ENSACAG00000006165.3, ENSACAG00000005268.2
OG0005611	ENSMUSG00000075600.3	ENSACAG00000025310.1
OG0005612	ENSMUSG00000030523.18	ENSACAG00000002770.3
OG0005613	ENSMUSG00000020745.15	ENSACAG00000006706.3
OG0005614	ENSMUSG00000026812.16	ENSACAG00000004026.3
OG0005615	ENSMUSG00000051790.15	ENSACAG00000005579.3
OG0005616	ENSMUSG00000050721.9	ENSACAG00000007673.2
OG0005617	ENSMUSG00000032226.5	ENSACAG00000003159.2
OG0005618	ENSMUSG00000031112.10	ENSACAG00000009341.3
OG0005619	ENSMUSG00000059820.14	ENSACAG00000015430.2
OG0005620	ENSMUSG00000001227.12	ENSACAG00000008345.3
OG0005621	ENSMUSG00000106903.3, ENSMUSG00000022300.10	ENSACAG00000009465.3
OG0005622	ENSMUSG00000000168.9	ENSACAG00000022510.2
OG0005623	ENSMUSG00000020405.4	ENSACAG00000003260.3
OG0005624	ENSMUSG00000028832.11	ENSACAG00000017813.3
OG0005625	ENSMUSG00000020492.11	ENSACAG00000011403.2
OG0005626	ENSMUSG00000036131.12	ENSACAG00000014721.2
OG0005627	ENSMUSG00000054196.7, ENSMUSG00000106929.3	ENSACAG00000009420.3
OG0005628	ENSMUSG00000041445.9	ENSACAG00000014748.3
OG0005629	ENSMUSG00000055065.7	ENSACAG00000008158.3
OG0005630	ENSMUSG00000107137.5, ENSMUSG00000022297.15	ENSACAG00000009364.3
OG0005631	ENSMUSG00000024223.3	ENSACAG00000017112.3, ENSACAG00000016889.2
OG0005632	ENSMUSG00000041143.16	ENSACAG00000008736.1
OG0005633	ENSMUSG00000022295.8, ENSMUSG00000116394.1	ENSACAG00000009273.3
OG0005634	ENSMUSG00000028747.10	ENSACAG00000008741.3
OG0005635	ENSMUSG00000032235.15	ENSACAG00000022633.2
OG0005636	ENSMUSG00000028834.13	ENSACAG00000017791.3
OG0005637	ENSMUSG00000027381.16	ENSACAG00000029631.1
OG0005638	ENSMUSG00000050890.15	ENSACAG00000017790.3
OG0005639	ENSMUSG00000029028.14	ENSACAG00000008267.2
OG0005640	ENSMUSG00000025857.10	ENSACAG00000000726.2
OG0005641	ENSMUSG00000062345.10	ENSACAG00000024865.2
OG0005642	ENSMUSG00000030127.15	ENSACAG00000006014.3
OG0005643	ENSMUSG00000020544.14	ENSACAG00000017410.3
OG0005644	ENSMUSG00000039202.12	ENSACAG00000000736.3
OG0005645	ENSMUSG00000025858.12	ENSACAG00000001063.1
OG0005646	ENSMUSG00000039546.9	ENSACAG00000008150.3
OG0005647	ENSMUSG00000037443.13	ENSACAG00000017774.3
OG0005648	ENSMUSG00000039577.17	ENSACAG00000008026.3
OG0005649	ENSMUSG00000045053.2	ENSACAG00000014457.2
OG0005650	ENSMUSG00000034951.10	ENSACAG00000013569.2
OG0005651	ENSMUSG00000050966.9	ENSACAG00000017764.3
OG0005652	ENSMUSG00000030873.9	ENSACAG00000000508.3
OG0005653	ENSMUSG00000039176.17	ENSACAG00000001190.3
OG0005654	ENSMUSG00000020430.12	ENSACAG00000009723.3
OG0005655	ENSMUSG00000020432.12	ENSACAG00000009765.3
OG0005656	ENSMUSG00000038429.10	ENSACAG00000005682.3
OG0005657	ENSMUSG00000050732.9, ENSMUSG00000103205.1	ENSACAG00000007491.2
OG0005658	ENSMUSG00000024251.10	ENSACAG00000014758.3
OG0005659	ENSMUSG00000038372.14	ENSACAG00000005445.3
OG0005660	ENSMUSG00000027104.18	ENSACAG00000011326.3
OG0005661	ENSMUSG00000079484.12	ENSACAG00000023109.1
OG0005662	ENSMUSG00000031557.16	ENSACAG00000008943.3, ENSACAG00000024624.2
OG0005663	ENSMUSG00000001741.12	ENSACAG00000011259.3
OG0005664	ENSMUSG00000027107.3	ENSACAG00000005293.3
OG0005665	ENSMUSG00000025579.14	ENSACAG00000011273.3, ENSACAG00000015793.2
OG0005666	ENSMUSG00000011154.17	ENSACAG00000011399.3
OG0005667	ENSMUSG00000004263.15, ENSMUSG00000107478.1	ENSACAG00000005441.3
OG0005668	ENSMUSG00000028369.15	ENSACAG00000013043.3
OG0005669	ENSMUSG00000075702.9	ENSACAG00000010104.2
OG0005670	ENSMUSG00000042444.10	ENSACAG00000015045.3
OG0005671	ENSMUSG00000029547.10	ENSACAG00000011083.3
OG0005672	ENSMUSG00000068101.11	ENSACAG00000004138.2, ENSACAG00000028787.1
OG0005673	ENSMUSG00000008226.14	ENSACAG00000005474.3
OG0005674	ENSMUSG00000010392.8	ENSACAG00000011526.1
OG0005675	ENSMUSG00000041777.12	ENSACAG00000005518.3
OG0005676	ENSMUSG00000024127.15	ENSACAG00000015536.3
OG0005677	ENSMUSG00000035640.18	ENSACAG00000013968.3
OG0005678	ENSMUSG00000039515.11	ENSACAG00000011425.3
OG0005679	ENSMUSG00000003068.16	ENSACAG00000013986.3
OG0005680	ENSMUSG00000026856.14	ENSACAG00000017227.3
OG0005681	ENSMUSG00000007080.14	ENSACAG00000010305.3
OG0005682	ENSMUSG00000044626.13	ENSACAG00000000386.3
OG0005683	ENSMUSG00000032940.16	ENSACAG00000000550.3
OG0005684	ENSMUSG00000111113.1, ENSMUSG00000043811.5	ENSACAG00000023669.2
OG0005685	ENSMUSG00000032855.6	ENSACAG00000009016.3, ENSACAG00000007082.2, ENSACAG00000024007.2
OG0005686	ENSMUSG00000043059.16	ENSACAG00000023340.1
OG0005687	ENSMUSG00000045039.9	ENSACAG00000007998.3
OG0005688	ENSMUSG00000023176.9	ENSACAG00000004119.3
OG0005689	ENSMUSG00000039852.17	ENSACAG00000008679.3
OG0005690	ENSMUSG00000034157.12	ENSACAG00000027557.1
OG0005691	ENSMUSG00000032815.16	ENSACAG00000009377.3, ENSACAG00000008124.3
OG0005692	ENSMUSG00000003549.9	ENSACAG00000015512.2, ENSACAG00000014643.3
OG0005693	ENSMUSG00000047434.14	ENSACAG00000004325.2
OG0005694	ENSMUSG00000023868.17	ENSACAG00000003277.2
OG0005695	ENSMUSG00000035517.17	ENSACAG00000001003.3
OG0005696	ENSMUSG00000027082.15	ENSACAG00000001082.3
OG0005697	ENSMUSG00000036078.16	ENSACAG00000006081.2
OG0005698	ENSMUSG00000036800.8	ENSACAG00000012115.3
OG0005699	ENSMUSG00000022756.17	ENSACAG00000010726.3
OG0005700	ENSMUSG00000056870.9	ENSACAG00000015515.3
OG0005701	ENSMUSG00000040550.17	ENSACAG00000003212.3
OG0005702	ENSMUSG00000022758.14	ENSACAG00000010764.3
OG0005703	ENSMUSG00000031538.6	ENSACAG00000012620.2
OG0005704	ENSMUSG00000022494.15	ENSACAG00000023924.2
OG0005705	ENSMUSG00000022550.18	ENSACAG00000009746.3
OG0005706	ENSMUSG00000055963.12	ENSACAG00000003437.3
OG0005707	ENSMUSG00000031537.15	ENSACAG00000012776.3
OG0005708	ENSMUSG00000028796.17	ENSACAG00000004241.2
OG0005709	ENSMUSG00000026941.16	ENSACAG00000011229.3
OG0005710	ENSMUSG00000079605.5, ENSMUSG00000117819.1	ENSACAG00000011285.2
OG0005711	ENSMUSG00000039157.12	ENSACAG00000015041.2
OG0005712	ENSMUSG00000044542.3	ENSACAG00000013751.3
OG0005713	ENSMUSG00000017405.14	ENSACAG00000026012.2
OG0005714	ENSMUSG00000058239.13	ENSACAG00000010293.3
OG0005715	ENSMUSG00000032340.8	ENSACAG00000006920.3
OG0005716	ENSMUSG00000078773.11	ENSACAG00000003671.3
OG0005717	ENSMUSG00000029859.6	ENSACAG00000007222.3
OG0005718	ENSMUSG00000048497.11, ENSMUSG00000061273.3	ENSACAG00000012693.3
OG0005719	ENSMUSG00000040720.15	ENSACAG00000003733.2
OG0005720	ENSMUSG00000065990.12	ENSACAG00000009058.2
OG0005721	ENSMUSG00000039678.12	ENSACAG00000000011.3
OG0005722	ENSMUSG00000023074.11	ENSACAG00000012803.3
OG0005723	ENSMUSG00000040728.15	ENSACAG00000003748.2
OG0005724	ENSMUSG00000107482.2, ENSMUSG00000004610.4	ENSACAG00000010410.3
OG0005725	ENSMUSG00000013523.13	ENSACAG00000012671.3
OG0005726	ENSMUSG00000057880.12	ENSACAG00000006846.3
OG0005727	ENSMUSG00000029066.12	ENSACAG00000009143.2
OG0005728	ENSMUSG00000047907.11	ENSACAG00000012691.2
OG0005729	ENSMUSG00000025630.8	ENSACAG00000006525.3
OG0005730	ENSMUSG00000029860.16	ENSACAG00000007180.3
OG0005731	ENSMUSG00000025873.16	ENSACAG00000006247.2
OG0005732	ENSMUSG00000025626.16	ENSACAG00000006530.3
OG0005733	ENSMUSG00000047547.14	ENSACAG00000006285.2
OG0005734	ENSMUSG00000033427.14	ENSACAG00000003242.3
OG0005735	ENSMUSG00000022095.9	ENSACAG00000000624.3
OG0005736	ENSMUSG00000029862.16	ENSACAG00000006998.3
OG0005737	ENSMUSG00000025869.11	ENSACAG00000006333.2
OG0005738	ENSMUSG00000003660.10	ENSACAG00000000434.3
OG0005739	ENSMUSG00000027544.16	ENSACAG00000013075.3
OG0005740	ENSMUSG00000031311.17	ENSACAG00000015026.1
OG0005741	ENSMUSG00000025872.5	ENSACAG00000006449.3
OG0005742	ENSMUSG00000078919.10, ENSMUSG00000093752.1	ENSACAG00000003927.3
OG0005743	ENSMUSG00000051149.15	ENSACAG00000023616.1
OG0005744	ENSMUSG00000018425.18	ENSACAG00000012418.3
OG0005745	ENSMUSG00000078517.12	ENSACAG00000024425.2
OG0005746	ENSMUSG00000021519.11	ENSACAG00000004143.3
OG0005747	ENSMUSG00000041958.10	ENSACAG00000012235.3
OG0005748	ENSMUSG00000017344.4	ENSACAG00000011935.2
OG0005749	ENSMUSG00000051232.13	ENSACAG00000011872.3
OG0005750	ENSMUSG00000022387.17	ENSACAG00000009136.3
OG0005751	ENSMUSG00000024176.10	ENSACAG00000006111.3
OG0005752	ENSMUSG00000034248.7	ENSACAG00000012023.2
OG0005753	ENSMUSG00000038290.15	ENSACAG00000011783.3
OG0005754	ENSMUSG00000035845.17	ENSACAG00000009086.3
OG0005755	ENSMUSG00000029524.16	ENSACAG00000002657.3
OG0005756	ENSMUSG00000075705.12	ENSACAG00000005434.2
OG0005757	ENSMUSG00000041740.16	ENSACAG00000002995.2
OG0005758	ENSMUSG00000048578.11	ENSACAG00000003140.2
OG0005759	ENSMUSG00000034412.13	ENSACAG00000003325.3
OG0005760	ENSMUSG00000029516.19	ENSACAG00000003441.3
OG0005761	ENSMUSG00000048874.15	ENSACAG00000009258.3
OG0005762	ENSMUSG00000028228.5	ENSACAG00000009847.3
OG0005763	ENSMUSG00000029195.10	ENSACAG00000026896.1, ENSACAG00000007623.2
OG0005764	ENSMUSG00000034620.17	ENSACAG00000000800.3
OG0005765	ENSMUSG00000029185.14	ENSACAG00000007354.3
OG0005766	ENSMUSG00000027552.14	ENSACAG00000014098.3
OG0005767	ENSMUSG00000027550.14	ENSACAG00000013984.3
OG0005768	ENSMUSG00000029174.18	ENSACAG00000007199.3
OG0005769	ENSMUSG00000029599.13	ENSACAG00000004703.3
OG0005770	ENSMUSG00000032741.9	ENSACAG00000004804.3
OG0005771	ENSMUSG00000039795.14	ENSACAG00000013785.3
OG0005772	ENSMUSG00000038086.4	ENSACAG00000006470.3
OG0005773	ENSMUSG00000047881.14	ENSACAG00000007020.3
OG0005774	ENSMUSG00000027531.16	ENSACAG00000013732.3
OG0005775	ENSMUSG00000090061.9	ENSACAG00000006997.3
OG0005776	ENSMUSG00000020238.14	ENSACAG00000017479.2
OG0005777	ENSMUSG00000005299.6	ENSACAG00000008011.3
OG0005778	ENSMUSG00000038564.11	ENSACAG00000006750.3
OG0005779	ENSMUSG00000037112.16	ENSACAG00000006549.2
OG0005780	ENSMUSG00000029594.12	ENSACAG00000005065.3
OG0005781	ENSMUSG00000024941.9	ENSACAG00000022636.1
OG0005782	ENSMUSG00000032056.10	ENSACAG00000006608.2
OG0005783	ENSMUSG00000032053.8	ENSACAG00000006629.3
OG0005784	ENSMUSG00000070858.12	ENSACAG00000024164.2
OG0005785	ENSMUSG00000037235.13	ENSACAG00000007819.3
OG0005786	ENSMUSG00000042213.17	ENSACAG00000007774.3
OG0005787	ENSMUSG00000030766.15	ENSACAG00000002014.3
OG0005788	ENSMUSG00000021940.10	ENSACAG00000011319.3
OG0005789	ENSMUSG00000028243.5	ENSACAG00000005315.2
OG0005790	ENSMUSG00000001507.16	ENSACAG00000005508.3, ENSACAG00000027996.2
OG0005791	ENSMUSG00000048108.13	ENSACAG00000011767.3
OG0005792	ENSMUSG00000015488.14	ENSACAG00000022005.2
OG0005793	ENSMUSG00000034893.9	ENSACAG00000012239.3
OG0005794	ENSMUSG00000022200.8	ENSACAG00000007801.3
OG0005795	ENSMUSG00000035770.8	ENSACAG00000002640.3
OG0005796	ENSMUSG00000022197.16	ENSACAG00000007750.3
OG0005797	ENSMUSG00000024519.6	ENSACAG00000007605.2
OG0005798	ENSMUSG00000014846.12	ENSACAG00000002364.2
OG0005799	ENSMUSG00000039199.6	ENSACAG00000002334.3
OG0005800	ENSMUSG00000073987.4	ENSACAG00000016891.3
OG0005801	ENSMUSG00000014791.10	ENSACAG00000001972.3
OG0005802	ENSMUSG00000026063.4, ENSMUSG00000042433.2	ENSACAG00000014208.2
OG0005803	ENSMUSG00000021831.9	ENSACAG00000016044.2, ENSACAG00000006903.2
OG0005804	ENSMUSG00000014859.9	ENSACAG00000028484.1
OG0005805	ENSMUSG00000066687.5	ENSACAG00000009265.2
OG0005806	ENSMUSG00000049796.4	ENSACAG00000016674.2
OG0005807	ENSMUSG00000046561.9	ENSACAG00000011862.3, ENSACAG00000011954.2
OG0005808	ENSMUSG00000025912.16	ENSACAG00000016577.3
OG0005809	ENSMUSG00000012535.14	ENSACAG00000013470.3
OG0005810	ENSMUSG00000039844.20	ENSACAG00000024118.1, ENSACAG00000013758.3
OG0005811	ENSMUSG00000095115.2	ENSACAG00000025228.1
OG0005812	ENSMUSG00000030652.11	ENSACAG00000024341.1
OG0005813	ENSMUSG00000044712.15	ENSACAG00000006516.3
OG0005814	ENSMUSG00000038046.4	ENSACAG00000015977.3
OG0005815	ENSMUSG00000018199.9	ENSACAG00000008263.3
OG0005816	ENSMUSG00000109482.2, ENSMUSG00000021094.10	ENSACAG00000015156.3
OG0005817	ENSMUSG00000025917.9	ENSACAG00000016425.3
OG0005818	ENSMUSG00000021090.16	ENSACAG00000015114.3
OG0005819	ENSMUSG00000021087.18	ENSACAG00000015060.3
OG0005820	ENSMUSG00000003458.12	ENSACAG00000016223.3
OG0005821	ENSMUSG00000056812.14	ENSACAG00000009347.3
OG0005822	ENSMUSG00000001948.10	ENSACAG00000000215.2
OG0005823	ENSMUSG00000062234.14	ENSACAG00000001376.3
OG0005824	ENSMUSG00000044452.10	ENSACAG00000000318.3
OG0005825	ENSMUSG00000032044.4	ENSACAG00000000189.2
OG0005826	ENSMUSG00000032103.10	ENSACAG00000000186.3
OG0005827	ENSMUSG00000107499.1, ENSMUSG00000079511.8	ENSACAG00000027372.2
OG0005828	ENSMUSG00000028140.13	ENSACAG00000008908.3, ENSACAG00000022381.1
OG0005829	ENSMUSG00000033735.9	ENSACAG00000001020.1
OG0005830	ENSMUSG00000050856.16	ENSACAG00000001268.1
OG0005831	ENSMUSG00000068428.7	ENSACAG00000000904.3
OG0005832	ENSMUSG00000029428.13	ENSACAG00000014093.3
OG0005833	ENSMUSG00000031816.15	ENSACAG00000015976.3
OG0005834	ENSMUSG00000006276.10	ENSACAG00000028102.2, ENSACAG00000001730.3
OG0005835	ENSMUSG00000025937.6	ENSACAG00000014807.3
OG0005836	ENSMUSG00000032041.15	ENSACAG00000000103.3
OG0005837	ENSMUSG00000049971.17	ENSACAG00000025870.2
OG0005838	ENSMUSG00000038828.13	ENSACAG00000008284.3
OG0005839	ENSMUSG00000021811.7	ENSACAG00000004330.2
OG0005840	ENSMUSG00000037710.8	ENSACAG00000004372.2
OG0005841	ENSMUSG00000021792.15	ENSACAG00000029235.1
OG0005842	ENSMUSG00000029482.4	ENSACAG00000014525.3
OG0005843	ENSMUSG00000060733.13	ENSACAG00000004374.3
OG0005844	ENSMUSG00000037824.6	ENSACAG00000001509.2
OG0005845	ENSMUSG00000035696.15	ENSACAG00000002163.3
OG0005846	ENSMUSG00000033021.16	ENSACAG00000002231.1, ENSACAG00000014108.3
OG0005847	ENSMUSG00000035649.17	ENSACAG00000011894.3
OG0005848	ENSMUSG00000029478.16	ENSACAG00000014866.3
OG0005849	ENSMUSG00000058076.12	ENSACAG00000001388.3
OG0005850	ENSMUSG00000038393.14	ENSACAG00000001167.2
OG0005851	ENSMUSG00000035637.14	ENSACAG00000011898.2
OG0005852	ENSMUSG00000025921.7	ENSACAG00000014363.3
OG0005853	ENSMUSG00000025017.10	ENSACAG00000014577.2
OG0005854	ENSMUSG00000037979.13	ENSACAG00000015093.2
OG0005855	ENSMUSG00000062729.11	ENSACAG00000004038.3
OG0005856	ENSMUSG00000042686.5	ENSACAG00000013059.3
OG0005857	ENSMUSG00000052423.14	ENSACAG00000003984.3
OG0005858	ENSMUSG00000022505.9	ENSACAG00000014658.1
OG0005859	ENSMUSG00000035601.9	ENSACAG00000012156.3
OG0005860	ENSMUSG00000031029.6	ENSACAG00000010260.3
OG0005861	ENSMUSG00000035615.12	ENSACAG00000012188.3
OG0005862	ENSMUSG00000022504.10	ENSACAG00000021980.2
OG0005863	ENSMUSG00000068663.14	ENSACAG00000000009.3
OG0005864	ENSMUSG00000031754.10	ENSACAG00000007323.2
OG0005865	ENSMUSG00000056917.13	ENSACAG00000005312.2
OG0005866	ENSMUSG00000028149.12	ENSACAG00000013983.3
OG0005867	ENSMUSG00000031229.16	ENSACAG00000008641.3, ENSACAG00000025259.1
OG0005868	ENSMUSG00000024411.11	ENSACAG00000002159.3
OG0005869	ENSMUSG00000020133.8	ENSACAG00000016116.2
OG0005870	ENSMUSG00000054321.7	ENSACAG00000002056.3
OG0005871	ENSMUSG00000005813.12	ENSACAG00000014229.2
OG0005872	ENSMUSG00000039357.2	ENSACAG00000009701.2
OG0005873	ENSMUSG00000029390.13	ENSACAG00000015382.3
OG0005874	ENSMUSG00000008958.14	ENSACAG00000014838.3
OG0005875	ENSMUSG00000029392.12	ENSACAG00000015406.2
OG0005876	ENSMUSG00000029402.8	ENSACAG00000015421.2
OG0005877	ENSMUSG00000039585.15	ENSACAG00000011552.3
OG0005878	ENSMUSG00000036339.18	ENSACAG00000014166.3
OG0005879	ENSMUSG00000001138.13	ENSACAG00000025824.1
OG0005880	ENSMUSG00000028884.14	ENSACAG00000017653.3
OG0005881	ENSMUSG00000062444.15	ENSACAG00000011959.3
OG0005882	ENSMUSG00000047635.6	ENSACAG00000015561.3
OG0005883	ENSMUSG00000038126.17	ENSACAG00000015563.3
OG0005884	ENSMUSG00000028886.15	ENSACAG00000017635.3
OG0005885	ENSMUSG00000056529.7	ENSACAG00000017632.3
OG0005886	ENSMUSG00000035852.11	ENSACAG00000025342.1
OG0005887	ENSMUSG00000024421.16	ENSACAG00000000304.3
OG0005888	ENSMUSG00000042105.18	ENSACAG00000023795.2, ENSACAG00000017047.3
OG0005889	ENSMUSG00000025728.16	ENSACAG00000008189.2
OG0005890	ENSMUSG00000103879.3, ENSMUSG00000056370.15	ENSACAG00000010894.3
OG0005891	ENSMUSG00000028108.15	ENSACAG00000001773.2
OG0005892	ENSMUSG00000022589.8, ENSMUSG00000075604.5	ENSACAG00000004353.3
OG0005893	ENSMUSG00000052572.19	ENSACAG00000001627.3, ENSACAG00000002247.3, ENSACAG00000004044.2
OG0005894	ENSMUSG00000024767.11	ENSACAG00000012495.2
OG0005895	ENSMUSG00000017776.15	ENSACAG00000008373.3
OG0005896	ENSMUSG00000044350.14	ENSACAG00000006411.3
OG0005897	ENSMUSG00000028101.18	ENSACAG00000013782.3
OG0005898	ENSMUSG00000032313.11	ENSACAG00000007849.3
OG0005899	ENSMUSG00000024413.14	ENSACAG00000000201.2
OG0005900	ENSMUSG00000021770.11	ENSACAG00000008599.3
OG0005901	ENSMUSG00000024966.9	ENSACAG00000000247.3
OG0005902	ENSMUSG00000054823.16	ENSACAG00000017999.3
OG0005903	ENSMUSG00000025081.13	ENSACAG00000009854.3
OG0005904	ENSMUSG00000028745.18	ENSACAG00000007683.2
OG0005905	ENSMUSG00000037363.9	ENSACAG00000018000.3
OG0005906	ENSMUSG00000047656.9	ENSACAG00000000696.2
OG0005907	ENSMUSG00000024797.14	ENSACAG00000010936.3
OG0005908	ENSMUSG00000023106.15	ENSACAG00000016012.3
OG0005909	ENSMUSG00000016252.7	ENSACAG00000021101.2
OG0005910	ENSMUSG00000020974.6	ENSACAG00000000757.3
OG0005911	ENSMUSG00000068302.8	ENSACAG00000027314.2
OG0005912	ENSMUSG00000013921.15	ENSACAG00000011369.3
OG0005913	ENSMUSG00000029466.11	ENSACAG00000016062.3
OG0005914	ENSMUSG00000041238.16	ENSACAG00000007768.3
OG0005915	ENSMUSG00000015094.16	ENSACAG00000000339.2
OG0005916	ENSMUSG00000032513.8	ENSACAG00000009518.3
OG0005917	ENSMUSG00000032013.6	ENSACAG00000003480.3
OG0005918	ENSMUSG00000032015.16	ENSACAG00000003384.3
OG0005919	ENSMUSG00000024293.16	ENSACAG00000007912.3
OG0005920	ENSMUSG00000018401.17	ENSACAG00000000440.3
OG0005921	ENSMUSG00000029472.13	ENSACAG00000001772.3, ENSACAG00000027058.2
OG0005922	ENSMUSG00000037999.13	ENSACAG00000006900.3
OG0005923	ENSMUSG00000043445.7	ENSACAG00000013778.2
OG0005924	ENSMUSG00000032515.8	ENSACAG00000009756.3
OG0005925	ENSMUSG00000026930.15	ENSACAG00000022613.2
OG0005926	ENSMUSG00000079243.4	ENSACAG00000009771.2
OG0005927	ENSMUSG00000006014.16	ENSACAG00000001824.3
OG0005928	ENSMUSG00000010825.17	ENSACAG00000013844.3
OG0005929	ENSMUSG00000029592.11	ENSACAG00000025026.1
OG0005930	ENSMUSG00000030769.15	ENSACAG00000013853.3
OG0005931	ENSMUSG00000110234.2, ENSMUSG00000089847.8	ENSACAG00000010246.2
OG0005932	ENSMUSG00000027263.12	ENSACAG00000003704.3
OG0005933	ENSMUSG00000027313.3	ENSACAG00000003525.3
OG0005934	ENSMUSG00000029470.15	ENSACAG00000016294.2
OG0005935	ENSMUSG00000037820.15	ENSACAG00000006267.3, ENSACAG00000013226.3
OG0005936	ENSMUSG00000023966.8	ENSACAG00000000580.3
OG0005937	ENSMUSG00000032508.8	ENSACAG00000009971.3
OG0005938	ENSMUSG00000026388.15	ENSACAG00000009484.2
OG0005939	ENSMUSG00000003970.9	ENSACAG00000017933.3, ENSACAG00000009145.1
OG0005940	ENSMUSG00000000247.11	ENSACAG00000014926.2
OG0005941	ENSMUSG00000068580.11	ENSACAG00000003355.3
OG0005942	ENSMUSG00000010651.4, ENSMUSG00000036138.16	ENSACAG00000005137.3
OG0005943	ENSMUSG00000028910.12	ENSACAG00000001529.3
OG0005944	ENSMUSG00000038740.9	ENSACAG00000009852.3
OG0005945	ENSMUSG00000054580.14	ENSACAG00000012329.3
OG0005946	ENSMUSG00000034278.3	ENSACAG00000003311.3
OG0005947	ENSMUSG00000029359.13	ENSACAG00000016473.2
OG0005948	ENSMUSG00000032018.14	ENSACAG00000002668.3
OG0005949	ENSMUSG00000024287.8	ENSACAG00000008307.3
OG0005950	ENSMUSG00000005718.8	ENSACAG00000016352.3
OG0005951	ENSMUSG00000026483.13	ENSACAG00000002460.3
OG0005952	ENSMUSG00000025743.14	ENSACAG00000000940.3
OG0005953	ENSMUSG00000024978.11	ENSACAG00000010027.3
OG0005954	ENSMUSG00000026676.7	ENSACAG00000001378.3
OG0005955	ENSMUSG00000039128.13	ENSACAG00000009021.3
OG0005956	ENSMUSG00000027323.10	ENSACAG00000013786.3
OG0005957	ENSMUSG00000068079.5	ENSACAG00000011172.2
OG0005958	ENSMUSG00000063895.7, ENSMUSG00000114797.1	ENSACAG00000002295.3
OG0005959	ENSMUSG00000074088.6, ENSMUSG00000106911.1	ENSACAG00000000469.3
OG0005960	ENSMUSG00000027324.1	ENSACAG00000013893.3
OG0005961	ENSMUSG00000025817.12	ENSACAG00000009104.3
OG0005962	ENSMUSG00000014932.15	ENSACAG00000008639.3
OG0005963	ENSMUSG00000032024.10	ENSACAG00000004869.3
OG0005964	ENSMUSG00000023232.17	ENSACAG00000000268.3
OG0005965	ENSMUSG00000025815.13	ENSACAG00000009148.3
OG0005966	ENSMUSG00000040767.10	ENSACAG00000016514.3
