"","gene","description","Pm_1","Pm_10","Pm_11","Pm_12","Pm_13","Pm_14","Pm_15","Pm_16","Pm_17","Pm_18","Pm_19","Pm_2","Pm_20","Pm_21","Pm_22","Pm_23","Pm_24","Pm_25","Pm_26","Pm_27","Pm_28","Pm_29","Pm_3","Pm_30","Pm_4","Pm_5","Pm_6","Pm_7","Pm_8","Pm_9"
"10710","107294184","breakpoint cluster region",2,5,12,2,5,6,5,4,6,0,6,5,3,3,6,3,2,4,13,2,3,9,18,13,30,1,6,12,4,3
"10711","107294185","sodium/glucose cotransporter 1-like",13,50,38,13,27,6,14,49,15,26,65,56,34,13,24,54,55,4,13,52,28,60,184,43,89,28,9,7,46,23
"10712","107294186","adenosine receptor A2a-like",3,2,8,4,7,1,2,7,5,2,5,10,6,5,2,1,2,1,2,5,3,5,19,4,15,2,5,1,4,5
"10713","107294187","radial spoke head 14 homolog",5,9,7,4,0,17,0,8,10,8,13,3,6,5,1,7,1,0,15,10,5,22,3,17,3,7,7,8,5,0
"10714","107294188","uncharacterized LOC107294188",0,9,7,2,1,0,0,3,4,2,4,6,4,0,4,4,0,0,4,2,1,5,20,7,5,15,0,0,12,0
"10715","107294189","C-C chemokine receptor type 5-like",42,388,456,398,47,83,12,69,126,13,304,208,87,60,24,18,39,22,427,45,63,133,343,355,63,251,191,9,191,53
"10716","107294190","sperm antigen with calponin homology and coiled-coil domains 1-like",18,34,51,26,19,23,11,11,27,13,55,16,14,22,10,19,14,24,40,17,21,37,50,19,42,21,16,22,28,11
"10717","107294191","zinc finger protein 850-like",42.95,80.46,139.65,65.34,31.17,70.85,4.52,54.19,141.57,24.58,150.19,69.23,128.07,57.84,50.65,33.87,30.84,31.56,197.43,27.17,39.61,87.56,310.78,61.65,215.51,80.7,76.97,1.38,123.15,27.59
"10718","107294192","zinc finger protein 436-like",0,6,2,6,0,1,1,4,2,2,7,2,0,2,0,1,0,0,7,0,1,3,8,4,7,1,1,2,1,1
"10719","107294194","zinc finger protein 660-like",1,4,8.74,1,3,1.55,3,1,0,2,12,1.55,2,1,2,0,1.55,6,1.55,3,1,4.66,19,13,6.21,0,7,0,1,1
"10720","107294195","uncharacterized LOC107294195",8,19,18,12,9,10,4,11,19,2,7,5,5,12,5,10,3,5,7,4,7,13,12,32,12,20,11,15,9,6
"10721","107294196","zinc finger protein 287-like",22,16,20,2,12,11,10,19,9,9,39,25,12,14,8,14,14,4,26,9,6,16,38,27,41,27,14,6,22,13
"10722","107294197","zinc finger protein 268-like",45.78,78.31,82.33,53.44,31.31,47.81,12.39,38.19,88.04,26.94,83.33,58.44,62.87,56.57,31.4,65.61,35.93,22.58,94.75,48.38,26.35,94.55,173.81,33.92,97.3,33.53,43.79,7.56,75.11,30.35
"10723","107294199","zinc finger protein 420-like",26.74,131.67,141.32,45.58,48.87,54.74,13.55,39.56,101.98,38.67,129.35,50.83,61.7,29.21,49.38,69.63,20.9,45.48,132.73,63.64,41.03,116.31,184.66,116.5,92.15,62.97,60.33,7.69,89.13,53.28
"10724","107294200","zinc finger protein 202-like",20,48,23,10.9,8,32,6,13,23,7,27,19,27,16,17,17,10,4,22,16,15,26,47.83,21,16,19,12,7,15,4
"10725","107294201","zinc finger protein 208-like",153.13,361.97,405.06,116.91,114.57,275,68.31,110.2,244.79,61.05,271.56,258.28,246.02,156.02,119.9,161.22,106.22,97.13,462.86,141.02,107.13,321.64,498.88,388.11,369.53,315.79,192.68,25.74,301.25,108.38
"10726","107294202","zinc finger protein 202-like",30.87,64.48,66.78,31.78,22.02,46.9,12.49,15.21,64.48,9.42,41.6,50.59,36.62,17.06,14.22,27.65,9.75,13.37,78.66,14.14,12.24,36.65,54.32,85.1,73.27,49.21,22.42,19.22,67.96,15.59
"10727","107294203","transmembrane protein 108",103,36,16,58,20,21,50,55,24,42,19,25,10,42,39,19,25,87,14,29,63,21,25,18,24,19,51,20,54,28
"10728","107294204","zinc finger protein 208-like",46.26,117.47,197.4,51.81,60.93,116.95,25.98,61.83,86.64,36.62,107.05,91.85,85.97,41.94,72.9,77.37,59.34,26.6,119.15,56.49,43.59,103.73,248.9,115.54,121.04,86.44,83.37,12.74,94.53,54.03
"10729","107294205","general transcription factor II-I repeat domain-containing protein 2-like",103.6,234.83,257.55,126.07,91.86,122.9,105.09,107.49,179.29,82.93,239.65,170.86,217.36,105.41,83.86,112.31,94.85,169.14,214.08,172.82,56,213.38,444.32,125.92,178.51,130.82,111.22,58.18,196.19,73.44
"10730","107294206","chromosome unknown open reading frame human C3orf67",6,59,46,35,11,19,5,51,24,18,59,12,70,20,13,106,17,7,82,25,65,141,63,31,14,40,25,1,31,1
"10731","107294207","growth hormone inducible transmembrane protein",1276,1169,1570,921,1111,977,359,749,931,556,1528,2133,1062,684,588,636,487,402,1667,533,616,1654,2727,2683,2712,1035,849,1103,1732,608
"10732","107294212","ubiquitin carboxyl-terminal hydrolase 32-like",1,0,2,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,2,0
"10733","107294213","DEAH-box helicase 40",2.7,7.73,10,0,6,8,2.7,10,7.07,4,4,10,4,6,1,7,10,10,12,5,1,28,34.21,17,35,2,8,2.69,7,5
"10734","107294214","protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 14-)",44,117,89,51,29,78,10,45,76,30,48,176,54,23,35,17,21,25,83,34,46,131,361,57,75,91,31,13,127,28
"10735","107294215","clathrin heavy chain 1-like",41,27,20,26,13,24,11,9,20,28,29,20,12,16,6,8,21,14,33,23,14,27,78,27,52,11,24,51,31,19
"10736","107294216","semaphorin-3D-like",5,14,4,3,5,14,6,3,9,3,11,11,11,6,7,5,3,1,14,1,4,12,56,10,5,3,8,0,18,2
"10737","107294217","ras-related protein Rab-10-like",9,61.52,71.88,38.8,12.35,21.19,1,22.93,39.23,7.08,92.43,29,35.62,10,5,7.58,9.64,6,46.67,17.8,30.82,56.62,46.51,65.62,35.07,55.28,34.6,12.51,39.23,11
"10738","107294218","ras-related protein Rab-10-like",0,7.48,10.12,10.2,3.65,8.81,1,1.07,5.77,1.92,10.57,4,8.38,2,0,3.42,3.36,0,14.33,1.2,4.18,18.38,9.49,15.38,4.93,10.72,5.4,2.49,5.77,0
"10739","107294219","kelch like family member 14",3,23,23,1,5,1,0,4,4,6,4,5,5,2,3,2,1,1,12,0,1,8,41,8,3,7,2,0,0,1
"10740","107294220","peroxisome proliferator-activated receptor gamma-like",4,12,19,10,4,12,3,6,6,1,17,14,10,11,8,7,0,0,34,8,4,8,14,11,8,22,11,1,7,4
"10741","107294221","ceramide kinase like",4,134,61,45,12,77,3,37,41,14,59,21,29,6,9,12,6,18,109,37,20,86,57,44,62,117,19,1,32,6
"10742","107294223","sperm-specific antigen 2 homolog",9,1,6,13,5,5,12,9,14,7,3,6,1,5,8,4,8,6,4,11,10,5,11,1,10,6,4,9,2,8
"10743","107294224","integrin subunit alpha 4",13,68,63,22,22,5,1,16,95,21,156,34,54,34,11,12,15,44,82,25,18,102,348,48,13,31,33,3.99,66,27
"10744","107294225","chordin-like 1",1,10,10,1,14,2,1,0,3,1,4,2,10,2,4,0,0,0,3,0,3,3,7,1,0,10,1,1,4,0
"10745","107294226","zinc finger MYND domain-containing protein 11-like",6.97,83.2,59.5,0,12.99,0,9.26,0,36.37,0,73.21,0,54.84,30.49,43.06,23.14,22.09,0,81.01,19.76,0,0,0,25.31,23.13,0,36.46,9.76,0,23.66
"10746","107294227","WAPL cohesin release factor",469,202,304,283,310,138,122,136,344,187,219,335,116,228,243,235,257,352,287.56,227,99,193,482,197,531,154,267,322,290,451
"10747","107294230","kinesin family member 21A",222.65,493.6,563.66,283.33,175.1,332.39,123.47,223.52,431.92,212.08,455.48,269.79,398.19,173.63,142.18,270.96,145.12,168.39,432.44,128.49,161.34,326.04,817.42,339.37,349.11,369.89,251.46,144.88,401.93,297.8
"10748","107294231","vitelline membrane outer layer protein 1-like",0,0,7.2,2,0,0,0,1,2,1,0,1,1,0,2,5,0,0,7.01,3,5.4,0,0,6,0,5,0,1.24,7,1
"10749","107294236","vitelline membrane outer layer protein 1-like",0,5,7,0,0,0,0,1,8,0,0,0,3,0,0,1,0,0,9,0,0,1,0,3,0,1,0,0,5,0
"10750","107294237","Rho GTPase activating protein 19",4,3,8,2,4,10,1,19,17,2,56,4,22,2,13,10,2,3,27,10,7,52,37,18,2,10,11,0,15,2
"10751","107294238","zinc finger DHHC-type containing 16",927,225,380,390,489,211,249,211,345,387,296,493,212,285,218,256,307,460,439,220,200,287,709,517,666,273,472,510,301,417
"10752","107294239","exosome component 1",738,333,439,404,303,247,220,181,303,199,299,356,180,220,165,206,212,180,394,137,294,281,569,353,465,429,251,464,331,281
"10753","107294240","phosphoglycerate mutase 1",2284,1504,2124,1696,996,962,426,602,1067,622,1139,2176,1099,647,646,486,427,411,1503,508,877,2016,2920,1417,2139,1728,1091,1360,1066,818
"10754","107294241","MMS19 homolog cytosolic iron-sulfur assembly component",318.65,249.16,295.01,142,179.71,228.07,81.61,160.94,180.33,137.78,240.53,286.51,153.33,122.7,150,183.28,114,126.8,311.95,175.71,130,326.55,518.39,205.41,481.31,230,240.48,113,241.74,129
"10755","107294242","ribosomal RNA processing 12 homolog",1418,484,723,520,551,474,182,270,650,274,552,971,431,469,380,370,258,456,770,290,260,498,882,1003,1019,562,590,850,601,755
"10756","107294243","C-reactive protein-like",0,74.52,0,73.85,0,0,0,0,71.2,0,0,94.26,0,0,0,0,0,0,0,0,0,46.83,0,152.53,121.46,0,1.98,4.59,0,0
"10757","107294244","serum amyloid P-component-like",1.59,8.15,12.95,7.76,0,1.59,1.77,0,7.97,0,1.63,11.08,0,1.84,0,0,1.51,0,1.57,1.56,1.64,5.05,1.49,15.57,7.9,1.92,0,0,0,0
"10758","107294246","serum amyloid P-component-like",0,2.68,0,1.76,0,0,0,0,3.9,0,0,3.95,0,0,0,0,0,0,0,0,0,0.72,0,5.65,3.98,0,0,0,0,0
"10759","107294247","serum amyloid P-component-like",0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,4,1,0,0,3,1,2,0,0,0,0,0
"10760","107294248","dual specificity phosphatase 23",5,14,10,7,1,14,4,3,12,14,15,11,9,3,6,20,4,8,23,11,10,13,8,6,19,12,19,14,9,6
"10761","107294249","bestrophin-1-like",0,10,10,4,0,1,0,3,1,0,6,1,2,1,2,2,1,1,1,1,0,3,7,2,4,7,4,4,1,2
"10762","107294250","immunoglobulin superfamily member 9",10,28,20,14,9,14,3,13,24.02,4,14,10,16,4,4,17,5,3,22,8,9,39,41,22,19.63,20,6,10,10,5
"10763","107294251","cilia and flagella associated protein 45",15,86,84,40,17,78,3,71,40,35,82,66,72,21,8,80,8,9,145,54,47,190,92,135,44,55,21,9,85,3
"10764","107294252","C-reactive protein-like",685.05,788.04,2083,718.63,502,829.41,32.23,345.97,625.93,132,591.37,802.71,481,197.49,226,367.19,274.49,115,1972.38,253.44,288.44,418.06,1192.23,1067.37,728.66,3502.08,464.02,297.37,1080,198
"10765","107294253","transgelin 2",3590,2053,4171,2051,1653,1849,824,1363,1507,1325,2152,3597,1723,1371,1113,1239,1444,1411,2669,1271,1325,2137,6411,2824,3577,2822,1518,3041,3084,1955
"10766","107294254","cullin-associated NEDD8-dissociated protein 1-like",146,212,173,155,182,220,57,141,216,77,239,108,164,95,116,101,37,70,207,91,100,327,325,234,381,159.99,120,108,272,98
"10767","107294255","plexin D1",109,304,250,96,45,150,40,83,163,59,146,152.99,154,47,76,60,57,61,204,91,59,169,413,162,259,174,107,48,151,112
"10768","107294257","ribosomal protein L32",3933,3144,4541,5851,3025,3237,1483,1602,4695,1809,1658,2891,1908,2787,1996,1808,1046,792,4862,1574,2040,2376,2154,1167,2825,4126,3254,10626,1658,3420
"10769","107294258","EF-hand calcium binding domain 12",193,294,342,113,206,167,113,168,180,88,248,95,159,112,135,188,156,97,316,159,132,332,385,337,224,225,221,39,151,85
"10770","107294259","methyl-CpG binding domain 4 DNA glycosylase",116,196,229,135,61,112,65,67,166,49,126,157,80,76,154,87,129,61,221,67,92,132,196,173,166,176,149,55,123,88
"10771","107294261","intraflagellar transport 122",164,513,481,186,144,411,90,324,191,130,498,140,406,163,74,271,101,62,522,194,169,951,585,554,208,372,168,39,343,55
"10772","107294263","dedicator of cytokinesis protein 10-like",9,56,66,25,10,30,9,53,36,9,173,17,61,28,32,2,15,14,62,24,35,177,42,41,27,59,69,8,22,12
"10773","107294266","glutamate ionotropic receptor AMPA type subunit 4",0,16,7,4,3,2,0,7,1,2,8,3,5,6.73,0,11,1,1,11,2,0,18,8,2.21,0,4,2,0,2,2
"10774","107294267","aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase",89,28,74,23,30,39,18,47,31,23,42,25,27,47,30,48,36,46,52,30,36,35,63,44,65,43,75,13,40,13
"10775","107294268","veficolin-1-like",13.69,44.71,96.47,251.56,16.84,13.44,0,24.06,47.44,1,45.07,106.42,7.84,13.83,8.39,5.3,16.12,17.75,156.81,1,40.6,32.44,45.93,61.25,29.27,71.24,37.74,16.26,71.64,24.05
"10776","107294269","kelch repeat and BTB domain containing 3",286,132,212,170,120,137,81,127,147,86,106,79,103,145,110,118,135,106,230,94,121,123,111,158,199,224,166,39,195,106
"10777","107294270","Myb/SANT DNA binding domain containing 4 with coiled-coils",51,84,107,68,41,73,16,59,87,33,84,58,79,35,34.99,59,41,30,167,35,66,132,95,103,99,107,37,13,95,67
"10778","107294271","BRF1 RNA polymerase III transcription initiation factor 90 kDa subunit",79,141,90,58,20,63,24,58,73,51,140,27,37,65,55,46,47,65,72,49,58,62,163,55,91,76,59,89,65,46
"10779","107294272","BTB domain containing 6",280,483,690,307,250,351,146,235,330,184,592,497,342,256,249,267,137,194,708,346,220,444,1083,543,431,318,330,310,441,201
"10780","107294273","RAB28 member RAS oncogene family",863,465,712,610,401,436,278,433,902,270,466,609,385,511,433,475,546,456,923,343,592,578,606,949,628,462,513,669,327,616
"10781","107294274","ceramide kinase",58,40,33,24,9,13,7,6,30,15,36,26,25,14,12,8,8,13,54,29,6,28,67,52,19,14,13,22,21,27
"10782","107294276","ryncolin-3-like",3.5,35.07,37.45,75.39,6.05,8.19,3.47,12.35,19.56,2.34,34.64,33.08,13.41,11.63,6.98,4.6,4.53,5.8,69.04,2.24,21.42,23.25,22.23,33.86,40.09,39.22,23.64,8.39,15.23,13.92
"10783","107294277","TBC1 domain family member 22A",457,528,568,330,309,378,137,254,355,200,454,202,338,219,166,184,227,250,484,201,174,447,955,393,585,490,316,42,680,130
"10784","107294278","WD repeat and SOCS box containing 1",762,1687.99,1749.03,724.94,461.9,1117.01,436.91,491,1234,360,1451.13,1160.73,1013,643,642,745.7,450,538.02,1653.76,902.03,521.55,1281.87,3290.01,1228.9,965,961.02,830,275.99,882.61,894.33
"10785","107294279","Sec61 translocon alpha 1 subunit",9316,2138,2956,5865,6361,2394,3365,2611,4010,3017,2288,5144,1353,4746,4200,2756,2834,2947,2869,2876,2877,1865,4699,1884,5319,1985,4532,4921,1255,6479
"10786","107294280","RuvB like AAA ATPase 1",348,388,457,252,162,223,38,213,213,81,343,213,355,145,121,194,121,134,485,157,184,393,343,351,266,426,135,165,267,229
"10787","107294281","oxytocin receptor",1,26,25,5,14,7,2,4,4,1,7,6,5,4,4,4,16,7,16,8,5,6,35,5,14,0,11,3,15,1
"10788","107294282","ssu-2 homolog (C. elegans)",144,452,527,173,160,151,60,113,191,132,790,227,379,162,231,636,56,27,351,80,271,627,658,332,246,472,170,46,218,91
"10789","107294283","leucine-rich repeat neuronal protein 1-like",8,2,8,1,7,13,5,4,12,10,8,11,10,4,1,8,3,4,12,7,4,20,41,10,14,5,9,0,6,6
"10790","107294284","zinc finger AN1-type containing 3",211,422,417,178,128,372,103,152,181,102,360,261,199,125,283,197,195,155,244,158,158,232,347,315,309,355,191,88,314.99,148
"10791","107294285","myosin binding protein H",3,113,81,124,11,48,5,9,7,35,49,10,3,7,11,10,1,5,17,12,3,35,7,37,119,149,2,21,78,0
"10792","107294286","ribonuclease inhibitor-like",126.95,406.03,465.39,142.7,109.1,94.35,90.42,172.66,230.7,40.46,604.03,161.89,382.75,30.28,224.9,48.72,25.34,52.64,374.55,54.45,91.19,198.47,287.34,550.84,134.85,250.55,131.37,33.07,151.7,100.92
"10793","107294287","choline/ethanolaminephosphotransferase 1",503.75,257.05,382.41,343.56,135.23,171.44,71.03,130.81,279.31,125.54,139.3,279.9,230.94,139.77,144.74,141.73,110.08,179,247.99,179.17,209.94,211.9,438.73,227.77,237.53,236.97,149.17,91.5,254.86,228.3
"10794","107294288","adenosine A3 receptor",89,52,165,101,35,104,19,15,113,17,18,46,25,16,28,15,38,48,73,47,23,22,63,45,58,9,59,38,86,114
"10795","107294289","DENN domain containing 2D",877,344,598,281,492,164,102,304,231,78,336,378,223,175,223,211,255,202,332,257,160,226,654,211,545,437,387,197,244,390
"10796","107294290","disintegrin and metalloproteinase domain-containing protein 21-like",2,12.64,0.7,1.54,1,3.99,1,0.98,0,6,5.55,0,0,0,1,3.07,0,0,3,2,2.7,3,1,0,11.22,5,2,0,1.61,1
"10797","107294292","disintegrin and metalloproteinase domain-containing protein 20-like",0,1,0,0,1,1.56,0,1.28,0,1,0,0,1,1,0,5.72,0,0,0,0,0,0,2.62,1,3.35,3.78,2,1,1,1
"10798","107294293","disintegrin and metalloproteinase domain-containing protein 20-like",0,5.23,2.81,1.46,1,3.69,0,4.54,3.84,0,2.75,4.24,2,0,0,0,0,2,0,0,1.3,0,1.37,4.81,2.56,1.53,1,4.24,1.2,1
"10799","107294295","disintegrin and metalloproteinase domain-containing protein 20-like",8,3,2,1,1,1,0,0,4,1,4,1,1,2,0,5,3,4,5,0,1,9,9,2,2,5,5,0,4,2
"10800","107294296","ADP ribosylation factor GTPase activating protein 3",6354.43,1034.92,1126.67,3866.77,3015.55,1174.27,3038.28,2102,2557.79,2482.12,1009,1840.76,645,2482.77,2807.77,2688.43,4409.73,4411.46,1894.8,2499.35,2138.38,827.68,2372.53,1316.49,3352.78,1498.79,3676.35,1339.88,818.08,3511.01
"10801","107294297","tetratricopeptide repeat domain 9",0,3,0,0,0,0,0,2,26,0,3,14,5,0,0,0,1,0,5,0,0,9,37,1,0,2,0,0,0,2
"10802","107294298","pecanex homolog 1 (Drosophila)",74,161,152,108,43,64,40,67,133,63,138,53,66,63,69,58,45,57,135,67,33,108,200,73,146,87,75,48,116,63
"10803","107294300","mitogen-activated protein kinase kinase kinase 9",0,9,8,1,2,3,0,1,1,2,1,1,2,2,1,1,0,0,1,2,1,5,2,4,5,3,0,1,1,0
"10804","107294301","mediator complex subunit 6",431,607,618,310,178,326,110,227,293,117,359,690,233,162,254,171,186,191,526,165,206,382,853,431,410,572,253,79,303,216
"10805","107294302","origin recognition complex subunit 4",533,596,710,530,405,350,191,291,403,218,556,369,393,305,289,213,346,200,600,203,237,348,816,624,692,694,494,50,631,335
"10806","107294303","activin A receptor type IIA",841,859,985,614,593,730,348,448,808,450,950,276,495,433,467,429,549,522,735,407,331,785,1239,836,1047,437,670,175,1198,404
"10807","107294304","ankyrin repeat and EF-hand domain containing 1",9,58,86,41,17,60,12,47,44,22,42,13,51,15,31,34,22,46,122,31,21,106,58,72,24,46,33,7,51,27
"10808","107294305","coiled-coil domain-containing protein 141-like",11,67,19,25,15,82,3,18,9,20,37,12,17,8,4,3,3,6,29,13,2,40,13,27,29,39,9,4,89,1
"10809","107294306","zinc finger protein 385B",0,6,2,0,0,0,0,2,8,2,4,5,6,2,0,0,0,0,1,1,1,7,26,2,0,8,0,1,2,1
"10810","107294307","SEC14 and spectrin domain containing 1",660,1668,1494,487,363,915,322,520,790,413,981,682,762,487,671,459,413,341,1437,664,503,933,1735,1016,1118,879,640,257,900,290
"10811","107294308","trophoblast glycoprotein-like",7,2,6,5,3,0,1,4,5,2,8,7,5,5,1,2,1,5,6,4,1,5,33,4,8,6,1,0,5,5
"10812","107294309","solute carrier family 9 member A1",4,12,12,18,6,18,7,9,17,23,24,13,13,10,10,14,8,8,27,22,7,25,89,14,30,5,24,25,13,38
"10813","107294310","WD and tetratricopeptide repeats 1",347,265,341,356,281,187,206,162,290,162,204,357,144,233,231,222,163,213,325,158,171,156,341,427,376,250,254,513,234,491
"10814","107294311","transmembrane protein 222",50,15,46,21,22,25,10,20,31,18,48,25,17,16,13,23,22,16,46,16,19,53,73,25,53,26,29,12,27,13
"10815","107294312","mitogen-activated protein kinase kinase kinase 6",92.6,89.43,123.58,45.55,40,37.26,52,90.36,82.33,24.09,144.97,85.34,64.5,61.46,40.17,53.68,44.13,65.03,100.73,55.1,37.26,101.42,267.01,96.29,119.46,53.3,79.28,50.71,76.72,82.15
"10816","107294313","synaptotagmin like 1",206.4,299.57,407.42,137.45,118,140.74,106,228.64,160.67,128.91,417.03,374.66,250.5,187.54,108.83,146.32,165.87,174.97,482.27,284.9,140.74,474.58,1178.99,309.71,504.54,152.7,196.72,87.29,311.28,112.85
"10817","107294314","KIAA1644 ortholog",3,45,24,10,3,13,2,7,33,6,20,52,16,1,3,2,2,2,16,9,0,12,40,5,22,41,8,4,14,2
"10818","107294315","histone acetyltransferase KAT8",3252.51,610.11,515.11,3258.69,1767.4,849.08,1803.7,1921.45,1826.55,2578.36,810.09,1465.39,308.15,1347.19,1916.68,1647.81,1830.15,2657.75,728.57,725.02,2457.87,680.16,1053.43,633.26,1783.88,681.89,1558.58,2384.46,764.56,2994.46
"10819","107294316","sulfotransferase 1C2-like",1,8,0,0,0,0,1.81,1,0,3,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,1,0,0
"10820","107294317","protein kinase C and casein kinase substrate in neurons 2",1388,948,1255,1292,636,722,711,598,1008,603,597,620,415,797,1014,644,892,955,1263,966,494,485,1503,704,1056,824,990,449,631,1209
"10821","107294318","branched chain ketoacid dehydrogenase kinase",82.27,87.37,118.91,66,76.11,59,26,51,65.47,48,111.9,150,53.56,65.53,36.48,72.02,45.55,56,81.68,48.01,64,141,216,109.11,144.86,93,49.86,76.09,80,68
"10822","107294319","vitamin K epoxide reductase complex subunit 1-like protein 1",191.26,74.96,100.87,234.86,208.23,128.12,73.35,165.8,107.37,181.73,98.6,168.66,52.76,135.44,152.99,162.1,236.61,135.73,120.35,128.45,129.27,97.11,224.24,185.41,271.29,93,125.54,138.85,104.64,161.68
"10823","107294320","prostasin-like",96.56,4.62,14.43,194.09,92.25,89.89,91.67,158.83,36.09,254.93,16.3,81.62,2.9,85.34,39.58,72.39,55.73,141.08,20.71,57.84,168.22,10.44,46.36,14.82,120.88,15.79,82.54,70.18,26.78,81.03
"10824","107294321","FUS RNA binding protein",262.33,110.75,235.75,242.62,144.08,156.13,44.84,122.67,161.3,114.87,222.14,174.64,108.78,157.07,38.14,98.35,86.93,164,173.06,86.61,73.72,175.73,298.89,173.38,347.26,208.53,151.45,260.27,215.76,138.29
"10825","107294322","serine protease 53-like",12,20.9,23,16,5.6,8,1,214.98,14.42,25,345.71,14,263.99,76.32,0,8,6.78,12,181,12,93,817.36,63.58,122.01,8,32.72,13.34,1,9.25,0
"10826","107294323","transcription factor IIIB 90 kDa subunit-like",11,26,24,7,12,16,7,2,12,8,9,9,13,10,7,11,12,13,11,6,8,22,38,8,36,12,12,2,25,10
"10827","107294324","neurotrypsin-like",4,11,10,4,6,7,8,3,4,9,4,1,1,11,3,4,6,5,0,14,11,5,3,2,5,10,7,4,6,2
"10828","107294325","zinc finger SWIM-type containing 8",597,271,270,252,188,181,202,274,237,142,229,296,151,188,231,197,256,360,289,166,174,216,441,282,458,238,368,248,282,335
"10829","107294326","N-deacetylase/N-sulfotransferase 2",200,199,233,153,152,120,82,101,176,60,199,274,176,74,119,99,101,88,255,99,86,163,464,202,314,186,127,226,173,257
"10830","107294327","poly(ADP-ribose) glycohydrolase-like",21,20,16,15,7,17,13,5,12,16,13,22,6,7,14,11,10,8,33,7,8,21,41,27,30,10,16,12,19,12
"10831","107294328","nuclear receptor coactivator 4",453,204,256,194,320,248,125,172,203,212,255,575,212,177,125,179,129,153,479,214,130,294,872,233,675,140,197,239,255,119
"10832","107294330","synaptotagmin 15",0,2,1,2,1,2,0,1,4,2,3,0,0,1,1,1,1,0,0,0,0,2,0,1,0,0,1,0,1,0
"10833","107294331","mitochondrial import inner membrane translocase subunit Tim23-like",762,163,248,521.14,355.03,153.04,120,125,308,126,203,237,117,263,177,140,234.88,247,238.95,191.98,166,203,283.97,191,471,338.95,213,1668,219,1159
"10834","107294332","synuclein gamma",3,12.95,28.09,12.06,6,9,2,3,19.39,10.54,13.58,26.99,10,0,0,1,0,0,37,3,9.63,8.23,25,44,6,32.1,14,19,2,20
"10835","107294333","family with sequence similarity 35 member A",95,120,120,94,91,63,24,71,99,80,138,72,111,74,61,75,71,76,112,54,52,185,433,110,185,94,61,52,153,57
"10836","107294334","tubulin tyrosine ligase like 1",631.81,286.05,529,272.01,298,174,118.37,215.38,386.56,140.21,263.89,206.38,206.9,261,64.3,187.1,306.43,190,513,197.04,131.82,198.47,283.04,543,499.55,488.91,369,184,386,357
"10837","107294335","glutamate dehydrogenase 1",83.47,136.44,128.08,78.06,67.85,124.1,42.53,56.11,174.73,30.55,169.45,110.48,104.75,52.1,80.88,59.12,29.51,61.35,217.58,40.5,39.58,127.71,382,149.32,111.13,68.59,108.71,169.62,184.23,82.32
"10838","107294336","thioredoxin reductase 3",798,1319,1089,568,437,540,175,336,402,266,943,595,651,299,327,297,285,370,775,355,325,1167,1627,860,856,1182,484,125,801,302
"10839","107294337","cache domain containing 1",59.6,211.2,237.34,44.96,32,124.42,26,48.09,120,34.5,109.78,93,94.1,44.96,51.23,30.32,41,26.14,132.78,66.91,28,136.96,406.71,115.01,100.37,86.78,78.41,22,96.19,45
"10840","107294339","ribonucleoprotein PTB-binding 2",1432,570,1204,1032,549,365,842,700,810,400,302,675,206,601,857,803,1088,692,555,574,738,372,492,442,1118,503,1263,662,328,1462
"10841","107294340","Janus kinase 1",2330,3707,3873,2079,1328,2174,776,1523,2172,1082,3326,2016,2086,1127,1242,1328,1246,1219,3552,1204,1222,2370,4731,3201,3476,3056,1941,640,3102,1299
"10842","107294341","adenylate kinase 4",596,765,969,801,395,777,526,896,555,702,1021,726,545,501,811,833,427,302,706,523,802,987,820,603,472,1028,517,159,743,238
"10843","107294342","leptin receptor overlapping transcript",262,204,540,104,316,212,73,66,369,95,282,134,228,74,169,174,67,250,630,113,162,357,354,459,167,261,475,28,271,164
"10844","107294343","structural maintenance of chromosomes 1B",0,8,5,0,2,1,1,2,2,1,2,0,3,2,1,0,0,0,5,4,1,4,3,9,2,7,0,1,5,1
"10845","107294344","family with sequence similarity 118 member A",6,32,42,8,20,6,1,4,19,5,25,9,25,10,3,14,10,6,28,6,9,19,32,22,18,20,8,5,16,8
"10846","107294345","RIB43A domain with coiled-coils 2",17,62,74,168,21,98,11,143,108,30,156,47,216,34,21,192,41,34,237,59,219,531,66,320,33,211,86,18,109,12
"10847","107294346","DTW domain containing 2",281,43,79,70,64,49,60,47,67,68,56,49,15,125,76,55,105,88,96,47,37,38,43,79,99,31,98,46,42,61
"10848","107294347","Dmx like 1",966,488,484,694,496,307,585,600,634,612,446,243,256,523,703,560,612,506,447,580,410,514,481,349,741,398,792,233,290,462
"10849","107294348","TNF alpha induced protein 8",1061,1078,1340,833,508,577,267,448,740,327,742,719,593,418,261,385,588,583,1259,520,455,813,1321,792,1098,1171,895,92,631,383
"10850","107294349","hydroxysteroid (17-beta) dehydrogenase 4",445,822,1030,278,301,443,198,254,570,190,658,575,477,267,267,345,344,294,1189,396,277,864,1389,894,651,376,513,88,453,241
