Orthogroup	P_Mucros.pep	N_naja.pep
OG0004023	XP_029142107.1	Nana16423-RB
OG0004024	XP_015679311.1, XP_015679312.1	Nana05823-RA
OG0004025	XP_015684627.1, XP_015669254.1, XP_015685385.1	Nana12510-RA
OG0004026	XP_015685389.1	Nana11287-RA
OG0004026	XP_015682334.1	Nana11287-RB
OG0004028	XP_029139771.1	Nana00643-RA, Nana39309-RA, Nana00643-RB
OG0004029	XP_015681053.1	Nana05948-RA
OG0004030	XP_015684872.1, XP_015674880.1	Nana16432-RA
OG0004031	XP_015685601.1, XP_015682464.1	Nana12500-RA
OG0004032	XP_029140993.1	Nana17518-RC, Nana17518-RB, Nana17518-RA
OG0004033	XP_029142272.1	Nana28554-RA, Nana28554-RB, Nana28554-RC
OG0004034	XP_029141506.1	Nana17215-RJ, Nana17215-RH, Nana17215-RI, Nana17215-RG
OG0004035	XP_015674737.1	Nana33965-RE, Nana33965-RC, Nana33965-RF, Nana33965-RD
OG0004036	XP_015686570.1, XP_015673590.1, XP_015673589.1	Nana19247-RA
OG0004037	XP_015679102.1	Nana35363-RB, Nana35363-RA, Nana35363-RC
OG0004038	XP_015680348.1, XP_015685535.1, XP_015670322.1	Nana00699-RA
OG0004039	XP_029138924.1	Nana35391-RB, Nana35391-RC, Nana35391-RD
OG0004040	XP_015687119.1	Nana36723-RC, Nana36723-RB, Nana36723-RA
OG0004041	XP_015679835.1	Nana36763-RA
OG0004042	XP_015685262.2, XP_015685020.1	Nana18794-RA
OG0004043	XP_029139180.1	Nana34569-RF, Nana34569-RG, Nana34569-RH, Nana34569-RE
OG0004044	XP_029139502.1	Nana34877-RA
OG0004045	XP_015667469.1	Nana34573-RC, Nana34573-RA, Nana34573-RB
OG0004046	XP_015680428.1, XP_015680427.1, XP_015680425.1	Nana18783-RA
OG0004047	XP_029140198.1	Nana03285-RA, Nana03285-RE
OG0004048	XP_015679039.1	Nana18819-RB, Nana18819-RA, Nana18819-RC
OG0004049	XP_029139497.1	Nana34863-RA, Nana34863-RB, Nana34863-RC
OG0004050	XP_015673996.1	Nana30645-RA
OG0004051	XP_015672077.1	Nana30290-RA, Nana30290-RB, Nana30290-RD
OG0004052	XP_015669147.1	Nana34860-RA
OG0004053	XP_015665866.1	Nana09793-RA
OG0004054	XP_015672068.1	Nana30298-RA
OG0004055	XP_015671089.2	Nana00565-RA
OG0004056	XP_029141176.1, XP_015677856.1	Nana35857-RA, Nana35857-RB
OG0004058	XP_015683430.1, XP_015684800.1	Nana17874-RA
OG0004059	XP_029138906.1	Nana04503-RA
OG0004060	XP_015667137.1	Nana29817-RB, Nana29817-RC, Nana29817-RA
OG0004061	XP_015677004.1	Nana16199-RB, Nana16199-RC, Nana16199-RA
OG0004062	XP_029140921.1	Nana34222-RA
OG0004062	XP_015676643.1	Nana34224-RA
OG0004063	XP_015680681.1	Nana17495-RA, Nana17495-RB
OG0004064	XP_015667133.1, XP_015667134.1	Nana29825-RA, Nana29825-RB
OG0004065	XP_015674939.1	Nana15353-RA
OG0004066	XP_015669136.1	Nana34838-RA
OG0004067	XP_015682731.1, XP_015688028.1	Nana21192-RA, Nana21192-RB
OG0004068	XP_029139490.1	Nana28822-RA
OG0004069	XP_015667569.1, XP_015667570.1	Nana31074-RA
OG0004070	XP_015669224.1	Nana28798-RA
OG0004071	XP_015682812.1	Nana33823-RB, Nana33823-RA, Nana33823-RC
OG0004072	XP_029142256.1	Nana33825-RB, Nana33825-RA
OG0004073	XP_015674220.1	Nana01952-RB, Nana01952-RA
OG0004074	XP_029140235.1	Nana25676-RA
OG0004075	XP_029142700.1	Nana13213-RG, Nana13213-RE, Nana13213-RA
OG0004076	XP_015672794.1	Nana25672-RA, Nana25672-RC, Nana25672-RD, Nana25672-RB
OG0004077	XP_015670068.1, XP_015670069.1	Nana19716-RB, Nana19716-RA
OG0004078	XP_015673891.1	Nana03516-RB, Nana03516-RC, Nana03516-RA
OG0004079	XP_015668961.1	Nana16163-RE, Nana16163-RF, Nana16163-RD
OG0004080	XP_015681775.1	Nana11429-RA
OG0004081	XP_015674673.1	Nana33996-RA
OG0004082	XP_015680230.1	Nana35085-RA
OG0004082	XP_015680402.1	Nana35081-RA
OG0004083	XP_029139183.1	Nana34624-RA, Nana34624-RC, Nana34624-RB
OG0004084	XP_015669220.1	Nana28777-RC
OG0004084	XP_015676891.1	Nana28777-RA
OG0004085	XP_015677449.1	Nana35113-RA
OG0004086	XP_015667437.1	Nana34627-RC, Nana34627-RD, Nana34627-RA
OG0004087	XP_015680873.1	Nana18980-RA
OG0004088	XP_015668731.1	Nana19119-RB, Nana19119-RC
OG0004089	XP_015672517.1, XP_015672516.1	Nana25117-RA, Nana25117-RB
OG0004090	XP_015671148.1	Nana12014-RA
OG0004090	XP_015677179.1	Nana12013-RA
OG0004091	XP_015670029.1, XP_015670028.1, XP_015670027.1	Nana05078-RA
OG0004092	XP_015670031.1, XP_015670030.1	Nana05083-RB, Nana05083-RA
OG0004093	XP_015685973.1, XP_015671131.1	Nana25098-RA
OG0004094	XP_015671716.1	Nana31626-RA
OG0004096	XP_015685567.1, XP_015684473.1	Nana25577-RA, Nana39865-RA, Nana39864-RA
OG0004097	XP_015684726.1	Nana25578-RA
OG0004098	XP_015673172.2, XP_015684828.2	Nana11985-RA
OG0004099	XP_015674210.1, XP_015674209.1	Nana30121-RA
OG0004100	XP_029138874.1	Nana23232-RA, Nana23232-RB
OG0004101	XP_015683516.1	Nana36945-RA
OG0004101	XP_015683515.1	Nana36948-RA
OG0004102	XP_015674216.1, XP_029140471.1	Nana30125-RB, Nana30125-RC
OG0004103	XP_015674224.1	Nana31571-RA, Nana31571-RB, Nana31571-RE
OG0004104	XP_015681318.1	Nana05103-RB, Nana05103-RC, Nana05103-RA
OG0004105	XP_015683365.1	Nana38303-RA, Nana38304-RA
OG0004106	XP_015673273.1, XP_015673272.1	Nana14126-RB, Nana14126-RA
OG0004107	XP_015672063.1	Nana35836-RA
OG0004108	XP_015668291.1	Nana00602-RA, Nana00602-RB
OG0004109	XP_029140472.1	Nana31576-RC, Nana31576-RB, Nana31576-RA
OG0004110	XP_015681103.1, XP_015678131.1	Nana00747-RA
OG0004111	XP_015679023.1, XP_029141420.1	Nana30135-RB, Nana30135-RA
OG0004112	XP_029140031.1, XP_015671706.1	Nana31618-RA
OG0004113	XP_015669968.1, XP_015669967.1, XP_029139694.1	Nana14098-RA
OG0004114	XP_015669971.1, XP_015669970.1, XP_015669969.1	Nana14095-RA
OG0004115	XP_015674760.1	Nana33966-RD, Nana33966-RC, Nana33966-RB
OG0004116	XP_015674415.1, XP_015674414.1	Nana16062-RB, Nana16062-RA
OG0004117	XP_015677590.1	Nana37125-RA
OG0004118	XP_015665986.1	Nana23792-RA
OG0004119	XP_015674412.1, XP_015674411.1	Nana16060-RA
OG0004120	XP_029139755.1	Nana03532-RA, Nana03532-RC, Nana03532-RB
OG0004121	XP_015666899.1	Nana31827-RB, Nana31827-RA
OG0004122	XP_029139872.1	Nana34809-RA, Nana34809-RB, Nana34809-RC
OG0004123	XP_015672472.1, XP_015672470.1, XP_015672471.1	Nana14078-RA
OG0004124	XP_015669783.1	Nana21124-RC, Nana21124-RB, Nana21124-RA
OG0004125	XP_015685118.1, XP_015685117.1, XP_015682460.1	Nana17141-RA
OG0004126	XP_029139068.1	Nana31825-RA, Nana31825-RC, Nana31825-RB
OG0004127	XP_015683404.1	Nana36690-RC, Nana36690-RB
OG0004128	XP_015685829.1, XP_029141151.1	Nana24257-RA
OG0004129	XP_015676790.1	Nana34062-RA, Nana34062-RB
OG0004130	XP_015684562.1	Nana17137-RA
OG0004131	XP_015666927.1	Nana31824-RA
OG0004132	XP_029140915.1	Nana37056-RA
OG0004133	XP_015668397.1	Nana29040-RA, Nana29040-RB
OG0004134	XP_015686337.1, XP_015685651.2	Nana18436-RA
OG0004135	XP_029142860.1	Nana27849-RA
OG0004136	XP_015681023.1	Nana15999-RA
OG0004137	XP_015688013.1	Nana21235-RA, Nana21235-RB
OG0004138	XP_015667282.1, XP_015667281.1	Nana26922-RB, Nana26922-RA
OG0004139	XP_015680250.1	Nana35265-RA, Nana35262-RA, Nana35264-RA
OG0004140	XP_015681308.1	Nana15959-RA
OG0004141	XP_015680251.1	Nana35257-RA, Nana35257-RB
OG0004142	XP_015665768.1, XP_015683382.1	Nana23559-RD, Nana23559-RB, Nana23559-RC
OG0004143	XP_015666973.1	Nana21271-RB, Nana21271-RC, Nana21271-RA
OG0004144	XP_029142185.1	Nana15946-RA, Nana15946-RB
OG0004145	XP_015687607.2, XP_015687608.1	Nana08758-RA
OG0004146	XP_015679098.1, XP_015679097.1	Nana35921-RA, Nana35921-RB
OG0004147	XP_015670287.1	Nana00654-RA
OG0004148	XP_015674671.1, XP_015674672.1	Nana33999-RA
OG0004149	XP_015674746.1	Nana33976-RC, Nana33976-RA, Nana33976-RB
OG0004150	XP_015674758.1	Nana33975-RB, Nana33975-RA
OG0004151	XP_015687175.1	Nana15884-RA
OG0004152	XP_029138922.1	Nana06298-RA, Nana06298-RB
OG0004153	XP_015682702.1	Nana25595-RA
OG0004154	XP_015677505.1	Nana31716-RC, Nana31716-RA, Nana31716-RB
OG0004155	XP_029138862.1, XP_015684104.1	Nana23510-RA, Nana23511-RA
OG0004156	XP_015667508.1, XP_029139191.1, XP_029139192.1	Nana21335-RA
OG0004157	XP_015674497.1	Nana05980-RC, Nana05980-RA, Nana05980-RB
OG0004158	XP_029140486.1	Nana11116-RA
OG0004158	XP_029142275.1	Nana37250-RA
OG0004159	XP_015670176.1	Nana15850-RA
OG0004159	XP_015670175.1	Nana15851-RA
OG0004160	XP_015667509.2, XP_029139193.1	Nana21337-RA, Nana21337-RB
OG0004161	XP_015669541.1	Nana11110-RA
OG0004162	XP_015687626.1, XP_015687627.1, XP_029143170.1	Nana05867-RA
OG0004163	XP_015687618.1, XP_015687619.1	Nana05863-RA, Nana05863-RB
OG0004164	XP_015686625.1	Nana03828-RA
OG0004165	XP_015675997.1, XP_015685550.1	Nana15837-RA
OG0004166	XP_015675990.1, XP_015675993.1, XP_015675991.1, XP_015675992.1	Nana15832-RA
OG0004167	XP_015671227.1	Nana13701-RA, Nana13701-RC, Nana13701-RB
OG0004168	XP_029139584.1	Nana11100-RB, Nana11100-RD, Nana11100-RC
OG0004169	XP_015669492.1	Nana11101-RA
OG0004170	XP_015670042.1	Nana11002-RA
OG0004171	XP_015671225.1, XP_015671226.1	Nana13696-RA, Nana13696-RB
OG0004172	XP_015669927.1	Nana11003-RA, Nana11004-RA
OG0004173	XP_015678384.1	Nana22216-RA
OG0004174	XP_029138798.1	Nana06009-RA, Nana06009-RB
OG0004175	XP_015686348.1, XP_015687587.1	Nana36554-RA
OG0004176	XP_015671734.1	Nana33689-RB, Nana33689-RC, Nana33689-RA
OG0004177	XP_015666159.1	Nana21383-RA
OG0004178	XP_015666138.1, XP_015666137.1	Nana21395-RB, Nana21395-RA
OG0004179	XP_015680328.1	Nana37546-RA
OG0004180	XP_015687111.1	Nana33221-RA, Nana33223-RA
OG0004181	XP_015667108.1	Nana29871-RB, Nana29871-RC, Nana29871-RD
OG0004182	XP_015667125.1	Nana29873-RA, Nana29873-RB
OG0004183	XP_015666134.1	Nana21397-RA, Nana21397-RB, Nana21397-RC
OG0004184	XP_015666131.1, XP_015666132.1, XP_015666130.1	Nana21401-RA
OG0004185	XP_015676769.1, XP_015676768.1	Nana15594-RB, Nana15594-RA
OG0004186	XP_015670636.1	Nana01500-RA
OG0004187	XP_015684677.1	Nana18598-RC, Nana18598-RD
OG0004188	XP_015670635.1	Nana01499-RA, Nana01499-RB
OG0004189	XP_015676594.1	Nana32469-RA
OG0004190	XP_015666156.1	Nana21418-RA
OG0004191	XP_015667151.1	Nana29736-RA
OG0004192	XP_015676173.1	Nana32483-RB
OG0004193	XP_015667054.1	Nana21590-RB, Nana21590-RA
OG0004194	XP_015676853.1, XP_015676854.1	Nana25933-RA
OG0004195	XP_015667490.1	Nana34586-RA
OG0004196	XP_015678591.1	Nana30757-RA, Nana30757-RB
OG0004197	XP_015677178.1	Nana15580-RA
OG0004197	XP_015684156.1	Nana15581-RA
OG0004198	XP_015683148.1	Nana04553-RB, Nana04553-RC, Nana04553-RA
OG0004199	XP_015679776.1	Nana28359-RA, Nana28359-RB
OG0004200	XP_015683981.1, XP_015684058.2	Nana04554-RA, Nana39651-RA
OG0004201	XP_029141253.1, XP_029141254.1	Nana04555-RB, Nana04555-RA
OG0004202	XP_029141272.1	Nana19321-RA
OG0004203	XP_015667041.1	Nana21512-RA, Nana21511-RA
OG0004204	XP_015675643.1	Nana16317-RA, Nana16317-RB
OG0004205	XP_015668250.1	Nana37597-RA
OG0004206	XP_029140926.1	Nana15570-RA
OG0004207	XP_015666708.1, XP_015666707.1	Nana21488-RB, Nana21488-RA
OG0004208	XP_015673853.1	Nana03553-RB, Nana03553-RA
OG0004209	XP_029140785.1, XP_015675987.1	Nana03556-RA, Nana03556-RB
OG0004210	XP_015668622.1	Nana15182-RB, Nana15182-RA, Nana15182-RC
OG0004211	XP_029141974.1, XP_015686358.1	Nana36981-RA, Nana36981-RB
OG0004212	XP_029139754.1	Nana03527-RA
OG0004213	XP_015678762.1	Nana33077-RA
OG0004215	XP_015670388.1, XP_015670380.1	Nana24941-RA
OG0004216	XP_015684113.1, XP_015684822.1	Nana33769-RA, Nana33769-RB
OG0004217	XP_015666779.1	Nana19391-RB, Nana19391-RA
OG0004218	XP_015665994.1, XP_015666064.1	Nana17850-RA
OG0004219	XP_015679143.1	Nana27750-RA, Nana27756-RA, Nana27757-RA, Nana27762-RA, Nana27762-RB, Nana27752-RA
OG0004220	XP_015665546.1, XP_015665473.1, XP_015665398.1	Nana17839-RA
OG0004221	XP_015679105.2	Nana27773-RC, Nana27773-RA, Nana27773-RB
OG0004222	XP_015687493.1	Nana15269-RA
OG0004223	XP_015677889.1	Nana20690-RC, Nana20690-RA, Nana20690-RB
OG0004224	XP_015666666.1	Nana21459-RA
OG0004225	XP_015667016.1	Nana14435-RA
OG0004226	XP_029143074.1	Nana36704-RC, Nana36704-RA, Nana36704-RB
OG0004227	XP_015673938.1	Nana33087-RC, Nana33087-RB, Nana33087-RA
OG0004228	XP_015681896.1	Nana34172-RC, Nana34172-RA, Nana34172-RB
OG0004229	XP_015677913.1	Nana02778-RA
OG0004230	XP_015677652.2	Nana20171-RA
OG0004231	XP_015677389.1	Nana03454-RB, Nana03454-RA
OG0004232	XP_015673264.1	Nana05920-RA
OG0004233	XP_029142098.1	Nana36754-RA, Nana36754-RB, Nana36754-RC
OG0004234	XP_029140942.1, XP_015676751.1	Nana09944-RA
OG0004235	XP_015678169.1	Nana13539-RC, Nana13539-RB
OG0004236	XP_015676639.1	Nana34214-RC, Nana34214-RA, Nana34214-RB
OG0004237	XP_015687384.1, XP_015687385.1	Nana32395-RA
OG0004238	XP_029139848.1	Nana21439-RA, Nana21439-RB
OG0004239	XP_015676969.1	Nana20670-RA, Nana20670-RB
OG0004240	XP_015671638.1	Nana14997-RA
OG0004240	XP_015671645.1	Nana14996-RA
OG0004241	XP_029141497.1	Nana09939-RA, Nana09939-RB
OG0004242	XP_015678878.1, XP_015678877.1	Nana27447-RA
OG0004243	XP_015679691.2, XP_015684792.1	Nana09936-RB, Nana09936-RA
OG0004244	XP_015671626.1, XP_015686325.1	Nana14992-RA
OG0004245	XP_015676991.1	Nana20661-RB, Nana20661-RA
OG0004246	XP_015666116.1	Nana21436-RA
OG0004247	XP_015679433.1	Nana17221-RB, Nana17221-RC, Nana17221-RE, Nana17221-RA, Nana17221-RD
OG0004248	XP_029141569.1	Nana39440-RA, Nana14986-RA
OG0004249	XP_015683967.1, XP_015686477.1	Nana36571-RA, Nana36571-RB
OG0004250	XP_015679418.1, XP_015679411.1	Nana14985-RB, Nana14985-RA
OG0004251	XP_015684016.1	Nana37296-RA
OG0004252	XP_015677264.1	Nana38522-RB, Nana38522-RA
OG0004252	XP_015677265.1	Nana38521-RA
OG0004253	XP_015676980.1	Nana20660-RC, Nana20660-RA, Nana20660-RB
OG0004255	XP_015679448.1	Nana14977-RA
OG0004255	XP_015679440.1	Nana14979-RA
OG0004256	XP_029142404.1	Nana00475-RA
OG0004257	XP_015666121.1	Nana21430-RA
OG0004258	XP_015681001.1, XP_015685710.1	Nana04018-RA
OG0004259	XP_015679459.1, XP_015686404.1	Nana14976-RA
OG0004260	XP_015675506.1	Nana04950-RA
OG0004261	XP_015683315.1	Nana13209-RA
OG0004262	XP_015666926.1	Nana31775-RC, Nana31775-RE, Nana31775-RD
OG0004263	XP_015665734.1, XP_015672216.1	Nana23643-RA
OG0004264	XP_029139489.1	Nana16675-RA
OG0004265	XP_015675518.1	Nana04965-RA
OG0004266	XP_015668914.1	Nana16670-RA
OG0004267	XP_015687226.2	Nana33721-RC, Nana33721-RB, Nana33721-RA
OG0004268	XP_015666004.1, XP_015666003.1	Nana23746-RA
OG0004269	XP_015687227.1	Nana33717-RA, Nana33717-RB
OG0004270	XP_015672009.1	Nana04180-RB, Nana04180-RA, Nana04180-RC
OG0004271	XP_015687524.1	Nana15277-RA
OG0004272	XP_015679540.1, XP_015679539.2	Nana05692-RA
OG0004273	XP_015672020.1	Nana04182-RA
OG0004274	XP_015687501.1, XP_015687500.1	Nana15281-RA
OG0004275	XP_015671250.1	Nana34711-RA
OG0004276	XP_015686034.1	Nana34124-RA
OG0004277	XP_015674612.1	Nana20587-RA
OG0004278	XP_015674607.1, XP_015685836.1	Nana20583-RA
OG0004279	XP_015684425.1	Nana15402-RA
OG0004280	XP_015674609.1	Nana20581-RA, Nana20581-RB
OG0004281	XP_015676773.1, XP_015676774.1	Nana20546-RA
OG0004282	XP_015667077.1, XP_015667076.1	Nana21659-RA
OG0004283	XP_015667101.1	Nana21664-RA
OG0004284	XP_015671200.1, XP_015671199.1, XP_015671201.1	Nana10454-RB
OG0004285	XP_029141251.1	Nana27572-RA
OG0004285	XP_015678184.1	Nana27570-RA
OG0004286	XP_029140088.1	Nana35835-RA
OG0004286	XP_015677796.1	Nana27568-RA
OG0004287	XP_015684440.1, XP_015684433.1	Nana15404-RA, Nana15404-RB
OG0004288	XP_015666432.1, XP_015680589.1	Nana23708-RA
OG0004289	XP_015678045.1, XP_015686137.1	Nana35202-RB, Nana35202-RA
OG0004290	XP_015671159.1, XP_015671158.1	Nana27464-RB, Nana27464-RA
OG0004291	XP_015680606.1	Nana03639-RA
OG0004292	XP_015667320.1	Nana21685-RA
OG0004293	XP_015666434.2, XP_029142925.1	Nana23693-RA
OG0004294	XP_015672260.1	Nana21691-RA
OG0004295	XP_015666296.1	Nana21702-RA, Nana21703-RA
OG0004296	XP_015666282.1, XP_015666283.1	Nana21704-RA
OG0004297	XP_029143105.1	Nana20500-RA
OG0004298	XP_015682662.1	Nana27486-RB, Nana27486-RC
OG0004299	XP_015687068.1	Nana08459-RA
OG0004300	XP_015687308.1, XP_015687307.1, XP_015687309.1	Nana20474-RB, Nana20474-RA
OG0004301	XP_029139612.1	Nana27504-RC, Nana27504-RA, Nana27504-RB
OG0004302	XP_015668504.1, XP_015668503.1	Nana20414-RA
OG0004304	XP_015666227.1	Nana03203-RA, Nana21924-RA, Nana21923-RA
OG0004305	XP_015679071.1	Nana27544-RA
OG0004306	XP_015676566.1, XP_015685696.1	Nana27549-RC, Nana27549-RB
OG0004307	XP_015676580.1	Nana20311-RC, Nana20311-RB, Nana20311-RA
OG0004308	XP_015676579.1	Nana20310-RB, Nana20310-RA
OG0004309	XP_015671794.1, XP_029140036.1	Nana20307-RA
OG0004310	XP_015678618.1	Nana22107-RA, Nana22107-RC, Nana22107-RB
OG0004311	XP_015675811.2	Nana27414-RA
OG0004312	XP_015671777.1	Nana20301-RC, Nana20301-RB, Nana20301-RA
OG0004313	XP_029139158.1	Nana33629-RB, Nana33629-RA
OG0004314	XP_015672816.1	Nana27428-RA
OG0004315	XP_015672755.1	Nana27429-RA
OG0004316	XP_015678607.1, XP_029141405.1	Nana22149-RA, Nana22149-RB
OG0004317	XP_029140132.1, XP_015672291.1, XP_015672292.2	Nana14951-RA
OG0004318	XP_029143070.1	Nana14939-RB
OG0004319	XP_015673725.1	Nana27398-RA, Nana27398-RB, Nana27398-RC
OG0004320	XP_015684710.2	Nana20266-RA
OG0004320	XP_029141229.1	Nana02665-RA
OG0004321	XP_015687088.1	Nana14937-RD, Nana14937-RC, Nana14937-RE
OG0004322	XP_015687084.1	Nana14936-RB, Nana14936-RA, Nana14936-RC
OG0004323	XP_015673718.1	Nana27395-RB, Nana27395-RA, Nana27395-RC
OG0004324	XP_015673730.1	Nana27394-RA
OG0004325	XP_015673717.1	Nana27393-RA, Nana27393-RB, Nana27393-RC
OG0004326	XP_029139128.1	Nana22315-RA
OG0004326	XP_029139127.1	Nana22305-RA
OG0004327	XP_029139129.1	Nana22333-RA
OG0004329	XP_015667237.1, XP_015667235.1, XP_015667234.1	Nana22354-RA
OG0004330	XP_029141159.1, XP_015679346.1	Nana27385-RA
OG0004331	XP_015680411.1, XP_015680410.1	Nana14920-RA
OG0004331	XP_015680412.1	Nana14920-RB
OG0004332	XP_015667249.1, XP_015667250.1, XP_015667251.1	Nana22411-RA
OG0004333	XP_015686468.1	Nana20177-RA
OG0004334	XP_015672223.1	Nana20162-RA
OG0004335	XP_015672220.1, XP_015686006.1, XP_015682116.1	Nana20159-RA
OG0004336	XP_029139246.1	Nana02964-RA
OG0004337	XP_015668330.1	Nana27353-RA
OG0004338	XP_015668285.1, XP_015668284.1	Nana22536-RA, Nana03062-RA
OG0004339	XP_015687223.1, XP_015687216.1	Nana27339-RB, Nana27339-RA
OG0004340	XP_015679728.1	Nana20134-RA, Nana20134-RB, Nana39509-RA
OG0004341	XP_015679721.1	Nana20126-RA
OG0004342	XP_015684659.1	Nana22639-RA, Nana22640-RA
OG0004343	XP_029143106.1, XP_029143164.1	Nana27328-RC, Nana27328-RD
OG0004344	XP_015671083.1	Nana20115-RA
OG0004345	XP_015687102.1	Nana14833-RA
OG0004346	XP_015667555.1	Nana22663-RA
OG0004346	XP_015667556.1	Nana22664-RA
OG0004347	XP_029143111.1	Nana27323-RA
OG0004348	XP_015669622.1, XP_015669623.1	Nana20085-RB, Nana20085-RA
OG0004349	XP_015682725.1	Nana27273-RA, Nana27273-RB
OG0004350	XP_015682723.1	Nana27272-RA
OG0004351	XP_015669633.1, XP_015669634.1	Nana20066-RA
OG0004352	XP_015669636.1	Nana20065-RA
OG0004353	XP_015677032.1	Nana27269-RA, Nana03167-RA
OG0004354	XP_015671020.1	Nana14651-RA
OG0004355	XP_015669212.1	Nana20040-RB, Nana20040-RA, Nana20040-RC
OG0004356	XP_015669072.2	Nana27242-RC, Nana27242-RB, Nana27242-RA
OG0004357	XP_015679288.1, XP_015679289.1	Nana22733-RB, Nana22733-RA
OG0004358	XP_015686955.1	Nana22761-RB, Nana22761-RC, Nana22761-RA
OG0004359	XP_029139492.1	Nana27237-RB, Nana27237-RC, Nana27237-RA
OG0004360	XP_015669079.1, XP_015669081.1, XP_015669080.1	Nana27233-RA
OG0004361	XP_015686961.1, XP_015686960.1, XP_015686962.1	Nana22766-RA
OG0004362	XP_029139809.1	Nana14564-RA, Nana14564-RC, Nana14564-RB
OG0004363	XP_015686972.1	Nana22789-RA, Nana22789-RB
OG0004364	XP_015669192.1	Nana20005-RA, Nana20005-RB
OG0004365	XP_015669000.1	Nana27212-RA
OG0004366	XP_015669017.1	Nana27211-RA, Nana27211-RC, Nana27211-RB
OG0004367	XP_015686982.1, XP_015686983.1	Nana22816-RA
OG0004368	XP_015686987.1, XP_015686986.1	Nana22822-RB, Nana22822-RA
OG0004370	XP_029138953.1, XP_015666363.1, XP_015666364.1	Nana14539-RA
OG0004371	XP_029143054.1, XP_029143055.1	Nana22827-RB, Nana22827-RA
OG0004372	XP_015686992.1	Nana22828-RA
OG0004373	XP_015685917.1, XP_029140015.1	Nana19992-RB, Nana19992-RA
OG0004374	XP_015673991.1, XP_015673993.1	Nana19985-RB, Nana19985-RA
OG0004375	XP_029143063.1	Nana22836-RC, Nana22836-RB
OG0004376	XP_015676394.1, XP_015676395.1, XP_015676396.1	Nana27120-RA
OG0004377	XP_015671742.1, XP_015671743.1	Nana19973-RA
OG0004378	XP_015671751.1	Nana19962-RA, Nana19962-RB
OG0004379	XP_015687004.1	Nana22852-RC, Nana22852-RD
OG0004380	XP_015673641.1	Nana27105-RA
OG0004381	XP_015666863.1	Nana14337-RA
OG0004382	XP_015680008.2	Nana19938-RA, Nana19938-RB
OG0004383	XP_015674930.1	Nana27089-RB, Nana27089-RA
OG0004384	XP_015669677.1	Nana22886-RA
OG0004385	XP_029139043.1	Nana14348-RB, Nana14348-RC, Nana14348-RA
OG0004386	XP_015675257.1	Nana19828-RA
OG0004387	XP_015670247.1	Nana22903-RA
OG0004388	XP_015668117.1, XP_015668116.1	Nana27073-RB, Nana27073-RA
OG0004389	XP_015670250.1, XP_015670251.1	Nana22906-RA
OG0004390	XP_015675267.1	Nana19808-RA
OG0004391	XP_015670253.1, XP_015670254.1	Nana22908-RA
OG0004392	XP_015680295.1	Nana38825-RA
OG0004392	XP_015686947.1	Nana22932-RA
OG0004393	XP_015666826.1, XP_015666827.1	Nana14394-RA, Nana14394-RB
OG0004394	XP_015666822.1	Nana14396-RB, Nana14396-RA
OG0004395	XP_015686946.2	Nana22936-RB, Nana22936-RC, Nana22936-RA
OG0004396	XP_015674316.1, XP_015674315.1	Nana19751-RB, Nana19751-RA
OG0004397	XP_015670111.1	Nana22939-RA, Nana22939-RC, Nana22939-RB
OG0004398	XP_015674323.1, XP_015674322.1	Nana19744-RA, Nana19744-RB
OG0004399	XP_015666451.1	Nana27029-RA
OG0004400	XP_015670126.1, XP_029139733.1, XP_029139732.1	Nana22940-RA
OG0004401	XP_015673596.1	Nana19740-RA, Nana19740-RB
OG0004402	XP_015666799.1	Nana14412-RB, Nana14412-RA
OG0004403	XP_015673963.1	Nana39344-RA
OG0004403	XP_015670120.1	Nana22951-RA
OG0004404	XP_015673598.1, XP_015673597.1	Nana19737-RA
OG0004405	XP_015666797.1, XP_015666798.1	Nana14417-RA
OG0004406	XP_015666791.1	Nana14426-RA
OG0004407	XP_015687700.1	Nana22968-RA
OG0004408	XP_015667014.1	Nana14432-RA
OG0004409	XP_015687707.1, XP_015687705.1, XP_015687706.1	Nana22984-RA
OG0004410	XP_015667276.1, XP_015667277.1, XP_015667275.1	Nana26930-RA
OG0004411	XP_015667272.1	Nana26932-RC, Nana26932-RB, Nana26932-RA
OG0004412	XP_015666393.1, XP_015666392.1	Nana14504-RA, Nana14504-RB
OG0004413	XP_015675157.1, XP_015675158.1, XP_015675156.1	Nana26947-RA
OG0004414	XP_015687722.1, XP_015678092.1	Nana23006-RA, Nana23006-RB
OG0004415	XP_015673585.1, XP_015673587.1, XP_015673588.1	Nana19242-RA
OG0004416	XP_015666387.1	Nana14509-RD, Nana14509-RB, Nana14509-RC
OG0004417	XP_015673140.1, XP_015673148.1	Nana19494-RB, Nana19494-RA
OG0004418	XP_029143207.1, XP_015687854.1	Nana17649-RA, Nana17649-RB
OG0004419	XP_015687680.2	Nana23039-RA
OG0004420	XP_029143208.1	Nana17667-RC, Nana17667-RB, Nana17667-RA
OG0004421	XP_015666369.1, XP_015685996.1	Nana14534-RB, Nana14534-RA
OG0004422	XP_015687751.1	Nana23055-RA, Nana23056-RA
OG0004423	XP_029139973.1	Nana02724-RA
OG0004424	XP_015669704.1	Nana19570-RC, Nana19570-RA, Nana19570-RB
OG0004425	XP_015669713.1	Nana19545-RA
OG0004426	XP_015687760.1	Nana23069-RB, Nana23069-RC, Nana23069-RA
