Orthogroup	P_Mucros.pep	C_familiaris.pep
OG0005722	XP_015687950.1	ENSCAFG00000018891.4
OG0005723	XP_015677351.1	ENSCAFG00000009305.5
OG0005724	XP_015678613.1, XP_015678612.1	ENSCAFG00000002852.4
OG0005725	XP_029139890.1	ENSCAFG00000011825.5
OG0005726	XP_015677131.1	ENSCAFG00000019030.4
OG0005727	XP_015671528.1	ENSCAFG00000043857.1, ENSCAFG00000019259.4
OG0005728	XP_015671036.1	ENSCAFG00000011808.5
OG0005729	XP_015687912.2	ENSCAFG00000020192.2, ENSCAFG00000018870.5
OG0005730	XP_015674282.1	ENSCAFG00000003615.5
OG0005731	XP_015677013.2	ENSCAFG00000016684.5
OG0005732	XP_015687945.1	ENSCAFG00000018867.5
OG0005733	XP_015677014.1	ENSCAFG00000016689.4
OG0005734	XP_015674110.1	ENSCAFG00000013843.5
OG0005735	XP_015666623.1	ENSCAFG00000009703.4
OG0005736	XP_029140484.1	ENSCAFG00000003619.4
OG0005737	XP_015677017.1	ENSCAFG00000016694.4
OG0005738	XP_015667015.1	ENSCAFG00000041093.1
OG0005739	XP_015669854.1	ENSCAFG00000011625.5
OG0005740	XP_015687928.1	ENSCAFG00000017071.4
OG0005741	XP_015677024.1, XP_015685668.1	ENSCAFG00000014320.4
OG0005742	XP_015674775.1	ENSCAFG00000030079.2
OG0005743	XP_015673619.1	ENSCAFG00000011576.5
OG0005744	XP_029141404.1, XP_029142901.1	ENSCAFG00000017625.5
OG0005745	XP_029143064.1	ENSCAFG00000015221.5
OG0005746	XP_015675121.1	ENSCAFG00000009460.4
OG0005747	XP_015686101.1, XP_015685035.2	ENSCAFG00000018715.4
OG0005748	XP_029142014.1	ENSCAFG00000018672.4
OG0005749	XP_015681807.2	ENSCAFG00000018668.4
OG0005750	XP_015673549.1, XP_015673548.1	ENSCAFG00000000718.5
OG0005751	XP_015680002.1	ENSCAFG00000019601.5
OG0005752	XP_015685954.1, XP_015677765.2	ENSCAFG00000009114.4
OG0005753	XP_015681033.1, XP_015681809.1	ENSCAFG00000019260.4
OG0005755	XP_015684856.1	ENSCAFG00000010258.4
OG0005756	XP_015673741.1	ENSCAFG00000044942.1
OG0005757	XP_015678094.1	ENSCAFG00000010377.5
OG0005758	XP_015678522.2	ENSCAFG00000010408.5
OG0005759	XP_015672938.1	ENSCAFG00000012514.4
OG0005760	XP_015672959.1, XP_015672958.1	ENSCAFG00000010114.4
OG0005761	XP_015671393.1	ENSCAFG00000002493.5
OG0005762	XP_015668583.1	ENSCAFG00000008849.5
OG0005763	XP_029143134.1	ENSCAFG00000016022.5
OG0005764	XP_015677959.1	ENSCAFG00000000341.4
OG0005766	XP_029141449.1	ENSCAFG00000008628.4
OG0005767	XP_015679157.1	ENSCAFG00000008598.4
OG0005768	XP_015685380.2, XP_029142549.1	ENSCAFG00000016208.5
OG0005769	XP_015683751.1	ENSCAFG00000009029.4
OG0005770	XP_015686140.2, XP_029142473.1	ENSCAFG00000009046.4
OG0005771	XP_015687555.1	ENSCAFG00000008505.4
OG0005772	XP_015668073.1	ENSCAFG00000023925.3
OG0005773	XP_015682323.1, XP_015683245.1	ENSCAFG00000016265.4
OG0005774	XP_015687554.1	ENSCAFG00000030018.2
OG0005775	XP_015682324.1	ENSCAFG00000016269.4
OG0005776	XP_015683504.1	ENSCAFG00000019272.4
OG0005777	XP_015675932.1	ENSCAFG00000014979.5
OG0005778	XP_015670291.1	ENSCAFG00000005048.4
OG0005779	XP_029139288.1	ENSCAFG00000014202.6
OG0005780	XP_015682553.1, XP_015684946.1	ENSCAFG00000009146.5
OG0005781	XP_015680315.1	ENSCAFG00000013552.5
OG0005782	XP_015668066.1	ENSCAFG00000014210.4
OG0005783	XP_015668077.1	ENSCAFG00000014213.4
OG0005784	XP_015675925.1	ENSCAFG00000044253.1
OG0005785	XP_015684984.1, XP_015675928.1	ENSCAFG00000014873.4
OG0005786	XP_015679875.1	ENSCAFG00000006869.4
OG0005787	XP_015684158.1	ENSCAFG00000017492.4
OG0005788	XP_029141339.1	ENSCAFG00000006544.5
OG0005789	XP_029139250.1	ENSCAFG00000007088.3
OG0005790	XP_029138883.1	ENSCAFG00000016987.4
OG0005791	XP_029142650.1, XP_029140775.1	ENSCAFG00000029040.2
OG0005792	XP_015687454.1	ENSCAFG00000019779.4
OG0005793	XP_015675921.1	ENSCAFG00000004526.6
OG0005794	XP_015672509.1	ENSCAFG00000018917.4
OG0005795	XP_015673036.2	ENSCAFG00000020409.5
OG0005796	XP_015675282.1	ENSCAFG00000023022.4
OG0005797	XP_015675284.1	ENSCAFG00000000096.4
OG0005798	XP_015673033.1	ENSCAFG00000020364.4
OG0005799	XP_015673032.1	ENSCAFG00000020363.4
OG0005800	XP_015687349.1	ENSCAFG00000007203.4
OG0005801	XP_015673077.1	ENSCAFG00000020374.5
OG0005802	XP_015687885.1	ENSCAFG00000017968.4
OG0005803	XP_015673270.1	ENSCAFG00000014750.4
OG0005804	XP_015673076.1	ENSCAFG00000020375.5
OG0005805	XP_029139342.1, XP_015668412.1	ENSCAFG00000013538.4
OG0005806	XP_015673114.1	ENSCAFG00000030126.1
OG0005807	XP_015670582.1	ENSCAFG00000012156.4
OG0005808	XP_015679892.1, XP_015679891.1	ENSCAFG00000007344.5
OG0005809	XP_015681324.1	ENSCAFG00000001543.4
OG0005810	XP_029140697.1	ENSCAFG00000019902.5
OG0005812	XP_015681979.1	ENSCAFG00000018135.4
OG0005813	XP_015675381.1	ENSCAFG00000015656.4
OG0005814	XP_015683214.1	ENSCAFG00000019117.4
OG0005815	XP_015674128.1	ENSCAFG00000010552.4
OG0005816	XP_015679306.1	ENSCAFG00000015598.4
OG0005817	XP_015682162.1	ENSCAFG00000007386.4
OG0005818	XP_015679300.1	ENSCAFG00000015585.6
OG0005819	XP_015679308.1	ENSCAFG00000015578.5
OG0005820	XP_029140258.1	ENSCAFG00000012557.4
OG0005821	XP_015681832.1	ENSCAFG00000000129.4
OG0005822	XP_029140720.1, XP_015675590.1, XP_015675588.1	ENSCAFG00000032261.2
OG0005823	XP_015676725.1	ENSCAFG00000016743.4
OG0005824	XP_029140714.1	ENSCAFG00000007590.4
OG0005825	XP_015685265.1, XP_015675586.1	ENSCAFG00000010488.4
OG0005826	XP_015675584.1, XP_029142835.1	ENSCAFG00000010534.4
OG0005827	XP_029140994.1	ENSCAFG00000008471.4
OG0005828	XP_015684571.1	ENSCAFG00000002473.4, ENSCAFG00000046244.1
OG0005829	XP_015686740.2, XP_015680685.1	ENSCAFG00000008956.4
OG0005830	XP_015683533.1, XP_015676729.1	ENSCAFG00000030333.1
OG0005831	XP_029142497.1	ENSCAFG00000023671.4
OG0005832	XP_015680634.1, XP_015680633.1	ENSCAFG00000006694.4
OG0005833	XP_015682234.1	ENSCAFG00000019917.4, ENSCAFG00000044526.1
OG0005834	XP_015665459.1	ENSCAFG00000015735.5
OG0005835	XP_015674601.1, XP_015674598.1	ENSCAFG00000007868.4
OG0005836	XP_015682886.1	ENSCAFG00000010432.5
OG0005837	XP_015679100.1	ENSCAFG00000028957.2
OG0005838	XP_015670321.1	ENSCAFG00000004647.4
OG0005839	XP_015673593.1	ENSCAFG00000014651.4
OG0005840	XP_015674327.1	ENSCAFG00000012274.4
OG0005841	XP_015681484.1, XP_015685806.1	ENSCAFG00000015861.4
OG0005844	XP_015681483.1	ENSCAFG00000015872.4
OG0005845	XP_015677747.1	ENSCAFG00000002315.4
OG0005846	XP_015682536.1	ENSCAFG00000015541.4
OG0005847	XP_015675715.1	ENSCAFG00000024624.3
OG0005848	XP_029141713.1, XP_015686269.1	ENSCAFG00000006985.6
OG0005849	XP_015676996.1	ENSCAFG00000012992.5
OG0005850	XP_015680327.1	ENSCAFG00000011405.4
OG0005851	XP_015675723.1	ENSCAFG00000002370.4
OG0005852	XP_015672643.1	ENSCAFG00000008031.4
OG0005853	XP_015683466.1, XP_015680424.1	ENSCAFG00000008880.5
OG0005854	XP_015669150.1	ENSCAFG00000006996.5
OG0005855	XP_015684854.1	ENSCAFG00000012811.5
OG0005856	XP_015680143.1	ENSCAFG00000008170.4
OG0005857	XP_015686249.1, XP_015684853.1	ENSCAFG00000031128.2
OG0005858	XP_015667494.1	ENSCAFG00000018959.4
OG0005859	XP_015672777.1, XP_015672784.1	ENSCAFG00000028527.2
OG0005860	XP_015680430.1	ENSCAFG00000006884.4
OG0005861	XP_029140231.1	ENSCAFG00000002386.4
OG0005862	XP_029139179.1	ENSCAFG00000018931.5
OG0005863	XP_029139186.1	ENSCAFG00000018920.5
OG0005864	XP_015680896.1	ENSCAFG00000002667.4, ENSCAFG00000023283.3
OG0005865	XP_015685605.1, XP_015673163.1	ENSCAFG00000013350.4
OG0005866	XP_015672885.1, XP_015672886.1	ENSCAFG00000010267.5
OG0005867	XP_015668199.1	ENSCAFG00000017252.4
OG0005868	XP_015674728.1	ENSCAFG00000018125.4
OG0005869	XP_015666204.1	ENSCAFG00000049675.1
OG0005870	XP_015674725.1, XP_029140807.1	ENSCAFG00000018132.4
OG0005871	XP_015672889.1	ENSCAFG00000010317.5
OG0005872	XP_015685944.1, XP_015685517.1	ENSCAFG00000014872.4
OG0005873	XP_015669131.1	ENSCAFG00000007468.4
OG0005874	XP_015680373.1	ENSCAFG00000050043.1, ENSCAFG00000012540.5
OG0005875	XP_015669151.1	ENSCAFG00000007482.4
OG0005876	XP_015669152.1	ENSCAFG00000007484.4, ENSCAFG00000007493.4
OG0005877	XP_029142245.1	ENSCAFG00000017645.5
OG0005878	XP_029140430.1	ENSCAFG00000015204.4
OG0005879	XP_015672007.1	ENSCAFG00000000045.4, ENSCAFG00000023414.2
OG0005880	XP_015672076.1	ENSCAFG00000011979.4
OG0005881	XP_015673933.1, XP_029140420.1	ENSCAFG00000013108.5
OG0005882	XP_015669144.1, XP_015669145.1	ENSCAFG00000007512.3
OG0005883	XP_029139496.1	ENSCAFG00000007524.4
OG0005884	XP_015672070.1, XP_015672069.1	ENSCAFG00000011935.4
OG0005885	XP_015672071.1, XP_015672072.1, XP_015672073.1	ENSCAFG00000011895.4
OG0005886	XP_029138802.1	ENSCAFG00000029882.2
OG0005887	XP_015685764.1, XP_029140787.1	ENSCAFG00000018173.4
OG0005888	XP_015672715.1	ENSCAFG00000012205.4
OG0005889	XP_015685300.2, XP_015674683.1	ENSCAFG00000019662.4
OG0005890	XP_015666621.1	ENSCAFG00000007658.4
OG0005891	XP_015686255.1, XP_015685501.1	ENSCAFG00000012022.4
OG0005892	XP_015684871.1	ENSCAFG00000001285.4
OG0005893	XP_015683991.1	ENSCAFG00000004544.4
OG0005894	XP_015681744.1	ENSCAFG00000014729.4, ENSCAFG00000013279.4
OG0005895	XP_015673827.1, XP_015673828.1	ENSCAFG00000019157.4
OG0005896	XP_015666570.1	ENSCAFG00000004602.4
OG0005897	XP_015681229.1, XP_029141703.1	ENSCAFG00000011319.5
OG0005898	XP_029142909.1, XP_029142800.1	ENSCAFG00000018152.5
OG0005899	XP_015676896.1, XP_029141036.1	ENSCAFG00000018183.4
OG0005900	XP_015683540.1	ENSCAFG00000015388.4
OG0005901	XP_029142002.1	ENSCAFG00000014672.4
OG0005902	XP_015674308.1	ENSCAFG00000006057.5
OG0005903	XP_029139944.1	ENSCAFG00000011266.4
OG0005904	XP_015687031.1, XP_015680223.1	ENSCAFG00000015152.4
OG0005905	XP_015674311.1	ENSCAFG00000006047.5
OG0005906	XP_015683913.1, XP_029142001.1	ENSCAFG00000014591.5
OG0005907	XP_015680814.1	ENSCAFG00000013964.4
OG0005908	XP_015669138.1	ENSCAFG00000032380.2
OG0005909	XP_015679454.1	ENSCAFG00000048005.1
OG0005910	XP_015683096.1	ENSCAFG00000014201.5
OG0005912	XP_029140895.1	ENSCAFG00000006665.4
OG0005913	XP_015669119.1	ENSCAFG00000008442.4
OG0005914	XP_015676503.1	ENSCAFG00000018216.4
OG0005915	XP_029142191.1, XP_015682096.1	ENSCAFG00000019525.4
OG0005916	XP_015688029.1, XP_015688030.1	ENSCAFG00000005080.4
OG0005917	XP_015669052.1	ENSCAFG00000012000.4
OG0005918	XP_015685398.1, XP_015685951.1	ENSCAFG00000011978.5
OG0005919	XP_015676142.1	ENSCAFG00000018249.4
OG0005920	XP_015672673.1	ENSCAFG00000017513.5
OG0005921	XP_015670945.1	ENSCAFG00000008313.4
OG0005922	XP_029142458.1, XP_015684454.1	ENSCAFG00000016306.4
OG0005923	XP_015685788.1, XP_015682813.1	ENSCAFG00000019401.4
OG0005924	XP_015688041.1	ENSCAFG00000005088.5
OG0005925	XP_015683321.1	ENSCAFG00000019694.5
OG0005926	XP_015688031.1	ENSCAFG00000028862.2
OG0005927	XP_029139441.1	ENSCAFG00000013691.4
OG0005928	XP_015681468.1, XP_015684494.1	ENSCAFG00000015751.4
OG0005929	XP_015671271.1	ENSCAFG00000011165.5
OG0005930	XP_015681462.1	ENSCAFG00000017501.4
OG0005931	XP_015672782.1	ENSCAFG00000029434.2
OG0005932	XP_015674100.1	ENSCAFG00000012088.4
OG0005933	XP_015687298.1, XP_015685012.1	ENSCAFG00000009414.5
OG0005934	XP_015670905.1	ENSCAFG00000008363.4
OG0005935	XP_015684598.1	ENSCAFG00000008869.4
OG0005936	XP_015673482.1	ENSCAFG00000001924.4
OG0005937	XP_015688042.1	ENSCAFG00000004966.4
OG0005938	XP_015682451.2, XP_015685066.1, XP_015685065.1	ENSCAFG00000004896.4
OG0005939	XP_015670391.1	ENSCAFG00000001677.4
OG0005940	XP_015683656.1, XP_015686883.1	ENSCAFG00000020226.4
OG0005941	XP_015670015.1, XP_015670016.1	ENSCAFG00000009345.4
OG0005942	XP_015667903.1	ENSCAFG00000004959.5
OG0005943	XP_015669816.1	ENSCAFG00000011663.4
OG0005944	XP_015676405.1, XP_015685350.1	ENSCAFG00000020172.4
OG0005945	XP_029139756.1	ENSCAFG00000009598.4
OG0005946	XP_015670017.1	ENSCAFG00000009322.4
OG0005947	XP_015680229.1, XP_015680403.1	ENSCAFG00000009300.4
OG0005948	XP_015669226.1	ENSCAFG00000011805.3
OG0005949	XP_015668957.1	ENSCAFG00000018324.5
OG0005950	XP_029139174.1	ENSCAFG00000019231.5
OG0005951	XP_029140095.1, XP_015685628.1	ENSCAFG00000013490.5
OG0005952	XP_029142414.1	ENSCAFG00000011234.4
OG0005953	XP_015670067.1	ENSCAFG00000010868.4
OG0005954	XP_015685968.1, XP_015677957.1	ENSCAFG00000030997.2
OG0005955	XP_015685057.1, XP_015682040.1	ENSCAFG00000004789.5
OG0005956	XP_015670039.1	ENSCAFG00000009220.3
OG0005957	XP_015682962.1	ENSCAFG00000006930.5
OG0005958	XP_015672523.1	ENSCAFG00000007067.5
OG0005959	XP_015677671.1	ENSCAFG00000011149.5
OG0005960	XP_015670033.1	ENSCAFG00000009165.4
OG0005961	XP_015682038.1	ENSCAFG00000004794.5
OG0005962	XP_015668954.1	ENSCAFG00000018362.4
OG0005963	XP_015676899.1	ENSCAFG00000011656.3
OG0005964	XP_015677668.1, XP_015677667.1	ENSCAFG00000011063.5
OG0005965	XP_015682037.1, XP_015685071.1	ENSCAFG00000004827.4
OG0005966	XP_015667476.1	ENSCAFG00000032338.2
OG0005967	XP_015672527.1, XP_015672528.1	ENSCAFG00000006841.4
OG0005968	XP_029141471.1	ENSCAFG00000044714.1
OG0005969	XP_015671955.1	ENSCAFG00000013049.4
OG0005970	XP_015679909.1	ENSCAFG00000011399.4
OG0005971	XP_015668369.1	ENSCAFG00000012366.4
OG0005972	XP_015671133.1	ENSCAFG00000006788.4
OG0005973	XP_015667891.1	ENSCAFG00000003086.4
OG0005974	XP_015668467.2	ENSCAFG00000008198.5
OG0005975	XP_029141166.1	ENSCAFG00000031918.2
OG0005976	XP_015684604.2, XP_015684594.1	ENSCAFG00000006789.5
OG0005977	XP_015682255.1	ENSCAFG00000005785.5
OG0005978	XP_015684816.1	ENSCAFG00000011155.5
OG0005979	XP_015677181.1, XP_015677182.1	ENSCAFG00000007473.6
OG0005980	XP_015670344.1	ENSCAFG00000007432.5
OG0005981	XP_015667888.2	ENSCAFG00000003100.4
OG0005982	XP_015681854.1, XP_015681853.1	ENSCAFG00000007431.3
OG0005983	XP_015683031.1, XP_015683032.1	ENSCAFG00000011106.4
OG0005984	XP_015677725.1	ENSCAFG00000043910.1
OG0005985	XP_015674207.1	ENSCAFG00000012297.4
OG0005986	XP_015666513.1	ENSCAFG00000031021.2
OG0005987	XP_015677804.2	ENSCAFG00000009762.4
OG0005988	XP_015674205.1	ENSCAFG00000012279.4
OG0005989	XP_015675226.1	ENSCAFG00000008877.4
OG0005991	XP_015674204.1	ENSCAFG00000012229.4
OG0005992	XP_015674491.1, XP_015674490.1	ENSCAFG00000018554.4
OG0005993	XP_029139262.1	ENSCAFG00000003111.5
OG0005994	XP_015678678.1	ENSCAFG00000018511.4
OG0005995	XP_015683003.1	ENSCAFG00000030762.2
OG0005996	XP_015673247.1	ENSCAFG00000007958.4
OG0005997	XP_015674302.2	ENSCAFG00000015148.4
OG0005998	XP_015679859.2	ENSCAFG00000010180.4
OG0005999	XP_015679862.2	ENSCAFG00000010159.4
OG0006000	XP_015674259.1	ENSCAFG00000011714.4
OG0006001	XP_029139625.1	ENSCAFG00000003494.5
OG0006002	XP_015677878.1	ENSCAFG00000016236.5
OG0006003	XP_015671525.1, XP_015671524.1	ENSCAFG00000019258.4
OG0006004	XP_015678133.1	ENSCAFG00000008670.4
OG0006006	XP_015667882.1, XP_015682936.1	ENSCAFG00000030889.3
OG0006007	XP_015682605.2	ENSCAFG00000000224.5
OG0006008	XP_015672243.1	ENSCAFG00000018846.6
OG0006009	XP_029143123.1, XP_015687380.1	ENSCAFG00000018484.5
OG0006010	XP_015683871.1	ENSCAFG00000005326.4
OG0006011	XP_015675222.1	ENSCAFG00000010029.4
OG0006012	XP_015674413.1	ENSCAFG00000000173.4
OG0006013	XP_029140663.1	ENSCAFG00000000204.4
OG0006014	XP_015670941.1	ENSCAFG00000008093.4
OG0006015	XP_015685874.1, XP_015685402.1	ENSCAFG00000005291.4
OG0006016	XP_029141384.1	ENSCAFG00000001317.4
OG0006017	XP_029140664.1, XP_015685505.1	ENSCAFG00000000199.4
OG0006018	XP_029143124.1	ENSCAFG00000018426.5
OG0006019	XP_015686188.1	ENSCAFG00000011523.4
OG0006020	XP_015670939.1	ENSCAFG00000032589.2
OG0006021	XP_015682832.1	ENSCAFG00000042074.1, ENSCAFG00000030475.2
OG0006022	XP_015670217.1	ENSCAFG00000009375.4
OG0006023	XP_029139871.1	ENSCAFG00000007965.5
OG0006024	XP_015672469.1	ENSCAFG00000011550.5
OG0006025	XP_015683153.1	ENSCAFG00000010225.5
OG0006026	XP_015679064.1	ENSCAFG00000000167.5
OG0006027	XP_015678601.1	ENSCAFG00000030194.2
OG0006028	XP_015670360.1	ENSCAFG00000030531.2
OG0006029	XP_015688022.1	ENSCAFG00000004876.5
OG0006030	XP_015681088.1	ENSCAFG00000020028.3
OG0006031	XP_015681909.1	ENSCAFG00000019154.4
OG0006032	XP_029139780.1, XP_029139779.1	ENSCAFG00000000384.5
OG0006033	XP_015688040.1	ENSCAFG00000004878.6
OG0006034	XP_015679709.1	ENSCAFG00000009361.5
OG0006035	XP_015678149.1, XP_015685369.1	ENSCAFG00000019305.5
OG0006036	XP_015674441.1	ENSCAFG00000007636.4
OG0006037	XP_029141843.1	ENSCAFG00000019664.4
OG0006038	XP_015688021.1	ENSCAFG00000004894.4
OG0006039	XP_015667938.1	ENSCAFG00000000410.3
OG0006040	XP_015676791.1, XP_015686452.1	ENSCAFG00000019547.3
OG0006041	XP_015676019.1	ENSCAFG00000009318.5
OG0006042	XP_015676778.1	ENSCAFG00000014270.4
OG0006043	XP_015674447.1	ENSCAFG00000010270.4, ENSCAFG00000023721.4
OG0006044	XP_015668395.2	ENSCAFG00000012126.4
OG0006045	XP_015678463.1, XP_015684240.1	ENSCAFG00000019513.5
OG0006046	XP_015681603.1	ENSCAFG00000002305.5
OG0006047	XP_015688039.1	ENSCAFG00000004932.4
OG0006048	XP_015673680.1	ENSCAFG00000000512.5
OG0006049	XP_015673679.2	ENSCAFG00000028461.2
OG0006050	XP_029140378.1	ENSCAFG00000000037.4
OG0006051	XP_015677598.1	ENSCAFG00000000519.4
OG0006052	XP_015682089.1, XP_015682083.1	ENSCAFG00000002327.4
OG0006053	XP_015684560.2	ENSCAFG00000016417.4
OG0006054	XP_015667943.1	ENSCAFG00000000428.4
OG0006055	XP_015673731.1	ENSCAFG00000000036.3
OG0006056	XP_015681354.1	ENSCAFG00000017653.4, ENSCAFG00000046802.1
OG0006057	XP_015682069.1	ENSCAFG00000017421.4
OG0006058	XP_015681352.1	ENSCAFG00000030060.2
OG0006059	XP_015688016.1	ENSCAFG00000004964.4
OG0006060	XP_015683448.1	ENSCAFG00000016387.4
OG0006061	XP_015667287.1	ENSCAFG00000014077.3, ENSCAFG00000000432.4
OG0006062	XP_029139598.1	ENSCAFG00000016464.4
OG0006063	XP_015682596.1	ENSCAFG00000016354.4
OG0006064	XP_029140820.1, XP_029140822.1	ENSCAFG00000023363.3
OG0006065	XP_015684027.1	ENSCAFG00000006300.4
OG0006066	XP_015667285.1	ENSCAFG00000000435.5
OG0006067	XP_015672268.1	ENSCAFG00000020016.5
OG0006068	XP_015667284.1, XP_015667283.1	ENSCAFG00000000436.4
OG0006069	XP_015685830.1, XP_029141368.1	ENSCAFG00000003265.5
OG0006070	XP_029139592.1	ENSCAFG00000000582.5
OG0006071	XP_015677740.1	ENSCAFG00000000021.4
OG0006072	XP_015675399.1	ENSCAFG00000047992.1, ENSCAFG00000017605.4
OG0006073	XP_015666655.1	ENSCAFG00000000588.5
OG0006074	XP_029138783.1, XP_015688034.1, XP_015688035.1	ENSCAFG00000029968.2
OG0006075	XP_015669025.1	ENSCAFG00000000016.5
OG0006076	XP_015685810.1, XP_029141678.1	ENSCAFG00000006101.5
OG0006077	XP_015684869.1, XP_015677199.1	ENSCAFG00000019997.4
OG0006078	XP_029138782.1	ENSCAFG00000029845.2
OG0006079	XP_015680253.1	ENSCAFG00000014196.4
OG0006080	XP_015671411.1	ENSCAFG00000000010.5
OG0006081	XP_015682294.2, XP_015671413.1	ENSCAFG00000000009.4
OG0006082	XP_029141840.1, XP_015665773.1, XP_015665774.1	ENSCAFG00000002920.4
OG0006083	XP_015679809.1	ENSCAFG00000020320.4
OG0006084	XP_015685427.1, XP_015685868.1	ENSCAFG00000019112.4
OG0006085	XP_015680743.1, XP_015684974.1	ENSCAFG00000019725.5
OG0006086	XP_015670288.1	ENSCAFG00000014496.4
OG0006087	XP_015681858.1, XP_015665777.1	ENSCAFG00000017219.4
OG0006088	XP_015673874.1	ENSCAFG00000010436.4
OG0006089	XP_015674732.1	ENSCAFG00000019274.5
OG0006091	XP_029140408.1, XP_015686497.1	ENSCAFG00000010284.4
OG0006092	XP_015667425.1	ENSCAFG00000005392.4
OG0006093	XP_029139194.1	ENSCAFG00000023176.3
OG0006094	XP_015669309.1	ENSCAFG00000001836.5
OG0006095	XP_015670181.1	ENSCAFG00000010160.5
OG0006096	XP_015669310.1	ENSCAFG00000001840.4
OG0006098	XP_015675902.1	ENSCAFG00000012619.4
OG0006099	XP_029140525.1, XP_029140526.1	ENSCAFG00000014085.5
OG0006100	XP_015674499.1	ENSCAFG00000014062.5
OG0006101	XP_015685957.1, XP_015685270.1	ENSCAFG00000014989.4
OG0006102	XP_015675903.1	ENSCAFG00000012679.4
OG0006103	XP_015670177.1	ENSCAFG00000009857.4, ENSCAFG00000029176.2
OG0006104	XP_015670189.1	ENSCAFG00000009885.5
OG0006105	XP_015683997.1, XP_015665800.1, XP_015665801.1	ENSCAFG00000019337.3
OG0006106	XP_015685469.1, XP_015685394.1	ENSCAFG00000006489.4
OG0006107	XP_015678302.1, XP_015678301.1	ENSCAFG00000018039.3
OG0006108	XP_015680730.1, XP_015676570.1	ENSCAFG00000012789.4
OG0006109	XP_015687621.1	ENSCAFG00000015269.4
OG0006110	XP_029143172.1	ENSCAFG00000015264.4
OG0006111	XP_015687620.1	ENSCAFG00000015251.4
OG0006112	XP_015669322.1	ENSCAFG00000006673.4
OG0006113	XP_029140786.1	ENSCAFG00000010146.5
OG0006114	XP_015687615.1	ENSCAFG00000015237.4
OG0006116	XP_015666145.1, XP_015666144.1	ENSCAFG00000003984.4
OG0006117	XP_015668486.1	ENSCAFG00000023607.3
OG0006119	XP_015668492.1, XP_015668491.1	ENSCAFG00000008990.5
OG0006120	XP_029139929.1	ENSCAFG00000009687.4
OG0006121	XP_029140498.1	ENSCAFG00000019491.5, ENSCAFG00000044040.1
OG0006122	XP_015686860.1	ENSCAFG00000002310.5
OG0006123	XP_015668494.1	ENSCAFG00000008997.5
OG0006124	XP_015671236.1, XP_015671237.1	ENSCAFG00000009681.3
OG0006125	XP_029143165.1	ENSCAFG00000020067.5
OG0006126	XP_015665461.1	ENSCAFG00000015671.6
OG0006127	XP_015677090.1	ENSCAFG00000008478.3
OG0006128	XP_029141344.1	ENSCAFG00000011763.6
OG0006130	XP_029142994.1, XP_015686589.1	ENSCAFG00000008486.4
OG0006131	XP_015666140.1	ENSCAFG00000023202.4, ENSCAFG00000003862.4
OG0006132	XP_015677609.1	ENSCAFG00000015789.4
OG0006133	XP_015671366.1, XP_029139956.1	ENSCAFG00000020099.4
OG0006134	XP_015670961.1	ENSCAFG00000005470.5
OG0006135	XP_029141118.1	ENSCAFG00000015803.5
OG0006136	XP_015667109.1	ENSCAFG00000003304.4
OG0006137	XP_029139958.1	ENSCAFG00000020109.5
OG0006138	XP_015676663.1	ENSCAFG00000001913.4
OG0006139	XP_029141328.1	ENSCAFG00000005937.5
OG0006140	XP_015667704.1	ENSCAFG00000017892.4
OG0006141	XP_015680710.1	ENSCAFG00000031985.2, ENSCAFG00000018409.3
OG0006142	XP_029142527.1	ENSCAFG00000031803.2
OG0006143	XP_029141817.1	ENSCAFG00000010265.4
OG0006144	XP_015679395.1	ENSCAFG00000044488.1, ENSCAFG00000049223.1
OG0006145	XP_015679393.2	ENSCAFG00000009997.5
OG0006146	XP_015666158.1	ENSCAFG00000004329.5
OG0006147	XP_015667739.1	ENSCAFG00000042407.1
OG0006148	XP_015667150.1	ENSCAFG00000003247.3
OG0006149	XP_015687907.1	ENSCAFG00000018287.4
OG0006150	XP_029142149.1	ENSCAFG00000015817.4
OG0006151	XP_015676767.1	ENSCAFG00000010047.5
OG0006152	XP_015676588.1	ENSCAFG00000029165.2
OG0006153	XP_029142380.1	ENSCAFG00000001956.4
OG0006154	XP_029142954.1, XP_015682378.1	ENSCAFG00000018762.4
OG0006156	XP_015668652.1	ENSCAFG00000015871.4
OG0006157	XP_015687906.1	ENSCAFG00000018266.5
OG0006158	XP_015666128.1, XP_015666127.1	ENSCAFG00000004264.4
OG0006159	XP_015666125.2	ENSCAFG00000004249.5
OG0006160	XP_029139097.1	ENSCAFG00000004218.4
OG0006162	XP_015667053.1	ENSCAFG00000004210.4
OG0006163	XP_015667152.1	ENSCAFG00000012185.3, ENSCAFG00000030622.2
OG0006164	XP_029141860.1	ENSCAFG00000019336.4
OG0006165	XP_015667853.1	ENSCAFG00000007060.4
OG0006166	XP_015667051.1	ENSCAFG00000004174.5
OG0006167	XP_015681112.1	ENSCAFG00000002006.4
OG0006168	XP_015687946.1	ENSCAFG00000007691.4
OG0006169	XP_015687986.1	ENSCAFG00000029120.2
OG0006171	XP_015677177.1	ENSCAFG00000017854.5
OG0006172	XP_015667044.1	ENSCAFG00000004145.5
OG0006173	XP_015677172.1	ENSCAFG00000002577.4
OG0006174	XP_015667848.1	ENSCAFG00000007011.4
OG0006175	XP_015685655.1, XP_029141035.1	ENSCAFG00000043525.1
