Orthogroup	P_Mucros.pep	G_gallus.pep
OG0005740	XP_015687928.1	ENSGALG00000005507.4
OG0005741	XP_015677024.1, XP_015685668.1	ENSGALG00000024172.5
OG0005742	XP_015674775.1	ENSGALG00000017366.6
OG0005743	XP_015673619.1	ENSGALG00000007989.6
OG0005744	XP_029141404.1, XP_029142901.1	ENSGALG00000005126.7
OG0005745	XP_029143064.1	ENSGALG00000003969.7
OG0005746	XP_015675121.1	ENSGALG00000040511.3
OG0005747	XP_015686101.1, XP_015685035.2	ENSGALG00000003665.6
OG0005748	XP_029142014.1	ENSGALG00000003589.7
OG0005749	XP_015681807.2	ENSGALG00000023757.4
OG0005750	XP_015673549.1, XP_015673548.1	ENSGALG00000029379.2
OG0005751	XP_015680002.1	ENSGALG00000005263.2
OG0005752	XP_015685954.1, XP_015677765.2	ENSGALG00000000378.6
OG0005753	XP_015681033.1, XP_015681809.1	ENSGALG00000003108.7
OG0005754	XP_015673551.1	ENSGALG00000008539.7
OG0005755	XP_015684856.1	ENSGALG00000007244.6
OG0005756	XP_015673741.1	ENSGALG00000005414.5
OG0005757	XP_015678094.1	ENSGALG00000036417.2
OG0005758	XP_015678522.2	ENSGALG00000007102.6
OG0005759	XP_015672938.1	ENSGALG00000007954.6
OG0005760	XP_015672959.1, XP_015672958.1	ENSGALG00000007354.6
OG0005761	XP_015671393.1	ENSGALG00000016267.6
OG0005762	XP_015668583.1	ENSGALG00000035561.2
OG0005763	XP_029143134.1	ENSGALG00000041663.3
OG0005764	XP_015677959.1	ENSGALG00000009815.6
OG0005766	XP_029141449.1	ENSGALG00000038915.2
OG0005767	XP_015679157.1	ENSGALG00000039499.2
OG0005768	XP_015685380.2, XP_029142549.1	ENSGALG00000039380.3
OG0005769	XP_015683751.1	ENSGALG00000007490.7
OG0005770	XP_015686140.2, XP_029142473.1	ENSGALG00000008357.6
OG0005771	XP_015687555.1	ENSGALG00000042794.3
OG0005772	XP_015668073.1	ENSGALG00000040842.2
OG0005773	XP_015682323.1, XP_015683245.1	ENSGALG00000014336.5
OG0005774	XP_015687554.1	ENSGALG00000034487.3
OG0005775	XP_015682324.1	ENSGALG00000014337.5
OG0005776	XP_015683504.1	ENSGALG00000013369.6
OG0005777	XP_015675932.1	ENSGALG00000015706.5
OG0005778	XP_015670291.1	ENSGALG00000016509.7
OG0005779	XP_029139288.1	ENSGALG00000036873.2
OG0005780	XP_015682553.1, XP_015684946.1	ENSGALG00000008289.6
OG0005782	XP_015668066.1	ENSGALG00000053178.1, ENSGALG00000007618.4
OG0005783	XP_015668077.1	ENSGALG00000006809.6
OG0005784	XP_015675925.1	ENSGALG00000033925.2, ENSGALG00000024486.5
OG0005785	XP_015684984.1, XP_015675928.1	ENSGALG00000015688.5
OG0005786	XP_015679875.1	ENSGALG00000005893.7
OG0005787	XP_015684158.1	ENSGALG00000041213.2
OG0005788	XP_029141339.1	ENSGALG00000050857.1
OG0005789	XP_029139250.1	ENSGALG00000030585.2
OG0005790	XP_029138883.1	ENSGALG00000032702.3
OG0005791	XP_029142650.1, XP_029140775.1	ENSGALG00000026808.4
OG0005792	XP_015687454.1	ENSGALG00000034132.2
OG0005793	XP_015675921.1	ENSGALG00000016980.6
OG0005794	XP_015672509.1	ENSGALG00000030382.2, ENSGALG00000028267.4
OG0005795	XP_015673036.2	ENSGALG00000005241.6
OG0005796	XP_015675282.1	ENSGALG00000002854.6
OG0005797	XP_015675284.1	ENSGALG00000038426.2
OG0005798	XP_015673033.1	ENSGALG00000002103.5
OG0005799	XP_015673032.1	ENSGALG00000002091.6
OG0005800	XP_015687349.1	ENSGALG00000031130.2
OG0005801	XP_015673077.1	ENSGALG00000030220.2
OG0005802	XP_015687885.1	ENSGALG00000004870.7
OG0005803	XP_015673270.1	ENSGALG00000012404.7
OG0005804	XP_015673076.1	ENSGALG00000001722.6
OG0005805	XP_029139342.1, XP_015668412.1	ENSGALG00000038540.3
OG0005806	XP_015673114.1	ENSGALG00000037148.2
OG0005807	XP_015670582.1	ENSGALG00000033286.2
OG0005808	XP_015679892.1, XP_015679891.1	ENSGALG00000033304.3
OG0005809	XP_015681324.1	ENSGALG00000039420.2
OG0005810	XP_029140697.1	ENSGALG00000003712.6
OG0005811	XP_015681820.1	ENSGALG00000033806.2
OG0005812	XP_015681979.1	ENSGALG00000006861.7
OG0005813	XP_015675381.1	ENSGALG00000011893.7
OG0005814	XP_015683214.1	ENSGALG00000004799.7
OG0005815	XP_015674128.1	ENSGALG00000002504.7
OG0005816	XP_015679306.1	ENSGALG00000011921.6
OG0005817	XP_015682162.1	ENSGALG00000030843.2
OG0005818	XP_015679300.1	ENSGALG00000012005.7
OG0005819	XP_015679308.1	ENSGALG00000012006.7
OG0005820	XP_029140258.1	ENSGALG00000009147.6
OG0005821	XP_015681832.1	ENSGALG00000039151.2, ENSGALG00000026991.3
OG0005823	XP_015676725.1	ENSGALG00000015352.7
OG0005824	XP_029140714.1	ENSGALG00000004532.7
OG0005825	XP_015685265.1, XP_015675586.1	ENSGALG00000024326.5
OG0005826	XP_015675584.1, XP_029142835.1	ENSGALG00000000962.7
OG0005827	XP_029140994.1	ENSGALG00000051392.1
OG0005828	XP_015684571.1	ENSGALG00000042941.2
OG0005829	XP_015686740.2, XP_015680685.1	ENSGALG00000000067.6
OG0005830	XP_015683533.1, XP_015676729.1	ENSGALG00000015372.5
OG0005831	XP_029142497.1	ENSGALG00000026907.3
OG0005832	XP_015680634.1, XP_015680633.1	ENSGALG00000002536.6
OG0005833	XP_015682234.1	ENSGALG00000033322.3
OG0005834	XP_015665459.1	ENSGALG00000021601.5
OG0005835	XP_015674601.1, XP_015674598.1	ENSGALG00000038745.3
OG0005836	XP_015682886.1	ENSGALG00000040224.3
OG0005837	XP_015679100.1	ENSGALG00000002679.4
OG0005838	XP_015670321.1	ENSGALG00000022850.4
OG0005839	XP_015673593.1	ENSGALG00000002701.5
OG0005840	XP_015674327.1	ENSGALG00000002705.7
OG0005841	XP_015681484.1, XP_015685806.1	ENSGALG00000002421.7
OG0005842	XP_015666194.1, XP_015666186.1	ENSGALG00000002899.6
OG0005843	XP_015668745.1	ENSGALG00000002710.6
OG0005844	XP_015681483.1	ENSGALG00000002414.6
OG0005845	XP_015677747.1	ENSGALG00000015311.6
OG0005846	XP_015682536.1	ENSGALG00000002417.6
OG0005847	XP_015675715.1	ENSGALG00000028675.3
OG0005848	XP_029141713.1, XP_015686269.1	ENSGALG00000003120.8
OG0005849	XP_015676996.1	ENSGALG00000054449.1
OG0005850	XP_015680327.1	ENSGALG00000048409.1
OG0005851	XP_015675723.1	ENSGALG00000005423.7
OG0005853	XP_015683466.1, XP_015680424.1	ENSGALG00000005547.7
OG0005854	XP_015669150.1	ENSGALG00000003146.7
OG0005855	XP_015684854.1	ENSGALG00000054130.1
OG0005856	XP_015680143.1	ENSGALG00000035845.2
OG0005857	XP_015686249.1, XP_015684853.1	ENSGALG00000030605.2
OG0005858	XP_015667494.1	ENSGALG00000050207.1
OG0005859	XP_015672777.1, XP_015672784.1	ENSGALG00000029118.3
OG0005860	XP_015680430.1	ENSGALG00000005326.6
OG0005861	XP_029140231.1	ENSGALG00000054942.1, ENSGALG00000052152.1
OG0005862	XP_029139179.1	ENSGALG00000007171.4
OG0005863	XP_029139186.1	ENSGALG00000007167.6
OG0005864	XP_015680896.1	ENSGALG00000003084.5
OG0005865	XP_015685605.1, XP_015673163.1	ENSGALG00000053836.1
OG0005866	XP_015672885.1, XP_015672886.1	ENSGALG00000012222.7
OG0005867	XP_015668199.1	ENSGALG00000007843.6
OG0005868	XP_015674728.1	ENSGALG00000015128.6
OG0005869	XP_015666204.1	ENSGALG00000048805.1
OG0005870	XP_015674725.1, XP_029140807.1	ENSGALG00000015122.6
OG0005871	XP_015672889.1	ENSGALG00000012239.6
OG0005872	XP_015685944.1, XP_015685517.1	ENSGALG00000005169.4
OG0005873	XP_015669131.1	ENSGALG00000003307.4
OG0005874	XP_015680373.1	ENSGALG00000000793.5
OG0005875	XP_015669151.1	ENSGALG00000003314.6
OG0005876	XP_015669152.1	ENSGALG00000003318.5
OG0005877	XP_029142245.1	ENSGALG00000033618.2
OG0005878	XP_029140430.1	ENSGALG00000012118.6
OG0005880	XP_015672076.1	ENSGALG00000000734.6
OG0005881	XP_015673933.1, XP_029140420.1	ENSGALG00000035202.2
OG0005882	XP_015669144.1, XP_015669145.1	ENSGALG00000029390.3
OG0005883	XP_029139496.1	ENSGALG00000003419.7, ENSGALG00000051644.1
OG0005884	XP_015672070.1, XP_015672069.1	ENSGALG00000000777.6
OG0005885	XP_015672071.1, XP_015672072.1, XP_015672073.1	ENSGALG00000000783.7
OG0005886	XP_029138802.1	ENSGALG00000044985.2
OG0005887	XP_015685764.1, XP_029140787.1	ENSGALG00000015056.6
OG0005888	XP_015672715.1	ENSGALG00000009445.7
OG0005889	XP_015685300.2, XP_015674683.1	ENSGALG00000001985.5
OG0005893	XP_015683991.1	ENSGALG00000042992.3
OG0005894	XP_015681744.1	ENSGALG00000038229.2
OG0005895	XP_015673827.1, XP_015673828.1	ENSGALG00000002656.6
OG0005896	XP_015666570.1	ENSGALG00000016969.5
OG0005897	XP_015681229.1, XP_029141703.1	ENSGALG00000034042.2
OG0005898	XP_029142909.1, XP_029142800.1	ENSGALG00000002945.7
OG0005899	XP_015676896.1, XP_029141036.1	ENSGALG00000015030.7
OG0005900	XP_015683540.1	ENSGALG00000005004.4
OG0005901	XP_029142002.1	ENSGALG00000046811.1
OG0005902	XP_015674308.1	ENSGALG00000003299.7
OG0005903	XP_029139944.1	ENSGALG00000046180.2
OG0005904	XP_015687031.1, XP_015680223.1	ENSGALG00000004034.7
OG0005905	XP_015674311.1	ENSGALG00000036049.3
OG0005906	XP_015683913.1, XP_029142001.1	ENSGALG00000050256.1
OG0005907	XP_015680814.1	ENSGALG00000004166.7
OG0005908	XP_015669138.1	ENSGALG00000003795.6
OG0005909	XP_015679454.1	ENSGALG00000051266.1
OG0005910	XP_015683096.1	ENSGALG00000012237.7
OG0005911	XP_015680680.1	ENSGALG00000035981.2
OG0005913	XP_015669119.1	ENSGALG00000003826.5
OG0005914	XP_015676503.1	ENSGALG00000014982.6
OG0005915	XP_029142191.1, XP_015682096.1	ENSGALG00000031482.2
OG0005916	XP_015688029.1, XP_015688030.1	ENSGALG00000006033.5
OG0005917	XP_015669052.1	ENSGALG00000042360.2
OG0005918	XP_015685398.1, XP_015685951.1	ENSGALG00000006673.6
OG0005919	XP_015676142.1	ENSGALG00000014936.6
OG0005920	XP_015672673.1	ENSGALG00000001042.6
OG0005921	XP_015670945.1	ENSGALG00000004179.7
OG0005922	XP_029142458.1, XP_015684454.1	ENSGALG00000041373.2
OG0005923	XP_015685788.1, XP_015682813.1	ENSGALG00000005888.6
OG0005924	XP_015688041.1	ENSGALG00000027905.4
OG0005925	XP_015683321.1	ENSGALG00000001797.6
OG0005926	XP_015688031.1	ENSGALG00000006025.7
OG0005927	XP_029139441.1	ENSGALG00000053885.1
OG0005928	XP_015681468.1, XP_015684494.1	ENSGALG00000040720.3
OG0005929	XP_015671271.1	ENSGALG00000040265.2
OG0005930	XP_015681462.1	ENSGALG00000005933.6
OG0005931	XP_015672782.1	ENSGALG00000042572.2
OG0005932	XP_015674100.1	ENSGALG00000008549.7
OG0005933	XP_015687298.1, XP_015685012.1	ENSGALG00000027874.3
OG0005934	XP_015670905.1	ENSGALG00000003901.6
OG0005935	XP_015684598.1	ENSGALG00000006775.7
OG0005936	XP_015673482.1	ENSGALG00000010299.7
OG0005937	XP_015688042.1	ENSGALG00000005947.7
OG0005938	XP_015682451.2, XP_015685066.1, XP_015685065.1	ENSGALG00000012113.6
OG0005939	XP_015670391.1	ENSGALG00000016232.6
OG0005940	XP_015683656.1, XP_015686883.1	ENSGALG00000001124.6
OG0005941	XP_015670015.1, XP_015670016.1	ENSGALG00000008460.6
OG0005942	XP_015667903.1	ENSGALG00000005860.5
OG0005943	XP_015669816.1	ENSGALG00000032763.3
OG0005944	XP_015676405.1, XP_015685350.1	ENSGALG00000000950.6
OG0005945	XP_029139756.1	ENSGALG00000011149.5
OG0005946	XP_015670017.1	ENSGALG00000036432.2
OG0005947	XP_015680229.1, XP_015680403.1	ENSGALG00000008206.6
OG0005948	XP_015669226.1	ENSGALG00000037065.2
OG0005949	XP_015668957.1	ENSGALG00000014915.7
OG0005950	XP_029139174.1	ENSGALG00000027823.3
OG0005951	XP_029140095.1, XP_015685628.1	ENSGALG00000004812.5
OG0005952	XP_029142414.1	ENSGALG00000035184.2
OG0005953	XP_015670067.1	ENSGALG00000008795.5
OG0005954	XP_015685968.1, XP_015677957.1	ENSGALG00000030140.3
OG0005955	XP_015685057.1, XP_015682040.1	ENSGALG00000014038.7
OG0005956	XP_015670039.1	ENSGALG00000030313.3
OG0005957	XP_015682962.1	ENSGALG00000026276.3
OG0005958	XP_015672523.1	ENSGALG00000017111.7
OG0005959	XP_015677671.1	ENSGALG00000000615.7
OG0005960	XP_015670033.1	ENSGALG00000041216.2
OG0005961	XP_015682038.1	ENSGALG00000013967.7
OG0005962	XP_015668954.1	ENSGALG00000014860.6
OG0005963	XP_015676899.1	ENSGALG00000006507.6
OG0005964	XP_015677668.1, XP_015677667.1	ENSGALG00000021685.5
OG0005965	XP_015682037.1, XP_015685071.1	ENSGALG00000003674.6
OG0005966	XP_015667476.1	ENSGALG00000026559.3
OG0005967	XP_015672527.1, XP_015672528.1	ENSGALG00000017103.6
OG0005968	XP_029141471.1	ENSGALG00000006186.7
OG0005969	XP_015671955.1	ENSGALG00000040971.2
OG0005970	XP_015679909.1	ENSGALG00000054273.1
OG0005971	XP_015668369.1	ENSGALG00000029536.2
OG0005972	XP_015671133.1	ENSGALG00000017097.5
OG0005973	XP_015667891.1	ENSGALG00000005694.7
OG0005974	XP_015668467.2	ENSGALG00000016639.6
OG0005975	XP_029141166.1	ENSGALG00000025862.3
OG0005976	XP_015684604.2, XP_015684594.1	ENSGALG00000006182.7
OG0005977	XP_015682255.1	ENSGALG00000035375.2
OG0005978	XP_015684816.1	ENSGALG00000041014.2
OG0005979	XP_015677181.1, XP_015677182.1	ENSGALG00000015268.7
OG0005980	XP_015670344.1	ENSGALG00000006469.6
OG0005981	XP_015667888.2	ENSGALG00000005188.7
OG0005982	XP_015681854.1, XP_015681853.1	ENSGALG00000000273.6
OG0005983	XP_015683031.1, XP_015683032.1	ENSGALG00000001122.6
OG0005985	XP_015674207.1	ENSGALG00000034910.2
OG0005986	XP_015666513.1	ENSGALG00000037734.3
OG0005987	XP_015677804.2	ENSGALG00000001557.7
OG0005988	XP_015674205.1	ENSGALG00000027909.3
OG0005989	XP_015675226.1	ENSGALG00000036892.3
OG0005991	XP_015674204.1	ENSGALG00000000895.6
OG0005992	XP_015674491.1, XP_015674490.1	ENSGALG00000038340.2
OG0005993	XP_029139262.1	ENSGALG00000005223.6
OG0005994	XP_015678678.1	ENSGALG00000014795.6
OG0005995	XP_015683003.1	ENSGALG00000000241.4
OG0005996	XP_015673247.1	ENSGALG00000004841.5
OG0005997	XP_015674302.2	ENSGALG00000014486.7
OG0005998	XP_015679859.2	ENSGALG00000000721.6
OG0005999	XP_015679862.2	ENSGALG00000000724.3
OG0006000	XP_015674259.1	ENSGALG00000013899.7
OG0006001	XP_029139625.1	ENSGALG00000037193.2
OG0006002	XP_015677878.1	ENSGALG00000000215.7
OG0006003	XP_015671525.1, XP_015671524.1	ENSGALG00000001527.6
OG0006004	XP_015678133.1	ENSGALG00000016564.6
OG0006005	XP_015678675.1	ENSGALG00000032997.2
OG0006006	XP_015682936.1	ENSGALG00000005287.6
OG0006007	XP_015682605.2	ENSGALG00000000189.6
OG0006008	XP_015672243.1	ENSGALG00000013858.7
OG0006009	XP_029143123.1, XP_015687380.1	ENSGALG00000008593.6
OG0006010	XP_015683871.1	ENSGALG00000000845.6
OG0006011	XP_015675222.1	ENSGALG00000003942.6
OG0006012	XP_015674413.1	ENSGALG00000013887.4
OG0006013	XP_029140663.1	ENSGALG00000002345.6
OG0006014	XP_015670941.1	ENSGALG00000004343.6
OG0006015	XP_015685874.1, XP_015685402.1	ENSGALG00000000839.4
OG0006016	XP_029141384.1	ENSGALG00000040098.2
OG0006017	XP_029140664.1, XP_015685505.1	ENSGALG00000002318.6
OG0006018	XP_029143124.1	ENSGALG00000008618.6
OG0006019	XP_015686188.1	ENSGALG00000001091.7
OG0006020	XP_015670939.1	ENSGALG00000004379.7
OG0006021	XP_015682832.1	ENSGALG00000052976.1
OG0006022	XP_015670217.1	ENSGALG00000012574.6
OG0006023	XP_029139871.1	ENSGALG00000004397.7
OG0006024	XP_015672469.1	ENSGALG00000001117.6
OG0006025	XP_015683153.1	ENSGALG00000004004.6
OG0006026	XP_015679064.1	ENSGALG00000002227.7
OG0006027	XP_015678601.1	ENSGALG00000040854.2
OG0006028	XP_015670360.1	ENSGALG00000019358.6
OG0006029	XP_015688022.1	ENSGALG00000006181.6
OG0006030	XP_015681088.1	ENSGALG00000004573.7
OG0006031	XP_015681909.1	ENSGALG00000034413.2
OG0006032	XP_029139780.1, XP_029139779.1	ENSGALG00000009895.6
OG0006033	XP_015688040.1	ENSGALG00000019690.6
OG0006034	XP_015679709.1	ENSGALG00000012561.7
OG0006035	XP_015678149.1, XP_015685369.1	ENSGALG00000033885.2
OG0006036	XP_015674441.1	ENSGALG00000025819.4
OG0006037	XP_029141843.1	ENSGALG00000001964.7
OG0006038	XP_015688021.1	ENSGALG00000039880.2
OG0006039	XP_015667938.1	ENSGALG00000009904.6
OG0006040	XP_015676791.1, XP_015686452.1	ENSGALG00000029047.3
OG0006041	XP_015676019.1	ENSGALG00000012555.7
OG0006042	XP_015676778.1	ENSGALG00000009341.7
OG0006043	XP_015674447.1	ENSGALG00000004115.7
OG0006044	XP_015668395.2	ENSGALG00000007659.7
OG0006045	XP_015684240.1	ENSGALG00000029514.2
OG0006046	XP_015681603.1	ENSGALG00000016304.6, ENSGALG00000051798.1
OG0006047	XP_015688039.1	ENSGALG00000006233.6
OG0006048	XP_015673680.1	ENSGALG00000005316.6
OG0006050	XP_029140378.1	ENSGALG00000013745.6
OG0006052	XP_015682089.1, XP_015682083.1	ENSGALG00000016299.4
OG0006053	XP_015684560.2	ENSGALG00000014372.5
OG0006054	XP_015667943.1	ENSGALG00000029135.3
OG0006055	XP_015673731.1	ENSGALG00000013731.6
OG0006056	XP_015681354.1	ENSGALG00000004068.6
OG0006057	XP_015682069.1	ENSGALG00000005559.6
OG0006058	XP_015681352.1	ENSGALG00000004040.5
OG0006059	XP_015688016.1	ENSGALG00000026865.4
OG0006060	XP_015683448.1	ENSGALG00000014365.6
OG0006061	XP_015667287.1	ENSGALG00000009975.7
OG0006062	XP_029139598.1	ENSGALG00000028762.3
OG0006063	XP_015682596.1	ENSGALG00000014355.5
OG0006064	XP_029140820.1, XP_029140822.1	ENSGALG00000019514.6
OG0006065	XP_015684027.1	ENSGALG00000002272.6
OG0006066	XP_015667285.1	ENSGALG00000010029.5
OG0006067	XP_015672268.1	ENSGALG00000040475.3
OG0006068	XP_015667284.1, XP_015667283.1	ENSGALG00000009959.6
OG0006069	XP_015685830.1, XP_029141368.1	ENSGALG00000050002.1
OG0006070	XP_029139592.1	ENSGALG00000008237.6
OG0006071	XP_015677740.1	ENSGALG00000022882.4
OG0006072	XP_015675399.1	ENSGALG00000003919.6
OG0006073	XP_015666655.1	ENSGALG00000008229.6
OG0006074	XP_029138783.1, XP_015688034.1, XP_015688035.1	ENSGALG00000006379.6
OG0006075	XP_015669025.1	ENSGALG00000013640.6
OG0006076	XP_015685810.1, XP_029141678.1	ENSGALG00000002143.5
OG0006077	XP_015684869.1, XP_015677199.1	ENSGALG00000038494.2
OG0006078	XP_029138782.1	ENSGALG00000006437.6
OG0006079	XP_015680253.1	ENSGALG00000033126.3
OG0006080	XP_015671411.1	ENSGALG00000031461.2
OG0006081	XP_015682294.2, XP_015671413.1	ENSGALG00000049812.1
OG0006083	XP_015679809.1	ENSGALG00000003374.5
OG0006084	XP_015685427.1, XP_015685868.1	ENSGALG00000041520.2
OG0006085	XP_015680743.1, XP_015684974.1	ENSGALG00000001273.5
OG0006086	XP_015670288.1	ENSGALG00000016506.6
OG0006087	XP_015681858.1, XP_015665777.1	ENSGALG00000046986.1
OG0006088	XP_015673874.1	ENSGALG00000013632.7
OG0006089	XP_015674732.1	ENSGALG00000030877.2
OG0006090	XP_015674745.1	ENSGALG00000033278.2
OG0006091	XP_029140408.1, XP_015686497.1	ENSGALG00000029836.2
OG0006092	XP_015667425.1	ENSGALG00000007036.5
OG0006093	XP_029139194.1	ENSGALG00000007065.6
OG0006094	XP_015669309.1	ENSGALG00000002014.3
OG0006095	XP_015670181.1	ENSGALG00000012687.7
OG0006096	XP_015669310.1	ENSGALG00000002022.5
OG0006097	XP_015668044.1, XP_015668045.1, XP_015668046.2	ENSGALG00000036909.2
OG0006098	XP_015675902.1	ENSGALG00000013098.6
OG0006099	XP_029140525.1, XP_029140526.1	ENSGALG00000012452.5
OG0006100	XP_015674499.1	ENSGALG00000031182.2
OG0006101	XP_015685957.1, XP_015685270.1	ENSGALG00000012199.7
OG0006102	XP_015675903.1	ENSGALG00000013092.6
OG0006103	XP_015670177.1	ENSGALG00000012699.7
OG0006104	XP_015670189.1	ENSGALG00000012702.5
OG0006106	XP_015685469.1, XP_015685394.1	ENSGALG00000010283.6
OG0006107	XP_015678302.1, XP_015678301.1	ENSGALG00000040238.2
OG0006108	XP_015680730.1, XP_015676570.1	ENSGALG00000013085.7
OG0006109	XP_015687621.1	ENSGALG00000012041.6, ENSGALG00000012085.7
OG0006110	XP_029143172.1	ENSGALG00000051550.1
OG0006111	XP_015687620.1	ENSGALG00000012098.7
OG0006112	XP_015669322.1	ENSGALG00000030303.3
OG0006113	XP_029140786.1	ENSGALG00000012720.7
OG0006114	XP_015687615.1	ENSGALG00000012105.6
OG0006115	XP_015669489.1, XP_015669490.1, XP_015669491.1	ENSGALG00000014455.7
OG0006116	XP_015666145.1, XP_015666144.1	ENSGALG00000007351.5
OG0006117	XP_015668486.1	ENSGALG00000042679.3
OG0006118	XP_015668488.1, XP_015668487.1	ENSGALG00000037171.3
OG0006119	XP_015668492.1, XP_015668491.1	ENSGALG00000019543.5
OG0006120	XP_029139929.1	ENSGALG00000003909.7
OG0006121	XP_029140498.1	ENSGALG00000043926.2
OG0006122	XP_015686860.1	ENSGALG00000016757.7
OG0006123	XP_015668494.1	ENSGALG00000012965.7
OG0006124	XP_015671236.1, XP_015671237.1	ENSGALG00000003929.6
OG0006125	XP_029143165.1	ENSGALG00000004927.7
OG0006126	XP_015665461.1	ENSGALG00000003824.6
OG0006127	XP_015677090.1	ENSGALG00000046858.1
OG0006128	XP_029141344.1	ENSGALG00000001263.7
OG0006130	XP_029142994.1, XP_015686589.1	ENSGALG00000049426.1
OG0006131	XP_015666140.1	ENSGALG00000007417.7
OG0006132	XP_015677609.1	ENSGALG00000010733.7
OG0006133	XP_015671366.1, XP_029139956.1	ENSGALG00000002798.6
OG0006134	XP_015670961.1	ENSGALG00000017309.6
OG0006135	XP_029141118.1	ENSGALG00000010713.6
OG0006136	XP_015667109.1	ENSGALG00000002021.6
OG0006137	XP_029139958.1	ENSGALG00000036234.2
OG0006138	XP_015676663.1	ENSGALG00000014138.6
OG0006140	XP_015667704.1	ENSGALG00000038018.2
OG0006141	XP_015680710.1	ENSGALG00000004783.5
OG0006142	XP_029142527.1	ENSGALG00000027986.4
OG0006143	XP_029141817.1	ENSGALG00000020939.5
OG0006144	XP_015679395.1	ENSGALG00000013002.5
OG0006145	XP_015679393.2	ENSGALG00000038328.3
OG0006146	XP_015666158.1	ENSGALG00000007579.6
OG0006147	XP_015667739.1	ENSGALG00000049475.1
OG0006148	XP_015667150.1	ENSGALG00000001639.4
OG0006149	XP_015687907.1	ENSGALG00000005997.8
OG0006151	XP_015676767.1	ENSGALG00000035699.2
OG0006152	XP_015676588.1	ENSGALG00000009065.4
OG0006153	XP_029142380.1	ENSGALG00000014115.7
OG0006154	XP_029142954.1, XP_015682378.1	ENSGALG00000001800.7
OG0006157	XP_015687906.1	ENSGALG00000005957.6
OG0006158	XP_015666128.1, XP_015666127.1	ENSGALG00000007680.6
OG0006159	XP_015666125.2	ENSGALG00000007721.6
OG0006161	XP_015681508.1, XP_029139105.1	ENSGALG00000027144.3
OG0006162	XP_015667053.1	ENSGALG00000007864.6
OG0006163	XP_015667152.1	ENSGALG00000024295.4
OG0006164	XP_029141860.1	ENSGALG00000004660.5, ENSGALG00000055056.1
OG0006165	XP_015667853.1	ENSGALG00000015416.3
OG0006166	XP_015667051.1	ENSGALG00000007892.7
OG0006167	XP_015681112.1	ENSGALG00000013964.6
OG0006168	XP_015687946.1	ENSGALG00000005584.7
OG0006169	XP_015687986.1	ENSGALG00000005853.6
OG0006170	XP_015667049.1, XP_015678616.1	ENSGALG00000007900.5
OG0006171	XP_015677177.1	ENSGALG00000013209.6
OG0006172	XP_015667044.1	ENSGALG00000007928.6
OG0006173	XP_015677172.1	ENSGALG00000013212.6
OG0006174	XP_015667848.1	ENSGALG00000015340.6
OG0006175	XP_029141035.1	ENSGALG00000054096.1
OG0006176	XP_015681442.1	ENSGALG00000006486.6
OG0006177	XP_015674292.1, XP_015674293.1	ENSGALG00000006502.6
OG0006178	XP_029142072.1	ENSGALG00000006916.6
OG0006179	XP_015670860.1, XP_015670862.1	ENSGALG00000008591.6
OG0006180	XP_015673367.1	ENSGALG00000015259.7
OG0006181	XP_029140706.1, XP_029142773.1	ENSGALG00000005318.6
OG0006182	XP_015666704.1, XP_015666706.1	ENSGALG00000008659.7
OG0006183	XP_015676660.2	ENSGALG00000013189.5
OG0006184	XP_029140707.1	ENSGALG00000005294.6
OG0006185	XP_015685703.1	ENSGALG00000039897.2
OG0006186	XP_015680129.1, XP_015685907.1	ENSGALG00000006833.6
OG0006187	XP_015685324.1, XP_029142590.1	ENSGALG00000009279.6
OG0006188	XP_015666698.1, XP_015666699.1, XP_015666701.1	ENSGALG00000040891.3
OG0006189	XP_029139033.1	ENSGALG00000003885.6
OG0006190	XP_015666759.1, XP_015666760.1	ENSGALG00000003893.6
OG0006191	XP_015666696.1, XP_015666697.1	ENSGALG00000008728.6
OG0006192	XP_015666781.1	ENSGALG00000006639.7
OG0006193	XP_015666695.1	ENSGALG00000008739.6
OG0006194	XP_015666758.1, XP_015666757.2	ENSGALG00000003924.7
OG0006195	XP_015678760.1	ENSGALG00000031408.3
OG0006196	XP_015668097.1	ENSGALG00000015179.5
OG0006197	XP_015687048.1	ENSGALG00000010869.6
OG0006198	XP_015682070.1	ENSGALG00000005549.7
OG0006199	XP_015687497.1, XP_015687496.1	ENSGALG00000032278.2
OG0006200	XP_015666249.1, XP_015666179.1	ENSGALG00000016124.7
OG0006201	XP_015673927.1	ENSGALG00000002189.7
OG0006202	XP_015668078.1	ENSGALG00000006806.6
OG0006203	XP_015666044.1	ENSGALG00000042522.2
OG0006204	XP_015665881.1	ENSGALG00000010535.6
OG0006205	XP_015674469.1	ENSGALG00000022866.5
OG0006206	XP_015667036.1, XP_015686094.1	ENSGALG00000051117.1
OG0006207	XP_015687494.1	ENSGALG00000032173.3
OG0006208	XP_015673937.1	ENSGALG00000034288.2
OG0006209	XP_015681339.1, XP_015681340.1	ENSGALG00000003509.6
OG0006210	XP_015679298.2	ENSGALG00000020139.6
OG0006211	XP_029139019.1	ENSGALG00000008976.6
OG0006212	XP_015673930.1	ENSGALG00000040087.2
OG0006213	XP_015673932.1	ENSGALG00000036288.2
OG0006214	XP_015671871.2	ENSGALG00000008839.6
OG0006215	XP_015667338.1	ENSGALG00000009017.6
