Orthogroup	C_familiaris.pep	X_tropicalis.pep
OG0005581	ENSCAFG00000000738.5	ENSXETG00000013751.1
OG0005582	ENSCAFG00000014613.5	ENSXETG00000021042.1
OG0005583	ENSCAFG00000019740.6	ENSXETG00000007888.1
OG0005584	ENSCAFG00000008338.4, ENSCAFG00000020311.4	ENSXETG00000003732.1
OG0005585	ENSCAFG00000020309.5	ENSXETG00000003679.1
OG0005586	ENSCAFG00000020306.3	ENSXETG00000003638.1
OG0005587	ENSCAFG00000018044.3, ENSCAFG00000000713.4	ENSXETG00000005433.1
OG0005588	ENSCAFG00000009983.4	ENSXETG00000020740.1
OG0005589	ENSCAFG00000018357.4	ENSXETG00000019713.1
OG0005591	ENSCAFG00000001632.4	ENSXETG00000014683.1, ENSXETG00000005619.1
OG0005592	ENSCAFG00000019197.5	ENSXETG00000020935.1
OG0005593	ENSCAFG00000014211.5	ENSXETG00000017634.1
OG0005594	ENSCAFG00000014277.4	ENSXETG00000017296.1, ENSXETG00000014589.1
OG0005595	ENSCAFG00000031849.2	ENSXETG00000018246.1
OG0005596	ENSCAFG00000018424.5	ENSXETG00000001643.1
OG0005597	ENSCAFG00000042787.1	ENSXETG00000007461.1, ENSXETG00000007589.1
OG0005598	ENSCAFG00000020287.4	ENSXETG00000007408.1
OG0005599	ENSCAFG00000004075.5	ENSXETG00000008081.1
OG0005600	ENSCAFG00000000682.4	ENSXETG00000005742.1
OG0005601	ENSCAFG00000005773.5	ENSXETG00000005166.1
OG0005602	ENSCAFG00000000680.4	ENSXETG00000005805.1
OG0005603	ENSCAFG00000013995.5	ENSXETG00000007269.1
OG0005604	ENSCAFG00000006938.4	ENSXETG00000001788.1
OG0005605	ENSCAFG00000020273.4	ENSXETG00000007321.1
OG0005606	ENSCAFG00000019897.4	ENSXETG00000007051.1
OG0005607	ENSCAFG00000010336.4	ENSXETG00000018061.1
OG0005608	ENSCAFG00000005266.4	ENSXETG00000017027.1
OG0005609	ENSCAFG00000008237.5	ENSXETG00000004093.1
OG0005610	ENSCAFG00000016916.4	ENSXETG00000014424.1
OG0005611	ENSCAFG00000001299.5	ENSXETG00000006975.1
OG0005612	ENSCAFG00000010306.6	ENSXETG00000017370.1
OG0005613	ENSCAFG00000019298.5	ENSXETG00000016854.1
OG0005614	ENSCAFG00000019882.5	ENSXETG00000007533.1
OG0005615	ENSCAFG00000016292.5	ENSXETG00000011301.1
OG0005616	ENSCAFG00000017107.4	ENSXETG00000012247.1
OG0005617	ENSCAFG00000016661.1	ENSXETG00000010286.1, ENSXETG00000010290.1
OG0005618	ENSCAFG00000018826.4	ENSXETG00000012046.1
OG0005619	ENSCAFG00000013999.4	ENSXETG00000013905.1
OG0005620	ENSCAFG00000019014.4	ENSXETG00000020043.1
OG0005621	ENSCAFG00000000663.4	ENSXETG00000001767.1
OG0005622	ENSCAFG00000014016.4	ENSXETG00000013831.1
OG0005623	ENSCAFG00000017275.4	ENSXETG00000009953.1
OG0005625	ENSCAFG00000049975.1, ENSCAFG00000029233.2	ENSXETG00000004189.1
OG0005626	ENSCAFG00000018829.5	ENSXETG00000017928.1
OG0005627	ENSCAFG00000000656.4	ENSXETG00000001956.1
OG0005628	ENSCAFG00000016086.5	ENSXETG00000001686.1
OG0005629	ENSCAFG00000001395.6	ENSXETG00000006252.1
OG0005630	ENSCAFG00000000654.4	ENSXETG00000001962.1
OG0005632	ENSCAFG00000015128.4	ENSXETG00000002083.1, ENSXETG00000005959.1
OG0005633	ENSCAFG00000000649.4	ENSXETG00000001976.1
OG0005634	ENSCAFG00000023125.4	ENSXETG00000002694.1
OG0005635	ENSCAFG00000016690.5	ENSXETG00000006838.1
OG0005636	ENSCAFG00000012671.4	ENSXETG00000012649.1
OG0005637	ENSCAFG00000030412.2	ENSXETG00000007563.1
OG0005638	ENSCAFG00000012655.4	ENSXETG00000012668.1
OG0005639	ENSCAFG00000019492.5	ENSXETG00000015054.1
OG0005640	ENSCAFG00000011256.4	ENSXETG00000010485.1
OG0005643	ENSCAFG00000017347.4	ENSXETG00000017179.1
OG0005644	ENSCAFG00000011583.4	ENSXETG00000019993.1
OG0005645	ENSCAFG00000011309.4	ENSXETG00000002285.1
OG0005646	ENSCAFG00000019507.4	ENSXETG00000015522.1
OG0005647	ENSCAFG00000012581.5	ENSXETG00000012770.1
OG0005648	ENSCAFG00000019514.4	ENSXETG00000015863.1, ENSXETG00000015619.1
OG0005649	ENSCAFG00000006520.4	ENSXETG00000006636.1
OG0005650	ENSCAFG00000017682.5	ENSXETG00000010404.1
OG0005651	ENSCAFG00000012488.2	ENSXETG00000012844.1
OG0005652	ENSCAFG00000017687.4	ENSXETG00000010430.1
OG0005653	ENSCAFG00000011760.5	ENSXETG00000017664.1
OG0005654	ENSCAFG00000012792.6	ENSXETG00000006783.1
OG0005655	ENSCAFG00000012827.4	ENSXETG00000003041.1
OG0005656	ENSCAFG00000014586.4	ENSXETG00000002007.1
OG0005657	ENSCAFG00000007692.4, ENSCAFG00000042755.1	ENSXETG00000013191.1
OG0005658	ENSCAFG00000002463.4	ENSXETG00000012201.1
OG0005659	ENSCAFG00000009212.4	ENSXETG00000016370.1
OG0005660	ENSCAFG00000013332.4	ENSXETG00000017115.1
OG0005661	ENSCAFG00000020023.4	ENSXETG00000000498.1
OG0005662	ENSCAFG00000032414.2	ENSXETG00000017900.1
OG0005663	ENSCAFG00000013833.4	ENSXETG00000013483.1
OG0005664	ENSCAFG00000013283.4	ENSXETG00000014656.1, ENSXETG00000015495.1
OG0005666	ENSCAFG00000013849.4	ENSXETG00000017618.1
OG0005668	ENSCAFG00000002928.6	ENSXETG00000004184.1
OG0005670	ENSCAFG00000016578.4	ENSXETG00000007837.1
OG0005671	ENSCAFG00000016526.4	ENSXETG00000018752.1
OG0005672	ENSCAFG00000001003.4	ENSXETG00000007490.1
OG0005673	ENSCAFG00000013239.4	ENSXETG00000015936.1
OG0005674	ENSCAFG00000019021.4	ENSXETG00000017336.1
OG0005675	ENSCAFG00000042181.1	ENSXETG00000015957.1
OG0005676	ENSCAFG00000002543.4	ENSXETG00000010431.1
OG0005677	ENSCAFG00000023991.4	ENSXETG00000006448.1
OG0005678	ENSCAFG00000019991.4	ENSXETG00000013909.1
OG0005679	ENSCAFG00000019538.4	ENSXETG00000006481.1
OG0005680	ENSCAFG00000020001.4	ENSXETG00000014527.1
OG0005681	ENSCAFG00000006215.5	ENSXETG00000016651.1
OG0005682	ENSCAFG00000013246.4	ENSXETG00000018107.1
OG0005683	ENSCAFG00000030228.2	ENSXETG00000017089.1
OG0005684	ENSCAFG00000045006.1	ENSXETG00000001907.1
OG0005686	ENSCAFG00000004909.5	ENSXETG00000011562.1
OG0005687	ENSCAFG00000004824.5	ENSXETG00000001897.1
OG0005689	ENSCAFG00000019688.4	ENSXETG00000004358.1
OG0005690	ENSCAFG00000017161.5	ENSXETG00000000537.1
OG0005691	ENSCAFG00000019813.4	ENSXETG00000006400.1
OG0005692	ENSCAFG00000042036.1, ENSCAFG00000004448.4	ENSXETG00000003294.1
OG0005693	ENSCAFG00000013432.4	ENSXETG00000000202.1
OG0005694	ENSCAFG00000000795.5	ENSXETG00000010520.1
OG0005695	ENSCAFG00000002416.4	ENSXETG00000009170.1
OG0005697	ENSCAFG00000030020.2	ENSXETG00000006033.1
OG0005698	ENSCAFG00000001173.4	ENSXETG00000019016.1
OG0005699	ENSCAFG00000015014.4	ENSXETG00000001698.1
OG0005700	ENSCAFG00000014796.5	ENSXETG00000011022.1
OG0005701	ENSCAFG00000029971.2	ENSXETG00000018817.1
OG0005702	ENSCAFG00000015060.5	ENSXETG00000003062.1
OG0005703	ENSCAFG00000005282.5, ENSCAFG00000005575.4	ENSXETG00000002265.1
OG0005704	ENSCAFG00000018839.4	ENSXETG00000021262.1
OG0005706	ENSCAFG00000043521.1	ENSXETG00000011743.1
OG0005707	ENSCAFG00000005526.4	ENSXETG00000018592.1
OG0005709	ENSCAFG00000019548.5	ENSXETG00000018689.1
OG0005710	ENSCAFG00000001017.4	ENSXETG00000020400.1
OG0005711	ENSCAFG00000020094.3	ENSXETG00000017054.1
OG0005712	ENSCAFG00000000268.3	ENSXETG00000019281.1
OG0005713	ENSCAFG00000018792.4	ENSXETG00000012832.1
OG0005714	ENSCAFG00000007054.4	ENSXETG00000010748.1
OG0005715	ENSCAFG00000017779.5	ENSXETG00000017483.1
OG0005716	ENSCAFG00000009179.4	ENSXETG00000006718.1
OG0005718	ENSCAFG00000035539.2	ENSXETG00000018102.1
OG0005719	ENSCAFG00000009240.6	ENSXETG00000006921.1
OG0005720	ENSCAFG00000019266.4	ENSXETG00000007396.1
OG0005721	ENSCAFG00000020037.6	ENSXETG00000018916.1
OG0005722	ENSCAFG00000018891.4	ENSXETG00000019605.1
OG0005723	ENSCAFG00000009305.5	ENSXETG00000007299.1
OG0005724	ENSCAFG00000002852.4	ENSXETG00000008685.1
OG0005725	ENSCAFG00000011825.5	ENSXETG00000001681.1
OG0005726	ENSCAFG00000019030.4	ENSXETG00000009547.1
OG0005727	ENSCAFG00000043857.1, ENSCAFG00000019259.4	ENSXETG00000007583.1
OG0005728	ENSCAFG00000011808.5	ENSXETG00000001725.1
OG0005729	ENSCAFG00000020192.2, ENSCAFG00000018870.5	ENSXETG00000016964.1
OG0005731	ENSCAFG00000016684.5	ENSXETG00000018913.1
OG0005732	ENSCAFG00000018867.5	ENSXETG00000017312.1
OG0005733	ENSCAFG00000016689.4	ENSXETG00000018925.1
OG0005734	ENSCAFG00000013843.5	ENSXETG00000011289.1
OG0005735	ENSCAFG00000009703.4	ENSXETG00000008079.1
OG0005737	ENSCAFG00000016694.4	ENSXETG00000013825.1
OG0005738	ENSCAFG00000041093.1	ENSXETG00000014262.1
OG0005739	ENSCAFG00000011625.5	ENSXETG00000000910.1
OG0005740	ENSCAFG00000017071.4	ENSXETG00000011128.1
OG0005741	ENSCAFG00000014320.4	ENSXETG00000013718.1
OG0005742	ENSCAFG00000030079.2	ENSXETG00000000992.1
OG0005743	ENSCAFG00000011576.5	ENSXETG00000001123.1
OG0005744	ENSCAFG00000017625.5	ENSXETG00000020017.1
OG0005745	ENSCAFG00000015221.5	ENSXETG00000003317.1
OG0005746	ENSCAFG00000009460.4	ENSXETG00000009432.1
OG0005747	ENSCAFG00000018715.4	ENSXETG00000013230.1
OG0005748	ENSCAFG00000018672.4	ENSXETG00000013319.1
OG0005749	ENSCAFG00000018668.4	ENSXETG00000013343.1
OG0005750	ENSCAFG00000000718.5	ENSXETG00000011814.1
OG0005751	ENSCAFG00000019601.5	ENSXETG00000006577.1
OG0005753	ENSCAFG00000019260.4	ENSXETG00000013803.1
OG0005754	ENSCAFG00000000711.4	ENSXETG00000011744.1
OG0005755	ENSCAFG00000010258.4	ENSXETG00000006907.1
OG0005756	ENSCAFG00000044942.1	ENSXETG00000005568.1
OG0005757	ENSCAFG00000010377.5	ENSXETG00000000762.1
OG0005758	ENSCAFG00000010408.5	ENSXETG00000000800.1
OG0005759	ENSCAFG00000012514.4	ENSXETG00000008115.1
OG0005760	ENSCAFG00000010114.4	ENSXETG00000002002.1
OG0005761	ENSCAFG00000002493.5	ENSXETG00000005995.1
OG0005762	ENSCAFG00000008849.5	ENSXETG00000017391.1
OG0005763	ENSCAFG00000016022.5	ENSXETG00000004152.1
OG0005764	ENSCAFG00000000341.4	ENSXETG00000013075.1
OG0005765	ENSCAFG00000016161.4	ENSXETG00000009672.1, ENSXETG00000010767.1
OG0005766	ENSCAFG00000008628.4	ENSXETG00000017811.1
OG0005767	ENSCAFG00000008598.4	ENSXETG00000019492.1
OG0005768	ENSCAFG00000016208.5	ENSXETG00000007908.1
OG0005769	ENSCAFG00000009029.4	ENSXETG00000003884.1
OG0005770	ENSCAFG00000009046.4	ENSXETG00000005570.1
OG0005771	ENSCAFG00000008505.4	ENSXETG00000018273.1
OG0005772	ENSCAFG00000023925.3	ENSXETG00000014014.1
OG0005773	ENSCAFG00000016265.4	ENSXETG00000007352.1
OG0005774	ENSCAFG00000030018.2	ENSXETG00000018197.1
OG0005775	ENSCAFG00000016269.4	ENSXETG00000010896.1, ENSXETG00000010819.1
OG0005776	ENSCAFG00000019272.4	ENSXETG00000009394.1
OG0005777	ENSCAFG00000014979.5	ENSXETG00000000782.1
OG0005779	ENSCAFG00000014202.6	ENSXETG00000014421.1
OG0005780	ENSCAFG00000009146.5	ENSXETG00000012323.1
OG0005781	ENSCAFG00000013552.5	ENSXETG00000000308.1
OG0005782	ENSCAFG00000014210.4	ENSXETG00000014600.1
OG0005783	ENSCAFG00000014213.4	ENSXETG00000014624.1
OG0005784	ENSCAFG00000044253.1	ENSXETG00000000492.1
OG0005785	ENSCAFG00000014873.4	ENSXETG00000000434.1
OG0005786	ENSCAFG00000006869.4	ENSXETG00000002928.1
OG0005787	ENSCAFG00000017492.4	ENSXETG00000010908.1
OG0005788	ENSCAFG00000006544.5	ENSXETG00000018974.1
OG0005789	ENSCAFG00000007088.3	ENSXETG00000020200.1
OG0005790	ENSCAFG00000016987.4	ENSXETG00000020433.1
OG0005791	ENSCAFG00000029040.2	ENSXETG00000013793.1
OG0005792	ENSCAFG00000019779.4	ENSXETG00000010648.1
OG0005793	ENSCAFG00000004526.6	ENSXETG00000000507.1
OG0005794	ENSCAFG00000018917.4	ENSXETG00000005010.1
OG0005795	ENSCAFG00000020409.5	ENSXETG00000015879.1
OG0005796	ENSCAFG00000023022.4	ENSXETG00000005018.1
OG0005797	ENSCAFG00000000096.4	ENSXETG00000005154.1, ENSXETG00000019738.1
OG0005798	ENSCAFG00000020364.4	ENSXETG00000021356.1
OG0005799	ENSCAFG00000020363.4	ENSXETG00000021355.1
OG0005800	ENSCAFG00000007203.4	ENSXETG00000019809.1, ENSXETG00000017763.1
OG0005801	ENSCAFG00000020374.5	ENSXETG00000010993.1, ENSXETG00000017670.1
OG0005802	ENSCAFG00000017968.4	ENSXETG00000011876.1
OG0005803	ENSCAFG00000014750.4	ENSXETG00000000128.1
OG0005804	ENSCAFG00000020375.5	ENSXETG00000011682.1
OG0005805	ENSCAFG00000013538.4	ENSXETG00000006108.1
OG0005806	ENSCAFG00000030126.1	ENSXETG00000017646.1, ENSXETG00000017382.1
OG0005807	ENSCAFG00000012156.4	ENSXETG00000011839.1
OG0005808	ENSCAFG00000007344.5	ENSXETG00000019673.1
OG0005809	ENSCAFG00000001543.4	ENSXETG00000019771.1
OG0005810	ENSCAFG00000019902.5	ENSXETG00000011536.1
OG0005812	ENSCAFG00000018135.4	ENSXETG00000002121.1
OG0005813	ENSCAFG00000015656.4	ENSXETG00000010474.1
OG0005814	ENSCAFG00000019117.4	ENSXETG00000006167.1
OG0005815	ENSCAFG00000010552.4	ENSXETG00000005557.1
OG0005816	ENSCAFG00000015598.4	ENSXETG00000021373.1
OG0005817	ENSCAFG00000007386.4	ENSXETG00000013553.1
OG0005818	ENSCAFG00000015585.6	ENSXETG00000002207.1
OG0005819	ENSCAFG00000015578.5	ENSXETG00000010155.1
OG0005820	ENSCAFG00000012557.4	ENSXETG00000016982.1
OG0005821	ENSCAFG00000000129.4	ENSXETG00000013222.1
OG0005822	ENSCAFG00000032261.2	ENSXETG00000001604.1
OG0005823	ENSCAFG00000016743.4	ENSXETG00000003352.1
OG0005824	ENSCAFG00000007590.4	ENSXETG00000015502.1
OG0005825	ENSCAFG00000010488.4	ENSXETG00000011450.1
OG0005826	ENSCAFG00000010534.4	ENSXETG00000011427.1
OG0005829	ENSCAFG00000008956.4	ENSXETG00000001648.1
OG0005830	ENSCAFG00000030333.1	ENSXETG00000009959.1
OG0005831	ENSCAFG00000023671.4	ENSXETG00000002426.1
OG0005833	ENSCAFG00000019917.4, ENSCAFG00000044526.1	ENSXETG00000021229.1
OG0005834	ENSCAFG00000015735.5	ENSXETG00000013843.1
OG0005835	ENSCAFG00000007868.4	ENSXETG00000010596.1
OG0005836	ENSCAFG00000010432.5	ENSXETG00000003115.1, ENSXETG00000001758.1
OG0005837	ENSCAFG00000028957.2	ENSXETG00000006797.1
OG0005839	ENSCAFG00000014651.4	ENSXETG00000010575.1
OG0005840	ENSCAFG00000012274.4	ENSXETG00000015350.1
OG0005841	ENSCAFG00000015861.4	ENSXETG00000012436.1
OG0005844	ENSCAFG00000015872.4	ENSXETG00000012387.1
OG0005845	ENSCAFG00000002315.4	ENSXETG00000003106.1
OG0005846	ENSCAFG00000015541.4	ENSXETG00000020303.1
OG0005847	ENSCAFG00000024624.3	ENSXETG00000002989.1
OG0005848	ENSCAFG00000006985.6	ENSXETG00000007614.1
OG0005849	ENSCAFG00000012992.5	ENSXETG00000009895.1
OG0005850	ENSCAFG00000011405.4	ENSXETG00000000541.1
OG0005851	ENSCAFG00000002370.4	ENSXETG00000001814.1, ENSXETG00000002783.1
OG0005852	ENSCAFG00000008031.4	ENSXETG00000020833.1
OG0005853	ENSCAFG00000008880.5	ENSXETG00000001721.1
OG0005854	ENSCAFG00000006996.5	ENSXETG00000008348.1
OG0005855	ENSCAFG00000012811.5	ENSXETG00000005387.1
OG0005856	ENSCAFG00000008170.4	ENSXETG00000019052.1
OG0005857	ENSCAFG00000031128.2	ENSXETG00000005973.1
OG0005858	ENSCAFG00000018959.4	ENSXETG00000019814.1
OG0005859	ENSCAFG00000028527.2	ENSXETG00000004857.1
OG0005860	ENSCAFG00000006884.4	ENSXETG00000009919.1
OG0005861	ENSCAFG00000002386.4	ENSXETG00000001619.1
OG0005862	ENSCAFG00000018931.5	ENSXETG00000020272.1
OG0005863	ENSCAFG00000018920.5	ENSXETG00000019157.1
OG0005864	ENSCAFG00000002667.4, ENSCAFG00000023283.3	ENSXETG00000017399.1
OG0005865	ENSCAFG00000013350.4	ENSXETG00000010587.1
OG0005866	ENSCAFG00000010267.5	ENSXETG00000000104.1
OG0005867	ENSCAFG00000017252.4	ENSXETG00000009549.1
OG0005868	ENSCAFG00000018125.4	ENSXETG00000018594.1, ENSXETG00000018998.1
OG0005869	ENSCAFG00000049675.1	ENSXETG00000006030.1
OG0005870	ENSCAFG00000018132.4	ENSXETG00000019160.1
OG0005871	ENSCAFG00000010317.5	ENSXETG00000010602.1
OG0005872	ENSCAFG00000014872.4	ENSXETG00000005042.1
OG0005873	ENSCAFG00000007468.4	ENSXETG00000003497.1
OG0005874	ENSCAFG00000050043.1, ENSCAFG00000012540.5	ENSXETG00000008714.1
OG0005875	ENSCAFG00000007482.4	ENSXETG00000003535.1
OG0005876	ENSCAFG00000007484.4, ENSCAFG00000007493.4	ENSXETG00000003571.1
OG0005877	ENSCAFG00000017645.5	ENSXETG00000019114.1
OG0005878	ENSCAFG00000015204.4	ENSXETG00000008532.1
OG0005879	ENSCAFG00000000045.4, ENSCAFG00000023414.2	ENSXETG00000013861.1
OG0005880	ENSCAFG00000011979.4	ENSXETG00000017503.1
OG0005881	ENSCAFG00000013108.5	ENSXETG00000005593.1
OG0005882	ENSCAFG00000007512.3	ENSXETG00000004874.1
OG0005883	ENSCAFG00000007524.4	ENSXETG00000004887.1
OG0005884	ENSCAFG00000011935.4	ENSXETG00000000551.1
OG0005885	ENSCAFG00000011895.4	ENSXETG00000000464.1
OG0005886	ENSCAFG00000029882.2	ENSXETG00000012800.1
OG0005887	ENSCAFG00000018173.4	ENSXETG00000018617.1
OG0005888	ENSCAFG00000012205.4	ENSXETG00000009707.1
OG0005889	ENSCAFG00000019662.4	ENSXETG00000003899.1
OG0005890	ENSCAFG00000007658.4	ENSXETG00000020952.1
OG0005891	ENSCAFG00000012022.4	ENSXETG00000002119.1
OG0005892	ENSCAFG00000001285.4	ENSXETG00000009337.1
OG0005893	ENSCAFG00000004544.4	ENSXETG00000011047.1
OG0005894	ENSCAFG00000014729.4, ENSCAFG00000013279.4	ENSXETG00000014384.1
OG0005895	ENSCAFG00000019157.4	ENSXETG00000000745.1
OG0005896	ENSCAFG00000004602.4	ENSXETG00000000306.1
OG0005897	ENSCAFG00000011319.5	ENSXETG00000004780.1
OG0005898	ENSCAFG00000018152.5	ENSXETG00000019392.1
OG0005899	ENSCAFG00000018183.4	ENSXETG00000020606.1
OG0005900	ENSCAFG00000015388.4	ENSXETG00000017733.1
OG0005901	ENSCAFG00000014672.4	ENSXETG00000014134.1
OG0005902	ENSCAFG00000006057.5	ENSXETG00000020592.1
OG0005903	ENSCAFG00000011266.4	ENSXETG00000005998.1
OG0005904	ENSCAFG00000015152.4	ENSXETG00000002728.1
OG0005905	ENSCAFG00000006047.5	ENSXETG00000018949.1
OG0005906	ENSCAFG00000014591.5	ENSXETG00000013968.1
OG0005907	ENSCAFG00000013964.4	ENSXETG00000001844.1
OG0005908	ENSCAFG00000032380.2	ENSXETG00000006446.1
OG0005910	ENSCAFG00000014201.5	ENSXETG00000005437.1
OG0005912	ENSCAFG00000006665.4	ENSXETG00000019349.1, ENSXETG00000008198.1
OG0005913	ENSCAFG00000008442.4	ENSXETG00000012929.1
OG0005914	ENSCAFG00000018216.4	ENSXETG00000019657.1
OG0005915	ENSCAFG00000019525.4	ENSXETG00000004126.1
OG0005916	ENSCAFG00000005080.4	ENSXETG00000003276.1
OG0005917	ENSCAFG00000012000.4	ENSXETG00000000900.1
OG0005918	ENSCAFG00000011978.5	ENSXETG00000000930.1
OG0005919	ENSCAFG00000018249.4	ENSXETG00000018158.1
OG0005920	ENSCAFG00000017513.5	ENSXETG00000007958.1
OG0005921	ENSCAFG00000008313.4	ENSXETG00000000741.1
OG0005922	ENSCAFG00000016306.4	ENSXETG00000010987.1
OG0005923	ENSCAFG00000019401.4	ENSXETG00000017056.1
OG0005924	ENSCAFG00000005088.5	ENSXETG00000005854.1
OG0005925	ENSCAFG00000019694.5	ENSXETG00000018585.1
OG0005926	ENSCAFG00000028862.2	ENSXETG00000005722.1
OG0005927	ENSCAFG00000013691.4	ENSXETG00000010010.1
OG0005928	ENSCAFG00000015751.4	ENSXETG00000017644.1
OG0005929	ENSCAFG00000011165.5	ENSXETG00000012569.1
OG0005930	ENSCAFG00000017501.4	ENSXETG00000018942.1
OG0005932	ENSCAFG00000012088.4	ENSXETG00000003242.1
OG0005933	ENSCAFG00000009414.5	ENSXETG00000021081.1
OG0005934	ENSCAFG00000008363.4	ENSXETG00000000944.1, ENSXETG00000005029.1
OG0005935	ENSCAFG00000008869.4	ENSXETG00000009604.1
OG0005936	ENSCAFG00000001924.4	ENSXETG00000014623.1
OG0005937	ENSCAFG00000004966.4	ENSXETG00000019864.1
OG0005939	ENSCAFG00000001677.4	ENSXETG00000020129.1
OG0005940	ENSCAFG00000020226.4	ENSXETG00000003531.1
OG0005942	ENSCAFG00000004959.5	ENSXETG00000020891.1
OG0005943	ENSCAFG00000011663.4	ENSXETG00000020813.1
OG0005944	ENSCAFG00000020172.4	ENSXETG00000014543.1
OG0005945	ENSCAFG00000009598.4	ENSXETG00000019813.1
OG0005946	ENSCAFG00000009322.4	ENSXETG00000019857.1
OG0005947	ENSCAFG00000009300.4	ENSXETG00000006884.1
OG0005948	ENSCAFG00000011805.3	ENSXETG00000014065.1
OG0005949	ENSCAFG00000018324.5	ENSXETG00000019211.1
OG0005950	ENSCAFG00000019231.5	ENSXETG00000009271.1
OG0005952	ENSCAFG00000011234.4	ENSXETG00000019549.1
OG0005954	ENSCAFG00000030997.2	ENSXETG00000005974.1, ENSXETG00000017888.1
OG0005955	ENSCAFG00000004789.5	ENSXETG00000006511.1
OG0005956	ENSCAFG00000009220.3	ENSXETG00000019247.1
OG0005957	ENSCAFG00000006930.5	ENSXETG00000015349.1, ENSXETG00000016162.1
OG0005958	ENSCAFG00000007067.5	ENSXETG00000009235.1
OG0005959	ENSCAFG00000011149.5	ENSXETG00000001373.1
OG0005960	ENSCAFG00000009165.4	ENSXETG00000019956.1
OG0005961	ENSCAFG00000004794.5	ENSXETG00000012301.1
OG0005962	ENSCAFG00000018362.4	ENSXETG00000019367.1
OG0005963	ENSCAFG00000011656.3	ENSXETG00000019880.1
OG0005964	ENSCAFG00000011063.5	ENSXETG00000006628.1
OG0005965	ENSCAFG00000004827.4	ENSXETG00000001323.1
OG0005966	ENSCAFG00000032338.2	ENSXETG00000004440.1
OG0005967	ENSCAFG00000006841.4	ENSXETG00000016552.1
OG0005969	ENSCAFG00000013049.4	ENSXETG00000015786.1
OG0005970	ENSCAFG00000011399.4	ENSXETG00000015878.1
OG0005971	ENSCAFG00000012366.4	ENSXETG00000009910.1
OG0005972	ENSCAFG00000006788.4	ENSXETG00000016464.1
OG0005973	ENSCAFG00000003086.4	ENSXETG00000000101.1
OG0005974	ENSCAFG00000008198.5	ENSXETG00000009941.1
OG0005975	ENSCAFG00000031918.2	ENSXETG00000014298.1, ENSXETG00000005077.1
OG0005977	ENSCAFG00000005785.5	ENSXETG00000010789.1
OG0005978	ENSCAFG00000011155.5	ENSXETG00000000299.1
OG0005979	ENSCAFG00000007473.6	ENSXETG00000021083.1
OG0005980	ENSCAFG00000007432.5	ENSXETG00000015909.1, ENSXETG00000020693.1
OG0005981	ENSCAFG00000003100.4	ENSXETG00000012233.1
OG0005982	ENSCAFG00000007431.3	ENSXETG00000021014.1
OG0005983	ENSCAFG00000011106.4	ENSXETG00000018485.1
OG0005984	ENSCAFG00000043910.1	ENSXETG00000006676.1
OG0005986	ENSCAFG00000031021.2	ENSXETG00000001104.1
OG0005987	ENSCAFG00000009762.4	ENSXETG00000009493.1
OG0005989	ENSCAFG00000008877.4	ENSXETG00000017440.1
OG0005991	ENSCAFG00000012229.4	ENSXETG00000007013.1
OG0005992	ENSCAFG00000018554.4	ENSXETG00000001268.1
OG0005993	ENSCAFG00000003111.5	ENSXETG00000004833.1
OG0005994	ENSCAFG00000018511.4	ENSXETG00000001320.1
OG0005995	ENSCAFG00000030762.2	ENSXETG00000000547.1, ENSXETG00000000542.1
OG0005996	ENSCAFG00000007958.4	ENSXETG00000014599.1
OG0005997	ENSCAFG00000015148.4	ENSXETG00000007523.1
OG0005998	ENSCAFG00000010180.4	ENSXETG00000008058.1
OG0005999	ENSCAFG00000010159.4	ENSXETG00000008325.1
OG0006000	ENSCAFG00000011714.4	ENSXETG00000000773.1
OG0006001	ENSCAFG00000003494.5	ENSXETG00000009042.1
OG0006002	ENSCAFG00000016236.5	ENSXETG00000000263.1
OG0006003	ENSCAFG00000019258.4	ENSXETG00000007659.1
OG0006004	ENSCAFG00000008670.4	ENSXETG00000011894.1
OG0006006	ENSCAFG00000030889.3	ENSXETG00000017627.1
OG0006007	ENSCAFG00000000224.5	ENSXETG00000000124.1
OG0006008	ENSCAFG00000018846.6	ENSXETG00000002933.1
OG0006009	ENSCAFG00000018484.5	ENSXETG00000000637.1
OG0006010	ENSCAFG00000005326.4	ENSXETG00000012180.1
OG0006011	ENSCAFG00000010029.4	ENSXETG00000007817.1
OG0006012	ENSCAFG00000000173.4	ENSXETG00000001756.1
OG0006013	ENSCAFG00000000204.4	ENSXETG00000011520.1
OG0006014	ENSCAFG00000008093.4	ENSXETG00000008881.1, ENSXETG00000002893.1
OG0006015	ENSCAFG00000005291.4	ENSXETG00000012110.1
OG0006016	ENSCAFG00000001317.4	ENSXETG00000007340.1
OG0006017	ENSCAFG00000000199.4	ENSXETG00000012901.1
OG0006018	ENSCAFG00000018426.5	ENSXETG00000018776.1
OG0006019	ENSCAFG00000011523.4	ENSXETG00000013557.1
OG0006020	ENSCAFG00000032589.2	ENSXETG00000002729.1
OG0006021	ENSCAFG00000042074.1, ENSCAFG00000030475.2	ENSXETG00000014546.1
OG0006022	ENSCAFG00000009375.4	ENSXETG00000018553.1
OG0006023	ENSCAFG00000007965.5	ENSXETG00000002651.1
OG0006024	ENSCAFG00000011550.5	ENSXETG00000012933.1
OG0006025	ENSCAFG00000010225.5	ENSXETG00000006752.1
