Orthogroup	C_familiaris.pep	N_naja.pep
OG0004239	ENSCAFG00000011540.3	Nana20670-RA, Nana20670-RB, Nana20670-RC
OG0004240	ENSCAFG00000011339.5	Nana14997-RA, Nana14996-RA
OG0004241	ENSCAFG00000018443.5	Nana09939-RA, Nana09939-RB
OG0004242	ENSCAFG00000041534.1, ENSCAFG00000003369.5	Nana27447-RA
OG0004243	ENSCAFG00000018416.4	Nana09936-RB, Nana09936-RA
OG0004244	ENSCAFG00000011265.5	Nana14992-RA
OG0004245	ENSCAFG00000044636.1	Nana20661-RB, Nana20661-RA
OG0004246	ENSCAFG00000001961.5	Nana21436-RA
OG0004248	ENSCAFG00000011140.6	Nana39440-RA, Nana14986-RA
OG0004249	ENSCAFG00000020106.5	Nana36571-RA, Nana36571-RB
OG0004250	ENSCAFG00000011120.5	Nana14985-RB, Nana14985-RA
OG0004251	ENSCAFG00000019405.5	Nana37296-RA
OG0004252	ENSCAFG00000016326.4	Nana38522-RB, Nana38522-RA, Nana38521-RA
OG0004253	ENSCAFG00000011380.4	Nana20660-RC, Nana20660-RA, Nana20660-RB
OG0004254	ENSCAFG00000009696.4	Nana13183-RA
OG0004255	ENSCAFG00000019871.5	Nana14977-RA, Nana14979-RA
OG0004256	ENSCAFG00000031198.2	Nana00475-RA
OG0004257	ENSCAFG00000001980.4	Nana21430-RA
OG0004258	ENSCAFG00000006007.4, ENSCAFG00000011083.4	Nana04018-RA
OG0004259	ENSCAFG00000048474.1	Nana14976-RA
OG0004260	ENSCAFG00000032389.2	Nana04950-RA
OG0004261	ENSCAFG00000008790.4	Nana13209-RA
OG0004262	ENSCAFG00000019861.4	Nana31775-RC, Nana31775-RE, Nana31775-RD
OG0004263	ENSCAFG00000002704.3	Nana23643-RA
OG0004264	ENSCAFG00000000529.4	Nana16673-RA, Nana16675-RA
OG0004265	ENSCAFG00000016620.3	Nana04965-RA
OG0004266	ENSCAFG00000000507.5	Nana16670-RA
OG0004267	ENSCAFG00000019585.4	Nana33721-RC, Nana33721-RB, Nana33721-RA
OG0004268	ENSCAFG00000017118.5	Nana23746-RA
OG0004269	ENSCAFG00000019583.5	Nana39018-RA, Nana33717-RA, Nana33717-RB
OG0004270	ENSCAFG00000016070.4	Nana04180-RB, Nana04180-RA, Nana04180-RC
OG0004271	ENSCAFG00000013211.3	Nana15277-RA
OG0004272	ENSCAFG00000018041.4	Nana05692-RA
OG0004273	ENSCAFG00000048610.1, ENSCAFG00000029042.1, ENSCAFG00000029055.1	Nana04182-RA
OG0004274	ENSCAFG00000013117.4	Nana15281-RA
OG0004275	ENSCAFG00000018990.4	Nana34711-RA
OG0004276	ENSCAFG00000032587.2	Nana34124-RA
OG0004278	ENSCAFG00000014846.4	Nana20583-RA
OG0004279	ENSCAFG00000006879.5	Nana15402-RA
OG0004280	ENSCAFG00000014823.4	Nana20581-RA, Nana20581-RB
OG0004281	ENSCAFG00000014621.5	Nana20544-RA, Nana20546-RA
OG0004282	ENSCAFG00000002227.5	Nana21659-RA
OG0004283	ENSCAFG00000000261.4, ENSCAFG00000049566.1, ENSCAFG00000045749.1	Nana21664-RA
OG0004284	ENSCAFG00000007177.4	Nana10454-RB
OG0004285	ENSCAFG00000012538.4	Nana27572-RA, Nana27570-RA
OG0004286	ENSCAFG00000012586.4	Nana35835-RA, Nana27568-RA
OG0004287	ENSCAFG00000006173.4	Nana15404-RA, Nana15404-RB
OG0004288	ENSCAFG00000002580.5	Nana23708-RA
OG0004289	ENSCAFG00000014619.5	Nana35202-RB, Nana35202-RA
OG0004290	ENSCAFG00000010528.5	Nana27464-RB, Nana27464-RA
OG0004291	ENSCAFG00000002308.5	Nana03639-RA
OG0004292	ENSCAFG00000044821.1	Nana21685-RA
OG0004293	ENSCAFG00000003910.6	Nana23693-RA
OG0004294	ENSCAFG00000002342.4	Nana21691-RA
OG0004295	ENSCAFG00000031802.2	Nana21702-RA, Nana21703-RA
OG0004296	ENSCAFG00000002426.4	Nana21704-RA
OG0004297	ENSCAFG00000014222.5	Nana20500-RA
OG0004298	ENSCAFG00000015743.4	Nana27486-RB, Nana27486-RC
OG0004299	ENSCAFG00000005033.4	Nana08459-RA
OG0004300	ENSCAFG00000008922.5	Nana20474-RB, Nana20474-RA
OG0004301	ENSCAFG00000015804.5	Nana27504-RC, Nana27504-RA, Nana27504-RB
OG0004302	ENSCAFG00000008638.4	Nana20414-RA
OG0004304	ENSCAFG00000005839.5	Nana03203-RA, Nana21924-RA, Nana21923-RA
OG0004305	ENSCAFG00000016252.4	Nana27544-RA
OG0004306	ENSCAFG00000003169.6	Nana27549-RC, Nana27549-RB
OG0004307	ENSCAFG00000007753.4	Nana20311-RC, Nana20311-RB, Nana20311-RA
OG0004308	ENSCAFG00000007731.4	Nana20310-RB, Nana20310-RA
OG0004309	ENSCAFG00000007694.4	Nana20307-RA
OG0004310	ENSCAFG00000006029.4	Nana22107-RA, Nana22107-RC, Nana22107-RB
OG0004311	ENSCAFG00000004336.4, ENSCAFG00000024739.3	Nana27414-RA
OG0004312	ENSCAFG00000010598.5	Nana20301-RC, Nana20301-RB, Nana20301-RA
OG0004313	ENSCAFG00000017535.5	Nana33629-RB, Nana33629-RA
OG0004314	ENSCAFG00000045778.1, ENSCAFG00000003930.4	Nana27428-RA
OG0004315	ENSCAFG00000003907.5	Nana27429-RA
OG0004316	ENSCAFG00000006262.4	Nana22149-RA, Nana22149-RB
OG0004317	ENSCAFG00000019992.5	Nana14951-RA
OG0004318	ENSCAFG00000020004.4	Nana14939-RB
OG0004319	ENSCAFG00000007134.5	Nana27398-RA, Nana27398-RB, Nana27398-RC
OG0004320	ENSCAFG00000004291.4	Nana20266-RA, Nana02665-RA
OG0004321	ENSCAFG00000020011.4	Nana14937-RD, Nana14937-RC, Nana14937-RE
OG0004322	ENSCAFG00000020021.4	Nana14936-RB, Nana14936-RA, Nana14936-RC
OG0004323	ENSCAFG00000007257.4	Nana27395-RB, Nana27395-RA, Nana27395-RC
OG0004324	ENSCAFG00000016645.4, ENSCAFG00000007270.4	Nana27394-RA
OG0004325	ENSCAFG00000007282.4	Nana27393-RA, Nana27393-RB, Nana27393-RC
OG0004326	ENSCAFG00000004820.5	Nana22315-RA, Nana22305-RA
OG0004327	ENSCAFG00000003125.5	Nana03324-RA, Nana22331-RA, Nana22333-RA
OG0004329	ENSCAFG00000003151.4	Nana22354-RA
OG0004330	ENSCAFG00000007372.5	Nana27385-RA
OG0004331	ENSCAFG00000020128.5	Nana14920-RA, Nana14920-RB
OG0004332	ENSCAFG00000003227.4	Nana22411-RA
OG0004333	ENSCAFG00000041551.1, ENSCAFG00000002743.3	Nana20177-RA
OG0004334	ENSCAFG00000031521.2	Nana20162-RA, Nana20161-RA
OG0004335	ENSCAFG00000047522.1	Nana20159-RA
OG0004336	ENSCAFG00000011049.4	Nana02964-RA
OG0004337	ENSCAFG00000029147.1	Nana27353-RA
OG0004338	ENSCAFG00000003465.4	Nana22536-RA, Nana03062-RA
OG0004339	ENSCAFG00000001717.4	Nana27339-RB, Nana27339-RA
OG0004340	ENSCAFG00000013013.4	Nana20134-RA, Nana20134-RB, Nana39509-RA
OG0004341	ENSCAFG00000023751.3	Nana20126-RA
OG0004342	ENSCAFG00000014131.4	Nana22639-RA, Nana22640-RA
OG0004343	ENSCAFG00000001550.4	Nana27328-RC, Nana27328-RD
OG0004344	ENSCAFG00000031234.2	Nana20115-RA
OG0004345	ENSCAFG00000049941.1	Nana14833-RA
OG0004346	ENSCAFG00000002565.4	Nana22663-RA, Nana22664-RA
OG0004347	ENSCAFG00000001519.4	Nana27323-RA
OG0004348	ENSCAFG00000010988.5	Nana20085-RB, Nana20085-RA
OG0004349	ENSCAFG00000001384.4, ENSCAFG00000044061.1	Nana27273-RA, Nana27273-RB
OG0004350	ENSCAFG00000048069.1	Nana27272-RA
OG0004351	ENSCAFG00000013297.4	Nana20066-RA
OG0004352	ENSCAFG00000013266.4	Nana20065-RA
OG0004353	ENSCAFG00000001371.5	Nana27269-RA, Nana03167-RA
OG0004354	ENSCAFG00000049928.1, ENSCAFG00000029300.2	Nana14651-RA
OG0004355	ENSCAFG00000007523.5	Nana20040-RB, Nana20040-RA, Nana20040-RC
OG0004356	ENSCAFG00000001255.6	Nana27242-RC, Nana27242-RB, Nana27242-RA
OG0004357	ENSCAFG00000005472.5	Nana22733-RB, Nana22733-RA
OG0004358	ENSCAFG00000005378.4	Nana22761-RB, Nana22761-RC, Nana22761-RA
OG0004359	ENSCAFG00000001154.5	Nana27237-RB, Nana27237-RC, Nana27237-RA
OG0004360	ENSCAFG00000001134.4	Nana27233-RA
OG0004361	ENSCAFG00000008449.5	Nana22766-RA
OG0004362	ENSCAFG00000018977.4	Nana14564-RA, Nana14564-RC, Nana14564-RB
OG0004363	ENSCAFG00000007374.4, ENSCAFG00000032762.2	Nana22789-RA, Nana22789-RB
OG0004364	ENSCAFG00000011816.4	Nana20005-RA, Nana20005-RB
OG0004365	ENSCAFG00000001023.4	Nana27212-RA
OG0004366	ENSCAFG00000001018.4	Nana27211-RA, Nana27211-RC, Nana27211-RB
OG0004367	ENSCAFG00000007479.4	Nana22816-RA
OG0004368	ENSCAFG00000007564.4	Nana22822-RB, Nana22822-RA
OG0004370	ENSCAFG00000019066.4	Nana14539-RA
OG0004371	ENSCAFG00000012905.5	Nana22827-RB, Nana22827-RA
OG0004372	ENSCAFG00000018373.4, ENSCAFG00000018430.3	Nana22828-RA
OG0004373	ENSCAFG00000004253.4	Nana19992-RB, Nana19992-RA
OG0004374	ENSCAFG00000004224.4	Nana19985-RB, Nana19985-RA
OG0004375	ENSCAFG00000012998.4	Nana22836-RC, Nana22836-RB
OG0004376	ENSCAFG00000001053.4	Nana27120-RA
OG0004377	ENSCAFG00000011976.4	Nana19973-RA
OG0004378	ENSCAFG00000009515.4	Nana19962-RA, Nana19962-RB
OG0004379	ENSCAFG00000014921.5	Nana22852-RC, Nana22852-RD
OG0004380	ENSCAFG00000006752.4	Nana27105-RA
OG0004381	ENSCAFG00000005339.4, ENSCAFG00000001734.4	Nana14337-RA
OG0004382	ENSCAFG00000009222.4	Nana19938-RA, Nana19938-RB
OG0004383	ENSCAFG00000006529.4	Nana27089-RB, Nana27089-RA
OG0004384	ENSCAFG00000045298.1	Nana22886-RA
OG0004385	ENSCAFG00000005220.5	Nana14348-RB, Nana14348-RC, Nana14348-RA
OG0004386	ENSCAFG00000010232.4	Nana19828-RA
OG0004387	ENSCAFG00000016587.4	Nana22903-RA
OG0004388	ENSCAFG00000006375.5	Nana27073-RB, Nana27073-RA
OG0004389	ENSCAFG00000016561.5	Nana22906-RA
OG0004390	ENSCAFG00000010380.6	Nana19808-RA
OG0004391	ENSCAFG00000018361.4	Nana22908-RA
OG0004392	ENSCAFG00000014136.6	Nana38825-RA, Nana22932-RA
OG0004393	ENSCAFG00000004770.4	Nana14394-RA, Nana14394-RB
OG0004394	ENSCAFG00000004517.5	Nana14396-RB, Nana14396-RA
OG0004395	ENSCAFG00000014165.4	Nana22936-RB, Nana22936-RC, Nana22936-RA
OG0004396	ENSCAFG00000010696.4	Nana19751-RB, Nana19751-RA
OG0004397	ENSCAFG00000014065.4	Nana22939-RA, Nana22939-RC, Nana22939-RB
OG0004398	ENSCAFG00000010720.5	Nana19744-RA, Nana19744-RB
OG0004399	ENSCAFG00000006027.5	Nana27029-RA
OG0004400	ENSCAFG00000013984.2	Nana22940-RA
OG0004401	ENSCAFG00000010762.4	Nana19740-RA, Nana19740-RB
OG0004402	ENSCAFG00000004672.5	Nana14412-RB, Nana14412-RA
OG0004403	ENSCAFG00000024148.3	Nana39344-RA, Nana22951-RA
OG0004404	ENSCAFG00000010785.5	Nana19737-RA
OG0004405	ENSCAFG00000044852.1, ENSCAFG00000004681.4	Nana14417-RA
OG0004406	ENSCAFG00000031051.2, ENSCAFG00000045372.1	Nana14426-RA
OG0004407	ENSCAFG00000013419.4	Nana22968-RA
OG0004408	ENSCAFG00000004331.4	Nana14432-RA
OG0004409	ENSCAFG00000015749.5	Nana22984-RA
OG0004410	ENSCAFG00000000458.4	Nana26930-RA
OG0004411	ENSCAFG00000000459.5	Nana26932-RC, Nana26932-RB, Nana26932-RA
OG0004412	ENSCAFG00000003849.4	Nana14504-RA, Nana14504-RB
OG0004413	ENSCAFG00000000481.4	Nana26947-RA
OG0004414	ENSCAFG00000014269.4	Nana23006-RA, Nana23006-RB
OG0004415	ENSCAFG00000014604.4	Nana19242-RA
OG0004416	ENSCAFG00000003759.5	Nana14509-RD, Nana14509-RB, Nana14509-RC
OG0004417	ENSCAFG00000013204.4	Nana19494-RB, Nana19494-RA
OG0004418	ENSCAFG00000008940.4	Nana17649-RA, Nana17649-RB
OG0004420	ENSCAFG00000009108.5	Nana17667-RC, Nana17667-RB, Nana17667-RA
OG0004421	ENSCAFG00000043630.1	Nana14534-RB, Nana14534-RA
OG0004422	ENSCAFG00000016283.4	Nana23055-RA, Nana23056-RA
OG0004423	ENSCAFG00000016945.3	Nana02724-RA
OG0004424	ENSCAFG00000030765.2	Nana19570-RC, Nana19570-RA, Nana19570-RB
OG0004425	ENSCAFG00000012714.4	Nana19545-RA
OG0004426	ENSCAFG00000016106.4	Nana23069-RB, Nana23069-RC, Nana23069-RA
OG0004427	ENSCAFG00000012755.4	Nana19531-RA
OG0004428	ENSCAFG00000028919.2	Nana23087-RA, Nana23086-RA
OG0004429	ENSCAFG00000009462.4	Nana14178-RC, Nana14178-RB, Nana14178-RA
OG0004431	ENSCAFG00000023804.4	Nana17727-RB, Nana17727-RA
OG0004432	ENSCAFG00000012547.4	Nana19585-RA, Nana19585-RB
OG0004433	ENSCAFG00000009840.4	Nana17729-RB, Nana17729-RC, Nana17729-RA
OG0004434	ENSCAFG00000001613.3	Nana14187-RA
OG0004435	ENSCAFG00000010071.4	Nana17763-RA, Nana17764-RA
OG0004436	ENSCAFG00000032567.2	Nana14193-RA
OG0004437	ENSCAFG00000012225.3, ENSCAFG00000002455.3	Nana19600-RB, Nana19600-RA
OG0004438	ENSCAFG00000001596.4	Nana14205-RA
OG0004439	ENSCAFG00000011806.3	Nana23128-RA
OG0004440	ENSCAFG00000000359.4	Nana26800-RA
OG0004441	ENSCAFG00000009223.4	Nana26849-RC, Nana26849-RB, Nana26849-RA
OG0004442	ENSCAFG00000000913.4	Nana29506-RA
OG0004443	ENSCAFG00000001580.3	Nana14249-RB, Nana14249-RA
OG0004444	ENSCAFG00000016678.4	Nana23177-RB, Nana23177-RA
OG0004445	ENSCAFG00000001398.4	Nana14251-RB, Nana14251-RA, Nana14251-RC
OG0004446	ENSCAFG00000001318.4, ENSCAFG00000030323.2	Nana14285-RA
OG0004447	ENSCAFG00000016878.5	Nana23222-RA
OG0004448	ENSCAFG00000016893.4	Nana23227-RA
OG0004449	ENSCAFG00000010884.4	Nana14286-RB, Nana14286-RA
OG0004450	ENSCAFG00000030611.2	Nana26480-RB, Nana26480-RA
OG0004451	ENSCAFG00000016955.4	Nana23246-RB, Nana23246-RA
OG0004452	ENSCAFG00000016977.4	Nana37861-RA, Nana23250-RA
OG0004453	ENSCAFG00000017245.4	Nana26395-RA
OG0004454	ENSCAFG00000001428.4	Nana14298-RA, Nana14298-RB
OG0004455	ENSCAFG00000015095.4	Nana18308-RA, Nana18308-RB
OG0004456	ENSCAFG00000017018.4	Nana23260-RA
OG0004457	ENSCAFG00000005595.4	Nana26279-RD, Nana26279-RA, Nana26278-RA
OG0004458	ENSCAFG00000014402.5	Nana23264-RA
OG0004459	ENSCAFG00000011971.5	Nana14038-RA
OG0004460	ENSCAFG00000005730.4	Nana26282-RD, Nana26282-RC, Nana26282-RE
OG0004461	ENSCAFG00000005799.4	Nana26283-RA
OG0004462	ENSCAFG00000003481.4	Nana29620-RA
OG0004463	ENSCAFG00000002924.5	Nana23351-RA, Nana27921-RA, Nana23350-RA, Nana23348-RA
OG0004464	ENSCAFG00000003492.4	Nana29618-RA, Nana29619-RA
OG0004465	ENSCAFG00000006008.4	Nana26273-RA, Nana26272-RA
OG0004466	ENSCAFG00000006076.4	Nana26242-RD, Nana26242-RC, Nana26242-RB
OG0004467	ENSCAFG00000006082.5	Nana26241-RC, Nana26241-RB, Nana26241-RA
OG0004468	ENSCAFG00000006095.4	Nana26236-RA, Nana26236-RB, Nana26236-RC
OG0004469	ENSCAFG00000003485.5	Nana23332-RC, Nana23332-RA, Nana23332-RB
OG0004470	ENSCAFG00000028884.2	Nana13957-RA
OG0004471	ENSCAFG00000006372.4	Nana26196-RC, Nana26196-RB, Nana26196-RA
OG0004472	ENSCAFG00000003614.4	Nana23301-RB, Nana23301-RC, Nana23301-RD, Nana23301-RA
OG0004473	ENSCAFG00000010602.4	Nana13922-RB, Nana13922-RA
OG0004474	ENSCAFG00000003597.6	Nana23295-RB, Nana23295-RC, Nana23295-RA
OG0004475	ENSCAFG00000002025.4	Nana26166-RB, Nana26166-RA
OG0004476	ENSCAFG00000010368.4	Nana13885-RB, Nana13885-RA
OG0004477	ENSCAFG00000002117.5	Nana26153-RA
OG0004478	ENSCAFG00000015154.5	Nana13880-RA, Nana13880-RB
OG0004479	ENSCAFG00000014682.5	Nana18443-RB, Nana18443-RA
OG0004480	ENSCAFG00000014730.4	Nana18445-RA
OG0004481	ENSCAFG00000014747.4	Nana18446-RC, Nana18446-RB, Nana18446-RA
OG0004482	ENSCAFG00000009908.4	Nana26048-RA, Nana26047-RA
OG0004483	ENSCAFG00000012588.4, ENSCAFG00000048078.1	Nana13859-RA
OG0004485	ENSCAFG00000008573.3	Nana13853-RB, Nana13853-RA, Nana13853-RC
OG0004486	ENSCAFG00000009743.4	Nana26043-RC, Nana26043-RA, Nana26043-RB
OG0004487	ENSCAFG00000014767.4	Nana26038-RA
OG0004488	ENSCAFG00000014811.4	Nana26035-RA, Nana26035-RB
OG0004489	ENSCAFG00000007637.5	Nana13835-RA, Nana13835-RB
OG0004490	ENSCAFG00000011053.4, ENSCAFG00000029462.2	Nana26022-RA, Nana26022-RC, Nana26022-RB
OG0004491	ENSCAFG00000011187.4	Nana26004-RA
OG0004492	ENSCAFG00000029772.2	Nana29443-RA
OG0004493	ENSCAFG00000000784.4	Nana29453-RB, Nana29453-RA
OG0004494	ENSCAFG00000000787.4	Nana29456-RA, Nana29456-RB
OG0004496	ENSCAFG00000007490.4	Nana39700-RA, Nana13794-RA
OG0004497	ENSCAFG00000030691.2	Nana29486-RB, Nana29486-RC, Nana29486-RA
OG0004498	ENSCAFG00000007578.4	Nana13782-RA
OG0004499	ENSCAFG00000000902.5	Nana29499-RA, Nana29498-RA
OG0004500	ENSCAFG00000012620.4	Nana25882-RA
OG0004501	ENSCAFG00000000909.4	Nana29505-RA
OG0004502	ENSCAFG00000000936.4	Nana29510-RB, Nana29510-RA
OG0004503	ENSCAFG00000009027.6	Nana13721-RA, Nana13719-RA
OG0004504	ENSCAFG00000013030.4	Nana25861-RA
OG0004505	ENSCAFG00000001790.5	Nana29164-RA, Nana29162-RA
OG0004506	ENSCAFG00000023441.4	Nana29191-RA, Nana29191-RB
OG0004507	ENSCAFG00000013408.4	Nana25822-RA
OG0004508	ENSCAFG00000013521.4	Nana25808-RA, Nana25809-RA
OG0004509	ENSCAFG00000029496.2	Nana13653-RA
OG0004510	ENSCAFG00000010994.5	Nana29227-RC, Nana29227-RB, Nana29227-RA
OG0004511	ENSCAFG00000013807.4	Nana32241-RA, Nana25737-RA
OG0004512	ENSCAFG00000006370.4	Nana29236-RA, Nana29237-RA
OG0004513	ENSCAFG00000013969.4	Nana24404-RA, Nana24403-RA
OG0004514	ENSCAFG00000014003.6	Nana24409-RA
OG0004515	ENSCAFG00000014056.3	Nana24412-RC
OG0004516	ENSCAFG00000014099.5	Nana24420-RB, Nana24420-RA
OG0004517	ENSCAFG00000004316.5	Nana29361-RA
OG0004518	ENSCAFG00000012295.5	Nana13513-RA
OG0004519	ENSCAFG00000030025.2	Nana29358-RA
OG0004520	ENSCAFG00000004283.4	Nana29356-RA
OG0004521	ENSCAFG00000004244.4	Nana29349-RA
OG0004522	ENSCAFG00000012509.4	Nana13485-RA
OG0004523	ENSCAFG00000014457.3	Nana24480-RA
OG0004524	ENSCAFG00000004204.4	Nana29093-RA
OG0004525	ENSCAFG00000031322.2	Nana24523-RB, Nana24523-RA
OG0004526	ENSCAFG00000025345.4	Nana29342-RA, Nana29346-RA, Nana29345-RA
OG0004527	ENSCAFG00000012676.4	Nana13471-RA
OG0004528	ENSCAFG00000012720.4	Nana13455-RA, Nana13457-RA
OG0004529	ENSCAFG00000032012.3	Nana13454-RA
OG0004530	ENSCAFG00000004024.5	Nana29321-RA
OG0004531	ENSCAFG00000004012.5	Nana29317-RA, Nana29317-RB
OG0004532	ENSCAFG00000010236.6	Nana24552-RB, Nana24552-RA
OG0004533	ENSCAFG00000012749.4	Nana13448-RA, Nana13448-RC, Nana13448-RB
OG0004534	ENSCAFG00000003992.5	Nana29311-RA
OG0004535	ENSCAFG00000012772.4	Nana13439-RA, Nana13439-RB
OG0004536	ENSCAFG00000003977.4	Nana29308-RA, Nana29305-RC, Nana29305-RD
OG0004537	ENSCAFG00000012931.4	Nana13414-RA
OG0004538	ENSCAFG00000003853.5	Nana29288-RA
OG0004539	ENSCAFG00000010067.4	Nana24385-RA, Nana24565-RA
OG0004540	ENSCAFG00000013222.6	Nana13377-RA
OG0004541	ENSCAFG00000009771.5	Nana24591-RC
OG0004542	ENSCAFG00000009975.5	Nana29279-RA, Nana29277-RA
OG0004543	ENSCAFG00000009653.5	Nana24607-RC, Nana24607-RB
OG0004544	ENSCAFG00000010466.4	Nana29517-RA
OG0004545	ENSCAFG00000028769.2, ENSCAFG00000009309.4	Nana24647-RA
OG0004547	ENSCAFG00000007891.4	Nana18270-RA
OG0004548	ENSCAFG00000007840.4, ENSCAFG00000006614.4	Nana18277-RA
OG0004549	ENSCAFG00000025084.3	Nana24664-RA
OG0004551	ENSCAFG00000008633.4	Nana24688-RB, Nana24688-RA
OG0004553	ENSCAFG00000008557.5	Nana24697-RA
OG0004554	ENSCAFG00000008418.4	Nana24706-RA
OG0004555	ENSCAFG00000002140.4	Nana18616-RA
OG0004556	ENSCAFG00000008305.4	Nana24713-RA, Nana24713-RB
OG0004557	ENSCAFG00000002189.5	Nana18621-RA, Nana18621-RB
OG0004558	ENSCAFG00000002202.5	Nana18628-RA
OG0004559	ENSCAFG00000006887.4	Nana18142-RA
OG0004560	ENSCAFG00000020389.4	Nana31169-RA
OG0004561	ENSCAFG00000006953.4	Nana18149-RB, Nana18149-RA
OG0004562	ENSCAFG00000009020.4	Nana24833-RA, Nana24831-RA
OG0004563	ENSCAFG00000007475.6	Nana18185-RB, Nana18185-RA, Nana18185-RC
OG0004564	ENSCAFG00000029034.2	Nana18186-RB, Nana18186-RA
OG0004565	ENSCAFG00000007746.4	Nana18200-RB, Nana18200-RC, Nana18200-RA
OG0004566	ENSCAFG00000007761.4	Nana18202-RB, Nana18202-RC, Nana18202-RA
OG0004567	ENSCAFG00000009887.5	Nana24866-RB, Nana24866-RA
OG0004568	ENSCAFG00000025347.3	Nana18256-RA
OG0004569	ENSCAFG00000009721.4	Nana24871-RA
OG0004570	ENSCAFG00000030173.2	Nana18260-RA
OG0004571	ENSCAFG00000009601.4	Nana24887-RA
OG0004572	ENSCAFG00000007629.4	Nana17992-RC, Nana17992-RB, Nana17992-RA
OG0004573	ENSCAFG00000007597.5	Nana17993-RA
OG0004574	ENSCAFG00000031607.2	Nana24892-RA
OG0004575	ENSCAFG00000029915.3	Nana24894-RA, Nana24894-RB, Nana24894-RC
OG0004576	ENSCAFG00000009182.4	Nana24914-RA, Nana24914-RB, Nana24914-RC
OG0004577	ENSCAFG00000003626.4	Nana18009-RA, Nana18009-RB
OG0004578	ENSCAFG00000008160.4, ENSCAFG00000003699.4	Nana18018-RA
OG0004579	ENSCAFG00000015239.4	Nana24925-RA
OG0004580	ENSCAFG00000003749.3	Nana18031-RA, Nana18032-RA, Nana18032-RB
OG0004581	ENSCAFG00000008719.4	Nana18762-RA, Nana18762-RC, Nana18762-RB
OG0004582	ENSCAFG00000032756.2	Nana18752-RA, Nana18751-RA, Nana18751-RB
OG0004583	ENSCAFG00000008473.5	Nana18672-RA
OG0004584	ENSCAFG00000025580.4	Nana25026-RB, Nana25026-RA, Nana25026-RC
OG0004585	ENSCAFG00000008351.3	Nana18646-RA
OG0004586	ENSCAFG00000006616.4	Nana25046-RA
OG0004587	ENSCAFG00000007813.4	Nana17957-RA, Nana17956-RA
OG0004588	ENSCAFG00000007738.4	Nana17984-RA, Nana17984-RB
OG0004589	ENSCAFG00000003848.5	Nana18070-RA, Nana18070-RB
OG0004590	ENSCAFG00000003875.5	Nana18072-RA
OG0004591	ENSCAFG00000003934.5	Nana18075-RA
OG0004592	ENSCAFG00000000646.1, ENSCAFG00000032070.2	Nana25153-RA
OG0004593	ENSCAFG00000004022.5	Nana18102-RA, Nana18102-RC, Nana18102-RB
OG0004594	ENSCAFG00000007120.4	Nana25137-RA
OG0004595	ENSCAFG00000014739.5	Nana25224-RA, Nana25223-RA
OG0004596	ENSCAFG00000011532.5	Nana17876-RB, Nana17876-RC, Nana17876-RA
OG0004597	ENSCAFG00000028681.2	Nana25299-RA
OG0004598	ENSCAFG00000004162.5	Nana25300-RA
OG0004599	ENSCAFG00000004211.4	Nana25306-RA
OG0004600	ENSCAFG00000008860.4	Nana17627-RC, Nana17627-RA, Nana17627-RB
OG0004601	ENSCAFG00000008678.4	Nana17606-RA
OG0004602	ENSCAFG00000008611.4	Nana17588-RB, Nana17588-RA, Nana17590-RA
OG0004603	ENSCAFG00000004486.5	Nana25380-RA, Nana25380-RB
OG0004604	ENSCAFG00000004494.4	Nana25382-RA, Nana25381-RB
OG0004605	ENSCAFG00000018405.4	Nana12361-RA
OG0004606	ENSCAFG00000006508.3, ENSCAFG00000007211.4	Nana12300-RA
OG0004607	ENSCAFG00000007150.4	Nana12311-RC, Nana12311-RA, Nana12311-RB
OG0004608	ENSCAFG00000007537.5	Nana12266-RA, Nana12265-RA
OG0004609	ENSCAFG00000007586.4	Nana12261-RC, Nana12261-RA, Nana12261-RB
OG0004610	ENSCAFG00000009384.5	Nana12213-RA, Nana12213-RC, Nana12213-RB
OG0004611	ENSCAFG00000009517.4	Nana12210-RB, Nana12210-RA
OG0004612	ENSCAFG00000008298.4	Nana12198-RC, Nana12198-RA, Nana12198-RB
OG0004613	ENSCAFG00000007982.4	Nana12160-RA, Nana12160-RB
OG0004614	ENSCAFG00000007771.4	Nana12142-RA
OG0004615	ENSCAFG00000008823.4	Nana12137-RA
OG0004616	ENSCAFG00000008703.4, ENSCAFG00000041689.1	Nana12126-RA
OG0004617	ENSCAFG00000008410.4	Nana12098-RB, Nana12098-RA, Nana12098-RC
OG0004618	ENSCAFG00000008374.5	Nana12097-RA
OG0004619	ENSCAFG00000008118.4	Nana12077-RA, Nana12077-RB
OG0004620	ENSCAFG00000041257.1, ENSCAFG00000007745.4	Nana12037-RA
OG0004621	ENSCAFG00000007672.6	Nana12025-RB, Nana12025-RA
OG0004622	ENSCAFG00000017861.4	Nana10773-RB, Nana10773-RA
OG0004623	ENSCAFG00000017800.4	Nana10775-RA, Nana10775-RB
OG0004624	ENSCAFG00000016626.3	Nana10795-RA, Nana10795-RB
OG0004625	ENSCAFG00000001570.5	Nana11685-RA
OG0004626	ENSCAFG00000001769.5	Nana11654-RA, Nana11655-RA
OG0004627	ENSCAFG00000001880.5	Nana11634-RB, Nana11634-RA
OG0004628	ENSCAFG00000001890.4	Nana11633-RA, Nana11633-RB
OG0004629	ENSCAFG00000002102.4	Nana11579-RB, Nana11579-RC, Nana11579-RA
