Orthogroup	C_familiaris.pep	P_troglodytes.pep
OG0006214	ENSCAFG00000011680.4	ENSPTRG00000015660.6
OG0006215	ENSCAFG00000001870.4	ENSPTRG00000019382.6, ENSPTRG00000047406.1
OG0006216	ENSCAFG00000015966.5	ENSPTRG00000002702.7
OG0006217	ENSCAFG00000001874.4	ENSPTRG00000019383.7, ENSPTRG00000049983.1
OG0006218	ENSCAFG00000006456.6	ENSPTRG00000017373.5
OG0006219	ENSCAFG00000017390.4	ENSPTRG00000009432.6
OG0006220	ENSCAFG00000029752.2	ENSPTRG00000049422.1, ENSPTRG00000017234.4
OG0006221	ENSCAFG00000032714.2	ENSPTRG00000030046.3
OG0006222	ENSCAFG00000001884.1	ENSPTRG00000044080.1, ENSPTRG00000048293.1
OG0006223	ENSCAFG00000029919.2	ENSPTRG00000021584.2
OG0006224	ENSCAFG00000001306.5	ENSPTRG00000019715.3
OG0006225	ENSCAFG00000017404.5	ENSPTRG00000009434.7
OG0006227	ENSCAFG00000011003.5	ENSPTRG00000012784.5
OG0006228	ENSCAFG00000018507.4	ENSPTRG00000044798.1, ENSPTRG00000008977.7
OG0006229	ENSCAFG00000014843.5	ENSPTRG00000006355.6
OG0006230	ENSCAFG00000017727.4	ENSPTRG00000007256.6
OG0006231	ENSCAFG00000018481.5	ENSPTRG00000008964.3
OG0006232	ENSCAFG00000006477.4, ENSCAFG00000014370.4	ENSPTRG00000045279.1
OG0006233	ENSCAFG00000005221.4	ENSPTRG00000002260.6
OG0006234	ENSCAFG00000009455.4	ENSPTRG00000020056.5
OG0006235	ENSCAFG00000009425.5	ENSPTRG00000020058.6
OG0006236	ENSCAFG00000012163.4	ENSPTRG00000013678.3
OG0006237	ENSCAFG00000013146.6	ENSPTRG00000019271.6
OG0006238	ENSCAFG00000017014.4	ENSPTRG00000007975.5, ENSPTRG00000043191.1
OG0006239	ENSCAFG00000020013.4	ENSPTRG00000021445.6, ENSPTRG00000050851.1
OG0006240	ENSCAFG00000013588.4	ENSPTRG00000014862.4
OG0006241	ENSCAFG00000008627.4	ENSPTRG00000005462.5
OG0006242	ENSCAFG00000006708.4	ENSPTRG00000020240.5
OG0006243	ENSCAFG00000032626.2	ENSPTRG00000045817.1, ENSPTRG00000000138.4
OG0006244	ENSCAFG00000030614.2	ENSPTRG00000049637.1, ENSPTRG00000019395.5
OG0006245	ENSCAFG00000042909.1, ENSCAFG00000009371.4	ENSPTRG00000020061.5
OG0006246	ENSCAFG00000014748.4	ENSPTRG00000019472.6
OG0006247	ENSCAFG00000017737.5	ENSPTRG00000009493.4
OG0006248	ENSCAFG00000009329.3	ENSPTRG00000020062.6
OG0006249	ENSCAFG00000004859.4	ENSPTRG00000002288.5
OG0006250	ENSCAFG00000016648.5	ENSPTRG00000000142.4
OG0006251	ENSCAFG00000004856.4	ENSPTRG00000002289.6
OG0006252	ENSCAFG00000032759.2	ENSPTRG00000007972.2
OG0006253	ENSCAFG00000018257.4	ENSPTRG00000006754.6
OG0006254	ENSCAFG00000001977.5	ENSPTRG00000052557.1, ENSPTRG00000019396.6
OG0006255	ENSCAFG00000019534.5	ENSPTRG00000046081.1
OG0006256	ENSCAFG00000014674.4	ENSPTRG00000019473.6
OG0006257	ENSCAFG00000016964.4	ENSPTRG00000007968.6
OG0006258	ENSCAFG00000016599.4	ENSPTRG00000000144.5
OG0006259	ENSCAFG00000016302.5	ENSPTRG00000003736.6
OG0006260	ENSCAFG00000012075.4	ENSPTRG00000001263.7, ENSPTRG00000046439.1
OG0006261	ENSCAFG00000016970.4	ENSPTRG00000007971.6
OG0006262	ENSCAFG00000030530.2	ENSPTRG00000001262.5
OG0006263	ENSCAFG00000013405.4	ENSPTRG00000048656.1, ENSPTRG00000019312.6
OG0006264	ENSCAFG00000008770.4	ENSPTRG00000005467.6
OG0006265	ENSCAFG00000030033.2	ENSPTRG00000005468.5, ENSPTRG00000052453.1
OG0006266	ENSCAFG00000019891.5	ENSPTRG00000001036.7
OG0006267	ENSCAFG00000016579.4	ENSPTRG00000049411.1
OG0006268	ENSCAFG00000018868.5	ENSPTRG00000023928.5
OG0006269	ENSCAFG00000008792.3	ENSPTRG00000005469.4
OG0006270	ENSCAFG00000017327.5	ENSPTRG00000022060.5
OG0006271	ENSCAFG00000017466.4	ENSPTRG00000007910.4
OG0006272	ENSCAFG00000019929.4	ENSPTRG00000001033.4
OG0006273	ENSCAFG00000014126.5	ENSPTRG00000042690.1
OG0006274	ENSCAFG00000019933.5	ENSPTRG00000001031.7
OG0006275	ENSCAFG00000017089.4	ENSPTRG00000007984.5
OG0006276	ENSCAFG00000013781.4	ENSPTRG00000046924.1, ENSPTRG00000050773.1
OG0006277	ENSCAFG00000019935.4	ENSPTRG00000001030.5
OG0006278	ENSCAFG00000008830.4	ENSPTRG00000005470.6
OG0006279	ENSCAFG00000015560.5	ENSPTRG00000041297.2
OG0006280	ENSCAFG00000014005.5	ENSPTRG00000001724.5
OG0006281	ENSCAFG00000029357.2	ENSPTRG00000015632.5
OG0006282	ENSCAFG00000011571.4	ENSPTRG00000004770.6
OG0006283	ENSCAFG00000018002.5	ENSPTRG00000023330.5
OG0006284	ENSCAFG00000018049.5	ENSPTRG00000006740.6
OG0006285	ENSCAFG00000000069.4	ENSPTRG00000005064.7
OG0006286	ENSCAFG00000018043.5	ENSPTRG00000006738.6
OG0006287	ENSCAFG00000015055.5	ENSPTRG00000019452.5
OG0006288	ENSCAFG00000002069.4	ENSPTRG00000019409.6
OG0006289	ENSCAFG00000030542.1	ENSPTRG00000046089.1, ENSPTRG00000003751.3
OG0006290	ENSCAFG00000018965.5	ENSPTRG00000008955.5
OG0006291	ENSCAFG00000015157.4	ENSPTRG00000015624.6
OG0006292	ENSCAFG00000014905.4	ENSPTRG00000001680.5
OG0006293	ENSCAFG00000000080.4	ENSPTRG00000005069.5
OG0006294	ENSCAFG00000018046.4	ENSPTRG00000009949.4
OG0006295	ENSCAFG00000002551.4	ENSPTRG00000011523.5
OG0006296	ENSCAFG00000014833.5	ENSPTRG00000014053.7
OG0006297	ENSCAFG00000025083.3	ENSPTRG00000041542.2
OG0006298	ENSCAFG00000002531.4	ENSPTRG00000011524.6
OG0006299	ENSCAFG00000018976.5	ENSPTRG00000008957.5
OG0006300	ENSCAFG00000014955.4	ENSPTRG00000049926.1
OG0006301	ENSCAFG00000002594.5	ENSPTRG00000011498.6
OG0006302	ENSCAFG00000015126.5	ENSPTRG00000001665.5
OG0006303	ENSCAFG00000014804.4	ENSPTRG00000014055.7
OG0006304	ENSCAFG00000012503.4	ENSPTRG00000044695.1, ENSPTRG00000019281.5
OG0006305	ENSCAFG00000015008.4	ENSPTRG00000001667.4
OG0006306	ENSCAFG00000015201.4	ENSPTRG00000014093.5
OG0006307	ENSCAFG00000014786.5	ENSPTRG00000015614.6
OG0006308	ENSCAFG00000005454.4	ENSPTRG00000013279.6
OG0006310	ENSCAFG00000014720.4	ENSPTRG00000015606.5
OG0006311	ENSCAFG00000014700.5	ENSPTRG00000015605.6
OG0006312	ENSCAFG00000002207.5	ENSPTRG00000019428.4
OG0006313	ENSCAFG00000012441.4	ENSPTRG00000004747.6
OG0006314	ENSCAFG00000015309.4	ENSPTRG00000014117.4
OG0006315	ENSCAFG00000014569.4	ENSPTRG00000015598.5
OG0006316	ENSCAFG00000014555.4	ENSPTRG00000015597.4
OG0006317	ENSCAFG00000010484.4	ENSPTRG00000044427.1, ENSPTRG00000004820.5
OG0006318	ENSCAFG00000014473.4	ENSPTRG00000015593.3
OG0006319	ENSCAFG00000025301.3	ENSPTRG00000018932.5, ENSPTRG00000049766.1
OG0006320	ENSCAFG00000014614.4	ENSPTRG00000014061.3
OG0006321	ENSCAFG00000014611.4	ENSPTRG00000051117.1
OG0006322	ENSCAFG00000014596.5	ENSPTRG00000043162.1
OG0006323	ENSCAFG00000014352.5	ENSPTRG00000015586.4
OG0006324	ENSCAFG00000002588.4	ENSPTRG00000011502.3
OG0006325	ENSCAFG00000032370.2	ENSPTRG00000028653.4, ENSPTRG00000045641.1
OG0006326	ENSCAFG00000002428.4	ENSPTRG00000050898.1, ENSPTRG00000018950.4
OG0006327	ENSCAFG00000015707.4	ENSPTRG00000052015.1, ENSPTRG00000004804.7
OG0006329	ENSCAFG00000008904.5	ENSPTRG00000023041.5
OG0006330	ENSCAFG00000008893.4	ENSPTRG00000022665.5
OG0006331	ENSCAFG00000002515.4	ENSPTRG00000051620.1, ENSPTRG00000018964.5
OG0006332	ENSCAFG00000002519.4	ENSPTRG00000052863.1, ENSPTRG00000018965.4
OG0006333	ENSCAFG00000005869.6	ENSPTRG00000049455.1, ENSPTRG00000046901.1
OG0006334	ENSCAFG00000015831.4	ENSPTRG00000047055.1, ENSPTRG00000004514.6
OG0006335	ENSCAFG00000008765.4	ENSPTRG00000015554.5
OG0006336	ENSCAFG00000015874.4	ENSPTRG00000004515.6
OG0006337	ENSCAFG00000005861.4, ENSCAFG00000047653.1	ENSPTRG00000017321.4
OG0006338	ENSCAFG00000002671.4	ENSPTRG00000018970.3
OG0006339	ENSCAFG00000015985.4	ENSPTRG00000004523.5
OG0006340	ENSCAFG00000002733.4	ENSPTRG00000050502.1, ENSPTRG00000018979.5
OG0006341	ENSCAFG00000031816.2	ENSPTRG00000049189.1, ENSPTRG00000018980.5
OG0006342	ENSCAFG00000005786.5	ENSPTRG00000047729.1
OG0006343	ENSCAFG00000002742.4	ENSPTRG00000018981.4
OG0006344	ENSCAFG00000005749.4	ENSPTRG00000017311.5
OG0006345	ENSCAFG00000029076.2	ENSPTRG00000018989.3, ENSPTRG00000045270.1
OG0006346	ENSCAFG00000002784.5	ENSPTRG00000018990.4, ENSPTRG00000048634.1
OG0006347	ENSCAFG00000002795.4	ENSPTRG00000047172.1, ENSPTRG00000018991.6
OG0006348	ENSCAFG00000008429.5	ENSPTRG00000039581.2
OG0006349	ENSCAFG00000014453.4	ENSPTRG00000015897.6
OG0006350	ENSCAFG00000041807.1, ENSCAFG00000008407.4	ENSPTRG00000015528.6
OG0006351	ENSCAFG00000008387.6	ENSPTRG00000015526.6
OG0006352	ENSCAFG00000008370.4	ENSPTRG00000052129.1, ENSPTRG00000015521.5
OG0006353	ENSCAFG00000028659.2	ENSPTRG00000013291.6
OG0006354	ENSCAFG00000005363.5	ENSPTRG00000013298.6
OG0006355	ENSCAFG00000008348.4	ENSPTRG00000015517.5
OG0006356	ENSCAFG00000005270.4	ENSPTRG00000013301.6
OG0006357	ENSCAFG00000005849.5	ENSPTRG00000014676.6
OG0006358	ENSCAFG00000005862.4	ENSPTRG00000014675.6
OG0006359	ENSCAFG00000005867.5	ENSPTRG00000014674.7
OG0006360	ENSCAFG00000008205.4	ENSPTRG00000015503.6
OG0006361	ENSCAFG00000008194.4	ENSPTRG00000015500.7
OG0006362	ENSCAFG00000009888.3, ENSCAFG00000016168.4	ENSPTRG00000014041.6
OG0006363	ENSCAFG00000005185.5	ENSPTRG00000013308.4
OG0006364	ENSCAFG00000005173.4	ENSPTRG00000013310.2
OG0006365	ENSCAFG00000007973.4	ENSPTRG00000015489.7
OG0006366	ENSCAFG00000005949.5	ENSPTRG00000014667.6
OG0006367	ENSCAFG00000010084.5	ENSPTRG00000044444.1, ENSPTRG00000016725.4
OG0006368	ENSCAFG00000010089.4	ENSPTRG00000016724.4
OG0006369	ENSCAFG00000007935.5	ENSPTRG00000015485.6
OG0006370	ENSCAFG00000003056.5	ENSPTRG00000045032.1, ENSPTRG00000019036.6
OG0006371	ENSCAFG00000007783.5	ENSPTRG00000015482.6
OG0006372	ENSCAFG00000003067.4	ENSPTRG00000041737.2
OG0006373	ENSCAFG00000007702.4	ENSPTRG00000052431.1
OG0006374	ENSCAFG00000010323.4	ENSPTRG00000016716.4, ENSPTRG00000044472.1
OG0006375	ENSCAFG00000004236.4	ENSPTRG00000045778.1, ENSPTRG00000019746.6
OG0006376	ENSCAFG00000004319.4	ENSPTRG00000019743.6, ENSPTRG00000045077.1
OG0006377	ENSCAFG00000029647.2, ENSCAFG00000032319.2	ENSPTRG00000019740.5
OG0006378	ENSCAFG00000010548.5	ENSPTRG00000013004.6
OG0006379	ENSCAFG00000010465.5	ENSPTRG00000012995.6
OG0006380	ENSCAFG00000006103.5	ENSPTRG00000015392.6
OG0006381	ENSCAFG00000006125.4	ENSPTRG00000045519.1, ENSPTRG00000015396.4
OG0006382	ENSCAFG00000003890.4	ENSPTRG00000044303.1, ENSPTRG00000019776.6
OG0006383	ENSCAFG00000003889.4	ENSPTRG00000028383.4
OG0006385	ENSCAFG00000004115.4	ENSPTRG00000019747.6
OG0006386	ENSCAFG00000006362.4	ENSPTRG00000040799.2
OG0006387	ENSCAFG00000007012.4	ENSPTRG00000047307.1, ENSPTRG00000005351.6, ENSPTRG00000047371.1
OG0006388	ENSCAFG00000020007.4	ENSPTRG00000001007.6
OG0006389	ENSCAFG00000020022.4	ENSPTRG00000001000.5
OG0006390	ENSCAFG00000016228.4	ENSPTRG00000012982.5
OG0006392	ENSCAFG00000016186.3	ENSPTRG00000012978.5
OG0006393	ENSCAFG00000003122.4	ENSPTRG00000044307.1, ENSPTRG00000019050.4
OG0006394	ENSCAFG00000020147.4	ENSPTRG00000000965.7
OG0006395	ENSCAFG00000003143.5	ENSPTRG00000051385.1, ENSPTRG00000019058.6
OG0006396	ENSCAFG00000007442.4	ENSPTRG00000042053.2, ENSPTRG00000052766.1
OG0006397	ENSCAFG00000016615.5	ENSPTRG00000010563.6
OG0006398	ENSCAFG00000007610.4, ENSCAFG00000012196.4	ENSPTRG00000015458.4
OG0006399	ENSCAFG00000007579.4	ENSPTRG00000015452.3
OG0006400	ENSCAFG00000001929.4	ENSPTRG00000005380.3
OG0006401	ENSCAFG00000003644.3	ENSPTRG00000019094.6, ENSPTRG00000044198.1
OG0006402	ENSCAFG00000001894.5	ENSPTRG00000005383.6
OG0006403	ENSCAFG00000020112.5	ENSPTRG00000000976.6
OG0006404	ENSCAFG00000001879.6	ENSPTRG00000005386.6
OG0006405	ENSCAFG00000001873.4	ENSPTRG00000005388.6
OG0006406	ENSCAFG00000011591.4	ENSPTRG00000021657.5
OG0006407	ENSCAFG00000003569.4	ENSPTRG00000019106.4, ENSPTRG00000042980.1
OG0006408	ENSCAFG00000029250.3	ENSPTRG00000019112.6
OG0006409	ENSCAFG00000012816.5	ENSPTRG00000013115.7
OG0006410	ENSCAFG00000031550.2	ENSPTRG00000019113.3
OG0006411	ENSCAFG00000003556.4	ENSPTRG00000019114.6
OG0006412	ENSCAFG00000012846.4	ENSPTRG00000013117.6
OG0006413	ENSCAFG00000001800.4	ENSPTRG00000005394.4
OG0006414	ENSCAFG00000013617.4	ENSPTRG00000012865.5, ENSPTRG00000050048.1
OG0006415	ENSCAFG00000028612.2, ENSCAFG00000012867.4	ENSPTRG00000013118.6
OG0006416	ENSCAFG00000001767.4	ENSPTRG00000005399.5
OG0006417	ENSCAFG00000020080.5	ENSPTRG00000000987.7
OG0006418	ENSCAFG00000020058.4	ENSPTRG00000000992.6
OG0006419	ENSCAFG00000020053.4	ENSPTRG00000000995.5
OG0006420	ENSCAFG00000029189.2	ENSPTRG00000046424.1, ENSPTRG00000014292.6
OG0006421	ENSCAFG00000020052.4	ENSPTRG00000000996.5
OG0006422	ENSCAFG00000001735.4	ENSPTRG00000014295.6
OG0006423	ENSCAFG00000020040.5	ENSPTRG00000000997.7
OG0006424	ENSCAFG00000001732.6	ENSPTRG00000014296.5
OG0006425	ENSCAFG00000003459.4, ENSCAFG00000002706.4	ENSPTRG00000019195.6
OG0006426	ENSCAFG00000003479.4	ENSPTRG00000048103.1
OG0006427	ENSCAFG00000013032.4	ENSPTRG00000013125.6
OG0006428	ENSCAFG00000020150.4	ENSPTRG00000000963.6, ENSPTRG00000044022.1
OG0006429	ENSCAFG00000013054.4	ENSPTRG00000013128.6
OG0006430	ENSCAFG00000001352.4, ENSCAFG00000020158.4	ENSPTRG00000000960.4
OG0006431	ENSCAFG00000003403.4	ENSPTRG00000048696.1, ENSPTRG00000019838.4
OG0006432	ENSCAFG00000011921.4	ENSPTRG00000051429.1, ENSPTRG00000021684.7
OG0006433	ENSCAFG00000012301.4	ENSPTRG00000019170.6
OG0006434	ENSCAFG00000020182.4	ENSPTRG00000043247.1
OG0006435	ENSCAFG00000003358.3	ENSPTRG00000019185.5
OG0006436	ENSCAFG00000024650.3	ENSPTRG00000022980.5
OG0006437	ENSCAFG00000006695.4	ENSPTRG00000015418.5
OG0006438	ENSCAFG00000001553.4	ENSPTRG00000044105.1
OG0006439	ENSCAFG00000003438.4	ENSPTRG00000019192.6
OG0006440	ENSCAFG00000006754.5	ENSPTRG00000015424.6
OG0006441	ENSCAFG00000001544.4	ENSPTRG00000014313.6
OG0006442	ENSCAFG00000020233.4	ENSPTRG00000000929.5
OG0006444	ENSCAFG00000032470.2	ENSPTRG00000000927.7
OG0006445	ENSCAFG00000013533.5	ENSPTRG00000015712.5
OG0006446	ENSCAFG00000001522.4	ENSPTRG00000047843.1
OG0006447	ENSCAFG00000002552.5	ENSPTRG00000021189.6
OG0006448	ENSCAFG00000001512.5	ENSPTRG00000014327.5
OG0006449	ENSCAFG00000002528.5	ENSPTRG00000021182.5
OG0006450	ENSCAFG00000001501.4	ENSPTRG00000014337.6
OG0006451	ENSCAFG00000010838.3	ENSPTRG00000016689.6, ENSPTRG00000049196.1
OG0006452	ENSCAFG00000001496.4	ENSPTRG00000046860.1
OG0006453	ENSCAFG00000020256.5	ENSPTRG00000000919.6
OG0006454	ENSCAFG00000018600.5	ENSPTRG00000034314.3
OG0006455	ENSCAFG00000001391.5	ENSPTRG00000014370.4
OG0006457	ENSCAFG00000013236.2	ENSPTRG00000015701.6
OG0006458	ENSCAFG00000018617.4	ENSPTRG00000000824.6
OG0006459	ENSCAFG00000001370.3	ENSPTRG00000014379.5
OG0006460	ENSCAFG00000002837.6	ENSPTRG00000021237.7
OG0006461	ENSCAFG00000001332.5	ENSPTRG00000014395.6
OG0006462	ENSCAFG00000018706.4	ENSPTRG00000000815.6
OG0006463	ENSCAFG00000029548.2, ENSCAFG00000048001.1	ENSPTRG00000009973.6
OG0006464	ENSCAFG00000030521.2	ENSPTRG00000014399.3
OG0006465	ENSCAFG00000001296.4	ENSPTRG00000014404.5
OG0006466	ENSCAFG00000029684.2, ENSCAFG00000012744.4	ENSPTRG00000013113.6
OG0006467	ENSCAFG00000002871.5	ENSPTRG00000016117.5
OG0006468	ENSCAFG00000023117.3	ENSPTRG00000000802.7
OG0006469	ENSCAFG00000032084.2	ENSPTRG00000020207.4
OG0006470	ENSCAFG00000030110.2	ENSPTRG00000020216.5
OG0006471	ENSCAFG00000012370.5	ENSPTRG00000013082.6
OG0006472	ENSCAFG00000001125.6	ENSPTRG00000014418.5
OG0006473	ENSCAFG00000011484.6	ENSPTRG00000028976.4
OG0006474	ENSCAFG00000007437.4	ENSPTRG00000012168.4
OG0006475	ENSCAFG00000001095.6	ENSPTRG00000014425.5
OG0006476	ENSCAFG00000011811.4	ENSPTRG00000013052.7
OG0006477	ENSCAFG00000001046.4	ENSPTRG00000014433.4, ENSPTRG00000043420.1
OG0006478	ENSCAFG00000019002.3	ENSPTRG00000046533.1, ENSPTRG00000041368.2
OG0006480	ENSCAFG00000019035.4	ENSPTRG00000000769.7
OG0006481	ENSCAFG00000019055.3	ENSPTRG00000034216.2
OG0006482	ENSCAFG00000019064.5	ENSPTRG00000000764.5
OG0006483	ENSCAFG00000019831.5	ENSPTRG00000044168.1
OG0006484	ENSCAFG00000019829.5	ENSPTRG00000001051.6
OG0006485	ENSCAFG00000012926.4	ENSPTRG00000004724.2, ENSPTRG00000049647.1
OG0006486	ENSCAFG00000019826.4	ENSPTRG00000001054.5
OG0006487	ENSCAFG00000012963.4	ENSPTRG00000004727.5
OG0006488	ENSCAFG00000012961.4	ENSPTRG00000009515.4
OG0006489	ENSCAFG00000004206.3	ENSPTRG00000012458.4
OG0006490	ENSCAFG00000003223.5	ENSPTRG00000019727.7
OG0006491	ENSCAFG00000011923.5	ENSPTRG00000015670.6
OG0006492	ENSCAFG00000008339.5	ENSPTRG00000002785.4
OG0006493	ENSCAFG00000006992.4	ENSPTRG00000005350.6
OG0006494	ENSCAFG00000006964.4	ENSPTRG00000005349.7
OG0006495	ENSCAFG00000008433.5	ENSPTRG00000044976.1
OG0006496	ENSCAFG00000009524.5	ENSPTRG00000002836.6
OG0006497	ENSCAFG00000014931.3	ENSPTRG00000009209.6
OG0006498	ENSCAFG00000019788.4	ENSPTRG00000023772.4
OG0006499	ENSCAFG00000009367.5	ENSPTRG00000043046.1, ENSPTRG00000002825.7
OG0006500	ENSCAFG00000006719.4	ENSPTRG00000005341.6
OG0006501	ENSCAFG00000009350.3	ENSPTRG00000002824.5
OG0006502	ENSCAFG00000014799.4	ENSPTRG00000009219.3
OG0006503	ENSCAFG00000017105.4	ENSPTRG00000007166.3
OG0006504	ENSCAFG00000005336.4	ENSPTRG00000000625.3
OG0006505	ENSCAFG00000005288.4	ENSPTRG00000000631.6
OG0006507	ENSCAFG00000005259.4	ENSPTRG00000021078.4, ENSPTRG00000000634.6
OG0006508	ENSCAFG00000005245.3	ENSPTRG00000000635.5
OG0006509	ENSCAFG00000009725.4	ENSPTRG00000002855.5
OG0006510	ENSCAFG00000006454.4	ENSPTRG00000005322.3
OG0006511	ENSCAFG00000010201.4	ENSPTRG00000002893.5
OG0006512	ENSCAFG00000006440.4	ENSPTRG00000005321.5
OG0006513	ENSCAFG00000005177.4	ENSPTRG00000000640.7
OG0006514	ENSCAFG00000014592.5	ENSPTRG00000009241.7
OG0006515	ENSCAFG00000010264.5	ENSPTRG00000049387.1
OG0006516	ENSCAFG00000010279.4	ENSPTRG00000002900.6
OG0006519	ENSCAFG00000006273.5	ENSPTRG00000005309.6
OG0006521	ENSCAFG00000010454.4	ENSPTRG00000002914.5
OG0006522	ENSCAFG00000010455.3	ENSPTRG00000002915.4
OG0006523	ENSCAFG00000006232.4	ENSPTRG00000005306.5
OG0006524	ENSCAFG00000010473.5	ENSPTRG00000047766.1
OG0006525	ENSCAFG00000006227.5	ENSPTRG00000005304.5
OG0006526	ENSCAFG00000004875.4	ENSPTRG00000000646.3
OG0006527	ENSCAFG00000006222.4	ENSPTRG00000005302.6
OG0006528	ENSCAFG00000031691.2	ENSPTRG00000005300.4
OG0006529	ENSCAFG00000004854.4	ENSPTRG00000000648.5
OG0006530	ENSCAFG00000031542.2	ENSPTRG00000002922.6
OG0006531	ENSCAFG00000014125.4	ENSPTRG00000009281.6
OG0006533	ENSCAFG00000006134.4	ENSPTRG00000005288.4
OG0006534	ENSCAFG00000014145.4	ENSPTRG00000009277.7
OG0006535	ENSCAFG00000006091.4	ENSPTRG00000005281.7
OG0006536	ENSCAFG00000006060.4	ENSPTRG00000005280.5
OG0006537	ENSCAFG00000010706.5	ENSPTRG00000044935.1
OG0006538	ENSCAFG00000004612.4	ENSPTRG00000024019.6
OG0006540	ENSCAFG00000005976.4	ENSPTRG00000005274.5
OG0006541	ENSCAFG00000028967.2	ENSPTRG00000005271.6
OG0006542	ENSCAFG00000023758.4	ENSPTRG00000005266.5, ENSPTRG00000048467.1
OG0006543	ENSCAFG00000018370.4	ENSPTRG00000008991.6
OG0006544	ENSCAFG00000004745.4	ENSPTRG00000000659.5
OG0006545	ENSCAFG00000014339.3	ENSPTRG00000023469.3
OG0006546	ENSCAFG00000047541.1	ENSPTRG00000005257.5
OG0006547	ENSCAFG00000004390.5	ENSPTRG00000000683.6
OG0006549	ENSCAFG00000014388.4	ENSPTRG00000023687.5
OG0006550	ENSCAFG00000013735.5	ENSPTRG00000009329.6
OG0006551	ENSCAFG00000004294.5	ENSPTRG00000000687.7
OG0006552	ENSCAFG00000004272.4	ENSPTRG00000000689.5
OG0006553	ENSCAFG00000000446.5	ENSPTRG00000005219.6
OG0006554	ENSCAFG00000004260.4	ENSPTRG00000052062.1, ENSPTRG00000041786.2, ENSPTRG00000000691.5
OG0006555	ENSCAFG00000004259.5	ENSPTRG00000000692.5
OG0006556	ENSCAFG00000004231.5	ENSPTRG00000024252.4
OG0006557	ENSCAFG00000024665.3, ENSCAFG00000003903.5	ENSPTRG00000000725.6
OG0006558	ENSCAFG00000015818.5	ENSPTRG00000023148.5
OG0006559	ENSCAFG00000003871.4	ENSPTRG00000000729.7
OG0006560	ENSCAFG00000014038.4	ENSPTRG00000002586.6
OG0006561	ENSCAFG00000000473.4	ENSPTRG00000005230.6
OG0006562	ENSCAFG00000015885.4	ENSPTRG00000009180.6
OG0006563	ENSCAFG00000005665.4	ENSPTRG00000005238.5
OG0006564	ENSCAFG00000014441.4	ENSPTRG00000002613.7
OG0006565	ENSCAFG00000014489.5	ENSPTRG00000002615.6
OG0006566	ENSCAFG00000014228.5	ENSPTRG00000009270.6
OG0006567	ENSCAFG00000014518.5	ENSPTRG00000022948.5
OG0006568	ENSCAFG00000031548.2	ENSPTRG00000002618.3
OG0006569	ENSCAFG00000014197.4	ENSPTRG00000009271.5
OG0006570	ENSCAFG00000013001.5	ENSPTRG00000003047.6
OG0006571	ENSCAFG00000005712.5	ENSPTRG00000005243.6
OG0006572	ENSCAFG00000016510.4	ENSPTRG00000009085.7
OG0006573	ENSCAFG00000003734.6	ENSPTRG00000000740.7
OG0006574	ENSCAFG00000013263.4	ENSPTRG00000003057.6
OG0006575	ENSCAFG00000008979.4	ENSPTRG00000052717.1
OG0006576	ENSCAFG00000013280.4	ENSPTRG00000051344.1, ENSPTRG00000003060.6
OG0006577	ENSCAFG00000016441.5	ENSPTRG00000009091.6
OG0006578	ENSCAFG00000016407.4	ENSPTRG00000043080.1
OG0006579	ENSCAFG00000024645.3	ENSPTRG00000003067.3
OG0006580	ENSCAFG00000019174.4	ENSPTRG00000000751.5
OG0006581	ENSCAFG00000016359.4	ENSPTRG00000009099.6
OG0006582	ENSCAFG00000009119.5	ENSPTRG00000049208.1, ENSPTRG00000023645.5
OG0006584	ENSCAFG00000043229.1	ENSPTRG00000016233.4, ENSPTRG00000047058.1
OG0006586	ENSCAFG00000011107.4	ENSPTRG00000003074.5
OG0006587	ENSCAFG00000011123.4	ENSPTRG00000003075.6
OG0006588	ENSCAFG00000042754.1	ENSPTRG00000029653.4
OG0006589	ENSCAFG00000009320.4	ENSPTRG00000016243.6
OG0006590	ENSCAFG00000012609.4	ENSPTRG00000003015.7
OG0006591	ENSCAFG00000016146.4	ENSPTRG00000009114.6
OG0006592	ENSCAFG00000012700.4	ENSPTRG00000044868.1
OG0006593	ENSCAFG00000009651.3	ENSPTRG00000001887.5
OG0006594	ENSCAFG00000049108.1, ENSCAFG00000013727.1	ENSPTRG00000043604.1
OG0006595	ENSCAFG00000009595.4	ENSPTRG00000016267.5
OG0006596	ENSCAFG00000012986.5	ENSPTRG00000003046.7
OG0006597	ENSCAFG00000010274.4	ENSPTRG00000001092.4, ENSPTRG00000001869.5
OG0006598	ENSCAFG00000012494.5	ENSPTRG00000003008.7
OG0006599	ENSCAFG00000019743.4, ENSCAFG00000032137.2	ENSPTRG00000001095.6
OG0006600	ENSCAFG00000010026.5	ENSPTRG00000023126.5
OG0006601	ENSCAFG00000001609.5	ENSPTRG00000018161.5, ENSPTRG00000043479.1
OG0006602	ENSCAFG00000012327.4	ENSPTRG00000003004.5
OG0006603	ENSCAFG00000001599.5	ENSPTRG00000018157.7, ENSPTRG00000044465.1
OG0006604	ENSCAFG00000012199.4	ENSPTRG00000002998.4
OG0006605	ENSCAFG00000012171.4	ENSPTRG00000002996.6
OG0006606	ENSCAFG00000000361.5	ENSPTRG00000005177.6
OG0006607	ENSCAFG00000001586.4	ENSPTRG00000018149.6
OG0006608	ENSCAFG00000015017.5	ENSPTRG00000009202.6
