P_Mucros.pep,P_bivittatus_protein
XP_015673229.1,XP_007437581.1
XP_015678618.1,XP_007433363.1
XP_029140751.1,XP_025030812.1
XP_015684145.1,XP_025021802.1
XP_015669842.1,XP_007433609.2
XP_015672805.1,XP_007432244.1
XP_015674510.1,XP_025029560.1
XP_015687084.1,XP_007420342.1
XP_029143071.1,XP_007420343.2
XP_015673730.1,XP_007420006.1
XP_015667238.1,XP_007431658.1
XP_015667237.1,XP_007431657.1
XP_015679347.1,XP_007438500.1
XP_029140112.1,XP_007427575.2
XP_015679996.1,XP_007440510.1
XP_015677065.1,XP_007423226.1
XP_015679721.1,XP_007431504.1
XP_015681511.1,XP_025032027.1
XP_015679483.1,XP_025028973.1
XP_015680113.1,XP_007427649.1
XP_015687515.1,XP_007421071.1
XP_015669654.2,XP_025027088.1
XP_015679053.1,XP_025023543.1
XP_015673654.1,XP_007441617.2
XP_015678164.1,XP_015745816.2
XP_015678165.1,XP_025032519.1
XP_015669072.2,XP_025030955.1
XP_015677109.1,XP_025031336.1
XP_015669090.1,XP_007425752.1
XP_015669923.1,XP_007423276.1
XP_015687004.1,XP_007432048.2
XP_015687005.1,XP_007432049.1
XP_015666850.1,XP_007434386.1
XP_015675261.1,XP_007421100.1
XP_015675262.1,XP_007421101.1
XP_015668119.1,XP_007424684.1
XP_015670247.1,XP_007429906.1
XP_015687780.1,XP_025020298.1
XP_015668274.1,XP_007430307.1
XP_015670111.1,XP_007423503.1
XP_015676264.1,XP_007442929.2
XP_015687791.1,XP_025022588.1
XP_015666393.1,XP_007431311.1
XP_029143204.1,XP_007438528.3
XP_015687797.1,XP_007424269.1
XP_029143208.1,XP_007437172.1
XP_029138958.1,XP_025032890.1
XP_015669705.1,XP_007420842.1
XP_015687845.1,XP_007420765.1
XP_029143193.1,XP_007420748.1
XP_015687645.1,XP_025020508.1
XP_015675432.1,XP_007437211.1
XP_015678648.1,XP_007426460.1
XP_029142545.1,XP_007426695.1
XP_015666562.1,XP_007438933.1
XP_015676577.1,XP_007426692.1
XP_015675911.1,XP_007440317.1
XP_015667980.2,XP_007430889.2
XP_015665885.1,XP_007422067.2
XP_015674941.1,XP_007430333.1
XP_015679928.2,XP_007434427.1
XP_015684952.1,XP_007443945.2
XP_029138877.1,XP_007420215.2
XP_015673217.1,XP_007426640.1
XP_015683881.1,XP_007428457.1
XP_015687819.1,XP_025033017.1
XP_029140865.1,XP_007434156.1
XP_015669041.1,XP_007422985.2
XP_015670323.2,XP_007441600.2
XP_029141311.1,XP_025019770.1
XP_015667305.1,XP_007436176.2
XP_015678348.1,XP_015743069.1
XP_015672977.1,XP_007437309.2
XP_029139236.1,XP_025029732.1
XP_029139235.1,XP_007439853.2
XP_015667766.1,XP_007427384.1
XP_015687151.1,XP_007433410.1
XP_015683429.1,XP_007436263.1
XP_015672462.1,XP_007437429.1
XP_015670948.1,XP_007425972.1
XP_029143066.1,XP_007435705.1
XP_015674394.1,XP_007438467.1
XP_015672492.1,XP_007435170.1
XP_015680700.1,XP_025029605.1
XP_015674933.1,XP_007437770.1
XP_015669908.1,XP_007438201.1
XP_015669906.1,XP_007438203.1
XP_015679837.1,XP_007429945.1
XP_029142351.1,XP_007443886.1
XP_015672136.1,XP_007425165.1
XP_015684420.1,XP_007433313.1
XP_029140359.1,XP_007426712.1
XP_015683623.1,XP_007439068.1
XP_015682847.1,XP_007437943.1
XP_015681667.1,XP_007423392.1
XP_015681655.1,XP_007423398.1
XP_015680786.1,XP_007420241.1
XP_015674841.1,XP_025021855.1
XP_015674828.1,XP_025020036.1
XP_015684395.1,XP_007441576.1
XP_015684396.1,XP_007441577.1
XP_015676846.1,XP_007430686.1
XP_015676666.1,XP_007425390.1
XP_015682065.1,XP_007421185.1
XP_029140724.1,XP_007434533.2
XP_029139564.1,XP_007431070.1
XP_015668697.1,XP_007429345.1
XP_015668720.1,XP_007429339.1
XP_015668730.1,XP_007429340.1
XP_029140848.1,XP_007427510.1
XP_015672028.1,XP_007437935.1
XP_015670719.1,XP_007423571.1
XP_029141377.1,XP_007426954.1
XP_015673673.1,XP_025026694.1
XP_015681425.1,XP_007436379.1
XP_015674061.1,XP_007428072.1
XP_015674466.1,XP_025024271.1
XP_015679310.2,XP_007436797.1
XP_015684764.1,XP_025026708.1
XP_015666359.1,XP_007421373.1
XP_015679741.1,XP_025027079.1
XP_029141279.1,XP_025029944.1
XP_015672608.2,XP_007426794.1
XP_015680746.1,XP_007426792.1
XP_029142855.1,XP_007422344.1
XP_015668179.1,XP_007434070.2
XP_015674911.1,XP_007438683.1
XP_015688044.1,XP_025023578.1
XP_015668165.1,XP_025021035.1
XP_029140436.1,XP_007429311.1
XP_015667990.1,XP_025020662.1
XP_015668085.1,XP_007437616.1
XP_015672197.1,XP_007425365.1
XP_015667963.1,XP_007443519.2
XP_015679136.1,XP_007438783.1
XP_015676107.1,XP_007432042.1
XP_015683977.1,XP_007440132.1
XP_015674702.1,XP_007424611.1
XP_029141987.1,XP_007440843.1
XP_029140467.1,XP_025019341.1
XP_029140218.1,XP_025020275.1
XP_015670138.1,XP_007425897.1
XP_015668111.1,XP_007431399.1
XP_015668106.1,XP_015745226.1
XP_015669735.1,XP_007438929.1
XP_029139440.1,XP_007423087.1
XP_015674855.2,XP_007434743.1
XP_015672983.1,XP_007421601.1
XP_029141993.1,XP_025023839.1
XP_015671240.1,XP_007427316.1
XP_015680723.1,XP_007444287.1
XP_015682385.1,XP_007444262.1
XP_029142199.1,XP_007425650.2
XP_015685400.1,XP_025020778.1
XP_015667703.1,XP_007420592.1
XP_015674773.1,XP_007442852.1
XP_015674137.1,XP_007431630.1
XP_015674142.1,XP_007444590.1
XP_015677550.1,XP_007431563.1
XP_015687339.1,XP_007432666.2
XP_029143108.1,XP_007432668.1
XP_029141477.1,XP_007430551.1
XP_015687520.2,XP_025027923.1
XP_015674739.1,XP_007436310.1
XP_029141346.1,XP_007424297.2
XP_029140943.1,XP_007426327.2
XP_029140507.1,XP_025021834.1
XP_015676039.1,XP_007423123.1
XP_015685723.1,XP_007423122.1
XP_015677314.1,XP_025026206.1
XP_015677910.1,XP_007431722.1
XP_015672133.1,XP_007435700.1
XP_015686030.1,XP_007436417.1
XP_015668514.1,XP_007432381.1
XP_015677751.1,XP_007420460.3
XP_015674313.1,XP_007423011.2
XP_015674729.1,XP_007421464.2
XP_015685437.2,XP_007420457.2
XP_015676656.1,XP_007425367.3
XP_029140463.1,XP_015744517.1
XP_015681856.1,XP_007426860.1
XP_015679447.1,XP_007420386.1
XP_015673373.1,XP_007420402.1
XP_015673375.1,XP_007428469.1
XP_029140246.1,XP_025020945.1
XP_015667839.1,XP_007435518.1
XP_015667840.1,XP_025027104.1
XP_029140250.1,XP_007425864.1
XP_015672845.1,XP_007420729.1
XP_015672843.1,XP_007420737.1
XP_015671640.1,XP_007441128.1
XP_015676710.1,XP_007441624.3
XP_015676821.1,XP_015745796.2
XP_015668143.1,XP_007439474.1
XP_015672359.1,XP_007431247.1
XP_015678448.1,XP_007427876.1
XP_029141293.1,XP_025022184.1
XP_029141292.1,XP_025022185.1
XP_015685462.2,XP_007425296.1
XP_015686717.1,XP_007434987.2
XP_015672867.1,XP_007421862.1
XP_015668337.1,XP_007440083.1
XP_015668344.1,XP_007442532.1
XP_015680537.1,XP_015744288.1
XP_015682557.1,XP_007423535.1
XP_015677884.1,XP_007433539.1
XP_015672383.1,XP_025020665.1
XP_015678581.1,XP_025028681.1
XP_029139904.1,XP_025032249.1
XP_015680091.2,XP_007439318.3
XP_015687571.1,XP_007425526.3
XP_015681402.1,XP_007427467.1
XP_015672293.1,XP_007436736.1
XP_015674851.1,XP_007422963.1
XP_015677853.1,XP_007427650.1
XP_015681369.1,XP_025023429.1
XP_015680991.1,XP_007443989.1
XP_015685341.1,XP_007435788.2
XP_015672397.2,XP_007428485.3
XP_029140798.1,XP_025021659.1
XP_015675598.1,XP_007445563.2
XP_015668133.1,XP_025019081.1
XP_015673976.1,XP_007430797.1
XP_015672704.1,XP_007439299.1
XP_015673502.1,XP_007438997.1
XP_015678020.1,XP_007423374.1
XP_015676862.1,XP_007424022.1
XP_015687404.1,XP_007434590.1
XP_015681071.1,XP_025024735.1
XP_015686517.1,XP_007440814.1
XP_015675671.1,XP_007436457.1
XP_015667574.1,XP_007431745.1
XP_015672123.1,XP_007426356.1
XP_015668403.1,XP_007424308.1
XP_015672621.1,XP_007424847.1
XP_015665452.1,XP_007433198.1
XP_015682321.1,XP_007420637.1
XP_015665534.1,XP_007431754.1
XP_015675873.1,XP_025019098.1
XP_029142142.1,XP_025032935.1
XP_029141595.1,XP_007436078.1
XP_015680980.1,XP_025030584.1
XP_015668776.1,XP_015743225.1
XP_015668775.1,XP_007426253.1
XP_029139411.1,XP_025031455.1
XP_015670110.1,XP_007435859.1
XP_015674953.1,XP_007429204.1
XP_015671447.1,XP_025020812.1
XP_015678488.1,XP_007438975.1
XP_015680847.1,XP_007427330.1
XP_015680323.1,XP_007437336.1
XP_029139466.1,XP_007427416.1
XP_015678472.1,XP_007426374.1
XP_029141337.1,XP_025028372.1
XP_015687238.1,XP_007442973.1
XP_015669647.1,XP_025022181.1
XP_015665495.1,XP_007440330.2
XP_029138804.1,XP_025027753.1
XP_015678921.1,XP_007422353.1
XP_015676922.1,XP_007420149.1
XP_015687485.1,XP_007422653.1
XP_015687484.1,XP_025018692.1
XP_015674637.1,XP_025023198.1
XP_029139991.1,XP_007444352.1
XP_029139841.1,XP_007424089.1
XP_015671303.1,XP_007432455.1
XP_015682333.1,XP_025022938.1
XP_015674114.1,XP_025029651.1
XP_015674260.1,XP_007429145.1
XP_029143079.1,XP_025021718.1
XP_015666315.1,XP_025028518.1
XP_015681039.1,XP_025031386.1
XP_015687637.1,XP_025029881.1
XP_015681877.1,XP_025020381.1
XP_029141556.1,XP_025020378.1
XP_015676784.1,XP_007423909.2
XP_015678960.1,XP_025019208.1
XP_015677588.1,XP_007425270.1
XP_015673958.1,XP_007425022.1
XP_015687984.1,XP_007426095.1
XP_015665481.1,XP_007434814.1
XP_029139067.1,XP_007439228.1
XP_015668206.1,XP_007444751.1
XP_015678362.1,XP_007425067.1
XP_015666080.1,XP_015743557.2
XP_029139407.1,XP_025031680.1
XP_015677638.1,XP_007423355.1
XP_015667404.1,XP_007420777.1
XP_015682365.1,XP_007422056.1
XP_029140212.1,XP_007424854.1
XP_029139168.1,XP_025028098.1
XP_015670056.1,XP_007420098.2
XP_015666646.1,XP_025028353.1
XP_029140613.1,XP_025031418.1
XP_015669002.1,XP_007439729.2
XP_029140615.1,XP_025031314.1
XP_029140492.1,XP_025031378.1
XP_015669379.1,XP_007433852.1
XP_015679207.1,XP_025025694.1
XP_015670766.1,XP_015744412.1
XP_015678920.1,XP_007422359.2
XP_015672160.1,XP_007423219.1
XP_015675926.1,XP_025025809.1
XP_015675132.1,XP_007430577.2
XP_029140102.1,XP_025019126.1
XP_015668254.1,XP_007425350.1
XP_015667460.1,XP_007435968.1
XP_015672121.2,XP_007426354.1
XP_015675032.1,XP_007442556.1
XP_015666480.1,XP_025027340.1
XP_015681326.1,XP_007440919.2
XP_029140258.1,XP_007441247.1
XP_015666887.1,XP_007433002.1
XP_015666917.1,XP_007433001.1
XP_015671394.1,XP_007424086.1
XP_015677753.1,XP_025030456.1
XP_029142015.1,XP_007429572.2
XP_015680885.1,XP_025030359.1
XP_015672429.1,XP_007431601.1
XP_015687917.1,XP_025023736.1
XP_015672430.1,XP_007431599.1
XP_015670787.1,XP_007432173.2
XP_015674658.1,XP_007421911.1
XP_015676607.1,XP_007428763.1
XP_015681868.1,XP_007435244.2
XP_015674788.1,XP_007426482.1
XP_015671358.1,XP_025022422.1
XP_015677097.1,XP_007419879.1
XP_015665750.1,XP_007442980.1
XP_029143203.1,XP_007443972.2
XP_015679946.1,XP_007431077.1
XP_015665745.1,XP_007429840.1
XP_015672553.1,XP_007443559.1
XP_015674651.1,XP_007428438.1
XP_015667610.1,XP_007434758.1
XP_015669551.1,XP_007420473.1
XP_015675028.1,XP_007442083.1
XP_015687962.1,XP_007430347.1
XP_015687963.1,XP_007430346.1
XP_015668306.1,XP_007434024.1
XP_015667576.1,XP_015745896.1
XP_015667575.1,XP_007440820.2
XP_015678469.1,XP_007426378.1
XP_015668386.1,XP_025029242.1
XP_015674329.1,XP_007433247.1
XP_015670968.1,XP_025032877.1
XP_015668862.1,XP_007428865.1
XP_015677620.2,XP_007434752.1
XP_015676750.1,XP_007423555.1
XP_015671210.1,XP_007439976.1
XP_015665852.1,XP_007421675.1
XP_015671031.1,XP_007423565.1
XP_015677502.1,XP_007422182.1
XP_015670496.1,XP_007429400.1
XP_015674887.1,XP_007435601.2
XP_015679324.2,XP_007439607.1
XP_015672092.1,XP_007430618.1
XP_015686903.1,XP_007440352.1
XP_029141818.1,XP_007441634.1
XP_015679591.2,XP_007424106.1
XP_015676644.1,XP_025032052.1
XP_015677300.1,XP_007438905.1
XP_015687586.1,XP_007434124.1
XP_029140795.1,XP_025023643.1
XP_015672864.1,XP_025023601.1
XP_015667670.1,XP_007438489.1
XP_015665537.1,XP_007432525.1
XP_015666632.1,XP_025024120.1
XP_015687169.1,XP_025020091.1
XP_015676814.1,XP_007442919.2
XP_029140842.1,XP_007425217.1
XP_015681940.1,XP_007444395.1
XP_029140841.1,XP_025020501.1
XP_029142054.1,XP_007441166.1
XP_015676070.1,XP_025026504.1
XP_015668913.1,XP_007424999.1
XP_015676253.1,XP_007425228.1
XP_029142348.1,XP_025028315.1
XP_015677661.1,XP_007423588.1
XP_015677656.1,XP_007423586.1
XP_015668922.1,XP_007426005.1
XP_015668916.1,XP_007426008.1
XP_015678510.1,XP_007444386.2
XP_015668928.1,XP_007426003.1
XP_015671389.1,XP_025024151.1
XP_015677440.1,XP_007432746.1
XP_015675260.1,XP_007428952.1
XP_015679992.1,XP_007422094.1
XP_015670872.1,XP_007440407.2
XP_015675945.1,XP_025033108.1
XP_015677828.1,XP_007425680.1
XP_015683166.1,XP_007440068.1
XP_015669231.1,XP_007421586.1
XP_015684683.1,XP_007431644.1
XP_015681276.1,XP_025028194.1
XP_015675951.1,XP_007433999.1
XP_029141948.1,XP_007433993.1
XP_029141900.1,XP_015745808.1
XP_015680438.1,XP_007427443.1
XP_015680266.1,XP_007421888.1
XP_015680261.1,XP_025030234.1
XP_015683156.1,XP_025032288.1
XP_015667261.1,XP_007426411.1
XP_015671332.1,XP_007443643.1
XP_015668393.1,XP_007441559.2
XP_015677790.1,XP_007435121.1
XP_015677794.1,XP_007435117.1
XP_029142478.1,XP_025026437.1
XP_015670244.1,XP_015746994.1
XP_015683473.1,XP_025028735.1
XP_015681590.1,XP_025021998.1
XP_015683631.1,XP_025021114.1
XP_029139353.1,XP_015742879.1
XP_015683708.1,XP_015744946.2
XP_015680043.1,XP_007434296.1
XP_029139344.1,XP_015742875.1
XP_015680712.1,XP_007433798.2
XP_015667352.1,XP_007430463.2
XP_015667685.1,XP_007425620.1
XP_015673300.1,XP_007433708.1
XP_015667202.1,XP_007429729.2
XP_015670910.1,XP_025018822.1
XP_015666901.1,XP_007438750.2
XP_015666961.1,XP_007438751.1
XP_015679755.1,XP_007427412.1
XP_015668899.1,XP_025027329.1
XP_029141343.1,XP_007420248.2
XP_015671530.1,XP_007426300.1
XP_029141473.1,XP_025028595.1
XP_015673301.1,XP_007425122.2
XP_029140778.1,XP_025022477.1
XP_015671553.1,XP_007432262.1
XP_029139459.1,XP_007437624.1
XP_015666482.1,XP_015742931.1
XP_015668476.1,XP_007436458.1
XP_029141041.1,XP_007430482.1
XP_015679988.1,XP_007434923.1
XP_029140233.1,XP_015745861.1
XP_015672745.1,XP_007433520.2
XP_015679986.2,XP_025026721.1
XP_029142425.1,XP_007431548.1
XP_015687370.1,XP_007429858.1
XP_015675867.1,XP_007440842.1
XP_015670773.1,XP_007433255.1
XP_015668592.1,XP_007441983.1
XP_015680416.1,XP_025032398.1
XP_029141781.1,XP_025027825.1
XP_015672931.1,XP_025030487.1
XP_015666522.1,XP_025019966.1
XP_029139587.1,XP_007420499.1
XP_015677432.2,XP_007426611.2
XP_015666636.1,XP_025024124.1
XP_015683557.1,XP_025022453.1
XP_029142673.1,XP_007438927.2
XP_015666531.1,XP_025019978.1
XP_015668574.1,XP_007424702.1
XP_015684493.1,XP_015745516.1
XP_015669287.2,XP_007425387.2
XP_029140831.1,XP_025032079.1
XP_029142508.1,XP_025023905.1
XP_015672107.1,XP_007437722.1
XP_029140351.1,XP_025023942.1
XP_015680370.1,XP_007435552.1
XP_015683564.1,XP_007427708.1
XP_015683085.1,XP_007428942.1
XP_015673132.1,XP_007428422.2
XP_015680002.1,XP_025031047.1
XP_015668585.1,XP_007432375.1
XP_015679157.1,XP_015744327.1
XP_029139291.1,XP_025018711.1
XP_029143157.1,XP_007432254.1
XP_015675921.1,XP_007428378.1
XP_015667863.1,XP_025020957.1
XP_015673077.1,XP_007421132.1
XP_015687885.1,XP_007442933.1
XP_015673076.1,XP_007421134.2
XP_015687967.1,XP_015744467.1
XP_015668556.1,XP_007420226.1
XP_015681979.1,XP_007437985.1
XP_015677162.1,XP_007427400.1
XP_029140714.1,XP_007430910.1
XP_015678760.1,XP_025020183.1
XP_015669053.2,XP_007441175.1
XP_015682018.1,XP_007442420.2
XP_015682888.1,XP_007420117.1
XP_015676938.1,XP_015743458.2
XP_029138924.1,XP_025031932.1
XP_015668191.1,XP_025026774.1
XP_029139502.1,XP_025020180.1
XP_015680430.1,XP_007441348.1
XP_015680896.1,XP_007430935.1
XP_015674728.1,XP_007422548.1
XP_015672007.1,XP_025023393.1
XP_015681701.1,XP_007444851.1
XP_015671089.2,XP_007429739.1
XP_015672715.1,XP_007432757.1
XP_015673400.1,XP_007444319.1
XP_015669107.1,XP_007433222.1
XP_015666546.1,XP_025028515.1
XP_015677004.1,XP_007435370.1
XP_015667479.1,XP_015744895.1
XP_015680681.1,XP_015746564.1
XP_029139490.1,XP_007427274.2
XP_015676046.1,XP_007434350.2
XP_015669052.1,XP_007434389.1
XP_015682812.1,XP_007436279.1
XP_029142257.1,XP_025027622.1
XP_015668797.1,XP_025019182.1
XP_015670905.1,XP_007433330.1
XP_015681775.1,XP_007433431.1
XP_015670391.1,XP_007426563.1
XP_015669816.1,XP_007427764.2
XP_029139756.1,XP_007438968.2
XP_015669226.1,XP_007444948.1
XP_029139174.1,XP_007433916.2
XP_029139183.1,XP_007433928.1
XP_015670022.1,XP_007430135.1
XP_015682962.1,XP_007437139.1
XP_015672797.1,XP_007429196.1
XP_015685071.1,XP_007440401.1
XP_029141471.1,XP_025031022.1
XP_029142140.1,XP_007441426.2
XP_015671955.1,XP_007445406.2
XP_015671140.1,XP_007436343.1
XP_015671716.1,XP_007433147.1
XP_029141166.1,XP_007441331.1
XP_015684605.1,XP_007442540.1
XP_015681098.1,XP_007432128.1
XP_029141165.1,XP_025022057.1
XP_015677725.1,XP_025028376.1
XP_015667701.1,XP_025021438.1
XP_015677805.1,XP_025030905.1
XP_015674491.1,XP_015743302.1
XP_015674490.1,XP_025021510.1
XP_015678678.1,XP_007429286.1
XP_015683003.1,XP_007431287.1
XP_015668291.1,XP_007437042.1
XP_015674056.1,XP_025029342.1
XP_015678675.1,XP_007435560.1
XP_015679493.1,XP_007444415.1
XP_015670942.1,XP_007422817.1
XP_015670941.1,XP_007422815.1
XP_029139872.1,XP_025018842.1
XP_015679063.1,XP_007434155.1
XP_015684562.1,XP_025026070.1
XP_015688022.1,XP_007428414.2
XP_015681088.1,XP_007433421.1
XP_029141843.1,XP_007441606.1
XP_015667950.1,XP_007423465.1
XP_015679913.1,XP_015742928.2
XP_015673680.1,XP_007433905.1
XP_015683627.1,XP_007441615.1
XP_015673735.2,XP_007439992.3
XP_015677598.1,XP_007420624.1
XP_015667288.1,XP_025019292.1
XP_015682069.1,XP_007426891.1
XP_015681023.1,XP_007440936.1
XP_015669596.1,XP_007424555.1
XP_015679929.1,XP_025030169.1
XP_015667285.1,XP_025019300.1
XP_015682327.2,XP_007426489.1
XP_015679809.1,XP_025021097.1
XP_015685868.1,XP_007438519.1
XP_015670287.1,XP_007420940.1
XP_015680053.1,XP_007429234.1
XP_015667425.1,XP_025031422.1
XP_015669310.1,XP_007427942.1
XP_015675902.1,XP_007442235.1
XP_015687620.1,XP_007422986.1
XP_015669482.1,XP_025023310.1
XP_029140786.1,XP_025028883.1
XP_015669324.1,XP_007443758.1
XP_015686625.1,XP_007420219.2
XP_015669927.1,XP_025031782.1
XP_029139929.1,XP_007438637.1
XP_015678384.1,XP_007425060.1
XP_015671367.1,XP_007428251.1
XP_015687111.1,XP_007427204.1
XP_015667108.1,XP_007442832.1
XP_015667125.1,XP_007442831.1
XP_029138915.1,XP_007420811.1
XP_015666158.1,XP_007439310.1
XP_015666157.1,XP_007439309.1
XP_015684677.1,XP_007435002.1
XP_015670635.1,XP_007431677.1
XP_015667151.1,XP_025027254.1
XP_015676173.1,XP_025029403.1
XP_015676174.1,XP_007420054.1
XP_015675564.1,XP_007425361.1
XP_029141860.1,XP_025029362.1
XP_015670739.1,XP_015746806.1
XP_015681113.2,XP_015745663.1
XP_029142902.1,XP_025020326.1
XP_029141272.1,XP_025027030.1
XP_015668250.1,XP_007432861.2
XP_015678175.1,XP_007428127.1
XP_015680129.1,XP_007432688.2
XP_015685907.1,XP_025033395.1
XP_029141659.1,XP_007432686.2
XP_015668622.1,XP_007441589.1
XP_029139033.1,XP_015745708.2
XP_029139754.1,XP_015747064.1
XP_015678762.1,XP_007426833.1
XP_015673927.1,XP_015743309.1
XP_015666779.1,XP_007430023.1
XP_015687493.1,XP_007425204.1
XP_015677889.1,XP_007425319.1
XP_029139402.1,XP_025030175.1
XP_015673264.1,XP_007424169.1
XP_029140306.1,XP_025019797.1
XP_015676969.1,XP_007423645.1
XP_015674763.1,XP_007440551.1
XP_015671298.1,XP_025018689.1
XP_015678873.1,XP_025031556.1
XP_015676991.1,XP_007422847.1
XP_015680352.1,XP_025024740.1
XP_015679433.1,XP_007444496.1
XP_015669789.1,XP_007436316.2
XP_015676980.1,XP_007422846.1
XP_015666119.1,XP_025023941.1
XP_029141550.1,XP_007434396.2
XP_015680436.1,XP_007444477.2
XP_015677512.1,XP_025022244.1
XP_029140719.1,XP_007429456.2
XP_015675506.1,XP_007442507.1
XP_015669004.1,XP_007442740.2
XP_029141574.1,XP_025024522.1
XP_029139900.1,XP_015744634.1
XP_015679500.1,XP_007431607.2
XP_029139865.1,XP_007433652.1
XP_029143090.1,XP_015745541.2
XP_015683854.2,XP_007433046.1
XP_015675518.1,XP_007428397.1
XP_015687226.2,XP_007439185.2
XP_015670420.1,XP_007439654.1
XP_029141106.1,XP_007435530.1
XP_015681258.1,XP_007421642.1
XP_015674612.1,XP_007432713.1
XP_015672128.1,XP_007436639.1
XP_015667101.1,XP_007425344.1
XP_015677648.1,XP_007437994.1
XP_015677646.2,XP_025025943.1
XP_029141062.1,XP_025027846.1
XP_015671160.1,XP_007430882.1
XP_015687321.1,XP_007430005.1
XP_015669665.1,XP_025031275.1
XP_029142642.1,XP_015745119.1
XP_015666292.1,XP_007420606.1
XP_015679227.2,XP_025027484.1
XP_015669819.1,XP_007439721.2
XP_015668010.1,XP_025025268.1
XP_015666226.1,XP_025020964.1
XP_015676839.1,XP_025028816.1
XP_015677098.1,XP_025018681.1
XP_015666230.1,XP_007436357.1
XP_015682612.1,XP_007421458.1
XP_015682488.1,XP_007421462.1
XP_015682551.1,XP_025022032.1
XP_015676585.1,XP_007433186.2
XP_015676579.1,XP_025026327.1
XP_015678629.1,XP_007433364.1
XP_015675805.1,XP_007443281.1
XP_015678596.1,XP_007421795.1
XP_029139814.1,XP_007420521.1
XP_015673630.1,XP_007420017.1
XP_029143070.1,XP_007420313.2
XP_015687088.1,XP_007420314.1
XP_015673345.1,XP_007428637.3
XP_015667259.1,XP_007437996.1
XP_015667229.1,XP_007431666.1
XP_029140316.1,XP_025020826.1
XP_029139012.1,XP_007429223.1
XP_015684766.1,XP_025026524.1
XP_015686468.1,XP_015745602.1
XP_015668553.1,XP_025021241.1
XP_015682117.1,XP_007427574.2
XP_029139246.1,XP_007434980.1
XP_015669739.1,XP_007423489.1
XP_015668310.2,XP_025024312.1
XP_015679948.1,XP_007438430.1
XP_015677067.1,XP_007423227.1
XP_015674544.2,XP_015744040.2
XP_015672313.1,XP_007423845.1
XP_015687102.1,XP_007423847.3
XP_029143111.1,XP_025024805.1
XP_015682977.1,XP_007424954.1
XP_015682723.1,XP_007441849.1
XP_015669639.1,XP_025022206.1
XP_015677031.1,XP_007429697.1
XP_015672203.1,XP_007420062.1
XP_015670648.1,XP_007423312.1
XP_015669211.1,XP_007441293.2
XP_029143053.1,XP_025024387.1
XP_015670525.1,XP_025022427.1
XP_015669093.1,XP_007425755.1
XP_015679132.1,XP_007423960.1
XP_015666345.1,XP_007432785.1
XP_015686994.1,XP_007424502.1
XP_029143063.1,XP_015742922.1
XP_029139690.1,XP_025026335.1
XP_015686999.1,XP_007432055.2
XP_015671751.1,XP_007424812.1
XP_029140033.1,XP_025025871.1
XP_015687016.1,XP_007440499.1
XP_015666863.1,XP_007432724.1
XP_015680008.2,XP_007419966.1
XP_015680005.1,XP_025024272.1
XP_015675267.1,XP_007423309.1
XP_015666848.1,XP_007420033.1
XP_015668154.1,XP_025027439.1
XP_015666451.1,XP_025022955.1
XP_015673596.1,XP_007437734.1
XP_029140368.1,XP_007434906.1
XP_015666799.1,XP_007420284.1
XP_015673682.1,XP_025026715.1
XP_015670120.1,XP_007441212.1
XP_015667524.1,XP_007440498.1
XP_015666794.1,XP_007420291.1
XP_015687674.2,XP_025029721.1
XP_015687700.1,XP_007421810.1
XP_015667017.1,XP_007435638.1
XP_015667019.1,XP_007430216.1
XP_015687711.1,XP_025022586.1
XP_015667272.1,XP_007441051.1
XP_015675162.1,XP_007444507.1
XP_029140103.1,XP_007428684.1
XP_029143180.1,XP_007425400.1
XP_015672982.1,XP_025020530.1
XP_015675169.1,XP_007425294.1
XP_015687680.2,XP_025019843.1
XP_015687683.1,XP_025025742.1
XP_015687754.1,XP_007420743.1
XP_015687756.1,XP_007420746.1
XP_015687646.1,XP_007425236.1
XP_015672970.1,XP_025027212.1
XP_015672716.1,XP_007432758.2
XP_015687693.1,XP_025028381.1
XP_015676305.1,XP_025025756.1
XP_029138880.1,XP_007424974.2
XP_029138871.1,XP_025020336.1
XP_029138879.1,XP_025020337.1
XP_015671011.1,XP_007443511.1
XP_015668081.1,XP_007423051.1
XP_015687171.1,XP_007426561.1
XP_029142693.1,XP_007425625.1
XP_015687158.1,XP_007430067.1
XP_015671921.1,XP_007432689.1
XP_015676830.1,XP_015743111.2
XP_015685355.1,XP_007431960.1
XP_015676387.1,XP_007431206.1
XP_029138840.1,XP_007424206.1
XP_015665653.1,XP_007443582.1
XP_015685910.1,XP_007430357.1
XP_015673496.1,XP_007427030.1
XP_015679235.1,XP_007427626.1
XP_015682835.1,XP_007427591.1
XP_015670164.1,XP_007425661.1
XP_029139199.1,XP_025026601.1
XP_015677682.1,XP_007420427.2
XP_015674812.1,XP_007423025.1
XP_015677760.1,XP_007438355.1
XP_015671063.1,XP_007436040.1
XP_015671062.1,XP_007439387.1
XP_015669267.1,XP_007419940.1
XP_015670102.1,XP_025029706.1
XP_015670950.1,XP_025026558.1
XP_015680364.1,XP_015743654.1
XP_029141348.1,XP_007435789.1
XP_015679519.1,XP_007421298.2
XP_015684859.1,XP_025031457.1
XP_015675688.1,XP_025031456.1
XP_015681320.1,XP_007442183.1
XP_015668444.1,XP_007422428.1
XP_015680587.1,XP_025033370.1
XP_015675495.1,XP_007435678.1
XP_015685215.1,XP_007432387.1
