P_guttatus_protein,P_Mucros.pep,python_protein,Pm_geneid
XP_034291295.1,XP_015671946.1,XP_025020328.1,107287902
XP_034291289.1,XP_015671947.1,XP_007424956.1,107287903
XP_034276079.1,XP_015671952.1,XP_025020790.1,107287904
XP_034291132.1,XP_015671954.1,XP_007429063.1,107287909
XP_034275148.1,XP_015671956.1,XP_007436753.2,107287912
XP_034275185.1,XP_015671959.1,XP_007426706.2,107287914
XP_034272670.1,XP_015671969.1,XP_025026642.1,107287923
XP_034257221.1,XP_015671975.1,XP_025024866.1,107287928
XP_034259588.1,XP_015671977.1,XP_007431353.1,107287930
XP_034284070.1,XP_015671981.1,XP_025028348.1,107287933
XP_034284074.1,NP_001310179.1,XP_007437328.1,107287935
XP_034284080.1,XP_015671991.1,XP_007435414.1,107287940
XP_034262263.1,XP_015672005.1,XP_007430420.2,107287950
XP_034261779.1,XP_015672006.1,XP_007429805.1,107287952
XP_034291086.1,XP_029140080.1,XP_007443169.2,107287961
XP_034276070.1,XP_015672020.1,XP_015745368.1,107287962
XP_034291084.1,XP_015672026.1,XP_007443168.1,107287971
XP_034283105.1,XP_015672063.1,XP_025028609.1,107288000
XP_034279530.1,XP_015672060.1,XP_007430041.1,107288002
XP_034279515.1,XP_029140090.1,XP_007430029.1,107288006
XP_034279502.1,XP_015672068.1,XP_025026720.1,107288009
XP_034279483.1,XP_015672079.1,XP_007440095.1,107288017
XP_034279478.1,XP_015672083.1,XP_007430985.1,107288021
XP_034279522.1,XP_015672089.1,XP_007430039.1,107288026
XP_034279519.1,XP_015672090.1,XP_007430030.1,107288027
XP_034283110.1,XP_015672107.1,XP_007437722.1,107288041
XP_034295049.1,XP_015672105.1,XP_007439331.1,107288043
XP_034265515.1,XP_015672125.1,XP_007442732.2,107288064
XP_034269739.1,XP_015672136.1,XP_007425165.1,107288073
XP_034269742.1,XP_015672137.1,XP_007439955.1,107288077
XP_034294551.1,XP_015672147.1,XP_007423207.1,107288083
XP_034294546.1,XP_015672148.1,XP_007423221.1,107288084
XP_034281889.1,XP_015672153.1,XP_007428687.1,107288089
XP_034281884.1,XP_015672154.1,XP_025022661.1,107288090
XP_034266135.1,XP_015672162.2,XP_007434565.1,107288096
XP_034294571.1,XP_015672159.1,XP_007436407.1,107288097
XP_034294537.1,XP_015672161.1,XP_025019130.1,107288099
XP_034266138.1,XP_015672186.1,XP_007434566.1,107288114
XP_034289673.1,XP_015672187.1,XP_007419855.1,107288117
XP_034289679.1,XP_015672188.1,XP_007419854.1,107288118
XP_034289647.1,XP_015672189.1,XP_007419868.1,107288119
XP_034289670.1,XP_029140106.1,XP_007419889.1,107288122
XP_034259469.1,XP_015672203.1,XP_007420062.1,107288133
XP_034259512.1,XP_015672209.1,XP_007420057.1,107288136
XP_034258913.1,XP_015672210.1,XP_007429696.1,107288137
XP_034295391.1,XP_029140112.1,XP_007427575.2,107288150
XP_034287178.1,XP_015672226.1,XP_025026418.1,107288155
XP_034287167.1,XP_015672233.2,XP_025023956.1,107288159
XP_034285317.1,XP_015672239.1,XP_007427904.1,107288167
XP_034285311.1,XP_015672245.1,XP_007442473.2,107288174
XP_034275174.1,XP_015672253.1,XP_007435740.1,107288181
XP_034257708.1,XP_015672260.1,XP_025020248.1,107288188
XP_034281305.1,XP_015672263.1,XP_007422613.1,107288191
XP_034281306.1,XP_015672266.1,XP_007422614.1,107288195
XP_034281309.1,XP_015672268.1,XP_007422612.1,107288196
XP_034281307.1,XP_015672270.1,XP_007422609.1,107288198
XP_034275714.1,XP_015672276.1,XP_007421711.1,107288205
XP_034278094.1,XP_015672286.1,XP_007426765.1,107288213
XP_034278100.1,XP_015672287.1,XP_007422510.1,107288216
XP_034278101.1,XP_015672288.1,XP_007422508.1,107288217
XP_034278102.1,XP_015672290.1,XP_007422509.1,107288218
XP_034287743.1,XP_015672295.1,XP_007437375.1,107288222
XP_034287744.1,XP_015672297.1,XP_007441180.3,107288224
XP_034294151.1,XP_015672302.2,XP_007434384.2,107288225
XP_034293048.1,XP_015672313.1,XP_007423845.1,107288233
XP_034265789.1,XP_015672316.1,XP_007427594.1,107288236
XP_034265767.1,XP_015672322.1,XP_007443986.3,107288240
XP_034282459.1,XP_015672325.1,XP_007431274.1,107288242
XP_034282327.1,XP_015672331.1,XP_015743398.1,107288247
XP_034284447.1,XP_015672335.1,XP_025021043.1,107288251
XP_034284450.1,XP_015672336.1,XP_007426033.2,107288252
XP_034284438.1,XP_015672339.1,XP_025021045.1,107288254
XP_034267604.1,XP_015672345.1,XP_015744167.1,107288261
XP_034267659.1,XP_015672348.1,XP_007431793.1,107288263
XP_034287894.1,XP_015672361.1,XP_007436412.1,107288277
XP_034261713.1,XP_015672365.1,XP_015743541.1,107288282
XP_034261757.1,XP_015672366.1,XP_007440455.2,107288283
XP_034264994.1,XP_015672374.1,XP_007425494.2,107288290
XP_034258968.1,XP_015672388.1,XP_007424946.1,107288301
XP_034259237.1,XP_015672392.1,XP_007430332.1,107288304
XP_034260324.1,XP_015672394.1,XP_025030244.1,107288305
XP_034284208.1,XP_015672407.1,XP_025022322.1,107288315
XP_034279854.1,XP_015672414.1,XP_025027868.1,107288320
XP_034279855.1,XP_015672415.2,XP_025027871.1,107288321
XP_034259697.1,XP_029140159.1,XP_025030468.1,107288328
XP_034298263.1,XP_015672429.1,XP_007431601.1,107288334
XP_034265953.1,XP_015672441.1,XP_007444047.3,107288341
XP_034270158.1,XP_015672464.1,XP_007429659.1,107288366
XP_034270240.1,XP_015672469.1,XP_007431507.1,107288374
XP_034272215.1,XP_015672474.1,XP_025023517.1,107288376
XP_034269882.1,XP_015672476.1,XP_007426273.1,107288379
XP_034269898.1,XP_015672479.1,XP_007436666.1,107288381
XP_034269902.1,XP_015672481.1,XP_025023947.1,107288383
XP_034269911.1,XP_015672486.1,XP_007439710.2,107288386
XP_034266216.1,XP_015672514.1,XP_025033508.1,107288409
XP_034266238.1,XP_015672519.1,XP_025033505.1,107288414
XP_034266339.1,XP_015672521.1,XP_025033502.1,107288416
XP_034266438.1,XP_015672523.1,XP_007439043.1,107288417
XP_034285080.1,XP_015672533.1,XP_007431213.1,107288423
XP_034285140.1,XP_015672555.1,XP_007425383.1,107288445
XP_034286909.1,XP_015672589.1,XP_025022468.1,107288481
XP_034296709.1,XP_015672603.1,XP_007430517.1,107288495
XP_034296706.1,XP_015672608.2,XP_007426794.1,107288499
XP_034285277.1,XP_015672612.1,XP_007425374.1,107288500
XP_034296714.1,XP_015672609.1,XP_025023868.1,107288501
XP_034275073.1,XP_015672611.1,XP_007424836.1,107288503
XP_034275065.1,XP_029140213.1,XP_025020271.1,107288505
XP_034275027.1,XP_015672628.1,XP_025027004.1,107288514
XP_034275060.1,XP_015672640.1,XP_007424852.1,107288527
XP_034275039.1,XP_029140219.1,XP_025026953.1,107288528
XP_034285868.1,XP_015672643.1,XP_025020282.1,107288531
XP_034285867.1,XP_015672644.1,XP_007424874.1,107288532
XP_034285857.1,XP_015672649.1,XP_025029411.1,107288536
XP_034285861.1,XP_015672651.1,XP_007424873.1,107288538
XP_034284942.1,XP_015672652.1,XP_007424872.1,107288540
XP_034257249.1,XP_015672665.1,XP_007427370.1,107288552
XP_034296190.1,XP_015672668.2,XP_007430807.2,107288555
XP_034268384.1,XP_015672712.1,XP_007428710.1,107288593
XP_034296162.1,XP_015672715.1,XP_007432757.1,107288596
XP_034296164.1,XP_015672717.1,XP_007440482.1,107288599
XP_034292275.1,XP_015672729.1,XP_007439129.1,107288605
XP_034296152.1,XP_015672730.1,XP_007444156.1,107288606
XP_034282260.1,XP_015672780.1,XP_007444805.1,107288653
XP_034282253.1,XP_015672793.1,XP_025031874.1,107288666
XP_034258912.1,XP_015672805.1,XP_007432244.1,107288676
XP_034258651.1,XP_015672816.1,XP_007432246.1,107288687
XP_034296954.1,XP_029140246.1,XP_025020945.1,107288693
XP_034296982.1,XP_029140250.1,XP_007425864.1,107288694
XP_034297153.1,XP_015672824.1,XP_025022540.1,107288699
XP_034296281.1,XP_015672841.1,XP_015743586.1,107288714
XP_034296371.1,XP_015672843.1,XP_007420737.1,107288716
XP_034298655.1,XP_015672864.1,XP_025023601.1,107288733
XP_034264866.1,XP_015672865.1,XP_025030023.1,107288734
XP_034264876.1,XP_015672866.1,XP_007421863.2,107288735
XP_034264873.1,XP_015672869.1,XP_007421861.1,107288739
XP_034264880.1,XP_015672871.1,XP_007440799.1,107288740
XP_034278109.1,XP_015672873.2,XP_025019260.1,107288742
XP_034278210.1,XP_015672874.1,XP_015742725.1,107288743
XP_034278217.1,XP_015672876.1,XP_025019261.1,107288745
XP_034296414.1,XP_015672888.1,XP_007426382.1,107288757
XP_034268706.1,XP_029140256.1,XP_025019265.1,107288766
XP_034298050.1,XP_015672901.1,XP_007440490.1,107288768
XP_034264701.1,XP_015672907.2,XP_007434666.1,107288771
XP_034284543.1,XP_015672916.1,XP_007437747.1,107288781
XP_034282053.1,XP_015672920.1,XP_007438345.1,107288784
XP_034282010.1,XP_029140265.1,XP_025027346.1,107288785
XP_034268694.1,XP_015672937.1,XP_007434787.1,107288798
XP_034282046.1,XP_015672955.1,XP_007434851.1,107288818
XP_034287771.1,XP_015672972.1,XP_007427019.1,107288833
XP_034287792.1,XP_015672974.1,XP_025022976.1,107288834
XP_034287783.1,XP_029140273.1,XP_007427024.1,107288836
XP_034275438.1,XP_015672977.1,XP_007437309.2,107288837
XP_034275513.1,XP_015672978.1,XP_007439737.1,107288838
XP_034273936.1,XP_015672984.2,XP_007439455.1,107288844
XP_034273934.1,XP_015672985.1,XP_015745090.1,107288845
XP_034268844.1,XP_015672997.1,XP_007424648.1,107288852
XP_034268836.1,XP_015673000.1,XP_007424643.1,107288854
XP_034268820.1,XP_015673004.1,XP_007434239.1,107288857
XP_034288571.1,XP_015673057.1,XP_007422246.1,107288871
XP_034292232.1,XP_029140268.1,XP_007426890.1,107288875
XP_034281685.1,XP_015673024.1,XP_007442200.1,107288876
XP_034281691.1,XP_015673025.1,XP_007434416.1,107288877
XP_034292324.1,XP_015673038.1,XP_025026215.1,107288886
XP_034281249.1,XP_015673035.1,XP_025025052.1,107288887
XP_034281252.1,XP_015673037.1,XP_007421146.1,107288889
XP_034281256.1,XP_015673042.1,XP_025025024.1,107288892
XP_034292329.1,XP_015673074.1,XP_025026213.1,107288896
XP_034281254.1,XP_015673055.1,XP_007421118.2,107288905
XP_034281697.1,XP_015673059.1,XP_007434418.1,107288907
XP_034281616.1,XP_015673077.1,XP_007421132.1,107288920
XP_034281243.1,XP_015673079.1,XP_007421150.2,107288922
XP_034292326.1,XP_015673085.1,XP_007434157.1,107288925
XP_034278860.1,XP_015673083.1,XP_007419992.1,107288927
XP_034278932.1,XP_029140287.1,XP_025023333.1,107288929
XP_034285757.1,XP_015673102.1,XP_025021500.1,107288944
XP_034292345.1,XP_029140277.1,XP_025032439.1,107288960
XP_034278275.1,XP_015673127.1,XP_007424506.2,107288962
XP_034274670.1,XP_015673128.1,XP_007426138.1,107288963
XP_034288566.1,XP_015673167.1,XP_025032470.1,107288968
XP_034275209.1,XP_015673134.1,XP_025022512.1,107288969
XP_034288801.1,XP_015673142.1,XP_015744273.1,107288977
XP_034259684.1,XP_015673150.1,XP_007423268.1,107288983
XP_034259642.1,XP_015673153.1,XP_007423271.1,107288987
XP_034259626.1,XP_015673154.1,XP_007423274.1,107288988
XP_034259160.1,XP_015673186.1,XP_007428230.1,107289015
XP_034259149.1,XP_015673191.1,XP_025022402.1,107289017
XP_034275563.1,XP_015673203.1,XP_007439789.1,107289027
XP_034295147.1,XP_015673207.1,XP_007431551.1,107289028
XP_034275694.1,XP_015673206.1,XP_025029620.1,107289031
XP_034270233.1,XP_015673208.1,XP_007438071.1,107289032
XP_034270239.1,XP_015673209.1,XP_007438072.1,107289033
XP_034270267.1,XP_015673210.2,XP_015745285.1,107289034
XP_034295144.1,XP_015673218.1,XP_007431550.1,107289038
XP_034264936.1,XP_015673225.2,XP_025026772.1,107289047
XP_034264928.1,XP_015673226.1,XP_007434989.2,107289049
XP_034295148.1,XP_015673240.1,XP_007437582.1,107289059
XP_034289269.1,XP_015673261.1,XP_025019801.1,107289087
XP_034289274.1,XP_015673264.1,XP_007424169.1,107289089
XP_034289277.1,XP_015673267.1,XP_007424175.2,107289092
XP_034289273.1,XP_015673270.1,XP_025019803.1,107289096
XP_034270313.1,XP_015673280.1,XP_025032340.1,107289104
XP_034270319.1,XP_015673281.1,XP_007428419.1,107289105
XP_034270325.1,XP_015673282.1,XP_025022505.1,107289106
XP_034270328.1,XP_015673284.1,XP_007422784.1,107289107
XP_034270364.1,XP_029140308.1,XP_025018806.1,107289109
XP_034270366.1,XP_015673293.1,XP_007422786.3,107289115
XP_034278350.1,XP_015673305.2,XP_025029991.1,107289122
XP_034297423.1,XP_029140309.1,XP_015745836.1,107289136
XP_034278352.1,XP_015673328.1,XP_007439970.1,107289143
XP_034297428.1,XP_015673326.1,XP_007433710.1,107289145
XP_034278363.1,XP_015673339.1,XP_025021004.1,107289153
XP_034295305.1,XP_015673344.1,XP_007425722.1,107289158
XP_034295322.1,XP_015673346.1,XP_007428411.1,107289160
XP_034278355.1,XP_015673351.1,XP_015743178.1,107289162
XP_034276785.1,XP_015673348.1,XP_007421627.1,107289163
XP_034280601.1,XP_015673355.1,XP_025030674.1,107289168
XP_034287556.1,XP_029140317.1,XP_007434194.1,107289169
XP_034285662.1,XP_015673369.1,XP_007428282.1,107289180
XP_034285979.1,XP_029140326.1,XP_025030262.1,107289200
XP_034285630.1,XP_015673422.1,XP_007438595.1,107289227
XP_034283405.1,XP_015673444.1,XP_007424494.2,107289234
XP_034288818.1,XP_015673453.1,XP_007434870.1,107289242
XP_034287507.1,XP_029140492.1,XP_025031378.1,107289260
XP_034265374.1,XP_029140337.1,XP_025027565.1,107289263
XP_034270053.1,XP_015673485.1,XP_007426115.1,107289271
XP_034270061.1,XP_015673488.1,XP_007440947.2,107289274
XP_034264956.1,XP_015673491.1,XP_007421648.1,107289278
XP_034264954.1,XP_015673493.1,XP_007421649.1,107289279
XP_034283702.1,XP_015673502.1,XP_007438997.1,107289288
XP_034283696.1,XP_015673510.1,XP_025019541.1,107289294
XP_034287462.1,XP_015673511.1,XP_007430997.1,107289295
XP_034266183.1,XP_015673516.1,XP_025019574.1,107289300
XP_034277869.1,XP_015673524.2,XP_007435685.1,107289309
XP_034277901.1,XP_015673525.1,XP_007435681.1,107289310
XP_034277217.1,XP_029140344.1,XP_025022907.1,107289318
XP_034264766.1,XP_015673543.1,XP_007443770.1,107289322
XP_034285625.1,XP_015673544.1,XP_025028150.1,107289323
XP_034260149.1,XP_029140348.1,XP_025021051.1,107289339
XP_034267047.1,XP_015673565.1,XP_007436754.1,107289343
XP_034266350.1,XP_015673579.1,XP_025027704.1,107289355
XP_034287369.1,XP_015673618.1,XP_007436739.1,107289356
XP_034266353.1,XP_029140355.1,XP_025027701.1,107289357
XP_034269691.1,XP_015673605.1,XP_007432549.1,107289373
XP_034269692.1,XP_015673606.1,XP_007432552.1,107289375
XP_034269684.1,XP_015673611.1,XP_007423109.1,107289378
XP_034289032.1,XP_015673622.1,XP_007442510.1,107289388
XP_034289033.1,XP_015673624.1,XP_007442511.2,107289389
XP_034289034.1,XP_015673627.1,XP_007440149.1,107289392
XP_034258874.1,XP_015673630.1,XP_007420017.1,107289395
XP_034272229.1,XP_015673654.1,XP_007445160.2,107289409
XP_034268309.1,XP_015673652.1,XP_025019577.1,107289411
XP_034257377.1,XP_015673673.1,XP_025026694.1,107289429
XP_034257293.1,XP_015673675.1,XP_007433789.2,107289431
XP_034258773.1,XP_015673682.1,XP_025026715.1,107289437
XP_034292947.1,XP_015673684.1,XP_007423892.1,107289439
XP_034292938.1,XP_015673686.1,XP_025019605.1,107289440
XP_034292921.1,XP_029140369.1,XP_007423872.1,107289444
XP_034287359.1,XP_029140535.1,XP_007439402.1,107289445
XP_034292944.1,XP_015673703.1,XP_007423891.1,107289449
XP_034258627.1,XP_015673730.1,XP_007420006.1,107289476
XP_034285266.1,XP_015673731.1,XP_007425385.1,107289478
XP_034285273.1,XP_015673736.1,XP_007424915.1,107289483
XP_034270079.1,XP_015673791.1,XP_015743640.1,107289533
XP_034290669.1,XP_015673807.1,XP_025022816.1,107289547
XP_034284376.1,XP_015673836.1,XP_007420551.1,107289566
XP_034280356.1,XP_015673834.1,XP_007439450.1,107289568
XP_034267299.1,XP_015673844.2,XP_007425670.1,107289578
XP_034259503.1,XP_015673845.1,XP_007430446.1,107289579
XP_034259548.1,XP_015673850.1,XP_007430444.1,107289581
XP_034259411.1,XP_015673851.1,XP_007430443.1,107289582
XP_034281405.1,XP_015673852.1,XP_007424512.1,107289583
XP_034288268.1,XP_029140405.1,XP_007438607.2,107289592
XP_034285180.1,XP_015673862.1,XP_007421997.1,107289594
XP_034285171.1,XP_015673865.1,XP_007421998.1,107289596
XP_034285163.1,XP_015673868.1,XP_007422006.3,107289600
XP_034285161.1,XP_015673871.1,XP_007422002.1,107289602
XP_034285156.1,XP_029140409.1,XP_025028134.1,107289604
XP_034285170.1,XP_015673874.1,XP_007421999.1,107289605
XP_034285147.1,XP_015673875.1,XP_007437035.1,107289606
XP_034273252.1,XP_015673888.1,XP_007426488.2,107289613
XP_034288497.1,XP_029140421.1,XP_015743313.2,107289655
XP_034274541.1,XP_015673948.1,XP_007442834.1,107289666
XP_034273294.1,XP_015673949.1,XP_025030090.1,107289667
XP_034266575.1,XP_015673957.1,XP_007434282.1,107289674
XP_034266570.1,XP_015673959.1,XP_025026276.1,107289677
XP_034284015.1,XP_015673977.1,XP_025022333.1,107289694
XP_034292736.1,XP_015673984.1,XP_007431080.2,107289698
XP_034295689.1,XP_015673990.1,XP_007432346.1,107289705
XP_034265635.1,XP_029140434.1,XP_025026827.1,107289717
XP_034265630.1,XP_015674005.1,XP_007433988.3,107289718
XP_034265628.1,XP_029140435.1,XP_025026090.1,107289719
XP_034265627.1,XP_015674007.1,XP_007432311.1,107289720
XP_034266020.1,XP_029140436.1,XP_007429311.1,107289723
XP_034266005.1,XP_015674010.1,XP_015743733.1,107289724
XP_034297061.1,XP_015674027.1,XP_007422632.1,107289738
XP_034297063.1,XP_015674028.1,XP_007422633.1,107289739
XP_034297067.1,XP_015674029.1,XP_025033534.1,107289740
XP_034297086.1,XP_015674042.1,XP_025025950.1,107289752
XP_034297091.1,XP_015674044.1,XP_007433748.1,107289753
XP_034297059.1,XP_015674050.1,XP_007422631.1,107289759
XP_034297065.1,XP_015674051.1,XP_007422634.1,107289761
XP_034260894.1,XP_015674055.1,XP_007443615.1,107289764
XP_034260897.1,XP_015674059.1,XP_007443614.1,107289768
XP_034257398.1,XP_029140449.1,XP_007432433.1,107289769
XP_034287151.1,XP_015674101.1,XP_007429814.1,107289800
XP_034265486.1,XP_015674124.1,XP_007421057.1,107289825
XP_034273418.1,XP_015674137.1,XP_007431630.1,107289836
XP_034273397.1,XP_015674143.1,XP_025024533.1,107289841
XP_034274545.1,XP_029140461.1,XP_007441238.2,107289842
XP_034260906.1,XP_015674150.1,XP_015743254.1,107289848
XP_034288133.1,XP_015674159.1,XP_007421263.1,107289856
XP_034288184.1,XP_015674176.1,XP_025023379.1,107289866
XP_034288114.1,XP_029140463.1,XP_015744517.1,107289872
XP_034288137.1,XP_015674182.1,XP_007421260.1,107289873
XP_034288138.1,XP_015674186.1,XP_007421259.1,107289876
XP_034288167.1,XP_015674188.1,XP_007429776.1,107289878
XP_034274451.1,XP_015674196.1,XP_007423522.1,107289885
XP_034269444.1,XP_029140470.1,XP_025023113.1,107289902
XP_034274733.1,XP_015674219.1,XP_007425544.1,107289908
XP_034280834.1,XP_029140476.1,XP_007444411.1,107289927
XP_034280843.1,XP_015674242.1,XP_007429132.1,107289929
XP_034280844.1,XP_015674258.1,XP_007444334.3,107289943
XP_034257349.1,XP_015674263.1,XP_007422296.1,107289949
XP_034286277.1,XP_015674295.1,XP_007425076.1,107289978
XP_034267691.1,XP_015674304.1,XP_007434964.1,107289984
XP_034288820.1,XP_015674311.1,XP_025023829.1,107289992
XP_034280475.1,XP_015674312.2,XP_025030152.1,107289994
XP_034263672.1,XP_015674344.1,XP_025026666.1,107290018
XP_034264320.1,XP_015674352.1,XP_007430272.1,107290027
XP_034264316.1,XP_015674353.1,XP_007445155.1,107290028
XP_034283794.1,XP_015674734.1,XP_025021230.1,107290033
XP_034264459.1,XP_029140505.1,XP_007431908.1,107290055
XP_034282364.1,XP_015674388.1,XP_025028781.1,107290056
XP_034264465.1,XP_015674386.1,XP_025021832.1,107290058
XP_034264472.1,XP_015674390.1,XP_025024729.1,107290061
XP_034290868.1,XP_015674394.1,XP_007438467.1,107290064
XP_034290853.1,XP_015674395.1,XP_025029070.1,107290065
XP_034278608.1,XP_015674404.1,XP_007433113.2,107290074
XP_034282365.1,XP_015674418.2,XP_007438008.1,107290083
XP_034281617.1,XP_015674441.1,XP_007442185.2,107290105
XP_034282333.1,XP_015674442.1,XP_007425013.1,107290106
XP_034282343.1,XP_015674444.1,XP_007433454.1,107290108
XP_034282329.1,XP_015674445.1,XP_025020376.1,107290109
XP_034282334.1,XP_015674450.1,XP_007444015.2,107290114
XP_034282342.1,XP_015674454.2,XP_007433453.2,107290118
XP_034283325.1,XP_015674460.1,XP_007434749.1,107290122
XP_034269403.1,XP_015674468.1,XP_007423850.1,107290130
XP_034265052.1,XP_015674481.1,XP_015744809.1,107290138
XP_034293020.1,XP_015674483.1,XP_007444773.1,107290141
XP_034285409.1,XP_029140524.1,XP_025021521.1,107290146
XP_034289192.1,XP_015674493.1,XP_007434206.1,107290149
XP_034258911.1,XP_015674512.1,XP_007439263.1,107290168
XP_034284178.1,XP_015674513.1,XP_007438200.2,107290169
XP_034284267.1,XP_015674526.1,XP_025019467.1,107290178
XP_034284283.1,XP_015674531.1,XP_007439546.1,107290183
XP_034284291.1,XP_015674535.1,XP_015743477.1,107290188
XP_034293123.1,XP_015674537.1,XP_025024128.1,107290189
XP_034293138.1,XP_015674539.1,XP_007437567.1,107290191
XP_034293133.1,XP_015674540.1,XP_007437566.2,107290192
XP_034293117.1,XP_015674545.1,XP_007430941.1,107290198
XP_034264812.1,XP_015674551.1,XP_007431374.1,107290202
XP_034274299.1,XP_015674552.1,XP_007422466.2,107290203
XP_034264520.1,XP_015674559.1,XP_007439843.1,107290206
XP_034274307.1,XP_015674556.1,XP_025033432.1,107290207
XP_034273914.1,XP_015674567.1,XP_007436765.1,107290216
XP_034273915.1,XP_015674568.1,XP_007436766.1,107290218
XP_034285836.1,XP_015674600.1,XP_007427096.1,107290247
XP_034294897.1,XP_015674605.1,XP_007440896.2,107290253
XP_034296188.1,XP_029140548.1,XP_025030565.1,107290256
XP_034294899.1,XP_029140547.1,XP_025031416.1,107290258
XP_034264515.1,XP_015674614.1,XP_025028322.1,107290259
XP_034294890.1,XP_015674612.1,XP_007432713.1,107290261
XP_034279118.1,XP_015674620.1,XP_007428029.1,107290269
XP_034282988.1,XP_015674654.1,XP_007437671.1,107290300
XP_034264543.1,XP_015674659.1,XP_007429492.1,107290302
XP_034282926.1,XP_015674660.1,XP_007421899.1,107290305
XP_034276335.1,XP_015674673.1,XP_007436497.1,107290317
XP_034286200.1,XP_015674674.1,XP_007438032.1,107290318
XP_034286199.1,XP_015674679.1,XP_007438031.1,107290324
XP_034287395.1,XP_015674735.1,XP_007436515.1,107290336
XP_034285542.1,XP_015674724.1,XP_007436838.1,107290361
XP_034285532.1,XP_029140567.1,XP_007422545.1,107290363
XP_034272865.1,XP_015674750.1,XP_015745737.1,107290382
XP_034276338.1,XP_015674757.1,XP_007426868.1,107290392
XP_034272859.1,XP_015674761.1,XP_007436309.1,107290393
XP_034276377.1,XP_015674763.1,XP_007440551.1,107290398
XP_034288905.1,XP_015674776.1,XP_007440353.1,107290412
XP_034269669.1,XP_015674777.2,XP_007445488.1,107290413
XP_034283410.1,XP_029140578.1,XP_025019989.1,107290416
XP_034283409.1,XP_015674780.1,XP_025019991.1,107290417
XP_034273262.1,XP_015674788.1,XP_007426482.1,107290425
XP_034283439.1,XP_015674797.1,XP_007425802.1,107290426
XP_034288505.1,XP_015674840.1,XP_007436740.1,107290438
XP_034274977.1,XP_015674807.1,XP_007423023.1,107290442
XP_034274988.1,XP_015674812.1,XP_007423025.1,107290446
XP_034262053.1,XP_015674817.1,XP_007424868.1,107290453
XP_034262066.1,XP_015674819.1,XP_007424865.1,107290454
XP_034262107.1,XP_015674820.1,XP_025024353.1,107290455
XP_034291331.1,XP_015674823.1,XP_007445086.1,107290458
XP_034288283.1,XP_015674828.1,XP_025020036.1,107290461
XP_034288760.1,XP_015674825.1,XP_007440923.1,107290462
XP_034269866.1,XP_029140588.1,XP_025024708.1,107290469
XP_034273038.1,XP_029140589.1,XP_007436229.1,107290472
XP_034274848.1,XP_015674851.1,XP_007422963.1,107290484
XP_034273970.1,XP_015674858.1,XP_007434748.2,107290489
XP_034273966.1,XP_015674860.1,XP_015744662.1,107290492
XP_034273978.1,XP_015674861.1,XP_025026602.1,107290493
XP_034273984.1,XP_015674864.1,XP_025025822.1,107290495
XP_034285431.1,XP_015674873.1,XP_025024630.1,107290501
XP_034285822.1,XP_015674877.1,XP_007423229.1,107290507
XP_034285827.1,XP_015674879.1,XP_015743351.2,107290509
XP_034296543.1,XP_015674881.1,XP_007435829.2,107290512
XP_034274600.1,XP_015674893.1,XP_007430014.1,107290523
XP_034274603.1,XP_015674898.1,XP_007442642.1,107290527
XP_034287987.1,XP_015674906.1,XP_007424572.1,107290532
XP_034262193.1,XP_015674907.1,XP_007444926.1,107290535
XP_034297046.1,XP_015674909.1,XP_007438684.1,107290537
XP_034297047.1,XP_015674910.1,XP_025029219.1,107290538
XP_034297049.1,XP_015674911.1,XP_007438683.1,107290539
XP_034297055.1,XP_015674918.1,XP_007438264.1,107290547
XP_034288582.1,XP_015674929.1,XP_007424575.1,107290552
XP_034269920.1,XP_015674939.1,XP_025030160.1,107290565
XP_034259693.1,XP_015674941.1,XP_007430333.1,107290566
XP_034259737.1,XP_015674942.1,XP_025026850.1,107290567
XP_034298705.1,XP_015674943.1,XP_007435924.1,107290568
XP_034291334.1,XP_015674966.1,XP_015743789.1,107290589
XP_034291316.1,XP_015674969.1,XP_007440332.2,107290592
XP_034291318.1,XP_015674970.1,XP_007440335.1,107290593
XP_034283884.1,XP_015674981.1,XP_007439625.1,107290600
XP_034289918.1,XP_015674985.1,XP_007424582.1,107290601
XP_034270220.1,XP_015674983.1,XP_007443382.1,107290603
XP_034292471.1,XP_015674987.1,XP_007435846.1,107290606
XP_034293778.1,XP_029140619.1,XP_007433510.2,107290612
XP_034293782.1,XP_029140617.1,XP_025027510.1,107290624
XP_034293772.1,XP_029140613.1,XP_025031418.1,107290627
XP_034293777.1,XP_015675019.1,XP_007440378.2,107290633
XP_034287100.1,XP_015675064.1,XP_007431110.1,107290642
XP_034267303.1,XP_029140625.1,XP_015744981.1,107290652
XP_034267301.1,XP_015675042.1,XP_007441855.1,107290653
XP_034267339.1,XP_015675043.1,XP_015744982.1,107290654
XP_034291129.1,XP_015675055.1,XP_025024722.1,107290666
XP_034266428.1,XP_015675069.1,XP_007433082.1,107290678
XP_034266439.1,XP_015675070.1,XP_025025438.1,107290679
XP_034290759.1,XP_015675074.1,XP_007429924.1,107290682
XP_034286906.1,XP_015675087.1,XP_025031537.1,107290697
XP_034286894.1,XP_015675088.1,XP_007422082.1,107290698
XP_034286938.1,XP_015675089.1,XP_007422081.1,107290699
XP_034286991.1,XP_015675091.1,XP_015746021.1,107290702
XP_034287009.1,XP_015675092.1,XP_007422078.1,107290703
XP_034293119.1,XP_015675104.1,XP_025021840.1,107290712
