P_Mucros.pep,N_naja.pep
XP_029141860.1,Nana00148-RA
XP_015670739.1,Nana25021-RA
XP_015681113.2,Nana18593-RA
XP_029142902.1,Nana14672-RA
XP_015669301.1,Nana11203-RA
XP_029141272.1,Nana19321-RA
XP_015668250.1,Nana37597-RA
XP_015678175.1,Nana19356-RA
XP_015685907.1,Nana27724-RA
XP_029141249.1,Nana19359-RA
XP_029141659.1,Nana27727-RA
XP_029139754.1,Nana03527-RA
XP_015678762.1,Nana33077-RA
XP_015687493.1,Nana15269-RA
XP_015681340.1,Nana36905-RA
XP_029139402.1,Nana24357-RA
XP_015673264.1,Nana05920-RA
XP_029140306.1,Nana05926-RA
XP_015671298.1,Nana15253-RA
XP_015678873.1,Nana27449-RA
XP_015680352.1,Nana13531-RA
XP_015686550.1,Nana11423-RA
XP_015666119.1,Nana21433-RA
XP_029141550.1,Nana14983-RA
XP_015677512.1,Nana36297-RA
XP_029140719.1,Nana08536-RA
XP_015675506.1,Nana04950-RA
XP_015679470.1,Nana14975-RA
XP_015679478.1,Nana14974-RA
XP_029141574.1,Nana14973-RA
XP_029139900.1,Nana16286-RA
XP_015679500.1,Nana14970-RA
XP_029143090.1,Nana33725-RA
XP_015683854.2,Nana00119-RA
XP_015675518.1,Nana04965-RA
XP_015677255.1,Nana04169-RA
XP_029143086.1,Nana33722-RA
XP_015666747.1,Nana15217-RA
XP_029139876.1,Nana34748-RA
XP_015683768.1,Nana05697-RA
XP_029139934.1,Nana34746-RA
XP_029142431.1,Nana34335-RA
XP_015670239.1,Nana09890-RA
XP_029141106.1,Nana35158-RI
XP_015674612.1,Nana20587-RA
XP_015672128.1,Nana35832-RA
XP_015684357.2,Nana28078-RA
XP_015684319.1,Nana15399-RA
XP_029140547.1,Nana20569-RA
XP_015671207.1,Nana10460-RA
XP_015667101.1,Nana21664-RA
XP_015677648.1,Nana20533-RA
XP_015677646.2,Nana20529-RA
XP_029141062.1,Nana30621-RA
XP_015671160.1,Nana27468-RA
XP_015687321.1,Nana20502-RA
XP_015682661.1,Nana27485-RA
XP_015669665.1,Nana27489-RA
XP_029142642.1,Nana15446-RA
XP_015669657.2,Nana27497-RA
XP_015666292.1,Nana21744-RA
XP_029139613.1,Nana27505-RA
XP_015679227.2,Nana27515-RA
XP_015668010.1,Nana15511-RA
XP_015678824.1,Nana20375-RA
XP_015666226.1,Nana21933-RA
XP_015676839.1,Nana27530-RA
XP_015677098.1,Nana03911-RA
XP_015682488.1,Nana15531-RA
XP_015666234.1,Nana21904-RA
XP_015682590.1,Nana15539-RA
XP_015682551.1,Nana15543-RA
XP_015678748.1,Nana22091-RA
XP_015678703.1,Nana22095-RA
XP_015678629.1,Nana22106-RA
XP_015675805.1,Nana27416-RA
XP_015674511.1,Nana27433-RA
XP_015678596.1,Nana22152-RA
XP_029141392.1,Nana22153-RA
XP_015673630.1,Nana27408-RA
XP_029143070.1,Nana14939-RB
XP_015667223.1,Nana22293-RA
XP_015673345.1,Nana20251-RA
XP_015667259.1,Nana22320-RA
XP_015667229.1,Nana22347-RA
XP_029140316.1,Nana20247-RA
XP_015667263.1,Nana22386-RA
XP_015667244.1,Nana22403-RA
XP_015679351.1,Nana27381-RA
XP_015676824.1,Nana20204-RA
XP_029139012.1,Nana22443-RA
XP_015684766.1,Nana14915-RA
XP_015686468.1,Nana20177-RA
XP_015668553.1,Nana22494-RA
XP_015682117.1,Nana20156-RA
XP_029139246.1,Nana02964-RA
XP_015669739.1,Nana22522-RA
XP_015668310.2,Nana27341-RA
XP_015687244.1,Nana27338-RA
XP_015677067.1,Nana22586-RA
XP_015674544.2,Nana14864-RA
XP_015672313.1,Nana14836-RA
XP_029143111.1,Nana27323-RA
XP_015683389.1,Nana22678-RA
XP_015685576.1,Nana27302-RA
XP_015672757.1,Nana27301-RA
XP_015682977.1,Nana14668-RA
XP_015682723.1,Nana27272-RA
XP_015669645.1,Nana20062-RA
XP_015679051.2,Nana14659-RA
XP_015669639.1,Nana20058-RA
XP_015677031.1,Nana27264-RA
XP_015672474.1,Nana22699-RA
XP_015672203.1,Nana27256-RA
XP_015670648.1,Nana22722-RA
XP_015669211.1,Nana20039-RA
XP_015671028.1,Nana14622-RA
XP_015669074.1,Nana27239-RA
XP_015669206.1,Nana20030-RA
XP_015670525.1,Nana14561-RA
XP_015669091.1,Nana27218-RA
XP_015669093.1,Nana27215-RA
XP_015679132.1,Nana14553-RA
XP_029143076.1,Nana14304-RA
XP_015669917.1,Nana27146-RA
XP_015669934.1,Nana27142-RA
XP_015686994.1,Nana22832-RA
XP_015676716.1,Nana38351-RA
XP_029139690.1,Nana27133-RA
XP_015669936.1,Nana27131-RA
XP_015671746.1,Nana19969-RA
XP_015670100.1,Nana14319-RA
XP_015686999.1,Nana22850-RA
XP_029140033.1,Nana19955-RA
XP_015671767.1,Nana19952-RA
XP_015666863.1,Nana14337-RA
XP_015680005.1,Nana19935-RA
XP_029139465.1,Nana19842-RA
XP_015669681.1,Nana22891-RA
XP_015675259.1,Nana19821-RA
XP_015675267.1,Nana19808-RA
XP_015666848.1,Nana14363-RB
XP_015668409.1,Nana27063-RA
XP_015666837.1,Nana14371-RA
XP_015666873.1,Nana14372-RA
XP_015668154.1,Nana27059-RA
XP_015666451.1,Nana27029-RA
XP_015666807.1,Nana14408-RA
XP_029140318.1,Nana27019-RA
XP_029140368.1,Nana27013-RA
XP_015673682.1,Nana27011-RA
XP_015671977.1,Nana27003-RA
XP_015671976.2,Nana27002-RA
XP_015670120.1,Nana22951-RA
XP_015673963.1,Nana39344-RA
XP_029139046.1,Nana14418-RA
XP_015667524.1,Nana26998-RA
XP_015666794.1,Nana14424-RA
XP_015687674.2,Nana22965-RA
XP_015687700.1,Nana22968-RA
XP_015667018.1,Nana14443-RA
XP_015687711.1,Nana22987-RA
XP_015672153.1,Nana19228-RA
XP_015680609.1,Nana19237-RA
XP_015675168.1,Nana26956-RA
XP_015675169.1,Nana26959-RA
XP_015687795.1,Nana23024-RA
XP_015687680.2,Nana23039-RA
XP_015687683.1,Nana23049-RA
XP_015687798.1,Nana23052-RA
XP_015687754.1,Nana23063-RA
XP_015687756.1,Nana23065-RA
XP_015678333.1,Nana19541-RA
XP_015687644.1,Nana14160-RA
XP_015686191.1,Nana19533-RA
XP_015687646.1,Nana14172-RA
XP_015687764.1,Nana23081-RA
XP_015672970.1,Nana19511-RA
XP_015680924.1,Nana17735-RA
XP_015687693.1,Nana23129-RA
XP_015676305.1,Nana26801-RA
XP_015666542.1,Nana26767-RA
XP_029138880.1,Nana23148-RA
XP_029138871.1,Nana23149-RA
XP_015665941.1,Nana23156-RA
XP_029138879.1,Nana23160-RA
XP_015671011.1,Nana14246-RA
XP_029138890.1,Nana23210-RA
XP_015687171.1,Nana26900-RA
XP_015687825.1,Nana26426-RA
XP_015678670.1,Nana29719-RA
XP_015665952.1,Nana23267-RA
XP_015671921.1,Nana29661-RA
XP_015676830.1,Nana14035-RA
XP_015685355.1,Nana14021-RA
XP_015665686.1,Nana23287-RA
XP_029138840.1,Nana23291-RA
XP_015684725.1,Nana13973-RA
XP_015679235.1,Nana29555-RA
XP_015667536.1,Nana13961-RA
XP_015682835.1,Nana26207-RA
XP_015670164.1,Nana29576-RA
XP_029139199.1,Nana13953-RA
XP_029141182.1,Nana29602-RA
XP_015674812.1,Nana26198-RA
XP_015677760.1,Nana29616-RA
XP_015673789.1,Nana13917-RA
XP_015671959.1,Nana26184-RA
XP_015673796.1,Nana13911-RA
XP_015671964.1,Nana26182-RA
XP_015683346.1,Nana18416-RA
XP_015671059.1,Nana13873-RA
XP_015667763.1,Nana26032-RA
XP_029140172.1,Nana25948-RA
XP_015683545.2,Nana29423-RA
XP_015670950.1,Nana29468-RA
XP_015680364.1,Nana13805-RA
XP_015679519.1,Nana29484-RA
XP_015675688.1,Nana29497-RA
XP_015675424.1,Nana13980-RA
XP_029141796.1,Nana25862-RA
XP_015668444.1,Nana13719-RA
XP_015680587.1,Nana13728-RA
XP_015675495.1,Nana13731-RA
XP_015685215.1,Nana29122-RB
XP_029142581.1,Nana29223-RA
XP_015674712.2,Nana13645-RA
XP_015670402.1,Nana24411-RA
XP_015683542.1,Nana13518-RA
XP_015681237.1,Nana13513-RA
XP_015684064.1,Nana13475-RA
XP_015677410.1,Nana24545-RA
XP_015680078.1,Nana24553-RA
XP_015669077.1,Nana29311-RA
XP_015672414.1,Nana24559-RA
XP_015683582.1,Nana29293-RA
XP_015669293.1,Nana24574-RA
XP_015669289.1,Nana24583-RA
XP_015682589.1,Nana24633-RA
XP_029143011.1,Nana29517-RA
XP_015682066.1,Nana18626-RA
XP_029142088.1,Nana18629-RA
XP_015686462.1,Nana18140-RA
XP_015680890.1,Nana31166-RA
XP_015674475.1,Nana24848-RA
XP_015685287.2,Nana24849-RA
XP_015685471.1,Nana24856-RA
XP_015687289.1,Nana18203-RA
XP_029143099.1,Nana18212-RA
XP_015671375.1,Nana24870-RA
XP_015669419.1,Nana18256-RA
XP_015668709.1,Nana24887-RA
XP_015669998.1,Nana17993-RA
XP_015676298.1,Nana24909-RA
XP_015676806.1,Nana24937-RA
XP_015672343.1,Nana24946-RA
XP_015674667.1,Nana24995-RA
XP_015671673.2,Nana25003-RA
XP_015674825.1,Nana18747-RA
XP_015672046.1,Nana39058-RA
XP_015671139.1,Nana25072-RA
XP_015666981.1,Nana18087-RA
XP_015666959.1,Nana18091-RA
XP_015666947.1,Nana18092-RA
XP_015669905.2,Nana25152-RA
XP_015672514.1,Nana25140-RA
XP_015681430.1,Nana18106-RA
XP_015672520.1,Nana25137-RA
XP_015679713.1,Nana25224-RA
XP_015679458.1,Nana25223-RA
XP_015678775.1,Nana18131-RA
XP_015681205.1,Nana17924-RA
XP_015678216.1,Nana25263-RA
XP_015670574.1,Nana17905-RB
XP_015666930.1,Nana17870-RA
XP_015666585.1,Nana17866-RA
XP_015683701.1,Nana25308-RA
XP_015670209.1,Nana25348-RA
XP_015679408.1,Nana25377-RA
XP_015684232.2,Nana25407-RA
XP_015674054.2,Nana17557-RA
XP_015670666.1,Nana12364-RA
XP_029140677.1,Nana12374-RA
XP_015674236.1,Nana12299-RC
XP_015678199.1,Nana12218-RA
XP_015675635.1,Nana12187-RA
XP_029140445.1,Nana12142-RA
XP_015665399.1,Nana12116-RA
XP_015665434.1,Nana12111-RA
XP_015687429.1,Nana12053-RA
XP_015687428.1,Nana12052-RA
XP_015687424.1,Nana12042-RA
XP_015679903.1,Nana12027-RA
XP_015666604.1,Nana11864-RA
XP_015670745.2,Nana11853-RA
XP_029141203.1,Nana11836-RA
XP_015681481.1,Nana11790-RA
XP_015679330.1,Nana11756-RA
XP_029142279.1,Nana11716-RA
XP_015679291.1,Nana11717-RA
XP_015667995.1,Nana11709-RA
XP_015667991.1,Nana11706-RA
XP_015679140.1,Nana11627-RA
XP_015679139.1,Nana11624-RA
XP_015678870.1,Nana11597-RA
XP_015674690.1,Nana11395-RA
XP_015675070.1,Nana11448-RA
XP_015679577.1,Nana11468-RA
XP_015680584.1,Nana11485-RA
XP_015680751.1,Nana11492-RA
XP_015675072.1,Nana11441-RA
XP_015680749.1,Nana11490-RA
XP_015676120.1,Nana10189-RA
XP_015677945.1,Nana05786-RA
XP_015687026.1,Nana05751-RA
XP_029142358.1,Nana05570-RA
XP_015679246.1,Nana05585-RA
XP_015672640.1,Nana10316-RA
XP_015682916.1,Nana05556-RA
XP_015682259.1,Nana05550-RA
XP_015673755.2,Nana10282-RA
XP_015682216.1,Nana05546-RA
XP_015682150.1,Nana05525-RA
XP_029140740.1,Nana10224-RA
XP_015680971.1,Nana05484-RA
XP_015665403.1,Nana05464-RA
XP_015677703.1,Nana05344-RA
XP_015677701.1,Nana05341-RA
XP_015677689.1,Nana05334-RA
XP_029139439.1,Nana10872-RA
XP_015671081.1,Nana10911-RA
XP_015672984.2,Nana05273-RA
XP_015672102.1,Nana05173-RA
XP_015669062.1,Nana05164-RA
XP_015669061.1,Nana05154-RA
XP_015681267.1,Nana05111-RA
XP_015683040.1,Nana10982-RA
XP_015678864.1,Nana04984-RA
XP_015684816.1,Nana05005-RA
XP_015670596.1,Nana10666-RA
XP_015670613.1,Nana10670-RA
XP_029139963.1,Nana05038-RA
XP_015674133.1,Nana04886-RA
XP_015677547.1,Nana04910-RA
XP_015677546.1,Nana04911-RA
XP_015673952.1,Nana04835-RA
XP_015687199.1,Nana04842-RA
XP_015687196.2,Nana04855-RA
XP_015680342.1,Nana04859-RA
XP_015673948.1,Nana04832-RA
XP_015669559.1,Nana04748-RA
XP_015675283.1,Nana10086-RA
XP_015680763.1,Nana04620-RA
XP_029142408.1,Nana04617-RA
XP_015669408.1,Nana10172-RA
XP_015669385.1,Nana10169-RA
XP_015675406.1,Nana10162-RA
XP_015683673.1,Nana04511-RA
XP_029140579.1,Nana04438-RB
XP_015682421.1,Nana04425-RA
XP_015670794.1,Nana09731-RA
XP_015682487.1,Nana04386-RA
XP_029139808.1,Nana09711-RA
XP_015682760.1,Nana04358-RA
XP_015682817.1,Nana04354-RA
XP_015672915.1,Nana09686-RA
XP_029140256.1,Nana09680-RA
XP_015674381.1,Nana09635-RA
XP_015667473.1,Nana04310-RA
XP_029140074.1,Nana04301-RA
XP_015678264.1,Nana09322-RA
XP_015675549.1,Nana04264-RA
XP_015670684.1,Nana09348-RB
XP_015670686.1,Nana09352-RA
XP_015675771.1,Nana03703-RA
XP_015680985.1,Nana09377-RA
XP_015665667.1,Nana09398-RA
XP_015665679.1,Nana09402-RA
XP_015679975.1,Nana03809-RA
XP_015675981.1,Nana03883-RA
XP_015675972.1,Nana03862-RA
XP_015685583.1,Nana09456-RA
XP_015676676.1,Nana04119-RA
XP_015675205.1,Nana04102-RA
XP_015675203.2,Nana04098-RA
XP_015680498.1,Nana04089-RA
XP_029140789.1,Nana04080-RA
XP_015678268.1,Nana04025-RA
XP_015670545.1,Nana09535-RA
XP_029139812.1,Nana09537-RA
XP_015667217.1,Nana09559-RA
XP_015670672.1,Nana03996-RA
XP_015673004.1,Nana09594-RA
XP_015686266.1,Nana09592-RA
XP_015672365.1,Nana09116-RA
XP_015686591.1,Nana03075-RA
XP_015686569.1,Nana03074-RA
XP_015677040.1,Nana09075-RA
XP_015674183.1,Nana09046-RA
XP_029142989.1,Nana03049-RA
XP_015674981.1,Nana01317-RA
XP_029143175.1,Nana03029-RA
XP_015682443.1,Nana08964-RA
XP_015678727.1,Nana03018-RA
XP_015679701.1,Nana03015-RA
XP_015675248.1,Nana03004-RA
XP_015672612.1,Nana03281-RA
XP_015667873.1,Nana02857-RA
XP_015667744.1,Nana02832-RA
XP_015681444.1,Nana08849-RA
XP_015671888.1,Nana00982-RA
XP_015671902.1,Nana00978-RA
XP_015674154.1,Nana02674-RA
XP_015667826.1,Nana02977-RA
XP_015679446.1,Nana08674-RA
XP_015673378.1,Nana08654-RA
XP_015672802.1,Nana08650-RA
XP_015672668.2,Nana08583-RA
XP_015675366.1,Nana02584-RA
XP_015679522.1,Nana02560-RA
XP_015675482.1,Nana08551-RA
XP_015680627.1,Nana02540-RA
XP_015674730.1,Nana02625-RA
XP_015676470.1,Nana02634-RA
XP_015676472.1,Nana02637-RA
XP_015677819.1,Nana08476-RA
XP_015674635.1,Nana02444-RA
XP_015672302.2,Nana08454-RA
XP_015678782.1,Nana02490-RA
XP_029140062.1,Nana08431-RA
XP_029142521.1,Nana08366-RA
XP_015682060.1,Nana02199-RA
XP_015672871.1,Nana02221-RA
XP_015672869.1,Nana02224-RA
XP_015671818.1,Nana08352-RA
XP_015668335.1,Nana02245-RA
XP_015680536.1,Nana02046-RA
XP_015687039.1,Nana08312-RA
XP_029143065.1,Nana08306-RA
XP_015672387.1,Nana02129-RA
XP_015680451.1,Nana08274-RA
XP_015676803.1,Nana02110-RA
XP_029140341.1,Nana08258-RA
XP_015682667.1,Nana02097-RA
XP_015671125.1,Nana02091-RA
XP_015671120.2,Nana02086-RA
XP_015681129.1,Nana08165-RA
XP_015675347.1,Nana08156-RA
XP_015667907.1,Nana22054-RA
XP_015667180.1,Nana22012-RA
XP_015679201.1,Nana08064-RA
XP_029141935.1,Nana07992-RA
XP_015677377.1,Nana07975-RA
XP_015670792.1,Nana01852-RA
XP_015670432.1,Nana10603-RA
XP_015670434.1,Nana10600-RA
XP_015676611.2,Nana01705-RA
XP_029142122.1,Nana01727-RA
XP_015678634.1,Nana01741-RA
XP_015677629.1,Nana01750-RA
XP_029140104.1,Nana01522-RA
XP_015676852.1,Nana01540-RA
XP_015678293.1,Nana01565-RA
XP_015679884.1,Nana01620-RA
XP_015680395.1,Nana01625-RA
XP_015674526.1,Nana01631-RA
XP_029140533.1,Nana01636-RA
XP_029142331.1,Nana01646-RA
XP_015668146.1,Nana12284-RA
XP_015680692.1,Nana01389-RA
XP_015680798.1,Nana01372-RA
XP_015679404.1,Nana01367-RA
XP_029140426.1,Nana01410-RA
XP_029139975.1,Nana01434-RA
XP_015671489.1,Nana01438-RA
XP_015671992.1,Nana01482-RA
XP_015687406.1,Nana01210-RA
XP_015687412.1,Nana01226-RA
XP_015674734.1,Nana01234-RA
XP_015671885.1,Nana03462-RA
XP_015667651.1,Nana00913-RA
XP_015674460.1,Nana00900-RA
XP_015686911.1,Nana00860-RA
XP_015669405.1,Nana10771-RA
XP_015666024.1,Nana23747-RA
XP_015679918.1,Nana04014-RA
XP_029141657.1,Nana06417-RA
XP_015672679.1,Nana00576-RA
XP_015668951.1,Nana17642-RA
XP_015667649.1,Nana33356-RA
XP_015681043.1,Nana36584-RA
XP_015682467.1,Nana06521-RA
XP_015674740.1,Nana33943-RA
XP_015673466.1,Nana28220-RA
XP_015666253.1,Nana32003-RA
XP_015665535.1,Nana06054-RA
XP_015670779.1,Nana33293-RA
XP_029140466.1,Nana02691-RA
XP_015667159.1,Nana29836-RA
XP_015676457.1,Nana32971-RA
XP_015678054.1,Nana35184-RA
XP_015670340.1,Nana00678-RA
XP_015671280.1,Nana34721-RA
XP_015670341.1,Nana00686-RA
XP_029140455.1,Nana35554-RA
XP_015671289.1,Nana34713-RA
XP_015669255.1,Nana00787-RA
XP_029138931.1,Nana06282-RA
XP_015666212.1,Nana06261-RA
XP_015675871.1,Nana37622-RA
XP_015677860.1,Nana30565-RA
XP_029140813.1,Nana30908-RA
XP_029139594.1,Nana19631-RA
XP_015671834.1,Nana14760-RA
XP_015670972.1,Nana25519-RA
XP_029141928.1,Nana17307-RA
XP_015678801.1,Nana05898-RA
XP_015681529.1,Nana39917-RA
XP_015684451.1,Nana24337-RA
XP_015671310.1,Nana19674-RA
XP_015668366.1,Nana29027-RA
XP_029142029.1,Nana36502-RA
XP_015684760.1,Nana18437-RB
XP_015683310.1,Nana13144-RA
XP_029139561.1,Nana10762-RA
XP_015666321.1,Nana15804-RA
XP_015687113.1,Nana36733-RA
XP_015672276.1,Nana26129-RA
XP_029140128.1,Nana26125-RA
XP_015680617.1,Nana17730-RA
XP_015675057.1,Nana18854-RA
XP_015673479.1,Nana32932-RA
XP_015672281.2,Nana26122-RC
XP_029140127.1,Nana26122-RA
XP_015666310.1,Nana15818-RA
XP_029138949.1,Nana15821-RA
XP_029138766.1,Nana32722-RA
XP_015670407.1,Nana26116-RA
XP_015678958.1,Nana08238-RA
XP_029139386.1,Nana03224-RB
XP_015679598.1,Nana11304-RA
XP_029139387.1,Nana03229-RA
XP_015673957.1,Nana11309-RA
XP_015682693.1,Nana08232-RA
XP_015666990.1,Nana15701-RA
XP_015667120.1,Nana29875-RA
XP_015681311.1,Nana12872-RA
XP_015667110.1,Nana29843-RA
XP_015678990.1,Nana08219-RA
XP_015676923.1,Nana37520-RA
XP_015676926.1,Nana37511-RA
XP_029139152.1,Nana33588-RA
XP_015668782.1,Nana24893-RA
XP_015665447.1,Nana05994-RA
XP_015667386.1,Nana33590-RA
XP_015671266.1,Nana34743-RA
XP_015680856.1,Nana35611-RA
XP_029142603.1,Nana13091-RA
XP_015666083.1,Nana21882-RA
XP_029142577.1,Nana36912-RA
XP_015666109.1,Nana21861-RA
XP_015683446.1,Nana29431-RA
XP_015666079.1,Nana21824-RA
XP_015677088.1,Nana17524-RA
XP_015683393.1,Nana34118-RA
XP_015668845.1,Nana36264-RA
XP_015670041.1,Nana28498-RA
XP_015680679.1,Nana17487-RA
XP_015675014.2,Nana34367-RA
XP_029140620.1,Nana34366-RA
XP_015674987.1,Nana34364-RB
XP_029140588.1,Nana13756-RA
XP_015670055.1,Nana28488-RA
XP_015672778.1,Nana25630-RA
XP_015675021.1,Nana34433-RA
XP_029140617.1,Nana34413-RB
XP_015682304.1,Nana28465-RA
XP_015666250.1,Nana31979-RA
XP_015675018.1,Nana34408-RA
XP_029140317.1,Nana03102-RA
XP_015674052.1,Nana12136-RA
XP_015671539.1,Nana37429-RA
XP_015674840.1,Nana03114-RA
XP_015675149.1,Nana30031-RA
XP_015669354.2,Nana30952-RA
XP_015673618.1,Nana03115-RA
XP_015675146.1,Nana30026-RA
XP_029139553.1,Nana30946-RA
XP_015675097.1,Nana03155-RA
XP_015669046.1,Nana28840-RA
XP_015672147.1,Nana19143-RA
XP_015675089.1,Nana03166-RA
XP_015672150.1,Nana19154-RA
XP_015676826.1,Nana14037-RA
XP_015667443.1,Nana34605-RA
XP_015666594.1,Nana28010-RA
XP_015673337.1,Nana34546-RA
XP_015685769.1,Nana32952-RA
XP_015665526.1,Nana06013-RA
XP_015666924.1,Nana31795-RA
XP_029139983.1,Nana04780-RA
XP_015679623.1,Nana00276-RA
XP_015673888.1,Nana04787-RA
XP_029138787.1,Nana21203-RA
XP_029138791.1,Nana21204-RA
XP_015686928.1,Nana00447-RA
XP_015667813.1,Nana02967-RA
XP_015676252.1,Nana34263-RA
XP_015668733.1,Nana19117-RB
XP_015670958.1,Nana25548-RA
XP_015672379.1,Nana12419-RA
XP_015674759.1,Nana33969-RA
XP_029141907.1,Nana11008-RA
XP_015687235.1,Nana33758-RA
XP_015674660.1,Nana03444-RA
XP_015672325.1,Nana31702-RA
XP_015676586.1,Nana10567-RA
XP_015671537.1,Nana37422-RA
XP_015686614.1,Nana30695-RA
XP_015672331.1,Nana31694-RA
XP_015684284.1,Nana14684-RA
XP_015684204.1,Nana36130-RC
XP_029142656.1,Nana14687-RA
XP_015680072.1,Nana30706-RA
XP_015685072.1,Nana14689-RA
XP_015683769.1,Nana14690-RA
XP_015667361.1,Nana03433-RA
XP_015678822.1,Nana14698-RA
XP_015684360.1,Nana13244-RA
XP_015684352.1,Nana13160-RA
XP_015678328.1,Nana33336-RA
XP_015687911.1,Nana32606-RA
XP_015667616.1,Nana11034-RA
XP_015681104.1,Nana04680-RA
XP_015667411.1,Nana33576-RA
XP_015667598.1,Nana11013-RA
XP_015669517.1,Nana11069-RA
XP_015668307.1,Nana00606-RA
XP_029140833.1,Nana20947-RA
XP_015669521.1,Nana11060-RA
XP_015669555.1,Nana11058-RA
XP_015678478.1,Nana35755-RA
XP_029140578.1,Nana00940-RA
XP_015684551.1,Nana21071-RA
XP_015674780.1,Nana00938-RA
XP_015675915.1,Nana11337-RA
XP_015679827.1,Nana36782-RA
XP_015680088.1,Nana34197-RA
XP_015674275.1,Nana32161-RA
XP_015671830.1,Nana32899-RA
XP_015687632.1,Nana27185-RA
XP_015682230.1,Nana25446-RA
XP_029141006.1,Nana15007-RA
XP_029141004.1,Nana15006-RA
XP_015682103.1,Nana25462-RA
XP_029141005.1,Nana15004-RA
XP_015682771.1,Nana25466-RA
XP_015675378.1,Nana19422-RA
XP_015668372.1,Nana29048-RA
XP_015666297.1,Nana19409-RA
XP_015666309.1,Nana19403-RA
XP_015676453.1,Nana32988-RD
XP_029143092.1,Nana33714-RA
XP_029139582.1,Nana09835-RA
XP_015683560.1,Nana24063-RA
XP_015665864.1,Nana09805-RA
XP_015677933.1,Nana05904-RA
XP_015683256.1,Nana20867-RA
XP_015685842.1,Nana30339-RA
XP_015679325.1,Nana13252-RA
XP_015684985.1,Nana20864-RA
XP_015671710.1,Nana33192-RA
XP_015685494.1,Nana00294-RA
XP_029139806.1,Nana23974-RA
XP_015672095.1,Nana30316-RB
XP_029140920.1,Nana34218-RA
XP_015676640.1,Nana34217-RA
XP_015668735.1,Nana33799-RA
XP_015679494.1,Nana29985-RA
XP_015682908.1,Nana39394-RA
XP_015671104.1,Nana24113-RA
XP_015675679.1,Nana33261-RA
XP_015678808.1,Nana24231-RB
XP_015676082.1,Nana32289-RB
XP_015679635.1,Nana30004-RA
XP_015675591.1,Nana28529-RA
XP_015684038.1,Nana27873-RA
XP_015680518.1,Nana23938-RA
XP_015666633.1,Nana28053-RA
XP_015679620.1,Nana28510-RA
XP_015676090.2,Nana32275-RE
XP_015676093.1,Nana32273-RC
XP_015668920.1,Nana19856-RA
XP_015676260.1,Nana34261-RA
XP_015679748.1,Nana20750-RA
XP_015676073.1,Nana32266-RA
XP_029140793.1,Nana32263-RA
XP_015671403.1,Nana01816-RA
XP_015680418.1,Nana01906-RA
XP_015679219.1,Nana01914-RA
XP_029139961.1,Nana01813-RA
XP_015671397.1,Nana01811-RA
XP_015687368.1,Nana09972-RA
XP_015669280.2,Nana19924-RA
XP_015668257.1,Nana37568-RA
XP_015667631.1,Nana12571-RA
XP_029140023.1,Nana01990-RA
XP_029139539.1,Nana19925-RA
XP_015674219.1,Nana01951-RA
XP_029140976.1,Nana36021-RA
XP_015669743.1,Nana16102-RA
XP_029143096.1,Nana01965-RA
XP_015687247.1,Nana01966-RA
XP_015672876.1,Nana16821-RA
XP_015675074.1,Nana37357-RA
XP_015672873.2,Nana16824-RA
XP_015682774.1,Nana20834-RA
XP_015681274.1,Nana37266-RA
XP_015670657.1,Nana30150-RA
XP_015674082.1,Nana33653-RA
XP_015674083.1,Nana33652-RA
XP_015674084.2,Nana33650-RA
XP_015681786.1,Nana13576-RA
XP_029141834.1,Nana00067-RA
XP_015673833.1,Nana00056-RA
XP_029141515.1,Nana10333-RA
XP_015668891.1,Nana36260-RA
XP_015681305.1,Nana00207-RA
XP_015675436.1,Nana10375-RA
XP_015678483.1,Nana22195-RA
XP_015681017.1,Nana32205-RA
XP_015677793.1,Nana32226-RA
XP_015680202.2,Nana32229-RA
XP_015682621.1,Nana18420-RA
XP_015680148.1,Nana20334-RA
XP_015678952.1,Nana35931-RA
XP_015679328.1,Nana18704-RA
XP_015677167.1,Nana31382-RA
XP_029141270.1,Nana33328-RA
XP_015681595.1,Nana28396-RA
XP_015677163.1,Nana31388-RA
XP_015675558.1,Nana31391-RA
XP_029140938.1,Nana05833-RA
XP_029139358.1,Nana29071-RA
XP_015666905.1,Nana31878-RA
XP_015687471.1,Nana27451-RA
XP_029143143.1,Nana27455-RA
XP_029140309.1,Nana34518-RA
XP_015673525.1,Nana28624-RA
XP_015670938.1,Nana34800-RA
XP_015673325.1,Nana34500-RB
XP_015671551.1,Nana37407-RA
XP_029142575.1,Nana16885-RA
XP_015686752.1,Nana14699-RA
XP_029139870.1,Nana34790-RA
XP_015668692.1,Nana14720-RA
XP_015670912.1,Nana34786-RC
XP_015667203.1,Nana16863-RA
XP_015667210.1,Nana16862-RA
XP_029141234.1,Nana05935-RA
XP_015671306.1,Nana19692-RA
XP_029143181.1,Nana30185-RA
XP_015667007.1,Nana15721-RA
XP_015676823.1,Nana16807-RA
XP_015687521.1,Nana15323-RB
XP_015668036.1,Nana14466-RA
XP_015679015.1,Nana03596-RA
XP_015666182.2,Nana06244-RA
XP_015676021.1,Nana08712-RA
XP_015673686.1,Nana14769-RA
XP_029138928.1,Nana06245-RA
XP_015681472.1,Nana31561-RA
XP_015666995.1,Nana15712-RA
XP_015669105.1,Nana14776-RA
XP_015684568.1,Nana21072-RA
XP_015666936.1,Nana31842-RA
