P_Mucros.pep,E_macularius_gene_v1.0.pep
XP_015671768.1,CCG001556.2
XP_015669677.1,CCG016673.1
XP_015669698.1,CCG008586.3
XP_015666850.1,CCG009563.2
XP_015668128.1,CCG023408.1
XP_015668119.1,CCG019634.1
XP_015670247.1,CCG016664.2
XP_015687780.1,CCG008071.1
XP_015668274.1,CCG003033.1
XP_015666828.1,CCG004636.1
XP_015670111.1,CCG008604.3
XP_015666810.1,CCG004627.1
XP_015676264.1,CCG008764.1
XP_015687713.1,CCG008608.3
XP_015666394.1,CCG003247.1
XP_015687721.1,CCG000627.1
XP_029143204.1,CCG005607.1
XP_015687797.1,CCG002747.1
XP_015687858.1,CCG013697.2
XP_029143208.1,CCG013701.1
XP_029138958.1,CCG007173.1
XP_015666366.1,CCG017080.1
XP_015669705.1,CCG015168.1
XP_015687845.1,CCG010535.1
XP_029143193.1,CCG000832.1
XP_015687645.1,CCG017068.2
XP_015675432.1,CCG010551.1
XP_015680618.1,CCG011585.1
XP_015678648.1,CCG008673.1
XP_015672717.1,CCG013023.1
XP_015676195.1,CCG007814.1
XP_029143142.1,CCG002301.3
XP_029138990.1,CCG018723.1
XP_015687465.1,CCG018947.1
XP_029142545.1,CCG008366.1
XP_015666562.1,CCG014836.1
XP_015675911.1,CCG003460.1
XP_015667980.2,CCG006670.1
XP_015687563.1,CCG004209.1
XP_015668083.2,CCG010836.1
XP_029138877.1,CCG017827.2
XP_015687817.2,CCG012103.1
XP_015687819.1,CCG012105.1
XP_015687828.1,CCG012106.1
XP_029140865.1,CCG012391.1
XP_015669041.1,CCG009523.1
XP_015669037.1,CCG009525.3
XP_015670323.2,CCG021850.1
XP_015665662.1,CCG009340.1
XP_015667305.1,CCG006031.1
XP_015678348.1,CCG009792.1
XP_015665683.1,CCG009316.1
XP_015673791.1,CCG007740.1
XP_015672977.1,CCG019060.3
XP_029141805.1,CCG022115.1
XP_015670729.1,CCG015579.1
XP_015686771.1,CCG023734.1
XP_029139236.1,CCG004322.1
XP_029139235.1,CCG004316.1
XP_015667755.1,CCG004312.1
XP_015682854.1,CCG020220.1
XP_015667766.1,CCG004309.1
XP_015683649.1,CCG005386.1
XP_015672462.1,CCG017964.1
XP_015670948.1,CCG019343.2
XP_029143066.1,CCG018939.1
XP_015687401.1,CCG007133.1
XP_015674394.1,CCG002404.1
XP_015669262.1,CCG018436.2
XP_015680365.1,CCG018435.1
XP_015672492.1,CCG003582.1
XP_015680700.1,CCG006282.1
XP_015669908.1,CCG022762.1
XP_029142144.1,CCG023352.3
XP_015669906.1,CCG021302.1
XP_015681913.1,CCG004964.1
XP_015681153.1,CCG022903.1
XP_015685241.1,CCG022899.1
XP_015672136.1,CCG007462.1
XP_029141529.1,CCG012476.1
XP_015681235.1,CCG024101.1
XP_029140359.1,CCG001530.1
XP_015682181.1,CCG024642.1
XP_029141050.1,CCG021005.1
XP_015683623.1,CCG001272.1
XP_015682847.1,CCG020304.1
XP_015681655.1,CCG011348.1
XP_015680786.1,CCG002447.1
XP_015678567.1,CCG008308.1
XP_029140655.1,CCG017456.1
XP_015687445.1,CCG007800.2
XP_015683924.1,CCG023505.1
XP_015674985.1,CCG009151.1
XP_015674828.1,CCG015052.1
XP_015684396.1,CCG007900.1
XP_015686667.1,CCG007897.1
XP_015679190.1,CCG009202.1
XP_015676846.1,CCG001495.1
XP_015676666.1,CCG009264.1
XP_029142087.1,CCG008419.2
XP_015682065.1,CCG008417.1
XP_015673199.1,CCG015876.1
XP_029140724.1,CCG006676.2
XP_015678437.1,CCG018064.1
XP_015677847.2,CCG003145.1
XP_029140973.1,CCG020519.1
XP_015685786.1,CCG015510.1
XP_015687261.1,CCG003545.1
XP_015687281.1,CCG003546.1
XP_015687299.1,CCG003677.1
XP_029139564.1,CCG008569.1
XP_015686020.1,CCG005268.1
XP_015668720.1,CCG005266.1
XP_015668730.1,CCG005265.1
XP_029140848.1,CCG002941.1
XP_015671476.1,CCG023899.1
XP_015671527.1,CCG023891.1
XP_015672348.1,CCG012242.1
XP_015672028.1,CCG008250.1
XP_029139846.1,CCG013339.1
XP_015681147.1,CCG014264.3
XP_029141377.1,CCG006101.1
XP_015681187.2,CCG008579.1
XP_015673673.1,CCG003313.1
XP_015669889.1,CCG009929.1
XP_015681425.1,CCG004831.1
XP_015678973.1,CCG019027.1
XP_015674061.1,CCG004883.1
XP_015674466.1,CCG003411.1
XP_015679310.2,CCG003377.1
XP_015683433.1,CCG003407.1
XP_015666813.1,CCG003403.1
XP_015666359.1,CCG003398.1
XP_015687847.1,CCG005601.1
XP_015687598.1,CCG023651.1
XP_015679741.1,CCG001012.1
XP_029141279.1,CCG002552.1
XP_015672608.2,CCG012373.1
XP_015680744.1,CCG012375.1
XP_015680746.1,CCG006715.1
XP_029140144.1,CCG006704.2
XP_015685446.1,CCG016757.2
XP_029142855.1,CCG016755.1
XP_029140063.1,CCG016747.1
XP_015668179.1,CCG020440.1
XP_015675628.1,CCG012288.2
XP_015674911.1,CCG008091.1
XP_015674050.1,CCG007610.1
XP_015688044.1,CCG012948.1
XP_015668165.1,CCG012608.1
XP_015669402.1,CCG008040.1
XP_029139568.1,CCG007450.2
XP_015666626.1,CCG001439.1
XP_015673579.1,CCG011263.1
XP_029140436.1,CCG011873.1
XP_015667990.1,CCG007237.1
XP_015672197.1,CCG021095.1
XP_015667963.1,CCG021104.1
XP_015679136.1,CCG021108.2
XP_015673516.1,CCG021116.1
XP_015676107.1,CCG007537.1
XP_015683977.1,CCG012501.1
XP_015668561.1,CCG006792.1
XP_015674702.1,CCG005794.1
XP_029140925.1,CCG020696.1
XP_029141987.1,CCG013713.1
XP_029140467.1,CCG013716.1
XP_015674556.1,CCG002115.1
XP_029140218.1,CCG000562.1
XP_029139921.1,CCG014270.1
XP_015668111.1,CCG008160.1
XP_015669735.1,CCG013659.1
XP_015669734.2,CCG013660.1
XP_029139440.1,CCG019406.1
XP_015674855.2,CCG010492.1
XP_015672983.1,CCG001422.1
XP_029141993.1,CCG019492.1
XP_015671240.1,CCG017934.2
XP_015680723.1,CCG003010.1
XP_015683112.1,CCG003570.1
XP_015682385.1,CCG002686.1
XP_029142199.1,CCG016934.1
XP_015680568.1,CCG011272.1
XP_015670601.1,CCG006620.2
XP_015667703.1,CCG006615.1
XP_029139230.1,CCG006605.1
XP_029139229.1,CCG006604.1
XP_015671420.2,CCG015783.2
XP_015674773.1,CCG020576.1
XP_015674137.1,CCG001893.1
XP_015674142.1,CCG012973.1
XP_015677550.1,CCG012966.1
XP_015687339.1,CCG005853.1
XP_029143108.1,CCG023019.1
XP_029140666.1,CCG017996.1
XP_015674739.1,CCG004758.1
XP_015681634.2,CCG010295.1
XP_029139861.1,CCG007658.1
XP_015670764.1,CCG007667.1
XP_029141346.1,CCG000593.1
XP_029140943.1,CCG004811.1
XP_015677870.1,CCG012526.1
XP_029139176.1,CCG006564.1
XP_015670683.1,CCG004151.1
XP_015675770.1,CCG020962.1
XP_015673124.1,CCG008962.1
XP_015679974.1,CCG017985.1
XP_029140784.1,CCG016395.1
XP_015675963.1,CCG010930.1
XP_015677119.1,CCG023529.1
XP_029140507.1,CCG020530.1
XP_015677318.1,CCG009768.1
XP_015677314.1,CCG009764.1
XP_015670532.1,CCG009759.1
XP_029139836.1,CCG016431.3
XP_015672181.1,CCG016412.2
XP_015682860.1,CCG016404.1
XP_015675602.1,CCG012541.1
XP_015669598.2,CCG020852.1
XP_015672368.1,CCG017196.1
XP_015677910.1,CCG023493.1
XP_015681461.1,CCG003031.1
XP_015672133.1,CCG001658.1
XP_015686030.1,CCG003434.1
XP_015668514.1,CCG014883.1
XP_029140626.1,CCG005772.1
XP_015677751.1,CCG016340.1
XP_015674729.1,CCG013884.1
XP_015672684.1,CCG019744.2
XP_015681477.1,CCG011826.2
XP_015674156.1,CCG024397.1
XP_029140463.1,CCG014778.1
XP_015681856.1,CCG010187.1
XP_015667820.1,CCG023614.1
XP_015667833.2,CCG023622.1
XP_015679447.1,CCG016951.1
XP_015673373.1,CCG003560.1
XP_015673375.1,CCG006197.1
XP_029139243.1,CCG023635.1
XP_029139239.1,CCG023636.1
XP_015672817.1,CCG017674.2
XP_029140246.1,CCG017670.2
XP_029140250.1,CCG017669.1
XP_015671845.1,CCG003357.1
XP_015672843.1,CCG011047.1
XP_015671844.1,CCG003355.1
XP_015675515.1,CCG013289.1
XP_015675743.1,CCG019367.1
XP_015675742.1,CCG006288.1
XP_015671640.1,CCG006294.1
XP_015672658.1,CCG014851.1
XP_015676821.1,CCG006643.1
XP_015672359.1,CCG001125.1
XP_015678784.1,CCG001121.1
XP_015678314.1,CCG006392.2
XP_029141293.1,CCG007620.1
XP_029141292.1,CCG007619.1
XP_029141695.1,CCG024624.1
XP_015684500.1,CCG017039.1
XP_015686717.1,CCG020922.1
XP_015672867.1,CCG005317.2
XP_015668337.1,CCG013451.1
XP_015680244.1,CCG023334.1
XP_015668344.1,CCG013457.2
XP_015677616.1,CCG012234.1
XP_015680537.1,CCG003862.1
XP_015680538.1,CCG003861.1
XP_015687036.1,CCG009432.1
XP_015682557.1,CCG004874.1
XP_015677884.1,CCG021324.1
XP_015672383.1,CCG021327.1
XP_015678581.1,CCG002310.1
XP_015679580.1,CCG014163.2
XP_015667488.1,CCG023980.1
XP_015680091.2,CCG021062.2
XP_015667908.1,CCG017612.1
XP_015680704.1,CCG007412.1
XP_029143095.1,CCG020863.1
XP_015687571.1,CCG016843.1
XP_015681402.1,CCG022132.2
XP_015672293.1,CCG008506.1
XP_015677384.1,CCG013328.2
XP_015677376.1,CCG013324.1
XP_015675288.1,CCG001226.2
XP_015677456.1,CCG004557.1
XP_015670423.1,CCG005903.1
XP_015683038.1,CCG004589.3
XP_015677853.1,CCG011524.2
XP_015681369.1,CCG020622.1
XP_015680990.1,CCG005739.1
XP_015680991.1,CCG005742.1
XP_029141824.1,CCG005743.1
XP_015672339.1,CCG011385.1
XP_015677491.1,CCG017887.1
XP_015672397.2,CCG018588.1
XP_015675598.1,CCG019270.1
XP_015679885.1,CCG010942.1
XP_015668133.1,CCG008403.1
XP_015680796.1,CCG013786.1
XP_015673976.1,CCG017620.2
XP_029139978.1,CCG016686.1
XP_015671983.1,CCG015029.1
XP_015672704.1,CCG007709.1
XP_015673502.1,CCG018477.1
XP_015676862.1,CCG004204.1
XP_015687404.1,CCG007805.2
XP_015687413.1,CCG010287.1
XP_015675671.1,CCG004115.1
XP_015679465.1,CCG012822.1
XP_015673444.1,CCG016125.1
XP_015674463.1,CCG014205.2
XP_015671198.1,CCG018917.1
XP_015672123.1,CCG023595.2
XP_015668403.1,CCG013400.1
XP_029141042.1,CCG011683.2
XP_015665452.1,CCG015142.1
XP_015665534.1,CCG008305.1
XP_015675873.1,CCG013602.1
XP_029139323.1,CCG021817.1
XP_015671047.1,CCG007074.1
XP_029141595.1,CCG011244.2
XP_029139411.1,CCG023781.1
XP_015683590.1,CCG001950.1
XP_015682144.1,CCG005167.1
XP_015670110.1,CCG019340.1
XP_015674953.1,CCG013124.1
XP_015687377.1,CCG024680.1
XP_029140163.1,CCG020282.1
XP_015671447.1,CCG010781.1
XP_015678488.1,CCG012711.1
XP_015678543.1,CCG005156.1
XP_015680847.1,CCG004646.1
XP_015680323.1,CCG021626.1
XP_015668657.1,CCG023753.3
XP_029140500.1,CCG012254.3
XP_015678472.1,CCG017405.2
XP_029141337.1,CCG013845.3
XP_015666869.1,CCG004630.1
XP_015669647.1,CCG008503.1
XP_015672508.1,CCG015625.1
XP_015665495.1,CCG002384.1
XP_015683994.2,CCG013966.1
XP_029138804.1,CCG013165.1
XP_029142296.1,CCG018522.1
XP_029140119.1,CCG002353.1
XP_015676922.1,CCG005122.1
XP_029139841.1,CCG016034.1
XP_029138934.1,CCG014132.1
XP_015671303.1,CCG001242.1
XP_015682333.1,CCG011660.1
XP_015674114.1,CCG021567.1
XP_029142260.1,CCG001806.1
XP_015674260.1,CCG010181.1
XP_029143079.1,CCG018203.1
XP_015666315.1,CCG005981.1
XP_015666307.2,CCG011484.1
XP_015681054.1,CCG014905.1
XP_015673399.1,CCG003450.1
XP_015681039.1,CCG012120.1
XP_015687637.1,CCG005407.1
XP_029141556.1,CCG018943.1
XP_015676784.1,CCG017388.1
XP_015678960.1,CCG011005.1
XP_015677588.1,CCG022102.1
XP_015673958.1,CCG012285.1
XP_015673956.1,CCG000975.1
XP_015687984.1,CCG022657.2
XP_029138796.1,CCG017593.2
XP_015665481.1,CCG001621.1
XP_029141150.1,CCG023280.1
XP_029139067.1,CCG012908.1
XP_015678362.1,CCG008145.1
XP_015666080.1,CCG008806.1
XP_029139408.1,CCG023786.2
XP_015666611.1,CCG017972.1
XP_015677638.1,CCG017731.1
XP_015667404.1,CCG024211.1
XP_015682365.1,CCG017421.1
XP_029140212.1,CCG000570.1
XP_029139071.1,CCG012869.1
XP_015670056.1,CCG019887.1
XP_015666646.1,CCG004611.1
XP_015675022.1,CCG023435.1
XP_029140613.1,CCG023438.2
XP_015682643.1,CCG008752.1
XP_015680459.1,CCG016809.1
XP_015669002.1,CCG007909.1
XP_029140615.1,CCG022740.1
XP_029140492.1,CCG002565.1
XP_015677335.1,CCG024000.1
XP_015669379.1,CCG000844.1
XP_015677336.1,CCG024001.1
XP_015679207.1,CCG016636.1
XP_015670766.1,CCG001386.1
XP_015677158.1,CCG023235.1
XP_029140609.1,CCG004932.1
XP_015668516.1,CCG023034.1
XP_015678950.1,CCG010053.1
XP_015678920.1,CCG005253.1
XP_015672160.1,CCG002989.1
XP_015675926.1,CCG020919.1
XP_015675132.1,CCG016200.1
XP_015687929.1,CCG023171.1
XP_029140102.1,CCG002992.3
XP_015673334.2,CCG003522.1
XP_015668254.1,CCG021820.1
XP_015667460.1,CCG012035.2
XP_015672121.2,CCG023593.1
XP_015686929.1,CCG009134.2
XP_015666480.1,CCG007147.4
XP_029139144.1,CCG024161.1
XP_015681326.1,CCG004999.1
XP_029140258.1,CCG012700.3
XP_015666887.1,CCG012889.1
XP_015666917.1,CCG013512.1
XP_015683275.1,CCG013081.1
XP_015671394.1,CCG015506.1
XP_015677737.1,CCG016162.1
XP_015677753.1,CCG023104.1
XP_015676246.1,CCG017163.1
XP_029142015.1,CCG003387.1
XP_015680885.1,CCG011500.2
XP_015681815.1,CCG020847.1
XP_015672435.1,CCG015602.1
XP_015672429.1,CCG015603.1
XP_015687917.1,CCG007533.1
XP_015672430.1,CCG015604.3
XP_015684751.1,CCG022018.1
XP_015684198.1,CCG004448.3
XP_015670787.1,CCG001402.1
XP_015681609.1,CCG012101.1
XP_015674658.1,CCG011494.1
XP_015680667.1,CCG019510.1
XP_015676607.1,CCG019416.1
XP_015665760.1,CCG014409.1
XP_015680066.2,CCG022030.1
XP_015681868.1,CCG004440.1
XP_015674788.1,CCG003971.1
XP_015683696.1,CCG017567.1
XP_015671358.1,CCG017546.1
XP_015677097.1,CCG016400.2
XP_029139410.1,CCG023783.2
XP_015679946.1,CCG005289.1
XP_015665745.1,CCG007330.1
XP_015674651.1,CCG024190.1
XP_015667610.1,CCG018671.1
XP_015669551.1,CCG018660.1
XP_015675028.1,CCG020405.1
XP_015668306.1,CCG021862.1
XP_015674501.1,CCG018104.1
XP_015667576.1,CCG024488.1
XP_015667575.1,CCG024490.2
XP_015681728.1,CCG009982.1
XP_015678469.1,CCG017400.1
XP_015668386.1,CCG014636.2
XP_015674329.1,CCG015038.1
XP_015670968.1,CCG001195.2
XP_015668862.1,CCG005433.1
XP_015677620.2,CCG020088.1
XP_015682770.1,CCG010771.1
XP_015668400.1,CCG013409.1
XP_015676750.1,CCG020781.1
XP_015671210.1,CCG004358.1
XP_015665852.1,CCG009477.1
XP_015671031.1,CCG019220.1
XP_029138866.1,CCG006364.1
XP_015677502.1,CCG012859.1
XP_015675281.1,CCG002583.1
XP_015675786.1,CCG010193.2
XP_015670496.1,CCG010223.1
XP_015674887.1,CCG009551.1
XP_015679324.2,CCG001793.1
XP_015672092.1,CCG002024.1
XP_015686903.1,CCG014282.1
XP_029141818.1,CCG006081.1
XP_015679591.2,CCG006201.1
XP_015676644.1,CCG011960.1
XP_015677300.1,CCG022996.1
XP_015672231.1,CCG019657.1
XP_015666552.1,CCG024401.1
XP_029141806.1,CCG007865.3
XP_029140090.1,CCG002001.1
XP_015667023.1,CCG002465.2
XP_015666536.1,CCG007149.1
XP_029140795.1,CCG011742.2
XP_015670460.1,CCG005479.1
XP_015672864.1,CCG003676.1
XP_015667670.1,CCG014655.2
XP_015666632.1,CCG024448.1
XP_015687169.1,CCG016233.1
XP_029141194.1,CCG015245.1
XP_015667674.1,CCG014653.1
XP_015676814.1,CCG023305.1
XP_015676886.1,CCG015200.1
XP_029140842.1,CCG011972.1
XP_015681940.1,CCG023312.1
XP_029140841.1,CCG011973.1
XP_015666614.1,CCG024441.1
XP_029142054.1,CCG023319.1
XP_015676070.1,CCG011852.1
XP_015668913.1,CCG008483.1
XP_015676253.1,CCG017157.1
XP_029142348.1,CCG016798.2
XP_015677657.1,CCG011415.1
XP_015684784.1,CCG000481.1
XP_015677661.1,CCG011413.1
XP_015677656.1,CCG011412.1
XP_029139960.1,CCG006662.1
XP_015680419.1,CCG011409.1
XP_015668922.1,CCG012648.1
XP_015668916.1,CCG012647.1
XP_015679214.1,CCG011406.1
XP_015678510.1,CCG012826.1
XP_015668928.1,CCG012645.1
XP_015671389.1,CCG005829.2
XP_015677440.1,CCG001252.1
XP_015675260.1,CCG020544.1
XP_015670867.1,CCG008205.1
XP_015679992.1,CCG005565.1
XP_015670872.1,CCG003700.1
XP_015675945.1,CCG016222.2
XP_015677828.1,CCG003692.1
XP_015667668.1,CCG021930.1
XP_015683166.1,CCG009127.1
XP_015669231.1,CCG017430.1
XP_015684683.1,CCG005280.1
XP_015682611.1,CCG003709.1
XP_015681276.1,CCG023565.1
XP_015675951.1,CCG010663.2
XP_029141948.1,CCG005283.1
XP_015687597.1,CCG021485.1
XP_029141900.1,CCG023560.1
XP_015683723.1,CCG003485.1
XP_015680438.1,CCG002069.1
XP_015674767.1,CCG020319.1
XP_015683156.1,CCG024435.1
XP_015667261.1,CCG018841.1
XP_015668393.1,CCG013422.1
XP_015680380.1,CCG023400.1
XP_015675442.1,CCG021705.1
XP_029140684.1,CCG021706.1
XP_015678453.1,CCG008136.1
XP_015677790.1,CCG001597.1
XP_015677794.1,CCG001599.1
XP_015679424.1,CCG002487.1
XP_015670244.1,CCG011371.1
XP_015683473.1,CCG013945.1
XP_015681590.1,CCG011780.1
XP_015683631.1,CCG010342.2
XP_015681588.1,CCG011779.1
XP_015681589.1,CCG011778.1
XP_029139353.1,CCG013405.1
XP_015677168.1,CCG023239.1
XP_015680788.1,CCG003260.1
XP_015686488.1,CCG011749.2
XP_029139344.1,CCG009809.1
XP_015680712.1,CCG015950.1
XP_015667673.1,CCG021319.1
XP_015667352.1,CCG005552.1
XP_015672618.1,CCG000567.1
XP_015667202.1,CCG021204.1
XP_015670910.1,CCG011435.1
XP_015677150.1,CCG022568.1
XP_015679261.1,CCG009939.1
XP_015666901.1,CCG012920.2
XP_015666961.1,CCG012921.1
XP_015679755.1,CCG024134.1
XP_015668909.1,CCG004338.1
XP_015668899.1,CCG004336.1
XP_015668908.1,CCG004335.1
XP_015675126.1,CCG020934.1
XP_029141343.1,CCG004901.1
XP_029141473.1,CCG016810.1
XP_029140776.1,CCG016214.4
XP_015673301.1,CCG003513.1
XP_029140778.1,CCG016216.1
XP_015671553.1,CCG014716.2
XP_015672750.1,CCG004057.1
XP_029139459.1,CCG004327.1
XP_029141020.1,CCG017605.1
XP_029139997.1,CCG014711.1
XP_015672748.1,CCG004058.1
XP_015666482.1,CCG020078.1
XP_015671575.1,CCG014709.1
XP_015668476.1,CCG008078.1
XP_015682730.1,CCG010864.6
XP_029141041.1,CCG009653.1
XP_015679988.1,CCG020322.1
XP_029140233.1,CCG004062.1
XP_015672745.1,CCG004063.3
XP_015679986.2,CCG020323.2
XP_029138763.1,CCG022631.1
XP_015668058.1,CCG017282.1
XP_015681828.1,CCG010002.1
XP_015680635.1,CCG007790.1
XP_029141720.1,CCG007941.1
XP_015676418.1,CCG023456.1
XP_015672947.1,CCG012359.2
XP_029142425.1,CCG007867.2
XP_015666491.2,CCG020063.1
XP_015676413.1,CCG023454.1
XP_015687370.1,CCG013690.1
XP_015675867.1,CCG003893.1
XP_029139328.1,CCG003895.1
XP_015670773.1,CCG001385.1
XP_015680416.1,CCG004479.1
XP_029141781.1,CCG004478.1
XP_015672931.1,CCG022866.1
XP_015666522.1,CCG020052.1
XP_029139587.1,CCG007693.1
XP_015677432.2,CCG021052.1
XP_015669135.1,CCG019181.2
XP_015668589.1,CCG017354.1
XP_015666636.1,CCG024451.1
XP_015683557.1,CCG023442.1
XP_015677536.2,CCG003350.1
XP_015681085.1,CCG013556.1
XP_015686631.1,CCG019161.2
XP_015666531.1,CCG007171.1
XP_029140562.1,CCG000997.1
XP_015668574.1,CCG024307.2
XP_029140453.1,CCG007007.1
XP_015669283.1,CCG010409.1
XP_015684493.1,CCG016815.1
XP_015669287.2,CCG005330.1
XP_029139627.1,CCG001691.1
XP_029140831.1,CCG018348.2
XP_015672107.1,CCG021646.1
XP_029140351.1,CCG008763.1
XP_029141687.1,CCG005933.1
XP_015677347.1,CCG011675.1
XP_015667573.1,CCG024493.1
XP_029142238.1,CCG001459.1
XP_015683564.1,CCG001463.1
XP_015677519.1,CCG009933.1
XP_015683085.1,CCG016608.1
XP_015673132.1,CCG005664.1
XP_015680002.1,CCG007484.1
XP_015684856.1,CCG010566.1
XP_015686626.1,CCG010571.1
XP_015668583.1,CCG009054.1
XP_015668585.1,CCG009053.2
XP_015679157.1,CCG016999.1
XP_015668073.1,CCG017285.1
XP_029139291.1,CCG017288.2
XP_029143157.1,CCG010304.1
XP_015675921.1,CCG020003.1
XP_015667863.1,CCG024096.1
XP_015673033.1,CCG023199.1
XP_015687349.1,CCG009643.1
XP_015673077.1,CCG023203.1
XP_015687885.1,CCG022702.4
XP_015668556.1,CCG008193.1
XP_015673047.1,CCG023214.1
XP_015681979.1,CCG010000.1
XP_029142093.1,CCG009999.1
XP_015677162.1,CCG023231.1
XP_015669818.1,CCG002605.1
XP_015675587.1,CCG019923.1
XP_029140714.1,CCG023250.1
XP_015678760.1,CCG018137.1
XP_015669053.2,CCG017310.1
XP_015682018.1,CCG013645.2
XP_015681231.1,CCG019931.1
XP_015676938.1,CCG016096.1
XP_029138924.1,CCG011884.1
XP_015676996.1,CCG004475.2
XP_015668191.1,CCG014223.1
XP_015686282.1,CCG004467.3
XP_015684854.1,CCG004466.2
XP_029139502.1,CCG011889.1
XP_015674728.1,CCG011466.1
XP_015679202.1,CCG018115.1
XP_015669129.1,CCG011894.1
XP_029140496.1,CCG005172.1
XP_015672022.1,CCG004501.1
XP_015672007.1,CCG004499.1
XP_015681701.1,CCG002496.1
XP_015668944.1,CCG007978.3
XP_015671089.2,CCG007079.1
XP_015673400.1,CCG003449.2
XP_015669107.1,CCG011908.1
XP_015666546.1,CCG006487.1
XP_015674308.1,CCG002526.1
XP_015677004.1,CCG013301.1
XP_015667479.1,CCG012034.2
XP_015680681.1,CCG014091.4
XP_029140975.1,CCG013299.1
XP_029139490.1,CCG017313.2
XP_015676046.1,CCG011600.1
XP_015669052.1,CCG016377.1
XP_015682812.1,CCG012297.2
XP_029142257.1,CCG012298.1
XP_015670945.1,CCG020793.4
XP_015668797.1,CCG012309.2
XP_015670905.1,CCG020791.1
XP_015681775.1,CCG010911.1
XP_015670391.1,CCG016324.2
XP_015670084.1,CCG009688.1
XP_015669816.1,CCG021492.2
XP_015669226.1,CCG016366.1
XP_029139174.1,CCG012045.1
XP_029139183.1,CCG012047.1
XP_015670022.1,CCG024739.1
XP_015670039.1,CCG024735.1
XP_015682962.1,CCG017800.1
XP_015682038.1,CCG014097.1
XP_015672797.1,CCG014690.1
XP_015685071.1,CCG014095.1
XP_029141471.1,CCG017790.1
XP_029142140.1,CCG000686.1
XP_015671955.1,CCG003564.1
XP_015671954.1,CCG003562.1
XP_015679909.1,CCG007570.1
XP_015671140.1,CCG020448.1
XP_015671716.1,CCG022187.1
XP_029141166.1,CCG002542.1
XP_015684605.1,CCG017783.1
XP_015681098.1,CCG015635.1
XP_015677725.1,CCG023290.1
XP_015667701.1,CCG006600.1
XP_015678678.1,CCG003830.1
XP_015683003.1,CCG010675.1
XP_015674056.1,CCG018301.1
XP_015676946.1,CCG004821.1
XP_015678675.1,CCG003834.1
XP_015679493.1,CCG016207.1
XP_015672243.1,CCG002355.1
XP_015670942.1,CCG020797.1
XP_015683871.1,CCG022768.1
XP_015670941.1,CCG020801.1
XP_015679564.1,CCG003282.1
XP_029139872.1,CCG020803.1
XP_015669784.1,CCG023913.2
XP_015684562.1,CCG000222.1
XP_015688022.1,CCG003094.2
XP_015681088.1,CCG013554.1
XP_015681909.1,CCG011309.1
XP_029141843.1,CCG018557.1
XP_015668397.1,CCG013416.1
XP_015682241.1,CCG019777.1
XP_015669573.1,CCG013625.1
XP_015667950.1,CCG006885.1
XP_015676778.1,CCG017395.1
XP_015679913.1,CCG013360.1
XP_015683627.1,CCG018756.1
XP_015673735.2,CCG022442.1
XP_015677598.1,CCG009904.1
XP_015669585.1,CCG006255.1
XP_015667288.1,CCG008088.2
XP_015681023.1,CCG009582.1
XP_015669596.1,CCG006260.1
XP_015679929.1,CCG024613.1
XP_015667285.1,CCG008084.1
XP_015666655.1,CCG022587.1
XP_015671411.1,CCG024334.1
XP_015671412.1,CCG024333.1
XP_015687606.1,CCG018651.1
XP_015682327.2,CCG024322.1
XP_015679809.1,CCG017542.1
XP_015680047.1,CCG017538.1
XP_015670287.1,CCG008985.2
XP_015680053.1,CCG017537.1
XP_015673868.1,CCG014817.1
XP_015687177.1,CCG002137.1
XP_015667425.1,CCG006183.2
XP_015669311.1,CCG013000.1
XP_015675902.1,CCG020376.1
XP_015670189.1,CCG006386.1
XP_015674495.1,CCG023464.1
XP_015678305.1,CCG014922.1
XP_015670173.1,CCG006666.1
XP_015687620.1,CCG001188.1
XP_015669482.1,CCG007677.1
XP_029140786.1,CCG022313.1
XP_015669324.1,CCG016738.1
XP_015686625.1,CCG003233.1
XP_015669927.1,CCG009879.3
XP_029139929.1,CCG013546.1
XP_015678384.1,CCG008143.2
XP_015686930.1,CCG023736.1
XP_015671367.1,CCG017550.1
XP_015687111.1,CCG015672.1
XP_015667108.1,CCG006944.1
XP_015667125.1,CCG006945.1
XP_029138915.1,CCG006756.1
XP_015666158.1,CCG006754.1
XP_015666157.1,CCG006752.1
XP_015680857.1,CCG008105.1
XP_015684677.1,CCG014272.1
XP_015670635.1,CCG009558.1
XP_015667151.1,CCG006952.1
XP_015676173.1,CCG018903.1
XP_015676346.2,CCG023941.1
XP_015676174.1,CCG018902.1
XP_015675564.1,CCG004161.1
XP_015667053.1,CCG023040.1
XP_015679775.1,CCG011996.1
XP_029141860.1,CCG008758.3
XP_015670739.1,CCG013336.1
XP_015681113.2,CCG009844.1
XP_015667848.1,CCG013563.1
XP_029141272.1,CCG023032.1
XP_015685907.1,CCG023575.5
XP_029141249.1,CCG002149.1
XP_029141659.1,CCG023576.1
XP_015668622.1,CCG001506.1
XP_029139033.1,CCG001507.1
XP_029139754.1,CCG024030.3
XP_015678762.1,CCG018134.1
XP_015666779.1,CCG018856.1
XP_015687493.1,CCG018468.1
XP_015677889.1,CCG023969.1
XP_015687490.1,CCG018470.1
XP_015673930.1,CCG018126.1
XP_029139402.1,CCG023800.3
XP_015673264.1,CCG014918.1
XP_015683525.1,CCG016625.1
XP_015683695.1,CCG019624.1
XP_029140306.1,CCG014914.1
XP_015676969.1,CCG019246.1
