CroVir_rnd1.all.maker.proteins.final,P_Mucros.pep
crovir-protein-4774,XP_015683924.1
crovir-protein-4616,XP_015670368.1
crovir-protein-3710,XP_015674828.1
crovir-protein-3718,XP_015684396.1
crovir-protein-3721,XP_015679190.1
crovir-protein-3726,XP_015676846.1
crovir-protein-4713,XP_029142087.1
crovir-protein-3759,XP_015673199.1
crovir-protein-3767,XP_029140724.1
crovir-protein-16067,XP_015678437.1
crovir-protein-3800,XP_029140973.1
crovir-protein-4583,XP_015687261.1
crovir-protein-4574,XP_015687281.1
crovir-protein-4601,XP_015687299.1
crovir-protein-4608,XP_029139564.1
crovir-protein-3828,XP_015668697.1
crovir-protein-3823,XP_015668720.1
crovir-protein-3827,XP_015668730.1
crovir-protein-3865,XP_015671476.1
crovir-protein-4486,XP_029141163.1
crovir-protein-4493,XP_015669022.1
crovir-protein-3857,XP_015671527.1
crovir-protein-3875,XP_015672348.1
crovir-protein-4681,XP_015672028.1
crovir-protein-3921,XP_029139846.1
crovir-protein-3920,XP_015670719.1
crovir-protein-4440,XP_015681147.1
crovir-protein-3942,XP_029141377.1
crovir-protein-3989,XP_015681187.2
crovir-protein-4457,XP_015673673.1
crovir-protein-3975,XP_015669889.1
crovir-protein-3971,XP_015669896.1
crovir-protein-4528,XP_015681425.1
crovir-protein-4017,XP_015678973.1
crovir-protein-4538,XP_015674061.1
crovir-protein-4542,XP_015678775.1
crovir-protein-4035,XP_015678216.1
crovir-protein-4419,XP_015674466.1
crovir-protein-4413,XP_015666813.1
crovir-protein-4062,XP_015683706.1
crovir-protein-4406,XP_015666359.1
crovir-protein-4288,XP_015687847.1
crovir-protein-4076,XP_015670209.1
crovir-protein-4081,XP_015687598.1
crovir-protein-15796,XP_015679741.1
crovir-protein-15806,XP_029141279.1
crovir-protein-15825,XP_015672608.2
crovir-protein-15832,XP_015680744.1
crovir-protein-15829,XP_015680746.1
crovir-protein-3558,XP_029140144.1
crovir-protein-15773,XP_015674236.1
crovir-protein-15765,XP_015668161.1
crovir-protein-15741,XP_015685446.1
crovir-protein-15748,XP_029142855.1
crovir-protein-15721,XP_015668179.1
crovir-protein-15704,XP_015675629.1
crovir-protein-15683,XP_015674910.1
crovir-protein-15682,XP_015674911.1
crovir-protein-15673,XP_015674050.1
crovir-protein-15657,XP_015688044.1
crovir-protein-15627,XP_015668165.1
crovir-protein-14911,XP_015669402.1
crovir-protein-14903,XP_029139568.1
crovir-protein-15540,XP_015666626.1
crovir-protein-15373,XP_015673579.1
crovir-protein-15471,XP_029140436.1
crovir-protein-15479,XP_015667990.1
crovir-protein-15464,XP_015668085.1
crovir-protein-15453,XP_015684236.2
crovir-protein-15454,XP_015685177.1
crovir-protein-15435,XP_015672197.1
crovir-protein-15417,XP_015667964.1
crovir-protein-15416,XP_015667963.1
crovir-protein-15427,XP_015679136.1
crovir-protein-15399,XP_015676107.1
crovir-protein-15394,XP_015683977.1
crovir-protein-7243,XP_015668561.1
crovir-protein-15322,XP_015685800.1
crovir-protein-14715,XP_029140925.1
crovir-protein-7040,XP_029141987.1
crovir-protein-7066,XP_029140467.1
crovir-protein-7106,XP_015674556.1
crovir-protein-7115,XP_015679256.1
crovir-protein-14633,XP_029140218.1
crovir-protein-7212,XP_015668111.1
crovir-protein-7175,XP_015669735.1
crovir-protein-7176,XP_015669734.2
crovir-protein-7232,XP_015669729.1
crovir-protein-7187,XP_015677689.1
crovir-protein-15046,XP_029139440.1
crovir-protein-7278,XP_015674855.2
crovir-protein-7248,XP_029141993.1
crovir-protein-7315,XP_015671240.1
crovir-protein-16833,XP_015680723.1
crovir-protein-15277,XP_015683112.1
crovir-protein-7389,XP_015678866.1
crovir-protein-7412,XP_029142199.1
crovir-protein-7405,XP_015685400.1
crovir-protein-14854,XP_015670601.1
crovir-protein-14866,XP_015667703.1
crovir-protein-14873,XP_029139230.1
crovir-protein-7386,XP_015671420.2
crovir-protein-7444,XP_015674773.1
crovir-protein-14899,XP_015667713.1
crovir-protein-7522,XP_015674137.1
crovir-protein-7458,XP_015674142.1
crovir-protein-7485,XP_015677550.1
crovir-protein-14462,XP_015687339.1
crovir-protein-7599,XP_029141477.1
crovir-protein-14439,XP_029140666.1
crovir-protein-7636,XP_029142063.1
crovir-protein-7641,XP_015685673.1
crovir-protein-5619,XP_015687520.2
crovir-protein-7756,XP_015674739.1
crovir-protein-7708,XP_015681634.2
crovir-protein-14378,XP_029139861.1
crovir-protein-14364,XP_015670764.1
crovir-protein-7711,XP_029141346.1
crovir-protein-14318,XP_029140943.1
crovir-protein-7814,XP_015667360.1
crovir-protein-14072,XP_015677870.1
crovir-protein-7790,XP_029139176.1
crovir-protein-14111,XP_015670683.1
crovir-protein-14107,XP_015670686.1
crovir-protein-8124,XP_015675770.1
crovir-protein-8077,XP_015673124.1
crovir-protein-7992,XP_015675963.1
crovir-protein-14160,XP_015677119.1
crovir-protein-14222,XP_015677318.1
crovir-protein-14223,XP_015677314.1
crovir-protein-14236,XP_015670532.1
crovir-protein-8021,XP_029139836.1
crovir-protein-8064,XP_015672181.1
crovir-protein-8067,XP_015682860.1
crovir-protein-14068,XP_015675602.1
crovir-protein-14010,XP_015669598.2
crovir-protein-13987,XP_015672368.1
crovir-protein-8482,XP_029142989.1
crovir-protein-9503,XP_015672133.1
crovir-protein-8412,XP_015668514.1
crovir-protein-13915,XP_029140626.1
crovir-protein-8517,XP_015674729.1
crovir-protein-8395,XP_015676656.1
crovir-protein-8405,XP_015672684.1
crovir-protein-13855,XP_015681477.1
crovir-protein-8698,XP_015682211.1
crovir-protein-13375,XP_015674156.1
crovir-protein-13377,XP_029140463.1
crovir-protein-8684,XP_015681856.1
crovir-protein-8557,XP_015667820.1
crovir-protein-8558,XP_015667833.2
crovir-protein-13728,XP_015679447.1
crovir-protein-13712,XP_015673373.1
crovir-protein-13696,XP_015673375.1
crovir-protein-8615,XP_029139243.1
crovir-protein-8613,XP_029139239.1
crovir-protein-13703,XP_029140249.1
crovir-protein-13702,XP_029140246.1
crovir-protein-8636,XP_029139242.1
crovir-protein-13673,XP_015672854.1
crovir-protein-13661,XP_015672845.1
crovir-protein-8768,XP_015671844.1
crovir-protein-13634,XP_015675515.1
crovir-protein-8755,XP_015675743.1
crovir-protein-8757,XP_015675742.1
crovir-protein-8811,XP_015671640.1
crovir-protein-8868,XP_015676710.1
crovir-protein-5878,XP_015672658.1
crovir-protein-13600,XP_015677817.2
crovir-protein-13587,XP_015676821.1
crovir-protein-8814,XP_015668143.1
crovir-protein-8815,XP_015672359.1
crovir-protein-8838,XP_015678784.1
crovir-protein-13570,XP_015678448.1
crovir-protein-13569,XP_029141293.1
crovir-protein-8917,XP_029141695.1
crovir-protein-8965,XP_015684500.1
crovir-protein-13526,XP_015685462.2
crovir-protein-8987,XP_015686717.1
crovir-protein-9007,XP_015672867.1
crovir-protein-8979,XP_015668337.1
crovir-protein-13470,XP_015680244.1
crovir-protein-8971,XP_015668344.1
crovir-protein-13462,XP_015677616.1
crovir-protein-9076,XP_015680537.1
crovir-protein-9074,XP_015680538.1
crovir-protein-13456,XP_015687036.1
crovir-protein-5781,XP_015682557.1
crovir-protein-9030,XP_015671116.1
crovir-protein-9008,XP_015677884.1
crovir-protein-9035,XP_015672383.1
crovir-protein-13436,XP_015678581.1
crovir-protein-13425,XP_015679580.1
crovir-protein-9043,XP_015671124.1
crovir-protein-9042,XP_015671123.1
crovir-protein-2122,XP_015667488.1
crovir-protein-13364,XP_015680091.2
crovir-protein-2110,XP_015667908.1
crovir-protein-8931,XP_015680704.1
crovir-protein-13358,XP_029143095.1
crovir-protein-8921,XP_015687571.1
crovir-protein-13307,XP_015681402.1
crovir-protein-8958,XP_015672293.1
crovir-protein-8961,XP_015677222.1
crovir-protein-13290,XP_015677384.1
crovir-protein-13291,XP_015677376.1
crovir-protein-13233,XP_015677456.1
crovir-protein-13237,XP_029141068.1
crovir-protein-14806,XP_015670423.1
crovir-protein-9261,XP_015674851.1
crovir-protein-13275,XP_015683038.1
crovir-protein-9243,XP_015677853.1
crovir-protein-9257,XP_015681369.1
crovir-protein-13196,XP_015680990.1
crovir-protein-9317,XP_015672339.1
crovir-protein-9265,XP_015677491.1
crovir-protein-9419,XP_029140104.1
crovir-protein-9383,XP_015679885.1
crovir-protein-9538,XP_015680796.1
crovir-protein-13136,XP_029142452.1
crovir-protein-9444,XP_015671983.1
crovir-protein-9633,XP_015672704.1
crovir-protein-9614,XP_015673502.1
crovir-protein-9607,XP_015678020.1
crovir-protein-9569,XP_015676862.1
crovir-protein-9608,XP_015676864.1
crovir-protein-9597,XP_015687404.1
crovir-protein-9555,XP_015687406.1
crovir-protein-9576,XP_015681071.1
crovir-protein-9565,XP_015675671.1
crovir-protein-9599,XP_015679465.1
crovir-protein-9709,XP_015673446.1
crovir-protein-9708,XP_015673444.1
crovir-protein-9781,XP_015667574.1
crovir-protein-9718,XP_015674463.1
crovir-protein-9799,XP_029143023.1
crovir-protein-14557,XP_015671198.1
crovir-protein-5611,XP_015672123.1
crovir-protein-14631,XP_015672621.1
crovir-protein-6884,XP_015665452.1
crovir-protein-1166,XP_015675873.1
crovir-protein-9943,XP_015671047.1
crovir-protein-1358,XP_029141595.1
crovir-protein-16719,XP_015683590.1
crovir-protein-1087,XP_015682144.1
crovir-protein-17433,XP_015670110.1
crovir-protein-10459,XP_015674953.1
crovir-protein-203,XP_015687377.1
crovir-protein-16500,XP_015678488.1
crovir-protein-11106,XP_015680847.1
crovir-protein-16497,XP_015680323.1
crovir-protein-17118,XP_015668657.1
crovir-protein-10029,XP_029140500.1
crovir-protein-4932,XP_029139466.1
crovir-protein-6857,XP_029138809.1
crovir-protein-407,XP_015678472.1
crovir-protein-8749,XP_029141337.1
crovir-protein-12384,XP_015687238.1
crovir-protein-10656,XP_015669647.1
crovir-protein-15853,XP_015672508.1
crovir-protein-6812,XP_015665495.1
crovir-protein-17402,XP_015683994.2
crovir-protein-6773,XP_029138804.1
crovir-protein-5236,XP_029140119.1
crovir-protein-13247,XP_015677464.1
crovir-protein-14218,XP_015674637.1
crovir-protein-14966,XP_029142296.1
crovir-protein-16926,XP_015676922.1
crovir-protein-10467,XP_029139841.1
crovir-protein-6733,XP_029138814.1
crovir-protein-6732,XP_015665430.1
crovir-protein-10481,XP_015671303.1
crovir-protein-10085,XP_015682333.1
crovir-protein-55,XP_015674114.1
crovir-protein-2382,XP_029143079.1
crovir-protein-5332,XP_015666315.1
crovir-protein-3396,XP_015672281.2
crovir-protein-6935,XP_015681054.1
crovir-protein-16688,XP_015673399.1
crovir-protein-10072,XP_015681039.1
crovir-protein-15252,XP_015681877.1
crovir-protein-427,XP_015676784.1
crovir-protein-13413,XP_015678960.1
crovir-protein-1493,XP_015677588.1
crovir-protein-15247,XP_015673956.1
crovir-protein-16139,XP_015687984.1
crovir-protein-6877,XP_029138796.1
crovir-protein-6823,XP_015665481.1
crovir-protein-16232,XP_015666948.1
crovir-protein-2175,XP_015678362.1
crovir-protein-17448,XP_015683446.1
crovir-protein-2057,XP_015666102.1
crovir-protein-5396,XP_029139408.1
crovir-protein-7704,XP_015677638.1
crovir-protein-12381,XP_015667404.1
crovir-protein-405,XP_015682365.1
crovir-protein-14621,XP_029140212.1
crovir-protein-16327,XP_029139071.1
crovir-protein-12361,XP_029139168.1
crovir-protein-12793,XP_015670056.1
crovir-protein-12992,XP_015666646.1
crovir-protein-287,XP_015675022.1
crovir-protein-282,XP_029140613.1
crovir-protein-2725,XP_015675019.1
crovir-protein-17007,XP_015680459.1
crovir-protein-12045,XP_015669002.1
crovir-protein-296,XP_029140615.1
crovir-protein-718,XP_015677863.1
crovir-protein-8459,XP_029140492.1
crovir-protein-11517,XP_015677335.1
crovir-protein-1233,XP_015669379.1
crovir-protein-11518,XP_015677336.1
crovir-protein-11519,XP_015677339.1
crovir-protein-11287,XP_015670766.1
crovir-protein-11531,XP_015677158.1
crovir-protein-1598,XP_015673333.1
crovir-protein-8416,XP_029140609.1
crovir-protein-8413,XP_015668516.1
crovir-protein-8351,XP_015678920.1
crovir-protein-11604,XP_029141387.1
crovir-protein-12655,XP_015669046.1
crovir-protein-7071,XP_015675926.1
crovir-protein-1013,XP_015675132.1
crovir-protein-4399,XP_015687929.1
crovir-protein-7652,XP_029140102.1
crovir-protein-1609,XP_015673334.2
crovir-protein-1136,XP_015668254.1
crovir-protein-5612,XP_015672121.2
crovir-protein-4391,XP_015675032.1
crovir-protein-11024,XP_015666480.1
crovir-protein-11315,XP_029139144.1
crovir-protein-16243,XP_015666925.1
crovir-protein-11611,XP_015681326.1
crovir-protein-3170,XP_029140258.1
crovir-protein-13880,XP_015678673.1
crovir-protein-16222,XP_015666887.1
crovir-protein-16218,XP_015666917.1
crovir-protein-8884,XP_015671394.1
crovir-protein-2357,XP_015677753.1
crovir-protein-315,XP_015676246.1
crovir-protein-321,XP_015676252.1
crovir-protein-8628,XP_015667812.1
crovir-protein-8343,XP_015680885.1
crovir-protein-15058,XP_029141907.1
crovir-protein-8468,XP_015681815.1
crovir-protein-15833,XP_015672434.1
crovir-protein-242,XP_015687917.1
crovir-protein-15838,XP_015672430.1
crovir-protein-1427,XP_029139851.1
crovir-protein-683,XP_015684751.1
crovir-protein-12521,XP_015684198.1
crovir-protein-1441,XP_015681609.1
crovir-protein-8291,XP_015674658.1
crovir-protein-11652,XP_015680667.1
crovir-protein-12506,XP_015684204.1
crovir-protein-17180,XP_015680066.2
crovir-protein-15857,XP_015684509.1
crovir-protein-7542,XP_015674788.1
crovir-protein-4367,XP_015683696.1
crovir-protein-16031,XP_015671358.1
crovir-protein-7972,XP_015677097.1
crovir-protein-4864,XP_015679946.1
crovir-protein-4865,XP_015679949.1
crovir-protein-2871,XP_015665745.1
crovir-protein-11331,XP_015674652.2
crovir-protein-11330,XP_015674651.1
crovir-protein-15069,XP_015667610.1
crovir-protein-15103,XP_015669551.1
crovir-protein-9900,XP_015668306.1
crovir-protein-15517,XP_015674501.1
crovir-protein-16013,XP_015667576.1
crovir-protein-16009,XP_015667575.1
crovir-protein-13065,XP_015668386.1
crovir-protein-8336,XP_015674329.1
crovir-protein-12581,XP_015668862.1
crovir-protein-11077,XP_015677620.2
crovir-protein-14723,XP_015682770.1
crovir-protein-13079,XP_015668400.1
crovir-protein-14520,XP_015676750.1
crovir-protein-14536,XP_015671210.1
crovir-protein-13062,XP_029139341.1
crovir-protein-14400,XP_015665852.1
crovir-protein-6589,XP_015671031.1
crovir-protein-14397,XP_029138866.1
crovir-protein-12356,XP_015670484.1
crovir-protein-16255,XP_015677502.1
crovir-protein-15876,XP_015675281.1
crovir-protein-2320,XP_015670496.1
crovir-protein-13334,XP_015674887.1
crovir-protein-864,XP_015672092.1
crovir-protein-13329,XP_015666705.1
crovir-protein-16852,XP_029141818.1
crovir-protein-10080,XP_015685494.1
crovir-protein-13548,XP_015679591.2
crovir-protein-338,XP_015676644.1
crovir-protein-3082,XP_015677300.1
crovir-protein-3407,XP_015672231.1
crovir-protein-1542,XP_015687586.1
crovir-protein-3205,XP_015666552.1
crovir-protein-10083,XP_029141806.1
crovir-protein-877,XP_029140090.1
crovir-protein-3177,XP_015672881.1
crovir-protein-12944,XP_015667023.1
crovir-protein-184,XP_029140795.1
crovir-protein-8319,XP_015670460.1
crovir-protein-4600,XP_015672864.1
crovir-protein-6818,XP_015665537.1
crovir-protein-655,XP_015687169.1
crovir-protein-15965,XP_015667674.1
crovir-protein-17143,XP_015676814.1
crovir-protein-3075,XP_015676886.1
crovir-protein-332,XP_029140842.1
crovir-protein-331,XP_029140841.1
crovir-protein-155,XP_015676070.1
crovir-protein-10550,XP_015668913.1
crovir-protein-317,XP_015676253.1
crovir-protein-9202,XP_015677661.1
crovir-protein-9201,XP_015677656.1
crovir-protein-9252,XP_029139960.1
crovir-protein-9223,XP_015680419.1
crovir-protein-10558,XP_015668922.1
crovir-protein-10555,XP_015668916.1
crovir-protein-9197,XP_015679214.1
crovir-protein-10332,XP_015678510.1
crovir-protein-10557,XP_015668928.1
crovir-protein-8272,XP_015671389.1
crovir-protein-9282,XP_015677440.1
crovir-protein-5566,XP_015675260.1
crovir-protein-7612,XP_015670867.1
crovir-protein-9138,XP_015679992.1
crovir-protein-7602,XP_015670872.1
crovir-protein-665,XP_015675945.1
crovir-protein-16007,XP_015667668.1
crovir-protein-9185,XP_015673130.1
crovir-protein-8254,XP_015669231.1
crovir-protein-4874,XP_015684683.1
crovir-protein-16673,XP_015681276.1
crovir-protein-8050,XP_015675951.1
crovir-protein-4871,XP_029141948.1
crovir-protein-914,XP_015687597.1
crovir-protein-16483,XP_015683723.1
crovir-protein-12347,XP_015680438.1
crovir-protein-6597,XP_015686375.1
crovir-protein-6596,XP_015680261.1
crovir-protein-1518,XP_015683156.1
crovir-protein-10135,XP_029141834.1
crovir-protein-14521,XP_029142511.1
crovir-protein-12617,XP_015668891.1
crovir-protein-15920,XP_015671332.1
crovir-protein-17407,XP_015682955.1
crovir-protein-11468,XP_015668393.1
crovir-protein-9140,XP_015680380.1
crovir-protein-14590,XP_015675442.1
crovir-protein-14592,XP_029140684.1
crovir-protein-2181,XP_015678453.1
crovir-protein-126,XP_015677794.1
crovir-protein-11585,XP_015670244.1
crovir-protein-16570,XP_015683473.1
crovir-protein-12817,XP_015681590.1
crovir-protein-4812,XP_015683631.1
crovir-protein-12821,XP_015681588.1
crovir-protein-12820,XP_015681589.1
crovir-protein-13102,XP_029139353.1
crovir-protein-11532,XP_015677168.1
crovir-protein-268,XP_015680788.1
crovir-protein-16084,XP_015680043.1
crovir-protein-13105,XP_029139344.1
crovir-protein-1534,XP_015680712.1
crovir-protein-9001,XP_015667673.1
crovir-protein-8273,XP_015667352.1
crovir-protein-8074,XP_015682440.1
crovir-protein-9000,XP_015667685.1
crovir-protein-1590,XP_015673300.1
crovir-protein-14627,XP_015672618.1
crovir-protein-5906,XP_029139422.1
crovir-protein-4849,XP_015667202.1
crovir-protein-16410,XP_015670910.1
crovir-protein-8187,XP_015679261.1
crovir-protein-16198,XP_015666961.1
crovir-protein-13744,XP_015679755.1
crovir-protein-5867,XP_015668909.1
crovir-protein-5868,XP_015668899.1
crovir-protein-4900,XP_015675126.1
crovir-protein-3675,XP_029141343.1
crovir-protein-1060,XP_015671530.1
crovir-protein-8338,XP_015675569.1
crovir-protein-1599,XP_015673301.1
crovir-protein-669,XP_029140778.1
crovir-protein-823,XP_015671553.1
crovir-protein-12121,XP_015672750.1
crovir-protein-5857,XP_029139459.1
crovir-protein-8355,XP_029141020.1
crovir-protein-804,XP_029139997.1
crovir-protein-12115,XP_015672748.1
crovir-protein-11073,XP_015666482.1
crovir-protein-9805,XP_015668476.1
crovir-protein-16675,XP_015682730.1
crovir-protein-4909,XP_029141041.1
crovir-protein-10055,XP_015679988.1
crovir-protein-12116,XP_029140233.1
crovir-protein-17264,XP_029141618.1
crovir-protein-12114,XP_015672745.1
crovir-protein-10086,XP_015679986.2
crovir-protein-13038,XP_015668058.1
crovir-protein-383,XP_015681828.1
crovir-protein-980,XP_015680635.1
crovir-protein-10971,XP_029141720.1
crovir-protein-306,XP_015676418.1
crovir-protein-16284,XP_015672947.1
crovir-protein-11061,XP_015666491.2
crovir-protein-310,XP_015676413.1
crovir-protein-14476,XP_015687370.1
crovir-protein-1154,XP_015675867.1
crovir-protein-1153,XP_029139328.1
crovir-protein-8642,XP_015670773.1
crovir-protein-9630,XP_015668592.1
crovir-protein-964,XP_015680416.1
crovir-protein-963,XP_029141781.1
crovir-protein-16288,XP_015672931.1
crovir-protein-15117,XP_029139587.1
crovir-protein-16315,XP_015669135.1
crovir-protein-9690,XP_015668589.1
crovir-protein-4782,XP_015677536.2
crovir-protein-1390,XP_015681085.1
crovir-protein-1036,XP_015682842.1
crovir-protein-11041,XP_015666531.1
crovir-protein-8370,XP_015681884.1
crovir-protein-15325,XP_029140562.1
crovir-protein-9684,XP_015668574.1
crovir-protein-11395,XP_029140453.1
crovir-protein-3745,XP_015669283.1
crovir-protein-3744,XP_015669287.2
crovir-protein-5199,XP_029139627.1
crovir-protein-17335,XP_029140831.1
crovir-protein-17375,XP_015672107.1
crovir-protein-9323,XP_029140351.1
crovir-protein-4962,XP_015677347.1
crovir-protein-16017,XP_015667573.1
crovir-protein-15134,XP_015674282.1
crovir-protein-8588,XP_015667905.1
crovir-protein-8167,XP_015677519.1
crovir-protein-4954,XP_015683085.1
crovir-protein-14565,XP_015673132.1
crovir-protein-546,XP_015682419.1
crovir-protein-4942,XP_015668937.1
crovir-protein-4119,XP_015684856.1
crovir-protein-4989,XP_015668585.1
crovir-protein-16265,XP_015672929.1
crovir-protein-4998,XP_015679157.1
crovir-protein-13047,XP_015668073.1
crovir-protein-13053,XP_029139291.1
crovir-protein-5012,XP_029143157.1
crovir-protein-1357,XP_029143080.1
crovir-protein-3186,XP_015675921.1
crovir-protein-5082,XP_015667863.1
crovir-protein-11572,XP_015673033.1
crovir-protein-5071,XP_015687349.1
crovir-protein-16155,XP_015687967.1
crovir-protein-8057,XP_015668556.1
crovir-protein-11565,XP_015673047.1
crovir-protein-16997,XP_015681324.1
crovir-protein-369,XP_015681979.1
crovir-protein-11535,XP_015677162.1
crovir-protein-12758,XP_015675587.1
crovir-protein-15256,XP_015676725.1
crovir-protein-11528,XP_029140714.1
crovir-protein-11174,XP_015678760.1
crovir-protein-12742,XP_015681231.1
crovir-protein-11282,XP_015684071.1
crovir-protein-12733,XP_015682888.1
crovir-protein-1216,XP_015674241.1
crovir-protein-12727,XP_015676938.1
crovir-protein-12493,XP_015676996.1
crovir-protein-7,XP_015668191.1
crovir-protein-12483,XP_015686282.1
crovir-protein-12482,XP_015684854.1
crovir-protein-15215,XP_015672827.1
crovir-protein-15216,XP_015672765.1
crovir-protein-16351,XP_029139502.1
crovir-protein-11486,XP_015680430.1
crovir-protein-5148,XP_015674728.1
crovir-protein-11202,XP_015679202.1
crovir-protein-16350,XP_015669129.1
crovir-protein-1103,XP_029140496.1
crovir-protein-16337,XP_015669151.1
crovir-protein-12908,XP_015672022.1
crovir-protein-12901,XP_015672007.1
crovir-protein-5155,XP_029140771.1
crovir-protein-10016,XP_015671089.2
crovir-protein-10455,XP_015672715.1
crovir-protein-16690,XP_015673400.1
crovir-protein-16358,XP_015669107.1
crovir-protein-12877,XP_015674308.1
crovir-protein-5165,XP_015677004.1
crovir-protein-1657,XP_015667479.1
crovir-protein-5162,XP_029140975.1
crovir-protein-12659,XP_029139490.1
crovir-protein-10487,XP_015676046.1
crovir-protein-12668,XP_015669052.1
crovir-protein-7771,XP_015682812.1
crovir-protein-511,XP_029142257.1
crovir-protein-16389,XP_015670945.1
crovir-protein-5681,XP_015668797.1
crovir-protein-16364,XP_015670905.1
crovir-protein-3596,XP_015670391.1
crovir-protein-10496,XP_015670084.1
crovir-protein-912,XP_015669816.1
crovir-protein-12675,XP_015669226.1
crovir-protein-1652,XP_029139174.1
crovir-protein-1654,XP_029139183.1
crovir-protein-7345,XP_015670022.1
crovir-protein-5179,XP_015668963.1
crovir-protein-9149,XP_015677449.1
crovir-protein-7340,XP_015670039.1
crovir-protein-9148,XP_015677445.1
crovir-protein-199,XP_015682038.1
crovir-protein-15606,XP_015672797.1
crovir-protein-7531,XP_015685071.1
crovir-protein-17313,XP_029141471.1
crovir-protein-10122,XP_029142140.1
crovir-protein-10101,XP_015671954.1
crovir-protein-11636,XP_015679909.1
crovir-protein-3944,XP_015671140.1
crovir-protein-11450,XP_015671716.1
crovir-protein-14864,XP_015667701.1
crovir-protein-12701,XP_015677805.1
crovir-protein-5192,XP_015678678.1
crovir-protein-15586,XP_015683003.1
crovir-protein-9899,XP_015668291.1
crovir-protein-12700,XP_015677802.1
crovir-protein-6299,XP_015676946.1
crovir-protein-5190,XP_015678675.1
crovir-protein-10115,XP_015679493.1
crovir-protein-5235,XP_015672243.1
crovir-protein-16388,XP_015670942.1
crovir-protein-3437,XP_015683871.1
crovir-protein-15564,XP_015675318.1
crovir-protein-6314,XP_015679564.1
crovir-protein-15570,XP_015685505.1
crovir-protein-16384,XP_029139872.1
crovir-protein-15573,XP_015679063.1
crovir-protein-451,XP_015671738.1
crovir-protein-1755,XP_015688022.1
crovir-protein-1379,XP_015681088.1
crovir-protein-16882,XP_015681909.1
crovir-protein-5242,XP_015673962.2
crovir-protein-13092,XP_015668397.1
crovir-protein-7402,XP_015669573.1
crovir-protein-8775,XP_015667950.1
crovir-protein-417,XP_015676778.1
crovir-protein-8854,XP_015681603.1
crovir-protein-15555,XP_015679913.1
crovir-protein-15557,XP_015673680.1
crovir-protein-5245,XP_015673735.2
crovir-protein-15558,XP_015677598.1
crovir-protein-7420,XP_015669585.1
crovir-protein-11865,XP_015667288.1
crovir-protein-10068,XP_015682069.1
crovir-protein-5257,XP_015681023.1
crovir-protein-7491,XP_015669596.1
crovir-protein-8226,XP_015679929.1
crovir-protein-11871,XP_015667285.1
crovir-protein-15534,XP_015666655.1
crovir-protein-5267,XP_015671411.1
crovir-protein-5266,XP_015671412.1
crovir-protein-13775,XP_015687606.1
crovir-protein-5276,XP_015682327.2
crovir-protein-15964,XP_015680047.1
crovir-protein-9914,XP_015670287.1
crovir-protein-15967,XP_015680053.1
crovir-protein-5289,XP_015673868.1
crovir-protein-1805,XP_015667425.1
crovir-protein-15188,XP_015669310.1
crovir-protein-15196,XP_015669311.1
crovir-protein-12321,XP_015675902.1
crovir-protein-5307,XP_015670189.1
crovir-protein-6957,XP_015678305.1
crovir-protein-5311,XP_015670173.1
crovir-protein-6943,XP_015687620.1
crovir-protein-15125,XP_015669482.1
crovir-protein-5319,XP_029140786.1
crovir-protein-15166,XP_015669324.1
crovir-protein-1832,XP_015666144.1
crovir-protein-15053,XP_029139688.1
crovir-protein-15048,XP_015669927.1
crovir-protein-6510,XP_029139929.1
crovir-protein-2174,XP_015678384.1
crovir-protein-11238,XP_015687111.1
crovir-protein-605,XP_015667125.1
crovir-protein-1845,XP_029138915.1
crovir-protein-1853,XP_015666158.1
crovir-protein-9458,XP_015670635.1
crovir-protein-612,XP_015667151.1
crovir-protein-255,XP_015676173.1
crovir-protein-5452,XP_015676346.2
crovir-protein-1937,XP_015667053.1
crovir-protein-3916,XP_015670739.1
crovir-protein-15444,XP_015670984.1
crovir-protein-4739,XP_015681113.2
crovir-protein-11032,XP_015667848.1
crovir-protein-15182,XP_015669301.1
crovir-protein-10334,XP_029141272.1
crovir-protein-10345,XP_015674295.1
crovir-protein-10353,XP_015678175.1
crovir-protein-9168,XP_029141659.1
crovir-protein-5586,XP_029139033.1
crovir-protein-1439,XP_029141974.1
crovir-protein-8234,XP_029139754.1
crovir-protein-5274,XP_015678762.1
crovir-protein-11438,XP_015666044.1
crovir-protein-10363,XP_015666779.1
crovir-protein-5647,XP_015687493.1
crovir-protein-10956,XP_015677889.1
crovir-protein-5649,XP_015687490.1
crovir-protein-1478,XP_015681339.1
crovir-protein-11217,XP_015673930.1
crovir-protein-6923,XP_015673264.1
crovir-protein-15837,XP_015685189.1
crovir-protein-2109,XP_015683524.1
crovir-protein-68,XP_015683695.1
crovir-protein-12473,XP_029140977.1
crovir-protein-9660,XP_015668593.1
crovir-protein-6974,XP_029140306.1
crovir-protein-10946,XP_015676969.1
crovir-protein-4710,XP_015674763.1
crovir-protein-5665,XP_015671298.1
crovir-protein-10937,XP_015676991.1
crovir-protein-6617,XP_015680352.1
crovir-protein-15314,XP_015686550.1
crovir-protein-10939,XP_015676980.1
crovir-protein-1870,XP_015666119.1
crovir-protein-5728,XP_029141550.1
crovir-protein-12889,XP_015673451.1
crovir-protein-12642,XP_015677512.1
crovir-protein-13649,XP_029140719.1
crovir-protein-7435,XP_015675506.1
crovir-protein-5726,XP_015679470.1
