P_Mucros.pep,P_guttatus.pep
XP_015669310.1,XP_034266716.1
XP_015669311.1,XP_034266719.1
XP_015670189.1,XP_034285098.1
XP_015674495.1,XP_034289198.1
XP_015669324.1,XP_034266754.1
XP_015686625.1,XP_034261641.1
XP_015669927.1,XP_034267037.1
XP_015678384.1,XP_034260087.1
XP_015687111.1,XP_034290549.1
XP_015667108.1,XP_034269064.1
XP_015667125.1,XP_034269065.1
XP_015680857.1,XP_034283137.1
XP_015684677.1,XP_034267241.1
XP_015670635.1,XP_034284111.1
XP_015667151.1,XP_034269207.1
XP_015676173.1,XP_034294509.1
XP_015676346.2,XP_034267753.1
XP_015675564.1,XP_034267742.1
XP_015667053.1,XP_034258229.1
XP_015670739.1,XP_034267148.1
XP_015667848.1,XP_034285688.1
XP_015680129.1,XP_034292550.1
XP_015668622.1,XP_034265570.1
XP_015686358.1,XP_034262422.1
XP_029139754.1,XP_034288349.1
XP_015678762.1,XP_034288501.1
XP_015673927.1,XP_034288453.1
XP_015666779.1,XP_034286326.1
XP_015687493.1,XP_034265676.1
XP_015677889.1,XP_034294789.1
XP_015681340.1,XP_034260834.1
XP_015681339.1,XP_034260833.1
XP_015673930.1,XP_034288516.1
XP_015673264.1,XP_034289274.1
XP_015683525.1,XP_034262802.1
XP_015683695.1,XP_034286411.1
XP_015676969.1,XP_034294810.1
XP_015676991.1,XP_034294818.1
XP_015679433.1,XP_034275895.1
XP_015669789.1,XP_034261483.1
XP_015686550.1,XP_034266457.1
XP_015676980.1,XP_034294817.1
XP_015680436.1,XP_034298017.1
XP_015680439.1,XP_034298018.1
XP_015675506.1,XP_034273536.1
XP_015679470.1,XP_034293386.1
XP_029139900.1,XP_034285615.1
XP_015675518.1,XP_034273558.1
XP_015687226.2,XP_034276542.1
XP_015666747.1,XP_034265607.1
XP_029139934.1,XP_034284776.1
XP_029142431.1,XP_034292454.1
XP_015670239.1,XP_034268472.1
XP_015674612.1,XP_034294890.1
XP_015679172.1,XP_034276045.1
XP_015667101.1,XP_034258200.1
XP_015677648.1,XP_034294933.1
XP_015671160.1,XP_034259528.1
XP_015682661.1,XP_034258642.1
XP_015669665.1,XP_034259131.1
XP_029139613.1,XP_034258878.1
XP_015669819.1,XP_034296197.1
XP_015678824.1,XP_034295151.1
XP_029140954.1,XP_034258595.1
XP_015682612.1,XP_034267660.1
XP_015682590.1,XP_034267670.1
XP_015676585.1,XP_034295201.1
XP_015676579.1,XP_034295210.1
XP_015674511.1,XP_034258584.1
XP_029143070.1,XP_034293236.1
XP_015687088.1,XP_034293229.1
XP_015667223.1,XP_034272294.1
XP_015667263.1,XP_034265638.1
XP_015679351.1,XP_034258685.1
XP_015676824.1,XP_034295350.1
XP_015686468.1,XP_034295384.1
XP_029139246.1,XP_034282750.1
XP_029140013.1,XP_034272311.1
XP_015687102.1,XP_034293045.1
XP_015669618.1,XP_034295494.1
XP_029143111.1,XP_034259063.1
XP_015683389.1,XP_034272263.1
XP_015685576.1,XP_034259158.1
XP_015682723.1,XP_034259407.1
XP_015672474.1,XP_034272215.1
XP_015672201.1,XP_034258679.1
XP_015671028.1,XP_034271128.1
XP_029143053.1,XP_034271966.1
XP_015669091.1,XP_034259077.1
XP_015669093.1,XP_034258603.1
XP_015666345.1,XP_034271163.1
XP_015669917.1,XP_034259527.1
XP_015669918.1,XP_034259707.1
XP_015669934.1,XP_034258871.1
XP_015686994.1,XP_034272050.1
XP_029143063.1,XP_034272053.1
XP_015670100.1,XP_034270677.1
XP_015687003.1,XP_034272074.1
XP_015671751.1,XP_034296182.1
XP_015671767.1,XP_034295744.1
XP_015666863.1,XP_034270711.1
XP_015680008.2,XP_034295759.1
XP_015680005.1,XP_034295766.1
XP_029139465.1,XP_034295841.1
XP_015669681.1,XP_034272111.1
XP_015675259.1,XP_034295865.1
XP_015675267.1,XP_034295891.1
XP_015668258.1,XP_034258978.1
XP_029139047.1,XP_034270775.1
XP_015668409.1,XP_034258688.1
XP_015666837.1,XP_034270794.1
XP_015666838.1,XP_034270793.1
XP_015668154.1,XP_034259103.1
XP_015666451.1,XP_034259534.1
XP_015673596.1,XP_034295967.1
XP_029140368.1,XP_034258768.1
XP_015666799.1,XP_034270852.1
XP_015671977.1,XP_034259588.1
XP_015671976.2,XP_034259589.1
XP_015670120.1,XP_034271899.1
XP_015666794.1,XP_034270867.1
XP_015687674.2,XP_034271886.1
XP_015687700.1,XP_034271890.1
XP_015667018.1,XP_034270890.1
XP_015667019.1,XP_034270893.1
XP_015667272.1,XP_034258883.1
XP_015672153.1,XP_034281889.1
XP_029140103.1,XP_034281880.1
XP_015680609.1,XP_034281874.1
XP_015675169.1,XP_034259008.1
XP_015687680.2,XP_034271733.1
XP_015678333.1,XP_034292293.1
XP_015687646.1,XP_034270410.1
XP_015672716.1,XP_034296166.1
XP_015676305.1,XP_034258994.1
XP_015666542.1,XP_034276551.1
XP_015665941.1,XP_034272451.1
XP_029138890.1,XP_034271439.1
XP_029142693.1,XP_034273099.1
XP_015687158.1,XP_034270651.1
XP_015678670.1,XP_034286896.1
XP_015676387.1,XP_034274327.1
XP_015676382.1,XP_034274298.1
XP_015682138.1,XP_034270184.1
XP_015665653.1,XP_034292523.1
XP_029139199.1,XP_034270922.1
XP_029141182.1,XP_034286884.1
XP_015671959.1,XP_034275185.1
XP_015673796.1,XP_034270080.1
XP_015671964.1,XP_034275210.1
XP_015683346.1,XP_034263702.1
XP_015671063.1,XP_034270033.1
XP_015671073.2,XP_034270031.1
XP_029139893.1,XP_034270032.1
XP_015671062.1,XP_034270030.1
XP_015671059.1,XP_034270026.1
XP_015671058.1,XP_034270028.1
XP_015683545.2,XP_034296296.1
XP_015670102.1,XP_034296292.1
XP_029141348.1,XP_034269935.1
XP_015679518.1,XP_034296229.1
XP_015675688.1,XP_034297912.1
XP_015681320.1,XP_034297924.1
XP_015675424.1,XP_034270167.1
XP_029141796.1,XP_034290068.1
XP_015668444.1,XP_034269827.1
XP_015682534.1,XP_034269833.1
XP_015670402.1,XP_034279704.1
XP_015681237.1,XP_034289020.1
XP_015684064.1,XP_034289040.1
XP_015677410.1,XP_034279832.1
XP_015669077.1,XP_034289565.1
XP_015672414.1,XP_034279854.1
XP_029143011.1,XP_034297954.1
XP_015676845.1,XP_034283643.1
XP_029142088.1,XP_034267286.1
XP_015686462.1,XP_034298847.1
XP_029143099.1,XP_034298714.1
XP_015669415.1,XP_034298591.1
XP_015669419.1,XP_034298667.1
XP_015668709.1,XP_034268651.1
XP_015669998.1,XP_034298811.1
XP_015676298.1,XP_034268223.1
XP_029140221.1,XP_034257173.1
XP_015672666.1,XP_034257172.1
XP_015676301.1,XP_034270320.1
XP_015669022.1,XP_034257397.1
XP_015671385.1,XP_034267835.1
XP_015672343.1,XP_034267652.1
XP_015669903.1,XP_034265999.1
XP_015669905.2,XP_034266038.1
XP_015672520.1,XP_034266252.1
XP_015679458.1,XP_034265323.1
XP_015678216.1,XP_034264815.1
XP_015666470.1,XP_034298147.1
XP_029141325.1,XP_034264379.1
XP_015684232.2,XP_034261827.1
XP_015674054.2,XP_034287022.1
XP_015670666.1,XP_034296748.1
XP_015675575.1,XP_034296684.1
XP_015678199.1,XP_034296985.1
XP_029140445.1,XP_034297080.1
XP_015665436.1,XP_034297128.1
XP_015687592.1,XP_034297136.1
XP_015687428.1,XP_034296602.1
XP_015670745.2,XP_034265897.1
XP_029141203.1,XP_034267119.1
XP_015681481.1,XP_034265954.1
XP_015667992.1,XP_034266058.1
XP_015667991.1,XP_034266057.1
XP_015679139.1,XP_034266168.1
XP_015676118.1,XP_034266235.1
XP_015674690.1,XP_034266501.1
XP_015675070.1,XP_034266439.1
XP_015679577.1,XP_034266411.1
XP_015680584.1,XP_034266398.1
XP_015668808.1,XP_034289451.1
XP_015687018.1,XP_034274488.1
XP_015679246.1,XP_034274315.1
XP_015673755.2,XP_034275018.1
XP_015682216.1,XP_034274228.1
XP_015677701.1,XP_034274018.1
XP_015668757.1,XP_034290429.1
XP_015672102.1,XP_034273833.1
XP_015669062.1,XP_034273827.1
XP_015669061.1,XP_034273826.1
XP_015684816.1,XP_034273645.1
XP_015670596.1,XP_034290070.1
XP_029139963.1,XP_034273693.1
XP_015674133.1,XP_034273386.1
XP_015679363.1,XP_034273385.1
XP_015677547.1,XP_034273457.1
XP_015677546.1,XP_034273441.1
XP_015677543.1,XP_034273459.1
XP_015687199.1,XP_034273300.1
XP_015673948.1,XP_034274541.1
XP_015669559.1,XP_034273182.1
XP_015679280.1,XP_034273169.1
XP_015681093.2,XP_034274539.1
XP_015680763.1,XP_034273063.1
XP_015669416.1,XP_034268207.1
XP_015669408.1,XP_034268206.1
XP_015669385.1,XP_034268200.1
XP_015675406.1,XP_034268195.1
XP_015679253.1,XP_034272949.1
XP_029140579.1,XP_034272870.1
XP_015682760.1,XP_034272770.1
XP_015672915.1,XP_034268703.1
XP_015677873.1,XP_034263267.1
XP_015686143.1,XP_034263552.1
XP_015678264.1,XP_034263658.1
XP_015675771.1,XP_034279645.1
XP_015665667.1,XP_034264287.1
XP_015665679.1,XP_034292078.1
XP_015677123.1,XP_034292128.1
XP_015675205.1,XP_034276167.1
XP_015680498.1,XP_034276190.1
XP_015677312.1,XP_034264564.1
XP_015677315.1,XP_034264573.1
XP_015678268.1,XP_034289755.1
XP_015670545.1,XP_034264591.1
XP_015667217.1,XP_034268905.1
XP_015670675.1,XP_034289708.1
XP_015670672.1,XP_034289581.1
XP_015678577.1,XP_034268878.1
XP_015673004.1,XP_034268820.1
XP_015672365.1,XP_034261713.1
XP_015677040.1,XP_034261567.1
XP_015672131.1,XP_034283885.1
XP_029143175.1,XP_034282085.1
XP_015678727.1,XP_034282101.1
XP_015679701.1,XP_034282114.1
XP_015675248.1,XP_034282877.1
XP_015672612.1,XP_034285277.1
XP_015680313.1,XP_034258020.1
XP_015681444.1,XP_034258653.1
XP_015679446.1,XP_034297683.1
XP_015673378.1,XP_034297220.1
XP_015673379.1,XP_034297224.1
XP_015672822.1,XP_034296881.1
XP_015671843.1,XP_034288020.1
XP_015668074.1,XP_034295956.1
XP_015679522.1,XP_034287979.1
XP_015680628.1,XP_034287960.1
XP_015676470.1,XP_034288078.1
XP_015668136.1,XP_034292676.1
XP_015672360.1,XP_034288436.1
XP_015678782.1,XP_034288437.1
XP_029140062.1,XP_034293768.1
XP_015671693.1,XP_034292891.1
XP_015675646.1,XP_034264949.1
XP_015672869.1,XP_034264873.1
XP_015681605.1,XP_034264849.1
XP_015668335.1,XP_034264840.1
XP_015668342.1,XP_034264835.1
XP_015680536.1,XP_034274567.1
XP_015671116.1,XP_034265085.1
XP_015680450.1,XP_034287442.1
XP_015671125.1,XP_034265056.1
XP_015671120.2,XP_034265062.1
XP_015675347.1,XP_034260350.1
XP_029141603.1,XP_034296548.1
XP_029141935.1,XP_034264664.1
XP_015670792.1,XP_034274834.1
XP_015682379.1,XP_034287608.1
XP_015682051.1,XP_034289539.1
XP_029142122.1,XP_034284451.1
XP_015677629.1,XP_034284490.1
XP_015672396.1,XP_034284205.1
XP_015672407.1,XP_034284208.1
XP_015680395.1,XP_034284260.1
XP_015674526.1,XP_034284267.1
XP_015673739.1,XP_034283154.1
XP_029139975.1,XP_034284035.1
XP_015671992.1,XP_034284085.1
XP_015673504.1,XP_034283700.1
XP_015676865.1,XP_034283744.1
XP_015686033.1,XP_034283818.1
XP_015667651.1,XP_034283352.1
XP_015674459.1,XP_034283320.1
XP_015686857.1,XP_034283234.1
XP_015669174.1,XP_034283275.1
XP_015669405.1,XP_034290215.1
XP_015666024.1,XP_034275526.1
XP_015679918.1,XP_034289742.1
XP_015679919.1,XP_034289743.1
XP_015679826.1,XP_034292070.1
XP_015678308.1,XP_034282054.1
XP_015672679.1,XP_034276877.1
XP_015668951.1,XP_034298417.1
XP_015667649.1,XP_034280575.1
XP_015666253.1,XP_034291014.1
XP_015669043.1,XP_034286940.1
XP_015687486.1,XP_034265667.1
XP_015665535.1,XP_034293484.1
XP_015666648.1,XP_034286563.1
XP_015670779.1,XP_034277296.1
XP_015675864.1,XP_034280224.1
XP_029142770.1,XP_034265129.1
XP_015678054.1,XP_034291665.1
XP_015671248.1,XP_034284831.1
XP_015665466.1,XP_034293465.1
XP_015676006.1,XP_034285086.1
XP_015676005.1,XP_034285085.1
XP_015669255.1,XP_034277200.1
XP_015666178.1,XP_034298404.1
XP_015675870.1,XP_034280175.1
XP_015675871.1,XP_034280176.1
XP_029139700.1,XP_034277923.1
XP_029140240.1,XP_034278641.1
XP_029140239.1,XP_034278808.1
XP_029139594.1,XP_034296128.1
XP_029138814.1,XP_034293651.1
XP_015665430.1,XP_034293652.1
XP_015671834.1,XP_034292916.1
XP_015670972.1,XP_034294671.1
XP_029141928.1,XP_034263471.1
XP_015684451.1,XP_034282956.1
XP_015671310.1,XP_034296105.1
XP_029139348.1,XP_034281114.1
XP_015668415.1,XP_034281103.1
XP_029142029.1,XP_034262544.1
XP_015684760.1,XP_034282182.1
XP_029139561.1,XP_034290208.1
XP_015666323.1,XP_034285004.1
XP_015666321.1,XP_034285007.1
XP_015673472.1,XP_034265376.1
XP_015673479.1,XP_034265377.1
XP_015672281.2,XP_034276427.1
XP_029138949.1,XP_034285027.1
XP_015675058.1,XP_034291250.1
XP_029138766.1,XP_034297713.1
XP_015687884.1,XP_034297701.1
XP_015678958.1,XP_034287482.1
XP_015673957.1,XP_034266575.1
XP_015682693.1,XP_034287500.1
XP_015667120.1,XP_034269214.1
XP_015676923.1,XP_034294750.1
XP_029139152.1,XP_034291396.1
XP_015668782.1,XP_034268529.1
XP_015665447.1,XP_034293410.1
XP_015667386.1,XP_034291395.1
XP_015671266.1,XP_034284782.1
XP_015680856.1,XP_034283129.1
XP_029142577.1,XP_034260286.1
XP_015666109.1,XP_034257754.1
XP_015678085.1,XP_034281822.1
XP_029139112.1,XP_034269183.1
XP_015683393.1,XP_034286128.1
XP_015670041.1,XP_034292865.1
XP_015675014.2,XP_034292480.1
XP_015670043.1,XP_034292858.1
XP_015674987.1,XP_034292471.1
XP_015667406.1,XP_034291322.1
XP_015666943.1,XP_034282508.1
XP_015670055.1,XP_034292839.1
XP_029140884.1,XP_034294100.1
XP_029142933.1,XP_034263311.1
XP_015675020.1,XP_034293776.1
XP_029140617.1,XP_034293782.1
XP_029140317.1,XP_034287556.1
XP_015674052.1,XP_034297089.1
XP_015674840.1,XP_034288505.1
XP_015673618.1,XP_034287369.1
XP_015675146.1,XP_034269350.1
XP_015675817.1,XP_034291962.1
XP_015680174.1,XP_034272520.1
XP_015669372.1,XP_034294269.1
XP_015675097.1,XP_034287233.1
XP_015669046.1,XP_034263095.1
XP_015672147.1,XP_034294551.1
XP_015683641.1,XP_034260632.1
XP_015672150.1,XP_034294538.1
XP_015676826.1,XP_034270217.1
XP_015667443.1,XP_034297315.1
XP_015666594.1,XP_034286551.1
XP_015673337.1,XP_034297387.1
XP_015679781.1,XP_034259738.1
XP_015667482.1,XP_034297323.1
XP_015679803.1,XP_034259671.1
XP_015685769.1,XP_034265408.1
XP_015665526.1,XP_034293446.1
XP_015666924.1,XP_034282521.1
XP_029139983.1,XP_034273236.1
XP_015679623.1,XP_034290484.1
XP_029138787.1,XP_034257530.1
XP_015683276.1,XP_034297902.1
XP_015686928.1,XP_034276733.1
XP_015677734.1,XP_034269389.1
XP_015676252.1,XP_034286499.1
XP_015670958.1,XP_034291842.1
XP_029141907.1,XP_034267139.1
XP_015677592.1,XP_034291589.1
XP_015687235.1,XP_034276524.1
XP_015684750.1,XP_034293944.1
XP_015670786.1,XP_034277304.1
XP_015674660.1,XP_034282926.1
XP_015676586.1,XP_034289936.1
XP_029141637.1,XP_034293796.1
XP_015672331.1,XP_034282327.1
XP_029142258.1,XP_034298291.1
XP_015684203.1,XP_034262884.1
XP_015684204.1,XP_034263956.1
XP_029142656.1,XP_034289128.1
XP_015680072.1,XP_034293799.1
XP_015683769.1,XP_034289115.1
XP_015667361.1,XP_034283082.1
XP_015678822.1,XP_034289096.1
XP_015665464.1,XP_034293454.1
XP_015687911.1,XP_034297478.1
XP_015667385.2,XP_034291391.1
XP_015674643.1,XP_034280638.1
XP_015674642.1,XP_034280639.1
XP_015668307.1,XP_034276933.1
XP_029140833.1,XP_034280504.1
XP_015669555.1,XP_034266919.1
XP_015678478.1,XP_034282190.1
XP_029140578.1,XP_034283410.1
XP_015684551.1,XP_034286421.1
XP_015674780.1,XP_034283409.1
XP_015667665.1,XP_034281508.1
XP_015682388.1,XP_034281818.1
XP_015676587.1,XP_034291644.1
XP_015668388.1,XP_034281121.1
XP_015674275.1,XP_034290850.1
XP_015671830.1,XP_034265347.1
XP_015687632.1,XP_034259281.1
XP_015683587.1,XP_034261061.1
XP_015682230.1,XP_034261060.1
XP_029141006.1,XP_034293364.1
XP_029141004.1,XP_034293363.1
XP_015682103.1,XP_034264161.1
XP_015682771.1,XP_034264174.1
XP_015675378.1,XP_034292428.1
XP_015682773.1,XP_034297986.1
XP_015666297.1,XP_034286352.1
XP_015676453.1,XP_034265442.1
XP_029143092.1,XP_034276552.1
XP_015683560.1,XP_034297738.1
XP_015665864.1,XP_034268582.1
XP_029142764.1,XP_034261287.1
XP_015683256.1,XP_034263854.1
XP_015675298.1,XP_034267308.1
XP_015683259.1,XP_034263862.1
XP_015671710.1,XP_034290609.1
XP_029141816.1,XP_034280029.1
XP_015685494.1,XP_034290503.1
XP_015672095.1,XP_034279529.1
XP_015672234.2,XP_034287158.1
XP_015672233.2,XP_034287167.1
XP_015667160.1,XP_034269101.1
XP_015676640.1,XP_034294716.1
XP_015668735.1,XP_034276487.1
XP_015682908.1,XP_034261328.1
XP_015671104.1,XP_034262771.1
XP_015675679.1,XP_034277297.1
XP_015671103.1,XP_034261040.1
XP_015678808.1,XP_034261339.1
XP_015676082.1,XP_034272550.1
XP_015680520.1,XP_034267381.1
XP_029138999.1,XP_034286569.1
XP_015683985.1,XP_034272069.1
XP_029140949.1,XP_034261330.1
XP_015666633.1,XP_034286624.1
XP_015676090.2,XP_034279980.1
XP_015676093.1,XP_034279976.1
XP_015676072.1,XP_034279972.1
XP_015668920.1,XP_034295829.1
XP_015676260.1,XP_034286472.1
XP_015679748.1,XP_034297882.1
XP_029140793.1,XP_034279968.1
XP_015683288.1,XP_034291814.1
XP_015668935.1,XP_034295819.1
XP_015671403.1,XP_034274890.1
XP_015680418.1,XP_034274789.1
XP_015679216.1,XP_034274782.1
XP_029139961.1,XP_034274894.1
XP_015679117.1,XP_034297872.1
XP_015668257.1,XP_034260690.1
XP_015667631.1,XP_034257424.1
XP_029140023.1,XP_034274654.1
XP_029139539.1,XP_034295780.1
XP_015674219.1,XP_034274733.1
XP_029140976.1,XP_034281219.1
XP_015669743.1,XP_034285340.1
XP_029143096.1,XP_034274961.1
XP_015687247.1,XP_034274717.1
XP_015672876.1,XP_034278217.1
XP_015675074.1,XP_034290759.1
XP_015672873.2,XP_034278109.1
XP_015682372.1,XP_034261836.1
XP_015678943.1,XP_034295767.1
XP_015682774.1,XP_034262632.1
XP_015670657.1,XP_034269496.1
XP_015674082.1,XP_034291495.1
XP_015674084.2,XP_034291494.1
XP_015681786.1,XP_034288933.1
XP_029141834.1,XP_034280369.1
XP_015673833.1,XP_034280379.1
XP_015666469.1,XP_034265256.1
XP_015681305.1,XP_034260183.1
XP_015675436.1,XP_034275147.1
XP_015678483.1,XP_034260091.1
XP_015678876.1,XP_034260056.1
XP_015677527.1,XP_034280990.1
XP_015678986.1,XP_034276641.1
XP_015682621.1,XP_034282175.1
XP_015684737.1,XP_034290722.1
XP_015678952.1,XP_034261806.1
XP_015678883.1,XP_034294412.1
XP_015677167.1,XP_034281663.1
XP_015676018.1,XP_034283353.1
XP_029141270.1,XP_034280517.1
XP_015681595.1,XP_034292765.1
XP_015677163.1,XP_034281593.1
XP_015675558.1,XP_034281643.1
XP_029139357.1,XP_034281041.1
XP_015687471.1,XP_034259483.1
XP_015682440.1,XP_034290720.1
XP_029140309.1,XP_034297423.1
XP_015667696.1,XP_034264976.1
XP_015673525.1,XP_034277901.1
XP_015681957.1,XP_034260517.1
XP_015670938.1,XP_034284673.1
XP_015673325.1,XP_034297439.1
XP_015671551.1,XP_034261432.1
XP_029142575.1,XP_034278191.1
XP_015686752.1,XP_034289095.1
XP_015678819.1,XP_034289094.1
XP_015678821.1,XP_034289093.1
XP_029139870.1,XP_034284518.1
XP_015668692.1,XP_034289089.1
XP_029139422.1,XP_034293375.1
XP_015670912.1,XP_034284711.1
XP_015667203.1,XP_034278153.1
XP_015667210.1,XP_034278152.1
XP_029143181.1,XP_034269661.1
XP_015677869.1,XP_034263629.1
XP_015668034.1,XP_034270924.1
XP_015667007.1,XP_034288837.1
XP_015677567.1,XP_034280746.1
XP_015668036.1,XP_034270921.1
XP_015666182.2,XP_034298447.1
XP_015681472.1,XP_034282385.1
XP_015669105.1,XP_034292948.1
XP_015666936.1,XP_034282614.1
XP_029141768.1,XP_034260356.1
XP_015676904.1,XP_034294773.1
XP_015673302.1,XP_034297409.1
XP_015675569.1,XP_034284924.1
XP_015684053.1,XP_034284910.1
XP_015670820.1,XP_034262794.1
XP_015668904.1,XP_034293018.1
XP_015670819.1,XP_034262760.1
XP_015683935.1,XP_034278072.1
XP_015668472.1,XP_034277163.1
XP_029141111.1,XP_034260285.1
XP_015666483.1,XP_034265302.1
XP_015672746.1,XP_034259665.1
XP_015670810.1,XP_034262622.1
XP_015677228.1,XP_034284751.1
XP_015684173.1,XP_034260273.1
XP_015673230.1,XP_034277117.1
XP_015673799.2,XP_034280587.1
XP_015666487.1,XP_034265300.1
XP_015677481.1,XP_034278215.1
XP_015670827.2,XP_034262391.1
XP_015686296.1,XP_034278040.1
XP_015681882.1,XP_034260386.1
XP_015671855.1,XP_034278032.1
XP_015675846.1,XP_034280122.1
XP_015686977.1,XP_034287186.1
XP_015687371.1,XP_034268371.1
XP_015669534.2,XP_034267137.1
XP_015681342.2,XP_034261919.1
XP_015684790.1,XP_034291947.1
XP_015675681.1,XP_034277274.1
XP_015671380.1,XP_034283711.1
XP_015669133.1,XP_034284579.1
XP_015669550.1,XP_034266891.1
XP_015675029.1,XP_034297457.1
XP_015681884.1,XP_034284932.1
XP_015679563.1,XP_034259798.1
XP_015674710.1,XP_034266464.1
XP_029138929.1,XP_034278557.1
XP_015681596.1,XP_034292010.1
XP_015681597.1,XP_034292014.1
XP_015681132.1,XP_034290524.1
XP_015682326.1,XP_034294333.1
XP_015669341.1,XP_034294177.1
XP_015676212.1,XP_034280465.1
XP_015683304.1,XP_034297845.1
XP_015683181.1,XP_034294339.1
XP_015677769.1,XP_034292689.1
XP_015684910.1,XP_034289787.1
XP_015672829.1,XP_034279429.1
XP_015687951.1,XP_034297534.1
XP_015677131.1,XP_034276434.1
XP_015671528.1,XP_034290777.1
XP_015671036.1,XP_034288917.1
XP_029142609.1,XP_034281218.1
XP_015676920.1,XP_034294770.1
XP_015666624.2,XP_034286596.1
XP_015677014.1,XP_034298786.1
XP_029141660.1,XP_034276590.1
XP_015677017.1,XP_034298812.1
XP_015667015.1,XP_034286523.1
XP_015687928.1,XP_034297626.1
XP_029143064.1,XP_034275802.1
XP_015675122.1,XP_034278212.1
XP_015673136.2,XP_034275278.1
XP_015685035.2,XP_034280396.1
XP_015668993.1,XP_034278376.1
XP_029142767.1,XP_034280393.1
XP_029142014.1,XP_034280392.1
XP_015681807.2,XP_034280390.1
XP_015682419.1,XP_034276607.1
XP_015673741.1,XP_034276574.1
XP_015678095.1,XP_034294359.1
XP_015669464.2,XP_034278282.1
XP_015672941.2,XP_034263550.1
XP_015665449.1,XP_034293413.1
XP_029143134.1,XP_034280712.1
XP_015681539.1,XP_034262853.1
XP_029141449.1,XP_034278253.1
XP_015678350.1,XP_034263147.1
XP_015683751.1,XP_034260569.1
XP_015668066.1,XP_034281010.1
XP_015668077.1,XP_034281011.1
XP_029139250.1,XP_034285715.1
XP_015687454.1,XP_034260262.1
XP_015672509.1,XP_034298327.1
XP_015673036.2,XP_034281251.1
XP_015673078.1,XP_034281712.1
XP_029139636.1,XP_034264052.1
XP_015669787.1,XP_034264048.1
XP_015673114.1,XP_034284923.1
XP_015670582.1,XP_034298242.1
XP_015681324.1,XP_034262997.1
XP_015671711.1,XP_034290605.1
XP_015674954.1,XP_034296145.1
XP_015674955.1,XP_034296146.1
XP_015679306.1,XP_034289417.1
XP_015682162.1,XP_034285806.1
XP_015681832.1,XP_034298374.1
XP_015676730.1,XP_034266607.1
XP_015684571.1,XP_034291574.1
XP_029141183.1,XP_034279341.1
XP_015677887.1,XP_034280801.1
XP_029140859.1,XP_034266622.1
XP_029140544.1,XP_034284941.1
XP_015676937.1,XP_034277817.1
XP_015673593.1,XP_034281859.1
XP_015683826.1,XP_034290624.1
XP_015674327.1,XP_034281855.1
XP_015668745.1,XP_034281854.1
XP_015680327.1,XP_034282888.1
XP_015675723.1,XP_034266660.1
XP_015672643.1,XP_034285868.1
XP_015682123.2,XP_034285875.1
XP_015672827.1,XP_034266674.1
XP_015672765.1,XP_034266673.1
XP_015679192.1,XP_034288554.1
XP_015673163.1,XP_034280236.1
XP_029141803.1,XP_034281363.1
XP_015669130.1,XP_034284512.1
XP_015672555.1,XP_034285140.1
XP_015680384.1,XP_034280830.1
XP_015672076.1,XP_034279491.1
XP_029142826.1,XP_034262565.1
XP_015669122.1,XP_034284621.1
XP_015684871.1,XP_034275916.1
XP_015666570.1,XP_034272279.1
XP_029138991.1,XP_034272232.1
XP_029142002.1,XP_034284904.1
XP_015681740.1,XP_034284900.1
XP_015680814.1,XP_034261699.1
XP_015683089.1,XP_034289218.1
XP_015669138.1,XP_034284635.1
XP_015669137.1,XP_034262646.1
XP_015676055.1,XP_034296058.1
XP_015683096.1,XP_034289221.1
XP_029140895.1,XP_034294094.1
XP_015669119.1,XP_034284636.1
XP_015667571.1,XP_034281446.1
XP_029139441.1,XP_034265845.1
XP_015673482.1,XP_034283980.1
XP_015688042.1,XP_034257544.1
XP_029142414.1,XP_034269590.1
XP_015677671.1,XP_034269663.1
XP_015668729.1,XP_034291625.1
XP_015670033.1,XP_034274552.1
XP_015677445.1,XP_034261861.1
XP_015676899.1,XP_034286393.1
XP_015668369.1,XP_034281076.1
XP_015667891.1,XP_034257594.1
XP_015684604.2,XP_034263734.1
XP_015682255.1,XP_034291844.1
XP_015667192.2,XP_034259871.1
XP_015667888.2,XP_034257569.1
XP_015677804.2,XP_034263905.1
XP_015675226.1,XP_034273770.1
XP_015674204.1,XP_034269472.1
XP_029139453.1,XP_034291535.1
XP_015679862.2,XP_034271152.1
XP_015679861.1,XP_034270288.1
XP_015682605.2,XP_034288665.1
XP_015687388.1,XP_034281802.1
XP_015670940.1,XP_034284670.1
XP_015669779.2,XP_034298465.1
XP_015670939.1,XP_034284671.1
XP_015682832.1,XP_034282002.1
XP_015685195.1,XP_034275982.1
XP_015678601.1,XP_034286115.1
XP_015688040.1,XP_034257562.1
XP_015674441.1,XP_034281617.1
XP_015683281.1,XP_034291811.1
XP_015674447.1,XP_034282341.1
XP_015668395.2,XP_034281074.1
XP_029140378.1,XP_034284931.1
XP_029141297.1,XP_034286147.1
XP_015667943.1,XP_034259571.1
XP_015669584.1,XP_034273511.1
XP_015684374.2,XP_034263000.1
XP_015684865.1,XP_034262989.1
XP_015675375.1,XP_034292588.1
XP_015688016.1,XP_034257529.1
XP_015667287.1,XP_034259570.1
XP_015684027.1,XP_034291745.1
XP_015672268.1,XP_034281309.1
XP_029139592.1,XP_034265873.1
XP_015669026.1,XP_034285224.1
XP_015675399.1,XP_034257648.1
XP_029138788.1,XP_034257624.1
XP_029138782.1,XP_034257633.1
XP_015680253.1,XP_034291709.1
