Orthogroup	H_sapiens.pep	N_naja.pep
OG0005717	ENSG00000146904.9, ENSG00000284816.2	Nana11124-RA
OG0005718	ENSG00000169446.5	Nana32595-RB
OG0005719	ENSG00000164944.12	Nana16613-RB, Nana16613-RA
OG0005720	ENSG00000175756.13	Nana37393-RA
OG0005721	ENSG00000107021.16	Nana36802-RA
OG0005722	ENSG00000101928.13	Nana32598-RA, Nana32598-RB
OG0005723	ENSG00000104413.18	Nana16615-RB, Nana16615-RA
OG0005724	ENSG00000105379.9	Nana30470-RA
OG0005725	ENSG00000064787.13	Nana13590-RA, Nana13590-RB
OG0005726	ENSG00000183044.12	Nana33876-RA, Nana33876-RB
OG0005727	ENSG00000242485.6	Nana37391-RA
OG0005728	ENSG00000182463.16	Nana13594-RA, Nana13593-RA
OG0005729	ENSG00000165704.15	Nana32602-RA
OG0005730	ENSG00000159840.16, ENSG00000285443.2	Nana11123-RA
OG0005731	ENSG00000113194.13	Nana08728-RB, Nana08728-RA
OG0005732	ENSG00000156531.16	Nana32603-RA, Nana32603-RB
OG0005733	ENSG00000175416.14	Nana08729-RA, Nana08729-RB
OG0005734	ENSG00000100024.15	Nana35540-RB, Nana35540-RA
OG0005735	ENSG00000158863.22	Nana28029-RB, Nana28029-RD, Nana28029-RE
OG0005736	ENSG00000188037.12	Nana11121-RB, Nana11121-RA
OG0005737	ENSG00000048162.20	Nana08731-RB, Nana08731-RA
OG0005738	ENSG00000144028.15	Nana28121-RA
OG0005739	ENSG00000101096.20	Nana13606-RA, Nana13604-RA
OG0005740	ENSG00000147140.16	Nana32675-RA
OG0005741	ENSG00000051596.9	Nana08735-RA
OG0005742	ENSG00000000419.12	Nana13609-RA
OG0005743	ENSG00000101126.18	Nana13611-RB, Nana13611-RA
OG0005744	ENSG00000108406.10	Nana00264-RA
OG0005745	ENSG00000127463.15	Nana37205-RA, Nana37205-RB
OG0005746	ENSG00000156469.9	Nana16633-RB, Nana16633-RA
OG0005747	ENSG00000087111.21	Nana00089-RA
OG0005748	ENSG00000273171.1, ENSG00000109072.14	Nana00082-RA
OG0005749	ENSG00000244045.13	Nana00081-RB, Nana00081-RA
OG0005750	ENSG00000100425.18	Nana29540-RA
OG0005751	ENSG00000005513.10	Nana33859-RA, Nana33861-RA
OG0005752	ENSG00000147454.14	Nana28313-RA, Nana28313-RB
OG0005753	ENSG00000070366.14	Nana00078-RA
OG0005754	ENSG00000182858.14	Nana29544-RA, Nana29544-RB
OG0005755	ENSG00000089163.4	Nana35440-RB, Nana35440-RA
OG0005756	ENSG00000198736.11	Nana33684-RA
OG0005757	ENSG00000022840.16	Nana35459-RA, Nana35459-RB
OG0005758	ENSG00000110917.8	Nana35468-RA, Nana35468-RB
OG0005759	ENSG00000099992.15	Nana34969-RB, Nana34969-RA
OG0005760	ENSG00000122966.16	Nana34974-RA
OG0005761	ENSG00000118482.11	Nana02363-RA, Nana02363-RB
OG0005762	ENSG00000085719.13	Nana16545-RB, Nana16545-RA
OG0005763	ENSG00000134962.7	Nana18504-RA
OG0005764	ENSG00000118600.12	Nana26811-RB, Nana26811-RA
OG0005765	ENSG00000197712.12	Nana18510-RB, Nana18510-RA
OG0005766	ENSG00000133740.11	Nana16532-RC, Nana16532-RD
OG0005767	ENSG00000133739.16	Nana16532-RA, Nana16532-RB
OG0005768	ENSG00000065882.16	Nana18513-RA
OG0005769	ENSG00000123064.12	Nana35018-RB, Nana35018-RA
OG0005770	ENSG00000186815.12	Nana35022-RA
OG0005771	ENSG00000104231.11	Nana16523-RB, Nana16523-RC
OG0005772	ENSG00000254445.1, ENSG00000170276.6	Nana28882-RA
OG0005773	ENSG00000181826.10	Nana18516-RA
OG0005774	ENSG00000133731.10	Nana16523-RA
OG0005775	ENSG00000174145.8	Nana18517-RA
OG0005776	ENSG00000125912.11	Nana06363-RC, Nana06363-RB
OG0005777	ENSG00000168924.15	Nana26717-RA, Nana26717-RB
OG0005778	ENSG00000138002.15	Nana00660-RB, Nana00660-RC, Nana00660-RA
OG0005779	ENSG00000170145.5	Nana28877-RB, Nana28877-RA
OG0005780	ENSG00000122965.11	Nana35044-RA
OG0005781	ENSG00000142186.17	Nana35632-RA, Nana35634-RA, Nana35762-RA
OG0005782	ENSG00000137707.13	Nana28870-RA
OG0005783	ENSG00000110777.12	Nana28866-RB, Nana28866-RA
OG0005784	ENSG00000243449.6	Nana26723-RA
OG0005785	ENSG00000123933.17	Nana26729-RA
OG0005786	ENSG00000172671.20	Nana26314-RB, Nana26314-RA
OG0005787	ENSG00000140750.17, ENSG00000288353.1	Nana33773-RA
OG0005788	ENSG00000204179.10	Nana11551-RA, Nana26758-RA
OG0005789	ENSG00000215114.9	Nana16358-RA
OG0005790	ENSG00000005884.18	Nana23252-RA
OG0005791	ENSG00000187783.12	Nana26737-RA
OG0005792	ENSG00000280479.2, ENSG00000160325.14	Nana36928-RA
OG0005793	ENSG00000136152.15	Nana26730-RB, Nana26730-RA
OG0005794	ENSG00000113384.14	Nana12467-RA
OG0005795	ENSG00000135720.13	Nana31324-RB, Nana31324-RA
OG0005796	ENSG00000133401.16	Nana12476-RA, Nana12475-RA
OG0005797	ENSG00000166569.8	Nana12490-RA
OG0005798	ENSG00000159713.11	Nana31332-RB, Nana31332-RA
OG0005799	ENSG00000159714.11	Nana31334-RB, Nana31334-RA
OG0005800	ENSG00000137563.12	Nana16391-RA
OG0005801	ENSG00000102890.16	Nana31337-RA
OG0005802	ENSG00000080572.13	Nana32719-RA
OG0005803	ENSG00000197930.13	Nana05919-RA
OG0005804	ENSG00000205250.9	Nana31338-RB, Nana31338-RA
OG0005805	ENSG00000109906.14	Nana28950-RA
OG0005806	ENSG00000147571.5	Nana16411-RA
OG0005807	ENSG00000180801.14	Nana17919-RA
OG0005808	ENSG00000185697.16	Nana16414-RA
OG0005809	ENSG00000064419.13	Nana27977-RB, Nana27977-RA
OG0005810	ENSG00000107263.18	Nana36880-RA
OG0005811	ENSG00000205730.6	Nana34132-RA, Nana34131-RA, Nana34648-RA
OG0005812	ENSG00000167186.11	Nana34130-RA, Nana34647-RA
OG0005813	ENSG00000139974.15	Nana05805-RA, Nana05805-RB
OG0005814	ENSG00000171861.11	Nana00022-RA, Nana00025-RA
OG0005815	ENSG00000116747.12	Nana15049-RA, Nana15049-RB
OG0005816	ENSG00000100612.14	Nana05817-RA
OG0005817	ENSG00000121022.14	Nana16422-RA
OG0005818	ENSG00000131951.11	Nana05819-RB, Nana05819-RA
OG0005819	ENSG00000139970.17	Nana05821-RA, Nana05820-RA
OG0005820	ENSG00000162736.17	Nana35737-RA, Nana35737-RB
OG0005821	ENSG00000177511.6	Nana12514-RA
OG0005822	ENSG00000064199.6	Nana28532-RA
OG0005823	ENSG00000178950.17	Nana11285-RA
OG0005824	ENSG00000168813.17	Nana31393-RA, Nana31393-RB
OG0005825	ENSG00000165526.9	Nana28535-RA
OG0005826	ENSG00000110060.9	Nana28536-RA
OG0005827	ENSG00000135637.14	Nana17517-RA, Nana17517-RB
OG0005828	ENSG00000143436.11	Nana36266-RA
OG0005829	ENSG00000116096.6	Nana17483-RA
OG0005830	ENSG00000169020.10	Nana11280-RA
OG0005831	ENSG00000205835.9	Nana38358-RA, Nana38355-RA
OG0005832	ENSG00000111450.14	Nana35335-RB, Nana35335-RA
OG0005833	ENSG00000103248.19	Nana31681-RA
OG0005834	ENSG00000127527.14	Nana06007-RA
OG0005835	ENSG00000147592.9	Nana16442-RA
OG0005836	ENSG00000150455.13	Nana28557-RA
OG0005837	ENSG00000151948.12	Nana35359-RA, Nana35361-RA
OG0005838	ENSG00000119777.20	Nana00696-RD, Nana00696-RF, Nana00696-RE
OG0005839	ENSG00000213551.7	Nana19249-RA
OG0005840	ENSG00000122873.12	Nana19253-RA
OG0005842	ENSG00000081760.17	Nana35387-RA
OG0005843	ENSG00000151151.6	Nana19254-RA
OG0005844	ENSG00000108219.15	Nana19046-RB, Nana19046-RA
OG0005845	ENSG00000137075.18	Nana11261-RA, Nana11261-RB
OG0005846	ENSG00000144591.18	Nana03953-RA
OG0005847	ENSG00000147905.17	Nana11249-RA, Nana11250-RA
OG0005848	ENSG00000196498.13	Nana35599-RA
OG0005850	ENSG00000265972.6	Nana35769-RB, Nana35769-RA
OG0005851	ENSG00000137106.18	Nana11248-RA
OG0005852	ENSG00000121039.10	Nana16465-RA
OG0005853	ENSG00000155629.15	Nana18789-RA
OG0005854	ENSG00000119242.8, ENSG00000275035.2	Nana34883-RA
OG0005856	ENSG00000104369.5	Nana16476-RA, Nana16475-RA
OG0005857	ENSG00000158850.15	Nana36113-RA
OG0005858	ENSG00000213853.10	Nana34570-RA, Nana34570-RB
OG0005859	ENSG00000165275.10	Nana11234-RA
OG0005860	ENSG00000175390.14	Nana18786-RA
OG0005861	ENSG00000070601.10	Nana11233-RA
OG0005862	ENSG00000179583.19	Nana34573-RD, Nana34573-RE
OG0005863	ENSG00000038532.16	Nana34573-RG, Nana34573-RF
OG0005864	ENSG00000167005.14	Nana31186-RA
OG0005865	ENSG00000213445.10	Nana36032-RA
OG0005866	ENSG00000138698.14	Nana17782-RA
OG0005867	ENSG00000085224.22	Nana31944-RA
OG0005868	ENSG00000171885.17	Nana16225-RA
OG0005869	ENSG00000119559.16	Nana06295-RA
OG0005870	ENSG00000141384.12	Nana16220-RA
OG0005871	ENSG00000164024.12	Nana17785-RA, Nana17785-RB
OG0005872	ENSG00000196968.11	Nana18814-RA
OG0005873	ENSG00000086598.11	Nana34869-RA
OG0005874	ENSG00000163159.13	Nana36319-RA
OG0005875	ENSG00000188026.13	Nana34868-RB, Nana34868-RA
OG0005876	ENSG00000184209.15	Nana34669-RA
OG0005877	ENSG00000066933.16	Nana33114-RD, Nana33114-RC
OG0005878	ENSG00000070269.14	Nana05850-RB, Nana05850-RA
OG0005879	ENSG00000168763.16	Nana28178-RA, Nana28180-RA
OG0005880	ENSG00000117748.10	Nana30292-RA
OG0005881	ENSG00000103723.15	Nana33110-RA
OG0005882	ENSG00000130921.8	Nana34859-RA
OG0005883	ENSG00000051825.15	Nana34857-RA
OG0005884	ENSG00000158161.16	Nana30295-RH
OG0005886	ENSG00000099812.9	Nana06104-RA, Nana06104-RB
OG0005887	ENSG00000053747.16	Nana16203-RA
OG0005888	ENSG00000198825.15	Nana19601-RA
OG0005889	ENSG00000007541.16	Nana34019-RA
OG0005890	ENSG00000168878.18	Nana28026-RA, Nana28026-RB
OG0005891	ENSG00000143369.15	Nana36329-RA, Nana36329-RB
OG0005892	ENSG00000179142.2, ENSG00000160882.12	Nana17196-RA
OG0005894	ENSG00000167770.11	Nana35971-RA
OG0005895	ENSG00000167193.8	Nana00032-RA
OG0005896	ENSG00000281883.1, ENSG00000179630.11	Nana26646-RA
OG0005897	ENSG00000131788.16	Nana35620-RA
OG0005898	ENSG00000169758.13	Nana32939-RA
OG0005899	ENSG00000141458.13	Nana16200-RA
OG0005900	ENSG00000156671.15	Nana18925-RB, Nana18925-RA
OG0005901	ENSG00000168439.16	Nana35983-RA
OG0005902	ENSG00000147548.17	Nana28264-RB, Nana28264-RA
OG0005903	ENSG00000095627.9	Nana19695-RA, Nana19697-RA
OG0005904	ENSG00000077549.18	Nana37192-RA
OG0005905	ENSG00000165046.12	Nana28266-RA
OG0005906	ENSG00000149743.14	Nana35985-RA
OG0005907	ENSG00000149823.9	Nana35817-RA
OG0005908	ENSG00000139726.11	Nana34839-RA
OG0005909	ENSG00000124172.10	Nana15764-RA, Nana13526-RA
OG0005910	ENSG00000100479.13	Nana05955-RA
OG0005912	ENSG00000105270.15	Nana30854-RB, Nana30854-RA
OG0005913	ENSG00000196510.12	Nana34837-RB, Nana34837-RA
OG0005914	ENSG00000101773.19	Nana16193-RA, Nana16193-RB
OG0005915	ENSG00000107281.10	Nana36759-RA
OG0005916	ENSG00000114745.13	Nana21190-RA
OG0005917	ENSG00000137699.17	Nana28810-RA, Nana28812-RA
OG0005918	ENSG00000137709.10	Nana28800-RA
OG0005919	ENSG00000141446.11	Nana16171-RA, Nana16171-RB
OG0005920	ENSG00000108389.9	Nana00591-RA, Nana00591-RB
OG0005921	ENSG00000089053.13	Nana34822-RA
OG0005922	ENSG00000047365.12	Nana18521-RA
OG0005923	ENSG00000184207.9	Nana33824-RA
OG0005924	ENSG00000144655.15	Nana21188-RB, Nana21188-RA
OG0005925	ENSG00000160360.13	Nana37030-RA, Nana37028-RA
OG0005926	ENSG00000168334.9	Nana21182-RA, Nana21182-RB
OG0005927	ENSG00000116690.12	Nana15092-RA, Nana15091-RA
OG0005928	ENSG00000215045.8	Nana33832-RA
OG0005929	ENSG00000135093.13	Nana34728-RN
OG0005930	ENSG00000158865.12, ENSG00000288216.1	Nana33835-RA
OG0005931	ENSG00000132286.12, ENSG00000283977.1	Nana25674-RA
OG0005932	ENSG00000137822.12	Nana33638-RB, Nana33638-RD
OG0005933	ENSG00000128965.13	Nana05062-RA
OG0005934	ENSG00000135124.14	Nana34826-RA
OG0005935	ENSG00000198959.12	Nana12940-RA
OG0005936	ENSG00000172426.16	Nana01397-RA, Nana01398-RA
OG0005937	ENSG00000172936.14	Nana21176-RA, Nana21176-RB
OG0005938	ENSG00000186132.15	Nana03713-RA
OG0005939	ENSG00000161016.17	Nana24440-RA
OG0005940	ENSG00000106689.11	Nana36510-RA
OG0005941	ENSG00000166140.17	Nana05069-RB, Nana05069-RA
OG0005942	ENSG00000060971.18	Nana21171-RA
OG0005943	ENSG00000116353.16	Nana30218-RB, Nana30218-RC
OG0005944	ENSG00000196814.15	Nana36995-RA
OG0005945	ENSG00000153246.13	Nana03524-RA, Nana03522-RA
OG0005946	ENSG00000104129.10	Nana05070-RA
OG0005947	ENSG00000088992.18	Nana35086-RA
OG0005948	ENSG00000109929.10	Nana28778-RB, Nana28778-RA
OG0005949	ENSG00000079134.12	Nana16161-RA, Nana16161-RB
OG0005950	ENSG00000090447.12	Nana34620-RA, Nana34620-RB
OG0005951	ENSG00000135842.17	Nana15106-RA, Nana15105-RA
OG0005952	ENSG00000162512.16	Nana30233-RA, Nana30235-RA
OG0005953	ENSG00000119927.14	Nana19720-RC, Nana19720-RA, Nana19720-RB
OG0005955	ENSG00000151465.14	Nana29202-RA
OG0005956	ENSG00000051180.17	Nana05075-RA
OG0005957	ENSG00000125878.6	Nana39678-RA
OG0005958	ENSG00000139496.16	Nana25130-RA
OG0005959	ENSG00000060688.13	Nana30245-RA
OG0005960	ENSG00000166133.18	Nana05077-RA, Nana05077-RC
OG0005961	ENSG00000165609.13	Nana29203-RA
OG0005962	ENSG00000176105.14	Nana16155-RA
OG0005963	ENSG00000166250.12	Nana28750-RA, Nana28750-RB
OG0005964	ENSG00000168528.12	Nana30250-RA
OG0005965	ENSG00000181192.12	Nana29205-RA
OG0005966	ENSG00000161981.11	Nana34627-RE, Nana34627-RB
OG0005967	ENSG00000132970.14	Nana25112-RA
OG0005968	ENSG00000244588.5	Nana38509-RA, Nana38505-RA, Nana13278-RA
OG0005969	ENSG00000122877.16	Nana18903-RA
OG0005970	ENSG00000123094.15	Nana29208-RA, Nana29209-RA
OG0005971	ENSG00000160695.14, ENSG00000280616.2	Nana29035-RA
OG0005972	ENSG00000122033.14	Nana25099-RB, Nana25099-RA
OG0005973	ENSG00000106105.14	Nana21161-RA, Nana20716-RA
OG0005974	ENSG00000197892.13	Nana00781-RA, Nana00781-RB
OG0005975	ENSG00000196932.12	Nana18838-RA
OG0005976	ENSG00000088833.17	Nana13273-RA
OG0005977	ENSG00000284844.1, ENSG00000184154.14	Nana25573-RA
OG0005978	ENSG00000159433.12	Nana05005-RA
OG0005979	ENSG00000112874.10	Nana12008-RA
OG0005980	ENSG00000075673.11	Nana28736-RA
OG0005981	ENSG00000106125.14	Nana21152-RA, Nana21153-RA
OG0005982	ENSG00000151422.13	Nana11981-RA
OG0005983	ENSG00000183166.11	Nana00406-RA
OG0005984	ENSG00000092051.17	Nana38819-RA, Nana39561-RA, Nana38821-RA
OG0005985	ENSG00000204160.12	Nana30123-RG, Nana30123-RE, Nana30123-RF
OG0005986	ENSG00000069943.10	Nana32750-RA, Nana32750-RC
OG0005987	ENSG00000151498.11	Nana28717-RB, Nana28717-RA
OG0005988	ENSG00000142751.15	Nana30125-RE, Nana30125-RA, Nana30125-RD
OG0005989	ENSG00000156970.12, ENSG00000259288.7	Nana05098-RA
OG0005991	ENSG00000090273.14	Nana30126-RB, Nana30126-RD
OG0005992	ENSG00000198081.11	Nana16126-RA
OG0005993	ENSG00000078549.14	Nana21151-RA
OG0005994	ENSG00000177426.20	Nana16131-RA
OG0005995	ENSG00000164211.13	Nana11968-RA
OG0005996	ENSG00000134817.10	Nana04061-RA
OG0005997	ENSG00000169762.17	Nana18737-RA, Nana18737-RB
OG0005998	ENSG00000133065.11	Nana14122-RC
OG0005999	ENSG00000162877.13	Nana14121-RA
OG0006000	ENSG00000136631.15	Nana36383-RA, Nana36383-RB
OG0006001	ENSG00000002746.15	Nana22521-RA
OG0006002	ENSG00000172795.16	Nana11958-RA, Nana11958-RB
OG0006003	ENSG00000179403.12	Nana37377-RA
OG0006004	ENSG00000120899.18	Nana00745-RA, Nana00745-RB
OG0006005	ENSG00000132205.11	Nana38572-RA, Nana16137-RA
OG0006006	ENSG00000114853.14	Nana21144-RA
OG0006007	ENSG00000047188.16	Nana11955-RA, Nana11955-RB
OG0006008	ENSG00000101624.11	Nana16077-RA
OG0006009	ENSG00000101892.12	Nana32400-RA
OG0006010	ENSG00000198382.9	Nana25474-RA, Nana25473-RA
OG0006011	ENSG00000102910.14	Nana31480-RB, Nana31480-RC
OG0006012	ENSG00000177150.13	Nana16061-RB, Nana16061-RA
OG0006013	ENSG00000145782.13	Nana11942-RA
OG0006014	ENSG00000158104.11	Nana34812-RA
OG0006015	ENSG00000085741.13	Nana25726-RA
OG0006016	ENSG00000273594.4, ENSG00000104529.17	Nana17148-RA
OG0006017	ENSG00000172901.20	Nana11939-RA
OG0006018	ENSG00000125351.11	Nana32409-RA, Nana32409-RB
OG0006019	ENSG00000182795.13	Nana14083-RB, Nana14083-RA
OG0006020	ENSG00000282873.1, ENSG00000110987.8	Nana34807-RA
OG0006021	ENSG00000124357.13	Nana17454-RA
OG0006022	ENSG00000196151.10	Nana03533-RA, Nana03533-RB
OG0006023	ENSG00000175727.14, ENSG00000281178.4	Nana34805-RA
OG0006024	ENSG00000123836.15	Nana14075-RA
OG0006025	ENSG00000102893.16	Nana31472-RB, Nana31472-RA
OG0006026	ENSG00000172869.14	Nana11918-RC, Nana11918-RA
OG0006027	ENSG00000103381.12	Nana34105-RA, Nana34104-RA
OG0006028	ENSG00000139233.7	Nana26780-RA
OG0006029	ENSG00000013374.16	Nana21211-RA
OG0006030	ENSG00000136802.11	Nana36809-RA
OG0006031	ENSG00000105229.7	Nana06429-RB, Nana06429-RA
OG0006032	ENSG00000155974.12	Nana26778-RA
OG0006033	ENSG00000187260.15	Nana21212-RA
OG0006034	ENSG00000144283.21	Nana03537-RB, Nana03537-RA
OG0006035	ENSG00000132359.15	Nana00396-RA
OG0006036	ENSG00000169021.6	Nana31435-RA
OG0006037	ENSG00000148384.13	Nana37054-RB, Nana37054-RA
OG0006038	ENSG00000106615.10	Nana21214-RA
OG0006039	ENSG00000127318.11	Nana26903-RA
OG0006040	ENSG00000131634.14	Nana34067-RA
OG0006041	ENSG00000153237.18	Nana03539-RA, Nana03538-RA
OG0006042	ENSG00000007545.16	Nana39926-RA, Nana39926-RB
OG0006043	ENSG00000069345.12	Nana31462-RA
OG0006044	ENSG00000149428.19, ENSG00000280682.3	Nana29036-RC
OG0006045	ENSG00000138834.13	Nana34081-RA
OG0006046	ENSG00000137269.15	Nana02407-RA
OG0006047	ENSG00000178234.13	Nana21218-RA
OG0006048	ENSG00000151304.6	Nana11903-RB, Nana11903-RA
OG0006049	ENSG00000113083.14	Nana11902-RA
OG0006050	ENSG00000176225.14	Nana16030-RA, Nana16030-RB
OG0006051	ENSG00000250803.6, ENSG00000164185.6	Nana11901-RA
OG0006052	ENSG00000168143.9	Nana02400-RA
OG0006053	ENSG00000157765.13	Nana18431-RA, Nana18431-RB
OG0006054	ENSG00000127337.7	Nana26912-RA, Nana26912-RB
OG0006055	ENSG00000170677.6	Nana16026-RA
OG0006056	ENSG00000055147.19	Nana08788-RA
OG0006057	ENSG00000181610.13	Nana00341-RA
OG0006058	ENSG00000037749.12	Nana08787-RA, Nana08787-RB
OG0006059	ENSG00000196584.3	Nana21225-RA
OG0006060	ENSG00000168214.20	Nana18567-RB, Nana18567-RA
OG0006061	ENSG00000166226.13	Nana26915-RA
OG0006062	ENSG00000072121.16	Nana04930-RA, Nana04930-RB
OG0006063	ENSG00000109689.16	Nana18560-RA
OG0006064	ENSG00000133313.15	Nana15994-RA
OG0006065	ENSG00000288146.1, ENSG00000184967.7	Nana35296-RC
OG0006066	ENSG00000127325.19	Nana26918-RA, Nana26918-RB
OG0006067	ENSG00000166454.10	Nana31259-RA
OG0006068	ENSG00000127328.21	Nana26919-RA
OG0006069	ENSG00000118004.18	Nana02494-RA
OG0006070	ENSG00000155324.10	Nana11872-RA
OG0006071	ENSG00000180011.7	Nana15984-RA, Nana15984-RB
OG0006072	ENSG00000082515.18	Nana08776-RA
OG0006073	ENSG00000164904.18	Nana11871-RA
OG0006074	ENSG00000164690.8	Nana21251-RA
OG0006075	ENSG00000197971.16	Nana15967-RA, Nana15968-RA
OG0006076	ENSG00000176915.15	Nana35261-RA
OG0006077	ENSG00000153815.16	Nana31243-RA
OG0006078	ENSG00000146909.8	Nana21257-RA, Nana21257-RB
OG0006079	ENSG00000128191.16	Nana35250-RA
OG0006080	ENSG00000282752.1, ENSG00000060069.16	Nana15952-RA
OG0006082	ENSG00000142513.6	Nana23552-RA
OG0006083	ENSG00000103067.14	Nana31226-RB, Nana31226-RD, Nana31226-RC
OG0006084	ENSG00000105248.16	Nana39249-RA
OG0006085	ENSG00000183186.8	Nana38632-RA
OG0006086	ENSG00000243943.10	Nana00655-RB, Nana00655-RC, Nana00655-RA
OG0006087	ENSG00000178188.14	Nana23547-RA
OG0006088	ENSG00000112304.11	Nana15918-RB
OG0006089	ENSG00000103351.13	Nana33983-RA
OG0006090	ENSG00000167984.18	Nana33981-RC, Nana33981-RB, Nana33981-RA
OG0006091	ENSG00000112293.15	Nana15915-RA
OG0006092	ENSG00000107959.16	Nana21302-RB, Nana21302-RA
OG0006093	ENSG00000177291.4	Nana21311-RA, Nana21312-RA
OG0006094	ENSG00000122692.9	Nana11192-RA
OG0006095	ENSG00000137364.5	Nana15868-RA
OG0006096	ENSG00000086062.12	Nana11190-RA
OG0006097	ENSG00000162373.13	Nana14486-RA
OG0006098	ENSG00000008394.13	Nana27561-RA
OG0006099	ENSG00000129534.14	Nana05975-RA
OG0006100	ENSG00000187790.11	Nana16045-RA, Nana05976-RA
OG0006101	ENSG00000198554.12	Nana05891-RA
OG0006102	ENSG00000023734.11	Nana27557-RA
OG0006103	ENSG00000050393.11	Nana15859-RA
OG0006104	ENSG00000008083.14	Nana15852-RC, Nana15852-RB
OG0006105	ENSG00000184697.7	Nana23505-RA
OG0006106	ENSG00000197265.9	Nana11182-RA
OG0006107	ENSG00000177971.8	Nana05882-RA
OG0006108	ENSG00000151490.14	Nana27553-RA
OG0006109	ENSG00000131966.14	Nana05873-RA
OG0006110	ENSG00000139971.15	Nana05872-RA, Nana05871-RA
OG0006111	ENSG00000139977.14	Nana05865-RA, Nana05865-RB
OG0006112	ENSG00000173281.5, ENSG00000285343.2	Nana11170-RA
OG0006113	ENSG00000124789.11	Nana15839-RA, Nana15839-RB
OG0006114	ENSG00000070367.16	Nana05862-RA
OG0006115	ENSG00000184574.10	Nana11103-RA
OG0006116	ENSG00000107951.14	Nana21364-RA
OG0006117	ENSG00000154153.13	Nana15625-RA, Nana15626-RA
OG0006118	ENSG00000173545.5	Nana15623-RA, Nana15623-RB
OG0006119	ENSG00000154124.5	Nana15619-RA
OG0006120	ENSG00000124155.18	Nana13694-RB, Nana13694-RA
OG0006121	ENSG00000162592.10	Nana37159-RA
OG0006122	ENSG00000135951.16	Nana26074-RB, Nana26074-RA
OG0006123	ENSG00000145569.6	Nana15616-RA, Nana15616-RB
OG0006124	ENSG00000204070.10	Nana13689-RA
OG0006125	ENSG00000167113.11	Nana36556-RA
OG0006126	ENSG00000085872.15	Nana06010-RB, Nana06010-RA
OG0006127	ENSG00000115275.13	Nana17514-RA, Nana17514-RB
OG0006128	ENSG00000006704.10	Nana00439-RA
OG0006130	ENSG00000239779.7	Nana17513-RA
OG0006131	ENSG00000169126.16	Nana21381-RA
OG0006132	ENSG00000143702.16, ENSG00000276725.4	Nana01515-RA
OG0006133	ENSG00000103091.15	Nana31093-RA
OG0006134	ENSG00000166439.6	Nana25542-RF, Nana25542-RE
OG0006135	ENSG00000054282.16, ENSG00000276111.3	Nana01513-RA
OG0006136	ENSG00000163874.11	Nana32069-RA, Nana29869-RA
OG0006137	ENSG00000168411.14	Nana31085-RA, Nana31085-RB
OG0006138	ENSG00000170448.12	Nana18606-RA
OG0006139	ENSG00000099338.23	Nana30738-RA
OG0006140	ENSG00000130816.16	Nana10757-RA
OG0006142	ENSG00000163293.12	Nana18602-RA
OG0006143	ENSG00000080189.15	Nana13019-RA
OG0006144	ENSG00000112977.15	Nana15598-RA
OG0006145	ENSG00000164236.12	Nana15597-RA
OG0006146	ENSG00000077420.16	Nana21404-RA
OG0006147	ENSG00000267534.4	Nana10759-RA
OG0006148	ENSG00000188786.10	Nana29733-RB, Nana29733-RA
OG0006149	ENSG00000131725.14	Nana32627-RA
OG0006150	ENSG00000179397.18	Nana01502-RA, Nana01503-RA
OG0006151	ENSG00000145495.16	Nana15593-RA, Nana15593-RB
OG0006152	ENSG00000160131.13	Nana32457-RA
OG0006153	ENSG00000109171.15	Nana18601-RA, Nana18601-RB
OG0006154	ENSG00000141994.16	Nana06791-RA
OG0006155	ENSG00000178980.15	Nana30713-RB, Nana30713-RA
OG0006156	ENSG00000142484.7	Nana38725-RA, Nana38734-RB, Nana38734-RA
OG0006157	ENSG00000268104.3	Nana32635-RA
OG0006158	ENSG00000151023.17	Nana21421-RA
OG0006159	ENSG00000107863.18	Nana21425-RA
OG0006160	ENSG00000179133.15	Nana21580-RA, Nana21581-RA, Nana21579-RA
OG0006161	ENSG00000168267.7	Nana37819-RA, Nana21574-RA
OG0006162	ENSG00000165309.14	Nana21569-RA, Nana21570-RA
OG0006164	ENSG00000167723.14	Nana00148-RA
OG0006165	ENSG00000170786.12	Nana16345-RA
OG0006166	ENSG00000077327.16	Nana21562-RA
OG0006167	ENSG00000163071.11	Nana18591-RA
OG0006168	ENSG00000110328.6	Nana04549-RA
OG0006169	ENSG00000147246.10	Nana32647-RA
OG0006170	ENSG00000148444.16	Nana21548-RA, Nana39136-RA
OG0006171	ENSG00000141424.13	Nana15578-RA, Nana15578-RB
OG0006172	ENSG00000078403.17	Nana21538-RA, Nana21537-RA
OG0006173	ENSG00000241697.5, ENSG00000251349.3	Nana15577-RA
OG0006174	ENSG00000137574.11	Nana16335-RD, Nana16335-RA
OG0006176	ENSG00000148688.13	Nana19328-RA, Nana19327-RB
OG0006177	ENSG00000180628.15	Nana19334-RA
OG0006178	ENSG00000006007.12	Nana34125-RA
OG0006179	ENSG00000165995.20	Nana21495-RA
OG0006180	ENSG00000023287.13	Nana16310-RB, Nana16310-RA
OG0006181	ENSG00000183378.12	Nana04585-RA
OG0006182	ENSG00000165996.14	Nana21487-RA
OG0006183	ENSG00000275079.3, ENSG00000153395.10	Nana15568-RA
OG0006184	ENSG00000166387.13	Nana04587-RB, Nana04587-RA
OG0006185	ENSG00000167196.14	Nana32944-RB, Nana32944-RA, Nana32944-RC
