Orthogroup	G_gallus.pep	P_troglodytes.pep
OG0006058	ENSGALG00000004040.5	ENSPTRG00000017443.5
OG0006059	ENSGALG00000026865.4	ENSPTRG00000052444.1, ENSPTRG00000024178.4
OG0006060	ENSGALG00000014365.6	ENSPTRG00000015968.6
OG0006061	ENSGALG00000009975.7	ENSPTRG00000005210.4
OG0006062	ENSGALG00000028762.3	ENSPTRG00000006471.6
OG0006063	ENSGALG00000014355.5	ENSPTRG00000015971.5
OG0006064	ENSGALG00000019514.6	ENSPTRG00000010114.6
OG0006065	ENSGALG00000002272.6	ENSPTRG00000050596.1
OG0006066	ENSGALG00000010029.5	ENSPTRG00000005208.7
OG0006067	ENSGALG00000040475.3	ENSPTRG00000008384.4, ENSPTRG00000039664.2
OG0006068	ENSGALG00000009959.6	ENSPTRG00000005212.6
OG0006069	ENSGALG00000050002.1	ENSPTRG00000011616.7
OG0006070	ENSGALG00000008237.6	ENSPTRG00000017184.4
OG0006071	ENSGALG00000022882.4	ENSPTRG00000048547.1
OG0006072	ENSGALG00000003919.6	ENSPTRG00000051589.1
OG0006073	ENSGALG00000008229.6	ENSPTRG00000046179.1, ENSPTRG00000051135.1
OG0006074	ENSGALG00000006379.6	ENSPTRG00000019912.6
OG0006075	ENSGALG00000013640.6	ENSPTRG00000010124.6
OG0006076	ENSGALG00000002143.5	ENSPTRG00000045104.1
OG0006077	ENSGALG00000038494.2	ENSPTRG00000008393.6
OG0006078	ENSGALG00000006437.6	ENSPTRG00000019917.5
OG0006079	ENSGALG00000033126.3	ENSPTRG00000014073.6
OG0006080	ENSGALG00000031461.2	ENSPTRG00000010133.6
OG0006081	ENSGALG00000049812.1	ENSPTRG00000010135.5
OG0006083	ENSGALG00000003374.5	ENSPTRG00000008261.4
OG0006084	ENSGALG00000041520.2	ENSPTRG00000010299.5
OG0006085	ENSGALG00000001273.5	ENSPTRG00000052566.1
OG0006086	ENSGALG00000016506.6	ENSPTRG00000024236.5
OG0006087	ENSGALG00000046986.1	ENSPTRG00000007940.5
OG0006088	ENSGALG00000013632.7	ENSPTRG00000044962.1
OG0006089	ENSGALG00000030877.2	ENSPTRG00000007702.5
OG0006090	ENSGALG00000033278.2	ENSPTRG00000007703.6
OG0006091	ENSGALG00000029836.2	ENSPTRG00000017775.5
OG0006092	ENSGALG00000007036.5	ENSPTRG00000002244.7
OG0006093	ENSGALG00000007065.6	ENSPTRG00000002422.3
OG0006094	ENSGALG00000002014.3	ENSPTRG00000020853.5
OG0006095	ENSGALG00000012687.7	ENSPTRG00000049336.1, ENSPTRG00000017756.6
OG0006096	ENSGALG00000002022.5	ENSPTRG00000020854.6
OG0006097	ENSGALG00000036909.2	ENSPTRG00000000721.7
OG0006098	ENSGALG00000013098.6	ENSPTRG00000004737.5, ENSPTRG00000049907.1
OG0006099	ENSGALG00000012452.5	ENSPTRG00000006308.6
OG0006100	ENSGALG00000031182.2	ENSPTRG00000006307.5
OG0006101	ENSGALG00000012199.7	ENSPTRG00000006366.6
OG0006102	ENSGALG00000013092.6	ENSPTRG00000052547.1, ENSPTRG00000004734.6
OG0006103	ENSGALG00000012699.7	ENSPTRG00000017740.6
OG0006104	ENSGALG00000012702.5	ENSPTRG00000017743.6
OG0006106	ENSGALG00000010283.6	ENSPTRG00000022529.3
OG0006107	ENSGALG00000040238.2	ENSPTRG00000052235.1
OG0006108	ENSGALG00000013085.7	ENSPTRG00000004732.5
OG0006109	ENSGALG00000012041.6, ENSGALG00000012085.7	ENSPTRG00000006389.6
OG0006110	ENSGALG00000051550.1	ENSPTRG00000006388.6
OG0006111	ENSGALG00000012098.7	ENSPTRG00000006385.7
OG0006112	ENSGALG00000030303.3	ENSPTRG00000047481.1
OG0006113	ENSGALG00000012720.7	ENSPTRG00000017752.6
OG0006114	ENSGALG00000012105.6	ENSPTRG00000052590.1, ENSPTRG00000023297.5
OG0006115	ENSGALG00000014455.7	ENSPTRG00000004581.5
OG0006116	ENSGALG00000007351.5	ENSPTRG00000033794.3
OG0006117	ENSGALG00000042679.3	ENSPTRG00000016744.6
OG0006118	ENSGALG00000037171.3	ENSPTRG00000016743.2
OG0006119	ENSGALG00000019543.5	ENSPTRG00000016738.3
OG0006120	ENSGALG00000003909.7	ENSPTRG00000013547.6
OG0006121	ENSGALG00000043926.2	ENSPTRG00000000067.5
OG0006122	ENSGALG00000016757.7	ENSPTRG00000012271.6
OG0006123	ENSGALG00000012965.7	ENSPTRG00000045722.1
OG0006124	ENSGALG00000003929.6	ENSPTRG00000032508.3
OG0006125	ENSGALG00000004927.7	ENSPTRG00000021424.4, ENSPTRG00000042689.1
OG0006126	ENSGALG00000003824.6	ENSPTRG00000010647.5
OG0006127	ENSGALG00000046858.1	ENSPTRG00000012089.4
OG0006128	ENSGALG00000001263.7	ENSPTRG00000045395.1, ENSPTRG00000019292.4
OG0006129	ENSGALG00000005661.6	ENSPTRG00000002448.5
OG0006130	ENSGALG00000049426.1	ENSPTRG00000012088.4, ENSPTRG00000052095.1
OG0006131	ENSGALG00000007417.7	ENSPTRG00000002386.6
OG0006132	ENSGALG00000010733.7	ENSPTRG00000002172.6
OG0006133	ENSGALG00000002798.6	ENSPTRG00000008351.6
OG0006134	ENSGALG00000017309.6	ENSPTRG00000049248.1
OG0006135	ENSGALG00000010713.6	ENSPTRG00000002173.6
OG0006136	ENSGALG00000002021.6	ENSPTRG00000000544.5
OG0006137	ENSGALG00000036234.2	ENSPTRG00000008348.5
OG0006138	ENSGALG00000014138.6	ENSPTRG00000016035.4, ENSPTRG00000045255.1
OG0006140	ENSGALG00000038018.2	ENSPTRG00000047876.1, ENSPTRG00000010461.6
OG0006141	ENSGALG00000004783.5	ENSPTRG00000021413.3, ENSPTRG00000048462.1
OG0006142	ENSGALG00000027986.4	ENSPTRG00000016038.5, ENSPTRG00000049978.1
OG0006143	ENSGALG00000020939.5	ENSPTRG00000013582.7
OG0006144	ENSGALG00000013002.5	ENSPTRG00000040212.2
OG0006145	ENSGALG00000038328.3	ENSPTRG00000016729.4
OG0006146	ENSGALG00000007579.6	ENSPTRG00000049037.1, ENSPTRG00000002373.7
OG0006147	ENSGALG00000049475.1	ENSPTRG00000041995.2, ENSPTRG00000042809.1
OG0006148	ENSGALG00000001639.4	ENSPTRG00000022932.4
OG0006149	ENSGALG00000005997.8	ENSPTRG00000052135.1, ENSPTRG00000052513.1
OG0006151	ENSGALG00000035699.2	ENSPTRG00000016727.6
OG0006152	ENSGALG00000009065.4	ENSPTRG00000048709.1, ENSPTRG00000044277.1
OG0006153	ENSGALG00000014115.7	ENSPTRG00000016042.6
OG0006154	ENSGALG00000001800.7	ENSPTRG00000010343.6
OG0006155	ENSGALG00000052338.1	ENSPTRG00000034023.3, ENSPTRG00000048712.1, ENSPTRG00000011216.6
OG0006157	ENSGALG00000005957.6	ENSPTRG00000022208.4
OG0006158	ENSGALG00000007680.6	ENSPTRG00000002367.6
OG0006159	ENSGALG00000007721.6	ENSPTRG00000048236.1, ENSPTRG00000002365.5
OG0006161	ENSGALG00000027144.3	ENSPTRG00000048651.1
OG0006162	ENSGALG00000007864.6	ENSPTRG00000002356.5
OG0006163	ENSGALG00000024295.4	ENSPTRG00000052820.1, ENSPTRG00000046705.1
OG0006164	ENSGALG00000004660.5, ENSGALG00000055056.1	ENSPTRG00000008569.6
OG0006165	ENSGALG00000015416.3	ENSPTRG00000020268.6
OG0006166	ENSGALG00000007892.7	ENSPTRG00000002354.6
OG0006167	ENSGALG00000013964.6	ENSPTRG00000016054.4
OG0006168	ENSGALG00000005584.7	ENSPTRG00000003365.5
OG0006169	ENSGALG00000005853.6	ENSPTRG00000043240.1, ENSPTRG00000022199.5
OG0006170	ENSGALG00000007900.5	ENSPTRG00000002352.7
OG0006171	ENSGALG00000013209.6	ENSPTRG00000009975.5
OG0006172	ENSGALG00000007928.6	ENSPTRG00000002346.7
OG0006173	ENSGALG00000013212.6	ENSPTRG00000021194.7
OG0006174	ENSGALG00000015340.6	ENSPTRG00000020262.4
OG0006176	ENSGALG00000006486.6	ENSPTRG00000002742.6
OG0006177	ENSGALG00000006502.6	ENSPTRG00000023952.5
OG0006178	ENSGALG00000006916.6	ENSPTRG00000007833.5
OG0006179	ENSGALG00000008591.6	ENSPTRG00000002339.6
OG0006180	ENSGALG00000015259.7	ENSPTRG00000020246.5
OG0006181	ENSGALG00000005318.6	ENSPTRG00000003317.5
OG0006182	ENSGALG00000008659.7	ENSPTRG00000002331.7
OG0006183	ENSGALG00000013189.5	ENSPTRG00000016701.4
OG0006184	ENSGALG00000005294.6	ENSPTRG00000003315.5
OG0006185	ENSGALG00000039897.2	ENSPTRG00000007311.6
OG0006186	ENSGALG00000006833.6	ENSPTRG00000002275.6
OG0006187	ENSGALG00000009279.6	ENSPTRG00000002271.5
OG0006188	ENSGALG00000040891.3	ENSPTRG00000002325.7
OG0006189	ENSGALG00000003885.6	ENSPTRG00000001744.4
OG0006190	ENSGALG00000003893.6	ENSPTRG00000001743.7
OG0006191	ENSGALG00000008728.6	ENSPTRG00000002323.6
OG0006192	ENSGALG00000006639.7	ENSPTRG00000002766.6
OG0006193	ENSGALG00000008739.6	ENSPTRG00000002322.4
OG0006194	ENSGALG00000003924.7	ENSPTRG00000001741.4
OG0006195	ENSGALG00000031408.3	ENSPTRG00000007025.7, ENSPTRG00000042837.1
OG0006196	ENSGALG00000015179.5	ENSPTRG00000021044.5
OG0006197	ENSGALG00000010869.6	ENSPTRG00000000796.5
OG0006198	ENSGALG00000005549.7	ENSPTRG00000009441.5
OG0006199	ENSGALG00000032278.2	ENSPTRG00000001596.5
OG0006200	ENSGALG00000016124.7	ENSPTRG00000016351.7
OG0006201	ENSGALG00000002189.7	ENSPTRG00000007154.7
OG0006202	ENSGALG00000006806.6	ENSPTRG00000004372.3
OG0006203	ENSGALG00000042522.2	ENSPTRG00000008424.6
OG0006204	ENSGALG00000010535.6	ENSPTRG00000048675.1
OG0006205	ENSGALG00000022866.5	ENSPTRG00000030181.3
OG0006206	ENSGALG00000051117.1	ENSPTRG00000049713.1
OG0006207	ENSGALG00000032173.3	ENSPTRG00000045809.1
OG0006208	ENSGALG00000034288.2	ENSPTRG00000007159.5
OG0006209	ENSGALG00000003509.6	ENSPTRG00000022917.5
OG0006210	ENSGALG00000020139.6	ENSPTRG00000022641.4
OG0006211	ENSGALG00000008976.6	ENSPTRG00000019374.6, ENSPTRG00000048692.1
OG0006212	ENSGALG00000040087.2	ENSPTRG00000007163.4
OG0006213	ENSGALG00000036288.2	ENSPTRG00000007164.5
OG0006214	ENSGALG00000008839.6	ENSPTRG00000015660.6
OG0006215	ENSGALG00000009017.6	ENSPTRG00000019382.6, ENSPTRG00000047406.1
OG0006216	ENSGALG00000001907.6	ENSPTRG00000002702.7
OG0006217	ENSGALG00000009026.7	ENSPTRG00000019383.7, ENSPTRG00000049983.1
OG0006218	ENSGALG00000007516.6	ENSPTRG00000017373.5
OG0006219	ENSGALG00000003144.7	ENSPTRG00000009432.6
OG0006220	ENSGALG00000006506.5	ENSPTRG00000049422.1, ENSPTRG00000017234.4
OG0006221	ENSGALG00000008852.6	ENSPTRG00000030046.3
OG0006222	ENSGALG00000054178.1	ENSPTRG00000044080.1, ENSPTRG00000048293.1
OG0006223	ENSGALG00000038789.2	ENSPTRG00000021584.2
OG0006224	ENSGALG00000037842.2	ENSPTRG00000019715.3
OG0006225	ENSGALG00000003185.5	ENSPTRG00000009434.7
OG0006226	ENSGALG00000030200.3	ENSPTRG00000012016.2
OG0006227	ENSGALG00000031070.2	ENSPTRG00000012784.5
OG0006228	ENSGALG00000003260.7	ENSPTRG00000044798.1, ENSPTRG00000008977.7
OG0006229	ENSGALG00000012425.6	ENSPTRG00000006355.6
OG0006230	ENSGALG00000001788.7	ENSPTRG00000007256.6
OG0006231	ENSGALG00000003294.7	ENSPTRG00000008964.3
OG0006232	ENSGALG00000030028.3	ENSPTRG00000045279.1
OG0006233	ENSGALG00000008168.6	ENSPTRG00000002260.6
OG0006234	ENSGALG00000032501.2	ENSPTRG00000020056.5
OG0006235	ENSGALG00000033989.2	ENSPTRG00000020058.6
OG0006236	ENSGALG00000007477.7	ENSPTRG00000013678.3
OG0006237	ENSGALG00000029408.3	ENSPTRG00000019271.6
OG0006239	ENSGALG00000043394.3	ENSPTRG00000021445.6, ENSPTRG00000050851.1
OG0006240	ENSGALG00000005487.6	ENSPTRG00000014862.4
OG0006242	ENSGALG00000015248.5	ENSPTRG00000020240.5
OG0006243	ENSGALG00000003039.6	ENSPTRG00000045817.1, ENSPTRG00000000138.4
OG0006244	ENSGALG00000009399.6	ENSPTRG00000049637.1, ENSPTRG00000019395.5
OG0006247	ENSGALG00000005279.5	ENSPTRG00000009493.4
OG0006249	ENSGALG00000006690.6	ENSPTRG00000002288.5
OG0006250	ENSGALG00000003339.6	ENSPTRG00000000142.4
OG0006251	ENSGALG00000055058.1	ENSPTRG00000002289.6
OG0006253	ENSGALG00000011505.6	ENSPTRG00000006754.6
OG0006254	ENSGALG00000009410.6	ENSPTRG00000052557.1, ENSPTRG00000019396.6
OG0006255	ENSGALG00000033150.2	ENSPTRG00000046081.1
OG0006257	ENSGALG00000049721.1	ENSPTRG00000007968.6
OG0006258	ENSGALG00000003358.5	ENSPTRG00000000144.5
OG0006259	ENSGALG00000043089.2	ENSPTRG00000003736.6
OG0006260	ENSGALG00000043021.3	ENSPTRG00000001263.7, ENSPTRG00000046439.1
OG0006261	ENSGALG00000040471.3	ENSPTRG00000007971.6
OG0006262	ENSGALG00000014640.6	ENSPTRG00000001262.5
OG0006263	ENSGALG00000035035.2	ENSPTRG00000048656.1, ENSPTRG00000019312.6
OG0006264	ENSGALG00000004760.6	ENSPTRG00000005467.6
OG0006265	ENSGALG00000023510.4	ENSPTRG00000005468.5, ENSPTRG00000052453.1
OG0006266	ENSGALG00000051777.1	ENSPTRG00000001036.7
OG0006267	ENSGALG00000026215.3	ENSPTRG00000049411.1
OG0006268	ENSGALG00000003741.6	ENSPTRG00000023928.5
OG0006269	ENSGALG00000041821.3	ENSPTRG00000005469.4
OG0006270	ENSGALG00000007151.6	ENSPTRG00000022060.5
OG0006271	ENSGALG00000006301.6	ENSPTRG00000007910.4
OG0006272	ENSGALG00000001983.7, ENSGALG00000052265.1	ENSPTRG00000001033.4
OG0006273	ENSGALG00000004424.6	ENSPTRG00000042690.1
OG0006274	ENSGALG00000001959.5	ENSPTRG00000001031.7
OG0006276	ENSGALG00000043223.2	ENSPTRG00000046924.1, ENSPTRG00000050773.1
OG0006277	ENSGALG00000001951.6, ENSGALG00000046646.2	ENSPTRG00000001030.5
OG0006278	ENSGALG00000043208.3	ENSPTRG00000005470.6
OG0006279	ENSGALG00000031929.2	ENSPTRG00000041297.2
OG0006280	ENSGALG00000004290.7	ENSPTRG00000001724.5
OG0006281	ENSGALG00000009170.7	ENSPTRG00000015632.5
OG0006282	ENSGALG00000032768.2	ENSPTRG00000004770.6, ENSPTRG00000044140.1
OG0006283	ENSGALG00000036969.2	ENSPTRG00000023330.5
OG0006284	ENSGALG00000011368.6	ENSPTRG00000006740.6
OG0006285	ENSGALG00000037186.2	ENSPTRG00000005064.7
OG0006286	ENSGALG00000011366.7	ENSPTRG00000006738.6
OG0006287	ENSGALG00000004711.6	ENSPTRG00000019452.5
OG0006288	ENSGALG00000009641.7	ENSPTRG00000019409.6
OG0006289	ENSGALG00000033781.2	ENSPTRG00000046089.1, ENSPTRG00000003751.3
OG0006290	ENSGALG00000021572.5	ENSPTRG00000008955.5
OG0006291	ENSGALG00000009298.6	ENSPTRG00000015624.6
OG0006292	ENSGALG00000031381.3	ENSPTRG00000001680.5
OG0006293	ENSGALG00000035350.2	ENSPTRG00000005069.5
OG0006294	ENSGALG00000044733.2, ENSGALG00000015143.7	ENSPTRG00000009949.4
OG0006295	ENSGALG00000052748.1	ENSPTRG00000011523.5
OG0006296	ENSGALG00000005891.6	ENSPTRG00000014053.7
OG0006297	ENSGALG00000020486.6, ENSGALG00000007127.7	ENSPTRG00000041542.2
OG0006299	ENSGALG00000004186.7	ENSPTRG00000008957.5, ENSPTRG00000045301.1
OG0006300	ENSGALG00000009312.6	ENSPTRG00000049926.1
OG0006301	ENSGALG00000053583.1	ENSPTRG00000011498.6
OG0006302	ENSGALG00000036264.3	ENSPTRG00000001665.5
OG0006303	ENSGALG00000005885.7	ENSPTRG00000014055.7
OG0006304	ENSGALG00000050734.1	ENSPTRG00000044695.1, ENSPTRG00000019281.5
OG0006305	ENSGALG00000003329.6	ENSPTRG00000001667.4
OG0006306	ENSGALG00000040128.2	ENSPTRG00000014093.5
OG0006307	ENSGALG00000009372.6	ENSPTRG00000015614.6
OG0006308	ENSGALG00000008698.7	ENSPTRG00000013279.6
OG0006309	ENSGALG00000008749.5	ENSPTRG00000013287.5
OG0006310	ENSGALG00000009402.6	ENSPTRG00000015606.5
OG0006311	ENSGALG00000009409.5	ENSPTRG00000015605.6
OG0006312	ENSGALG00000009737.7	ENSPTRG00000019428.4
OG0006313	ENSGALG00000038026.2	ENSPTRG00000004747.6
OG0006314	ENSGALG00000031982.3	ENSPTRG00000014117.4
OG0006315	ENSGALG00000009477.5	ENSPTRG00000015598.5
OG0006317	ENSGALG00000012913.7	ENSPTRG00000044427.1, ENSPTRG00000004820.5
OG0006318	ENSGALG00000034860.2	ENSPTRG00000015593.3
OG0006319	ENSGALG00000010711.6	ENSPTRG00000018932.5, ENSPTRG00000049766.1
OG0006320	ENSGALG00000053063.1	ENSPTRG00000014061.3
OG0006321	ENSGALG00000044654.2	ENSPTRG00000051117.1
OG0006322	ENSGALG00000001593.7	ENSPTRG00000043162.1, ENSPTRG00000040512.2
OG0006323	ENSGALG00000009533.5	ENSPTRG00000015586.4
OG0006324	ENSGALG00000054976.1	ENSPTRG00000011502.3
OG0006325	ENSGALG00000010803.6	ENSPTRG00000028653.4, ENSPTRG00000045641.1
OG0006326	ENSGALG00000010804.6	ENSPTRG00000050898.1, ENSPTRG00000018950.4
OG0006327	ENSGALG00000053509.1	ENSPTRG00000052015.1, ENSPTRG00000004804.7
OG0006328	ENSGALG00000052653.1	ENSPTRG00000017328.7
OG0006329	ENSGALG00000039728.2	ENSPTRG00000023041.5
OG0006330	ENSGALG00000009682.5	ENSPTRG00000022665.5
OG0006331	ENSGALG00000010868.6	ENSPTRG00000051620.1, ENSPTRG00000018964.5
OG0006332	ENSGALG00000010875.6	ENSPTRG00000052863.1, ENSPTRG00000018965.4
OG0006333	ENSGALG00000037172.3	ENSPTRG00000049455.1, ENSPTRG00000046901.1
OG0006334	ENSGALG00000039171.3	ENSPTRG00000047055.1, ENSPTRG00000004514.6
OG0006335	ENSGALG00000010302.7	ENSPTRG00000015554.5
OG0006336	ENSGALG00000012994.6	ENSPTRG00000004515.6
OG0006337	ENSGALG00000040626.2	ENSPTRG00000017321.4
OG0006338	ENSGALG00000039454.2	ENSPTRG00000018970.3
OG0006339	ENSGALG00000026214.4	ENSPTRG00000004523.5
OG0006340	ENSGALG00000010915.5	ENSPTRG00000050502.1, ENSPTRG00000018979.5
OG0006341	ENSGALG00000029856.3	ENSPTRG00000049189.1, ENSPTRG00000018980.5
OG0006342	ENSGALG00000001099.6	ENSPTRG00000047729.1
OG0006343	ENSGALG00000010925.7	ENSPTRG00000018981.4
OG0006344	ENSGALG00000000949.5	ENSPTRG00000017311.5
OG0006345	ENSGALG00000010976.5	ENSPTRG00000018989.3, ENSPTRG00000045270.1
OG0006346	ENSGALG00000010977.6	ENSPTRG00000018990.4, ENSPTRG00000048634.1
OG0006347	ENSGALG00000010980.6	ENSPTRG00000047172.1, ENSPTRG00000018991.6
OG0006348	ENSGALG00000010399.5	ENSPTRG00000039581.2
OG0006349	ENSGALG00000015556.6	ENSPTRG00000015897.6
OG0006350	ENSGALG00000010401.7	ENSPTRG00000015528.6
OG0006351	ENSGALG00000027591.4	ENSPTRG00000015526.6
OG0006352	ENSGALG00000010411.7	ENSPTRG00000052129.1, ENSPTRG00000015521.5
OG0006353	ENSGALG00000008808.7	ENSPTRG00000013291.6
OG0006354	ENSGALG00000008457.6	ENSPTRG00000013298.6
OG0006355	ENSGALG00000010427.5	ENSPTRG00000015517.5
OG0006356	ENSGALG00000008416.7	ENSPTRG00000013301.6
OG0006357	ENSGALG00000011251.5	ENSPTRG00000014676.6
OG0006358	ENSGALG00000011248.6	ENSPTRG00000014675.6
OG0006359	ENSGALG00000011243.6	ENSPTRG00000014674.7
OG0006360	ENSGALG00000038512.2	ENSPTRG00000015503.6
OG0006361	ENSGALG00000006810.6	ENSPTRG00000015500.7
OG0006362	ENSGALG00000013039.6	ENSPTRG00000014041.6
OG0006363	ENSGALG00000008372.6	ENSPTRG00000013308.4
OG0006364	ENSGALG00000036869.2	ENSPTRG00000013310.2
OG0006365	ENSGALG00000002612.6	ENSPTRG00000015489.7
OG0006366	ENSGALG00000011211.7	ENSPTRG00000014667.6
OG0006367	ENSGALG00000013041.7	ENSPTRG00000044444.1, ENSPTRG00000016725.4
OG0006368	ENSGALG00000013043.7	ENSPTRG00000016724.4
OG0006369	ENSGALG00000002639.7	ENSPTRG00000015485.6
OG0006370	ENSGALG00000011185.6	ENSPTRG00000045032.1, ENSPTRG00000019036.6
OG0006371	ENSGALG00000002706.6	ENSPTRG00000015482.6
OG0006372	ENSGALG00000029724.2	ENSPTRG00000041737.2
OG0006373	ENSGALG00000002800.6	ENSPTRG00000052431.1
OG0006374	ENSGALG00000013063.7	ENSPTRG00000016716.4, ENSPTRG00000044472.1
OG0006375	ENSGALG00000040666.3	ENSPTRG00000045778.1, ENSPTRG00000019746.6
OG0006376	ENSGALG00000012812.6	ENSPTRG00000019743.6, ENSPTRG00000045077.1
OG0006377	ENSGALG00000012834.7	ENSPTRG00000019740.5
OG0006378	ENSGALG00000002958.7	ENSPTRG00000013004.6
OG0006379	ENSGALG00000003052.7	ENSPTRG00000012995.6
OG0006380	ENSGALG00000037242.3	ENSPTRG00000015392.6
OG0006381	ENSGALG00000040873.3	ENSPTRG00000045519.1, ENSPTRG00000015396.4
OG0006382	ENSGALG00000012874.6	ENSPTRG00000044303.1, ENSPTRG00000019776.6
OG0006383	ENSGALG00000012875.6	ENSPTRG00000028383.4
OG0006384	ENSGALG00000012877.6	ENSPTRG00000019739.6
OG0006385	ENSGALG00000012796.7	ENSPTRG00000019747.6
OG0006386	ENSGALG00000034586.2	ENSPTRG00000040799.2
OG0006387	ENSGALG00000054799.1	ENSPTRG00000047307.1, ENSPTRG00000005351.6, ENSPTRG00000047371.1
OG0006388	ENSGALG00000005248.6	ENSPTRG00000001007.6
OG0006389	ENSGALG00000005302.6	ENSPTRG00000001000.5
OG0006390	ENSGALG00000005135.6	ENSPTRG00000012982.5
OG0006392	ENSGALG00000029819.2	ENSPTRG00000012978.5
OG0006393	ENSGALG00000030287.2	ENSPTRG00000044307.1, ENSPTRG00000019050.4
OG0006394	ENSGALG00000043087.3	ENSPTRG00000000965.7
OG0006395	ENSGALG00000041568.2	ENSPTRG00000051385.1, ENSPTRG00000019058.6
OG0006396	ENSGALG00000031457.2	ENSPTRG00000042053.2, ENSPTRG00000052766.1
OG0006397	ENSGALG00000034575.2	ENSPTRG00000010563.6
OG0006398	ENSGALG00000005367.6	ENSPTRG00000015458.4
OG0006399	ENSGALG00000005505.6	ENSPTRG00000015452.3
OG0006400	ENSGALG00000012697.6	ENSPTRG00000005380.3
OG0006401	ENSGALG00000033038.3	ENSPTRG00000019094.6, ENSPTRG00000044198.1
OG0006402	ENSGALG00000028254.3	ENSPTRG00000005383.6
OG0006403	ENSGALG00000005647.4	ENSPTRG00000000976.6
OG0006404	ENSGALG00000012662.5	ENSPTRG00000005386.6
OG0006405	ENSGALG00000012658.7	ENSPTRG00000005388.6
OG0006406	ENSGALG00000005571.5	ENSPTRG00000021657.5
OG0006407	ENSGALG00000043636.2	ENSPTRG00000019106.4, ENSPTRG00000042980.1
OG0006408	ENSGALG00000043243.2, ENSGALG00000046769.1	ENSPTRG00000019112.6
OG0006409	ENSGALG00000043596.3	ENSPTRG00000013115.7
OG0006410	ENSGALG00000031294.3	ENSPTRG00000019113.3
OG0006411	ENSGALG00000031758.2	ENSPTRG00000019114.6
OG0006412	ENSGALG00000006016.6	ENSPTRG00000013117.6
OG0006413	ENSGALG00000012640.2	ENSPTRG00000005394.4
OG0006414	ENSGALG00000008818.7	ENSPTRG00000012865.5, ENSPTRG00000050048.1
OG0006415	ENSGALG00000031766.3	ENSPTRG00000013118.6
OG0006416	ENSGALG00000012631.5	ENSPTRG00000005399.5
OG0006417	ENSGALG00000005552.6	ENSPTRG00000000987.7
OG0006418	ENSGALG00000005478.7	ENSPTRG00000000992.6
OG0006419	ENSGALG00000005442.6	ENSPTRG00000000995.5
OG0006420	ENSGALG00000028627.3	ENSPTRG00000046424.1, ENSPTRG00000014292.6
OG0006421	ENSGALG00000005418.6	ENSPTRG00000000996.5
OG0006423	ENSGALG00000005407.6	ENSPTRG00000000997.7
OG0006424	ENSGALG00000044768.2	ENSPTRG00000014296.5
OG0006425	ENSGALG00000037863.3	ENSPTRG00000019195.6
OG0006426	ENSGALG00000031971.2	ENSPTRG00000048103.1
OG0006427	ENSGALG00000037739.3	ENSPTRG00000013125.6
OG0006428	ENSGALG00000005922.7	ENSPTRG00000000963.6, ENSPTRG00000044022.1
OG0006429	ENSGALG00000006298.6	ENSPTRG00000013128.6
OG0006430	ENSGALG00000005953.7	ENSPTRG00000000960.4
OG0006431	ENSGALG00000043006.3	ENSPTRG00000048696.1, ENSPTRG00000019838.4
OG0006432	ENSGALG00000016559.5	ENSPTRG00000051429.1, ENSPTRG00000021684.7
OG0006433	ENSGALG00000039139.3	ENSPTRG00000019170.6
OG0006434	ENSGALG00000006051.6	ENSPTRG00000043247.1
OG0006435	ENSGALG00000013084.4	ENSPTRG00000019185.5
OG0006436	ENSGALG00000006167.6	ENSPTRG00000022980.5
OG0006437	ENSGALG00000006471.6	ENSPTRG00000015418.5
OG0006438	ENSGALG00000012532.6	ENSPTRG00000044105.1
OG0006439	ENSGALG00000013102.6	ENSPTRG00000019192.6
OG0006440	ENSGALG00000006632.5	ENSPTRG00000015424.6
OG0006441	ENSGALG00000012529.7	ENSPTRG00000014313.6
OG0006442	ENSGALG00000006252.6	ENSPTRG00000000929.5
OG0006444	ENSGALG00000028423.4	ENSPTRG00000000927.7
OG0006445	ENSGALG00000006566.5	ENSPTRG00000015712.5
OG0006446	ENSGALG00000038141.2	ENSPTRG00000047843.1
OG0006447	ENSGALG00000013441.6	ENSPTRG00000021189.6
OG0006448	ENSGALG00000012483.6	ENSPTRG00000014327.5
OG0006449	ENSGALG00000033179.3	ENSPTRG00000021182.5
OG0006450	ENSGALG00000038556.3	ENSPTRG00000014337.6
OG0006451	ENSGALG00000033834.3	ENSPTRG00000016689.6, ENSPTRG00000049196.1
OG0006452	ENSGALG00000039658.2	ENSPTRG00000046860.1
OG0006453	ENSGALG00000006804.6	ENSPTRG00000000919.6
OG0006454	ENSGALG00000011058.6	ENSPTRG00000034314.3
OG0006455	ENSGALG00000012236.6	ENSPTRG00000014370.4
OG0006456	ENSGALG00000011035.6	ENSPTRG00000000827.6, ENSPTRG00000047963.1
OG0006457	ENSGALG00000006649.5	ENSPTRG00000015701.6
OG0006458	ENSGALG00000033759.3	ENSPTRG00000000824.6
OG0006459	ENSGALG00000043451.2	ENSPTRG00000014379.5
OG0006460	ENSGALG00000013138.6	ENSPTRG00000021237.7
OG0006461	ENSGALG00000012150.7	ENSPTRG00000014395.6
OG0006462	ENSGALG00000010991.6	ENSPTRG00000000815.6
OG0006463	ENSGALG00000013131.5	ENSPTRG00000009973.6
OG0006464	ENSGALG00000029810.2	ENSPTRG00000014399.3
