Orthogroup	G_gallus.pep	N_naja.pep
OG0005691	ENSGALG00000000516.6	Nana31814-RA
OG0005693	ENSGALG00000054428.1	Nana20932-RA, Nana20932-RB
OG0005694	ENSGALG00000011537.6	Nana01685-RA, Nana24036-RA
OG0005695	ENSGALG00000012350.7	Nana11218-RA
OG0005696	ENSGALG00000002594.6	Nana03303-RA, Nana03303-RB
OG0005697	ENSGALG00000028996.3	Nana12819-RB, Nana12819-RC
OG0005698	ENSGALG00000039831.2	Nana16968-RA
OG0005699	ENSGALG00000002204.6	Nana35433-RA
OG0005700	ENSGALG00000054944.1	Nana03296-RA
OG0005701	ENSGALG00000041337.2	Nana16586-RA
OG0005703	ENSGALG00000003709.6	Nana28145-RA
OG0005704	ENSGALG00000035799.2	Nana34103-RA
OG0005706	ENSGALG00000053989.1	Nana16598-RA
OG0005707	ENSGALG00000031832.3	Nana28150-RA, Nana28150-RB
OG0005708	ENSGALG00000039532.2	Nana37615-RB, Nana37615-RA, Nana37615-RC
OG0005709	ENSGALG00000052829.1	Nana36737-RA, Nana36737-RB
OG0005711	ENSGALG00000005074.6	Nana36581-RA
OG0005713	ENSGALG00000003979.6	Nana00017-RA, Nana00015-RA
OG0005715	ENSGALG00000001774.6	Nana33043-RA, Nana33043-RB
OG0005716	ENSGALG00000043597.2	Nana16610-RA
OG0005717	ENSGALG00000014687.7	Nana11124-RA
OG0005718	ENSGALG00000027199.4	Nana32595-RB
OG0005719	ENSGALG00000031131.2	Nana16613-RB, Nana16613-RA
OG0005720	ENSGALG00000001555.7	Nana37393-RA
OG0005721	ENSGALG00000004645.7	Nana36802-RA
OG0005722	ENSGALG00000006132.7	Nana32598-RA, Nana32598-RB
OG0005723	ENSGALG00000031076.2	Nana16615-RB, Nana16615-RA
OG0005725	ENSGALG00000007796.6	Nana13590-RA, Nana13590-RB
OG0005726	ENSGALG00000007334.6	Nana33876-RA, Nana33876-RB
OG0005727	ENSGALG00000001542.6	Nana37391-RA
OG0005728	ENSGALG00000007809.6	Nana13594-RA, Nana13593-RA
OG0005729	ENSGALG00000006098.6	Nana32602-RA
OG0005730	ENSGALG00000014688.4	Nana11123-RA
OG0005731	ENSGALG00000003331.6	Nana08728-RB, Nana08728-RA
OG0005732	ENSGALG00000006094.6	Nana32603-RA, Nana32603-RB
OG0005733	ENSGALG00000003344.7	Nana08729-RA, Nana08729-RB
OG0005734	ENSGALG00000006627.6	Nana35540-RB, Nana35540-RA
OG0005736	ENSGALG00000014695.6	Nana11121-RB, Nana11121-RA
OG0005737	ENSGALG00000003355.6	Nana08731-RB, Nana08731-RA
OG0005738	ENSGALG00000031298.3, ENSGALG00000047673.1	Nana28121-RA
OG0005739	ENSGALG00000007963.5	Nana13606-RA, Nana13604-RA
OG0005740	ENSGALG00000005507.4	Nana32675-RA
OG0005741	ENSGALG00000024172.5	Nana08735-RA
OG0005742	ENSGALG00000017366.6	Nana13609-RA
OG0005743	ENSGALG00000007989.6	Nana13611-RB
OG0005744	ENSGALG00000005126.7	Nana00264-RA
OG0005745	ENSGALG00000003969.7	Nana37205-RA, Nana37205-RB
OG0005746	ENSGALG00000040511.3	Nana16633-RB, Nana16633-RA
OG0005747	ENSGALG00000003665.6	Nana00089-RA
OG0005748	ENSGALG00000003589.7	Nana00082-RA
OG0005749	ENSGALG00000023757.4	Nana00081-RB, Nana00081-RA
OG0005750	ENSGALG00000029379.2	Nana29540-RA
OG0005751	ENSGALG00000005263.2	Nana33859-RA, Nana33861-RA
OG0005752	ENSGALG00000000378.6	Nana28313-RA, Nana28313-RB
OG0005753	ENSGALG00000003108.7	Nana00078-RA
OG0005754	ENSGALG00000008539.7	Nana29544-RA, Nana29544-RB
OG0005755	ENSGALG00000007244.6	Nana35440-RB, Nana35440-RA
OG0005756	ENSGALG00000005414.5	Nana33684-RA
OG0005757	ENSGALG00000036417.2	Nana35459-RA, Nana35459-RB
OG0005758	ENSGALG00000007102.6	Nana35468-RA, Nana35468-RB
OG0005759	ENSGALG00000007954.6	Nana34969-RB, Nana34969-RA
OG0005760	ENSGALG00000007354.6	Nana34974-RA
OG0005761	ENSGALG00000016267.6	Nana02363-RA, Nana02363-RB
OG0005762	ENSGALG00000035561.2	Nana16545-RB, Nana16545-RA
OG0005763	ENSGALG00000041663.3	Nana18504-RA
OG0005764	ENSGALG00000009815.6	Nana26811-RB, Nana26811-RA
OG0005765	ENSGALG00000013583.6	Nana18510-RB, Nana18510-RA
OG0005766	ENSGALG00000038915.2	Nana16532-RC, Nana16532-RD
OG0005767	ENSGALG00000039499.2	Nana16532-RA, Nana16532-RB
OG0005768	ENSGALG00000039380.3	Nana18513-RA
OG0005769	ENSGALG00000007490.7	Nana35018-RB, Nana35018-RA
OG0005770	ENSGALG00000008357.6	Nana35022-RA
OG0005771	ENSGALG00000042794.3	Nana16523-RB, Nana16523-RC
OG0005772	ENSGALG00000040842.2	Nana28882-RA
OG0005773	ENSGALG00000014336.5	Nana18516-RA
OG0005774	ENSGALG00000034487.3	Nana16523-RA
OG0005775	ENSGALG00000014337.5	Nana18517-RA
OG0005776	ENSGALG00000013369.6	Nana06363-RC, Nana06363-RB
OG0005777	ENSGALG00000015706.5	Nana26717-RA, Nana26717-RB
OG0005778	ENSGALG00000016509.7	Nana00660-RB, Nana00660-RC, Nana00660-RA
OG0005779	ENSGALG00000036873.2	Nana28877-RB, Nana28877-RA
OG0005780	ENSGALG00000008289.6	Nana35044-RA
OG0005782	ENSGALG00000053178.1, ENSGALG00000007618.4	Nana28870-RA
OG0005783	ENSGALG00000006809.6	Nana28866-RB, Nana28866-RA
OG0005784	ENSGALG00000033925.2, ENSGALG00000024486.5	Nana26723-RA
OG0005785	ENSGALG00000015688.5	Nana26729-RA
OG0005786	ENSGALG00000005893.7	Nana26314-RB, Nana26314-RA
OG0005787	ENSGALG00000041213.2	Nana33773-RA
OG0005788	ENSGALG00000050857.1	Nana11551-RA, Nana26758-RA
OG0005789	ENSGALG00000030585.2	Nana16358-RA
OG0005790	ENSGALG00000032702.3	Nana23252-RA
OG0005791	ENSGALG00000026808.4	Nana26737-RA
OG0005792	ENSGALG00000034132.2	Nana36928-RA
OG0005793	ENSGALG00000016980.6	Nana26730-RB, Nana26730-RA
OG0005794	ENSGALG00000030382.2, ENSGALG00000028267.4	Nana12467-RA
OG0005795	ENSGALG00000005241.6	Nana31324-RB, Nana31324-RA
OG0005796	ENSGALG00000002854.6	Nana12476-RA, Nana12475-RA
OG0005797	ENSGALG00000038426.2	Nana12490-RA
OG0005798	ENSGALG00000002103.5	Nana31332-RB, Nana31332-RA
OG0005799	ENSGALG00000002091.6	Nana31334-RB, Nana31334-RA
OG0005800	ENSGALG00000031130.2	Nana16391-RA
OG0005801	ENSGALG00000030220.2	Nana31337-RA
OG0005802	ENSGALG00000004870.7	Nana32719-RA
OG0005803	ENSGALG00000012404.7	Nana05919-RA
OG0005804	ENSGALG00000001722.6	Nana31338-RB, Nana31338-RA
OG0005805	ENSGALG00000038540.3	Nana28950-RA
OG0005806	ENSGALG00000037148.2	Nana16411-RA
OG0005807	ENSGALG00000033286.2	Nana17919-RA
OG0005808	ENSGALG00000033304.3	Nana16414-RA
OG0005809	ENSGALG00000039420.2	Nana27977-RB, Nana27977-RA
OG0005810	ENSGALG00000003712.6	Nana36880-RA
OG0005811	ENSGALG00000033806.2	Nana34132-RA, Nana34131-RA, Nana34648-RA
OG0005812	ENSGALG00000006861.7	Nana34130-RA, Nana34647-RA
OG0005813	ENSGALG00000011893.7	Nana05805-RA, Nana05805-RB
OG0005814	ENSGALG00000004799.7	Nana00022-RA, Nana00025-RA
OG0005815	ENSGALG00000002504.7	Nana15049-RA, Nana15049-RB
OG0005816	ENSGALG00000011921.6	Nana05817-RA
OG0005817	ENSGALG00000030843.2	Nana16422-RA
OG0005818	ENSGALG00000012005.7	Nana05819-RB, Nana05819-RA
OG0005819	ENSGALG00000012006.7	Nana05821-RA, Nana05820-RA
OG0005820	ENSGALG00000009147.6	Nana35737-RA, Nana35737-RB
OG0005821	ENSGALG00000039151.2, ENSGALG00000026991.3	Nana12514-RA
OG0005823	ENSGALG00000015352.7	Nana11285-RA, Nana11284-RA
OG0005824	ENSGALG00000004532.7	Nana31393-RA, Nana31393-RB
OG0005825	ENSGALG00000024326.5	Nana28535-RA
OG0005826	ENSGALG00000000962.7	Nana28536-RA
OG0005827	ENSGALG00000051392.1	Nana17517-RA, Nana17517-RB
OG0005828	ENSGALG00000042941.2	Nana36266-RA
OG0005829	ENSGALG00000000067.6	Nana17483-RA
OG0005830	ENSGALG00000015372.5	Nana11280-RA
OG0005831	ENSGALG00000026907.3	Nana38358-RA, Nana38355-RA
OG0005832	ENSGALG00000002536.6	Nana35335-RB, Nana35335-RA
OG0005833	ENSGALG00000033322.3	Nana31681-RA
OG0005834	ENSGALG00000021601.5	Nana06007-RA
OG0005835	ENSGALG00000038745.3	Nana16442-RA
OG0005836	ENSGALG00000040224.3	Nana28557-RA
OG0005837	ENSGALG00000002679.4	Nana35359-RA, Nana35361-RA
OG0005838	ENSGALG00000022850.4	Nana00696-RD, Nana00696-RF, Nana00696-RE
OG0005839	ENSGALG00000002701.5	Nana19249-RA
OG0005840	ENSGALG00000002705.7	Nana19253-RA
OG0005842	ENSGALG00000002899.6	Nana35387-RA
OG0005843	ENSGALG00000002710.6	Nana19254-RA
OG0005844	ENSGALG00000002414.6	Nana19046-RB, Nana19046-RA
OG0005845	ENSGALG00000015311.6	Nana11261-RA, Nana11261-RB
OG0005846	ENSGALG00000002417.6	Nana03953-RA
OG0005847	ENSGALG00000028675.3	Nana11249-RA, Nana11250-RA
OG0005848	ENSGALG00000003120.8	Nana35599-RA
OG0005850	ENSGALG00000048409.1	Nana35769-RB, Nana35769-RA
OG0005851	ENSGALG00000005423.7	Nana11248-RA
OG0005852	ENSGALG00000034346.3	Nana16467-RA
OG0005853	ENSGALG00000005547.7	Nana18789-RA
OG0005854	ENSGALG00000003146.7	Nana34883-RA
OG0005856	ENSGALG00000035845.2	Nana16476-RA, Nana16475-RA
OG0005857	ENSGALG00000030605.2	Nana36113-RA
OG0005858	ENSGALG00000050207.1	Nana34570-RA, Nana34570-RB
OG0005859	ENSGALG00000029118.3	Nana11234-RA
OG0005860	ENSGALG00000005326.6	Nana18786-RA
OG0005861	ENSGALG00000054942.1, ENSGALG00000052152.1	Nana11233-RA
OG0005862	ENSGALG00000007171.4	Nana34573-RD, Nana34573-RE
OG0005863	ENSGALG00000007167.6	Nana34573-RG, Nana34573-RF
OG0005864	ENSGALG00000003084.5	Nana31186-RA
OG0005865	ENSGALG00000053836.1	Nana36032-RA
OG0005866	ENSGALG00000012222.7	Nana17782-RA
OG0005867	ENSGALG00000007843.6	Nana31944-RA
OG0005868	ENSGALG00000015128.6	Nana16225-RA
OG0005869	ENSGALG00000048805.1	Nana06295-RA
OG0005870	ENSGALG00000015122.6	Nana16220-RA
OG0005871	ENSGALG00000012239.6	Nana17785-RA, Nana17785-RB
OG0005872	ENSGALG00000005169.4	Nana18814-RA
OG0005873	ENSGALG00000003307.4	Nana34869-RA
OG0005874	ENSGALG00000000793.5	Nana36319-RA
OG0005875	ENSGALG00000003314.6	Nana34868-RB, Nana34868-RA
OG0005876	ENSGALG00000003318.5	Nana34669-RA
OG0005877	ENSGALG00000033618.2	Nana33114-RD, Nana33114-RC
OG0005878	ENSGALG00000012118.6	Nana05850-RB, Nana05850-RA
OG0005880	ENSGALG00000000734.6	Nana30292-RA
OG0005881	ENSGALG00000035202.2	Nana33110-RA
OG0005882	ENSGALG00000029390.3	Nana34859-RA
OG0005883	ENSGALG00000003419.7, ENSGALG00000051644.1	Nana34857-RA
OG0005884	ENSGALG00000000777.6	Nana30295-RH
OG0005886	ENSGALG00000044985.2	Nana06104-RA, Nana06104-RB
OG0005887	ENSGALG00000015056.6	Nana16203-RA
OG0005888	ENSGALG00000009445.7	Nana19601-RA
OG0005889	ENSGALG00000001985.5	Nana34019-RA
OG0005894	ENSGALG00000038229.2	Nana35971-RA
OG0005895	ENSGALG00000002656.6	Nana00032-RA
OG0005896	ENSGALG00000016969.5	Nana26646-RA
OG0005897	ENSGALG00000034042.2	Nana35620-RA
OG0005898	ENSGALG00000002945.7	Nana32939-RA
OG0005899	ENSGALG00000015030.7	Nana16200-RA
OG0005900	ENSGALG00000005004.4	Nana18925-RB, Nana18925-RA
OG0005901	ENSGALG00000046811.1	Nana35983-RA
OG0005902	ENSGALG00000003299.7	Nana28264-RB, Nana28264-RA
OG0005903	ENSGALG00000046180.2	Nana19695-RA, Nana19697-RA
OG0005904	ENSGALG00000004034.7	Nana37192-RA
OG0005905	ENSGALG00000036049.3	Nana28266-RA
OG0005906	ENSGALG00000050256.1	Nana35985-RA
OG0005907	ENSGALG00000004166.7	Nana35817-RA
OG0005908	ENSGALG00000003795.6	Nana34839-RA
OG0005909	ENSGALG00000051266.1	Nana15764-RA, Nana13526-RA
OG0005910	ENSGALG00000012237.7	Nana05955-RA
OG0005911	ENSGALG00000035981.2	Nana17494-RA
OG0005913	ENSGALG00000003826.5	Nana34837-RB, Nana34837-RA
OG0005914	ENSGALG00000014982.6	Nana16193-RA, Nana16193-RB
OG0005915	ENSGALG00000031482.2	Nana36759-RA
OG0005916	ENSGALG00000006033.5	Nana21190-RA
OG0005917	ENSGALG00000042360.2	Nana28810-RA, Nana28812-RA
OG0005918	ENSGALG00000006673.6	Nana28800-RA
OG0005919	ENSGALG00000014936.6	Nana16171-RA, Nana16171-RB
OG0005920	ENSGALG00000001042.6	Nana00591-RA, Nana00591-RB
OG0005921	ENSGALG00000004179.7	Nana34822-RA
OG0005922	ENSGALG00000041373.2	Nana18521-RA
OG0005923	ENSGALG00000005888.6	Nana33824-RA
OG0005924	ENSGALG00000027905.4	Nana21188-RB, Nana21188-RA
OG0005925	ENSGALG00000001797.6	Nana37030-RA, Nana37028-RA
OG0005926	ENSGALG00000006025.7	Nana21182-RA, Nana21182-RB
OG0005927	ENSGALG00000053885.1	Nana15092-RA, Nana15091-RA
OG0005928	ENSGALG00000040720.3	Nana33832-RA
OG0005929	ENSGALG00000040265.2	Nana34728-RN
OG0005930	ENSGALG00000005933.6	Nana33835-RA
OG0005931	ENSGALG00000042572.2	Nana25674-RA
OG0005932	ENSGALG00000008549.7	Nana33638-RB, Nana33638-RD
OG0005933	ENSGALG00000027874.3	Nana05062-RA
OG0005934	ENSGALG00000003901.6	Nana34826-RA
OG0005935	ENSGALG00000006775.7	Nana12940-RA
OG0005936	ENSGALG00000010299.7	Nana01397-RA, Nana01398-RA
OG0005937	ENSGALG00000005947.7	Nana21176-RA, Nana21176-RB
OG0005938	ENSGALG00000012113.6	Nana03713-RA
OG0005939	ENSGALG00000016232.6	Nana24440-RA
OG0005940	ENSGALG00000001124.6	Nana36510-RA
OG0005941	ENSGALG00000008460.6	Nana05069-RB, Nana05069-RA
OG0005942	ENSGALG00000005860.5	Nana21171-RA
OG0005943	ENSGALG00000032763.3	Nana30218-RB, Nana30218-RC
OG0005944	ENSGALG00000000950.6	Nana36995-RA
OG0005945	ENSGALG00000011149.5	Nana03524-RA, Nana03522-RA
OG0005946	ENSGALG00000036432.2	Nana05070-RA
OG0005947	ENSGALG00000008206.6	Nana35086-RA
OG0005948	ENSGALG00000037065.2	Nana28778-RB, Nana28778-RA
OG0005949	ENSGALG00000014915.7	Nana16161-RA, Nana16161-RB
OG0005950	ENSGALG00000027823.3	Nana34620-RA, Nana34620-RB
OG0005951	ENSGALG00000004812.5	Nana15106-RA, Nana15105-RA
OG0005952	ENSGALG00000035184.2	Nana30233-RA, Nana30235-RA
OG0005953	ENSGALG00000008795.5	Nana19720-RC, Nana19720-RA, Nana19720-RB
OG0005955	ENSGALG00000014038.7	Nana29202-RA
OG0005956	ENSGALG00000030313.3	Nana05075-RA, Nana08378-RA
OG0005957	ENSGALG00000026276.3	Nana39678-RA
OG0005958	ENSGALG00000017111.7	Nana25130-RA
OG0005959	ENSGALG00000000615.7	Nana30245-RA
OG0005960	ENSGALG00000041216.2	Nana05077-RA, Nana05077-RC
OG0005961	ENSGALG00000013967.7	Nana29203-RA
OG0005962	ENSGALG00000014860.6	Nana16155-RA
OG0005963	ENSGALG00000006507.6	Nana28750-RA, Nana28750-RB
OG0005964	ENSGALG00000021685.5	Nana30250-RA
OG0005965	ENSGALG00000003674.6	Nana29205-RA
OG0005966	ENSGALG00000026559.3	Nana34627-RE, Nana34627-RB
OG0005967	ENSGALG00000017103.6	Nana25112-RA
OG0005968	ENSGALG00000006186.7	Nana38509-RA, Nana38505-RA, Nana13278-RA
OG0005969	ENSGALG00000040971.2	Nana18903-RA
OG0005970	ENSGALG00000054273.1	Nana29208-RA, Nana29209-RA
OG0005971	ENSGALG00000029536.2	Nana29035-RA
OG0005972	ENSGALG00000017097.5	Nana25099-RB, Nana25099-RA
OG0005973	ENSGALG00000005694.7	Nana21161-RA, Nana20716-RA
OG0005974	ENSGALG00000016639.6	Nana00781-RA, Nana00781-RB
OG0005975	ENSGALG00000025862.3	Nana18838-RA
OG0005976	ENSGALG00000006182.7	Nana13273-RA
OG0005977	ENSGALG00000035375.2	Nana25573-RA
OG0005978	ENSGALG00000041014.2	Nana05005-RA
OG0005979	ENSGALG00000015268.7	Nana12008-RA
OG0005980	ENSGALG00000006469.6	Nana28736-RA
OG0005981	ENSGALG00000005188.7	Nana21152-RA, Nana21153-RA
OG0005982	ENSGALG00000000273.6	Nana11981-RA
OG0005983	ENSGALG00000001122.6	Nana00406-RA
OG0005985	ENSGALG00000034910.2	Nana30123-RG, Nana30123-RE, Nana30123-RF
OG0005986	ENSGALG00000037734.3	Nana32750-RA, Nana32750-RC
OG0005987	ENSGALG00000001557.7	Nana28717-RB, Nana28717-RA
OG0005988	ENSGALG00000027909.3	Nana30125-RE, Nana30125-RA, Nana30125-RD
OG0005989	ENSGALG00000036892.3	Nana05098-RA
OG0005991	ENSGALG00000000895.6	Nana30126-RB, Nana30126-RD
OG0005992	ENSGALG00000038340.2	Nana16126-RA
OG0005993	ENSGALG00000005223.6	Nana21151-RA
OG0005994	ENSGALG00000014795.6	Nana16131-RA
OG0005995	ENSGALG00000000241.4	Nana11968-RA
OG0005996	ENSGALG00000004841.5	Nana04061-RA
OG0005997	ENSGALG00000014486.7	Nana18737-RA, Nana18737-RB
OG0005998	ENSGALG00000000721.6	Nana14122-RC
OG0005999	ENSGALG00000000724.3	Nana14121-RA
OG0006000	ENSGALG00000013899.7	Nana36383-RA, Nana36383-RB
OG0006001	ENSGALG00000037193.2	Nana22521-RA
OG0006002	ENSGALG00000000215.7	Nana11958-RA, Nana11958-RB
OG0006003	ENSGALG00000001527.6	Nana37377-RA
OG0006004	ENSGALG00000016564.6	Nana00745-RA, Nana00745-RB
OG0006005	ENSGALG00000032997.2	Nana38572-RA, Nana16137-RA
OG0006006	ENSGALG00000005287.6	Nana21144-RA
OG0006007	ENSGALG00000000189.6	Nana11955-RA, Nana11955-RB
OG0006008	ENSGALG00000013858.7	Nana16077-RA
OG0006009	ENSGALG00000008593.6	Nana32400-RA
OG0006010	ENSGALG00000000845.6	Nana25474-RA, Nana25473-RA
OG0006011	ENSGALG00000003942.6	Nana31480-RB, Nana31480-RC
OG0006012	ENSGALG00000013887.4	Nana16061-RB, Nana16061-RA
OG0006013	ENSGALG00000002345.6	Nana11942-RA
OG0006014	ENSGALG00000004343.6	Nana34812-RA
OG0006015	ENSGALG00000000839.4	Nana25726-RA
OG0006016	ENSGALG00000040098.2	Nana17148-RA
OG0006017	ENSGALG00000002318.6	Nana11939-RA
OG0006018	ENSGALG00000008618.6	Nana32409-RA, Nana32409-RB
OG0006019	ENSGALG00000001091.7	Nana14083-RB, Nana14083-RA
OG0006020	ENSGALG00000004379.7	Nana34807-RA
OG0006021	ENSGALG00000052976.1	Nana17454-RA
OG0006022	ENSGALG00000012574.6	Nana03533-RA, Nana03533-RB
OG0006023	ENSGALG00000004397.7	Nana34805-RA
OG0006024	ENSGALG00000001117.6	Nana14075-RA
OG0006025	ENSGALG00000004004.6	Nana31472-RB, Nana31472-RA
OG0006026	ENSGALG00000002227.7	Nana11918-RC, Nana11918-RA
OG0006027	ENSGALG00000040854.2	Nana34105-RA, Nana34104-RA
OG0006028	ENSGALG00000019358.6	Nana26780-RA
OG0006029	ENSGALG00000006181.6	Nana21211-RA
OG0006030	ENSGALG00000004573.7	Nana36809-RA
OG0006031	ENSGALG00000034413.2	Nana06429-RB, Nana06429-RA
OG0006032	ENSGALG00000009895.6	Nana26778-RA
OG0006033	ENSGALG00000019690.6	Nana21212-RA
OG0006034	ENSGALG00000012561.7	Nana03537-RB, Nana03537-RA
OG0006035	ENSGALG00000033885.2	Nana00396-RA
OG0006036	ENSGALG00000025819.4	Nana31435-RA
OG0006037	ENSGALG00000001964.7	Nana37054-RB, Nana37054-RA
OG0006038	ENSGALG00000039880.2	Nana21214-RA
OG0006039	ENSGALG00000009904.6	Nana26903-RA
OG0006040	ENSGALG00000029047.3	Nana34067-RA
OG0006041	ENSGALG00000012555.7	Nana03539-RA, Nana03538-RA
OG0006042	ENSGALG00000009341.7	Nana39926-RA, Nana39926-RB
OG0006043	ENSGALG00000004115.7	Nana31462-RA
OG0006044	ENSGALG00000007659.7	Nana29036-RC
OG0006045	ENSGALG00000029514.2	Nana34081-RA
OG0006046	ENSGALG00000016304.6, ENSGALG00000051798.1	Nana02407-RA
OG0006047	ENSGALG00000006233.6	Nana21218-RA
OG0006048	ENSGALG00000005316.6	Nana11903-RB, Nana11903-RA
OG0006050	ENSGALG00000013745.6	Nana16030-RA, Nana16030-RB
OG0006052	ENSGALG00000016299.4	Nana02400-RA
OG0006053	ENSGALG00000014372.5	Nana18431-RA, Nana18431-RB
OG0006054	ENSGALG00000029135.3	Nana26912-RA, Nana26912-RB
OG0006055	ENSGALG00000013731.6	Nana16026-RA
OG0006056	ENSGALG00000004068.6	Nana08788-RA
OG0006057	ENSGALG00000005559.6	Nana00341-RA
OG0006058	ENSGALG00000004040.5	Nana08787-RA, Nana08787-RB
OG0006059	ENSGALG00000026865.4	Nana21225-RA
OG0006060	ENSGALG00000014365.6	Nana18567-RB, Nana18567-RA
OG0006061	ENSGALG00000009975.7	Nana26915-RA
OG0006062	ENSGALG00000028762.3	Nana04930-RA, Nana04930-RB
OG0006063	ENSGALG00000014355.5	Nana18560-RA
OG0006064	ENSGALG00000019514.6	Nana15994-RA
OG0006065	ENSGALG00000002272.6	Nana35296-RC
OG0006066	ENSGALG00000010029.5	Nana26918-RA, Nana26918-RB
OG0006067	ENSGALG00000040475.3	Nana31259-RA
OG0006068	ENSGALG00000009959.6	Nana26919-RA
OG0006069	ENSGALG00000050002.1	Nana02494-RA
OG0006070	ENSGALG00000008237.6	Nana11872-RA
OG0006071	ENSGALG00000022882.4	Nana15984-RA, Nana15984-RB
OG0006072	ENSGALG00000003919.6	Nana08776-RA
OG0006073	ENSGALG00000008229.6	Nana11871-RA
OG0006074	ENSGALG00000006379.6	Nana21251-RA
OG0006075	ENSGALG00000013640.6	Nana15967-RA, Nana15968-RA
OG0006076	ENSGALG00000002143.5	Nana35261-RA
OG0006077	ENSGALG00000038494.2	Nana31243-RA
OG0006078	ENSGALG00000006437.6	Nana21257-RA, Nana21257-RB
OG0006079	ENSGALG00000033126.3	Nana35250-RA
OG0006080	ENSGALG00000031461.2	Nana15952-RA
OG0006083	ENSGALG00000003374.5	Nana31226-RB, Nana31226-RD, Nana31226-RC
OG0006084	ENSGALG00000041520.2	Nana39249-RA
OG0006085	ENSGALG00000001273.5	Nana38632-RA
OG0006086	ENSGALG00000016506.6	Nana00655-RB, Nana00655-RC, Nana00655-RA
OG0006087	ENSGALG00000046986.1	Nana23547-RA
OG0006088	ENSGALG00000013632.7	Nana15918-RB
OG0006089	ENSGALG00000030877.2	Nana33983-RA
OG0006090	ENSGALG00000033278.2	Nana33981-RC, Nana33981-RB, Nana33981-RA
OG0006091	ENSGALG00000029836.2	Nana15915-RA
OG0006092	ENSGALG00000007036.5	Nana21302-RB, Nana21302-RA
OG0006093	ENSGALG00000007065.6	Nana21311-RA, Nana21312-RA
OG0006094	ENSGALG00000002014.3	Nana11192-RA
OG0006095	ENSGALG00000012687.7	Nana15868-RA
OG0006096	ENSGALG00000002022.5	Nana11190-RA
OG0006097	ENSGALG00000036909.2	Nana14486-RA
OG0006098	ENSGALG00000013098.6	Nana27561-RA
OG0006099	ENSGALG00000012452.5	Nana05975-RA
OG0006100	ENSGALG00000031182.2	Nana16045-RA, Nana05976-RA
OG0006101	ENSGALG00000012199.7	Nana05891-RA
OG0006102	ENSGALG00000013092.6	Nana27557-RA
OG0006103	ENSGALG00000012699.7	Nana15859-RA
OG0006104	ENSGALG00000012702.5	Nana15852-RC, Nana15852-RB
OG0006106	ENSGALG00000010283.6	Nana11182-RA
OG0006107	ENSGALG00000040238.2	Nana05882-RA
OG0006108	ENSGALG00000013085.7	Nana27553-RA
OG0006109	ENSGALG00000012041.6, ENSGALG00000012085.7	Nana05873-RA
OG0006110	ENSGALG00000051550.1	Nana05872-RA, Nana05871-RA
OG0006111	ENSGALG00000012098.7	Nana05865-RA, Nana05865-RB
OG0006112	ENSGALG00000030303.3	Nana11170-RA
OG0006113	ENSGALG00000012720.7	Nana15839-RA, Nana15839-RB
OG0006114	ENSGALG00000012105.6	Nana05862-RA
OG0006115	ENSGALG00000014455.7	Nana11103-RA
OG0006116	ENSGALG00000007351.5	Nana21364-RA
OG0006117	ENSGALG00000042679.3	Nana15625-RA, Nana15626-RA
OG0006118	ENSGALG00000037171.3	Nana15623-RA, Nana15623-RB
OG0006119	ENSGALG00000019543.5	Nana15619-RA
OG0006120	ENSGALG00000003909.7	Nana13694-RB, Nana13694-RA
OG0006121	ENSGALG00000043926.2	Nana37159-RA
OG0006122	ENSGALG00000016757.7	Nana26074-RB, Nana26074-RA
OG0006123	ENSGALG00000012965.7	Nana15616-RA, Nana15616-RB
OG0006124	ENSGALG00000003929.6	Nana13689-RA
OG0006125	ENSGALG00000004927.7	Nana36556-RA
OG0006126	ENSGALG00000003824.6	Nana06010-RB, Nana06010-RA
OG0006127	ENSGALG00000046858.1	Nana17514-RA, Nana17514-RB
OG0006128	ENSGALG00000001263.7	Nana00439-RA
OG0006130	ENSGALG00000049426.1	Nana17513-RA
OG0006131	ENSGALG00000007417.7	Nana21381-RA
OG0006132	ENSGALG00000010733.7	Nana01515-RA
OG0006133	ENSGALG00000002798.6	Nana31093-RA
OG0006134	ENSGALG00000017309.6	Nana25542-RF, Nana25542-RE
OG0006135	ENSGALG00000010713.6	Nana01513-RA
OG0006136	ENSGALG00000002021.6	Nana32069-RA, Nana29869-RA
OG0006137	ENSGALG00000036234.2	Nana31085-RA, Nana31085-RB
OG0006138	ENSGALG00000014138.6	Nana18606-RA
OG0006140	ENSGALG00000038018.2	Nana10757-RA
OG0006142	ENSGALG00000027986.4	Nana18602-RA
OG0006143	ENSGALG00000020939.5	Nana13019-RA
OG0006144	ENSGALG00000013002.5	Nana15598-RA
OG0006145	ENSGALG00000038328.3	Nana15597-RA
OG0006146	ENSGALG00000007579.6	Nana21404-RA
OG0006147	ENSGALG00000049475.1	Nana10759-RA
OG0006148	ENSGALG00000001639.4	Nana29733-RB, Nana29733-RA
OG0006149	ENSGALG00000005997.8	Nana32627-RA
OG0006151	ENSGALG00000035699.2	Nana15593-RA, Nana15593-RB
OG0006152	ENSGALG00000009065.4	Nana32457-RA
OG0006153	ENSGALG00000014115.7	Nana18601-RA, Nana18601-RB
OG0006154	ENSGALG00000001800.7	Nana06791-RA
OG0006155	ENSGALG00000052338.1	Nana30713-RB, Nana30713-RA
OG0006157	ENSGALG00000005957.6	Nana32635-RA
