Orthogroup	P_troglodytes.pep	N_naja.pep
OG0006453	ENSPTRG00000000919.6	Nana14829-RA
OG0006454	ENSPTRG00000034314.3	Nana14668-RA
OG0006455	ENSPTRG00000014370.4	Nana27275-RA
OG0006456	ENSPTRG00000000827.6, ENSPTRG00000047963.1	Nana14665-RA
OG0006457	ENSPTRG00000015701.6	Nana20064-RB, Nana20064-RA
OG0006458	ENSPTRG00000000824.6	Nana14660-RA, Nana14660-RB
OG0006459	ENSPTRG00000014379.5	Nana05998-RA
OG0006460	ENSPTRG00000021237.7	Nana22686-RA
OG0006461	ENSPTRG00000014395.6	Nana27259-RB
OG0006462	ENSPTRG00000000815.6	Nana14650-RA
OG0006463	ENSPTRG00000009973.6	Nana22699-RA
OG0006464	ENSPTRG00000014399.3	Nana27254-RB, Nana27254-RA
OG0006465	ENSPTRG00000014404.5	Nana27247-RA
OG0006466	ENSPTRG00000013113.6	Nana20039-RA
OG0006467	ENSPTRG00000016117.5	Nana22732-RA
OG0006468	ENSPTRG00000000802.7	Nana14612-RA
OG0006469	ENSPTRG00000020207.4	Nana22741-RA
OG0006470	ENSPTRG00000020216.5	Nana22760-RA
OG0006471	ENSPTRG00000013082.6	Nana20028-RA, Nana20028-RB
OG0006472	ENSPTRG00000014418.5	Nana27228-RA, Nana27228-RB
OG0006473	ENSPTRG00000028976.4	Nana20018-RB, Nana20018-RA
OG0006474	ENSPTRG00000012168.4	Nana22784-RB, Nana22784-RA
OG0006475	ENSPTRG00000014425.5	Nana27222-RA
OG0006476	ENSPTRG00000013052.7	Nana20008-RA
OG0006477	ENSPTRG00000014433.4, ENSPTRG00000043420.1	Nana27215-RA
OG0006478	ENSPTRG00000046533.1, ENSPTRG00000041368.2	Nana14552-RA
OG0006479	ENSPTRG00000039404.2	Nana27208-RA, Nana27207-RA
OG0006480	ENSPTRG00000000769.7	Nana14543-RA, Nana14543-RB
OG0006481	ENSPTRG00000034216.2	Nana39133-RA, Nana39329-RA
OG0006482	ENSPTRG00000000764.5	Nana14540-RA
OG0006483	ENSPTRG00000044168.1	Nana14306-RA
OG0006484	ENSPTRG00000001051.6	Nana14307-RB, Nana14307-RA, Nana14307-RC, Nana14307-RD
OG0006485	ENSPTRG00000004724.2, ENSPTRG00000049647.1	Nana27146-RA
OG0006486	ENSPTRG00000001054.5	Nana14312-RA
OG0006487	ENSPTRG00000004727.5	Nana27143-RA, Nana27143-RB
OG0006488	ENSPTRG00000009515.4	Nana22832-RA, Nana38351-RA
OG0006489	ENSPTRG00000012458.4	Nana19979-RA, Nana19978-RA
OG0006490	ENSPTRG00000019727.7	Nana27125-RA
OG0006491	ENSPTRG00000015670.6	Nana19975-RA, Nana19975-RB
OG0006492	ENSPTRG00000002785.4	Nana19970-RA
OG0006493	ENSPTRG00000005350.6	Nana27117-RA, Nana27117-RB
OG0006494	ENSPTRG00000005349.7	Nana27116-RA, Nana27116-RB
OG0006495	ENSPTRG00000044976.1	Nana19968-RA
OG0006496	ENSPTRG00000002836.6	Nana19963-RB, Nana19963-RA
OG0006497	ENSPTRG00000009209.6	Nana22852-RB, Nana22852-RA
OG0006498	ENSPTRG00000023772.4	Nana14326-RC, Nana14326-RA, Nana14326-RD
OG0006499	ENSPTRG00000043046.1, ENSPTRG00000002825.7	Nana19950-RB
OG0006500	ENSPTRG00000005341.6	Nana27104-RA
OG0006501	ENSPTRG00000002824.5	Nana19949-RA, Nana19949-RB
OG0006502	ENSPTRG00000009219.3	Nana22861-RB, Nana22861-RA
OG0006503	ENSPTRG00000007166.3	Nana14336-RA
OG0006504	ENSPTRG00000000625.3	Nana14338-RA
OG0006505	ENSPTRG00000000631.6	Nana14343-RA, Nana14343-RB
OG0006507	ENSPTRG00000021078.4, ENSPTRG00000000634.6	Nana14345-RA
OG0006508	ENSPTRG00000000635.5	Nana14346-RA
OG0006509	ENSPTRG00000002855.5	Nana19836-RA
OG0006510	ENSPTRG00000005322.3	Nana27082-RA
OG0006511	ENSPTRG00000002893.5	Nana19834-RA
OG0006512	ENSPTRG00000005321.5	Nana27081-RB, Nana27081-RA
OG0006513	ENSPTRG00000000640.7	Nana14350-RB, Nana14350-RA
OG0006514	ENSPTRG00000009241.7	Nana22897-RA
OG0006515	ENSPTRG00000049387.1	Nana19819-RA
OG0006516	ENSPTRG00000002900.6	Nana19818-RA
OG0006517	ENSPTRG00000009242.6	Nana22898-RA, Nana22898-RB
OG0006518	ENSPTRG00000002902.7	Nana19817-RB, Nana19817-RA
OG0006519	ENSPTRG00000005309.6	Nana27070-RD, Nana27070-RC
OG0006520	ENSPTRG00000009306.6	Nana22910-RB
OG0006521	ENSPTRG00000002914.5	Nana19803-RA
OG0006522	ENSPTRG00000002915.4	Nana19802-RA
OG0006523	ENSPTRG00000005306.5	Nana27069-RA, Nana27069-RB
OG0006524	ENSPTRG00000047766.1	Nana19790-RB, Nana19790-RC
OG0006525	ENSPTRG00000005304.5	Nana27068-RA
OG0006526	ENSPTRG00000000646.3	Nana14369-RB, Nana14369-RA
OG0006527	ENSPTRG00000005302.6	Nana27067-RA, Nana27066-RA
OG0006528	ENSPTRG00000005300.4	Nana27064-RA
OG0006529	ENSPTRG00000000648.5	Nana14371-RA
OG0006530	ENSPTRG00000002922.6	Nana19782-RA
OG0006531	ENSPTRG00000009281.6	Nana22928-RA
OG0006532	ENSPTRG00000005292.4, ENSPTRG00000033711.3	Nana02947-RC, Nana27058-RA
OG0006533	ENSPTRG00000005288.4	Nana27052-RA
OG0006534	ENSPTRG00000009277.7	Nana22934-RA
OG0006535	ENSPTRG00000005281.7	Nana27034-RA
OG0006536	ENSPTRG00000005280.5	Nana27031-RA, Nana39411-RA
OG0006538	ENSPTRG00000024019.6	Nana14402-RA
OG0006540	ENSPTRG00000005274.5	Nana27021-RA
OG0006541	ENSPTRG00000005271.6	Nana27014-RA, Nana27013-RA
OG0006542	ENSPTRG00000005266.5, ENSPTRG00000048467.1	Nana27002-RA
OG0006543	ENSPTRG00000008991.6	Nana22955-RA
OG0006544	ENSPTRG00000000659.5	Nana14424-RA
OG0006545	ENSPTRG00000023469.3	Nana19195-RA
OG0006546	ENSPTRG00000005257.5	Nana26989-RA
OG0006547	ENSPTRG00000000683.6	Nana14431-RB, Nana14431-RA
OG0006548	ENSPTRG00000010970.5, ENSPTRG00000041276.2, ENSPTRG00000048713.1	Nana26987-RA
OG0006549	ENSPTRG00000023687.5	Nana19185-RA, Nana19185-RB
OG0006550	ENSPTRG00000009329.6	Nana22973-RA
OG0006551	ENSPTRG00000000687.7	Nana14438-RB, Nana14438-RA
OG0006552	ENSPTRG00000000689.5	Nana14442-RA
OG0006553	ENSPTRG00000005219.6	Nana26924-RB, Nana26924-RA
OG0006555	ENSPTRG00000000692.5	Nana14444-RA, Nana14444-RB, Nana14444-RC
OG0006556	ENSPTRG00000024252.4	Nana14452-RA
OG0006557	ENSPTRG00000000725.6	Nana14496-RA
OG0006558	ENSPTRG00000023148.5	Nana22988-RB, Nana22988-RA
OG0006559	ENSPTRG00000000729.7	Nana14502-RA, Nana14502-RB
OG0006560	ENSPTRG00000002586.6	Nana19217-RA
OG0006561	ENSPTRG00000005230.6	Nana26935-RA
OG0006562	ENSPTRG00000009180.6	Nana23002-RA
OG0006563	ENSPTRG00000005238.5	Nana26950-RB, Nana26950-RA
OG0006564	ENSPTRG00000002613.7	Nana19231-RB, Nana19231-RA
OG0006565	ENSPTRG00000002615.6	Nana19234-RA
OG0006566	ENSPTRG00000009270.6	Nana23008-RB, Nana23008-RA
OG0006567	ENSPTRG00000022948.5	Nana19237-RA
OG0006568	ENSPTRG00000002618.3	Nana19240-RA
OG0006569	ENSPTRG00000009271.5	Nana23009-RA
OG0006570	ENSPTRG00000003047.6	Nana19508-RA, Nana19507-RA
OG0006571	ENSPTRG00000005243.6	Nana26959-RC, Nana26959-RB
OG0006572	ENSPTRG00000009085.7	Nana23021-RB, Nana23021-RC
OG0006573	ENSPTRG00000000740.7	Nana14512-RB, Nana14512-RA
OG0006575	ENSPTRG00000052717.1	Nana17652-RC, Nana17652-RB
OG0006576	ENSPTRG00000051344.1, ENSPTRG00000003060.6	Nana19461-RA
OG0006577	ENSPTRG00000009091.6	Nana23028-RC, Nana23028-RB
OG0006578	ENSPTRG00000043080.1	Nana23032-RA
OG0006579	ENSPTRG00000003067.3	Nana19443-RA, Nana19443-RB
OG0006580	ENSPTRG00000000751.5	Nana14523-RA
OG0006581	ENSPTRG00000009099.6	Nana23042-RA, Nana23042-RB
OG0006582	ENSPTRG00000049208.1, ENSPTRG00000023645.5	Nana17669-RA
OG0006583	ENSPTRG00000000755.3	Nana11615-RA, Nana14530-RA
OG0006584	ENSPTRG00000016233.4, ENSPTRG00000047058.1	Nana17668-RA
OG0006585	ENSPTRG00000000756.3	Nana14531-RA, Nana14532-RA, Nana14533-RA
OG0006586	ENSPTRG00000003074.5	Nana19439-RA
OG0006587	ENSPTRG00000003075.6	Nana19438-RA, Nana19437-RA
OG0006588	ENSPTRG00000029653.4	Nana19436-RA
OG0006589	ENSPTRG00000016243.6	Nana17686-RB, Nana17686-RA
OG0006590	ENSPTRG00000003015.7	Nana19576-RA
OG0006591	ENSPTRG00000009114.6	Nana23064-RA
OG0006592	ENSPTRG00000044868.1	Nana19551-RA
OG0006593	ENSPTRG00000001887.5	Nana14161-RA
OG0006594	ENSPTRG00000043604.1	Nana14172-RA
OG0006595	ENSPTRG00000016267.5	Nana17717-RA
OG0006596	ENSPTRG00000003046.7	Nana19510-RA, Nana19511-RA
OG0006597	ENSPTRG00000001092.4, ENSPTRG00000001869.5	Nana14182-RA
OG0006598	ENSPTRG00000003008.7	Nana19589-RA, Nana23106-RA
OG0006599	ENSPTRG00000001095.6	Nana14183-RA
OG0006600	ENSPTRG00000023126.5	Nana17760-RA, Nana17760-RB
OG0006601	ENSPTRG00000018161.5, ENSPTRG00000043479.1	Nana14189-RA
OG0006602	ENSPTRG00000003004.5	Nana19595-RB, Nana19595-RA
OG0006603	ENSPTRG00000018157.7, ENSPTRG00000044465.1	Nana14201-RA
OG0006604	ENSPTRG00000002998.4	Nana19602-RA
OG0006605	ENSPTRG00000002996.6	Nana19603-RB, Nana19603-RC
OG0006606	ENSPTRG00000005177.6	Nana26796-RA
OG0006607	ENSPTRG00000018149.6	Nana14208-RA
OG0006608	ENSPTRG00000009202.6	Nana23139-RB, Nana23139-RA
OG0006609	ENSPTRG00000040069.2	Nana23141-RA, Nana23142-RA
OG0006610	ENSPTRG00000005823.6	Nana26628-RA, Nana26628-RB
OG0006611	ENSPTRG00000005174.5	Nana26804-RA, Nana26804-RB
OG0006612	ENSPTRG00000018075.6	Nana04552-RA, Nana14222-RA
OG0006613	ENSPTRG00000018068.5	Nana14226-RA
OG0006614	ENSPTRG00000009196.2	Nana23148-RA
OG0006615	ENSPTRG00000046880.1, ENSPTRG00000005906.6	Nana26615-RA
OG0006616	ENSPTRG00000005910.5	Nana26610-RA
OG0006617	ENSPTRG00000005164.6	Nana26816-RA
OG0006618	ENSPTRG00000009207.6	Nana23154-RA, Nana23154-RB
OG0006619	ENSPTRG00000042035.2	Nana23156-RA
OG0006620	ENSPTRG00000009071.4	Nana23160-RA
OG0006621	ENSPTRG00000009070.6	Nana23165-RA
OG0006622	ENSPTRG00000005920.6	Nana26553-RA
OG0006623	ENSPTRG00000051106.1	Nana23171-RA
OG0006624	ENSPTRG00000005156.3	Nana26848-RA
OG0006625	ENSPTRG00000045985.1, ENSPTRG00000018053.7	Nana14246-RA
OG0006626	ENSPTRG00000029679.3	Nana14247-RA
OG0006627	ENSPTRG00000005967.6	Nana26359-RA, Nana26359-RB
OG0006628	ENSPTRG00000009334.6	Nana23180-RA
OG0006629	ENSPTRG00000005971.5	Nana26340-RA
OG0006630	ENSPTRG00000024272.5	Nana14258-RB, Nana14257-RA, Nana14258-RA
OG0006631	ENSPTRG00000015927.5	Nana18705-RA
OG0006632	ENSPTRG00000009345.6, ENSPTRG00000047609.1	Nana23194-RA
OG0006633	ENSPTRG00000022631.5	Nana23197-RA
OG0006634	ENSPTRG00000005977.6	Nana26326-RA, Nana26326-RB
OG0006635	ENSPTRG00000018484.3	Nana14281-RB, Nana14281-RA
OG0006636	ENSPTRG00000009354.4	Nana23210-RA
OG0006637	ENSPTRG00000009357.6	Nana23213-RA
OG0006638	ENSPTRG00000009358.6	Nana23215-RA
OG0006639	ENSPTRG00000005944.6	Nana26317-RA
OG0006640	ENSPTRG00000004837.5	Nana26898-RA
OG0006641	ENSPTRG00000005940.4	Nana26445-RA
OG0006642	ENSPTRG00000005935.7	Nana26455-RJ, Nana26455-RH, Nana26455-RK
OG0006643	ENSPTRG00000050698.1, ENSPTRG00000009372.6	Nana23233-RA
OG0006645	ENSPTRG00000009382.4	Nana23245-RA, Nana23245-RB
OG0006646	ENSPTRG00000001042.6	Nana14292-RA
OG0006647	ENSPTRG00000019594.5	Nana29705-RA
OG0006648	ENSPTRG00000015936.5	Nana18311-RA, Nana18311-RB
OG0006649	ENSPTRG00000023473.6	Nana25007-RA
OG0006650	ENSPTRG00000019607.4	Nana29691-RA, Nana29692-RA
OG0006651	ENSPTRG00000005990.6	Nana03783-RA, Nana26281-RA
OG0006652	ENSPTRG00000019609.6	Nana10596-RA, Nana29675-RA
OG0006653	ENSPTRG00000023877.6	Nana29661-RA
OG0006654	ENSPTRG00000009522.7	Nana23286-RA
OG0006655	ENSPTRG00000019618.4	Nana29648-RA, Nana29649-RA
OG0006656	ENSPTRG00000005998.6	Nana26288-RA
OG0006657	ENSPTRG00000001111.7	Nana14010-RA, Nana14010-RB
OG0006658	ENSPTRG00000045133.1	Nana26294-RA
OG0006659	ENSPTRG00000006004.6	Nana26295-RA
OG0006660	ENSPTRG00000019270.6, ENSPTRG00000045357.1	Nana00624-RA
OG0006661	ENSPTRG00000006008.5	Nana26303-RA
OG0006662	ENSPTRG00000001130.7	Nana13968-RA, Nana13968-RB
OG0006663	ENSPTRG00000014530.4	Nana29557-RA
OG0006664	ENSPTRG00000001133.5	Nana13962-RA, Nana13962-RB
OG0006665	ENSPTRG00000011270.5	Nana23333-RB, Nana23333-RA
OG0006666	ENSPTRG00000048051.1, ENSPTRG00000006046.6	Nana26207-RA
OG0006667	ENSPTRG00000001143.4	Nana13954-RA, Nana13953-RA
OG0006668	ENSPTRG00000001145.6	Nana13950-RA
OG0006669	ENSPTRG00000050090.1	Nana13948-RA, Nana13949-RA
OG0006670	ENSPTRG00000019640.4	Nana29593-RA, Nana29593-RB
OG0006671	ENSPTRG00000019639.6	Nana29594-RA
OG0006672	ENSPTRG00000003429.6	Nana04394-RA, Nana13943-RA, Nana13944-RA
OG0006673	ENSPTRG00000019638.6	Nana29597-RA, Nana29597-RB
OG0006674	ENSPTRG00000001831.5	Nana13942-RA
OG0006675	ENSPTRG00000019636.6	Nana29599-RA
OG0006676	ENSPTRG00000019635.5	Nana29602-RA
OG0006677	ENSPTRG00000011314.5	Nana23311-RA, Nana23309-RA, Nana23310-RA
OG0006679	ENSPTRG00000023614.3	Nana29613-RA, Nana29613-RB
OG0006680	ENSPTRG00000011306.6	Nana39419-RA, Nana23297-RA
OG0006681	ENSPTRG00000006069.7	Nana26189-RA
OG0006682	ENSPTRG00000019627.6	Nana29617-RB, Nana29617-RA
OG0006683	ENSPTRG00000001090.5	Nana13906-RA, Nana13906-RB
OG0006684	ENSPTRG00000015991.6	Nana18506-RA
OG0006685	ENSPTRG00000001867.7	Nana13902-RA
OG0006686	ENSPTRG00000015956.4	Nana18414-RA
OG0006687	ENSPTRG00000050933.1, ENSPTRG00000015949.6	Nana18356-RB
OG0006688	ENSPTRG00000015945.6	Nana18334-RB, Nana18334-RA
OG0006689	ENSPTRG00000023576.6	Nana26073-RA
OG0006690	ENSPTRG00000012269.4	Nana26071-RA
OG0006691	ENSPTRG00000012266.6	Nana26068-RB, Nana26068-RA
OG0006692	ENSPTRG00000013434.5	Nana13877-RA
OG0006693	ENSPTRG00000013435.6	Nana13876-RB, Nana13876-RA
OG0006694	ENSPTRG00000013438.7	Nana13873-RA
OG0006695	ENSPTRG00000045116.1	Nana18307-RA
OG0006696	ENSPTRG00000044292.1	Nana26061-RA
OG0006697	ENSPTRG00000042881.1, ENSPTRG00000013447.6	Nana13860-RA
OG0006698	ENSPTRG00000050026.1	Nana18449-RA, Nana18450-RA
OG0006699	ENSPTRG00000051453.1	Nana26044-RA
OG0006700	ENSPTRG00000006817.5	Nana26040-RA
OG0006701	ENSPTRG00000013468.5	Nana13841-RA, Nana13841-RB
OG0006702	ENSPTRG00000010657.6	Nana06064-RA, Nana06064-RB
OG0006703	ENSPTRG00000004566.7	Nana29401-RA, Nana29400-RA
OG0006704	ENSPTRG00000045318.1	Nana25952-RA
OG0006705	ENSPTRG00000004794.7	Nana29425-RA
OG0006706	ENSPTRG00000004793.5	Nana29427-RA, Nana39404-RA
OG0006707	ENSPTRG00000004704.5	Nana29442-RA
OG0006708	ENSPTRG00000004702.6	Nana29444-RA
OG0006709	ENSPTRG00000004701.4	Nana29447-RA
OG0006710	ENSPTRG00000028318.3	Nana25911-RA
OG0006711	ENSPTRG00000013430.6	Nana13829-RC, Nana13829-RB
OG0006712	ENSPTRG00000013512.6	Nana13820-RA, Nana13821-RA
OG0006713	ENSPTRG00000049130.1, ENSPTRG00000013401.6	Nana13807-RA
OG0006714	ENSPTRG00000013402.7, ENSPTRG00000048154.1	Nana13805-RA
OG0006715	ENSPTRG00000013405.6, ENSPTRG00000049551.1	Nana13800-RA
OG0006716	ENSPTRG00000013412.6, ENSPTRG00000042999.1	Nana13793-RA
OG0006717	ENSPTRG00000013415.6	Nana13790-RA, Nana13790-RB
OG0006718	ENSPTRG00000014483.5, ENSPTRG00000050957.1	Nana29495-RB
OG0006719	ENSPTRG00000013460.6	Nana13778-RA
OG0006720	ENSPTRG00000014481.5, ENSPTRG00000044988.1	Nana29496-RA
OG0006721	ENSPTRG00000014477.6	Nana29497-RA
OG0006722	ENSPTRG00000014468.6	Nana29507-RB, Nana29507-RA
OG0006723	ENSPTRG00000051085.1	Nana29511-RA
OG0006724	ENSPTRG00000013493.6	Nana13725-RA, Nana13725-RB
OG0006725	ENSPTRG00000022605.5	Nana25860-RB, Nana25860-RA
OG0006727	ENSPTRG00000019357.6, ENSPTRG00000046936.1	Nana29147-RA
OG0006728	ENSPTRG00000022827.5	Nana29165-RA
OG0006729	ENSPTRG00000021738.5	Nana25831-RA
OG0006730	ENSPTRG00000002304.6	Nana29188-RA, Nana29188-RB
OG0006731	ENSPTRG00000002306.7	Nana29186-RA
OG0006732	ENSPTRG00000013524.6	Nana13672-RA
OG0006733	ENSPTRG00000013519.7	Nana13668-RA
OG0006734	ENSPTRG00000013514.4	Nana13662-RA
OG0006735	ENSPTRG00000021752.6	Nana25811-RA
OG0006737	ENSPTRG00000003106.6	Nana04212-RA
OG0006738	ENSPTRG00000013590.6	Nana13648-RB, Nana13648-RA
OG0006739	ENSPTRG00000045419.1	Nana24397-RA
OG0006740	ENSPTRG00000021793.6	Nana24402-RA
OG0006741	ENSPTRG00000013594.5	Nana13640-RA
OG0006742	ENSPTRG00000021799.3, ENSPTRG00000051070.1	Nana24410-RA
OG0006744	ENSPTRG00000021812.7	Nana24449-RA
OG0006745	ENSPTRG00000048989.1	Nana11826-RA, Nana13619-RA
OG0006746	ENSPTRG00000019545.6	Nana29353-RA
OG0006747	ENSPTRG00000019552.6	Nana29089-RA, Nana29091-RA
OG0006748	ENSPTRG00000021820.6, ENSPTRG00000045948.1	Nana24483-RA
OG0006749	ENSPTRG00000013701.6	Nana13479-RA, Nana13479-RB
OG0006750	ENSPTRG00000019554.6	Nana29347-RA
OG0006751	ENSPTRG00000013953.4	Nana24533-RA
OG0006752	ENSPTRG00000013950.5	Nana24538-RA
OG0006753	ENSPTRG00000019561.4	Nana29333-RB, Nana29335-RA
OG0006754	ENSPTRG00000019563.6	Nana29328-RE, Nana29328-RF
OG0006755	ENSPTRG00000043961.1, ENSPTRG00000019565.6	Nana29323-RA
OG0006756	ENSPTRG00000050324.1, ENSPTRG00000019567.7	Nana29320-RA
OG0006757	ENSPTRG00000013932.6	Nana24554-RB, Nana24554-RA
OG0006758	ENSPTRG00000028426.3	Nana29296-RA
OG0006759	ENSPTRG00000019580.6	Nana29293-RA
OG0006760	ENSPTRG00000013765.4	Nana13349-RA, Nana13349-RB
OG0006761	ENSPTRG00000048445.1	Nana29283-RB, Nana29283-RA
OG0006762	ENSPTRG00000004828.7	Nana29282-RA, Nana29282-RB
OG0006763	ENSPTRG00000013892.6	Nana24604-RA
OG0006764	ENSPTRG00000014509.5	Nana29519-RB, Nana29519-RA
OG0006765	ENSPTRG00000015994.5	Nana18502-RA
OG0006766	ENSPTRG00000015996.5	Nana18501-RA
OG0006767	ENSPTRG00000016605.6	Nana18271-RA
OG0006768	ENSPTRG00000016604.6	Nana18272-RA
OG0006769	ENSPTRG00000016007.6	Nana18487-RA
OG0006770	ENSPTRG00000016009.5	Nana18482-RA
OG0006771	ENSPTRG00000008929.6	Nana00096-RA
OG0006772	ENSPTRG00000013852.6	Nana24670-RA, Nana24670-RC
OG0006773	ENSPTRG00000016017.6	Nana18465-RA, Nana18465-RB
OG0006774	ENSPTRG00000016022.5	Nana18456-RB, Nana18456-RA
OG0006775	ENSPTRG00000048746.1, ENSPTRG00000013817.6	Nana24691-RA
OG0006776	ENSPTRG00000042295.2, ENSPTRG00000013810.6	Nana24698-RA
OG0006777	ENSPTRG00000013808.6	Nana24700-RB, Nana24700-RA
OG0006778	ENSPTRG00000013807.6	Nana24701-RA
OG0006779	ENSPTRG00000016071.4	Nana18615-RA, Nana18615-RB
OG0006780	ENSPTRG00000016079.6	Nana18625-RA, Nana18625-RB
OG0006781	ENSPTRG00000051705.1, ENSPTRG00000016080.4	Nana18626-RA
OG0006782	ENSPTRG00000045795.1	Nana24763-RA, Nana24761-RA
OG0006783	ENSPTRG00000020006.3	Nana18629-RA
OG0006784	ENSPTRG00000041473.2	Nana18631-RA
OG0006785	ENSPTRG00000020009.7	Nana18632-RA
OG0006786	ENSPTRG00000023567.5	Nana24768-RA
OG0006787	ENSPTRG00000001213.5	Nana24769-RA
OG0006788	ENSPTRG00000001223.4	Nana24772-RA
OG0006789	ENSPTRG00000045130.1, ENSPTRG00000020019.6	Nana18143-RA
OG0006790	ENSPTRG00000001222.4	Nana24773-RE, Nana24773-RC
OG0006791	ENSPTRG00000008407.5	Nana31153-RA
OG0006792	ENSPTRG00000015257.4	Nana24777-RA, Nana24777-RB
OG0006793	ENSPTRG00000008408.6	Nana31156-RA, Nana31156-RB
OG0006794	ENSPTRG00000001158.4	Nana24785-RA, Nana24786-RA
OG0006795	ENSPTRG00000001628.5	Nana24793-RA, Nana24791-RA
OG0006796	ENSPTRG00000001629.7	Nana24794-RA
OG0006797	ENSPTRG00000008214.4	Nana31166-RA
OG0006798	ENSPTRG00000001635.7	Nana24799-RA
OG0006799	ENSPTRG00000023609.5	Nana24800-RA, Nana24801-RA
OG0006800	ENSPTRG00000015142.6	Nana24807-RA
OG0006801	ENSPTRG00000020027.7	Nana18157-RA, Nana18157-RB
OG0006802	ENSPTRG00000015128.6, ENSPTRG00000047877.1	Nana24834-RA
OG0006803	ENSPTRG00000015213.5	Nana24848-RA
OG0006804	ENSPTRG00000031058.3	Nana18188-RA, Nana18188-RB
OG0006805	ENSPTRG00000024320.5	Nana24861-RA
OG0006806	ENSPTRG00000016652.6	Nana18189-RA
OG0006807	ENSPTRG00000016633.6	Nana18209-RB, Nana18209-RA
OG0006808	ENSPTRG00000047738.1, ENSPTRG00000016631.4	Nana18212-RA
OG0006809	ENSPTRG00000016618.3	Nana18250-RA, Nana18250-RB
OG0006810	ENSPTRG00000016487.5	Nana17985-RA
OG0006811	ENSPTRG00000016486.6	Nana17989-RB, Nana17989-RA
OG0006812	ENSPTRG00000015177.5	Nana24886-RA
OG0006813	ENSPTRG00000043270.1, ENSPTRG00000015174.3	Nana24890-RA
OG0006814	ENSPTRG00000015167.6	Nana24896-RA, Nana24897-RA
OG0006815	ENSPTRG00000015166.6	Nana24901-RA
OG0006816	ENSPTRG00000015165.7	Nana24902-RA
OG0006817	ENSPTRG00000015160.5	Nana24906-RA
OG0006818	ENSPTRG00000015158.6	Nana24907-RA
OG0006819	ENSPTRG00000016471.5	Nana18003-RA, Nana18003-RB
OG0006820	ENSPTRG00000015157.4	Nana24908-RA
OG0006821	ENSPTRG00000016466.6	Nana18010-RA
OG0006822	ENSPTRG00000049174.1	Nana18017-RA
OG0006823	ENSPTRG00000001658.7	Nana24926-RA
OG0006824	ENSPTRG00000016444.5	Nana18052-RA
OG0006825	ENSPTRG00000015221.2	Nana24929-RB, Nana24929-RA
OG0006826	ENSPTRG00000047351.1, ENSPTRG00000004256.4	Nana25191-RA
OG0006827	ENSPTRG00000015224.6	Nana24932-RB, Nana24932-RA
OG0006828	ENSPTRG00000023618.3	Nana18772-RA
OG0006829	ENSPTRG00000015239.6	Nana24947-RA
OG0006830	ENSPTRG00000016553.7	Nana18755-RB, Nana18755-RA
OG0006831	ENSPTRG00000016550.6	Nana18753-RA
OG0006832	ENSPTRG00000016544.3	Nana39058-RA
OG0006833	ENSPTRG00000016543.2	Nana18666-RA
OG0006834	ENSPTRG00000016542.7	Nana18668-RA, Nana18668-RB
OG0006835	ENSPTRG00000016524.4	Nana17927-RA
OG0006836	ENSPTRG00000005760.7	Nana25031-RA
OG0006837	ENSPTRG00000018331.4	Nana02335-RA
OG0006838	ENSPTRG00000016494.7	Nana17966-RA
OG0006839	ENSPTRG00000045408.1, ENSPTRG00000004260.4	Nana25179-RA
OG0006840	ENSPTRG00000016491.6	Nana17982-RA, Nana17980-RA
OG0006841	ENSPTRG00000016439.5	Nana18066-RA, Nana18066-RB
OG0006842	ENSPTRG00000005715.6	Nana25173-RA, Nana25173-RB
OG0006844	ENSPTRG00000005685.6	Nana25161-RA, Nana25161-RB
OG0006845	ENSPTRG00000021438.7	Nana36801-RA
OG0006846	ENSPTRG00000005687.4	Nana25159-RB, Nana25159-RA
OG0006847	ENSPTRG00000005690.5	Nana25158-RA, Nana25158-RB
OG0006848	ENSPTRG00000016422.4	Nana18092-RA
OG0006849	ENSPTRG00000005691.4	Nana25155-RA
OG0006850	ENSPTRG00000049719.1	Nana25151-RA
OG0006851	ENSPTRG00000032583.4	Nana25136-RA
OG0006852	ENSPTRG00000016407.5	Nana18110-RA, Nana18110-RB
OG0006853	ENSPTRG00000004227.6	Nana25234-RA, Nana25235-RA
OG0006854	ENSPTRG00000016401.6, ENSPTRG00000006414.6	Nana18122-RA
OG0006855	ENSPTRG00000016395.4	Nana18128-RA
OG0006856	ENSPTRG00000004216.3	Nana25245-RA
OG0006857	ENSPTRG00000016385.7	Nana17924-RA
OG0006858	ENSPTRG00000022738.5	Nana25247-RB, Nana25247-RA
OG0006859	ENSPTRG00000004210.5	Nana25257-RA
OG0006860	ENSPTRG00000004209.5	Nana25259-RA, Nana25259-RB
OG0006861	ENSPTRG00000004206.7	Nana25264-RA, Nana25263-RA
OG0006862	ENSPTRG00000016379.7	Nana17908-RA
OG0006863	ENSPTRG00000052432.1	Nana17904-RA
OG0006864	ENSPTRG00000004198.6	Nana25281-RA
OG0006865	ENSPTRG00000004196.4	Nana25284-RA, Nana25287-RA
OG0006866	ENSPTRG00000004194.6	Nana25289-RA
OG0006867	ENSPTRG00000004193.6	Nana25290-RA, Nana25290-RB
OG0006868	ENSPTRG00000045007.1	Nana25293-RA
OG0006869	ENSPTRG00000044239.1	Nana25294-RA
OG0006870	ENSPTRG00000049340.1, ENSPTRG00000016364.6	Nana17873-RA
OG0006871	ENSPTRG00000052018.1	Nana25305-RA
